-0.00754277-0.0423504j 0.0540604-0.0303974j 0.0435279+0.00561929j -0.00342912+0.10485j 0.0257971+0.0339412j 0.0305173-0.052889j 0.0380605-0.101173j 0.0214726-0.0236768j -0.0499507+0.0873179j -0.0197629-0.170293j 0.0264413-0.0474208j -0.00178229+0.0617999j -0.00169848-0.0593325j -0.0333516-0.0918676j 0.181538-0.147882j -0.110265+0.031142j 0.105307+0.0273595j 0.0365521+0.0178688j 0.0250515+0.190067j -0.0053022+0.138885j 0.0219329+0.00860683j 0.0215762+0.195916j 0.025203+0.224416j 0.0896853+0.0488834j 0.175306+0.000529414j -0.286594+0.0412452j 0.197439-0.117581j 0.0126185+0.0172241j -0.130988+0.14465j 0.132659-0.0188847j -0.0687012-0.324888j 0.0511262+0.0350689j -0.00717946-0.0603609j 0.507989+0.0823545j 0.214025-0.0203012j -0.0317906-0.0120648j -0.267189+0.301174j 0.0770469+0.378426j -0.0489294+0.122508j 0.0147296+0.326719j 0.243191-0.291016j 0.435616-0.109132j -0.461705-0.429556j 0.0312501+0.177944j -0.439469-0.0282228j 0.157078-0.719524j -0.352998+0.124295j -0.0432979-0.179167j -0.480303+0.366941j 0.675077+0.540499j -0.783663-0.28058j 0.152254-0.559648j 
0.0440038-0.033588j -0.0909229-0.0298014j -0.188554-0.0911457j 0.236771+0.150663j 0.0616922+0.00936572j -0.0201143-0.0525591j -0.113656-0.201853j 0.0549226+0.00190243j -0.0731475-0.0265369j -0.250895-0.0121892j -0.0677997+0.0324923j 0.218299-0.00488425j -0.109869-0.0361941j -0.0604436-0.117244j -0.0766249-0.10827j -0.125455-0.0578199j 0.0249482+0.0369458j -0.10679-0.032032j -0.109387-0.0470373j 0.155575-0.320444j 0.0819741-0.0593821j -0.0669103+0.252634j 0.0536827-0.309804j 0.140661+0.113171j -0.281837-0.159793j 0.154721-0.0395887j -0.0922166-0.0803538j -0.00948182-0.185614j -0.177892-0.00994566j 0.294373+0.312928j 0.0465704-0.17707j 0.111081-0.0670924j -0.164288-0.0607761j -0.451662+0.408794j -0.339801+0.0354503j -0.23583-0.107315j -0.166835+0.0168397j 0.0163455-0.314969j 0.206551-0.347797j -0.405031+0.129859j 0.299786+0.509908j -0.178722-0.0622217j 0.0885747-0.106583j 0.211769+0.50464j -0.0272299-0.244912j 0.434405-0.00754692j -0.57248-0.0137428j -0.446284-0.263591j 0.0860683+0.744718j -0.410365+0.109923j -0.330705-0.410359j 0.394555+0.377902j 
-0.0530348-0.029479j -0.200624+0.0948722j -0.124555+0.0520422j 0.0106071-0.180041j 0.127833-0.0448954j -0.031678+0.126168j 0.141899+0.0741771j 0.162633-0.0415128j -0.219541-0.125906j 0.0209053-0.000586066j -0.044682+0.292324j -0.278444-0.0646681j 0.0442324+0.0838006j -0.150572-0.0102578j 0.00903618-0.0608022j -0.134707+0.168072j 0.27362-0.270748j 0.216213+0.149725j 0.251775-0.179666j -0.0707338-0.052798j -0.23599-0.0758417j 0.117911-0.0507074j 0.318586+0.411411j -0.109319+0.0661452j 0.140272-0.0163172j 0.110356-0.184142j -0.0314097-0.106085j -0.202102-0.017641j 0.191093-0.13949j -0.596285+0.163863j -0.435828+0.0162086j 0.251439-0.200582j 0.197843+0.438898j 0.00488586-0.257102j 0.0286356+0.251264j 0.328415+0.207511j -0.431599-0.254551j -0.187685+0.165324j -0.10064+0.141228j -0.455932-0.229301j -0.049432+0.409107j -0.0404022-0.318164j -0.386409-0.0990147j -0.336568+0.32848j -0.412348-0.0607238j -0.104184+0.157428j 0.113213+0.286919j 0.14365-0.103643j -0.0658735+0.46513j -0.300914-0.449488j 0.0298659+0.272194j 0.196007-0.415714j 
-0.0295258+0.0746039j -0.174339+0.158607j -0.147866-0.0229071j 0.182336-0.141179j 0.0713277-0.0907102j -0.150675-0.0118575j -0.057444-0.16697j 0.0278006+0.0726452j 0.043825+0.0301391j 0.210078+0.290023j -0.154585-0.119709j -0.0458653-0.186156j 0.0969999-0.0656669j -0.143595+0.114553j -0.21454+0.0457038j 0.0813181-0.218594j 0.0723132-0.01744j -0.25554-0.0579048j -0.138154+0.233599j -0.0641616+0.304812j -0.107824+0.0836095j -0.0532329-0.248689j 0.0438623+0.170942j -0.216313+0.376197j 0.36577+0.0967156j -0.340176-0.0127742j 0.185455+0.619842j 0.0910557-0.188819j -0.0484099-0.0963344j 0.00913043-0.0333822j 0.107107-0.190638j 0.167604+0.416267j -0.0158484-0.0939152j -0.216681-0.208241j 0.176025-0.304649j 0.299471-0.157239j -0.565279-0.281777j 0.647725-0.174526j 0.440113-0.725528j 0.288184+0.155014j 0.381851+0.0408561j -0.179228+0.0720806j 0.0651513-0.295259j -0.0700353-0.0517743j -0.0585036-0.0748604j 0.16249+0.313225j -0.165456+0.138925j -0.399852+0.303991j -0.333134-0.0916438j 0.0992909+0.0194515j 0.237807-0.159153j 0.334814-0.102111j 
-0.0110782-0.0836427j -0.0194225-0.0827496j 0.0317098+0.0835329j -0.0182804-0.0938931j -0.200518+0.240389j -0.0978422+0.0432246j 0.0790997+0.0236377j 0.0811188+0.0499743j -0.113711-0.179678j -0.186722-0.266417j 0.00646853-0.0383636j -0.217725+0.0345313j 0.122024+0.074313j -0.533278+0.183882j -0.00114905+0.0402841j 0.164549+0.233294j -0.0134681-0.0329002j -0.515235+0.0469105j 0.173299-0.363472j -0.29982-0.0900128j 0.00628016-0.224035j -0.302099-0.184155j -0.0770408+0.173303j -0.180783+0.115303j 0.142562-0.532816j 0.0554421-0.260406j -0.0550653-0.0248506j 0.181478+0.0280287j 0.52375-0.152408j 0.487988+0.0438635j -0.489373-0.141067j -0.0504211+0.0390807j -0.0896043-0.251077j -0.0783062-0.0988558j 0.283653+0.310887j 0.0840661+0.133942j -0.4516+0.0721238j 0.145729-0.0553479j 0.0222619+0.320189j 0.155896+0.281706j -0.179318-0.141432j -0.611659+0.249587j -0.0663909+0.097279j -0.177541+0.0379213j 0.400259+0.188054j -0.064215+0.156808j -0.104156-0.94298j 0.185843-0.0463612j 0.152034+0.138799j 0.112156-0.077757j -0.0609859+0.28234j 0.129519-0.10079j 
-0.0112683-0.155456j -0.120463-0.226687j -0.0710912+0.0193795j 0.315389-0.257344j -0.0240502+0.0772463j 0.032833-0.0700146j 0.0412128-0.000552465j -0.158948+0.168274j 0.0654239-0.479176j 0.131515-0.0646595j -0.0397226-0.193755j -0.342174+0.189489j 0.209514-0.0131952j 0.095843-0.115952j -0.171945+0.0257051j -0.162179-0.155868j 0.600944-0.126316j 0.144287+0.0170656j -0.283338-0.197647j -0.211008-0.33355j -0.0606216+0.314626j -0.121165-0.0173065j 0.32757-0.0679636j -0.400767+0.179776j -0.0722708+0.134718j -0.0693608+0.200889j -0.00951445+0.177085j -0.477238+0.146822j 0.177031-0.197282j 0.136086+0.096731j -0.414689+0.077415j -0.53256-0.372983j 0.0615385-0.46158j 0.116035+0.184049j 0.355334-0.570208j 0.309677-0.270277j -0.0635724+0.00699649j -0.165628-0.120011j -0.0241112+0.296135j 0.0325181-0.441964j -0.0137054-0.0580975j 0.0137328-0.344191j 0.273317+0.00629785j 0.353772+0.141624j 0.365203+0.424431j 0.240653+0.155635j 0.202112-0.0113873j 0.172706-0.213234j -0.299089-0.12615j 0.0893804-0.016496j 0.0190172+0.284071j 0.271637+0.116901j 
0.0796081-0.060822j -0.135062-0.157426j -0.0487409+0.000943097j -0.147959-0.0436509j -0.350539-0.145775j 0.16366+0.0937193j 0.111624-0.0310279j 0.0587403+0.0181375j -0.0312948-0.215267j -0.292953+0.107636j 0.096795-0.212117j -0.17763-0.356988j 0.0890687+0.0641727j -0.660778-0.0981945j -0.101655+0.271332j -0.154576-0.218821j -0.385343-0.116576j 0.0288544+0.285611j 0.0925723+0.276647j 0.0132906-0.093588j -0.479048+0.395104j -0.38623+0.446503j 0.312668-0.0263842j -0.153878-0.177728j -0.288487+0.037461j 0.206272+0.369383j -0.0429627+0.259982j 0.247536+0.0594805j 0.107458-0.355515j -0.130143+0.0458931j 0.0460564-0.0354295j -0.359525+0.190945j -0.0766081+0.339232j 0.163476-0.22443j -0.0977191-0.258671j 0.00658416-0.246267j -0.0788907+0.376982j -0.131359-0.0482799j 0.0416612-0.341745j -0.134066+0.181736j 0.179263+0.414898j 0.43716+0.147065j 0.0389169+0.276159j 0.260902+0.116722j -0.323127-0.329284j -0.0806398+0.0543906j 0.259927-0.579958j 0.0970274+0.222727j -0.148262+0.0390472j -0.0210266+0.000184493j -0.0705366+0.241992j 0.0813027+0.134811j 
-0.0415621-0.159967j 0.122257-0.211121j 0.0962371-0.0580792j 0.18444+0.0902601j 0.311285+0.0631954j -0.0515994-0.191289j 0.192747-0.116283j 0.21953+0.134679j -0.0845516+0.100893j 0.162278+0.341543j -0.0653761+0.0448307j -0.201495-0.340337j -0.308045-0.311404j 0.0582986+0.216684j -0.438966+0.114069j -0.0167251-0.0653379j -0.139503+0.0149782j 0.050042-0.332383j 0.369099-0.0577109j -0.0114429+0.016612j -0.289978+0.0905544j -0.113683-0.433541j 0.317809-0.156309j 0.626269-0.0650231j 0.0639809+0.409115j -0.0197111+0.281389j 0.217613-0.44981j 0.119422+0.411119j 0.661175-0.1498j 0.349655+0.125154j 0.0570233-0.532844j 0.284806+0.110092j 0.0868376+0.169297j 0.285169+0.0705654j 0.0145314+0.397008j 0.170405+0.0915666j 0.0694368-0.0751267j -0.393553-0.171064j -0.0636641+0.249058j 0.324949-0.378223j 0.181528-0.307531j -0.0584524-0.137041j -0.231278+0.348542j -0.0974431-0.158634j -0.189282+0.0692158j 0.173622+0.0607106j -0.0459393+0.181818j -0.301899+0.0919389j -0.16059+0.0907778j 0.130124+0.0990418j 0.00925272+0.330736j -0.126979+0.10405j 
0.145455-0.058179j 1.6707e-05-0.24684j -0.0299592+0.0243164j 0.143323+0.0551073j -0.0277397+0.165275j 0.161449+0.577541j -0.0263354-0.0870771j 0.186748-0.308177j 0.255949-0.0527187j -0.0901041+0.299859j 0.413152-0.00463905j -0.272733+0.469456j 0.0334399+0.110908j -0.114074-0.333531j -0.235234+0.0478328j -0.139906+0.328481j 0.187961-0.100896j 0.107476+0.430135j -0.0187696+0.27336j -0.041272-0.15258j 0.441176+0.0696457j -0.20876-0.137073j -0.141115-0.147864j 0.00695094+0.475174j -0.0559882+0.129573j -0.161459-0.0173268j -0.168018-0.11467j 0.287309+0.122414j 0.0108447+0.148566j 0.187422+0.0808009j 0.128566+0.492518j 0.683988+0.388315j 0.0557757+0.20501j 0.0770137-0.257324j -0.048487-0.159781j 0.363203-0.0696313j -0.0290548-0.245306j -0.0602563-0.167532j 0.65176-0.0340603j -0.226147-0.00376348j 0.271122-0.341286j -0.0286318+0.32278j 0.258592+0.0676684j -0.0603996+0.281547j -0.109352+0.0471566j 0.0540815-0.0136474j 0.19701+0.0263116j 0.415269-0.132607j 0.130632-0.00213546j -0.0884619+0.0329334j -0.194914+0.0999888j 0.0197136+0.0984402j 
0.246645+0.0652476j 0.0482009-0.2656j 0.045361+0.127414j 0.375419-0.0773861j -0.121453-0.191702j 0.0764071+0.0337952j 0.115817-0.189032j -0.453608+0.449451j 0.399393-0.0715407j -0.268601-0.245211j -0.0506788+0.271478j -0.214197+0.0415629j -0.111267-0.407535j -0.241613+0.303604j -0.0408991+0.0366317j -0.166837-0.0926651j -0.0371723-0.226989j 0.432669+0.39365j -0.155862-0.18461j -0.230988+0.688128j 0.238092-0.526489j 0.103899+0.0642578j 0.0858222-0.11087j -0.041323+0.099877j 0.461219+0.0806964j 0.186172+0.149127j -0.161917+0.233168j -0.064087-0.106376j -0.331405-0.286067j 0.190567+0.016297j -0.204584-0.00618944j 0.0312149+0.359875j -0.239309+0.199211j -0.277252+0.237663j 0.0462635+0.0513666j -0.607695-0.0732493j -0.0912422-0.170041j -0.115043+0.0226308j -0.1534-0.176534j -0.278164+0.00803498j 0.183796+0.206463j -0.19002+0.22991j -0.136607-0.150142j -0.0565672+0.494405j 0.123678+0.192847j -0.0448425+0.0143583j -0.0223891+0.125141j 0.0478953+0.179133j -0.416393-0.35588j -0.0513378-0.0407873j -0.215724+0.182572j -0.105517+0.101472j 
0.0250771+0.162088j 0.0051123-0.297298j -0.0157075+0.0876513j -0.266825+0.0227648j -0.199149+0.173808j -0.316808+0.792301j -0.128822-0.19631j -0.496319+0.171672j -0.0927608+0.0413764j 0.260393+0.230145j -0.361655-0.191209j 0.206893+0.0653629j -0.218027+0.304264j -0.13403+0.324672j 0.0997927-0.0967852j 0.152415+0.0699368j 0.0599115+0.0260633j 0.206391-0.47987j -0.1245+0.0885249j -0.014683+0.0827332j -0.0667489-0.0674411j 0.3438-0.169498j 0.408891+0.0125089j 0.465439+0.107411j -0.203136+0.0263587j 0.237749-0.217889j 0.307611+0.0751805j -0.243568-0.484616j -0.0257467-0.014128j -0.0558855-0.248093j 0.111765-0.264333j -0.0263553-0.341834j -0.271459+0.0985556j 0.348824+0.3815j -0.605296-0.0805709j 0.134527-0.0414409j -0.26053+0.379987j 0.107494-0.0528365j 0.553515+0.236384j -0.14209+0.0851261j 0.160061-0.00718597j -0.0627609-0.0351596j 0.220488-0.325541j -0.204326+0.135975j -0.160619+0.0396547j 0.104074-0.0820165j -0.0902752-0.0683783j 0.148564+0.315945j 0.0617004-0.0852305j 0.0951369-0.072862j -0.014535+0.0723104j -0.0444875+0.0611741j 
