0.0217104-0j 0.00313363-0j -0.0522685-0j -0.00923986-0j -0.000769988-0j 0.0518438-0j 0.00529129-0j 0.00864063-0j 0.00108008-0j 6.36443e-05-0j 0.0109677-0j 0.00111939-0j 0.00182795-0j 0.000228494-0j 1.34641e-05-0j 
-0.052634-0j -0.00759707-0j 0.0416486-0j 0.0073625-0j 0.000613542-0j 0.0268429-0j 0.00273964-0j 0.00447382-0j 0.000559227-0j 3.29528e-05-0j 0.0255044-0j 0.00260304-0j 0.00425074-0j 0.000531343-0j 3.13097e-05-0j 
0.0368361-0j 0.00531684-0j 0.0303883-0j 0.00537194-0j 0.000447662-0j 0.0188018-0j 0.00191895-0j 0.00313363-0j 0.000391704-0j 2.30814e-05-0j -0.0543077-0j -0.00554276-0j -0.00905129-0j -0.00113141-0j -6.6669e-05-0j 
0.0601532-0j 0.00868236-0j 0.00101273-0j 0.000179027-0j 1.49189e-05-0j -0.02945-0j -0.00300573-0j -0.00490833-0j -0.000613542-0j -3.61533e-05-0j 0.0303883-0j 0.00310149-0j 0.00506471-0j 0.000633089-0j 3.73051e-05-0j 
-0.0515599-0j -0.00744203-0j -0.0425347-0j -0.00751915-0j -0.000626596-0j -0.026317-0j -0.00268597-0j -0.00438617-0j -0.000548271-0j -3.23072e-05-0j -0.0260471-0j -0.00265842-0j -0.00434118-0j -0.000542648-0j -3.19758e-05-0j 
0.00537194-0j -0.0736604-0j 9.04413e-05-0j -0.000751432-0j -0.000190523-0j -0.00263001-0j -0.000268424-0j 0.0206018-0j 0.00520523-0j 0.000616671-0j -0.00791988-0j -0.000808319-0j 0.062039-0j 0.0156748-0j 0.00185701-0j 
-0.00443162-0j 0.0607667-0j 0.00708797-0j -0.0588905-0j -0.0149314-0j -0.00199065-0j -0.00020317-0j 0.0155934-0j 0.00393983-0j 0.000466757-0j 0.0021474-0j 0.000219168-0j -0.0168213-0j -0.00425005-0j -0.00050351-0j 
0.00620298-0j -0.0850557-0j -0.00490833-0j 0.0407809-0j 0.0103398-0j -0.00316347-0j -0.00032287-0j 0.0247805-0j 0.00626103-0j 0.000741753-0j 0.00313363-0j 0.000319825-0j -0.0245468-0j -0.00620198-0j -0.000734757-0j 
-0.00613936-0j 0.0841833-0j -0.00506471-0j 0.0420802-0j 0.0106693-0j -0.00313363-0j -0.000319825-0j 0.0245468-0j 0.00620198-0j 0.000734757-0j 0.0029749-0j 0.000303624-0j -0.0233034-0j -0.00588782-0j -0.000697538-0j 
0.00141592-0j -0.0194153-0j -0.00455312-0j 0.0378296-0j 0.00959156-0j 0.00751337-0j 0.00076683-0j -0.0588548-0j -0.0148702-0j -0.0017617-0j 0.000715299-0j 7.30049e-05-0j -0.00560318-0j -0.0014157-0j -0.00016772-0j 
-0.00751915-0j 0.103103-0j -0.000126591-0j 0.00105179-0j 0.000266676-0j 0.00368125-0j 0.000375716-0j -0.0288365-0j -0.00728581-0j -0.00086316-0j -0.00379853-0j -0.000387686-0j 0.0297552-0j 0.00751793-0j 0.00089066-0j 
0.00665635-0j -0.0912723-0j 0.00549121-0j -0.0456237-0j -0.0115677-0j 0.00339751-0j 0.000346757-0j -0.0266138-0j -0.00672424-0j -0.00079663-0j 0.00336267-0j 0.000343201-0j -0.0263409-0j -0.00665527-0j -0.00078846-0j 
