0.013419+0.0425895j 0.0426976-0.0499904j -0.165362+0.0227613j -0.166508+0.0414128j 0.00564367+0.154207j -0.082647-0.308581j 0.066095-0.137287j -0.165369+0.141268j -0.158366-0.0595754j 0.0513796+0.0347343j 0.0813537-0.0748293j -0.0435401+0.0298036j 0.203606-0.168908j 0.0785455-0.134445j 0.0901621+0.0664157j 
0.0758182-0.00249542j 0.0129537-0.113793j -0.260302-0.0654959j -0.0640729+0.0643996j 0.167562+0.0582886j 0.089708+0.0685501j -0.0523095-0.0709141j 0.0453658-0.106694j 0.0889578+0.183518j -0.0956805-0.142529j 0.110962-0.121279j -0.145447-0.0874823j 0.259345+0.0639844j -0.0828482-0.0476538j 0.0352872-0.0823975j 
0.0150007+0.0631195j 0.069461+0.00210683j -0.10182+0.0407304j 0.113854+0.115025j 0.198127-0.105668j 0.269609+0.372573j 0.0509044-0.0675536j 0.374595-0.0912823j 0.198711+0.234367j -0.224552+0.135809j 0.126528+0.0537912j 0.0261329-0.107562j 0.124063+0.174447j -0.12796+0.0674708j -0.0445212-0.160391j 
-0.0997673+0.182574j 0.153653+0.116538j -0.0317372+0.247504j -0.0639788+0.0845477j 3.07752e-06+0.0214528j 0.105314-0.155114j 0.268325-0.29133j 0.239918+0.257574j -0.126223-0.136028j -0.217409+0.480102j 0.166691+0.138221j 0.169047-0.0466325j 0.0183176-0.0988823j 0.0251888-0.0549588j 0.0581908+0.0592447j 
-0.069977-0.0161616j -0.0426351+0.146045j 0.348955+0.0861197j 0.146736-0.0440867j -0.12713-0.167908j -0.0529533+0.152229j 0.0579981+0.131714j 0.0667998-0.00178405j 0.0586413-0.137354j 0.0459125+0.147334j -0.13216+0.161942j 0.1324+0.0588646j -0.335995+0.0987294j 0.0389955+0.157203j -0.0631723+0.0112551j 
0.00916774-0.0338065j -0.0149809-0.0199105j 0.0367256-0.0529088j 0.0267119-0.0137442j -0.00390906+0.0493543j -0.0196194+0.00183935j -0.0339662+0.0295539j -0.0154122-0.0316549j 0.00681849-0.0130304j -0.00243266-0.0658673j -0.0270096-0.0842283j -0.0321924+0.0410879j -0.00236227+0.0164794j -0.00803693-0.0088336j -0.013953-0.00175979j 
0.000918794+0.0126802j 0.000376592+0.0046169j -0.0315347+0.0284041j -0.0043381-0.0310236j 0.0139606+0.0634261j -0.00133791+0.0178277j 0.0584019+0.0105974j 0.0161452+0.0124267j 0.0344865-0.00406591j 0.0225148+0.0457152j 0.0307383-0.0506192j 0.0343033+0.00696359j 0.00101773-0.0188835j 0.0115811-0.000307276j 0.00923596+0.00522097j 
-0.0118238+0.0109513j -4.65058e-05+0.00521157j -0.0127402+0.0265821j -0.048276-0.0189792j -0.0261193+0.0296694j -0.0435488-0.0861023j 0.0209958-0.0448538j -0.0226283+0.0184793j -0.0303685-0.067072j -0.0250134+0.00823668j 0.0175814-0.00974999j -0.00652874-0.00991389j -0.0148577-0.0204796j 0.0139505-0.0137343j 0.0334623+0.0282187j 
0.00379379+0.00804969j 0.0250939-0.00828988j -0.000267039+0.0336766j -0.0331762+0.0173838j 0.0140549+0.0247463j 0.0827719-0.0202776j -0.0142579+0.0187257j 0.0320268+0.0261716j -0.015771+0.0428274j -0.00377453-0.00505933j 0.000681229+0.00414513j -0.00288736-0.0161632j -0.00719653-0.0113224j -0.00786852-0.00824307j -0.00732494+0.00199896j 
-0.0150933+0.00649612j 0.0086299-0.00779017j -0.0278134-0.00820102j -0.0260087-0.0201785j -0.0159119+0.0180566j -0.0186677-0.0868301j 0.0290887-0.0173694j -0.0278861+0.0530052j -0.0323641-0.0157153j 0.0375264+0.00540583j -0.0165978+0.0321517j 0.016677+0.0349797j 0.0401855-0.0383639j 0.0240832+0.00621626j 0.0465806+0.0371069j 
0.00623869-0.0116404j -0.0159816-0.0132274j -0.0374059-0.047022j 0.0381632-0.0303875j -0.00488146-0.0271223j -0.0108328+0.0575752j -0.0506553-0.00567503j 0.00797102-0.0489109j 0.0105133+0.0132955j -0.0239088-0.0472594j 0.00884329-0.0236728j -0.0105616-0.026362j -0.0067136+0.00443622j -0.0394424-0.00860436j -0.019691-0.0087427j 
0.0283009+0.00294751j 0.0246523-0.0240072j -0.0916434-0.010134j -0.0228529+0.0288285j 0.0507616+0.0164423j -0.0112864-0.0101739j 0.0254763-0.0527105j -0.0021061+0.0267857j 0.0153176+0.0367361j 0.0169213-0.0215493j 0.0675628-0.0245943j -0.0512889-0.04333j 0.0810769+0.0117626j -0.0413638-0.0405381j 0.0281253+0.021487j 
-0.0178532+0.00620426j 0.0183562-0.00685371j 0.0164402-0.00544364j 0.00689277+0.00195512j 0.0181876+0.0353167j 0.0342693+0.00564376j -0.00665258+0.0104353j 0.041548+0.0213516j -0.0184761-0.0119963j -0.0209888+0.0219446j 0.00807597-0.0171509j 0.00611864+0.0119414j -0.000947031+0.0063424j -0.0124443+0.0034477j 0.00301681+0.00587502j 
-0.00111819+0.0116674j 0.00221321-0.0120014j -0.0319778-0.00251687j -0.0269388-0.000325039j 0.0318631+0.0157187j 0.00977149-0.0126708j -0.0130924+0.0174081j 0.0064841+0.00438479j -0.0229703-0.00673126j 0.00159814-0.00188735j 0.0225192-0.00247373j -0.010786-0.00407458j 0.0285355-0.00314905j 0.00249598+0.00380455j 0.0188335-0.00387363j 
-0.0276955+0.0180129j 0.0253417+0.00671627j 0.0168155+0.0197355j -0.00164232+0.0200648j -0.00970154-0.0212967j 0.0227957+0.000649095j 0.0500904-0.0126862j 0.0359919+0.0310058j -0.0509347-0.0135712j -0.0301864+0.0395276j 0.0293619+0.00120553j 0.0150578+0.000297122j -0.00795466+0.00309212j 0.00375412+0.00515751j 0.0129151+0.00628697j 
-0.00872513+0.00164693j 0.00675382-0.0203274j -0.0216812-0.0034278j -0.00738839+0.0111444j -0.00528319-0.0111577j 0.00768411+0.004729j 0.0301304-0.0276547j -0.00543106-0.00400603j 0.0053264+0.0441668j -0.00386796-0.01247j -0.000926931-0.000361824j -0.000908532-0.0198517j 0.0132935+0.0103859j -0.00673721+0.00196777j 0.0164743+0.00173693j 
0.0039313+0.00511503j -0.0103905+0.0108486j -0.00780708+0.000214572j 0.0111059-0.0167237j -0.0133335-0.0262277j 0.00919861+0.0384048j -0.00475249+0.0140714j 0.0218051-0.0195419j -0.0126426-0.00310357j -0.0207672-0.0169653j 0.01729-0.0195265j -0.00575218-0.00799565j -0.0185654+0.00963872j -0.00552511+0.00654848j -0.00822624-0.0137348j 
-0.00950568+0.0374561j -0.0221623+0.00225293j -0.0260156-0.00626522j 0.000758137-0.0114291j -0.0119238+0.0211595j 0.0284528-0.0103978j 0.0171196-0.026206j 0.00181434+0.0373829j -0.00769704-0.00463039j -0.0251507+0.00164159j 0.0077119-0.0168066j -0.0151062-0.00537963j 0.0128845+0.00709379j 0.0111933-0.00832527j 0.0102165-0.00127795j 
-0.0118129+0.0116505j -0.014171-0.0320753j -0.0197003-0.0306118j -0.0112846+0.0100927j 0.0181564+0.0321445j 0.000341401-0.00554619j -0.0285187+0.00294142j -0.0419498+0.00903048j -0.0192336+0.00279615j 0.00987573-0.0188617j 0.00384538-0.0229952j -0.0261354-0.0121366j 0.0247452+0.00108563j 0.00342567-0.0123825j 0.0081101-0.00322345j 
-0.0206798-0.0176773j 0.0043365-0.0408869j 0.0164189-0.024983j 0.00450113+0.00403143j 0.0180802+0.0185746j 0.00532188+0.0410722j -0.0337597+0.0285142j -0.00518689-0.0345618j 0.011292+0.0324195j 0.0147748-0.0232693j -0.0145813-0.00983055j 0.0100434-0.0158179j -0.0184653+0.0123505j -0.0148951+0.0162899j 0.00132159-0.00943696j 
-0.0213459-0.00983127j 0.0111479+0.0126532j 0.0610349+0.0103103j 0.0300615+0.000809132j -0.0205491-0.0313607j -0.00194544+0.00688978j 0.00781985+0.00959662j 0.0271601-0.00214312j -0.00711676-0.0215663j -0.00741875+0.0322933j -0.0215718+0.0273442j 0.0377649+0.019959j -0.0458726-0.00733631j 0.00127139+0.020843j -0.0114971+0.00490264j 
0.00145603+0.000441084j -0.0213794-0.0152256j -0.0158466-0.0282338j 0.00999107-0.0146399j 0.00852283+0.00283823j -0.0182754+0.0224406j -0.0253843+0.0105208j -0.0182403-0.0239352j 0.0116616+0.00919302j 0.0130716-0.023626j -0.00601372-0.0118272j -0.00713524-0.0125871j -0.00283987+0.00740743j -0.00610472+0.00197059j -0.00101187-0.00761985j 
