0.0684226+0.0436129j -0.0273605-0.111944j -0.0215574+0.277177j -0.139973+0.318726j 0.341666+0.134598j -0.185631+0.104965j -0.00436002+0.09305j -0.114976-0.129494j -0.11526+0.111433j -0.0986801-0.0287523j 0.206222+0.151158j -0.0226998+0.0707124j -0.00499198-0.0405591j 0.0327842-0.121217j -0.0600977-0.125412j -0.109021+0.110322j 0.0331068+0.0219632j 0.0768207+0.0572767j -0.0111958-0.017404j 0.0114498-0.00506207j -0.0755825+0.0211898j -0.0595199+0.0903771j 0.029689-0.0325385j 0.0908737-0.0497518j 
-0.0416267+0.221939j 0.0365155-0.620634j -0.00478879+0.158491j 0.0770826+0.14173j -0.281002-0.149825j 0.00786801-0.244359j 0.193043-0.122609j -0.133608+0.023936j -0.112352-0.115395j 0.0910277+0.0264249j 0.0372416-0.0616692j -0.053169-0.0221103j 0.0292777+0.0160281j 0.0346072-0.00395733j 0.0191829-0.0517867j -0.0201089-0.109083j -0.0824362-0.0669328j -0.0524761+0.084873j -0.0309785-0.018812j 0.010435+0.0339316j -0.0145186-0.0482773j -0.117695+0.0818853j 0.0431291+0.000958988j -0.00281331+0.0844734j 
0.0134773+0.0255256j -0.00973991-0.239294j -0.00202917-0.885715j -0.0269315+0.318062j 0.0666988+0.0886572j -0.0268177+0.158993j 0.00435793-0.0304668j -0.00691394-0.0563421j -0.000700569-0.0252239j 0.0256587-0.0111423j 0.0317494+0.0110124j 0.00336798+0.0581958j -0.00309535+0.116308j 0.00379824+0.0301738j -0.0177232-0.0535985j -0.00514622+0.0248411j 0.00899898-0.00134383j 0.0230439-0.00271762j -0.0473687-0.00898411j 0.0438011+0.00669491j 0.0596192+0.0181019j -0.0322092+0.000735105j -0.0243263+0.0200919j -0.0239999+4.00511e-05j 
0.0300588+0.146179j -0.0227735-0.354484j 0.00731616+0.168563j -0.0456231+0.432218j 0.17953+0.0143061j 0.0281054-0.258866j -0.179984+0.126819j 0.0979393+0.148591j 0.133739+0.127499j -0.0597238-0.0485712j -0.120655+0.129188j 0.043197+0.15835j -0.0246673-0.0210345j 0.0219998+0.138589j 0.0666439+0.192203j -0.0133905-0.00774556j 0.0529467+0.100811j 0.0200784-0.105319j 0.012354+0.0149447j -0.00459902+0.00158387j 0.0321215-0.00730474j 0.105275-0.110081j -0.015818-0.0231491j -0.0305306+0.00651617j 
0.0783283-0.02845j -0.0127904+0.180228j -0.0195017+0.0999385j -0.102348+0.20761j 0.35841+0.155345j -0.194918+0.235939j 0.0290893+0.0686771j -0.157189-0.144838j 0.0266827-0.0643199j 0.121646+0.0146268j -0.0961343-0.0471148j -0.00142436+0.187305j 0.0405127-0.00151987j 0.0894276-0.0581927j 0.0306551+0.0330064j 0.041346-0.140105j -0.102992-0.0203096j -0.0709984+0.0685898j 0.0127252-0.0541946j 0.00163562+0.0292601j 0.0103181-0.112116j -0.0329686+0.00187862j 0.0175093+0.0506945j -0.0253094+0.0392548j 
0.016714-0.00325173j -0.0372834+0.0559962j 0.011474+0.0878909j -0.0358816+0.0524057j 0.044914+0.0525008j 0.0471541+0.00415712j 0.0672377-0.146811j 0.0742993+0.141975j 0.130992-0.5161j 0.635081+0.0784j 0.0114426-0.0783924j 0.064412+0.294123j 0.0234919+0.0588225j 0.0594283+0.0342958j -0.074967+0.129884j -0.00661765+0.118614j -0.0492902-0.041571j -0.0269202-0.0184445j -0.000411466-0.00478607j -0.00910543+0.0148891j 0.0201077+0.0240592j 0.0220993+0.0310264j -0.00392944-0.00738454j 0.0112312+0.0416971j 
-0.0285192+0.034697j 0.0339074-0.127772j -0.00956781+0.116986j 0.042049+0.0649704j -0.00770474-0.023757j -0.102347+0.0675351j 0.0726132-0.0785566j -0.154583-0.321246j -0.140809+0.0119381j 0.0537166-0.00552846j 0.271385-0.270096j -0.133519-0.0377637j 0.0348391-0.0173442j 0.00734242-0.0180564j -0.00656093-0.0580115j 0.252899+0.17186j -0.0320581-0.147076j 0.0386304+0.0306987j 0.0597694-0.018751j -0.0168368-0.0168211j 0.0714738+0.0482772j 0.0463404-0.0108302j -0.161221+0.0859136j -0.0556978-0.062187j 
0.000590165+0.0434758j -0.0600054+0.0160614j 0.0159371+0.0365624j -0.033016+0.0711701j 0.0459583+0.0225129j 0.0856552-0.169109j -0.0103815+0.258393j 0.22844+0.110492j 0.121222+0.0381509j -0.122972-0.0481535j -0.117432-0.0711338j 0.149064-0.025917j -0.0424567+0.102802j -0.0286345+0.00570431j -0.186131+0.128116j 0.1726-0.0070833j -0.0576934+0.0157673j -0.0212889-0.296319j 0.0667574-0.0212408j -0.027173+0.00972869j 0.0639956+0.038085j -0.0249204+0.0615081j -0.0739358+0.00458818j -0.0887455+0.0202681j 
-0.0402946+0.00380332j 0.0377546-0.0158762j -0.0284868+0.0137454j -0.0272771-0.0828883j -0.0503568+0.06842j -0.133678+0.0975772j -0.128398+0.168521j -0.103858+0.02245j 0.0659872-0.0513315j 0.046026-0.0507232j 0.0777563+0.00842841j 0.120523+0.113936j -0.110721-0.0586305j 0.1455+0.113687j 0.00337446-0.205326j -0.00790774+0.00215744j 0.0810279-0.0916002j 0.0858903+0.0187732j 0.0593116+0.0216657j -0.0128543-0.0310222j -0.0563368+0.0439059j -0.161181-0.140737j 0.0591369-0.0809496j -0.108283+0.0333174j 
-0.0254736+0.0539771j -0.0917517-0.120811j 0.0150547+0.00367164j -0.110965-0.112916j -0.078233+0.0911763j 0.0974069+0.169282j 0.158641+0.154383j -0.0849206+0.0893781j -0.0449638-0.0419055j -0.128458+0.000303092j 0.0548229-0.0897054j 0.0730811-0.230781j -0.0624279+0.132431j 0.30119-0.034988j -0.043726+0.0209446j 0.00836704+0.0184009j -0.0547565-0.057406j -0.0309999+0.0663491j 0.0819965-0.0765832j -0.0703414+0.0446587j 0.0372032-0.0457783j 0.00478651-0.0300477j -0.0140467+0.0387855j 0.00526844+0.024639j 
-0.0269384+0.00564184j 0.0482327-0.0410948j -0.00100657-0.0219129j 0.0310464+0.0304566j 0.0278281-0.0441573j -0.105219-0.0435357j -0.0332302+0.048948j -0.0747859-0.0723931j 0.0617436-0.0359292j 0.0181348-0.00286552j -0.110114-0.170186j 0.0130634+0.102029j 0.0232633+0.0165395j 0.000722467+0.127446j -0.0416244+0.0404861j 0.224482-0.137491j 0.0956995+0.071527j -0.0495591-0.028863j 0.0529784-0.0519567j -0.0327709-0.00424288j -0.00908499+0.0670866j 0.0440757-0.0659018j 0.0378289+0.0162636j -0.00486094-0.0471046j 
