-0.16051-0.146037j 0.489944-0.109676j 0.0694602+0.655206j 0.432785-0.0422994j 0.0561356-0.120885j 0.118203+0.0556751j -0.078137-0.032622j -0.0462744-0.00866669j -0.00572359+0.00128781j -0.00399551+0.0163839j -0.0360387+0.0347831j -0.0377448+0.0500936j 0.00550694+0.0560436j -0.011391-0.0159191j -0.011731-0.0141809j 0.0365805+0.0270089j 0.0290912-0.0279113j 0.00983601+0.0304754j -0.0339742-0.0273273j 0.0135667-0.0106476j -0.0122479+0.0460957j 0.0463941+0.047567j -0.031905+0.0113355j 0.0259734-0.0199718j -0.00107247+0.00815339j 0.0265744-0.0272939j -0.0057934+0.00624998j -0.00767555+0.0386799j -0.0241239+0.0397035j 0.0192742+0.0385117j -0.0430627-0.0368867j -0.0367311-0.0179849j -0.0237497-0.0149452j 0.0149094+0.0637144j -0.0308237-0.021094j -0.0352411-0.0301617j 
-0.196902+0.230328j -0.0250226+0.0165583j 0.0102711+0.261158j 0.249711-0.00477507j 0.0428972+0.27852j -0.201757-0.07923j 0.0983652+0.049251j -0.199589-0.0441091j 0.0449082-0.0077318j 0.0681852-0.0310674j 0.0278759-0.031407j 0.13221-0.112844j -0.0644557-0.0162795j 0.00553159+0.0141539j 0.0136062-0.0848585j 0.0110198+0.0184201j -0.00331726+0.0525162j 0.0167097-0.0537334j 0.0768509+0.0813124j -0.00194984-0.066159j 0.0411525-0.137221j 0.014105-0.024484j 0.0603012-0.0598575j -0.0380774+0.0683068j 0.0499009+0.0230648j 0.0113467-0.0964503j 0.029915-0.0273027j 0.0182687-0.113319j 0.041978-0.129202j -0.0444035-0.110667j 0.0440728+0.0367998j 0.013483-0.00529235j 0.0263923-0.0044252j 0.0450266-0.119634j 0.0356052+0.0127489j 0.0574736+0.118908j 
-0.240503-0.0732487j -0.128688-0.222122j -0.0559614-0.0473351j 0.0413223+0.190016j -0.364673+0.0067579j 0.0953197-0.276738j -0.0800217+0.166576j 0.0617494-0.183647j -0.0249136+0.0315702j 0.00579414+0.00377262j 0.0320709+0.0174089j -0.0938014-0.0238934j 0.100337+0.0413396j 0.0139449+0.0108249j 0.0528514-0.038048j -0.0288019-0.00890852j 0.0498657-0.00689585j -0.0216722+0.0182256j 0.036678+0.112851j -0.0780331-0.0144103j -0.0171477-0.0685459j 0.0022906-0.0220451j 0.00612938+0.0136904j 0.0409278-0.025432j 0.0183181+0.0440435j -0.0226032-0.0185774j 0.00375761+0.0053179j -0.00846098+0.0298782j -0.0224687+0.0238196j 0.00446808-0.0521736j 0.0189079+0.0494286j -0.0112667+0.0187081j 0.0451758+0.0269816j 0.0283767+0.0549447j -0.0630276-0.00291616j 0.0337006+0.0506611j 
0.0104602-0.115601j 0.135144-0.115792j -0.00405388-0.0559767j -0.137173+0.114887j 0.0063708-0.110741j 0.168033+0.119589j -0.0911896-0.0946177j 0.0227716+0.0760256j 0.164296-0.0851341j -0.0829308-0.0288044j 0.0635822-0.00164444j -0.0261829-0.198272j -0.118331+0.0921614j 0.150984+0.102371j 0.0375029-0.16463j -0.0323153+0.0110946j -0.0168195+0.0273412j -0.0491067-0.099906j 0.125991+0.230994j -0.0578136-0.0710727j 0.0170157-0.322766j 0.0198181-0.0110303j -0.00734683-0.158954j 0.0412947+0.0896172j 0.0652887-0.060468j -0.0162988-0.111598j 0.0120679-0.106075j -0.0083455-0.137297j 0.0220802-0.180239j -0.0462828-0.185083j 0.0325864+0.02728j 0.023281+0.0189506j 0.113448+0.0354627j 0.0733955-0.0637664j -0.0442174-0.0206854j 0.096433+0.200388j 
0.0141483+0.00225052j -0.0171271-0.0637528j -0.0141612+0.0347222j -0.0590946+0.0602059j -0.0203025+0.0481775j -0.00517958+0.0826736j 0.159988+0.0235369j -0.00643244+0.0806237j -0.115064+0.120983j -0.193397-0.178786j 0.21736-0.0732535j 0.0015816-0.0484379j -0.0190002-0.0964402j -0.0244706-0.0647145j -0.0561066+0.0118317j 0.178287-0.402828j 0.16146+0.0482062j 0.111667+0.595672j 0.0757607-0.028622j 0.0157532-0.00303512j 0.0263837-0.0876697j -0.0189708+0.132141j -0.049059-0.117912j 0.0496875+0.0257964j -0.0198957+0.0207372j -0.0237573-0.0952272j 0.0180226-0.136223j 0.00456487+0.0908405j -0.0523292-0.0377176j 0.0813143+0.0136091j -0.0581086+0.0192177j -0.0286386+0.0155823j 0.0514732-0.0598496j 0.0545921+0.119686j -0.0587675-0.0513926j 0.0341177+0.038012j 
0.0935537+0.0517026j 0.016429+0.0562363j 0.0168511+0.000209311j 0.0730496-0.0426629j 0.00439325+0.0781573j -0.104221+0.0950268j 0.0901555+0.0163873j -0.082173+0.0106083j 0.143293+0.0638683j 0.0227227-0.107483j 0.081114-0.00617357j -0.212506-0.0455465j 0.146356+0.0518911j 0.195089+0.202895j -0.0128619-0.23061j -0.138815+0.113956j -0.0453087-0.258395j -0.055497-0.0781548j 0.143617+0.17607j -0.0930648+0.10479j 0.0653253-0.218004j -0.010786-0.0120922j 0.0374768+0.014691j 0.0972579-0.0598131j 0.0544028-0.0624332j -0.0222115+0.0745336j 0.0434184-0.0342416j -0.0128516+0.0591406j -0.123646+0.174077j 0.00709705-0.0376513j -0.00673904+0.0300873j -0.022453+0.0565523j 0.0641801+0.0778347j -0.0368805+0.1677j -0.11279+0.0255467j 0.0996281-0.0402987j 
-0.0515861+0.0467291j -0.124405-0.00462954j -0.00679951-0.0352794j 0.03323+0.0652903j 0.0563405-0.0168806j 0.0463165+0.0251214j -0.236369+0.0762962j -0.150154+0.0521224j -0.0353442-0.217227j -0.0421589-0.050893j 0.0733987+0.00497531j 0.205139-0.0647794j -0.255879+0.237806j -0.0104013+0.0466428j 0.0341271-0.203525j -0.0256971+0.056556j -0.186795-0.181891j 0.0843525+0.106072j 0.0197734-0.0306348j 0.0920294+0.112152j 0.0380733-0.183099j -0.046896-0.0361113j -0.14771+0.0246173j -0.234269-0.0235434j -0.135237-0.141115j 0.113419+0.0326954j -0.025176-0.0227434j 0.0916643+0.0204604j 0.0696404-0.0243483j 0.102399+0.107214j -0.166534-0.0514003j -0.0198942-0.0330504j -0.0795746-0.0494717j 0.143503+0.0238899j 0.0886117-0.0140006j -0.188594-0.121345j 
-0.024705-0.0330522j 0.0570976-0.08632j -0.0194907-0.034063j -0.0687519+0.0556127j 0.0164827-0.0170371j -0.0145385+0.0111962j 0.0295056-0.05487j 0.105198+0.0221326j -0.0385695+0.0798665j 0.372289-0.0257025j 0.0991694-0.0620719j 0.0227758+0.00715656j -0.0168895+0.0506918j 0.0136734+0.0805478j -0.00467698+0.114306j 0.0353208+0.10173j -0.101908-0.238431j -0.00335165-0.0976826j -0.0813421-0.201648j -0.0218394+0.100566j -0.101435-0.00538808j -0.0134257-0.0237257j 0.0960844+0.176487j 0.0213055-0.12725j -0.0380255+0.0640647j 0.00113648+0.0584706j 0.0400919-0.0844615j -0.0460756+0.145223j -0.00253525-0.134864j 0.0644569-0.0951996j 0.0318434-0.0123463j -0.0233851+0.0642613j 0.0392004-0.092654j 0.0102225+0.0628599j 0.0203192-0.089866j 0.00903644-0.00362423j 
0.144946-0.0940252j 0.0245942+0.0261458j 0.0258725-0.0290478j 0.0452898-0.0544878j -0.151085+0.00501353j 0.0141242+0.0564368j 0.0390096+0.0305749j -0.089062-0.0754314j 0.118761+0.0519423j -0.281757-0.111143j -0.116606+0.204848j -0.248372+0.0759479j 0.243778-0.0576363j -0.0232153+0.117857j -0.00810116+0.0806159j -0.110465+0.0955046j 0.0143746-0.0493014j -0.0288147+0.00759211j -0.0726215+0.037552j 0.0233175+0.0385453j -0.110433+0.0998862j -0.0360091-0.0223285j -0.130182+0.023353j 0.0130355-0.024974j 0.0342473+0.0543842j 0.0072553-0.0006245j -0.0175281+0.0127481j 0.0517082+0.101575j 0.0065342-0.0741888j 0.0475654+0.0354602j -0.0777398-0.0387409j -0.0133792+0.0074896j 0.0236587+0.0476216j 0.0676374+0.126505j -0.106534-0.0917504j -0.0410236+0.0285712j 
0.0496996-0.0335313j -0.027431+0.0425553j 0.0369501-0.0261215j -0.0242491-0.00185365j -0.0642698+0.0149645j 0.0116599+0.00723591j -0.165282+0.124138j -0.265165+0.0199477j -0.124884-0.102564j -0.381701-0.129828j -0.289994+0.143634j 0.19243+0.0390845j 0.0388308-0.029675j -0.0658205-0.0753261j 0.021717-0.0295441j -0.235751+0.233663j 0.0643064+0.165345j 0.0411554-0.000558795j -0.00378855+0.0122459j -0.00711542+0.0484181j 0.0476178+0.0192741j 0.0153743-0.00928158j -0.0540702-0.0367104j 0.0511314+0.049108j 0.0353374-0.0202842j -0.0351315-0.00346885j -0.0499606-0.0160101j 0.003313+0.0115211j 0.0127363-0.0365763j -0.0452036+0.0183434j -0.0299998-0.0544107j 0.00257859-0.00942504j -0.00518487+0.00889262j -0.0152262+0.0137526j -0.031335-0.0175963j 0.0374775+0.0227756j 
-0.0691023-0.000803786j 0.0555681-0.0730635j 0.0060576+0.0192656j -0.0812675+0.12564j 0.0435689-0.0255973j 0.0157002-0.0140204j -0.0975732+0.052058j -0.118102+0.123978j -0.2808-0.0177087j 0.0179609-0.138203j -0.0446563-0.128631j 0.222069-0.0809553j -0.0309726-0.109686j 0.0488452-0.141491j 0.0395379-0.0248425j -0.108327+0.211595j 0.0242988+0.0205501j 0.083014+0.0590769j 0.0861872-0.0680761j -0.111893+0.0236199j 0.0764091-0.159249j 0.00415324-0.0269014j 0.189564+0.0570399j 0.162541-0.145492j 0.0640748+0.071585j -0.13025-0.0389713j -0.0128041-0.0445446j -0.0265104+0.114027j -0.0250727+0.202447j 0.0243009-0.0806471j 0.133822+0.169006j -0.0292961+0.107507j 0.0095556-0.0144908j -0.0479123+0.165348j -0.0248928-0.0106644j 0.0547249-0.0737735j 
