-0.0175136-0.0876132j -0.113512+0.0801044j 0.00463938-0.0128843j 0.0899091+0.0620923j -0.029047-0.0261458j 0.0306597-0.0396269j -0.0950051-0.0481142j 0.0300556+0.0477892j -0.0308281-0.0626299j -0.0683948+0.111524j 0.0856223+0.16606j -0.148672-0.00570985j -0.014522-0.142555j 0.151766-0.0126521j 0.0678763+0.13556j 
-0.0457272+0.0387887j 0.00379832+0.0523882j 0.000872225+0.062084j -0.0602785+0.0905989j 0.00704553+0.115314j 0.0156226+0.0514904j 0.0354419-0.0449424j 0.0747696-0.0103441j 0.197296-0.0894465j -0.0702463-0.0824459j -0.0175043+0.130751j -0.00941234-0.149531j -0.00553431-0.132611j 0.0835322+0.181007j -0.0651037-0.0667154j 
-0.0492617+0.0640024j -0.0487879+0.116921j 0.01922-0.0434461j 0.0319534+0.0535564j -0.0722261+0.163922j 0.0252922-0.198242j -0.0904912-0.0493496j 0.14303+0.126701j -0.0244867+0.0622539j 0.039314+0.0638236j 0.112435+0.375507j -0.100712-0.205055j 0.00543045-0.194197j -0.0344342+0.25622j 0.280705+0.054667j 
0.0784087+0.0401879j 0.157389-0.149276j -0.00773485-0.0458093j -0.0334613-0.0876333j 0.0876837-0.00323875j -0.0243823+0.047427j 0.0641219+0.0406042j 0.0275103+0.00834376j -0.0396741+0.0476988j 0.129114-0.0770561j -0.0576002-0.188018j -0.00192921-0.133593j 0.0309697+0.132189j -0.220321+0.0394439j 0.0264542-0.0246654j 
-0.0885039+0.0598321j 0.11295-0.106777j 0.169146+0.0536697j -0.0293151+0.129544j -0.194761+0.185987j -0.0620181+0.0575235j 0.013137-0.250716j -0.1269-0.144268j -0.174965-0.104138j 0.0643818-0.133665j -0.0355774-0.135985j 0.235663+0.0688586j -0.166849-0.0587943j -0.0854135+0.0919098j 0.0455917-0.17854j 
-0.0671914+0.0982792j -0.00841766+0.0466527j -0.185439-0.173389j -0.0384013+0.0164837j 0.0306343+0.0901098j -0.0267432-0.229696j 0.0974993-0.0469081j -0.0312122+0.0518884j -0.180861+0.188466j 0.151688+0.0184517j -0.00678153-0.155883j 0.11673+0.0307711j 0.112113+0.187034j -0.0767861-0.100302j -0.215358-0.0490283j 
-0.150067+0.0858825j -0.0196223+0.0873683j -0.17176+0.107988j -0.132038+0.0646666j 0.0966929+0.252086j -0.0248581-0.0343829j 0.0554608-0.184083j 0.106645+0.00829163j 0.154216-0.0492835j 0.0200831-0.253824j -0.0733414-0.0116297j 0.134119-0.155966j -0.0560953-0.100891j 0.0749243+0.0768887j -0.252798-0.144912j 
0.132958-0.143919j -0.00846981-0.133022j -0.0625063-0.0171689j 0.0729985-0.00371461j 0.102084-0.0267917j -0.151959+0.00805316j -0.0803377-0.228806j 0.043213+0.269334j -0.229195+0.00360032j 0.136293-0.0809387j 0.152911-0.0476926j -0.0736555-0.0611386j 0.0612567+0.051618j -0.0347512+0.0137177j 0.129343+0.119123j 
0.0933093+0.0544019j 0.0436772+0.017545j -0.12544-0.0330193j -0.019675-0.114902j 0.175298-0.0314138j 0.0288459-0.0172548j 0.109737+0.160163j 0.143117+0.116519j 0.15915+0.0295341j 0.00837893-0.04744j -0.0404631+0.0516971j -0.0556388-0.161044j 0.0636083+0.0671392j -0.0164494+0.0624439j -0.0118787+0.00726377j 
-0.016876+0.01295j 0.217016-0.0565563j 0.168691-0.118477j -0.0962647+0.233633j -0.18919-0.0164486j -0.136263-0.0101713j 0.0542648-0.0568761j 0.0852816-0.132196j -0.196171+0.0264089j -0.0303462-0.102184j 0.00279013+0.143669j -0.145159-0.155124j 0.0232499+0.110028j -0.152707+0.102354j 0.0792785-0.0764659j 
-0.16285-0.0695943j -0.243796+0.226798j -0.0126745+0.208405j -0.158973+0.0697178j -0.00940724-0.0768348j -0.141016-0.207327j -0.173485-0.235471j 0.101031-0.0415729j -0.169128+0.0275896j -0.0307415-0.12837j -0.0781873-0.0854117j 0.135054+0.0716092j -0.12825-0.12647j 0.122813-0.0776183j -0.0392853-0.0419932j 
0.0694148+0.0320264j 0.0129888+0.117233j 0.0116686-0.0598417j -0.0884819-0.0794847j 0.0267889-0.132519j -0.0559063-0.14837j -0.019503+0.159767j 0.148664+0.0212541j -0.0209284+0.179875j 0.0271087-0.0167708j -0.0567439+0.081054j -0.0223974-0.0883019j 0.106839+0.0955012j -0.0700281+0.0520953j 0.109796+0.0382712j 
0.0502361-0.0534324j 0.0949388-0.193538j -0.0224576+0.00660011j 0.0716436-0.017444j 0.0565407+0.0843724j 0.0595976+0.234518j 0.0686156-0.0702822j -0.0731057+0.0409133j 0.0901292-0.179769j 5.84746e-05-0.0531213j 0.0953557-0.0337257j -0.0657569+0.0145897j -0.0145274+0.0131087j 0.0190639-0.0263017j -0.0712529-0.00193582j 
0.0246219+0.0719646j 0.0300652-0.0514043j 0.100518+0.0593667j 0.0135579-0.059477j -0.0421779+0.16584j 0.0195393+0.0528273j -0.0242037+0.0160717j -0.0907354-0.0322382j 0.148452-0.0329163j 0.0717523-0.0882343j -0.0486715+0.0481103j 0.146203-0.014647j -0.0882035-0.124958j -0.0287454+0.0936903j 0.0635731-0.0546843j 
0.0619283+0.0297344j -0.169087+0.116302j -0.055184-0.0371396j 0.0538736-0.0819317j -0.0268229+0.0430899j 0.0181466-0.0414459j 0.0653635+0.197432j -0.29672-0.0108307j 0.293037+0.0622244j -0.041507+0.200729j -0.101379+0.050214j 0.160255+0.10431j -0.0681053-0.0995663j 0.165847-0.0162596j -0.0845407-0.0440318j 
-0.0356775+0.0452187j 0.0558004-0.101337j -0.0541514+0.00698248j 0.0978877-0.0175061j 0.0179891+0.191897j 0.0743372+0.0121914j -0.0281289-0.125941j 0.0337021+0.109626j -0.0753767-0.0294056j 0.103699-0.0128568j 0.103546-0.0017399j 0.0264342-0.0386285j -0.00106591-0.05323j -0.0882303+0.0799271j 0.0964075+0.0217247j 
