0.000269674-0.0518893j -0.00442422+0.109051j 0.00532752-0.0167519j 0.000988346-0.00609592j 0.0030764-0.160202j 0.000357212+0.0305197j -0.00585197-0.132255j 0.00148578-0.0289317j 0.00186582-0.29427j -0.00478969-0.0428571j -0.0126911+0.0258872j 0.0122084-0.109058j -0.0139619-0.1385j -0.00194146+0.0440097j -0.000314441-0.0234158j 0.00255426+0.0749342j 0.00213448+0.0109341j -0.00257785+0.00480214j -0.00382578+0.13142j -0.00566255-0.0202331j 0.000859356-0.138633j -0.0012919+0.0223251j 0.000256352-0.368584j -0.00272013+0.374967j 0.00430191-0.440451j -0.00436572-0.504092j 
0.00548641-0.147506j 0.00129173+0.0179563j -0.000530993+0.0356399j 0.00549129+0.116756j 0.000130776-0.0531884j 0.00560954-0.015428j 0.000786115+0.0678336j -0.000832936+0.0469403j -0.00211474+0.0458514j -0.0162399+0.12894j 0.00612471+0.0290795j 0.0099318+0.0269258j -0.00429362+0.0923873j -0.00197697+0.00131373j 0.00122827-0.0540743j 0.00642612+0.138872j 0.00229448+0.100061j 0.000181502+0.0356877j 0.00682252+0.0136968j 0.00393038-0.0152092j -0.00543951-0.0805949j 0.00476741-0.126635j 0.0048019+0.0392357j -0.00265759+0.0805315j 0.00438177+0.691866j 0.00483157-0.566944j 
0.00279416-0.183401j -0.00480385-0.0179307j 0.000799437+0.0402255j 0.00540962+0.210038j -0.00805028+0.00427696j 0.00188568+0.0182836j -0.00508357+0.220179j -0.00379058+0.0911546j 0.00153897+0.185652j 0.00126222+0.131702j 0.00576901+0.0703651j -0.00384344+0.192552j 0.0051008+0.200842j 0.00630957-0.0402692j -0.00301822-0.09615j -0.00550359+0.275572j -0.00495561+0.207747j -0.00425232+0.0241918j -0.00579527-0.027476j -0.00705448-0.0581519j 0.00478106-0.0805818j -0.00455041-0.368596j 0.00146011+0.0779112j 0.00205898-0.40651j 0.000257482-0.433846j -0.00267626-0.186225j 
0.00118331+0.164952j 0.00274238-0.041607j -0.00144587-0.130465j 0.000658852-0.258413j 0.0026737+0.190633j -0.00749367+0.0367601j 0.00396318+0.0979999j 0.00139813-0.0613262j -0.00272269+0.162575j 0.00434343-0.209424j -2.13836e-05-0.020555j -0.00143006+0.0161891j 0.00342727-0.0196774j 0.00183247-0.120445j -0.00209316+0.216551j -0.0038315-0.239974j -0.00217661-0.0842162j -0.00200799+0.154014j -0.00311385+0.0890605j -0.00206536+0.0116524j 0.0015111+0.40438j -0.00207071-0.0323896j -0.000397465+0.377451j 0.000940236-0.00314416j 0.00011577-0.159954j -0.000125005-0.462235j 
0.00336811+0.0488234j -0.000698439+0.0738968j -0.00657421-0.0361636j 0.00529492-0.167638j 0.00524325-0.122979j -0.00847043+0.0100055j -0.00469193-0.0921748j -0.00108833-0.0238951j -0.00539458-0.18465j -0.00170294-0.00920715j 0.00186263+0.0406916j 0.00425-0.189288j -0.000673099-0.186733j -0.000816847+0.106825j -0.00245661+0.0628857j 0.000749596-0.289515j -0.0055545-0.0251095j -0.00437112+0.316658j 0.00119438+0.142739j -0.00503835-0.267711j 0.000695252-0.204959j -0.00362555-0.0533604j 0.00207606-0.174053j 0.000232076-0.637839j 0.00177574+0.119292j -0.00171317-0.0930184j 
-0.00233782+0.0661875j 0.00237831-0.00404393j -0.00634279-0.00463902j -0.00208449-0.0533361j -0.00530567-0.0111495j -0.00807447-0.00993114j 0.000314398-0.114771j -0.00588665-0.0240535j 0.00626429-0.0496549j -0.00302074-0.15273j 0.000951573-0.0527605j -0.00564752-0.0321232j 0.00706216-0.186808j 0.000817664-0.000925064j -0.00130683+0.0560996j 0.00423104-0.219387j -0.0068267+0.015375j 0.00329142-0.0671386j 0.00554509-0.0972971j 0.00298771+0.534659j -3.22951e-05-0.252664j -0.000103404-0.669242j 0.00101822+0.0426853j -0.000403724+0.0517276j -0.00170374+0.0285641j 0.00341154+0.051755j 
-0.00291275-0.0579993j -0.00285044+0.056767j -0.00445733+0.0659127j -0.0012104+0.0697557j -0.00711386-0.164355j -0.000248249+0.00902805j -0.000450906-0.125081j -0.00964021+0.0284052j 0.00756991-0.281413j 0.00381779+0.0844857j -0.00595036+0.022581j -0.00736104-0.0338795j 0.00385975-0.221033j -0.000324495+0.159554j -0.00290973-0.119037j -0.00164544+0.306839j -0.0002933+0.0848127j 4.20336e-05+0.17993j 0.00384847+0.207155j 0.000312349+0.279596j 0.00245634+0.65622j -0.000947795-0.0872324j -0.00140291+0.0109789j -3.01419e-05-0.146893j -0.00312271+0.0566552j 0.000207189+0.0807601j 
-0.00169054+0.02866j -0.00212492-0.0381526j 0.00122611+0.0586139j -0.00107918+0.136986j 0.0099846+0.0412357j 0.008091-0.0896187j -0.00233107+0.0250996j 0.000270133+0.0435066j -0.00506716+0.293731j 0.00444523+0.099552j 0.0019359+0.117021j 0.00378494+0.504932j -0.00262821+0.09707j -0.00759797+0.175973j 0.00183441+0.0497033j 0.000773602-0.344323j 0.00461091-0.107176j -0.0015012+0.19323j 0.00593591+0.251773j 0.00240691+0.215346j -0.00375347+0.117387j 0.00280166+0.0282076j -0.000731055-0.476789j -0.00250474+0.0242951j 0.00038135+0.00349619j 0.0009421-0.0116387j 
0.00117008+0.0628198j 0.00592122-0.0300572j -0.00407592+0.131112j 0.00157655+0.152297j -0.00403996+0.150917j -0.00422568+0.0620719j 0.00616864-0.136563j -0.0021223+0.139478j 2.89987e-05-0.210016j -0.0103257-0.228466j 0.00158953-0.362503j 0.00116353-0.0208301j 0.00119218+0.429168j 0.00114832+0.111047j 0.000445379+0.210727j 0.00388363-0.0201596j 0.00317126+0.216518j 0.00309845+0.264224j 0.00289038+0.238996j 0.00505563-0.275426j -0.00301446+0.0317424j 0.00308136-0.251087j 0.00168803+0.0171651j -0.000375137+0.196162j 0.000674389+0.0134256j 0.00320367+0.147002j 
0.00399461+0.0577244j 0.00855821-0.0526252j 0.0044149-0.139795j 0.0020286-0.17406j -0.00297031+0.450996j -0.00166527+0.0820462j 0.0124547-0.0253026j -0.00112727+0.10071j -0.00464637+0.0862252j -0.0105971+0.065377j -0.00085455+0.0165977j 0.0038791-0.0503829j 0.000854084-0.108266j 0.00420608+0.696239j -0.00480265-0.340786j 5.60828e-06+0.0845044j -0.000685114+0.0335823j -0.000946889-0.0130092j 0.00174356+0.0676161j 0.00291809+0.0119965j -0.000720446-0.111418j 0.000777472+0.0137369j 0.00215857+0.115397j 0.00085639+0.0516856j 0.00263933-0.0330654j 0.00151883-0.03826j 
-0.00662198-0.053414j 0.00348497+0.0478064j 0.0138589-0.190873j -0.00655418-0.32793j -0.00376144-0.200307j -0.00474799+0.0120862j -0.000165583-0.257812j -0.00623311+0.0371468j 0.00400292-0.297089j -0.00361908-0.0143651j 0.00207411-0.196231j -0.00352727+0.369362j 0.00350357+0.457641j 0.00586395+0.0965876j -0.000200285-0.0960477j -0.00259789-0.0590281j 0.00562322+0.0159924j -0.00234048-0.13536j -0.00335612-0.216978j 0.00053573+0.225842j 0.00349496-0.0200651j 0.000796149+0.18553j -0.00119145+0.0570901j 0.0010618-0.195677j -0.000336963-0.00354194j -0.000577225-0.1155j 
