-0.0729167-0j -0.0520942-0j -0.0850694-0j -0.0744358-0j -0.0307032-0j 0.442435-0j 0.408071-0j 0.499783-0j 0.357062-0j 0.4123-0j 0.294561-0j 0.0941138-0j 
-0.00751915-0j -0.00537194-0j -0.000179027-0j 0.0073625-0j 0.00923986-0j 0.0922182-0j 0.0850557-0j 0.00212595-0j 0.00151885-0j -0.0824295-0j -0.119034-0j -0.0764642-0j 
0.0520942-0j 0.0372179-0j 0.00124034-0j -0.0510089-0j -0.0640156-0j 0.00672533-0j 0.00620298-0j 0.000155042-0j 0.000110768-0j -0.00601146-0j -0.00868096-0j -0.00557641-0j 
-0.000447662-0j -0.000319825-0j 0.000500955-0j 0.000456607-0j -0.000881881-0j 0.00826438-0j 0.00762249-0j -0.00895456-0j -0.00639745-0j -0.00769507-0j 0.00484222-0j 0.0182761-0j 
0.00044307-0j -0.000923793-0j 0.000516915-0j -0.000433839-0j 0.000186564-0j -0.00817961-0j 0.00723638-0j -0.00923986-0j 0.0192649-0j -0.00762249-0j 0.0052235-0j -0.00173995-0j 
-0.00531684-0j 0.0110855-0j -0.00620298-0j 0.00520607-0j -0.00223877-0j 0.0322609-0j -0.0285407-0j 0.0364425-0j -0.075982-0j 0.0300635-0j -0.0206018-0j 0.00686246-0j 
0.00537194-0j 0.0038379-0j -0.00601146-0j -0.00547929-0j 0.0105826-0j -0.0325952-0j -0.0300635-0j 0.0353173-0j 0.0252319-0j 0.0303498-0j -0.019098-0j -0.0720821-0j 
0.0300766-0j -0.0627092-0j 0.0350894-0j -0.02945-0j 0.0126644-0j 0.00388287-0j -0.00343512-0j 0.00438617-0j -0.00914509-0j 0.00361841-0j -0.0024796-0j 0.000825956-0j 
-0.0303883-0j -0.0217104-0j 0.0340059-0j 0.0309955-0j -0.0598641-0j -0.00392311-0j -0.00361841-0j 0.00425074-0j 0.00303688-0j 0.00365286-0j -0.00229861-0j -0.0086757-0j 
