0.0656593-0.103643j 0.0988638+0.0186753j -0.0432616+0.0648805j -0.0304771+0.291974j -0.00956305+0.107553j 0.182485-0.0327493j 0.185267-0.24014j 0.182398+0.00855022j -0.355764+0.0332667j 0.166748-0.336484j -0.0236008-0.0943923j 0.0349661+0.147408j 0.146295-0.0643279j 0.172412-0.165223j 0.510348-0.00259867j 0.0438629-0.0457372j -0.0485817+0.104572j -0.00452377+0.0120814j -0.195284+0.233955j -0.0566908+0.124038j 0.045576+0.0755416j -0.0611754+0.409324j -0.215688+0.298369j 0.156848+0.338956j 0.164945+0.119903j -0.366342-0.648787j 0.290031+0.143683j 0.0435827+0.0330811j -0.513132-0.212934j -0.188509+0.327544j 0.676043-0.10604j 0.0560558+0.0978204j 0.141629-0.182599j -0.274473+0.41614j 0.181071+0.201411j 0.252492-0.151365j -0.422688-0.157529j -0.0818186+0.0298849j 0.128343+0.407477j -0.35211+0.0198749j -0.0498223+0.754653j 0.472902+0.587795j 0.917285+0.0105605j 0.0667119+0.476984j 0.762149-0.292762j 0.751535+1.38325j 0.236554-0.479343j -0.103872+0.530051j 0.292234-0.610425j -0.938312+0.257186j -0.99257-1.64007j 2.40296-0.939874j 
0.0672399-0.0188266j -0.251145-0.0717645j -0.269382-0.385709j 0.301148+0.472756j 0.244246-0.011625j -0.142421-0.112914j 0.0755575-0.500664j -0.00205028+0.0265376j 0.0729325-0.162551j -0.409949-0.213518j -0.109439+0.160293j 0.176245+0.24316j -0.178762-0.220092j -0.130858-0.315222j 0.00392926-0.343433j -0.282496-0.404383j 0.0856611+0.242913j -0.00516541-0.155336j -0.0653401-0.148168j 0.743864-0.189566j 0.0465705-0.0805043j -0.45607-0.283604j 0.1648+0.171185j -0.419228-0.114597j 0.0587242-0.572026j 0.452131+0.538962j -0.436024+0.121834j 0.182735-0.113747j 0.447774+0.107232j -0.537832-0.263031j -0.570633-0.389021j 0.0109032+0.0671725j 0.62397+0.0667648j -0.259735-1.11361j -0.105737-0.599443j 0.562685+0.0666392j -0.0868401-0.509285j 1.07824+0.147085j -0.0644769+0.538996j 0.0709977-0.606083j -1.56768-0.232967j -0.304948-0.610454j -0.552546+0.433693j -0.832559-0.18791j -0.0542836+0.694842j -0.408661+0.536362j 0.794258-0.190151j 0.129474+0.0805556j -0.873687+0.974773j -1.29672-1.15171j -0.787056-0.0673239j -0.928162-1.26449j 
0.0235748-0.00880059j -0.468357+0.195591j -0.357258+0.0132338j 0.194207-0.463544j 0.324529+0.0615409j -0.317825-0.144866j 0.0611399+0.335j 0.0657958-0.292211j -0.0439416+0.156418j -0.025425+0.145292j 0.0365557+0.9102j -0.218239-0.591606j -0.242635-0.147763j -0.560717-0.716978j 0.221714+0.101635j -0.955634-0.967442j 0.68612+0.77514j -0.0181129+0.487007j -0.227272+0.0668794j -0.416731-0.398018j -0.202305-0.636799j -0.184769-0.77719j -0.732338+0.536074j -0.345572-1.24094j -0.0678966+0.627021j -0.304453+0.697197j -0.302915+0.479835j 0.0211431-0.331043j 0.568939+1.20629j 0.372892-1.40788j -0.848597-2.24226j -0.035449+0.10358j -0.558567+0.607496j 0.920922+0.880224j -0.17896+0.101833j 0.137989+1.43483j -0.220458-1.38111j 0.0985792-0.15161j -1.02359-0.74156j 0.328068-0.546258j 0.0340615-0.387619j 0.0626147-0.711156j -0.771236-0.426051j -0.462152-0.685899j -0.755883-0.0401984j -0.685124+0.129407j 0.4899+1.27148j 0.461711+1.35666j 0.085212+1.0831j -1.29481+0.164735j -1.24284+0.0446448j 0.549561+0.126164j 
-0.127065+0.200432j -0.479606+0.311257j -0.227301-0.173285j 0.384123+0.00224721j 0.10553-0.20446j -0.274541-0.137072j 0.215391-0.317976j -0.0739082+0.0791966j 0.0564269+0.0820682j -0.0633931+0.588564j -0.0229788-0.202058j 0.244455+0.257723j 0.287518+0.0762328j -0.202514+0.110841j -0.00484976+0.282363j 0.740975+0.0389375j -0.555416-0.2011j -0.150252-0.523723j -0.5699-0.312085j -0.121552-0.169768j -0.0354339-0.0864995j 0.637426-0.342875j -0.58777-0.29419j -0.481741-0.157653j -0.0211064+0.451439j 0.236524-0.488816j -1.14861+0.57355j 0.137325+0.4844j 0.0165132-0.266153j -0.10415-0.285483j 0.26719+0.739971j -0.765009+0.238311j 0.381029+0.515149j 0.315666+0.117664j 0.128566+0.952332j 0.390255+0.582726j 0.836427-0.401082j -0.222172+0.471258j 0.0405921+0.560658j -0.464303+0.389824j 0.0103802-0.457927j 0.60515+0.903421j 0.170811-1.13135j -0.685841-0.539985j -0.24328-0.529789j -0.673209+0.353259j -0.443897-0.154009j -0.9171-0.370004j 0.340834-1.00616j 0.574174+2.16485j -1.00015+0.636246j 0.189131-0.555937j 
0.0180775+0.171041j 0.0263664+0.398097j -0.0226079-0.282555j -0.262479+0.561234j 0.394647-0.601816j 0.459897+0.922896j 0.260258-0.518188j 0.239185+0.760426j -0.220091-0.716483j -0.29803+0.458669j -0.579068-1.53602j 0.606109+1.27309j 0.422091+0.624533j 0.954258+2.04938j 0.285387+0.527053j 1.58487+2.8478j -1.41076-2.69372j 0.312404+0.213223j -0.620673+0.362886j 0.112089+1.23493j -0.017844+0.93518j 0.955889+3.49684j 0.494986-0.366681j 1.62123+2.86353j -0.828802-0.166356j 0.0122659-3.1195j 0.990557-0.810814j 0.0473218-0.220204j -1.7128-3.26372j 0.181036+0.01619j 1.66771+3.38075j 0.44017+0.234783j 0.003695-0.4826j -0.587729-0.449108j 0.735034+0.11843j -1.70767-1.80993j 1.76447+2.90909j 0.260487-0.0175307j 1.30326+0.374434j 0.792308+1.05877j 1.30853+1.43688j 0.861213+0.421949j -0.186801+1.63084j 0.970461+0.018757j 0.746366+0.660077j 0.446785+0.82895j -0.534942+0.796513j 1.48554+0.0696211j 0.337633+0.136238j -0.860386+0.4189j 0.515162+0.117144j -0.413987-0.447328j 
0.125384+0.317234j 0.0770215+0.767194j 0.0170908-0.0474494j -0.639691+0.44177j -0.132113-0.458419j -0.147604+1.02724j 0.486744-0.457507j 0.400188+0.929982j -0.257562-0.833125j 0.170293-0.321752j -0.301056-1.22343j -0.0247091+1.42342j -0.0264927+0.659969j -0.241623+1.58693j 0.422226+0.945336j 0.150112+3.70107j -0.690905-3.13728j -0.422601-0.44787j 0.0601375+0.998415j 0.176873+1.29668j 0.683925+0.819679j 0.995693+3.65433j 0.423321-1.06415j 1.40506+2.97041j 0.652877+0.0361141j 0.798918-1.62627j 1.00146-0.260043j 0.337497+0.699982j -1.01917-2.116j 0.424977+0.401825j 1.45257+3.53259j -0.725048+0.285375j -1.01863-0.0926184j -1.27883-0.192978j -0.406132-0.451204j -0.578483-2.38926j 1.10579+3.36136j 0.00155523-0.770148j 0.636898+1.3638j -0.306803+0.214462j 1.13828-0.756195j 0.8286+2.20579j -1.28524-0.552181j 0.190624+1.53257j 0.205685+1.47289j 0.0474683+1.10619j 0.676526-1.67262j -0.591497-0.778733j 0.410463+2.17036j -0.41417-0.0449384j 0.292464+0.142175j -0.0604608-0.665702j 
0.0963476+0.0376175j -0.0739615-0.085434j 0.00581759+0.0395639j -0.0979758-0.440598j -0.23532-0.172659j -0.128061-0.21723j -0.0487908+0.279237j -0.111947-0.299643j 0.236148+0.214368j -0.00161547-0.718225j 0.227738+0.622419j 0.127895-0.45918j -0.265799-0.138678j -0.367091-1.45657j -0.0395809-0.453149j -0.744194-0.706983j 0.0691801+0.127979j 0.197229-0.585001j -0.149365-0.170017j -0.218522-0.538629j -0.0246215-0.107049j -0.173123-1.60509j -0.308497-0.298704j -0.448858-0.999263j -0.209397-0.00615523j -0.0690641+0.73245j -0.035753+0.638883j 0.285544+0.180671j 1.05265-0.466184j -0.125114+0.861381j -0.128778-2.0686j 0.941139+0.10719j 0.334874+0.84379j 1.11162-0.68524j -0.450557-0.695479j 0.450775+0.745585j 0.299047-0.266478j 0.228204+0.0160516j -1.30569-0.933959j -1.14292+1.96704j 0.312948+0.692021j 0.262532-0.166471j 0.249054-0.00389005j -1.221-1.5786j 0.792409+2.18829j 0.0715443+0.122415j 0.396858+0.298155j 0.264511-0.104941j -0.388482+0.174272j 0.156663-0.00921805j -0.193735-0.0903826j -0.038143+0.125269j 
-0.283514+0.0359622j -0.0228731+0.679244j -0.0753286-0.0930919j -0.492678+0.844965j 0.344521-0.26082j 0.129815+1.0966j 0.150559-0.543245j 0.0599906+1.61199j -0.545502-1.86386j -0.0803172+0.764853j -0.683984-2.11115j -0.0433162+2.22438j 0.126541+0.778004j 0.555446+3.39771j 0.2979+1.10672j 0.34934+4.36704j -0.6034-2.70575j 0.234234-0.123051j -0.0167048+0.83963j -0.152983+1.5505j 0.754092+1.74965j 0.975426+4.20474j -0.758497-0.0521625j 0.441163+2.9991j -0.810526+0.200478j 1.40194-1.8815j 1.75595-1.02757j 0.42283+0.944241j -0.66606-4.14684j 0.540776+0.44038j 0.535653+4.00723j 0.693243+1.21559j -1.45326-1.43833j -0.456019-0.912441j -0.304174-1.5623j 0.505537-2.11193j 0.697663+3.76588j -0.938861+0.044486j 0.03144+1.09145j -0.317237+1.69311j 0.142496+1.44813j -0.737113+2.42918j 0.61683-0.252007j 0.369347+1.75924j 0.707011+1.28933j 0.546802-0.0262458j -2.16612-1.58529j -0.289985-0.230713j 0.248589+0.674044j 0.195402+0.228017j 0.245205+0.18012j 0.352007-0.694102j 
-0.1832-0.447471j 0.318195-0.221063j 0.0412901+0.190099j -0.191916+0.281581j 0.419879+0.155003j 0.232536+0.0387892j -0.329023-0.32157j 0.381397+0.873188j -0.857132-0.188278j -0.802445+0.540617j -0.256859-1.151j 0.859959-0.101334j 0.18031-0.303681j -0.356659+0.761874j -0.554826-0.740678j 0.214539+1.39543j 0.260199-1.38213j 0.146816-0.407136j 0.00581576+0.839234j -0.711643+0.353735j -0.293772+0.0104595j 1.40384+1.44203j -0.0108016-0.257141j -0.0890734+1.98646j -0.702896-0.0988955j -0.0799868-0.674702j 0.481793+0.502517j -0.685109-0.144351j -0.534141-0.423483j -0.0890515-0.501801j 0.290951+1.51367j -0.585564+0.832012j 0.988895+0.406301j -0.192043+0.0197779j -0.341407-0.155017j 0.788423-1.08637j 0.437852+0.790283j 0.102207-0.211026j 0.90695+0.927823j -0.595437+1.11547j 0.285861+0.680799j -0.0249843+0.694833j -0.419185-0.280795j -0.21433-0.409928j 0.468758-0.00519271j -1.79636+0.125381j -0.546625-1.02035j -0.17525-1.31069j -0.133494-0.364974j -0.489199-1.0688j 0.587987+0.396741j -0.231024+0.35905j 
0.353347+0.0047909j 0.27567-0.444749j -0.00135757-0.0540372j 0.469965+0.130136j -0.129145+0.629981j 0.0642134-0.225996j -0.208334+0.356669j 0.544617-1.49039j 0.0602781+1.47311j -0.455603-0.252967j 0.0302758+2.53624j -0.84082-1.30176j -0.549951-0.693671j 0.610526-1.33337j -0.222615-1.17474j -0.741872-2.62114j -0.136496+2.24191j 0.225435+0.622202j 0.215735-1.05281j 0.358666-1.09884j -0.456951+0.282509j 0.705677-3.29997j -0.176942+0.699823j -0.343124-2.4635j -0.265475+0.110166j -1.93975+0.871325j -1.74917+0.0981968j 1.0486-0.0688999j 0.38569+2.02315j 0.527+1.14731j -0.0205727-3.01334j -1.39406-1.46138j 0.113905+0.835308j -0.68783+1.50384j 1.1066-0.672196j 0.466368+3.18816j 0.386312-3.35205j 1.11843+0.499412j 0.873581-1.15802j -0.126642-0.0739299j 1.33106-1.606j 0.53819-1.45061j -0.434681-0.00460713j -0.84299-1.68743j -0.381533-0.846885j -0.616261+0.28441j -0.598871+1.04737j -0.0077438+0.994063j 0.552852-0.495089j 0.134816-0.168872j -0.182934-0.210977j -0.319044+0.15592j 
-0.429785-0.26507j -0.287783+0.349722j -0.229411+0.0242331j -1.16153-0.117341j 0.192195-0.872959j -0.569589+1.48514j -0.262339-0.423429j 0.498328+1.44688j -0.21699-2.32073j -0.102325+0.500586j 0.945128-1.41783j -0.285039+1.55846j -1.35554+1.06118j 0.17422+1.63519j 0.0566262+0.589796j -1.42142+3.49034j 0.157599-2.00994j 0.702028-0.748879j -0.720144+0.535889j -0.881544+0.599474j -1.01455+0.406917j -1.42227+3.98671j 0.175581-1.47308j 0.0194832+2.60351j 1.07706-0.114452j 2.34092-2.23205j 0.939709-0.138404j 1.38982+0.389308j -0.320834-3.4166j 0.0918806-1.11926j -1.12544+4.38036j -0.940251+0.998457j 1.36788-1.34386j 0.648781-1.13949j -0.431071-0.185001j -0.0770036-3.01367j -0.756583+3.94039j 0.0700849-0.816779j 0.728709+2.27282j -1.08544+1.22364j 0.0870836+0.539611j -0.480977+1.99762j 0.466827+0.374819j 1.04358+0.562752j 0.979641+0.948488j 0.244734+0.124985j 0.123046-0.554622j -0.0172486+0.0945347j -0.995211+0.592883j 0.265128+0.430562j 0.322699-0.0123885j 0.577101+0.0838266j 
