-0.00922651-0.0156374j -0.00955139-0.00297844j 0.00842188+0.000936021j -0.00148698-0.00099978j 0.00551944-0.00177849j 0.0010221-0.00098543j 0.0053819-0.00466193j -0.00602898+0.00601296j 0.00973053-0.0113785j -0.0015189+0.00553382j -0.00192154-0.020843j -0.0041828-0.0050462j 0.0180465-0.0375141j -0.0128833-0.00224423j -0.0101648+0.012558j -0.0182922-0.0082931j 0.00864787-0.0186302j 0.0131334-0.00659454j 0.0245546+0.00125671j -1.64838e-05+0.00299085j -0.00412511-0.0065326j -0.00049545+0.00652719j -0.00761229-0.0080006j 0.00143286-0.0136391j -0.0154475-0.00254184j -0.000698436-0.0523508j -0.00657574-0.0199874j -0.00140653+0.0281038j -0.0291754-0.00955628j 0.0238252-0.0254477j 0.0324104+0.047103j 0.00265655+0.0277803j 0.0265836+0.00479516j -0.0326305-0.0159254j -0.0663066-0.0348235j -0.00256763+0.000691045j 0.0213617-0.00186248j -0.0103961-0.0242033j 0.00497068+0.00361402j -0.00237797+0.0110999j -0.00160017+0.00993749j -0.00439418-0.0200433j 0.0105348-0.0307828j 0.0140376+0.0128925j -0.0267474+0.0314092j 0.0619198-0.0267923j -0.0561902+0.0135972j -0.0711816+0.0247204j -0.0470495+0.0212376j -0.0286449+0.00589284j 0.0341271-0.0240034j -0.0245262-0.0216287j -0.0493498+0.0732481j -0.0725271+0.0558832j 0.00853508+0.0381982j -0.0306007+0.0496429j 0.0192237+0.0205423j 0.0379041+0.0409938j -0.03221-0.00870656j 0.0548888+0.0277302j 0.00616177-0.0202922j 0.017453+0.0250095j -0.0412865+0.0382963j -0.0393737-0.0366382j 0.00680833+0.00839261j 0.0537653-0.0446851j -0.0345074+0.036388j 0.0453477-0.0404063j 0.0107693+0.0216235j 0.0275943-0.0411614j 0.0179126-0.0457619j 0.077841-0.00155457j 0.052842-0.00958901j 0.104088+0.0497619j -0.00861154+0.0392172j 0.0202528+0.0177724j -0.0136151+0.0909373j -0.103453-0.0154689j 0.094351+0.0285429j 0.0152883-0.0303607j 0.00344337-0.0632211j 0.0281473+0.0435847j 0.00332741+0.0242691j 0.041419+0.0978139j -0.0171802-0.00960107j -0.0184292-0.00746095j -0.0217831+0.035643j -0.0195518-0.0279499j 0.0088671-0.111558j 0.0441494-0.0903861j -0.0523265+0.043796j -0.0244641-0.0657195j -0.0614775+0.0972116j -0.029016-0.0697584j -0.0408158-0.157979j 
0.00601215-0.00441958j 0.00430399+0.00637131j -0.000186696-0.00289445j -0.00040178-0.00151939j 0.00600644-0.0014345j -0.00278456-0.00321797j -0.00164091-0.00376976j -0.00478916+0.00230971j 0.00795102-0.000325926j -0.00054514-0.00537335j -0.00509369-0.00758297j -0.00157991-0.003913j 0.000854897+0.00718326j -0.00402473-0.00104666j 0.00959693-0.00309937j -0.00868091+0.00345184j -0.00719561+0.000603094j 0.00590523-0.00058951j -0.0156123+0.00120565j -0.0136009-0.008744j 0.000240238+0.00664803j 0.0030218-0.0108385j 0.011431+0.00329018j -0.0152275+0.0142694j 0.0043148+0.00906779j -0.00728752-0.0023488j -0.0141119+0.00229727j -0.00346426-0.00631521j -0.000130089-0.0178201j -0.00340057-0.0001079j 0.0152579+0.0067203j -0.00311122-0.00287011j 0.00148984+0.0101142j -0.00034322-0.00857469j -0.0113714-0.0157367j 0.042403+0.0294214j 0.00617043+0.0107139j -0.0106583+0.00958494j -0.018576+0.0017052j -0.00733086+0.0202384j -0.0105867-0.0156319j -0.00495092-0.00193031j 0.0265773-0.0101497j 0.0323232-0.00492446j 0.0280078-0.0203155j 0.0152474+0.0262753j -0.0403359-0.000318007j 0.00570357-0.000209265j -0.0154295+0.0212465j -0.00469119-0.001928j 0.0236168+0.00250843j 0.00156582+0.0207195j -0.0132742+0.000624692j 0.0170627+0.00881851j 0.0172663+0.00285698j -0.0134798+0.00823867j 0.0109061-0.0128879j -0.0109626-0.00904927j 0.00976947-0.0408542j -0.0167312+0.00870118j 0.00971308+0.00128413j 0.00113112+0.000401394j 0.0376611-0.018285j 0.00435426-0.0306575j -0.0489369+0.0328145j 0.0418881+0.0193026j -0.0121256-0.00276471j 0.0352077+0.0180824j -0.0180107+0.0077046j -0.029565-0.0315242j -0.00288959-0.0154811j 0.0557743-0.0130445j -0.00705073+0.016058j 0.0177513+0.025476j -0.000405322-0.0234608j 0.044319-0.00398933j -0.0481166+0.00682367j 0.0284009+0.00909648j 0.0505667+0.00548029j 0.00491709+0.003319j 0.00448789+0.0191401j 0.0114543-0.0354331j -0.00772718-0.00764123j 0.0523737-0.00249965j -0.0327195-0.0593045j 0.0173909-0.0206724j 0.00902416+0.0512117j -0.0444906-0.00820792j 0.0369124-0.0556956j 0.0256902+0.0103075j 0.0327965-0.00525837j -0.0250913+0.0479195j -0.0255576+0.0640992j -0.00456471+0.0411513j -0.0402996-0.0409858j 
-0.00630659-0.00368585j 0.0138948-0.000250057j -0.00531358-0.000563965j 0.00258849+0.00135989j -0.00420264+0.0024118j -0.00122685-6.07118e-05j -0.00345517-0.00231289j 0.00360895+0.00443334j 0.000105795-0.00623375j -0.00832363-0.00411555j -0.0197608+0.00970025j -0.00935292-0.00111781j 0.00169468+0.00703032j 0.019478-0.00351938j 0.00448728-0.000585184j 0.00475003+0.000473303j -0.00715584-0.00494386j 0.000220425-0.00432611j 0.014537+0.0196699j 0.00299856+0.0141987j -0.0264374-0.0107119j -0.00214505+0.000545876j -0.00194421-0.0122054j 0.0360675+0.00676926j -0.03141-0.000132036j 0.00174744-0.00464413j 0.00631309+0.00973646j -0.00981834+0.0111545j 0.0103789-0.00223449j -0.0364495+0.00739445j -0.0427955+0.0505139j -0.0209921-0.00555582j 0.0147943+0.01146j 0.01058+0.0197518j 0.0519692+0.0283206j 0.00641964+0.00365116j -0.0231769+0.00347736j 0.0265146-0.0264406j -0.00548288+0.0127348j -0.00514988+0.00241906j 0.00257948+0.00839298j 0.00338575-0.0205293j 0.024592-0.0147519j 0.0327752+0.00946214j 0.0182281+0.0504305j -0.0353711-0.0241015j 0.0260783+0.0252633j 0.0201794-0.0180726j 0.0805137-0.032616j -0.0136716+0.0484176j 0.0281119-0.0235161j -0.0220027-0.0133138j -0.00451514+0.0210678j 0.0253538-0.0580148j 0.0145536+0.0202429j 0.0136109-0.0906075j 0.0133679-0.00848198j -0.00856586+0.024875j -0.0216128+0.0198276j 0.0147796+0.0128204j 0.00543926-0.0163135j 0.00837339+0.0113348j 0.0120645-0.0173403j -0.00110517+0.0321146j -0.00669552-0.0156518j -0.0180454+0.0112235j 0.0223891-0.00654197j -0.00193637-0.00783826j 0.00371016+0.0118408j -0.00175998-0.0637762j 0.0193739-0.0490221j 0.0207445-0.038131j -0.0143456-0.0505998j 0.0291395-0.00955985j 0.03841+0.00112907j 0.0192831-0.003448j 0.075584-0.0476653j -0.0303558-0.0719459j 0.0702284+0.0257726j 0.0642678-0.0247044j 0.0223989+0.0499846j -0.0245625-0.0297401j 0.0119969-0.00535553j -0.011563-0.0233146j 0.0249458-0.0133728j -0.00924763-0.0421198j -0.0349615+0.0312831j -0.060747+0.0391412j -0.0172386+0.0838321j -0.0286773-0.0755595j 0.0214064+0.0247135j -0.0177823+0.00746703j -0.0545077-0.0447087j 0.0227561+0.0366742j 0.0202362-0.080413j 
-0.000112293-0.00215835j -0.00221793-0.00134227j -0.000311657+0.000434539j 0.00350664-0.00417126j 0.00386946-0.00325941j -0.00939158-0.00450171j -0.00124917-0.00242182j -0.00078708-0.00427323j -0.00221015-0.00297339j -0.00440508-0.0060925j 0.00574466+0.00256384j -0.00519261+0.00236033j -0.000130988+0.00239596j -0.0161882-0.00980419j 0.0077959+0.00815895j -0.00379267-0.000223997j 0.0169999+0.00899501j 0.00235344-0.00695509j -0.0157476-0.0129342j -0.00434038-0.0101155j 0.0142876+0.0155928j -0.00145936-0.00877167j -0.00212236-0.00105036j -0.0172297+0.00430466j 0.00214837-0.00678666j 0.00270292+0.00478602j -0.00801687+0.00705307j 0.00588761+0.00603868j -0.0184406-0.00481789j 0.028636-0.000291751j 0.00702647-0.00377679j 0.0322456-0.00645522j -0.0202031-0.00927897j 0.00740316-0.0061655j -0.010441+0.0041775j -0.00109925+0.0283729j 0.00280178+0.00169711j -0.00363339+0.0117246j -0.00646762-0.0116118j 0.00114874+0.00233402j 0.00734921-0.0115984j -0.00593329-0.0238694j 0.0332232-0.0381149j 0.0130613-0.00699492j 0.0137822-0.0217201j 0.0159822-0.01813j 0.0287692-0.0168547j 0.00970521+0.0175928j -0.0189441+0.0383886j 0.0450463-0.0487037j 0.0318558-0.00339925j -0.0153903+0.0233687j 0.000959115+0.0173211j 0.028629+0.00455567j 0.00802137+0.0262433j -0.0461991+0.0146287j 0.00508244+0.0095723j -0.00955145-0.027308j -0.00193716-0.0271736j -0.0143565+0.0444258j 0.0214069-0.0289891j 0.0119032+0.0198931j 0.0255921-0.0207502j 0.0106666+0.0131312j -0.0381777+0.029586j -0.0052651+0.0123189j 0.0425831+0.0573196j -0.00930854+0.0297097j 0.0241372+0.0184788j -0.0496351-0.00262423j -0.024007-0.0561906j 0.0195537+0.00806027j -0.0352404+0.0331611j -0.00278729+0.0341174j 0.016942+0.040953j -0.0147359-0.00697647j -0.0665211+0.0180812j 0.0975596+0.0494976j 0.0638596+0.0118485j -0.0170075+0.0192081j 0.0296817+0.0376339j 0.0258699+0.0114707j -0.00764625+0.00776559j -0.00309353+0.0167603j -0.0117413-0.0392708j -0.00986332-0.0680272j 0.00277107-0.00438238j 0.00197134+0.0478066j 0.0494932-0.0178642j -0.0122223+0.0162039j 0.096349+0.00531004j -0.0316537+0.0158319j 0.0317298+0.0522572j -0.019973+0.123507j -0.0081367+0.0190883j 
0.000421354+0.0040741j 0.000374474-0.0118062j -0.00571756+0.00272347j 0.00121725-0.00809426j 0.0101921-0.00964451j -0.00612993-0.0135049j 0.006393+0.0158548j 0.00331528-0.00495717j -0.00348651+0.00222016j 0.0100888+0.00781446j -0.00129632-0.00429229j 0.0026286+0.00261644j 0.00677702-0.00139102j -0.00609246+0.00452782j 0.00305968+0.000390021j -0.00740326-0.00190898j -0.00300856-0.00336455j 0.000352809-0.0025039j 0.0113849-0.00453131j 0.00386958+0.0026784j 0.00121133-0.00720092j -0.00602357+0.00233767j 0.00349255+0.00995558j -0.00138971+0.00193996j -0.00626233-0.0109353j 0.00433616+0.00559964j 0.0104067+0.012697j 0.00953445+0.00490096j -0.00738109-0.0121494j -0.0215325+0.00112093j -0.00296604+0.0101537j -0.00599239-0.00215166j -0.00147576+0.00604148j -0.000996758-0.00268915j 0.00650465-0.00300768j 0.00493141+0.00654127j 0.00541326+0.00314934j 0.00961627-0.0160029j -0.00119125+0.00362701j -0.00170972-0.0109472j -0.00247898-0.00112391j 0.000699587-0.00586363j 0.00356378+0.00675502j 0.00596293+0.00120075j 0.00375482+0.0241711j 0.00458992+0.00731859j 0.00309617+0.0193416j -0.00433404+0.00724217j 0.00939555-0.0211477j -0.0165+0.0206405j 0.0031961-0.0106668j -0.00208801-0.0099001j -0.00377682-0.00589477j 0.00753359-0.00519417j 0.00348044+0.000825648j 0.00587439-0.0100915j 0.000626981+0.00589523j -0.00876992+0.0171892j 0.00106758+0.00445425j -0.0135642+0.00157344j -0.00491246-0.0013969j -0.00173505+0.00543536j 0.00190657-0.00253897j 0.00426758+0.013197j -0.0108048+0.010978j 0.0119583+0.00376507j -0.00820406-0.0083757j 0.0130904-0.00326447j -0.0100787+0.00763401j 0.00159574-0.0157661j 0.0099129-0.0135073j 0.00886476-0.0145441j 0.00559958-0.00916581j 0.0115979-0.020437j -0.010559-0.00622789j 0.0251172+0.00399398j 0.0164706-0.0112953j -0.0373698-0.00956284j 0.0352852-0.00112333j 0.0131157-0.00227753j -0.0085221+0.00811936j -0.00346348-0.000614905j 0.000268518-0.00592069j 0.00116285-0.00184547j -0.000829524-0.00552454j -0.00840836+0.0155025j 0.00171046+0.00397745j -0.0182505-0.00717128j 0.00460682-0.0108292j 0.00960273-0.0353237j -0.00370411+0.0136897j -0.0268116-0.0226677j -0.0214361+0.00674001j 0.00759403-0.000103579j 0.0104187-0.0372195j 
0.00253236-0.00745493j -0.00113804+0.00543796j 0.00436584-0.00577165j 0.0052397-0.000694633j 0.000742286+0.00304912j -0.00219694+0.00918364j -0.00112363-0.0116576j -0.00934373-0.0121349j -0.0052661-0.00845594j -0.0116645-0.00200826j 0.00668951+0.00098719j 0.00260511+0.0028139j 0.00595279-0.00713783j -0.00396857-0.00339716j 0.00204431-0.00126182j 0.00238429+0.00610795j 0.00311738+0.00137064j 0.00759656+0.00128432j -0.00198151+0.00138067j 0.00121762+0.00658519j 0.000587348-0.0096952j 0.0194263+0.00766209j -0.000883165-0.00412243j 0.00407719+0.00462805j -0.000207811+0.00259577j 0.0126652+0.00156497j -0.00168112-0.0187205j -0.0074097-0.000704304j -0.00782029+0.00597729j -0.00734827-0.00385677j 0.00293694+0.00337729j -0.005065+0.0084114j 0.0145718+0.000284637j -0.00736474-0.00171366j -0.000488579+0.000964607j 0.00669332+0.00037462j -0.00180045-0.00781998j -0.00476686-0.00529269j 0.00545748+0.00551478j -0.0112776-0.0053692j 0.00487822-0.00102637j -0.00820499+0.00653086j -0.0060273+0.0131168j -0.00390829-0.00354595j -0.00778344+0.00707455j 0.0098402+0.012147j -0.0132402+0.0166611j -0.00887032+0.00211298j -0.00533371-0.0187198j -0.0177703+0.0158471j -0.00908162+0.0116301j 0.00694579-0.0046936j 0.00163034-0.0147123j -0.0116612-0.000114287j -0.00124154-0.00907061j 0.0182657-0.00134631j -0.00443163-0.0025173j 0.00176322+0.00651965j -0.0023466-0.00210392j 0.0115809-0.00643021j 0.00274402+0.00813909j -0.00481749-0.0120157j -0.0139897+0.0136989j 0.00195193-0.00381195j 0.0206833-0.0122384j 0.0147607-0.00802104j -0.0160366-0.0170239j 0.00375117-0.00377097j 0.00347017-0.0147308j 0.0180283-0.0060194j -0.00149524+0.0168912j 0.00317909-0.00659178j 0.00571462-0.00825849j 0.0119145-0.00414077j -0.0133519-0.0198918j 0.00504777+0.000233184j 0.00945466-0.000203356j -0.0372914-0.0164457j -0.015351-0.0048598j 0.0118257+0.00420393j -0.00786729-0.0224897j 0.0112-0.00243153j 0.000961052+0.00383181j 0.0121013+0.00115738j -0.00494261+0.00818276j 0.00460917+0.0146617j -0.0154144+0.00212093j 0.00669534-0.0243065j -0.00876258-0.0135016j 0.0102213-0.00999477j -0.0313793-0.00426335j 0.0100792-0.00908768j -0.000757436+0.00355136j -0.00458625-0.0446658j 0.00296342-0.00775603j 
-0.00272257-0.00305202j 0.00599595+0.00198089j -0.000820338+0.00516362j 0.000221603+0.00272608j -0.000885698+0.00616862j 0.00240006+0.00595047j -0.00457986+0.00275323j 0.00244136-0.000723585j -0.00285284+0.007703j 0.00283534-0.00269747j -0.0125246-0.00633658j 0.0021455+0.0163686j 0.0018519+0.00536526j 0.0036305+0.00423038j 0.00574327-0.000859575j -0.00308241-0.00226418j -0.0129918-0.0128932j -0.00123845+0.00359495j 0.00900851+0.0110253j -0.0153446-0.00455602j -0.00597957-0.0163043j -0.00715353+0.0104887j -0.00585211+0.00396337j 0.00656356-0.0020038j -0.00900207-0.00195596j -0.00260764-0.00895586j -0.00687226-0.00245433j -0.00026519+0.00510521j -0.00783729-0.00518754j -0.0373466-0.00525622j 0.0099665+0.0135839j -0.00744437+0.0204255j -0.00497962+0.00487092j -0.0110605-0.00396004j -0.00341896-0.0160387j 0.0227898+0.0112646j 0.0256948+0.0260188j -0.0205821-0.020785j -0.0186999-0.00975252j 0.00807125-0.0242628j -0.00883738-0.00111278j 0.00857741-0.0048709j -0.000452974-0.00139979j 0.00749746+0.023376j 0.0228143+0.0204428j 0.0144442-0.00290249j -0.0192909+0.0138083j -0.0226363+0.00748297j 0.00748753-0.0208905j -0.0363898+0.0340317j -0.0142804-0.0181158j -0.00820115-0.0155296j -0.0308865+0.00598835j -0.0115998+0.0130223j 0.0193689-0.00732298j -0.00598844+0.00312092j 0.012507+0.0012248j -0.0174109+0.0497382j 0.0137517+0.010482j -0.0212283-0.0133209j -0.00321326+0.0103894j -0.0124187+0.03316j 0.010928-0.0062964j -0.0133249+0.0340654j -0.0378514+0.033267j 0.00793525-0.0351688j -0.0346768+0.000778475j 0.0339516-0.0168812j -0.0417126+0.015433j 0.00362869-0.0310073j 0.0177366-0.0242534j 0.0128648-0.0210914j 0.0391613-0.0103549j 0.0302913-0.0192401j -0.0199641+0.00545788j 0.0281029-0.0146355j 0.0550787+0.0278091j -0.106673-0.00794571j 0.0646445+0.00532293j 0.00739567-0.0241682j -0.0302582+0.0183609j -0.0281224+0.0339044j 0.00414158+0.0151264j -0.0255819+0.0374077j 0.0170575+0.0153108j -0.00649841+0.0360747j 0.0173357+0.0140046j -0.042412-0.00238141j -0.00733318-0.033512j 0.0215562-0.0787j -0.0315239+0.0266665j -0.0280783-0.0317616j -0.072878-0.00342139j 0.0144276-0.0451837j -0.000908083-0.103592j 
-0.00812443-0.010759j 0.0018694-0.00764438j -0.00165191+0.00690388j 0.000438091-0.00177794j -0.00367898+0.00463618j -0.004807+0.00373118j 0.00161256+0.00519019j 0.00477137-0.00345848j -0.00645867+0.00497663j -0.00108674-0.00328609j -0.000369341-0.00427395j 0.00215013-0.00154846j 0.00228989+0.00258879j 0.00929804+0.00499584j 0.00926815-0.00274897j -0.020006-0.00597692j 0.0014734-0.00174208j -0.0170462-0.00543784j -0.0108787+0.0022015j 0.00245115-0.0219171j 0.00753535+0.0187278j 0.0130716-0.0129217j -0.00453179-0.00388229j -0.0128634-0.00401879j 0.000710777+0.0159871j -0.0140555+0.0165589j -0.00525659+0.00370501j 0.011881-0.00550083j -0.010955-0.0118319j 0.0157593+0.0187167j 0.0129096-0.0156502j -0.0109142-0.00831092j -0.014829-0.0224607j 0.0136485+0.0259217j 0.000194464-0.0272181j 0.00846385-0.00875437j 0.0214447-0.000565081j 0.0258372+0.0108429j -0.0156732-0.030719j 0.0027266+0.0376722j -0.0144185-0.000729962j 0.00820391-0.0226917j 0.0250312-0.0223092j 0.0433824-0.0291065j -0.0117832-0.00900275j -0.0155892-0.00038351j 0.00144167-0.0666576j -0.00613108+0.00365727j -0.0266767-0.00137037j 0.0326352-0.00218408j 0.0343976-0.0350359j 0.0210677-0.00200735j 0.0363727-0.025124j 0.0020706+0.0335638j 0.0261407+0.032159j 0.00454834-0.0433357j 0.0370155-0.03453j -0.00613061-0.0586735j -0.0255793+0.0108205j -0.00194816+0.0595897j 0.00193729+0.0196178j 0.0121655+0.0146376j -0.0197521-0.0429888j -0.0438403-0.0435345j -0.0324634+0.000958412j 0.0377667+0.0172313j -0.0628125+0.0308155j 0.0596352+0.0354253j -0.0422138+0.0251817j -0.0208632+0.0340822j 0.0207237-0.0232942j 0.0420032+0.00527166j 0.0161319-0.0315667j -0.0320107-0.00600157j 0.0848262-0.0277899j -0.0401918+0.0276436j -0.0553774-0.00829786j 0.119045+0.0580144j 0.0339617+0.00427124j 0.0654206+0.0295308j -0.0728874+0.0277164j -0.0247196-0.00892754j -0.0014257-0.0107343j 0.00176376-0.0268305j -0.00967073-0.038536j -0.00203235-0.0586076j 0.045204-0.0182607j -0.107928+0.0348056j -0.0796195-0.0128041j 0.0603186+0.0632261j 0.0210988-0.0125966j -0.0419255+0.0391559j 0.0576048+0.00995556j -0.00837623+0.128681j 0.000779403+0.0481321j 
0.00630923-0.00146313j 0.00306966+0.00160278j -0.00218471+0.00175029j 0.0073927-0.00382361j -0.000398887-0.00549951j 0.00160299-0.00335986j -0.00179345-0.000105392j 0.0032385+0.00536842j -0.00485507-0.00470633j 0.00462983+2.18329e-06j -0.000859539-0.0024497j 0.00738033-0.00516497j 0.00403917+0.00924525j 0.00137969-0.0182994j 0.017482-0.00331931j -0.0241799+0.00141481j -0.00586855-0.00608202j -0.0125482-0.00348235j 0.00948411-0.00832093j 0.0079416+0.0133847j -0.00795779+0.00435873j -0.000465361-0.00361418j -0.00677699+0.000332313j 0.000463227+0.010122j 0.00208834-0.00295715j 0.00342506-0.0152001j 0.00888825+0.00329423j -0.00101944+0.000988948j 0.0142991-0.0187577j 2.75601e-05-0.00930707j 0.00690919+0.02631j -0.0162387-0.0172279j -0.00617707-0.00820991j -0.00432535-0.0178141j 0.0199659+0.00114905j 0.0080763+0.0244016j -0.00328378-0.0369964j 0.0161893-0.00476848j 0.00771319+0.00775885j -0.00907812+0.0362152j 0.0219918+0.0086738j -0.0151878-0.00375585j -0.00368542-0.0224194j 0.0255861-0.0254689j -0.0099938-0.0110112j 0.00756971+0.00958103j 0.0305228+0.00964347j -0.0140227-0.00840183j -0.0190954-0.00469975j 0.00799096+0.0291165j 0.0459805-0.00754904j 0.0193821-0.00710105j 0.0143268-0.010961j -0.0125777-0.00160201j 0.0186918-0.0117746j 0.0294378-0.0517771j 0.00827457+0.00382752j 0.0036253-0.0405349j -0.0413533-0.026294j 0.0413821+0.032116j 0.0340987-0.0135961j 0.0293217-0.00567536j -0.0629355-0.00320412j -0.0363504+0.00577425j -0.00924188-0.00260897j 0.0412909+0.035724j -0.0183401+0.0495644j 0.0411901+0.0193453j 0.00802508+0.0187662j -0.0286307-0.00330595j 0.0039082-0.0131541j 0.0584808-0.0444694j -0.0168376+0.00639136j -0.00223923-0.0476289j 0.0742811+0.0151966j 0.0185309+0.0247614j -0.0461059-0.011175j 0.0250001+0.0176307j 0.0741357+0.00358173j 0.0974159+0.0287291j -0.0156468+0.0223093j 0.0446183-0.0359433j -0.0119064-0.0241059j 0.0564683-0.0114805j -0.0364518-0.0587431j -0.0081048-0.0378836j -0.0822999+0.0323512j -0.045236+0.0204956j -0.0469902-0.0112968j 0.0425087+0.0145155j 0.0407876-0.0174524j -0.0778906+0.00636208j 0.0014967+0.0251108j 0.00247862+0.120052j 0.00697624-0.0474307j 
0.00718475-0.00032379j -0.000776328-0.0035344j -0.00212489+0.0024006j -0.00293033+0.0045703j -0.000204329+0.0134131j -0.00181005+0.00466151j -0.00221341-0.0030786j 0.00225884+0.00162015j 0.00324096+0.0141726j 0.00298914-0.00925167j 0.0131293-0.000995579j 0.00645302+0.00510806j 0.00770878-0.00288737j 0.0160491+0.00279174j 0.0140573-0.0115731j 0.0148268-0.00148403j -0.00021072+0.0127895j -0.00308764+0.000584929j 0.0014907+0.00203931j -0.00972905-0.00185369j -0.0138938+0.00384617j 0.0169491+0.00615247j 0.0187971+0.00896172j 0.0245502+0.00377979j -0.0189348+0.00159247j 0.0058578-0.00258271j 0.00431345+0.00282716j -0.00529136+0.00445248j 0.0101338+0.00221429j -0.00602987+0.0111833j -0.0241177-0.0160732j -0.00361969+0.00488664j 0.011406-0.0268585j -0.00578573+0.0308422j -0.00971813-0.0117791j -0.0123281-0.0103212j 0.0127472-0.00210466j 0.0370985-0.0419674j -0.000430522-0.0104322j -0.0164685+0.0126016j 0.0253987-0.0353566j -0.0100459+0.0161876j -0.0341543+0.0306743j 0.00957071-0.0207027j -0.0376991+0.0234356j -0.0161702+0.00305046j -0.0352689+0.00920414j -0.013413-0.0152821j 0.00179421-0.0634063j -0.0150093+0.0262744j -0.0262432+0.0149672j 0.00980095-0.0115408j 0.0429193-0.0677252j -0.0350158+0.0173812j 0.00174023-0.0165509j 0.0499543-0.0643081j 0.0157813-0.0432775j -0.0043721-0.00568888j -0.0159429+0.0211233j 0.0326924+0.00999898j 0.0249797+0.0192769j -0.00600238-0.0273381j -0.0461396-0.00108842j -0.0162878-0.0229167j 0.0215516-0.0382415j 0.045341-0.00428939j -0.0732858-0.0110346j 0.045036+0.00578469j -0.0140589-0.0254058j 0.0331552-0.00381648j 0.00199484+0.0261659j 0.0111548-0.00601632j 0.0201612-0.0238438j 0.000451022-0.0217908j 0.00392434-0.0655771j -0.0449504+0.0194979j 0.0337175+0.00202196j -0.0312043-0.0127391j -0.0454793+0.00529454j 0.073387+0.00820825j -0.0759934-0.0131356j 0.0043634+0.0127082j 0.00363791+0.00189218j -0.0136491-0.00796456j 0.00712819+0.0206424j 0.014049+0.0221632j -0.0432243-0.0267678j -0.0195607-0.013397j -0.115034+0.0124244j 0.0466445+0.00329145j -0.0578924+0.002955j 0.0096303-0.00496378j 0.0260467-0.0279169j -0.00185754-0.061582j 0.0143466+0.0343694j 
-0.013518+0.000817071j 0.000170229-0.00244733j 0.00175651+0.00596237j -0.00355831+0.00200588j -0.00394059+0.0103082j 0.00289978+0.0096629j 0.00329312-0.00177312j 0.00256716+0.00564944j 0.00169699+0.017862j 0.00108319-0.00739156j -0.00553883-0.000866391j -0.00136599+0.00265185j 0.0116931-0.00568619j -0.00714819-0.0095352j 0.00588538-0.0058639j -0.0154121-0.00169591j -0.0181867+0.000170723j -0.00985616+0.00219556j 8.69279e-05+0.00982919j -0.00298137-0.0108995j 0.00406276+0.00632242j 0.0159984-0.00200809j 0.00105487-0.00553067j -0.0142347-0.0081091j -0.000218733+0.00408515j -0.00878739-0.00507266j 0.00374327-0.00776022j -0.00276063-0.00233613j -0.0136632-0.0110657j 0.0301678-0.0100535j 0.0169476+0.0223516j 0.0129265+0.0353721j 0.0115152-0.0255921j -0.0307142+0.00995378j -0.0503184-0.0624746j -0.00233695-0.020943j 0.0207111+0.0119845j -0.0211389-0.0319359j 0.00399078-0.00450993j -0.0546379+0.0032772j 0.0181233-0.00177567j -0.0218349-0.00635935j -0.0253726+0.0213169j 0.0349351-0.0148901j 0.000783573+0.00277719j -0.013659-0.00530686j 0.0125536+0.00132538j -0.00695573+0.023409j -0.0272243-0.0279764j 0.0221781+0.0184729j -0.0204586+0.00947932j 0.00286888-0.00140604j -0.0411403+0.00775188j 0.0138597+0.0720417j -0.0170963-0.00613474j -0.0142932-0.0239845j -0.0248024-0.0265995j -0.0102638+0.032084j 0.0013921+0.0398086j 0.0334326-0.0100316j 0.0115528+0.012605j -0.0107337+0.00686727j -0.0231582-0.0163207j -0.00521368-0.0373134j -0.0152917-0.0188412j 0.00140912+0.0128265j -0.0447458-0.00606856j 0.0688721+0.0160574j 0.00655745-0.0120215j 0.036884+0.0292543j -0.0170627+0.0276966j 0.0362973+0.00767387j 0.054344-0.0221572j -0.0133713-0.0181105j 0.0337573+0.0122048j -0.0643192-0.017737j -0.038137+0.0546365j 0.00659508+0.0466718j -0.0562648-0.0109043j 0.0735787-0.00952268j -0.101705-0.0188635j -0.0144798-0.00274319j -0.00737606-0.0163074j 0.0209215-0.0186731j -0.0226763-0.0038413j 0.00476561+0.0258543j 0.0180527-0.0166256j -0.028338-0.0249794j -0.0749939-0.0309192j 0.0512924+0.0660399j -0.048984-0.0121256j 0.0214289+0.000899695j 0.0245762+0.0061245j -0.0126051-0.0374022j -0.0263838+0.0638045j 
