-5.71882e-06-0j 0.000199325-0j -0.00274465-0j -0.00277309-0j -4.16997e-07-0j -4.21318e-07-0j 0.019209-0j 0.0266112-0j 0.0329297-0j 1.17453e-05-0j 1.45341e-05-0j 8.47822e-06-0j -2.77998e-07-0j -3.44005e-07-0j -2.0067e-07-0j 
0.000125293-0j -0.00261288-0j 0.0178507-0j 0.0180357-0j -0.000867915-0j -0.000876909-0j -0.0403175-0j -0.0558539-0j -0.0691156-0j 0.0146267-0j 0.0180996-0j 0.0105581-0j 6.09063e-06-0j 7.53677e-06-0j 4.39645e-06-0j 
-0.00106315-0j 0.00728698-0j 0.00106297-0j 0.00107399-0j 0.0148065-0j 0.01496-0j 7.85866e-05-0j 0.00010887-0j 0.00013472-0j -0.0820134-0j -0.101486-0j -0.0592004-0j -5.16807e-05-0j -6.39516e-05-0j -3.73051e-05-0j 
-0.00122762-0j 0.0170076-0j -0.0570685-0j -0.0576599-0j -8.95137e-05-0j -9.04413e-05-0j -0.00859022-0j -0.0119005-0j -0.0147261-0j 0.00100218-0j 0.00124014-0j 0.000723413-0j 0.00853364-0j 0.0105598-0j 0.0061599-0j 
0.00850517-0j 0.00124034-0j 8.95137e-05-0j 9.04413e-05-0j -0.058916-0j -0.0595266-0j 4.39645e-06-0j 6.09063e-06-0j 7.53677e-06-0j -0.00694332-0j -0.00859192-0j -0.00501195-0j -0.0591228-0j -0.0731607-0j -0.0426771-0j 
0.0104167-0j -0.0713976-0j -0.010415-0j -0.0105229-0j 0.000759549-0j 0.00076742-0j -0.000769988-0j -0.0010667-0j -0.00131998-0j -0.00420714-0j -0.00520607-0j -0.00303688-0j 0.000506366-0j 0.000626596-0j 0.000365514-0j 
-0.0645497-0j -0.0094135-0j -0.000679361-0j -0.000686401-0j -0.00470675-0j -0.00475553-0j -3.33667e-05-0j -4.62247e-05-0j -5.72001e-05-0j -0.000554696-0j -0.000686401-0j -0.000400401-0j -0.00313783-0j -0.00388287-0j -0.00226501-0j 
