0.010591+0.0444528j -0.0151746+0.12238j -0.0353646-0.0774645j -0.0144639-0.114633j 0.00742098+0.0306676j -0.0857374+0.136484j 0.0218088+0.0155968j -0.0373624+0.00771461j -0.00805772-0.0890849j 0.0053289+0.0181752j 0.0172622-0.0567621j -0.0215619-0.113099j 0.0845262+0.053246j 0.158789+0.0509892j -0.00998561-0.0756112j 0.0510211+0.119894j 0.0923069-0.0280337j -0.057917+0.0399445j -0.061083-0.0856837j 0.0126993-0.000902093j 0.0345831-2.42402e-07j -0.0998607+0.00102354j 0.100297+0.065268j 0.0859476-0.0246526j 0.0156807-0.0829638j 0.00777104+0.124231j -0.0505478+0.0697429j -0.0282674-0.0936744j -0.108011+0.0309444j 0.0448093-0.00095398j 0.0717956-0.0212113j 0.0905306-0.0590734j -0.0358157-0.0184597j 0.0693766+0.0891425j -0.0209361+0.0362109j 0.128062+0.0650232j 0.0214891+0.0168682j 0.0363036+0.0749229j 0.00733539-0.0245162j 0.000797806-0.0165984j -0.0199578+0.0729913j 0.0577292+0.07611j -0.0861117+0.143852j 0.0118721+0.0531682j -0.0750578-0.045966j 0.00180596-0.00775039j -0.0818507-0.0357276j 0.00652047-0.0806623j -0.0671819+0.027956j 0.0967561+0.0168062j -0.00577145-0.0942444j -0.0716787-0.198581j -0.0887607+0.114006j -0.0259026-0.0936241j 0.0296901+0.0580766j 0.000575883+0.111491j -0.168+0.0147255j -0.00108239+0.00342338j -0.00492529-0.0123792j 0.0660273+0.0545146j -0.176674+0.00500258j 0.0444951+0.0345547j 0.0309829-0.0210418j 0.00178848-0.0112718j 0.072058+0.0208413j -0.00877944+0.0409421j -0.00977995-0.0332519j -0.0191276-0.0054915j 0.0434422+0.000179936j 0.00739706-0.0247007j -0.0116664+0.00149628j 0.0582816-0.0249603j 0.0219125-0.0639211j -0.040952-0.00870432j -0.0129151+0.0288685j -0.123527+0.0063556j -0.0224678+0.0220635j -0.0121917+0.0456167j -0.0590631+0.00468544j -0.061314+0.080825j -0.115746-0.0208161j 0.0556466-0.0720951j -0.00154024+0.0100582j 0.0785372-0.0796506j -0.0654751-0.0164357j 0.000166091-0.0385157j 0.00181859+0.0113403j 0.0262759-0.0251695j -0.0575295-0.00635543j 0.066106-0.0317421j -0.083066+0.116596j 0.086114-0.0572117j 
-0.0112615-0.117162j 0.0362102-0.0982491j 0.00368154+0.00388622j 0.0176355+0.00539835j 0.0780249+0.0211272j 0.0134373-0.0388988j -0.0348843-0.0523665j 0.0320824+0.0376603j 0.0519004+0.0223317j 0.0422058-0.0154769j -0.0136424-0.0448171j -0.0166204+0.0516j 0.0135321-0.0886258j -0.104191+0.00859146j 0.0113508-0.173362j 0.0093012+0.0178404j 0.0173385-0.0688969j -0.00736432+0.0773028j 0.0483656+0.030932j -0.0214127+0.100156j -0.0411235+0.0387042j 0.0560307+0.0448263j 0.0308948-0.0136964j -0.0144672+0.00559419j -0.0293776+0.0104832j 0.0190591+0.089463j -0.0513843-0.00504756j 0.0293114+0.00562861j -0.0177988+0.00389965j -0.0122932+0.051852j -0.00899769-0.0408811j 0.0633754+0.0186649j -0.0392304+0.0247985j -0.00708834-0.0177138j -0.0652157+0.0144586j -0.0624375+0.00390733j 0.0693299-0.0484087j 0.0107937-0.000300824j -0.00641736+0.0231108j 0.0895301-0.057092j -0.00998772+0.0448448j 0.0294023+0.0113664j 0.0758258+0.0596933j -0.0206714-0.175705j -0.150587-0.0181351j -0.0114271+0.150765j 0.0680367-0.0119515j -0.165043+0.0819191j 0.0156076+0.26841j 0.0163009-0.00840489j 0.0900908+0.0634184j -0.100979-0.0427863j -0.116185-0.147503j -0.0381659-0.0289398j -0.100699+0.00987643j -0.229423+0.0988468j 0.0391358+0.0112259j -0.00907398-0.0593904j -0.050337+0.0779367j 0.0289663+0.00459356j -0.00222649-0.022543j 0.069964+0.0135589j 0.00712178+0.00203543j -0.00326621+0.016494j 0.0625717+0.00120261j 0.0111238-0.0102396j -0.109577+0.0276587j -0.0112531-0.0470719j -0.00182712-0.0367302j 0.00661207+0.0456317j -0.0127314+0.0501829j -0.0894049+0.0175661j -0.113908-0.0291593j -0.0891839+0.0337893j -0.0648743+0.0146888j -0.14135-0.0228121j 0.00537133+0.00981921j -0.0705894-0.0488982j 0.102506-0.00728517j -0.0558154-0.0580965j 0.0181383-0.103864j -0.033626+0.0388572j -7.24399e-05+0.0403626j 0.0825623+0.00605232j 0.00449656-0.0518343j 0.0936282-0.00713884j -0.0676691+0.0228938j -0.0330187-0.0411767j 0.00161541-0.00410584j -0.088232+0.103673j -0.0830813+0.0359506j -0.0185783+0.0617683j 
0.0313664+0.0106757j -0.0337358+0.0903238j -0.0131068-0.231238j 0.0331168-0.282914j -0.0250133-0.0989598j -0.0546244+0.0197128j 0.0422522-0.100236j -0.034406-0.0407078j -0.0700109+0.179543j 0.0744855-0.00605048j -0.0918408-0.100232j 0.0291008-0.0202979j 0.106917+0.0390095j 0.0787464+0.0940915j -0.0183584-0.135244j 0.257013+0.0881884j 0.237436-0.168672j -0.0689337+0.0635906j -0.0539466-0.0423921j -0.0386327+0.0494383j -0.101968+0.0116326j -0.07736+0.00384828j -0.0993719-0.0057788j 0.0157984-0.0174427j 0.0600716+0.113864j 0.00218346-0.141289j 0.0629213-0.0206871j -0.0719142+0.0263783j 0.0748569+0.00777189j 0.0196805-0.0324787j 0.0716844+0.010908j -0.0459779+0.0160662j 0.0204788-0.0137733j 0.0290381+0.0572713j 0.0387613-0.0269423j -0.0875995+0.021304j 0.0699293-0.0758578j -0.0142049+0.0499333j -0.0264411-0.0964029j 0.0577097-0.0829448j 0.0162267-0.0166226j 0.0336861-0.0171747j -0.0248229-0.144533j -0.0513478+0.00408262j -0.0542888+0.0157901j -0.0687589+0.0381717j -0.0326332+0.0324771j -0.0398156-0.0312256j 0.0645664-0.0275698j 0.0257534+0.026457j 0.0272468-0.0119715j 0.049891+0.0188596j -0.079948-0.0249918j -0.0928575+0.0724419j -0.0461524+0.00870033j -0.0370763+0.00745066j 0.0302846-0.0484258j -0.0411788+0.0404728j -0.0472086-0.0242862j -0.0402872-0.00698152j 0.0373282-0.00730574j -0.0510723-0.00839654j -0.0410713+0.0259405j -0.0106642-0.00633004j -0.0689877-0.0397855j 0.00117884+0.00528802j 0.0240497-0.0187285j -0.0168163+0.00739483j -0.0222335+0.0137586j -0.017444+0.00182937j -0.0146472+0.00568425j 0.0187571-0.0260263j 0.0108433+0.026568j 0.0395414-0.0124048j -0.00306876-0.0118195j 0.0554896+0.000582696j 0.00327928+0.0077523j 0.0398126-0.00863236j -0.0355059+0.000681001j 0.0183891+0.00936881j 0.0134878+0.0191558j 0.00191782+0.00505318j -0.00681258-0.00925203j -0.013501-0.00417719j 0.0251537+0.0237639j -0.0278043+0.00308757j 0.021965-0.0123764j 0.0172604+0.0295919j 0.010805-0.000603764j 0.0141712-0.0214465j 0.0246236-0.0271925j -0.00850691-0.00717524j 
-0.0360494-0.18633j 0.0549052-0.0779507j -0.0187601+0.0447834j 0.084016-0.0669083j 0.0255923-0.0364773j 0.0398817-0.0536946j -0.104719-0.111126j 0.0270979-0.031566j -0.00906183+0.106182j 0.0426926-0.161906j -0.111079-0.0946835j -0.197663-0.16529j 0.0459797+0.113867j -0.0039436+0.0840617j 0.185432+0.125754j 0.0486428+0.104175j 0.0740149-0.126112j -0.0886096-0.0332079j -0.00808141-0.0297705j 0.0427762-0.184306j 0.0379017-0.0265908j 0.0950575+0.00121139j -0.038631-0.0708554j 0.0441241+0.019201j 0.0350836+0.0834877j -0.0345035-0.0170522j -0.0167946+0.0282671j 0.0578568+0.06147j -0.000425576+0.0348986j 0.0495715-0.0224722j 0.0296081-0.0286567j -0.0714255+0.0657261j -0.136521-0.0456176j 0.0455209-0.0548839j -0.0871921-0.0640874j 0.0504496+0.0760994j -0.0249142+0.155881j -0.0365385+0.0306844j 0.124261+0.0339865j -0.0990464-0.129871j 0.12385+0.11636j 0.0403548-0.028424j -0.0619554-0.0208977j 0.0811595-0.00638145j 0.104695-0.0932954j -0.0181206+0.0487934j 0.111734-0.00188709j 0.159623+0.114022j -0.0108319+0.0163445j -0.0948742-0.0417819j -0.0888588-0.0381566j -0.0917301+0.089116j 0.0115099-0.0372648j 0.0572931-0.066592j 0.0822368+0.019888j 0.067536+0.00100823j -0.0519712-0.0152565j -0.000242987+0.0452582j 0.0372106-0.00660125j -0.0468276+0.0285706j -0.029743-0.00536902j -0.0202852-0.0244018j -0.0358582-0.0199996j -0.00611271+0.0119523j -0.0448558-0.0399728j -0.00699865+0.0243647j -0.0967082-0.0288867j -0.0170487-0.0147854j 0.00795446-0.00878264j 0.0150078-0.0169503j 0.0189724-0.0102156j -0.0928164-0.0258762j 0.00263274+0.00147492j -0.0457644+0.00967798j 0.0117193-0.0114438j -0.0962075-0.00717338j 0.00418591+0.0354825j 0.00598608-0.0397317j 0.0259216+0.044698j -0.0121212-0.000984939j -0.0128284-0.00440277j -0.000108603-0.00147801j 0.00188637+0.00610457j -0.0182014+0.000135142j 0.000994607-0.00929067j 0.00777421-0.00340398j -0.0164862-0.00332171j -0.0111181-0.0201574j -0.00162688+0.00999041j -0.00336296+0.0111996j 0.00887224+0.00360678j -0.00356997+0.00215018j 
-0.0122908-0.159482j 0.0352882-0.123619j -0.0100509+0.0865256j -0.0401751+0.0781877j 0.0840364+0.0128664j -1.55566e-05-0.0493356j -0.0233137-0.0454162j 0.0845749+0.0663053j 0.119268-0.0233486j -0.0378797+0.0871887j 0.0287029-0.00834031j -0.116433-0.0199854j -0.0302089+0.0571063j -0.123937+0.0275511j 0.0131345-0.0761122j -0.0605502-0.0425931j -0.152395+0.132094j 0.038031+0.0485887j 0.0343785+0.0390246j 0.107782+0.106309j 0.0612404+0.0969889j 0.0550674+0.0377424j 0.0934373-0.0235856j 0.101472-0.032058j 0.0266954+0.138836j -0.0660501-0.0330228j 0.0245826+0.103139j -0.0867792+0.0230316j 0.00255243+0.0573073j 0.0917426-0.0424442j 0.138314-0.0409639j -0.0761193+0.0106244j -0.0450092+0.0177303j 0.0667775+0.057561j 0.0357516+0.018888j -0.0792184+0.0628613j -0.0385992+0.0575768j -0.00958529+0.0284849j 0.0716264-0.128285j -0.0336207+0.0649987j 0.105918-0.0857063j -0.0549229+0.0659713j -0.179464-0.00477595j -0.0194253-0.00873916j -0.0504618+0.120212j -0.0414715+0.078478j -0.0493527+0.0869835j 0.0372444-0.0919412j 0.0709674-0.0730682j 0.0798811+0.0447878j 0.00956785-0.0124241j 0.0199751-0.0424524j -0.106369-0.0194801j 0.053808+0.0329768j -0.0224555+0.02339j -0.0479623+0.064056j -0.0548361-0.00547805j 0.00039143-0.0077053j -0.0737707-0.00191296j -0.0683509+0.0621129j -0.0459594-0.0170879j -0.0281573+0.00838231j -0.0583111+0.00827282j -0.0176114-0.0214111j -0.0907634-0.00234845j -0.0275536+0.0382493j 0.0395821-0.012016j -0.0447293+0.00698884j -0.014186+0.00391847j -0.00525296+0.0215621j 0.0160855+0.00436207j 0.0034871-0.00658541j 0.0229297-0.0134525j 0.0790383-0.00699806j -0.00836817-0.00841578j -0.00860627+0.0226129j -0.0154838+0.03507j 0.0533013+0.0236083j -0.0485813+0.0341226j -0.0143645+0.05429j -0.0188617+0.0280593j -0.000486369-0.0217135j -0.00391273-0.00738714j -0.000667029-0.0344238j 0.0257185+0.0112989j -0.0155914-0.0165771j 0.0162254-0.0272915j 0.00954675+0.0117954j -0.0023207+0.00768886j 0.0201452-0.017406j -0.00446058+0.0146166j 0.0105318-0.021926j 
0.00021518-0.128519j 0.0169251-0.0928338j -0.0340992+0.0604947j -0.0300807+0.0490022j 0.0628506-0.00702704j -0.0469802-0.0248324j -0.0180031-0.0122609j 0.0810324-0.0436132j 0.00859858+0.013955j 0.0530669+0.110159j -0.0862388+0.0592201j 0.0036746+0.00956913j -0.0541266-0.167032j -0.0952258+0.0078888j 0.107479-0.0270306j 0.0174424+0.00586753j 0.099253+0.055198j -0.0261936+0.0927412j -0.0264398-0.0577603j 0.134592-0.0188801j -0.0311458-0.00899138j 0.073457-0.024743j -0.0572789-0.0762613j -0.0278137+0.0344278j 0.00883155+0.111229j 0.052239+0.0366385j 0.11588+0.00377921j -0.00667711+0.0130984j 0.0830723+0.0493204j -0.0151198-0.0339035j 0.0707151-0.0029516j -0.0504597+0.0407652j 0.0293692-0.0866887j 0.0317453+0.0954491j 0.117836+0.101606j -0.0199397+0.0563065j 0.168837+0.0869655j 0.0553416+0.111006j -0.0557008-0.066064j 0.0694758-0.00669154j -0.089411-0.0923134j 0.032511-0.0597488j 0.0453224+0.0601588j 0.0246193+0.0425748j -0.111643-0.0102365j -0.0511596+0.0297609j -0.087221-0.0376635j -0.129921-0.115216j -0.0488367-0.0453419j 0.0497475+0.00709644j 0.0155379-0.0425663j -0.139679-0.0275476j -0.00176122+0.0546255j -0.139562+0.00135625j -0.0935296-0.00617236j -0.00859523-0.0159858j -0.0364075-0.0693328j -0.0338867+0.0614771j 0.0416812-0.0394522j -0.0222944+0.0269655j 0.0108421-0.0116963j -0.0759687+0.00513211j -0.0755315+0.00098273j -0.0264294+0.0237633j -0.0805479-0.016023j 0.00636539+0.00630236j 0.00680607-0.0150694j -0.00312098-0.00716944j -0.012997+0.046651j 0.0174553-0.0533872j -0.0401443+0.00519447j -0.0126648-0.0133174j 0.0167529+0.0230488j 0.0262262+0.00764139j 0.0140563+0.0254753j -0.0209476+0.0248648j -0.0147406+0.0116789j 0.0689443+0.00297612j -0.0250777+0.0502818j -0.0119887+0.0530222j 0.00280104+0.00317631j -0.0418574+0.00449045j 0.00145861+0.0116067j -0.00257941-0.0285652j 0.0234388+0.0134977j -0.00594461+0.00515678j 0.0165826-0.0217911j 0.0151265+0.00935982j 0.00823281-0.00621107j -0.0125599-0.00032392j -0.00685974+0.00408325j -0.0107939+0.00071834j 
0.0116479+0.192819j -0.0882012+0.0773504j -0.0563481-0.0758563j 0.0145251+0.042954j -0.0532632-0.00833557j 0.0092597+0.152932j 0.0546305+0.0425353j -0.0736741-0.0505571j -0.0992259-0.00228697j -0.102597+0.174254j 0.0413148+0.10421j 0.0805035-0.0314871j -0.0509488+0.076209j 0.165488-0.0975859j 0.0402322-0.0743232j -0.0574295-0.0343796j -0.0797921+0.177325j 0.0702813-0.0521947j -0.0975144+0.00906443j 0.00638135-0.0784797j 0.0403129+0.0296703j -0.173246+0.0222552j 0.00934152-0.0279142j 0.0503529+0.0130306j -5.04744e-05+0.0442438j 0.0372616-0.0170274j -0.0699462+0.0291786j -0.0103457+0.0284486j 0.0902589+0.0741509j 0.149623+3.14932e-05j 0.125315-0.0856851j -0.0448816+0.0498177j -0.144504-0.0674279j 0.0463469+0.0478142j -0.103373+0.0566783j -0.0171533+0.0221758j 0.0781772+0.0283501j 0.0069288+0.0262527j 0.0852065+0.00575574j -0.0533775+0.0201848j 0.0877578-0.113906j 0.0567453-0.0866027j -0.125388+0.0236857j 0.0563745-0.201893j -0.00839189-0.0192299j -0.036475+0.146198j 0.137535+0.0314302j 0.0215265+0.0854675j 0.0502245+0.122991j -0.0727642-0.0415343j -0.0186988+0.0377993j -0.0242762+0.0722169j 0.0244055-0.0443818j 0.0485647+0.0176553j -0.0303913+0.0198793j -0.0586806-0.00916235j -0.0188395+0.00357596j -0.0502206+0.0542034j -0.0477834-0.0453781j -0.0183163-0.0124312j -0.0226192+0.0127245j -0.00542685-0.0211895j -0.0566772+0.0226168j 0.00252285+0.0329632j -0.115526-0.0255117j 0.011306+0.0175027j -0.0743407+0.0195652j -0.0234736-0.00733495j -0.0455019+0.00824453j 0.00106123-0.0192507j -0.00760501+0.0084895j -0.152744+0.0350022j -0.0361677+0.0586052j -0.00202611-0.00631452j 0.0115382+0.00961458j -0.0138254+0.0182321j -0.0247891+0.00738983j -0.00217174-0.0384101j 0.036896-0.0103404j -0.0187335-0.0251713j 0.00871254+0.0241832j 0.0268743+0.0268254j -0.00572841-0.00497305j -0.0135149+0.0190361j -0.00122209+0.00593715j -0.0205754+0.0052039j 0.00593046-0.00578517j 0.0106809+0.0133763j -0.0079859+0.0016978j 0.022222-0.0166976j 0.0135724-0.0152585j 0.0094451-0.0094084j 
-0.0122161-0.185052j 0.00545704+0.00947187j -0.0514163-0.22609j -0.00576931-0.259906j 0.0295094-0.106656j -0.0657704-0.064099j -0.0514029-0.0485043j -0.037197-0.050657j -0.00286017-0.0177432j 0.111015+0.138494j -0.261971+0.0751321j 0.15288+0.103888j -0.184202+0.037748j 0.101431-0.112688j 0.0273214+0.141301j 0.077474-0.168085j 0.07672+0.228053j -0.056167-0.011122j -0.0460359+0.100432j 0.131685+0.0380406j -0.158097+0.0139526j 0.0275784-0.0419178j -0.0673459-0.0300023j -0.00665552+0.0181448j 0.0332542-0.0753431j 0.0162519+0.114235j -0.0270993-0.0239903j -0.0383091+0.0510621j -0.0514016+0.0425766j 0.0135501+0.00103323j -0.0496542-0.0260324j -0.00675232+0.022656j -0.0457807+0.0329846j -0.0229681+0.00757817j -0.0300655+0.110727j -0.0194122-0.0785859j -0.0382325+0.0497506j -0.0413719-0.0242098j 0.0382603+0.0674322j -0.0401374+0.134372j 0.0287217-0.0488389j -0.0500869+0.0214706j 0.014386+0.132234j 0.033645-0.0378102j 0.0661841+0.0308689j -0.00460141-0.0233942j 0.0114456-0.034582j -0.00123882+0.0187958j -0.02778-0.00837637j -0.0399315-0.0438881j 0.0185237+0.00718554j -0.0137175-0.00585979j 0.0579705+0.00863631j 0.0613371-0.0841321j 0.0362698+0.00407834j 0.0101715+0.00538499j -0.00205681+0.00569311j -0.0579114-0.0180575j 0.062826+0.0314593j -0.0458289+0.0135695j 0.0369512-0.00995332j 0.0204093-0.0187901j 0.02706-0.0236539j 0.0198655+0.010985j 0.0685858+0.0549256j -0.0158524+0.00292032j -0.00106866+0.014812j 0.0196703+0.00482761j 0.0204813-0.00967583j -0.000362066+0.00545141j 0.0230978-0.0214357j 0.00218422+0.0383552j -0.00217522-0.021102j -0.0331558+0.0289425j 0.00452295+0.00125436j -0.0178841+0.0121413j 0.0206395-0.0110709j -0.00572425+0.0146741j 0.0159827+0.00170991j -0.00718653+0.0153855j 0.00809131-0.0177481j 0.00191212-0.0128759j 0.00264084+0.00709084j -0.00565268+0.0121132j -0.00293211-0.0195046j 0.02145+0.00172204j -0.0138102+0.00979778j -0.0155008-0.0251028j 0.0078048+0.00450846j -0.0228323+0.0233647j 0.00154449+0.0012278j -0.0161347+0.017504j 
0.00206264-0.0517798j 0.0342108-0.0124309j -0.0162407-0.0824706j 0.0060775-0.143169j -0.0090693+0.0478781j -0.138873-0.017558j 0.048717+0.119167j -0.0386684+0.0608227j -0.0188568-0.262262j 0.0937697-0.0576015j -0.0800887-0.0205579j 0.0695968+0.0869494j -0.08896-0.0647632j -0.0173917-0.0171051j -0.0632172+0.0513118j 0.0251141-0.0836364j 0.0159563-0.0273848j -0.0689193-0.0665025j -0.011447+0.0280447j -0.0793921+0.0193315j 0.0436706-0.00318046j 0.104348+0.069838j 0.111781+0.0162644j -0.0912654-0.006709j -0.195663+0.0317625j -0.0642565-0.0609421j -0.0385231+0.154571j 0.0890549-0.0463386j 0.0436155-0.0267702j -0.0519149+0.0130251j -0.0433954-0.0661321j -0.0104197-0.0743j 0.0671924-0.134483j -0.108388-0.0162216j 0.00748995-0.14467j 0.112085+0.169473j -8.16758e-05+0.125384j 0.00738566-0.0580343j 0.0771413-0.0608602j 0.086436+0.00184582j -0.0519576-0.0373123j 0.0359308-0.0162097j 0.0506136+0.0718093j 0.0731272-0.0331487j 0.0208127-0.092338j 0.0591695+0.00879836j 0.074182+0.0944253j 0.0694098+0.0542821j -0.0938092+0.0527137j 0.0540231+0.0424171j -0.0220759+0.0736337j 0.00448458+0.0310096j -0.0685659-0.0511677j -0.0527314+0.031183j -0.0770608+0.0192005j 0.0440219-0.04833j 0.117134+0.0188604j 0.123036+0.0223959j -0.0737743-0.0608338j 0.0873848-0.0301819j -0.0749936+0.0224932j 0.0256424+0.0168433j -0.0420637+0.0325511j -0.0163977+0.0026528j -0.142074-0.0362099j 0.0311028+0.0089954j -0.0242689-0.000871067j -0.0607486-0.0364144j -0.0396721+0.0320813j -0.0144525-0.0099957j -0.0196248+0.0538523j -0.0944798+0.00294282j -0.0116805+0.0555862j 0.079576-0.0288719j 0.0130848+0.0253122j 0.0345691+0.0357592j -0.0335668+0.0242208j 0.00708491+0.00332066j 0.022997-0.0155776j 0.0263241-0.0302725j -0.0156914+0.0429126j -0.003667+0.0404723j 0.0131436-0.00377146j 0.0154515-0.00665066j 0.00139893+0.0165955j -0.0339758+0.00530381j 0.0279632-0.0219871j 0.0228242+0.0360452j -0.0149465-0.0111464j 0.0318052-0.034642j -0.00467826-0.00446914j 0.0252012-0.0248172j 
0.00246731+0.281085j -0.0852643+0.0616435j -0.0328067+0.0188745j -0.0544883+0.010564j -0.112522-0.0209487j 0.0663342+0.0779216j 0.107055-0.0439148j 0.106041+0.0406374j -0.0288961+0.075783j -0.156616-0.0442305j 0.143413-0.0713065j 0.118881+0.0994397j 0.149379-0.0828232j -0.00775465+0.1436j -0.0727095+0.125146j 0.0110522-0.0857189j 0.0312018-0.021353j 0.0769829+0.0468908j -0.0170897+0.0347964j -0.00294359+0.0724573j -0.0546553-0.0530022j 0.0738059-0.00681913j -0.103383-0.0468689j -0.000660127-0.0652352j 0.0171605+0.0245852j -0.0316114-0.000298867j -0.0210126+0.0415954j 0.0622573+0.051125j -0.049737+0.0812047j -0.137245-0.0022837j 0.0221199-0.0496564j -0.0473066+0.0987782j -0.0638915+0.0326459j -0.0327715-0.0736815j 0.0293562+0.0359012j -0.128319+0.0520907j -0.0571353+0.254375j -0.0270914-0.0044962j 0.113144-0.0245484j 0.00494216+0.00735531j -0.0749869+0.0568781j -0.0510202+0.062938j 0.0499706+0.0210283j 0.00770345+0.00627744j -0.0437815+0.0182255j -0.0417329+0.124569j 0.0235884+0.0463346j -0.0110146-0.0165851j -0.0749085-0.041727j 0.034443-0.0278553j 0.0670924+0.0285269j -0.0862255-0.00823888j -0.0925902-0.0423195j -0.0872112-0.141349j -0.0564938+0.0644116j 0.0522515+0.0516061j 0.0786323-0.0617799j -0.00481908-0.047404j 0.10095+0.0311428j -0.0632619+0.0524278j 0.0327637-0.0282015j -0.0322256-0.0364695j -0.0164985-0.011895j -0.0285219+0.0314859j -0.0348148-0.0138847j -0.0239019+0.0283206j -0.0748582-0.0389707j -0.000388625-0.00285368j 0.000327189+0.0431153j 0.00539741-0.00776466j -0.00395319+0.0154003j -0.075437-0.0200704j -0.0315011+0.0171239j -0.0307267+0.0468849j -0.0304312+0.0207028j -0.0668787+0.0220722j 0.0501036+0.0182788j 0.0567249-0.0213889j 0.00560757+0.0479395j 0.0330165+0.0477764j 0.0215175-0.00771966j -0.0393033+0.0077061j 0.0120723+0.0245902j -0.0188172-0.0135082j 0.010276-0.00599353j -0.0124775+0.00910583j 0.00801138-0.00181299j 0.00761496-0.000943283j 0.0147087-0.00748532j -0.0138715+0.0222248j 0.0196981-0.00550944j -0.0240636+0.0158155j 
-0.0140095-0.0307318j 0.0349528-0.0392577j 0.0196957+0.00957639j 0.00775273+0.0291586j -0.00422956+0.0582666j 0.00954015-0.0235167j -0.0372884+3.59136e-05j 0.0472756-0.0441452j 0.00908322+0.0572527j 0.0263064+0.0498595j -0.0282301-0.00464429j 0.0247275+0.0824623j -0.00428306-0.00913731j -0.108939+0.0322324j -0.00442066-0.000357334j -0.00878987-0.0759331j -0.0169773-0.0757465j -0.0397976-0.019105j 0.0473271-0.051428j -0.036489+0.0262948j -0.00380959-0.0487342j 0.0126352-0.0282921j 0.0206958+0.0257363j -0.00213195-0.0111141j 0.0415883+0.0109743j 0.0265108+0.0467494j -0.00817312-0.00638832j -0.00999283-0.00252002j -0.00014764+0.00512946j 0.00343888+0.0314146j -0.0992348-0.0714205j 0.0254436+0.0308993j -0.0752792+0.0175612j -0.035663-0.0165563j 0.0252288-0.00763865j -0.0800488-0.0328095j 0.00163407-0.040441j -0.0343487-0.0117626j -0.00532966+0.0892881j 0.0516572+0.0568174j -0.014383+0.0195401j 0.0176944-0.0192612j 0.106511-0.0615479j -0.029398-0.0903824j -0.0258277-0.0686508j 0.0326807+0.0931043j 0.0760075+0.025438j 0.021601+0.00984396j -0.0334025+0.0517894j 0.10699+0.058244j -0.0369371-0.0317723j 0.0461801-0.000809993j 0.0112876+0.00262213j -0.010544-0.122333j -0.0496837+0.0464536j -0.0463829-0.0253766j 0.00658046+0.0139128j 0.0382956-0.0329902j -0.0677585-0.0201989j -0.0500858+0.0233091j 0.164409-0.036984j 0.00786719-0.00708346j 0.0121001-0.0168368j 0.127453+0.00474107j -0.025145-0.0546819j -0.0776576+0.0987595j -0.0665872+0.00553442j 0.0306851+0.0426473j 0.0480076+0.0710039j 0.0354928-0.0654516j -0.012559+0.0118674j -0.0461582+0.0124008j 0.0730989+0.0490377j -0.00127447-0.0787736j 0.0784274+0.0082619j -0.0668286-0.0010004j -0.031874+0.00639886j -0.0918112+0.00438783j -0.0722055-0.00482549j 0.0996183-0.00857174j -0.0520094+0.0799736j -0.00812914+0.0125534j -0.0132346-0.0248187j -0.0998132-0.0105323j -0.162124+0.0124119j -0.0916885-0.0421404j 0.0555593+0.00175833j 0.0333869-0.0252489j -0.0773003+0.0150472j 0.163306-0.162582j 0.0671531+0.0853566j 0.119493-0.179458j 
