-1.39595e-05-0j 0.000343801-0j 3.47498e-08-0j -0.00390128-0j -0.00386126-0j -1.01788e-06-0j -1.02843e-06-0j 2.00628e-08-0j 2.02707e-08-0j 
0.000249281-0j -0.00366947-0j 8.85812e-05-0j 0.0206074-0j 0.020396-0j -0.00172679-0j -0.00174468-0j -5.38341e-07-0j -5.4392e-07-0j 
-0.00148785-0j 0.00713356-0j -0.00213714-0j 0.00130161-0j 0.00128826-0j 0.0207215-0j 0.0209362-0j 6.46009e-06-0j 6.52704e-06-0j 
-6.26465e-05-0j -6.46009e-06-0j 0.0128452-0j -3.84609e-07-0j -3.80665e-07-0j 0.00131101-0j 0.00132459-0j -2.58404e-05-0j -2.61082e-05-0j 
-0.00211153-0j 0.0206122-0j 1.05493e-05-0j -0.0564327-0j -0.0558539-0j -0.000153966-0j -0.000155561-0j -0.000870961-0j -0.000879986-0j 
0.00832798-0j 0.00173583-0j 0.0120262-0j 0.000155561-0j 0.000153966-0j -0.0576886-0j -0.0582864-0j 0.0104515-0j 0.0105598-0j 
0.000708764-0j 7.30876e-05-0j 0.000506366-0j 4.35136e-06-0j 4.30673e-06-0j 5.16807e-05-0j 5.22163e-05-0j -0.0839046-0j -0.0847741-0j 
0.0145779-0j -0.0698943-0j -0.000109631-0j -0.0127532-0j -0.0126224-0j 0.00106297-0j 0.00107399-0j -6.32957e-05-0j -6.39516e-05-0j 
0.00106315-0j 0.000109631-0j -0.0721571-0j 6.52704e-06-0j 6.46009e-06-0j -0.00736451-0j -0.00744082-0j 0.000438526-0j 0.00044307-0j 
-0.0632049-0j -0.013174-0j 0.000960761-0j -0.00118063-0j -0.00116852-0j -0.00460869-0j -0.00465645-0j 0.000554696-0j 0.000560444-0j 
-0.00850517-0j -0.000877051-0j -0.00607639-0j -5.22163e-05-0j -5.16807e-05-0j -0.000620169-0j -0.000626596-0j -0.0035082-0j -0.00354456-0j 
