-0.0114851+0.062486j -0.0122905+0.0470342j -0.0461912+0.0290419j -0.00480175-0.00411292j 0.00031544+0.0162958j -0.00995785-0.0114167j -0.00421169+0.000743089j 0.0240968+0.00947399j 0.0218585-0.00516748j -0.0418391-0.00970221j -0.0397581-0.0108956j 0.0278943+0.0150082j 0.0381599+0.0414692j 0.0132449+0.0164348j 0.00193204-0.00327795j -0.0199262-0.0177936j 0.00190858+0.00969617j 0.00550627-0.0206408j -0.00816738-0.0245013j 0.00795944+0.0193058j 0.0291705+0.0109931j 0.00918717+0.0199118j 0.031983-0.00720144j -0.0129056+0.000299438j 0.000407162+0.0186555j -0.0055071+0.0113342j -0.00875437+0.0175306j 2.07628e-05+0.0148135j -0.000502775+0.0309623j -0.0116903-0.00609717j 0.0134542-0.0255192j -0.0397697+0.0328936j 0.00368204+0.00623375j 0.00320586+0.00842209j 0.0173884+0.00989196j -0.0397623-0.0188416j -0.02304+0.0417668j -0.054976+0.0258558j 0.0532701+0.0495426j -0.0243965-0.130463j 0.004237-0.00245504j -0.00971069-0.0218257j 0.0120868+0.0811255j -0.0275334+0.0032671j 0.0226148-0.0475021j 0.00727267+0.00829334j 0.0501658-0.0360528j -0.017257+0.0219789j 0.0302191-0.0223049j -0.0512618-0.0114346j 0.0069311-0.0624897j 0.0151767+0.00216874j 0.0324535-0.00852717j -0.0221435-0.0143735j 0.0166774-0.00651623j -0.0288842-0.00229426j 0.0121687-0.00534781j -0.021126+0.0533131j -0.01318+0.0149538j 0.0885068+0.0893582j 0.108099-0.0423443j -0.000835387+0.0322987j 0.0126863-0.0227428j 0.00579786-0.00869698j 0.00382489-0.0100655j -0.0103744+0.0279518j 0.0231526+0.0927674j 0.1525+0.00973782j 0.0920775-0.187173j -0.113903+0.101162j 
-0.00495098+0.0462785j 0.00492262-0.0705585j 0.016716-0.00219349j -0.0761628+0.020875j -1.06277e-06-0.0076744j -0.0334372+0.00262861j -0.00634999-0.00156244j -0.0251398-0.0207121j -0.00130293-0.0211843j -0.0082765-0.00349672j 0.00321572+0.00978873j 0.0178113-0.00711747j -0.00929978-0.0172709j -0.0149096-0.00272103j 0.00457279-0.0133349j 0.00886413-0.0125675j 0.0191695+0.0164809j -0.0209003-0.00745969j -0.00953143-0.00937803j 0.00309834-0.0179546j -0.0176602-0.0310894j -0.0121836+0.0104942j -0.00617507-0.00685545j -0.00189392-0.00483387j 0.00820627+0.00301419j 0.00258436-0.0154986j 0.00628308-0.0120425j 0.0054755-0.0129927j 0.00744689-0.00936328j 0.00985106-0.0444396j -0.04915+0.0201306j 0.0248779+0.0313894j -0.00832623+0.0321382j 0.00987255+0.0407474j 0.0291474-0.00149164j -0.00598035+0.0488531j 0.0339063+0.00255018j 0.020584+0.098923j 0.0738024-0.0503659j -0.0941959+0.0042958j 0.0385784-0.0169564j -0.00744719+0.0163366j 0.0295923-0.00610043j 0.0234542+0.0597083j 0.00666282-0.0520023j -0.00557371-0.0196806j -0.00480513-0.00403356j -0.0382025-0.0103924j 0.0151233-7.67528e-07j -0.000987692+0.0103362j -0.0309309+0.0545987j 0.00109291+0.00635771j -0.00544804-0.0464674j 0.0396324+0.0265135j -0.0341699-0.0418085j 0.021107+0.047706j 0.0202962-0.0310308j 0.000157517+0.0141671j 0.002997+0.0319399j 0.0879907+0.0171346j -0.0865414-0.0807545j 0.00764278-0.115544j 0.0281659+0.00362789j -0.0113615-0.0229863j 0.00873026+0.0104818j 0.0171473-0.00313841j -0.147642-0.00539752j 0.0420799+0.0259582j 0.0984319-0.106967j 0.0933659-0.188298j 
0.00514173+0.010841j -0.0195559-0.0793134j 0.0268393-0.0154509j -0.029836-0.00987871j 0.0405926-0.0142133j 0.026066+0.0236224j -0.0588057+0.0312034j -0.072603+0.0265109j 0.00381018+0.0347271j -0.0137063-0.0122594j -0.00295671+0.00729258j 0.0179408+0.00987399j 0.0474028-0.0319786j -0.0484814-0.0164025j 0.00376598-0.00764524j -0.00563327+0.0292366j 0.019417+0.0143431j 0.0129692+0.0102161j -0.0369077-0.0225314j 0.0495884+0.0529541j -0.0765049+0.0414135j -0.0214257+0.00321034j 0.0242021+0.0254065j 0.0071697-0.0309394j 0.00182091-0.0352509j 0.0478969+0.0158208j 0.0452576-0.0123989j 0.040861+0.032412j 0.0699094+0.0136176j 0.0681649-0.0205829j 0.0474448-0.00273896j -0.0308597-0.0741588j 0.093982-0.0251568j -0.0212303+0.0684381j -0.00251247+0.0557703j -0.00992072+0.0385161j 0.0426975-0.0288292j 0.021213+0.0207533j -0.0674071+0.0162337j -0.0605802-0.00554837j -0.0160741-0.0871336j -0.0522051-0.00114556j 0.0263528+0.0751244j 0.0282248-0.0359075j 0.0175177-0.0203702j 0.006403-0.0279292j 0.00975407+0.0219488j -0.0826089-0.0176718j -0.070995+0.0494061j -0.0357539-0.00272553j 0.0225374+0.0394743j -0.0340317+0.037695j -0.027955-0.0129098j 0.0281653+0.0721178j 0.00132288+0.0340064j 0.11443+0.0424133j 5.5958e-05-0.0830652j -0.0109336-0.139518j -0.0200728-0.0046432j -0.0522542+0.0204392j -0.0647722+0.0136086j 0.0822675+0.00602064j -0.0416319+0.0339284j -0.02902-0.0198023j 0.0140084-0.0162401j 0.0381467-0.0365446j 0.051477-0.0408174j -0.0536354+0.209227j 0.0382738+0.137738j 0.122395-0.079085j 
-0.00372057-0.0557874j -0.0276883-0.00740428j 0.0165694-0.0107266j -0.0143995-0.00186524j 0.00998584+0.0261213j 0.00794678-0.00166231j -0.0204736+0.0761667j 0.0365198-0.0062899j -0.026775+0.000321668j 0.011942-0.0517638j 0.00186799-0.035717j 0.0180843+0.0196142j 0.0396538-0.0226053j 0.0158434+0.0213098j -0.0400781+0.0455699j 0.027194+0.0121177j 0.0597579-0.0167504j 0.0216274+0.00191063j 0.00422056+0.0383214j -0.000569164+0.00545578j -0.0138422+0.0263216j -0.0241092-0.041493j 0.0125475-0.0351756j -0.025279-0.0345954j 0.000107838-0.0433998j 0.0400704-0.0237659j -0.000828841-0.0410636j -0.00998046+0.0247098j 0.0057662-0.0476546j -0.0053606-0.0950386j 0.0262976-0.0253224j -0.0953212+0.0588628j -0.057817-0.0435359j 0.0401551-0.0417135j 0.00865728-0.0365601j 0.0607807+0.0446372j 0.0545309-0.00871494j 0.0542195-0.0489734j -0.0561536+0.0397843j 0.0459049+0.00755735j -0.0680463+0.0755058j -0.0436649+0.0587938j 0.105268-0.00277934j -0.0233276-0.0241342j -0.011527-0.0016905j -0.00332062+0.0143266j -0.012323-0.0291437j 0.0346026-0.00405122j -0.0471245+0.0417365j -0.017673+0.0119854j 0.0386319-0.0459604j -0.00806189+0.0380612j 0.00861003+0.0239457j -0.00376502-0.0143748j 0.0904375+0.0554979j 0.0670832-0.0763839j -0.0681889+0.0238702j -0.0670744+0.00447704j -0.0777769+0.133414j -0.0608449+0.0631566j -0.105798-0.0303714j -0.00476344+0.0404767j -0.0498988+0.0571837j 0.00524015+0.0254704j -0.0283951-0.0146405j -0.0632796-0.0501j 0.114801-0.177868j 0.0619928-0.00810295j -0.129175+0.0784564j 0.0720698+0.124986j 
0.0095758+0.018198j 0.036446+0.0547558j 0.0163365+0.0226629j 0.0409628+0.0710041j -0.0615295-0.0191257j 0.0209635-0.0297646j 0.0553174+0.00653252j 0.0421558+0.0746428j 0.0486412-0.00851789j 0.00948729+0.0674111j -0.0179536+0.0306374j -0.0501945-0.0419493j -0.0888778+0.0166939j -0.021102+0.00097377j 0.00341846-0.0174561j 0.0258264-0.0356541j -0.0140603-0.0415468j 0.00893069-0.0442093j 0.0234406+0.00742489j 0.0491557-0.0596816j 0.156291-0.0286671j -0.00293369-0.0784082j -0.0216402-0.0619811j 0.1097+0.113647j 0.0024579+0.0814552j -0.0774551-0.0102595j -0.0837486+0.117415j -0.0783668-0.137387j 0.0230567-0.0276388j -0.00808307+0.0549516j -0.0929018+0.0376948j 0.01114+0.0396777j -0.0737849+0.0238726j 0.0863095+0.0406184j 0.0829368+0.0111641j 0.00124069-0.00791874j -0.0569581+0.00917659j -0.00723425+0.0437214j 0.0660612-0.0242622j 0.0054166+0.0439278j 0.0288904+0.0920003j 0.0221429-0.149331j -0.0452543+0.0460784j -0.0246119-0.0211908j 0.112223+0.0495959j 0.0621347+0.0322622j 0.0682343-0.0770338j 0.0936824+0.0908456j 0.0600096-0.0989527j 0.0574457+0.0589518j 0.101921-0.0127111j 0.0997121-0.115413j 0.0964358+0.0521476j -0.00362332+0.0667059j -0.114681-0.0572934j -0.132701+0.0306742j -0.0163795+0.101413j -0.0387713+0.0471586j 0.101721-0.134406j 0.117322-0.163838j 0.0143891+0.0569695j 0.0975564+0.00781392j -0.027697-0.0525043j 0.0513401+0.0622893j -0.0602812+0.0319143j 0.0332061+0.0115062j 0.00818082+0.0390479j 0.081377+0.0749229j 0.0207393+0.0526531j 0.0483781+0.0248914j 
-0.00316772-0.0224848j 0.0175308+0.000939681j 0.0341629-0.0101387j 0.0570759-0.00891818j -0.0191991-0.0262664j -0.0104873+0.0118125j 0.0368288-0.0660531j -0.00614653-0.0555736j 0.072008-0.0768635j 0.095605+0.0812045j 0.0256427+0.0151627j -0.024714+0.000357027j -0.0418513+0.00295854j 0.0584087-0.006157j -0.0736601-0.0145871j 0.0136864-0.0850628j 0.0310438-0.0760499j -0.0916554-0.0239579j -0.0707659-0.00328607j 0.0662723-0.0532892j 0.00345804-0.0525528j -0.017066+0.014092j -0.00684205-0.0512447j -0.0691151+0.031336j 0.00914519-0.0219007j -0.0202533-0.000462768j -0.0490037+0.0311139j -0.0374832-0.0653697j 0.0141537+0.0321095j -9.48811e-05+0.0234859j -0.00550952+0.0143577j 0.0330104-0.00900779j -0.00645924-0.111379j 0.108742-0.0863981j -0.0599168-0.00260936j 0.0839333-0.00599172j -0.0741367+0.0435544j -0.0340638-0.0119242j 0.00938339+0.00220433j 0.0152515-0.0600588j -0.0468945+0.136661j 0.0412228+0.0056181j -0.104018-0.0652752j 0.00445651+0.0344131j 0.0218236+0.0131032j 0.0524795-0.0466733j 0.0165599+0.0376813j -0.0070977-0.00403409j 0.0160429+0.0161327j 0.0272087+0.0107554j 0.0100328-0.0156875j 0.0864562-0.0269754j 0.0125463-0.0515461j -0.0467149-0.062323j -0.041742-0.0779924j 0.0363643-0.060665j -0.0253892-0.0307645j 0.0299942+0.0580749j -0.0973801-0.031657j -0.140269+0.132925j 0.153074-0.120651j 0.00255453+0.017994j 0.0026944+0.0207963j -0.00149433+0.0897598j 0.0397902+0.000528999j 0.0359305+0.0139498j -0.0241685-0.0613491j -0.0964447-0.0704589j -0.0127918-0.00516689j -0.0356756-0.0484034j 
0.0143896+0.0524733j -0.00356262+0.00962192j -0.0305351+0.0330515j 0.00996497+0.0650459j -0.0245885+0.0174087j -0.0305193-0.0357659j 0.0548771+0.00364942j -0.00451272-0.000129028j -0.00895638+0.0568977j -0.00529022-0.0457193j 0.0241673-0.0763204j 0.0145699+0.00242477j 0.052664-0.051607j 0.0407572+0.0313442j 0.0766313+0.00654849j -0.0171566+0.00944975j -0.0159683-0.0360596j 0.0170581-0.0176196j 0.0743863+0.00294961j 0.0627864-0.0506251j 0.0811155+0.00641122j -0.0531957+0.004453j 0.00324229-0.0135346j 0.000521886-0.0297242j 0.0866351+0.0481306j 0.0753677+0.0675163j 0.021043+0.0163772j -0.0186201+0.0349962j 0.108688-0.0244075j 0.0553329+0.047148j 0.0286982+0.0616485j 0.0568472+0.0290888j 0.0285956+0.056344j 0.0704968+0.015317j -0.0381829-0.132902j -0.0528814-0.0303503j -0.148218-0.00363265j -0.0610112-0.0698043j -0.00643203+0.00652247j -0.036304+0.0715545j -0.0104668+0.028994j -0.00980504+0.0275307j -0.025848+0.0271946j -0.00184503-0.0424773j -0.0318944-0.0481749j -0.0206069-0.00754842j -0.0161074+0.116926j -0.0294058-0.10541j -0.110313+0.0381817j 0.0286159+0.0101411j -0.0308493+0.0641249j -0.0202827+0.00178349j 0.0738586-0.042055j -0.00194076-0.132114j 0.0480879-0.0526848j -0.0393528-0.0202921j 0.0497462+0.0331539j 0.0280215+0.0775352j -0.0449688+0.00237348j 0.0533199-0.0903003j -0.0979739+0.122731j -0.0340446+0.120217j 0.0195823+0.0579343j -0.0339299-0.00919585j 0.0238102+0.023341j -0.0506313+0.076693j -0.114736+0.0597095j 0.115314+0.125586j -0.0458821-0.0786738j 0.0211432+0.0315436j 
0.0287717+0.0458368j 0.0250934+0.0620672j -0.0493633-0.00338937j -0.0151084+0.0161248j -0.0203543+0.0616888j -0.0357627+0.00126934j 0.0160101+0.0329243j 0.0356652+0.0225464j 0.00563381-0.0555005j -0.0123274-0.0205803j -0.00624248-0.00175074j 0.0216169-0.0133426j 0.00359798+0.0173907j -0.00342973+0.0461285j 0.00602698-0.0315598j -0.0613285-0.0274907j -0.0281485+0.0190509j 0.03982-0.00934261j 0.0249168-0.0215294j -0.0704131+0.0323004j 0.0160299-0.0167655j 0.0572171+0.0436783j -0.0423701-0.0356737j 0.00540226-0.0356451j -0.0901029+0.0786418j 0.00712761-0.0152671j -0.0601831+0.0366424j -0.0413486-0.0524318j -0.017941+0.0471526j -0.0758366+0.0262627j 0.0125238-0.0538559j -0.0361024+0.0858024j -0.00116679-0.0122039j -0.00613691+0.0314779j 0.0630267+0.0373079j -0.0816543+0.0372729j 0.0244146+0.0454876j -0.0259817+0.0117693j -0.0500052+0.0865099j 0.0173246-0.0910123j 0.00278885+0.00641977j -0.0259776+0.0123293j 0.0151068+0.023399j -0.0331527+0.039049j 0.100993-0.0684587j 0.0324069+0.0709174j 0.0776195-0.0660193j 0.0280237+0.0289753j -0.025896-0.059945j -0.00730204-0.0604348j -0.0139898-0.0800117j 0.00300729+0.000776396j -0.0203932+0.027626j -0.0579298+0.0328652j 0.0718679+0.0454781j -0.106036-0.000572627j -0.00248115-0.0314237j -0.0677471+0.0802535j -0.0335583+0.176527j 0.00847419+0.128255j -0.0175385-0.0297446j -0.0774437-0.0583413j 0.0247314-0.011151j 0.0153367+0.00776261j 0.00756709+0.0506417j -0.0432188-0.0230644j 0.0271729+0.0525833j 0.0521385-0.0796493j 0.0118533-0.155723j -0.129387+0.0826503j 
-0.0346676-0.0744582j -0.00935853+0.0124351j -0.0133982-0.0089825j 0.0678387-0.0228002j 0.0122597+0.0899357j 0.030353+0.030518j -0.0189778+0.0290869j -0.0921886+0.0184682j -0.0193642+0.0431813j -0.00869619+0.0246831j -0.0064486+0.00731336j -0.0453406+0.0135771j 0.020305+0.0288296j -0.0236416+0.067592j 0.0356457-0.0433842j -0.0590503+0.0666139j 0.0238577-0.0629073j 0.141144+0.0947372j -0.0142598-0.0664041j 0.116425+0.00104912j 0.00428451-0.156627j -0.0354907-0.0374858j 0.10721-0.126088j -0.0112493-0.086642j 0.0446663-0.00731184j -0.0683965+0.000290675j 0.00747883+0.0521877j 0.0343662+0.023654j 0.0276674+0.0239021j -0.0773323+0.0401391j 0.0658312+0.0778009j -0.0525609+0.00573688j -0.00270316-0.0186982j 0.0305433-0.0792137j -0.0115312+0.0534336j -0.0411823-0.121333j 0.000794911+0.130882j -0.0316418-0.00686789j -0.136193+0.00938219j 0.14196-0.0341158j -0.0508201-0.0280473j -0.0968506-0.047458j -0.000890983+0.0290039j -0.0621825-0.0729318j -0.0211361+0.0965766j 0.0290774-0.00711611j 0.0552053+0.0542943j -0.00829309-0.00385074j -0.0500197+0.0406038j 0.0126005-0.0374215j 0.0471053-0.00798339j -0.0119443-0.00615229j 0.0240592+0.0716821j -0.0832138-0.0524121j -0.0783321+0.00824668j -0.159549+0.00360667j -0.126171+0.112963j -0.111963+0.128122j -0.0909247+0.150727j -0.0960948-0.00466648j -0.0802339-0.048396j 0.0433304+0.0607243j -0.0874191+0.00775739j 0.0407923+0.00486438j -0.014086+0.0214489j 0.0405527+0.0573361j 0.0826868+0.0336507j 0.00335267+0.0913309j -0.152503+0.130692j -0.0440216+0.115324j 
-0.039417-0.0391597j 0.0139117+0.0858283j -0.0345926+0.0486119j -0.0296416-0.0792371j 0.0627307-0.00259114j 0.00362582-0.0547355j -0.00625654-0.0690414j -0.0186739-0.0119266j -0.0603646+0.0586096j 0.00960724-0.0628321j -0.0492391+0.00257797j 0.0777964+0.0370616j 0.0429578+0.103218j -0.0113382-0.0167733j -0.0336273-0.00311956j 0.0226092-0.0401159j 0.012934+0.0602546j 0.0593886-0.0125582j -0.0346342-0.0812186j -0.0362345+0.00272144j -0.0156116+0.0126359j 0.00760151+0.0207664j 0.071452+0.0776956j -0.0586829-0.0415639j 0.0150296+0.00712802j -0.106007+0.0209465j 0.0321114-0.0543242j 0.0454323+0.0814216j -0.153338+0.000479279j -0.110677-0.0341275j 0.0357907+0.0177553j -0.0346814-0.0284828j -0.051337+0.0679435j -0.0225967-0.0842406j -0.0142848+0.00725746j -0.0159376-0.0753405j -0.0208961+0.107379j -0.0175176+0.0664821j 0.135675+0.0586624j 0.0394886-0.132576j 0.0825547-0.066451j 0.04289-0.0172475j 0.113355+0.0524298j -0.0566813-0.0188197j -0.0857323-0.0100252j -0.125147-0.027051j -0.111989-0.0306382j -0.0249293+0.0434597j 0.182614-0.0381595j -0.0347916+0.0125416j -0.00141335-0.059346j 0.0125355-0.000978469j -0.00874703+0.0729475j 0.0484805-0.145073j -0.0343791-0.0956293j -0.0551428+0.0170963j 0.0777964+0.0555418j -0.0017878+0.0850299j -0.0103241-0.0680634j 0.0936044+0.035324j 0.119427-0.0258641j 0.0077697+0.0375654j 0.0314059-0.073886j 0.0324207-0.0253571j -0.00778482-0.058279j 0.00796226+0.101725j -0.0096966+0.0856626j 0.171653-0.0696132j 0.078095-0.114837j -0.149788+0.121308j 
0.0123832+0.0879605j -0.00614678-0.0100112j -0.0101657-0.0151327j 0.00135915+0.0367971j 0.0476687-0.0802634j -0.0722958+0.0208041j -0.00744878-0.0308856j 0.00744059+0.00460643j 0.0424496-0.0396163j 0.0497906-0.0575143j -0.0156619-0.0639608j 0.0372595-0.0312678j -0.00760262-0.0146255j -0.0273938+0.0342013j 0.03597+0.085897j -0.0059121-0.00729805j 0.0342488-0.0108051j -0.0438118-0.000267089j -0.00321177+0.00691058j 0.0740865-0.0112239j 0.0671315-0.089831j 0.0821231+0.0817168j -0.0933738+0.137028j -0.062482+0.0451167j -0.0263158-0.0385267j 0.0890973+0.0618345j 0.0290589+0.0800905j 0.0489418+0.0806665j -0.0609065-0.0870154j -0.0101735+0.0177739j 0.0392998+0.158872j -0.0588676+0.0449711j -0.00365586-0.0586696j -0.0460278-0.0636171j -0.102653-0.0635724j -0.0818173+0.0103735j 0.081524-0.0348067j -0.0401219+0.0641268j 0.0206521-0.0319805j -0.102019+0.0824812j -0.0537641+0.0278608j -0.0389511-0.0245665j -0.0442076+0.112077j 0.0364037+0.0521269j 0.0212711+0.029882j -0.0109627+0.049268j 0.0423577+0.13962j -0.114365-0.124782j 0.167444+0.0113112j -0.0187078-0.00752025j -0.0305821-0.0593563j 0.0486791-0.0869375j 0.0788462-0.0630892j -0.0802592+0.0386729j 0.0127679+0.121637j -0.00953026-0.0502177j 0.0880287-0.0284393j 0.0974868+0.0530198j -0.0413809+0.069697j 0.0505916+0.0139736j -0.0383111-0.0403029j 0.0647125-0.0412701j 0.0687724-0.0344896j -0.0427067-0.0057056j -0.0183242-0.0688334j 0.0907098-0.0283603j -0.0496264+0.0823769j 0.0531807+0.0363578j 0.0337009-0.0481763j 0.0246406-0.0402357j 
