-0.00483188-0.00578322j 0.0047064-0.0407168j -0.00661174+0.00333322j -0.00863025+0.0325174j 0.00912955-0.00202361j 0.00184294-0.00426945j -0.00445978-0.0280007j 0.00263779+0.00665056j 0.00996535-0.0283611j -0.00589508-0.00227105j -0.00964265-0.00048366j -0.00447056-0.00433014j 0.00347329-0.0140783j -0.00931635+0.0110163j -0.00654447+0.0131186j -0.00135969-0.0155951j -0.0115326+0.0193762j 0.011073-0.00594272j 0.00437642+0.0520844j 0.00541507-0.0108465j -0.00672197-0.00213737j -0.00218862-0.0206109j -0.00917179-0.007861j 0.000619016-0.0233312j -0.00731058-0.0101579j 0.00063745+0.00786947j -0.000255426+0.00553663j -0.00281006-0.0136402j -0.00774176-0.017022j -0.00119462-0.00960592j -0.00328263-0.0167028j -0.0104754+0.00814276j 0.0359271-0.00680259j -0.00289755-0.0107405j 0.015744-0.00509023j -0.0156757+0.00120686j -0.0245686-0.0440304j 0.02262-0.0164281j 0.00894846+0.00241596j -0.0320613+0.044141j -0.0112419+0.0347679j -0.0432254-0.0107272j 0.00528159+0.00425391j 0.0111364+0.0370861j 0.0114831-0.00210515j 0.00710028+0.00449833j -0.0198784+0.0167537j -0.000631373+0.00878065j -0.0192871+0.0332775j -0.00566119-0.0556812j 0.0177903+0.00985632j -0.0245286+0.0131662j 0.0434145-0.02157j -0.0256948-0.0219713j -0.0012313+0.0273378j -0.0280239+0.0874548j -0.0642412-0.0256087j 0.00659591+0.00044691j 0.011353-0.00831813j -0.0207918-0.044989j 0.00952136-0.0450949j 0.0137534+0.0313115j -0.00876825-0.0209849j -0.0154427+0.0094369j -0.0131622-0.0228197j -0.0158828+0.0167699j -0.00773841+0.000851482j 0.0146185+0.0109263j 0.00432956+0.0147167j 0.00348181-0.000316854j -0.0129593-0.000797449j -0.00514458-0.0162041j 0.00132105+0.00746218j -0.00524682-0.0193513j -0.008664+0.0240317j -0.0207859-0.00627507j -0.00134692+0.0018241j -0.00989273+0.00402241j -0.00722533+0.015045j -0.0203759+0.0319124j -0.00670198-0.00132499j -0.00504105-0.00904574j -0.0129773+0.00453575j 0.0224186-0.0176848j -0.00958375+0.052843j 0.0960314-0.010347j 0.0557073+0.0245644j -0.0117784+0.00609268j -0.00140267+0.0321833j 0.0336507+0.0819397j -0.136174+0.0771892j -0.0664303-0.0578347j 0.0165362-0.138707j 0.0232098-0.216354j -0.0244905-0.425166j 
-0.00339268+0.0380697j -0.00520538+0.0059599j -0.00151047-0.0236649j -0.00985339-0.0181661j -0.000245919+0.00594843j 0.00571567+0.0227143j 0.0071339-0.0114223j -0.00876128+0.0148211j 0.0108739+0.00808001j 0.00294552-0.00174384j 0.000934454-0.0132793j -0.000192167-0.00233481j 0.00501277+0.0153633j -0.00493448-0.0128036j 0.000543744-0.0159163j 0.00860449-0.0139461j -0.00971035-0.00717819j 0.000568526+0.0330658j -0.0182076+0.01486j 0.00170366+0.0159801j 0.00196788+0.0134795j 0.00694719-0.00244744j -0.0072957+0.00902169j -0.0117877-0.005447j 0.00800419+0.000814362j -0.00298321+0.012433j -0.000816624-0.00158902j 0.000681771+0.00979157j 0.0048045+0.00637741j -0.000240812-0.00311473j 0.0145313-0.00238124j 0.00526139-0.0230685j -0.0160337+0.0275839j -0.0447502+0.000171734j -0.0173624-0.00705419j -0.00359867+0.0230599j 7.48796e-05+0.0186123j -0.0240975-0.0462865j 0.00328973+0.00904892j 0.00224883+0.0161896j -7.08218e-05+0.0059325j 0.0034773-0.0100303j -0.00754088-0.00323869j 0.0112782-0.0307919j 0.00628105+0.00744386j 0.00124926+0.000323031j -0.00857524+0.00628849j -0.0141239-0.0027613j 0.00581432-0.0187866j 0.00337342+0.00252641j -0.00298352+0.00169504j -0.0134928-0.000254624j 0.0210671+0.00530158j -0.0240761-0.00659538j -0.0149498+0.0266969j 0.0028079+0.0176204j 0.00244113-0.0259631j 0.0495458+0.00121943j -0.0640163+0.0267784j 0.0358276+0.00610257j 0.030494+0.0139194j 0.00727973+0.0226402j -0.00688571+0.0692406j -0.0123435+0.0377342j 0.00245222-0.00264917j -0.0265245-0.0150249j 0.0140106+0.0411237j 0.0137938+0.0141974j -0.0140354+0.0244078j -0.000617245-0.0308013j -0.0268453+0.0527882j 0.000364611-0.034543j 0.0190546+0.00500628j -0.00523979-0.0432113j 0.0114926-0.0185704j -0.00604318-0.0415132j -0.0128486-0.00975032j 0.0304531-0.0191558j -0.00446951+0.0148929j -0.0181062+0.0113758j 0.0213455-0.0107187j 0.0259134+0.0236882j -0.014065-0.00812976j 0.0150398-0.0528428j 0.0116306-0.022929j 0.00463193+0.113236j -0.0509781+0.0506859j 0.00546826+0.0206304j -0.00886543+0.0248031j -0.15251-0.0176799j -0.082965-0.00973441j 0.0629306-0.104108j -0.0287879+0.0938334j -0.0266143-0.447168j -0.0221373+0.207151j 
0.00976036-0.0459171j 0.00573849+0.0115564j 0.019073+0.0205002j -0.0118446-0.0411008j -0.0114815-0.0266894j -0.00223727-0.00408149j -0.00153935+0.0150169j 0.0122998-0.00807967j -0.00621326-0.0180933j -0.00313008-0.00887898j -9.2467e-05+0.00366391j -0.00100125+0.013047j -0.00387543+0.0077693j -0.00887621+0.022929j 0.0178471+0.0125858j 0.0255193+0.0112511j 0.00465778+0.0346032j 0.0129768+0.00385341j -0.01452+0.0180337j -0.0116166+0.0160293j 0.00730659+0.0168497j 0.00118672+0.00416507j 0.006612+0.00321248j -0.0136527+0.0344593j -0.012143+0.0254041j 0.0144231-0.0361879j 0.017737-0.0123253j -0.022262+0.0066813j -0.0197697-0.0276438j -0.0126228+0.00289068j -0.00313495-0.0105162j -0.00241289+0.00753326j -0.00223309-0.0163363j 0.0577237+0.019584j -0.0242311+0.00137048j 0.00718616-0.0233988j 0.000682488+0.0188646j 0.00449456-0.0219202j 0.00110379-0.038231j -0.00078146+0.0169501j -0.00953273-0.0124574j -0.0134023-0.000845213j 4.68305e-06+0.00863765j 0.0026336-0.0189241j -0.0126235-0.00608427j -0.0413699+0.0551811j 0.0157364-0.0116516j -0.0456484-0.00299365j 0.0137888+0.0438409j 0.026294-0.0661849j -0.00748188-0.0479305j 0.0441343-0.0461438j -0.0988165+0.00114764j 0.0475718+0.0224538j -0.0341013-0.0212386j -0.0203664-0.0502093j 0.00456263+0.0101669j 0.217867-0.0165217j -0.160103+0.0308697j 0.0788152-0.0886909j 0.0620905+0.159672j 0.0279385+0.101782j -0.0208563+0.138493j -0.037776+0.0313987j -0.0108985+0.05119j -0.0018721-0.0744269j 0.0381036+0.106868j 0.00915791+0.0133885j -0.036336+0.0318395j -0.0112328-0.0834478j 0.00593828+0.0340517j -0.0278586-0.0676087j 0.00680429-0.0111289j -0.0022423-0.00483438j 0.018088-0.00910006j 0.00527792-0.00404885j -0.0622558-0.0122588j 0.039304-0.0147627j -0.0211977-0.00522308j -0.0690647+0.0210748j 0.147473-0.0127004j -0.0585256+0.0729145j 0.00346392-0.036063j -0.0405602-0.116906j -0.00809022+0.0555914j -0.0540866+0.0411709j -0.0329816+0.251858j -0.00628492+0.0626762j 0.0239027+0.08871j -0.0524577-0.129134j 0.0325061+0.121347j -0.0618854+0.0631626j 0.00843093+0.21852j -0.0116038+0.0332793j -0.00561988-0.122915j 
0.00809453-0.038964j 0.0138845-0.0158685j 0.0181155+0.03021j 0.0466016+0.00227319j 0.000562485-0.0330766j -0.00862825-0.0234544j -0.00931403+0.0179453j 0.0219811-0.00584018j -0.00110355+0.0142164j 0.00530198-0.0252117j 0.00358476-0.0204318j 0.00259333-4.94157e-05j -0.0129554-0.0305657j 0.00209256+0.0225358j -0.0161501+0.0175069j -0.0252197+0.0430379j 0.00863745+0.00192391j -0.0136354+0.00200874j -0.00978247-0.0145078j 0.00510689-0.0358252j 0.00418411-0.0310936j 0.00411136+0.0103595j 0.00998428-0.0089202j 0.0229672+0.0249679j -0.00390657-0.00949093j 0.000450204-0.0170014j -0.00296594-0.00682116j 0.00506621-0.019051j 0.00524742-0.0280523j 0.00504684+0.000822639j -0.0262469+0.00680327j 0.00366548+0.0292267j 0.0151334+0.00557587j 0.072929+0.000725632j 0.0268428+0.0306623j 0.00617603+0.0076075j -0.00178821-0.0117977j -0.00438612+0.0190023j -0.00871116-0.00892981j 0.00771333-0.0752168j 0.0380703-0.116006j -0.0108538+0.0213542j -0.00339386+0.00415304j -0.0102837-0.0151352j -0.115963-0.00273789j -0.0562408+0.00589094j 0.0403236-0.0789415j -0.0256371-0.00987478j -0.00638236+0.0411323j -0.02401-0.00880267j -0.0351272-0.0827463j 0.0357428+0.00203503j -0.0473312-0.0472862j 0.0644049-0.00117926j 0.0212173-0.0351297j 0.0162057-0.00951863j 0.0305033-0.0186352j -0.215869+0.021505j 0.0850081-0.0158666j -0.0522035+0.0622382j -0.0519925-0.0563919j -0.0148524-0.115789j -0.0350164-0.0375921j -0.0178681-0.0660938j 0.0123621+0.0288504j 0.0865804+0.00372475j 0.00190311-0.0538198j -0.0783674-0.0346767j 0.0323621-0.0325472j 0.019757+0.0262322j 0.0464332-0.0739987j -0.00889782+0.0330283j -0.0593938-0.0171779j 0.0286631+0.0820567j -0.00486404+0.0184688j 0.0129555+0.0530912j 0.0197015+0.0139678j -0.0289964+0.0169068j 0.0625422-0.0422378j 0.0885181-0.0512872j -0.101237+0.0711965j -0.165767-0.010539j 0.0771405+0.0118691j -0.0649812+0.0662051j 0.0155763-0.0194826j -0.080128-0.197766j 0.012897-0.0188743j -0.00986132-0.087598j 0.00641383-0.0807667j -0.0149266+0.24833j 0.00631804-0.181293j -0.00742053+0.230091j 0.0527368+0.177213j 0.00148868-0.114275j 0.0159838-0.0536072j 
0.00144949-0.00854539j -0.00172342+0.00534965j 0.0231811-0.000705856j -0.0229401+0.0313696j -0.0164802+0.000142524j 0.00124687+0.0437786j -0.0185435+0.0550162j 0.00175943+0.0459887j -0.00728522-0.0155454j 0.0109721-0.013502j 0.00619267-0.0042311j 0.0042004+0.0354408j 0.0154221+0.00194576j 0.00865418+0.00120259j 0.0112111-0.00551379j 0.0185602+0.00316865j -0.00708585-0.0148522j 0.0106941-0.0380465j -0.0221964-0.00398768j 0.0189003-0.0270037j 0.0176908-0.00610149j 0.00289802-0.00151614j 0.0217185+0.0410562j -0.00439681+0.063038j -0.0139468-0.0242292j 0.0152213+0.00680886j -0.00759413-0.0237708j -0.0034719+0.0227668j -0.00825699+0.0213114j 0.0058552-0.0330225j 0.00510305-0.0395541j 0.00970706+0.00351644j -0.0160196-0.00369976j 0.00774327-0.0161327j 0.0286853+3.75108e-05j -0.0283821+0.0155051j -0.00680041+0.0140869j -0.00618826+0.00322011j 0.0269669-0.053736j 0.0184023+0.0199383j 0.0245982-0.0364789j 0.00293444+0.0236471j 0.0721039+0.0296792j -0.0473164+0.0372296j -0.0838209-0.00568937j 0.074223-0.0509894j -0.0664991-0.0161051j 0.0643455-0.0756061j 0.0452673+0.0161792j 0.014268+0.118448j -0.0538192+0.121685j 0.299275-0.128796j 0.223157+0.00810162j 0.085204+0.0397859j -0.194073-0.183219j 0.00589237+0.30372j -0.0662602-0.0531519j 0.0820359+0.0245112j 0.0290864+0.0464056j -0.0329224-0.047788j -0.034859+0.128137j 0.00108793+0.131948j 0.028762-0.0783946j 0.0834042-0.0163531j -0.00042464+0.0353046j 0.0239844+0.0467002j 0.00154692-0.183647j -0.0574434-0.0704547j -0.04028+0.0157694j -0.010241-0.036726j -0.0404457-0.0197553j 0.00706105-0.00209007j -0.0344382+0.0400459j -0.00921133-0.0327473j 0.051115+0.0170245j 0.0534365+0.0178515j -0.00937909-0.0190427j 0.152624-0.069302j 0.0427126-0.059231j 0.100415-0.0433619j 0.021808-0.0610534j 0.00556897+0.0213563j 0.0281108-0.0447427j -0.0607758-0.0986983j -0.0359545-0.337515j -0.0137247-0.0453886j -0.0221011+0.0237751j 0.0180687-0.00464172j 0.00361909-0.0632464j -0.0162473-0.0292819j -0.00261764+0.0170156j -0.0221362+0.0378182j 0.0108547+0.106911j 0.00104653+0.00313749j 0.00116117-0.0292519j 
0.0105926-0.0418493j 0.0118687+0.054654j -0.0278808-0.0251713j 0.0283073+0.0100475j -0.015048+0.00868481j -0.0014622+0.00740554j -0.00118267+0.0493034j 0.00796862-0.00695901j -0.0262073-0.00963644j -0.000369319+0.00525019j 0.00678153+0.00783137j 0.0106356+0.0191755j 0.00724792+0.0170921j 0.0223975+0.0058097j 0.0106873+0.0145396j -0.00030608+0.0218445j 0.0198153-0.0174823j 0.00848984+0.000660204j -0.0148152-0.00510975j -0.00709682-0.033339j 0.0155156-0.0598431j 0.0120702+0.0469011j -0.0059045+0.0485684j 0.000842784+0.00968798j -0.00311207+0.0163537j 0.00266258-0.00979475j 0.0189652+0.0142225j -0.000747093+0.0100646j 0.00166864-0.0100005j -0.0104238+0.0512681j -0.00827787-0.0341805j -0.00539627-0.000877693j -0.0150836-0.0329149j 0.0713678-0.00300377j -0.0220086+0.00446496j -0.00415479-0.0400141j -0.00279023+0.0831351j -0.0563607-0.00711719j -0.0242775+0.0270744j 0.023065-0.0640713j 0.0687529-0.0417913j 0.175173+0.0118405j -0.00386791+0.0212267j -0.0527797+0.122179j -0.0894377+0.0205293j -0.0193988-0.0425994j 0.042822-0.112832j 0.091062-0.0533647j 0.117026-0.10868j 0.141644+0.16774j -0.0377227-0.0393672j -0.10114+0.109234j -0.152801+0.037386j -0.0212926-0.017632j 0.101474+0.147193j 0.0518448-0.139484j 0.150381+0.0336032j 0.0267906-0.027995j -0.132919-0.030363j 0.104491+0.0265934j 0.0530463+0.00388509j -0.00293716-0.0184256j -0.038429+0.146568j -0.0677016-0.00716875j 0.0284399-0.00908564j 0.000228214-0.0472625j 0.0653389+0.134027j 0.00222823+0.0182476j 0.025681+0.00220843j -0.0250681+0.0108804j 0.00285392+0.0460469j 0.0157431+0.00286572j 0.0139123+0.0213873j -0.00726995-0.0184996j -0.00319557-0.0171887j 0.0601888-0.0097545j -0.0606528+0.0334296j 0.0223268-0.00353785j 0.0803872-0.0135709j 0.0048247-0.0420875j 0.0491282+0.0158574j -0.0301738+0.0458629j 0.0338234+0.147956j -0.0434108+0.00798833j 0.0215673-0.0611598j -0.150938+0.0577806j -0.0801894+0.00774505j 0.00964272+0.00192455j 0.0186269-0.0215156j -0.112275-0.0378673j 0.0974418+0.0105126j 0.00179125+0.0892701j 0.0139534+0.261909j -0.0560869+0.0155449j 0.0177142+0.0866326j 
0.0176847-0.0131725j 0.00929246+0.0266674j 0.0369905-0.0217141j 0.032166+0.00236603j -0.0110627-0.0694921j -0.00711632-0.0666788j -0.0215503-0.0219512j 0.00830013-0.0409661j 0.0138071+0.0352723j 0.0162678-0.00390375j 0.0100753-0.0350131j 0.00973513-0.0287959j 0.00916659-0.0413075j 0.00952387+0.0360531j 0.00910956-0.0114028j 0.0174866-0.0438547j -0.0289944+0.0491401j 0.00585291+0.0512507j -0.00100663+0.00399431j -0.0120549+0.0335225j -0.000322653-0.0330778j -0.0227594+0.0577921j 0.0086441+0.00470648j -0.000847422+0.049555j -0.00138973+0.0349583j 0.00497393-0.0715645j 0.00473995-0.0217549j -0.0134656+0.0166247j -0.0175144+0.0103179j 0.000376669-0.0209036j -0.003333+0.0290567j -0.00517918+0.00896998j -0.0174917-0.0338093j 0.056583+0.0387484j -0.0438172-0.00810904j 0.0313565-0.0350178j -0.0225669-0.0104766j 0.0199877-0.0555006j -0.00711501+0.0557675j -0.0294545+0.0168216j -0.00559358+0.0324171j 0.0826223-0.0664655j -0.131452-0.0165372j 0.0448053-0.204322j -0.0725276+0.0715004j -0.153469+0.0983498j 0.201938-0.131274j -0.2487-0.0704345j -0.02129-0.0747775j -0.0384772+0.0439534j -0.21585-0.222046j -0.00847445+0.0346449j 0.220143-0.148105j -0.0771289-0.0695458j -0.0352088+0.0495554j -0.0296205+0.240872j -0.174033-0.204771j 0.00710035+0.00818872j -0.0794147+0.0435113j 0.0152656+0.0524617j 0.0154614-0.0293241j 0.0206008-0.00432124j 0.00657571-0.0601197j -0.0199907+0.0450445j -0.0106749+0.0393239j 0.0144403-0.0285363j -0.00850785-0.0558904j 0.00693751+0.0280373j -0.0598165+0.0265487j 0.0265195-0.0968651j 0.037551-0.0704618j -0.0763779-0.0731106j -0.0203643-0.0157356j 0.022888+0.0302464j 0.0140976+0.064417j -0.0190462+0.0394386j 0.0224707-0.00757704j -0.0911945+0.0140004j -0.0238858-0.0260406j -0.0703972+0.0406972j 0.140189+0.0175461j -0.0351131-0.0222757j -0.0373805-0.00746279j 0.0181168+0.140079j -0.00317096+0.156475j -0.00654428-0.01963j -0.00802905+0.182631j 0.019168+0.0115711j -0.000501724+0.0109874j -0.092583-0.0687149j -0.0208631+0.0279803j 0.0204284-0.0376868j -0.0268326+0.0211675j -0.0186455-0.0681172j -0.0276268+0.0634711j 
0.00688658+0.0651757j -0.0169709+0.025391j -0.0212695-0.000777933j 0.0539877-0.0226257j 0.0149344-0.0168856j -0.011672+0.0775491j 0.0150432+0.0163819j -0.0417326+0.0257807j 0.0143404-0.00790711j 0.0210662-0.0105064j 0.00866084-0.0206051j -0.0120024+0.0155644j 0.0148701-0.043185j 0.0283098+0.0283933j 0.00283141+0.0158466j 0.00125867-0.0198122j -0.0407921-0.0113948j 0.0179318-0.025513j 0.0197539+0.0203804j 0.015714+0.056668j -0.00723247-0.00397218j 0.00467142+0.0609102j -0.0279878+0.0544452j -0.00984924+0.00803158j -0.00502774+0.0170906j -0.00504584+0.0241095j -0.0129118+0.00698089j 0.00710873+0.0200272j 0.00899381+0.0564539j -0.00278192+0.0410675j 0.0258775+0.00355313j -0.00680645-0.00152093j -0.0463293+0.00483776j -0.0676154-0.00736777j -0.0279324-0.00469542j 0.0331126-0.0139662j 0.0081872-0.00108884j -0.0248142-0.0595233j -0.00760579+0.0118618j -0.0253572-0.031976j 0.0304116-0.0844223j 0.0404533+0.00628513j 0.0522639+0.0416766j -0.0543958+0.162505j -0.180356+0.0143686j 0.0232798-0.118316j -0.0135958-0.0902114j 0.149589+0.0125454j 0.12634-0.0484203j 0.170787+0.0786715j -0.0441542+0.00265283j -0.234619+0.189935j 0.238101-0.028101j -0.21192-0.0758336j 0.106089+0.264179j -0.0195388+0.180634j -0.141378-0.117814j -0.0959145+0.00367649j 0.0283989-0.0479596j -0.0316083+0.0115069j -0.0077788-0.13886j -0.00971909-0.00330926j 0.0173547-0.0341484j -0.00178988+0.00150035j 0.00732132-0.0970574j -0.0857252+0.0730591j -0.0204288-0.0205765j 0.0433447+0.033492j 0.034222+0.020099j 0.00124539+0.0522938j -0.0910947+0.0251968j 0.0537648+0.0016931j 0.0522881-0.00804682j -0.00914888-0.0616263j -0.0169828-0.0242392j 0.033366-0.123603j -0.00663839+0.0263332j 0.0341128+0.0317931j 0.101016+0.0638041j 0.016617-0.0261819j 0.00211622-0.0123013j 0.0903947+0.0646223j -0.0169448+0.118784j 0.0382733+0.0175471j -0.0132527-0.14032j 0.0442725+0.0359041j 0.0140933-0.056429j -0.00208162+0.0189654j -0.00516966+0.0046486j 0.0109036-0.0169892j -0.106934+0.0622035j -0.0254232-0.0502335j -0.00557205-0.00943527j 0.0201888-0.0547555j -0.0346156-0.119734j 
0.00275621-0.0125288j -0.00258618+0.0261219j 0.000639696+0.0173117j -0.0307871-0.000151374j 0.0037344+0.0317197j -0.00148716-0.0181886j 0.0102813-0.028556j 0.0169891-0.0636127j -0.0269781+0.027728j 0.0149036+0.0144522j -0.0206275+0.0218573j -0.038728-0.0118394j 0.0378612+0.0704322j 0.0499812-0.0367944j -0.0122966+0.00180594j -0.0209818+0.0221123j 0.00123674+0.00897439j -0.0338855+0.00350172j -0.00472171-0.00143852j -0.0055995-0.0362356j -0.00247341+0.0158629j 0.00514092-0.0798293j 0.0155181-0.0284867j 0.0195352-0.00880468j -0.00807747+0.00389565j 0.00237792-0.0169089j 0.00297495+0.00494184j 0.00168432-0.00990581j 0.00173264-0.012289j 0.007702-0.021298j -0.0141863+0.0263271j -0.00874844-0.0543236j -0.0396739+0.0154039j -0.00674889+0.00211624j 0.00280646+0.0360666j 0.0214554+0.0602849j 0.0229045+0.0161194j -0.0115217+0.074679j 0.00440857+0.0146907j 0.0255075+0.149997j -0.0804155+0.264448j -0.0713369-0.0318343j -0.0807244-0.0027918j 0.0691634+0.0488439j 0.321916+0.026694j 0.151008+0.0998158j 0.254425-0.0186554j 0.0814169-0.116582j 0.240444-0.243825j 0.183599+0.297299j -0.161474+0.00280628j 0.0769801-0.0190188j 0.103325+0.0394632j -0.00202538+0.0312603j -0.00142023-0.032577j 0.0732717-0.0244854j 0.109517+0.0277163j -0.150099-0.0231417j 0.0420977+0.00122795j 0.00115893+0.100113j -0.00749656-0.0956059j -0.0291054+0.0122514j 0.0508828-0.0944043j 0.0105758+0.0569737j -0.0506812+0.00152411j -0.0110725-0.0221095j -0.0588762-0.051724j 0.00479649+0.0214048j -0.0255368-0.0161551j 0.0109116-0.00147817j 0.0208003-0.0131745j -0.0086123+0.0367863j -0.124746+0.0927744j -0.0525632-0.0438595j 0.0544621+0.0653081j 0.0581895+0.139372j -0.0108787-0.0182283j -0.0518514-0.0562389j 0.00509234-0.0883334j 0.0152546+0.0222409j -0.0390873-0.0119367j 0.0777837-0.0809917j -0.00348307+0.0450903j 0.0274093+0.061531j -0.0045605+0.0142605j -0.039202+0.0580003j -0.0314548-0.0689262j 0.0241234-0.0195799j -0.0136182-0.0666811j 0.0165724-0.00663827j 0.0266638+0.0289512j 0.00250324-0.0203587j 0.00884245+0.0156227j -0.00719709+0.0279345j 0.0160156-0.0155809j 
-0.0104126-0.0466475j 0.0219498-0.0806846j 0.0108022-0.00320673j 0.0230721+0.00973573j 0.0193106-0.038175j 0.00202262-0.0471111j 0.00905645+0.00810516j 0.0285797+0.0441116j 0.0164618-0.0250501j 0.00483086-0.0326414j -0.0309186-0.0222772j -0.0602288-0.00253935j 0.00715792-0.0712818j -0.00815123+0.0286164j 0.029207+0.00562222j 0.019647-0.0313937j 0.00644565+0.0118156j 0.0232058+0.0203266j 0.00187413-0.0210941j 0.00554422+0.0136275j -0.00293744+0.024452j -0.000620661-0.0237827j 0.0082596-0.085789j 0.00548209+0.0673012j 0.00540479+0.00705194j -0.00828036+0.0469677j 0.0098898-0.0314839j 0.00260773+0.0103337j 0.0009898-0.0609866j -0.00341039+0.0346127j -0.0303817-0.0386615j -0.0211022-0.0199649j 0.0782469-0.0159417j 0.0403313+0.0207749j 0.0339816+0.00864244j -0.0519068+0.0543889j -0.0278087-0.0965708j 0.047858+0.0417402j 0.00352125+0.00904602j -0.0286878+0.267527j -0.00936935-0.12531j -0.369561+0.0736533j -0.0968163+0.050873j 0.0376288+0.291459j -0.187772-0.0695326j -0.0257333+0.100369j 0.0367825-0.137135j 0.0978331-0.081985j 0.207231+0.0150464j 0.223345+0.0633829j -0.0418794-0.0727926j -0.0348951+0.0296035j -0.124562-0.000800817j 0.0413859+0.00241668j 0.0334359+0.0923609j -0.0739307-0.060013j -0.0625864+0.0375504j 0.231436-0.0144157j -0.0223677+0.0351186j -0.031261-0.0907935j 0.00867303+0.123979j 0.0180891+0.201261j -0.011971+0.104161j 0.0202135+0.0105958j -0.0439565-0.00751754j -0.0117309-0.00326803j 0.000428927+0.0498231j -0.0506743-0.0056613j 0.0389096+0.0456626j 0.0428629-0.0224529j 0.0539197-0.0451421j -0.0428214-0.0270583j -0.0681951+0.0624168j -0.0167311+0.027126j 0.0122482+0.058515j 0.028406+0.077664j 0.0225764+0.0120133j -0.0463529-0.0121644j -0.00287881-0.0434081j 0.0258398-0.00088763j 0.0052685-0.000678782j -0.0520603-0.0578717j -0.00471868-0.00886191j 0.0121393+0.048265j -0.0259292+0.00283168j 0.0789209-0.085442j 0.0570221+0.0576109j -0.022045-0.00252896j 0.00198461+0.0390359j 0.030519+0.035861j -0.032823-0.0465938j -0.00382452-0.00163459j -0.00997794-0.102743j 0.0239261-0.0271882j -0.0104293+0.00584497j 
-0.00920964+0.0843708j -0.0267774-0.0356551j 0.0673061-0.0164103j -0.0414715-0.00485206j -0.0211301+0.0329496j 0.00104386+0.0346461j -0.0147457+0.0129755j 0.00871536+0.0514058j 0.0389328+0.0172765j 0.0361886-0.0382174j 0.0129945-0.0208476j -0.00896281+0.0153413j -0.00520632-0.0465877j 0.00879777+0.047929j -0.0187403+0.0155997j -0.0200288+0.00924099j -0.0143693+0.00276241j -0.00209059+0.0268335j 0.00878741-0.0431483j 0.0117163-0.0269917j 0.00513888+0.0704475j -0.0126987-0.000298092j -0.0266182+0.0108382j -0.031482-0.0747158j 0.0329902-0.0806444j -0.00188622-0.0795472j -0.0108679-0.00666738j 0.00401837+0.0483828j -0.0114137+0.0606403j -0.00962172+0.0185922j 0.0332475-0.0509738j 0.00546929-0.0446099j 0.0135295+0.00984623j -0.142141-0.025484j -0.0140121+0.00806769j -0.0176226+0.0224494j 0.0254148-0.0595834j -0.0381743-0.0241368j 0.0448692-0.428002j 0.0330241-0.0444743j -0.0414301+0.0286535j -0.0927525-0.0238761j 0.38928+0.0615627j -0.0218768+0.0201115j -0.0568925+0.0513233j -0.131557+0.0902646j 0.252422-0.133762j -0.179269-0.0266226j 0.0613184-0.0294492j 0.0624065+0.0152114j -0.109758-0.227976j 0.0294565-0.0377616j -0.121096-0.0881544j 0.112521-0.0127739j -0.0251037-0.0583612j -0.0304796-0.0974611j -0.050992-0.0494424j -0.0807975-0.0177231j -0.051717+0.0365261j 0.0101725+0.12086j 0.00913461-0.0376538j 0.00737445+0.0538569j 0.000319273+0.0235621j 0.0580775-0.046001j -0.027986+0.0296042j -0.044053+0.023026j 0.0194382-0.092362j -0.0731325-0.0654485j -0.00958913+0.0154056j -0.0127694+0.00288485j -0.0610931-0.0165513j 0.0132521+0.00159463j 0.0492877-0.0356552j 0.0188849+0.0291885j -0.0324499-0.0206755j -0.0114383-0.0482884j -0.072282+0.0448269j 0.0880862-0.0173542j -0.0222753+0.0495165j -0.078132-0.0257958j -0.0632711+0.0180592j 0.018299+0.0810122j 0.0263176+0.0203381j -0.0135064-0.195517j 0.0351786+0.0146436j 0.0101166+0.073517j -0.0106694-0.0925549j -0.00463553+0.00687508j 0.00332504+0.0146036j 0.0218107+0.00539229j 0.0112497-0.00275556j -0.00810357+0.00517465j 0.00288791-0.00670789j -0.0011579+0.0269146j 0.00636951+0.00183518j 
