0.138485-0j 0.0304808-0j 0.146557-0j 0.0868113-0j 0.00184686-0j -0.00998339-0j -1.74743e-05-0j -0.0615209-0j 0.122814-0j -0.000186511-0j 0.00218871-0j -0.000110517-0j 0.0101157-0j -0.0546813-0j -0.000165776-0j -0.000791301-0j 0.00928592-0j -0.000741373-0j 
-0.51661-0j -0.00994556-0j 0.0868113-0j -0.00814041-0j 0.000328116-0j -0.000153194-0j -1.31026e-07-0j -0.0166817-0j 0.00411683-0j -2.47124e-05-0j 2.20054e-05-0j -8.28682e-07-0j 0.00179717-0j -0.00083908-0j -1.24302e-06-0j -0.000104846-0j 9.33611e-05-0j -5.55897e-06-0j 
-0.500907-0j -0.39644-0j -0.0182341-0j 0.0680212-0j -3.33905e-05-0j 0.000370246-0j 1.87861e-07-0j 0.00228157-0j -0.0152801-0j 2.00512e-06-0j -3.95711e-05-0j 1.18814e-06-0j -0.000182888-0j 0.00202792-0j 1.7822e-06-0j 8.50702e-06-0j -0.000167886-0j 7.97026e-06-0j 
0.517335-0j -0.3631-0j 0.0188321-0j 0.0623007-0j 3.44856e-05-0j 0.000339109-0j 1.72062e-07-0j -0.0023564-0j -0.013995-0j -2.07088e-06-0j -3.62433e-05-0j 1.08822e-06-0j 0.000188885-0j 0.00185738-0j 1.63232e-06-0j -8.78601e-06-0j -0.000153767-0j 7.29997e-06-0j 
-0.000358639-0j -4.66631e-05-0j 0.0767346-0j 0.0136328-0j 0.23564-0j 0.0914416-0j -0.0105661-0j -0.00942946-0j -0.00218871-0j -0.0367582-0j 0.137292-0j 0.000741373-0j -0.0215978-0j -0.00838114-0j -0.0326716-0j 0.00530821-0j -0.0198262-0j 0.00497328-0j 
0.00397671-0j 3.67671e-05-0j -0.414797-0j -0.00636502-0j 0.0914416-0j -0.0131654-0j -0.000112044-0j 0.0239899-0j 0.000669545-0j -0.00688778-0j 0.003015-0j 7.86156e-06-0j -0.00838114-0j 0.00120668-0j -0.000346452-0j 0.000994656-0j -0.000435392-0j 5.2737e-05-0j 
0.0182341-0j 0.00401335-0j -0.566933-0j -0.335815-0j -0.0145317-0j 0.0785526-0j 0.000207391-0j -0.00810035-0j 0.0161707-0j 0.000721488-0j -0.00846667-0j -1.45516e-05-0j 0.00133191-0j -0.00719979-0j 0.000641277-0j -0.000104189-0j 0.00122266-0j -9.76153e-05-0j 
-0.0188321-0j 0.00367583-0j 0.585526-0j -0.307574-0j 0.0150083-0j 0.0719465-0j 0.00018995-0j 0.008366-0j 0.0148108-0j -0.00074515-0j -0.00775464-0j -1.33279e-05-0j -0.00137559-0j -0.0065943-0j 0.000587347-0j 0.000107606-0j 0.00111984-0j -8.94061e-05-0j 
-2.47124e-06-0j -1.51296e-08-0j 0.00180868-0j 1.35619e-05-0j -0.247694-0j -0.00262656-0j -0.0182332-0j -0.000165776-0j -1.43532e-06-0j 0.038368-0j 0.000575382-0j -2.15298e-05-0j -0.000786345-0j -8.33845e-06-0j 0.00192989-0j -0.00272398-0j -4.08499e-05-0j -0.000144426-0j 
-3.33905e-05-0j -4.3445e-06-0j 0.0145317-0j 0.00258173-0j -0.633399-0j -0.245794-0j 0.0584557-0j -0.000877916-0j -0.000203777-0j -0.00696113-0j 0.0259998-0j 6.90245e-05-0j -0.00201083-0j -0.000780314-0j -0.00618722-0j 0.000494213-0j -0.00184589-0j 0.00046303-0j 
3.44856e-05-0j -3.97914e-06-0j -0.0150083-0j 0.00236461-0j 0.654172-0j -0.225123-0j 0.0535397-0j 0.000906708-0j -0.00018664-0j 0.00718942-0j 0.0238133-0j 6.32196e-05-0j 0.00207677-0j -0.000714691-0j -0.00566689-0j -0.000510421-0j -0.00169065-0j 0.00042409-0j 
-1.52286e-05-0j -1.6475e-06-0j -0.000186511-0j -2.47124e-05-0j -0.000884702-0j -0.000165776-0j -0.000370687-0j 0.0458236-0j 0.00701082-0j 0.177474-0j 0.04703-0j 0.212669-0j -0.00484571-0j -0.000907993-0j -0.00351664-0j -0.016786-0j -0.00444824-0j -0.0157269-0j 
0.000300536-0j 2.21289e-06-0j 0.00218871-0j 2.20054e-05-0j 0.00330436-0j 7.25654e-05-0j -5.55897e-06-0j -0.354446-0j -0.00465585-0j 0.04703-0j -0.00994061-0j 0.00318927-0j 0.0180987-0j 0.000397457-0j -5.2737e-05-0j -0.00444824-0j 0.000940213-0j -0.000235847-0j 
0.00228157-0j 0.000372754-0j 0.00810035-0j 0.00219645-0j -0.000877916-0j 0.00223355-0j 1.26021e-05-0j -0.617394-0j -0.304486-0j -0.00603352-0j 0.0466693-0j -0.00723003-0j -0.00480854-0j 0.0122336-0j 0.000119554-0j 0.000570668-0j -0.00441412-0j 0.000534661-0j 
-0.0023564-0j 0.000341406-0j -0.008366-0j 0.00201173-0j 0.000906708-0j 0.00204571-0j 1.15423e-05-0j 0.637642-0j -0.278879-0j 0.00623139-0j 0.0427445-0j -0.00662199-0j 0.00496624-0j 0.0112048-0j 0.0001095-0j -0.000589384-0j -0.0040429-0j 0.000489697-0j 
-2.00512e-06-0j -2.16923e-07-0j 0.000721488-0j 9.55959e-05-0j 0.00696113-0j 0.00130438-0j 0.00439943-0j 0.00603352-0j 0.000923103-0j -0.686529-0j -0.181928-0j 0.0280018-0j -0.000638026-0j -0.000119554-0j 0.0136035-0j -0.00221019-0j -0.000585692-0j -0.00207073-0j 
2.07088e-06-0j -1.9868e-07-0j -0.00074515-0j 8.75565e-05-0j -0.00718942-0j 0.00119468-0j 0.00402945-0j -0.00623139-0j 0.000845471-0j 0.709044-0j -0.166628-0j 0.0256469-0j 0.000658951-0j -0.0001095-0j 0.0124595-0j 0.00228267-0j -0.000536436-0j -0.00189659-0j 
1.35356e-05-0j 8.28682e-08-0j 0.000165776-0j 1.24302e-06-0j 0.000786345-0j 8.33845e-06-0j 1.86453e-05-0j 0.000907993-0j 7.86156e-06-0j 0.00351664-0j 5.2737e-05-0j 0.000117923-0j -0.260689-0j -0.00276437-0j -0.0107063-0j 0.0149198-0j 0.000223744-0j 0.000791055-0j 
0.000182888-0j 2.37958e-05-0j 0.00133191-0j 0.00023663-0j 0.00201083-0j 0.000780314-0j -5.97769e-05-0j 0.00480854-0j 0.00111613-0j -0.000638026-0j 0.00238303-0j -0.000378063-0j -0.66663-0j -0.25869-0j 0.0343245-0j -0.00270692-0j 0.0101103-0j -0.00253612-0j 
-0.000188885-0j 2.17946e-05-0j -0.00137559-0j 0.00021673-0j -0.00207677-0j 0.000714691-0j -5.47498e-05-0j -0.00496624-0j 0.00102227-0j 0.000658951-0j 0.00218262-0j -0.000346268-0j 0.688493-0j -0.236935-0j 0.0314379-0j 0.00279569-0j 0.00926008-0j -0.00232284-0j 
8.50702e-06-0j 9.20326e-07-0j 0.000104189-0j 1.38049e-05-0j 0.000494213-0j 9.2606e-05-0j 0.000207073-0j 0.000570668-0j 8.73098e-05-0j 0.00221019-0j 0.000585692-0j 0.00130965-0j 0.00270692-0j 0.000507224-0j 0.00196447-0j -0.716346-0j -0.189829-0j 0.00878538-0j 
-8.78601e-06-0j 8.42928e-07-0j -0.000107606-0j 1.26439e-05-0j -0.000510421-0j 8.4818e-05-0j 0.000189659-0j -0.000589384-0j 7.99672e-05-0j -0.00228267-0j 0.000536436-0j 0.00119951-0j -0.00279569-0j 0.000464568-0j 0.00179926-0j 0.739838-0j -0.173865-0j 0.00804655-0j 
