0.634465-0j 0.569295-0j 0.030081-0j -0.09911-0j 7.86335e-05-0j -0.000709467-0j 2.64198e-08-0j -6.27075e-07-0j -0.00437196-0j 0.0252077-0j -6.69305e-06-0j 9.31886e-05-0j 3.83469e-08-0j 1.67094e-07-0j -3.96597e-06-0j 0.000430693-0j -0.00388591-0j 2.5064e-07-0j -5.94895e-06-0j 2.10035e-07-0j -2.83962e-05-0j 0.000395366-0j 2.30082e-07-0j 1.1209e-06-0j -2.66045e-05-0j 1.06507e-06-0j 
0.569295-0j -0.034832-0j 0.00719329-0j -0.00208679-0j 1.10758e-05-0j -7.10926e-06-0j 2.64619e-09-0j -4.15333e-09-0j -0.000774143-0j 0.000341126-0j -7.83347e-07-0j 7.42807e-07-0j 2.17355e-10-0j 1.6736e-08-0j -2.6268e-08-0j 6.06644e-05-0j -3.8939e-05-0j 2.5104e-08-0j -3.94019e-08-0j 1.1905e-09-0j -3.32346e-06-0j 3.15146e-06-0j 1.30413e-09-0j 1.12268e-07-0j -1.76211e-07-0j 6.03694e-09-0j 
-0.030081-0j -0.00719329-0j 0.723356-0j 0.499605-0j 0.027689-0j -0.120749-0j 3.57215e-05-0j -0.000562078-0j 0.0124517-0j -0.0206324-0j -0.0019554-0j 0.0161326-0j 3.43735e-05-0j -2.5064e-06-0j 3.94383e-05-0j -0.00253785-0j 0.0110673-0j 0.000110455-0j -0.00173801-0j -3.15052e-06-0j 0.000282377-0j -0.00232969-0j 0.000101395-0j -1.68135e-05-0j 0.00026456-0j -1.59761e-05-0j 
0.09911-0j 0.00208679-0j 0.499605-0j -0.0400403-0j 0.00553136-0j -0.00209638-0j 4.23335e-06-0j -4.72791e-06-0j 0.00382001-0j -0.000806439-0j -0.000290644-0j 0.000182379-0j 2.30529e-07-0j -2.97034e-07-0j 3.31734e-07-0j -0.00050698-0j 0.000192145-0j 1.309e-05-0j -1.46192e-05-0j -2.11293e-08-0j 4.19715e-05-0j -2.63371e-05-0j 6.80014e-07-0j -1.99256e-06-0j 2.22534e-06-0j -1.07145e-07-0j 
7.86335e-05-0j 1.10758e-05-0j -0.027689-0j -0.00553136-0j 0.812912-0j 0.400911-0j 0.0142391-0j -0.110139-0j 0.00143195-0j 0.000388281-0j 0.0131158-0j -0.0333685-0j 0.0066572-0j 1.68135e-05-0j -0.000130052-0j 0.00258072-0j 0.00127276-0j -0.00150713-0j 0.0116576-0j 2.11343e-05-0j -0.000931171-0j 0.00236903-0j -0.00138351-0j 0.000112788-0j -0.000872417-0j 0.000107171-0j 
-0.000709467-0j -7.10926e-06-0j 0.120749-0j 0.00209638-0j 0.400911-0j -0.0452919-0j 0.00217851-0j -0.00144674-0j -0.0028586-0j -9.5823e-05-0j 0.00304436-0j -0.000931296-0j 5.76392e-05-0j 2.57239e-06-0j -1.70831e-06-0j 0.00127276-0j -0.000143786-0j -0.000230584-0j 0.00015313-0j 1.82985e-07-0j -0.000216138-0j 6.61184e-05-0j -1.19786e-05-0j 1.72561e-05-0j -1.14597e-05-0j 9.27903e-07-0j 
-2.64198e-08-0j -2.64619e-09-0j 3.57215e-05-0j 4.23335e-06-0j -0.0142391-0j -0.00217851-0j 0.902868-0j 0.239257-0j -2.5064e-06-0j -3.32094e-07-0j 0.00151553-0j 0.000283982-0j -0.0462133-0j -3.75961e-05-0j -9.96282e-06-0j -1.45609e-05-0j -2.22776e-06-0j 0.00508326-0j 0.00134705-0j -4.72578e-05-0j -7.13335e-05-0j -1.33665e-05-0j 0.0046663-0j -0.000252202-0j -6.68327e-05-0j -0.000239641-0j 
6.27075e-07-0j 4.15333e-09-0j -0.000562078-0j -4.72791e-06-0j 0.110139-0j 0.00144674-0j 0.239257-0j -0.0505711-0j 2.94127e-05-0j 2.95716e-07-0j -0.00566053-0j -0.000124308-0j -0.000693033-0j -9.96282e-06-0j 2.10582e-06-0j 0.000112629-0j 1.47944e-06-0j 0.00134705-0j -0.000284722-0j -7.08697e-07-0j 0.000266431-0j 5.85095e-06-0j 6.99777e-05-0j -6.68327e-05-0j 1.41262e-05-0j -3.59375e-06-0j 
-0.00437196-0j -0.000774143-0j -0.0124517-0j -0.00382001-0j 0.00143195-0j -0.0028586-0j 2.5064e-06-0j -2.94127e-05-0j 0.790172-0j 0.468048-0j 0.0140819-0j -0.0761214-0j -0.000163183-0j -0.00143797-0j 0.0168745-0j 0.00784313-0j -0.0156572-0j 2.37778e-05-0j -0.000279033-0j -0.00089379-0j -0.00133191-0j 0.00719979-0j 2.18275e-05-0j 0.000106338-0j -0.00124787-0j 0.000101041-0j 
0.0252077-0j 0.000341126-0j 0.0206324-0j 0.000806439-0j 0.000388281-0j -9.5823e-05-0j 3.32094e-07-0j -2.95716e-07-0j 0.468048-0j -0.0438894-0j 0.00250182-0j -0.00116808-0j -1.22358e-06-0j -0.000190528-0j 0.000169657-0j 0.0021267-0j -0.000524844-0j 3.15052e-06-0j -2.80541e-06-0j -6.70182e-06-0j -0.00023663-0j 0.00011048-0j 1.63667e-07-0j 1.40896e-05-0j -1.25462e-05-0j 7.57629e-07-0j 
6.69305e-06-0j 7.83347e-07-0j -0.0019554-0j -0.000290644-0j -0.0131158-0j -0.00304436-0j 0.00151553-0j -0.00566053-0j -0.0140819-0j -0.00250182-0j 0.883322-0j 0.342779-0j -0.0654158-0j 0.00964617-0j -0.0360285-0j 0.00120214-0j 0.000279033-0j 0.0046862-0j -0.017503-0j 0.00599573-0j 0.00284374-0j 0.00110353-0j 0.00430182-0j -0.000713335-0j 0.00266431-0j -0.000677807-0j 
-9.31886e-05-0j -7.42807e-07-0j 0.0161326-0j 0.000182379-0j 0.0333685-0j 0.000931296-0j 0.000283982-0j -0.000124308-0j 0.0761214-0j 0.00116808-0j 0.342779-0j -0.0493518-0j -0.000693673-0j 0.00180751-0j -0.000791202-0j -0.00305841-0j -8.53585e-05-0j 0.000878104-0j -0.000384374-0j 6.3579e-05-0j 0.00110353-0j -0.000158882-0j 4.56167e-05-0j -0.000133665-0j 5.85095e-05-0j -7.1875e-06-0j 
3.83469e-08-0j 2.17355e-10-0j -3.43735e-05-0j -2.30529e-07-0j 0.0066572-0j 5.76392e-05-0j 0.0462133-0j 0.000693033-0j -0.000163183-0j -1.22358e-06-0j 0.0654158-0j 0.000693673-0j -0.0548463-0j -0.00495006-0j -7.42331e-05-0j 2.11343e-05-0j 1.82985e-07-0j -0.00489143-0j -7.33538e-05-0j -0.000174118-0j 0.000103537-0j 1.09791e-06-0j -0.000254105-0j 0.000366058-0j 5.48955e-06-0j 1.96838e-05-0j 
1.67094e-07-0j 1.6736e-08-0j 2.5064e-06-0j 2.97034e-07-0j 1.68135e-05-0j 2.57239e-06-0j 3.75961e-05-0j 9.96282e-06-0j -0.00143797-0j -0.000190528-0j -0.00964617-0j -0.00180751-0j -0.00495006-0j 0.956623-0j 0.253502-0j 9.20912e-05-0j 1.40896e-05-0j 0.000356668-0j 9.45156e-05-0j -0.0271126-0j 0.000451153-0j 8.45374e-05-0j 0.000327412-0j 0.00159507-0j 0.000422687-0j 0.00151562-0j 
-3.96597e-06-0j -2.6268e-08-0j -3.94383e-05-0j -3.31734e-07-0j -0.000130052-0j -1.70831e-06-0j 9.96282e-06-0j -2.10582e-06-0j 0.0168745-0j 0.000169657-0j 0.0360285-0j 0.000791202-0j -7.42331e-05-0j 0.253502-0j -0.053582-0j -0.000712326-0j -9.35681e-06-0j 9.45156e-05-0j -1.99775e-05-0j -0.000406591-0j -0.00168506-0j -3.70047e-05-0j 4.91e-06-0j 0.000422687-0j -8.93422e-05-0j 2.27289e-05-0j 
-0.000430693-0j -6.06644e-05-0j -0.00253785-0j -0.00050698-0j -0.00258072-0j -0.00127276-0j -1.45609e-05-0j 0.000112629-0j -0.00784313-0j -0.0021267-0j 0.00120214-0j -0.00305841-0j -2.11343e-05-0j -9.20912e-05-0j 0.000712326-0j 0.855561-0j 0.421944-0j 0.00836102-0j -0.0646725-0j 0.00700647-0j 0.00510023-0j -0.0129757-0j -0.000126806-0j -0.000617766-0j 0.00477843-0j -0.000586998-0j 
