-0.010091+0.0120974j 0.000512465+0.01296j -0.00163054+0.00978483j -0.00184973+0.00862153j 0.00294999-0.00146217j 0.00818712-0.0130621j -0.00256765-0.00356659j -0.00419073+0.0232681j 0.00292059-0.00562157j 0.00773332-0.00287805j -0.00819432+0.00549703j -0.0025272+0.00305545j 0.00334499+0.0140002j 0.000466824-0.0149674j -0.00232053+0.00404482j 0.00458199-0.00811461j -0.00110252-0.00640687j -0.000886729+0.00577064j 0.00297605+0.0155182j -0.00455336-0.00286526j -1.9039e-06-0.00350858j 0.00363635+7.24324e-05j 0.000223945-0.0052825j -9.99223e-05+0.00225502j 0.00516658+0.00554181j -0.000722651+0.00452726j 0.000292603+0.00307035j 0.00372992+0.00574554j 0.00241439+0.00969712j -0.000900263+0.000493067j -0.00127049-0.00202724j -0.00150416-0.000271339j 0.00141633-0.000630688j -0.00297471-0.00922638j -0.000784387+0.000129791j -0.00292604+0.000359008j -0.00151871-0.00192642j 0.0019432+0.00234545j -0.00235-0.00220668j 0.00641292+0.00523487j -0.000104567-0.00299381j 0.0016275-0.000131303j -0.00223699-0.000710006j 0.00143656-0.00171199j 0.000746441+0.00374233j -0.00318853-0.00420948j -0.00348838-0.00492339j 0.00373279+0.000166784j 0.00245787-0.00215783j 0.000933744-0.00420095j -0.00485081-0.00533016j 0.000749089+0.00348593j 0.00402343+0.00573262j -0.00276611-0.000851856j 0.00167049+0.0123046j -0.0100681-0.00335481j 
0.00396866-0.00124339j 0.00275452-0.00845741j -0.00403884+0.0116048j 0.00679415-0.00675496j -0.00439054+0.00546301j 0.00157619+0.00518643j 0.00688906-0.0245877j -0.00444988+0.00429412j -0.00444029-0.00545496j -0.00210854-0.0145665j 0.000424734-0.00515954j 9.18053e-06+0.0276173j 9.47897e-05+0.00563222j -0.00323106+0.0119809j -0.00336373+0.0013924j -0.00285449-0.00669995j 0.000975433-0.00730945j -0.00277118-0.00807726j -0.00150682-0.00274524j 0.00257701-0.00699548j -0.00361453-0.0107132j -0.00250754-0.0078231j -0.00242025-0.00565311j 0.000137721+0.00359507j 0.00170448+0.00586794j 0.00155198+0.000781729j -0.00237046-0.0068242j -0.00111974-0.00387321j -0.000324204-0.000676285j -0.000322097+0.000952487j -0.00078236-0.00444504j 0.00538332+0.00801512j 0.00081801+0.00179254j -0.000237979+0.00139823j -0.000854522-0.00338223j 0.00142086+0.000584121j -0.00306752-0.00575994j -0.0034755-0.00428197j 0.000637837-0.00045219j 0.000361977+0.00416435j 0.000295107+9.65016e-05j 0.00331648+0.00280873j 0.00207044-0.00165558j 0.00427034+0.00561937j -0.00256256-0.00506811j -0.000604659-0.00231785j 0.00111903-0.00405622j 0.00205658+0.00355738j 0.00511124+0.000798507j 0.00244305+0.00642436j 0.00131053-0.000640564j 0.000293849+0.00478143j 0.00350213-0.000120641j 0.00188006+0.00647942j 0.00196866-0.00344203j 0.00382177+0.00428283j 
0.0144977+0.0085378j -0.000491402-0.00977514j 0.0051644-0.0027941j -0.0080037-0.00188441j -0.0015893-0.00216237j -0.00103642-0.00281279j 0.0108787+0.00593424j 0.0054758+0.00304977j 0.0026622-0.00142224j -0.000160767-0.006699j 0.0049592+0.00448964j 0.00438659+0.0056349j 0.00043325+0.00106558j -0.000222106-0.0048497j 0.000993134+0.00479649j -0.0129365-0.00619943j 0.00601149+0.00170075j 0.000310421+0.0106229j -0.00592036+0.00723739j 0.00255113-0.000590011j -0.000886885-0.00142954j -0.00623346+0.00345245j -0.000857369+0.00115911j -0.00651148-0.000911362j -0.00513961+0.00259567j 0.00291323-0.00351047j -0.000936891+0.00196144j -0.00561696+0.0047252j 0.00116623+0.00439889j 0.0029968-0.00287643j -0.000690248-0.00475764j -0.00168637-0.00284211j -0.00601385+0.000228265j -0.000721041-0.00447339j -0.00179595-0.00184243j 0.0048364-0.00492768j -0.00294313+0.00162546j 0.00235482+0.00471373j 8.88271e-05-0.00175265j -0.0047771+0.00382005j -0.000868525+0.000320385j 0.000417161+0.00277913j 0.000910645-0.00303275j -0.00254746-0.00514102j 0.00216105+0.00297885j 7.76512e-05-0.00499632j -0.003734-0.00341787j 0.000466202+0.00551848j 0.000574046+0.00209399j -0.0030874-0.00128154j 0.00174173-0.0062493j -0.0054199-0.00395088j -0.00249344+0.00864699j -0.00407415-0.00438284j -0.011605-0.0145409j 0.0169028-0.0174469j 
-0.00293758-0.00904057j -0.00850807-0.0025475j -8.24162e-05-0.00696641j -0.0153728-0.00589958j -0.0103414+0.00160553j -0.00153335-0.00758492j -0.00799413-0.00562151j 0.00339517-0.00146104j 0.00397292+0.00329536j 0.00858001+0.000835235j 0.00645619-0.000635862j -0.0035683+0.00423186j 0.0033789+0.00266002j 0.00639256+0.0076458j 0.0131683+0.000848383j -0.00789285-0.00451973j -0.0169023-0.00336989j 0.00598296-0.00155628j 0.000663079-0.00376245j 0.00574874-0.00322516j 0.00557921+0.00150143j 0.00839707+0.000699106j -0.00175316+0.0030936j 0.00472746-0.00545339j -0.00166451+0.00786298j -0.00614362+0.00401024j -0.00087423-0.00466861j -0.00612917+0.000274413j 0.00726949-0.000146845j 0.00505648+0.000330072j -0.00497918+0.000306123j -0.0074467+0.00258287j -0.00466099+0.00281677j 0.00238219+0.000437141j -0.00281897+0.0019828j -4.36091e-05+0.00169295j 0.00270935-0.00561052j -0.00189946+0.00168575j -0.00286443-0.00123455j -0.00207515+0.00130187j -0.00329885+0.00748091j -0.00251794+0.00281134j -0.000583366-0.00063761j 0.00281644+0.00153411j 0.000728557-0.00735194j -0.00437808-0.00345647j -0.0017599+0.000115717j -0.00200806+0.000624661j -0.00410939+0.00641192j -0.00757482-0.00295694j -0.00309855+0.00615737j 0.000311641+0.00153937j -0.00790473+0.00950428j -0.00607064-0.0038159j -0.0102053+0.0144221j -0.012869-0.00775835j 
0.0013195+0.00277612j 0.00325384+0.00121059j -0.00920469-0.00185071j 0.00505841+0.00533525j -0.00991541-0.00583304j 0.00595035-0.000388684j 0.00154437+0.000999693j -0.0057835-0.00262902j -0.00260244-0.00250487j 0.0141573+0.00650089j 0.0235677+0.00434183j 0.0193058+0.00500866j 0.0235948-0.00238494j 0.00947463-0.00228367j 0.00221674-0.00119233j 0.0170222+0.000666974j -0.00536614-0.000948254j -0.00803155+0.000813095j 0.00625917-0.000982158j 0.0123805+0.00177673j -0.0071207+0.00282002j 0.00133748+0.00236904j 0.0131007-0.00485682j 0.000570332-0.000796339j 0.000645342-0.000718495j -0.000300838+0.00110889j -0.00814088+0.0042288j -0.00994853+0.0023549j 0.00340192-0.000695349j -0.00517033+0.00197624j -0.00346585+0.00127579j -0.00111643+0.000307435j 0.00435395-0.003042j -0.00535854+0.00272528j -0.000643635+0.000767103j -0.00616886+0.00252522j 0.00247015+0.00140735j -0.00725619+0.00359267j -0.000466437+0.00097815j -0.010249+0.00386878j -0.00754125+0.00245171j 0.00245262-0.00503517j 0.0024304-0.00276465j -0.00572533+0.0038163j -0.00140953-0.00196539j 0.00374854+0.00143381j 0.00140192-0.00433656j -0.00697387+0.00543884j 0.00396792+0.00180728j -0.000130927-0.00116341j -0.00443939-0.00147413j -0.00453753+0.00290614j 0.00280673+0.000794338j -0.00231238+0.00226783j 0.00285916-0.00366608j 0.0034056+0.00169351j 
0.00324847-0.00173746j 0.0059466-0.00274798j 0.00120255-0.00541169j 0.00873886+0.00182411j 0.000789811-0.000986639j 0.0114916-0.000649605j 0.000175313-0.00318352j -0.00958216-0.0100115j -0.00533694-0.00118581j -0.00639581-0.00273003j -0.00563278-9.86632e-05j 0.00315283-0.00283779j -0.00356363-0.00296751j -0.00347334+0.0011347j -0.0110389-0.00196375j 0.0175073+0.0010813j 0.00913623+0.00189721j -0.00856386+0.000721044j 0.00226526-0.00194218j -0.00344274+0.00175665j -0.00855227+0.00259119j -0.00859467+0.00205104j 0.000498832+0.00288415j 0.00389946-0.00383419j -0.00108216-0.000605036j 0.00337666-0.00209898j 0.000973959+0.00104281j 0.00783058-0.0012555j -0.00455515+0.00243498j -0.00742272+0.00221245j 0.00375362-0.00139361j -0.000105165-0.000201411j 0.00707844-0.000439309j -0.00506709-0.000175767j 0.000406571+0.00157693j -0.00730296+0.00197087j -0.00280492+0.00364731j 0.00188921+0.000992659j 0.00119263-0.000997352j 0.00414339-0.00360089j 0.00260964-0.000127367j 0.00553595-0.000541594j -0.0010031-0.000286225j -0.00120719+0.00129015j 0.0047011-0.00455863j -0.00354387-0.00120369j -0.00427532+0.00291891j 0.0070552-0.00442074j 0.00751266-0.00567627j 0.0015369-0.00135858j -0.00691077+0.00431403j -0.00281556+0.00531705j 0.0100979+0.0034328j -0.00757243+0.00562832j -0.0083056+0.00817331j -0.0139256-0.00702615j 
0.0149712-0.0012724j -0.011706-0.00226425j -0.00349796-0.000935832j -6.41611e-05+0.00757504j -0.00103178-0.000180296j -0.000365972-0.00582863j 0.0120913+0.00222012j -0.00272111+0.00173055j -0.00107254-0.00144202j -0.0143419+0.000355643j 0.0101296+0.00408867j 0.00678563-0.00230118j -0.00481174+0.00139452j 0.000498232-0.00596084j 0.000351428+0.00111915j -0.00888342-0.00206714j 0.0144033-0.00147373j 0.00683769+0.00266588j -0.00456393+0.0021389j 0.00459654-0.00166572j -0.00738954+0.00015962j -0.00749491+0.00225673j 0.00234616+0.0021949j -0.015449-0.00270011j -0.000759912+0.00313623j 0.00336414+0.00163587j -0.00207066+0.000321921j -0.00667837+0.000297705j -0.00632515+0.00284463j 0.001007+0.002896j 0.0007307+0.00175793j -0.000337785-0.00224906j -0.00137381+6.50073e-06j -0.000662058-0.0030427j -0.0011558+0.000998811j 0.00666603-0.00237575j -0.00847726+0.0014902j -0.000390761+0.00193903j -0.000876604-0.00167764j -0.00882272+0.00337382j 0.00298601-0.00116978j 8.87836e-05+0.000269485j 0.00138004-0.00219886j -0.00412516+0.00082898j -0.00645334+0.000684673j -0.00754089+0.00249485j 0.00428436-0.0032562j -0.00288021-0.00142026j 0.00757241+0.000476411j -0.00753076+0.00350874j 0.00567191+8.3551e-05j 0.00228313+0.00251561j 0.00682455-0.00241782j 0.00261121-0.00098692j 0.011398+0.0069139j -0.000176992+0.00219371j 
-0.00550394+0.00340837j 0.00751706+0.00565746j 0.00128448-0.000525063j -0.00367158+0.00329836j -0.00126604+0.00474075j -0.00458913-0.00478307j -0.00368004+0.000601699j 0.00333212-0.0072757j 0.000318398+0.00259324j -2.4923e-05+0.00680644j -0.00149381+0.0048972j -0.0092223+0.00170576j 0.000598868-0.00180522j 0.00428338-0.00607914j 0.00146894-0.0120397j 0.00106902-0.00199746j 0.000249319-0.0119952j -0.00455355-0.0050274j -0.00462808-0.0111334j -0.00227842-0.00174078j 0.00217858-0.000589172j -0.00260893+0.0153234j -0.00393243-0.00224727j -0.000287055+2.42703e-05j 0.00096942+0.0021377j 0.00434658+0.000667482j -0.00226174+0.000180846j -0.00246361-0.00234721j 0.0008042+0.00767498j 0.00266803-5.96833e-05j 0.00339574+0.00293178j -0.00351592+0.00244287j -0.00329789-0.00188285j 0.00427306-0.00167696j -0.000825802+0.000820437j 0.00129456-0.00613394j -0.00548395+0.00155427j -0.00101632+0.00244979j -0.00495557-0.00649506j 0.00544634+0.00428406j 0.00164991+0.0022584j -0.000225493+0.00129764j -0.00433932-0.00115253j 0.00591427+0.00573345j -0.00291745-0.00112057j -0.00253955+0.00580032j -0.0028179-0.00544974j 0.00112583+0.00309066j 0.00802925+0.00205388j -0.00309358+0.00415602j -0.00117382+0.0014394j 0.000902242+0.00298945j 0.00412752+0.0083191j -0.00768776+0.00517735j 0.00986953-0.0102134j 0.00586786+0.00750916j 
-0.00351411-0.00154253j -0.00580517-0.00539962j -0.0122107-0.00279031j -0.00405597+0.00573333j 0.00311841+0.00528323j -0.0092962+7.2403e-05j 0.00215983+0.00397642j -0.00507605-0.000932144j 0.0019273+0.000793366j -0.00109851-0.00141035j -0.00134555+0.0041061j 0.00748792+0.00352535j 0.000949466-0.00151481j 0.00423907-0.00164184j 0.00248867-0.00139691j -0.00940832-0.00315034j 0.00462499-0.00550745j 0.00321867+0.00681021j -0.00239069-0.0028722j -0.00388173+0.004126j 0.00561321-0.000919118j 0.00716039+0.0111007j 0.00648105-0.000780132j -0.00665255-0.00298082j 0.00583465+0.00198186j -0.00382373-0.00487419j -0.00167211-0.00060603j 0.0016233-0.00393246j 0.00715482-0.000761245j 8.01868e-05-0.00179772j -0.00622503+0.000950466j 0.00448895+0.00349501j -5.37399e-05-0.0022142j -0.000784165+0.00467818j 0.00182141-0.000649964j -0.000749755+0.0015929j 0.0048569+0.000413955j 0.0061435-0.00551497j -0.00424335-0.00139795j 0.00194416-0.0018508j 0.00548649-0.00221353j 0.00455175-0.00481193j -0.00367066+0.00275532j -0.0013994+0.000620174j -0.0027891-0.00417959j 0.00323701-0.000950535j -0.00220045+0.00833418j 0.00390873-0.00117623j 0.00173948-0.00319094j 0.00281001+0.00201347j 0.00285234+3.33218e-05j -0.00378658+0.00641736j 0.0125336+0.000915216j -0.00113115+0.0153338j -0.00997771+0.00644701j -0.00500078-0.00141119j 
0.0022072+0.00174609j -0.00406604-0.00434342j 0.000312376+0.00145464j -0.00356645+0.00235082j -0.00266317-0.00046332j 0.00866111+0.00273279j 0.00170582-0.000186658j 0.00583029-0.00117285j -0.00307905-0.00114179j -0.00689799-0.00410866j -0.00617658+0.00561316j -0.00240003-0.0032108j 0.00110358-0.00242561j 0.00315616-0.00264685j 0.0147372-0.00359151j 0.00470529+0.00193824j 0.0112944-0.00255872j 0.00432853+0.00409996j 0.0147326-0.00481456j 0.000993953+0.000930896j -0.00161827-0.00584979j -0.00768333+0.00428322j -0.00535335-0.00440532j 0.00868546-0.00423021j -0.00349316+0.00150249j -0.00834175+0.000867822j 0.00347641-0.000533758j 0.00709904-0.00466671j -0.00639253-4.55657e-05j -0.00527469-0.00120594j -0.00777673+0.0041014j -0.000651049-0.00220648j -0.000625312-0.000863886j 0.00485229+0.00254897j -0.00601448-1.86528e-05j -0.000169958-0.000460732j 0.00358197-0.00696932j -0.00365311-0.00177098j 0.00514611-0.00828127j 0.000983434+0.00239883j -0.0041207+0.00313751j 7.71336e-05-0.00194619j -0.00163331-0.00212648j -0.00422258+0.00529353j 0.00114013-0.00391982j -0.000483835-0.00457938j 0.00644421-0.00225485j 0.000773142+0.00205321j -0.00119967+0.00908264j 0.00323152-0.00523655j -0.00485692-0.00312513j -0.00344531+0.00375445j -0.00228615+0.00192687j 0.00437577-0.00191537j -0.0078488+0.000656259j 0.00339999-0.00561797j 
-0.00571572-0.00347267j 0.00292124+0.00574375j -0.00273304-0.00505035j -0.00436534-0.00385098j -0.00513134-0.00243455j -0.00365875-0.00367022j -0.0020281-0.00104115j 0.0017254+0.00126912j 4.65814e-05-0.000500751j 0.0011396+0.00143283j -0.00783944-0.00725719j 0.00318761-7.00346e-05j 0.00128309+0.00263433j 0.00616947+0.00630521j 0.0139653+0.012899j -0.00415085-0.00126428j 0.0137461+0.00542162j -0.00731284-0.00455872j 0.0063841+0.00237685j -0.00679799-0.00348549j 0.00538572+0.00428156j -0.0148729-0.00138623j 0.00753188-0.000586441j -0.000510108+0.00373309j -0.000143857+0.000234646j 0.00306538-0.00315603j -0.00116095-0.000881014j 0.00353963+0.00219904j -0.00411466+0.00215398j 0.00918893+0.000351143j -0.0032109-0.00333616j 0.000102412+0.000648659j 0.00415609-0.00230936j -0.00597174+0.00337139j 0.00187352-0.00155577j 0.0037888+4.02011e-05j 0.00292937+0.00402818j 0.00430813-0.00104911j 0.00769566-0.000499834j -0.00674183+0.00302997j 0.000266225-0.00104883j 0.00169812+0.00170604j 0.00193146-0.00311289j -0.00539636+0.000377429j 0.00524611-0.000833689j 0.000558791+6.49703e-05j -0.00229635+0.00139689j -0.00227203+0.0021255j -0.00376617+0.00149846j -0.00301333+0.00249212j 0.00229088-0.000982889j -0.00496057-0.00239665j -0.00228193+0.00474085j -0.00928442+0.00046139j 0.00701965-0.000415709j -0.0037366+0.00590737j 
