-0.0589256-0j -0.0845154-0j 0.265165-0j 0.280671-0j 0.193649-0j -0.0481125-0j -0.0113402-0j -0.05-0j 0.216506-0j -0.0771517-0j 0.125-0j -0.0625-0j 0.21875-0j -0.0456435-0j -0.0294628-0j -0.0170103-0j 0.0382733-0j -0.00232924-0j -0.0912871-0j 0.283473-0j -0.102062-0j 0.357217-0j -0.0527046-0j 0.237171-0j -0.0833333-0j -0.0277778-0j -0.0668153-0j 0.153093-0j -0.0322749-0j -0.0147314-0j -0.05-0j 0.216506-0j -0.0771517-0j 0.125-0j -0.0883883-0j 0.309359-0j -0.0645497-0j -0.051031-0j -0.0294628-0j 0.0765466-0j -0.00570544-0j 0.136931-0j -0.0481125-0j -0.0160375-0j -0.0545545-0j 0.125-0j -0.0322749-0j -0.0170103-0j -0.0360844-0j 0.126295-0j -0.0263523-0j -0.0294628-0j -0.0170103-0j 0.0541266-0j -0.00520833-0j -0.0172516-0j 0.0395285-0j -0.0144338-0j -0.00931695-0j -0.00760726-0j -0.00439205-0j 0.0197642-0j -0.00268957-0j -0.0031497-0j -0.00287527-0j 0.00373509-0j -0.000880369-0j -0.000479212-0j -0.000185598-0j -2.28455e-05-0j 
0.0416667-0j 0.0597614-0j 0.0625-0j 0.0180422-0j 0.0456435-0j 0.0340207-0j 0.00801875-0j -0.106066-0j -0.153093-0j -0.163663-0j -0.0883883-0j 0.0441942-0j 0.0220971-0j 0.0322749-0j 0.270833-0j 0.156366-0j 0.297696-0j 0.159761-0j 0.0645497-0j 0.0668153-0j 0.0721688-0j 0.0360844-0j 0.0372678-0j -0.167705-0j -0.176777-0j -0.0589256-0j 0.0472456-0j 0.0360844-0j 0.296683-0j 0.34375-0j 0.0353553-0j 0.051031-0j 0.0545545-0j 0.0294628-0j -0.1875-0j -0.09375-0j -0.136931-0j 0.0360844-0j 0.0208333-0j 0.234549-0j 0.246096-0j 0.0322749-0j 0.0340207-0j 0.0113402-0j -0.115728-0j -0.0883883-0j 0.0228218-0j 0.156366-0j 0.0255155-0j 0.0127578-0j 0.0186339-0j -0.0625-0j -0.0360844-0j 0.0127578-0j 0.121534-0j 0.0121988-0j 0.00931695-0j -0.0306186-0j 0.00658808-0j 0.00537914-0j 0.00310565-0j -0.0139754-0j 0.0247236-0j 0.00222718-0j -0.00609938-0j 0.000880369-0j 0.000622515-0j 0.000338854-0j -0.000393713-0j 1.61542e-05-0j 
0.0680414-0j 0.09759-0j 0.102062-0j 0.0294628-0j -0.149071-0j -0.277778-0j -0.14404-0j 0.057735-0j 0.0833333-0j -0.178174-0j -0.240563-0j 0.0721688-0j 0.0360844-0j -0.105409-0j 0.0340207-0j -0.0982093-0j 0.0147314-0j 0.00268957-0j 0-0j 0-0j 0-0j -9.81308e-18-0j 9.81308e-18-0j 0-0j 0-0j 1.27476e-17-0j 0-0j 0-0j 0-0j 0-0j -0.057735-0j -0.0833333-0j 0.178174-0j 0.240563-0j -0.102062-0j -0.051031-0j 0.149071-0j -0.0589256-0j 0.170103-0j -0.0294628-0j -0.00658808-0j -0.105409-0j 0.222222-0j 0.296296-0j -0.125988-0j 0.19245-0j -0.0745356-0j 0.0785674-0j -0.125-0j -0.0625-0j 0.182574-0j -0.102062-0j 0.294628-0j -0.0625-0j -0.0180422-0j -0.0796819-0j 0.121716-0j -0.0666667-0j 0.0860663-0j -0.0439205-0j 0.126788-0j -0.0380363-0j -0.0155282-0j -0.0218218-0j 0.039841-0j -0.0100635-0j -0.00711594-0j 0.00885355-0j -0.00192879-0j -0.000290177-0j 
-0.0589256-0j -0.0845154-0j -0.0883883-0j -0.0255155-0j -0.0645497-0j -0.0481125-0j -0.0113402-0j 0.05-0j 0.0721688-0j 0.0771517-0j 0.0416667-0j 0.1875-0j 0.09375-0j 0.136931-0j 0.147314-0j 0.0850517-0j 0.0893043-0j 0.0256216-0j 0.0912871-0j 0.0944911-0j 0.102062-0j 0.051031-0j 0.0527046-0j -0.0790569-0j -0.0833333-0j -0.0277778-0j -0.200446-0j -0.153093-0j -0.161374-0j -0.10312-0j 0.05-0j 0.0721688-0j 0.0771517-0j 0.0416667-0j -0.0883883-0j -0.0441942-0j -0.0645497-0j -0.153093-0j -0.0883883-0j -0.127578-0j -0.051349-0j -0.0456435-0j -0.0481125-0j -0.0160375-0j 0.0545545-0j 0.0416667-0j 0.0968246-0j 0.0850517-0j -0.180422-0j -0.090211-0j -0.131762-0j 0.147314-0j 0.0850517-0j 0.270633-0j 0.182292-0j -0.189768-0j -0.144938-0j 0.158771-0j 0.307459-0j -0.144538-0j -0.083449-0j 0.125173-0j 0.255509-0j -0.0913414-0j 0.0833829-0j -0.0510462-0j 0.108285-0j -0.0263567-0j 0.0131775-0j -0.00249016-0j 
0.0240563-0j 0.0345033-0j 0.0360844-0j 0.0104167-0j 0.0263523-0j 0.0196419-0j 0.00462963-0j 0.0204124-0j 0.0294628-0j 0.031497-0j 0.0170103-0j 0.0255155-0j 0.0127578-0j 0.0186339-0j 0.0120281-0j 0.00694444-0j 0.00520833-0j 0.000950907-0j -0.111803-0j -0.115728-0j -0.125-0j -0.0625-0j -0.0645497-0j -0.0968246-0j -0.102062-0j -0.0340207-0j -0.0818317-0j -0.0625-0j -0.0395285-0j -0.0180422-0j 0.102062-0j 0.147314-0j 0.157485-0j 0.0850517-0j 0.180422-0j 0.090211-0j 0.131762-0j 0.104167-0j 0.0601407-0j 0.0520833-0j 0.0116462-0j 0.0186339-0j 0.0196419-0j 0.00654729-0j 0.0222718-0j 0.0170103-0j 0.0131762-0j 0.00694444-0j -0.220971-0j -0.110485-0j -0.161374-0j -0.180422-0j -0.104167-0j -0.110485-0j -0.0318944-0j -0.133816-0j -0.102204-0j -0.111959-0j -0.0722689-0j 0.114909-0j 0.0663428-0j 0.0995142-0j 0.0406265-0j 0.289319-0j 0.264111-0j 0.325808-0j 0.230381-0j 0.274871-0j 0.201624-0j 0.0684178-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
