-6.09144e-05-0j -7.70513e-05-0j -4.59445e-05-0j 0.00100803-0j 0.000736161-0j 0.00120215-0j 0.00107523-0j 0.000453358-0j -0.0096799-0j -0.0091263-0j -0.0111774-0j -0.00816281-0j -0.0094256-0j -0.00688349-0j -0.00224814-0j -8.50702e-06-0j -8.0205e-06-0j -9.82306e-06-0j -7.17375e-06-0j -8.28353e-06-0j -6.04944e-06-0j -1.97574e-06-0j 
-6.58998e-06-0j -4.71728e-07-0j 9.0971e-06-0j 0.000131157-0j 9.57832e-05-0j 8.85158e-06-0j -0.000124066-0j -0.000163609-0j -0.00158146-0j -0.00149102-0j -0.000103342-0j -7.54701e-05-0j 0.00136562-0j 0.00205826-0j 0.00136524-0j -9.20326e-07-0j -8.67692e-07-0j -6.01393e-08-0j -4.39195e-08-0j 7.94721e-07-0j 1.1978e-06-0j 7.94496e-07-0j 
0.000746046-0j 0.000943682-0j 0.000562703-0j -0.00734117-0j -0.00536123-0j -0.00875485-0j -0.00783058-0j -0.00330166-0j 0.0343669-0j 0.0324014-0j 0.0396834-0j 0.0289807-0j 0.033464-0j 0.0244387-0j 0.00798163-0j -0.00306102-0j -0.00288595-0j -0.00353456-0j -0.00258128-0j -0.0029806-0j -0.00217672-0j -0.000710915-0j 
9.88497e-05-0j 7.07592e-06-0j -0.000136457-0j -0.00130424-0j -0.000952485-0j -8.80217e-05-0j 0.00123374-0j 0.00162696-0j 0.00931874-0j 0.00878579-0j 0.000608939-0j 0.000444706-0j -0.00804692-0j -0.0121283-0j -0.00804465-0j -0.000405579-0j -0.000382384-0j -2.65028e-05-0j -1.93549e-05-0j 0.000350226-0j 0.000527859-0j 0.000350127-0j 
-0.00353881-0j -0.00447628-0j -0.00266914-0j 0.0110832-0j 0.00809401-0j 0.0132175-0j 0.0118221-0j 0.00498461-0j 0.00372468-0j 0.00351166-0j 0.00430089-0j 0.00314093-0j 0.00362683-0j 0.00264866-0j 0.00086505-0j 0.0295336-0j 0.0278445-0j 0.0341024-0j 0.0249049-0j 0.0287577-0j 0.0210016-0j 0.00685911-0j 
-0.000663104-0j -4.74667e-05-0j 0.000915378-0j 0.00430089-0j 0.00314093-0j 0.000290262-0j -0.00406838-0j -0.00536507-0j -0.00947614-0j -0.00893419-0j -0.000619224-0j -0.000452217-0j 0.00818284-0j 0.0123331-0j 0.00818052-0j 0.00553402-0j 0.00521752-0j 0.000361624-0j 0.000264093-0j -0.00477874-0j -0.0072025-0j -0.00477739-0j 
0.00148275-0j 0.000106139-0j -0.00204685-0j 0.000329475-0j 0.000240615-0j 2.22359e-05-0j -0.000311664-0j -0.000410998-0j 5.34661e-05-0j 5.04083e-05-0j 3.49378e-06-0j 2.55149e-06-0j -4.61691e-05-0j -6.95859e-05-0j -4.6156e-05-0j -0.0186652-0j -0.0175977-0j -0.00121969-0j -0.000890735-0j 0.0161178-0j 0.0242927-0j 0.0161132-0j 
-0.00408626-0j -0.00516876-0j -0.00308205-0j 0.0265035-0j 0.0193554-0j 0.0316073-0j 0.0282704-0j 0.0119198-0j -0.058395-0j -0.0550553-0j -0.0674287-0j -0.049243-0j -0.0568609-0j -0.0415253-0j -0.0135621-0j -0.000570668-0j -0.000538031-0j -0.000658951-0j -0.00048123-0j -0.000555676-0j -0.000405809-0j -0.000132537-0j 
-0.000625181-0j -4.4752e-05-0j 0.000863027-0j 0.00615184-0j 0.00449267-0j 0.00041518-0j -0.00581927-0j -0.007674-0j -0.0287992-0j -0.0271521-0j -0.0018819-0j -0.00137434-0j 0.0248687-0j 0.037482-0j 0.0248616-0j -8.73098e-05-0j -8.23165e-05-0j -5.70531e-06-0j -4.16657e-06-0j 7.53938e-05-0j 0.000113633-0j 7.53725e-05-0j 
0.015826-0j 0.0200185-0j 0.0119367-0j 0.00351664-0j 0.00256819-0j 0.00419384-0j 0.00375108-0j 0.0015816-0j 0.000570668-0j 0.000538031-0j 0.000658951-0j 0.00048123-0j 0.000555676-0j 0.000405809-0j 0.000132537-0j -0.0649339-0j -0.0612203-0j -0.0749793-0j -0.0547571-0j -0.0632281-0j -0.0461753-0j -0.0150808-0j 
0.00419384-0j 0.000300206-0j -0.00578936-0j -0.0131347-0j -0.00959221-0j -0.000886441-0j 0.0124246-0j 0.0163846-0j -0.00441412-0j -0.00416167-0j -0.000288443-0j -0.000210649-0j 0.00381168-0j 0.00574496-0j 0.0038106-0j -0.0172073-0j -0.0162232-0j -0.00112442-0j -0.00082116-0j 0.0148588-0j 0.0223952-0j 0.0148546-0j 
-0.00937771-0j -0.00067128-0j 0.0129454-0j -0.00208379-0j -0.00152178-0j -0.000140632-0j 0.00197113-0j 0.00259938-0j -0.000338149-0j -0.00031881-0j -2.20966e-05-0j -1.61371e-05-0j 0.000291999-0j 0.0004401-0j 0.000291916-0j -0.00130965-0j -0.00123475-0j -8.55797e-05-0j -6.24986e-05-0j 0.00113091-0j 0.0017045-0j 0.00113059-0j 
0.0193828-0j 0.0245176-0j 0.0146195-0j -0.060705-0j -0.0443327-0j -0.072395-0j -0.064752-0j -0.0273019-0j -0.0204009-0j -0.0192342-0j -0.023557-0j -0.0172036-0j -0.019865-0j -0.0145073-0j -0.00473807-0j 0.00270692-0j 0.00255211-0j 0.00312568-0j 0.00228267-0j 0.0026358-0j 0.00192492-0j 0.000628676-0j 
0.00363197-0j 0.000259986-0j -0.00501373-0j -0.023557-0j -0.0172036-0j -0.00158983-0j 0.0222835-0j 0.0293857-0j 0.0519029-0j 0.0489346-0j 0.00339163-0j 0.0024769-0j -0.0448192-0j -0.0675514-0j -0.0448066-0j 0.000507224-0j 0.000478216-0j 3.31449e-05-0j 2.42056e-05-0j -0.000437998-0j -0.00066015-0j -0.000437874-0j 
-0.0140666-0j -0.00100692-0j 0.0194181-0j -0.00312568-0j -0.00228267-0j -0.000210948-0j 0.0029567-0j 0.00389907-0j -0.000507224-0j -0.000478216-0j -3.31449e-05-0j -2.42056e-05-0j 0.000437998-0j 0.00066015-0j 0.000437874-0j 0.0577149-0j 0.0544141-0j 0.00377142-0j 0.00275425-0j -0.049838-0j -0.0751157-0j -0.0498239-0j 
-0.0671441-0j -0.0849314-0j -0.0506433-0j -0.0149198-0j -0.0108959-0j -0.017793-0j -0.0159145-0j -0.00671014-0j -0.00242114-0j -0.00228267-0j -0.00279569-0j -0.00204168-0j -0.00235753-0j -0.0017217-0j -0.000562305-0j -0.00937704-0j -0.00884075-0j -0.0108277-0j -0.00790741-0j -0.00913069-0j -0.00666811-0j -0.0021778-0j 
-0.017793-0j -0.00127366-0j 0.0245622-0j 0.0557257-0j 0.0406963-0j 0.00376085-0j -0.0527131-0j -0.069514-0j 0.0187275-0j 0.0176565-0j 0.00122376-0j 0.000893709-0j -0.0161716-0j -0.0243738-0j -0.016167-0j -0.00248488-0j -0.00234277-0j -0.000162376-0j -0.000118583-0j 0.00214575-0j 0.00323406-0j 0.00214514-0j 
0.0629076-0j 0.00450309-0j -0.0868404-0j 0.0139785-0j 0.0102084-0j 0.000943388-0j -0.0132228-0j -0.0174372-0j 0.00226838-0j 0.00213864-0j 0.000148228-0j 0.000108251-0j -0.00195879-0j -0.00295228-0j -0.00195823-0j 0.00878538-0j 0.00828294-0j 0.000574086-0j 0.000419253-0j -0.00758636-0j -0.0114341-0j -0.00758421-0j 
