-0.500538-5.55112e-17j -0.0152331+0.51378j -0.0507825+0.0421453j -0.0746937-0.0510968j 0.0385544-0.0769351j 0.00385482+0.0156843j 0.0292475-0.0120612j 0.0183772+0.00471738j -0.0296187-0.0315548j 0.0314233+0.000773987j 0.0269997+0.0148423j 0.0324199+0.037011j -0.00617146-0.00878319j -0.0117532-0.0551112j -0.00721334-0.00819968j 0.00314721-0.0062641j -0.0159838+0.00328592j 0.00551676-0.00121953j -0.0141472-0.00771799j -0.00373446-0.00729822j -0.0124657-0.00820859j 0.0155651-0.00367939j 0.0114537+0.0339089j -0.00176427-0.020345j 0.0153374+0.00655583j -0.0214255-0.0164356j 0.0075228+0.0261756j -0.0128936+0.0162645j -0.00151483+0.0147544j -0.00533427-0.00263477j -0.00859293+0.00576047j -0.00181277-0.00758141j -0.042679-0.018636j -0.0006937-0.00264342j -0.0151686-0.000676196j -0.00203594+0.00591893j 
-0.0152331-0.51378j -0.506881-5.55112e-17j 0.0321981-0.0170285j -0.0310736+0.0484472j -0.0193679-0.0391932j 0.0196928+0.0193395j 0.0145758-0.0519216j 0.0144005-0.00582785j -0.000891526-0.0178895j -0.0471562+0.0168028j -0.00500975-0.0206493j -0.0531441+0.0233077j 0.00103343+0.0176332j -0.0255544-0.0143984j -0.0167274-0.00358214j 0.00217344-0.0177825j -0.0220285+0.0207393j 0.00212559+0.00833394j -0.0304473+0.00592262j -0.00196626+0.0116048j 0.00545574+0.00199163j 0.0116033-0.00677297j -0.00830622-0.0210151j 0.00802719+0.0139903j -0.0136615+0.0218232j -0.0179252+0.00399401j -0.0210481+0.0123185j 0.0125939-0.0393259j -0.00303644-0.0172867j -0.00647057-0.000863084j 0.00757871-0.011616j 0.00163485+0.00709968j -0.0258595+0.0012925j 0.000838497-0.000272537j -0.0121084+0.000127691j -0.00119548+0.00170386j 
-0.0507825-0.0421453j 0.0321981+0.0170285j -0.120757-2.22045e-16j 0.445897+0.00651745j -0.0773499+0.661273j -0.0980879+0.0299219j -0.0333042+0.00163498j -0.0273117+0.0811801j -0.0291878-0.00718018j -0.0231209+0.0980088j -0.0823109-0.0236083j 0.0365828-0.0853683j -0.085138-0.0362642j -0.0142985+0.0955185j 0.0354695-0.14754j 0.0208937-0.0221246j -0.00466566-0.0051602j -0.0439442-0.00736933j -0.000657312+0.00772509j 0.0310903-0.0163693j 1.50877e-05-0.0291931j -0.0290489+0.0260988j 0.0126242-0.00209594j 0.0078488+0.00595173j -0.0268772+0.0292598j -0.0139814+0.0263014j 0.0247905-0.027245j 0.00700923+0.0213895j -0.0264395+0.0020028j -0.00644533-0.0391159j -0.00778238-0.0646863j -0.0365406+0.00229583j 0.0159225+0.0316222j -0.0173409-0.00508833j -0.00931486-0.0781288j 0.0241227-0.0709042j 
-0.0746937+0.0510968j -0.0310736-0.0484472j 0.445897-0.00651745j 0.153855+6.08888e-15j 0.476255+0.123403j 0.162662-0.0160987j 0.0633876+0.00487526j -0.0655027-0.0114575j -0.0547307-0.014431j 0.0828024-0.010286j -0.000324371-0.0635703j -0.0934299-0.00141006j 0.0263388-0.0645855j 0.00800459-0.00806879j 0.0135002+0.0429202j -0.0231051+0.0182146j 0.00331214+0.00275517j 0.0493065+0.0129811j -0.00913972-0.00897115j -0.00864697+0.00429045j -0.000183413-0.0244602j -0.00409541-0.0263271j -0.00799134+0.0114009j 0.00116375+0.00803645j -0.0162415-0.0151679j -0.0012146-0.0118029j 0.0162071-0.00264966j 0.0129838-0.00806697j -0.00997144-0.0224129j -0.00182253-0.00478343j -0.0225334-0.0119197j 0.00443827-0.0271593j -0.00878667+0.00786622j 0.0169753+0.00844433j 0.0175701+0.00718049j -0.0252403+0.0102603j 
0.0385544+0.0769351j -0.0193679+0.0391932j -0.0773499-0.661273j 0.476255-0.123403j -0.00291022+6.66134e-16j -0.0200819-0.209578j -0.00738456-0.0555615j -0.0054401-0.0301764j -0.00276579+0.0154964j -0.0111134-0.0437603j 0.00938104+0.0212305j 0.00150966+0.0428505j 0.0174494+0.0301764j -0.00715762-0.00730529j 0.00225175+0.00606451j -0.0253484-0.00133684j -0.0100247+0.0375633j -0.0401357+0.00476263j 0.0150851-0.0157531j 0.00257931-0.0259583j 0.0268233+0.00174352j 0.00570019+0.00545084j -0.0107744-0.00720309j -0.0104585-0.0367888j -0.0261445-0.00225923j 0.000962885+0.00662427j 0.0443417-0.00553878j 0.00562934-0.0133184j 0.00795438+0.00909425j -0.000738663-0.0230286j 0.00734044-0.0218598j 0.00399545+0.0268459j 0.000998537-0.00690302j -0.0257328-0.0080459j -0.00636189-0.0064615j 0.0143905-0.00356989j 
0.00385482-0.0156843j 0.0196928-0.0193395j -0.0980879-0.0299219j 0.162662+0.0160987j -0.0200819+0.209578j 0.00857293+3.33067e-16j 0.00173187-0.00849151j -0.059017+0.005442j -0.0575715+0.0110995j 0.0112961-0.0722719j 0.0853772-0.00737573j -0.0721241+0.121743j 0.283141-0.00491572j -0.0420748-0.0715652j -0.0728487+0.513968j 0.0356564+0.0136669j 0.0151751+0.00489613j 0.0858081-0.0503188j 0.009652-0.00599111j -0.0692571+0.0152165j 0.0509633-0.0146031j 0.0196569-0.0652459j -0.018149+0.0185677j -0.0532918-0.038447j 0.0145946-0.0696148j 0.0258777-0.0788557j -0.00380661+0.0337779j 0.00280107-0.132426j 0.047533-0.0252049j -0.0599114+0.101323j -0.0168372+0.193967j 0.104173-0.0317414j -0.0260945-0.0312525j 0.130967+0.0901343j -0.0222265+0.111429j -0.0590613+0.311431j 
0.0292475+0.0120612j 0.0145758+0.0519216j -0.0333042-0.00163498j 0.0633876-0.00487526j -0.00738456+0.0555615j 0.00173187+0.00849151j -0.0550459+1.60982e-15j -0.0740545+0.0203047j 0.0278826+0.100779j 0.0580593-0.115632j 0.350496-0.017199j -0.014201-0.116881j -0.181664-0.0756695j 0.0746832-0.679989j 0.0543878-0.158087j 0.0178556-0.00451642j -0.0253133+0.00296529j 0.048225-0.0342191j 0.00682807+0.00532938j 0.0232802-0.0148539j 0.0169654-0.00742531j 0.000945103-0.0612072j 0.020025+0.0219722j 0.0423042-0.0587804j -0.00800362-0.106609j 0.0357945-0.0204293j 0.022535+0.0354717j -0.012321-0.0497659j 0.0782078+0.00198417j 0.0540318-0.0327702j 0.0153536-0.0550061j 0.035958+0.0563892j 0.0217857-0.141306j -0.0151848-0.02343j -0.0218635+0.131131j 0.00998491-0.00198156j 
0.0183772-0.00471738j 0.0144005+0.00582785j -0.0273117-0.0811801j -0.0655027+0.0114575j -0.0054401+0.0301764j -0.059017-0.005442j -0.0740545-0.0203047j -0.275683+1.249e-15j -0.35544-0.0289865j -0.0853104-0.0232155j -0.0895895-0.0497116j -0.182899-0.0166782j -0.0866593-0.288058j -0.018841+0.0295713j -0.363873-0.193825j 0.0686563-0.0142823j 0.0846597+0.0175303j 0.0836018-0.0279828j -0.0262932-0.021456j -0.103099+0.00818709j 0.0371785-0.0389874j -0.033927-0.0135988j -0.0758692-0.0285262j -0.0559098+0.0214616j 0.0632976-0.0194746j -0.0743882-0.0310991j -0.0220487+0.0310494j 0.0982777+0.0304125j -0.00271422-0.0300195j 0.012243+0.0406262j -0.134947-0.0566966j 0.0540952-0.0675273j -0.0043801+0.0230662j 0.0297067-0.128683j -0.0479224-0.0116255j -0.0491052+0.0181157j 
-0.0296187+0.0315548j -0.000891526+0.0178895j -0.0291878+0.00718018j -0.0547307+0.014431j -0.00276579-0.0154964j -0.0575715-0.0110995j 0.0278826-0.100779j -0.35544+0.0289865j 0.164694+3.69149e-15j 0.237536-0.0166861j -0.152368-0.26106j 0.0505255+0.0447591j 0.100817+0.0765983j 0.354061+0.143654j -0.0173788+0.0722747j 0.0627696-0.00422272j -0.00480663+0.0281905j 0.0830632-0.0348259j 0.0267375-0.0162954j -0.0478332-0.0170588j 0.0244682-0.0300575j -0.070265-0.0275782j -0.0180547-0.00752106j 0.0546127-0.0143663j 0.0788053+0.0019019j 0.0123068-0.0329532j -0.0326978-0.0283296j 0.0438938+0.00183196j 0.0374071-0.0639505j -0.0126189-0.0261122j 0.00374858+0.00534572j 0.0261983-0.0541324j 0.03178+0.003745j 0.00605087-0.00839634j -0.0267956+0.0290735j -0.00546459+0.0258915j 
0.0314233-0.000773987j -0.0471562-0.0168028j -0.0231209-0.0980088j 0.0828024+0.010286j -0.0111134+0.0437603j 0.0112961+0.0722719j 0.0580593+0.115632j -0.0853104+0.0232155j 0.237536+0.0166861j 0.156812-2.52576e-15j -0.0366762-0.109095j 0.119932+0.0143298j -0.142769+0.0633089j 0.200425-0.00309852j 0.053411-0.192387j 0.00278143-0.045051j -0.0339132-0.0348945j 0.00888103-0.0097332j 0.0244017+0.0285233j 0.014769-0.0177327j -0.00807774-0.0131797j -0.0341177-0.00159403j 0.00954617-0.0163516j 0.0608601+0.00634919j 0.0220555-0.00449553j 0.0120667-0.000278041j -0.007398+0.00482747j 0.00854698+0.0251248j 0.00994526-0.0263029j 0.0228492-0.0292357j 0.015594-0.0274945j -0.0251338-0.0149049j 0.0210489-0.00560065j -0.0124183-0.0158773j 0.00861436-0.00183425j -0.00199911-0.0251979j 
0.0269997-0.0148423j -0.00500975+0.0206493j -0.0823109+0.0236083j -0.000324371+0.0635703j 0.00938104-0.0212305j 0.0853772+0.00737573j 0.350496+0.017199j -0.0895895+0.0497116j -0.152368+0.26106j -0.0366762+0.109095j 0.187807+2.33147e-15j 0.106376+0.0577475j -0.491104-0.0477159j 0.0485952-0.00151528j -0.0606869+0.05208j -0.0552241+0.00184756j -0.15195-0.000647464j -0.00524109-0.0225979j 0.125641+0.00909643j -0.0355846+0.0312069j 0.00898031+0.000561653j 0.0012941-0.0116782j -0.0397174+0.0308783j 0.0404647+0.0170904j -0.0145542-0.000820814j 0.0176309-0.0189491j 0.0597225-0.0153115j 0.0287022-0.0149695j 0.0032819-0.0227822j -0.00247501+0.0393233j -0.0157892+0.0116189j -0.0280082-0.0299206j 0.0111382+0.000440905j 0.00958791+0.0551066j 0.00105052+0.0203182j 0.00346097+0.0121355j 
0.0324199-0.037011j -0.0531441-0.0233077j 0.0365828+0.0853683j -0.0934299+0.00141006j 0.00150966-0.0428505j -0.0721241-0.121743j -0.014201+0.116881j -0.182899+0.0166782j 0.0505255-0.0447591j 0.119932-0.0143298j 0.106376-0.0577475j -0.0457047+7.10521e-15j 0.0837545-0.0254804j 0.0260433-0.196425j -0.0052052+0.0554632j 0.052838+0.080642j 0.0344711+0.0229761j 0.0470046-0.0241711j -0.011443+0.00943396j -0.0226201+0.00262518j 0.0253819+0.0148821j -0.00334348-0.014534j -0.00216273+0.00644501j -0.00130728-0.0175268j 0.015696-0.0175236j 0.011012-0.00987169j -0.00910111+0.00871722j 0.00514741-0.012256j 0.0249442-0.0021094j -0.0036042+0.00162218j -0.00211453+0.0075502j 0.0227116+0.00446236j 0.00650877-0.0203473j 0.00454739-0.00569097j -0.00879131+0.0143577j 0.00124205+0.01789j 
-0.00617146+0.00878319j 0.00103343-0.0176332j -0.085138+0.0362642j 0.0263388+0.0645855j 0.0174494-0.0301764j 0.283141+0.00491572j -0.181664+0.0756695j -0.0866593+0.288058j 0.100817-0.0765983j -0.142769-0.0633089j -0.491104+0.0477159j 0.0837545+0.0254804j -0.125887+1.19349e-15j 0.016089-0.0246181j -0.0461588+0.0201441j -0.250785+0.0256036j -0.0971962-0.0157406j 0.0458378-0.068676j -0.00737319+0.0150089j -0.0131397+0.0520509j -0.0783974+0.0277379j 0.0210242-0.0384955j -0.0180536+0.018328j 0.0200295-0.00534829j -0.0113925-0.00508548j -0.0132191-0.0190786j 0.0033415+0.00253369j 0.013643-0.00923398j -0.0231595+0.0121504j 0.00212238+0.0247494j -0.00555389+0.0104j -0.00525136+0.0290565j -0.0106635-0.0162715j 0.00961917+0.0461247j 0.00736028+0.00440799j 0.00844883+0.00304975j 
-0.0117532+0.0551112j -0.0255544+0.0143984j -0.0142985-0.0955185j 0.00800459+0.00806879j -0.00715762+0.00730529j -0.0420748+0.0715652j 0.0746832+0.679989j -0.018841-0.0295713j 0.354061-0.143654j 0.200425+0.00309852j 0.0485952+0.00151528j 0.0260433+0.196425j 0.016089+0.0246181j -0.0482764+1.27676e-15j -0.0874907-0.0213872j 0.0327376-0.0216102j 0.00985027-0.201916j 0.00474432-0.0497388j 0.00723338+0.190403j 0.00879377+0.01913j 0.0105525+0.0025963j -0.0129219+0.0106506j 0.0198006+0.000755219j 0.0443978+0.0355123j -0.00172692-0.0162497j 0.0149287+0.00856872j -0.006854+0.0177052j -0.0152979+0.00928013j 0.00924236-0.0104097j 0.0122141+0.0258326j 0.014354-0.00369187j -0.0136479-0.026217j 0.00576202+0.00719514j -0.00961106+0.00906123j -0.00374514-0.000634178j 0.000199582+0.0167891j 
-0.00721334+0.00819968j -0.0167274+0.00358214j 0.0354695+0.14754j 0.0135002-0.0429202j 0.00225175-0.00606451j -0.0728487-0.513968j 0.0543878+0.158087j -0.363873+0.193825j -0.0173788-0.0722747j 0.053411+0.192387j -0.0606869-0.05208j -0.0052052-0.0554632j -0.0461588-0.0201441j -0.0874907+0.0213872j 0.093221+1.11022e-16j 0.0532115+0.412311j -0.00444023+0.194569j 0.0471464+0.0161988j 0.0228113-0.0319766j -0.0403353-0.00350653j 0.0282546+0.0235271j 0.0024018-0.0101676j -0.0181854+0.00715384j 0.00539599-0.00866406j 0.0256151-0.0140994j 0.00343791+0.00585919j -0.00258396+0.00809233j 0.0235912-0.0087174j 0.0200632+0.00856077j 0.0098315-0.0134146j -0.00780625-0.0066967j 0.0268149+0.00596645j -0.00271485+0.00308363j 0.0116353-0.0174416j -0.00996977+0.00864788j -0.0071142-0.0288701j 
0.00314721+0.0062641j 0.00217344+0.0177825j 0.0208937+0.0221246j -0.0231051-0.0182146j -0.0253484+0.00133684j 0.0356564-0.0136669j 0.0178556+0.00451642j 0.0686563+0.0142823j 0.0627696+0.00422272j 0.00278143+0.045051j -0.0552241-0.00184756j 0.052838-0.080642j -0.250785-0.0256036j 0.0327376+0.0216102j 0.0532115-0.412311j 0.00176465-5.55112e-16j 0.00621604+0.0134653j 0.00639027+0.012993j -0.0122004-0.00800953j -0.00878687-0.00508906j 0.00972039-0.0039394j 0.0164771-0.000112424j -0.00134553-0.00620327j -0.026061+0.0093405j 0.0177273-0.00860055j 0.00782593-0.00242272j -0.042259+0.00976221j -0.0244448-0.0251692j -0.00686179-0.0068759j -0.0304923+0.0629449j -0.0827995+0.233763j -0.0390841-0.073605j -0.00886459+0.0109583j 0.276694+0.0806258j 0.0829364-0.191758j -0.077976+0.474716j 
-0.0159838-0.00328592j -0.0220285-0.0207393j -0.00466566+0.0051602j 0.00331214-0.00275517j -0.0100247-0.0375633j 0.0151751-0.00489613j -0.0253133-0.00296529j 0.0846597-0.0175303j -0.00480663-0.0281905j -0.0339132+0.0348945j -0.15195+0.000647464j 0.0344711-0.0229761j -0.0971962+0.0157406j 0.00985027+0.201916j -0.00444023-0.194569j 0.00621604-0.0134653j -0.0226947+1.11022e-15j 0.0243819+0.00816015j 0.0544058+0.00863265j 0.0173863-0.0151296j 0.0128917-0.0200145j 0.0182949-0.0177069j 0.0708334-0.00879308j 0.049652-0.0372778j -0.00923367-0.0780178j 0.0501668-0.0531106j 0.0238518+0.114473j 0.0639121-0.235561j -0.002554-0.0259049j 0.0216273-0.103033j 0.148514-0.0867303j 0.262615+0.151051j -0.0995081+0.120635j -0.0129461+0.0569078j -0.0921343+0.542729j 0.0708952+0.141206j 
0.00551676+0.00121953j 0.00212559-0.00833394j -0.0439442+0.00736933j 0.0493065-0.0129811j -0.0401357-0.00476263j 0.0858081+0.0503188j 0.048225+0.0342191j 0.0836018+0.0279828j 0.0830632+0.0348259j 0.00888103+0.0097332j -0.00524109+0.0225979j 0.0470046+0.0241711j 0.0458378+0.068676j 0.00474432+0.0497388j 0.0471464-0.0161988j 0.00639027-0.012993j 0.0243819-0.00816015j -0.0133353+2.498e-16j -0.0403041+0.0056238j 0.0624179+0.000932082j 0.0181112-0.0338476j -0.0467915-0.022775j 0.0784665-0.00319774j 0.0248554+0.0458946j 0.0179725-0.0643696j -0.0813852-0.0170422j -0.091934+0.0975347j -0.00826725-0.0179625j -0.0693585-0.0150281j 0.37848+0.105702j -0.310599-0.0548678j 0.00376163+0.0873731j -0.00023894+0.0157615j 0.0249427-0.420181j 0.117054+0.138722j -0.257254-0.0936103j 
-0.0141472+0.00771799j -0.0304473-0.00592262j -0.000657312-0.00772509j -0.00913972+0.00897115j 0.0150851+0.0157531j 0.009652+0.00599111j 0.00682807-0.00532938j -0.0262932+0.021456j 0.0267375+0.0162954j 0.0244017-0.0285233j 0.125641-0.00909643j -0.011443-0.00943396j -0.00737319-0.0150089j 0.00723338-0.190403j 0.0228113+0.0319766j -0.0122004+0.00800953j 0.0544058-0.00863265j -0.0403041-0.0056238j 0.0445466+6.4948e-15j -0.0745881+0.0359065j 0.0227589+0.0222066j -0.0422749+0.0277693j 0.0488854-0.0590515j -0.00324716+0.120227j 0.00472673+0.232654j -0.0171696-0.0853309j -0.0558979+0.0611465j 0.104013-0.119897j -0.30979-0.11448j -0.0404788-0.0359563j 0.0161406+0.0339408j 0.0145+0.058517j -0.0345006+0.647984j -0.00360136+0.0231003j -0.0609869-0.123184j -0.0464179-0.028525j 
-0.00373446+0.00729822j -0.00196626-0.0116048j 0.0310903+0.0163693j -0.00864697-0.00429045j 0.00257931+0.0259583j -0.0692571-0.0152165j 0.0232802+0.0148539j -0.103099-0.00818709j -0.0478332+0.0170588j 0.014769+0.0177327j -0.0355846-0.0312069j -0.0226201-0.00262518j -0.0131397-0.0520509j 0.00879377-0.01913j -0.0403353+0.00350653j -0.00878687+0.00508906j 0.0173863+0.0151296j 0.0624179-0.000932082j -0.0745881-0.0359065j -0.111187-8.60423e-16j -0.0344493+0.0639768j 0.142919+0.0339958j -0.0466275+0.038874j 0.042531-0.0153406j -0.077344+0.0755289j 0.34667+0.0661039j 0.133189+0.0786097j -0.230878+0.0219647j -0.0600847-0.101571j 0.0765983+0.0512367j -0.0102345+0.0202659j 0.0476123+0.440369j 0.117896+0.0677034j -0.0404856+0.0350578j 0.226287+0.11461j 0.105886-0.0950905j 
-0.0124657+0.00820859j 0.00545574-0.00199163j 1.50877e-05+0.0291931j -0.000183413+0.0244602j 0.0268233-0.00174352j 0.0509633+0.0146031j 0.0169654+0.00742531j 0.0371785+0.0389874j 0.0244682+0.0300575j -0.00807774+0.0131797j 0.00898031-0.000561653j 0.0253819-0.0148821j -0.0783974-0.0277379j 0.0105525-0.0025963j 0.0282546-0.0235271j 0.00972039+0.0039394j 0.0128917+0.0200145j 0.0181112+0.0338476j 0.0227589-0.0222066j -0.0344493-0.0639768j -0.00477838+3.05311e-16j -0.0248967+0.0113741j -0.078701-0.0846415j -0.0465617-0.0596006j -0.000671745-0.00332857j -0.14141-0.0354869j 0.0900844+0.0254701j 0.147701+0.00923096j 0.0286552+0.0519039j -0.0550691-0.0758132j 0.187842-0.140158j 0.0632528-0.0760484j -0.0567175-0.00253409j -0.342866-0.0624798j -0.14399+0.118934j 0.0345203-0.285867j 
0.0155651+0.00367939j 0.0116033+0.00677297j -0.0290489-0.0260988j -0.00409541+0.0263271j 0.00570019-0.00545084j 0.0196569+0.0652459j 0.000945103+0.0612072j -0.033927+0.0135988j -0.070265+0.0275782j -0.0341177+0.00159403j 0.0012941+0.0116782j -0.00334348+0.014534j 0.0210242+0.0384955j -0.0129219-0.0106506j 0.0024018+0.0101676j 0.0164771+0.000112424j 0.0182949+0.0177069j -0.0467915+0.022775j -0.0422749-0.0277693j 0.142919-0.0339958j -0.0248967-0.0113741j -0.129282+1.59595e-15j 0.248454-0.0225082j 0.292393-0.0178576j -0.0520058+0.000697338j 0.0368166-0.0205798j -0.116764-0.00175186j -0.0535523-0.0136789j 0.0586977-0.0358568j -0.348308-0.0951843j -0.0577942-0.0699481j -0.175567-0.0646688j 0.0212568+0.037556j 0.318785+0.109765j -0.0715437+0.078097j 0.0463529-0.122946j 
0.0114537-0.0339089j -0.00830622+0.0210151j 0.0126242+0.00209594j -0.00799134-0.0114009j -0.0107744+0.00720309j -0.018149-0.0185677j 0.020025-0.0219722j -0.0758692+0.0285262j -0.0180547+0.00752106j 0.00954617+0.0163516j -0.0397174-0.0308783j -0.00216273-0.00644501j -0.0180536-0.018328j 0.0198006-0.000755219j -0.0181854-0.00715384j -0.00134553+0.00620327j 0.0708334+0.00879308j 0.0784665+0.00319774j 0.0488854+0.0590515j -0.0466275-0.038874j -0.078701+0.0846415j 0.248454+0.0225082j 0.0555528+1.69309e-15j 0.0971025+0.0889059j -0.186314+0.0142279j -0.0603388+0.00415003j -0.00705095-0.04529j -0.115176+0.0352159j 0.171204+0.291904j 0.003926+0.0748543j -0.085193-0.0197478j -0.234128-0.0109044j -0.125749-0.150574j -0.0184271+0.00676195j 0.103589-0.175994j 0.0329814-0.107535j 
-0.00176427+0.020345j 0.00802719-0.0139903j 0.0078488-0.00595173j 0.00116375-0.00803645j -0.0104585+0.0367888j -0.0532918+0.038447j 0.0423042+0.0587804j -0.0559098-0.0214616j 0.0546127+0.0143663j 0.0608601-0.00634919j 0.0404647-0.0170904j -0.00130728+0.0175268j 0.0200295+0.00534829j 0.0443978-0.0355123j 0.00539599+0.00866406j -0.026061-0.0093405j 0.049652+0.0372778j 0.0248554-0.0458946j -0.00324716-0.120227j 0.042531+0.0153406j -0.0465617+0.0596006j 0.292393+0.0178576j 0.0971025-0.0889059j -0.104003-4.24383e-14j -0.109168+0.0429468j -0.217785-0.0591275j -0.00970451+0.114538j 0.148887-0.0913352j 0.081033+0.31421j -0.0439316+0.0390271j 0.0582437+0.00123066j 0.126108+0.0215458j -0.289709+0.0835512j 0.0389649+0.0409305j 0.0278128+0.139277j 0.0316124+0.0932916j 
0.0153374-0.00655583j -0.0136615-0.0218232j -0.0268772-0.0292598j -0.0162415+0.0151679j -0.0261445+0.00225923j 0.0145946+0.0696148j -0.00800362+0.106609j 0.0632976+0.0194746j 0.0788053-0.0019019j 0.0220555+0.00449553j -0.0145542+0.000820814j 0.015696+0.0175236j -0.0113925+0.00508548j -0.00172692+0.0162497j 0.0256151+0.0140994j 0.0177273+0.00860055j -0.00923367+0.0780178j 0.0179725+0.0643696j 0.00472673-0.232654j -0.077344-0.0755289j -0.000671745+0.00332857j -0.0520058-0.000697338j -0.186314-0.0142279j -0.109168-0.0429468j 0.0507932+4.31599e-15j 0.0117691+0.010502j 0.100874+0.0631864j 0.026366+0.118571j 0.0186485-0.0648519j -0.131398-0.0157674j 0.123982+0.036052j -0.0469234-0.0867546j 0.0734166-0.0602311j -0.100984+0.0812247j -0.0485-0.0967363j 0.0284254-0.0375145j 
-0.0214255+0.0164356j -0.0179252-0.00399401j -0.0139814-0.0263014j -0.0012146+0.0118029j 0.000962885-0.00662427j 0.0258777+0.0788557j 0.0357945+0.0204293j -0.0743882+0.0310991j 0.0123068+0.0329532j 0.0120667+0.000278041j 0.0176309+0.0189491j 0.011012+0.00987169j -0.0132191+0.0190786j 0.0149287-0.00856872j 0.00343791-0.00585919j 0.00782593+0.00242272j 0.0501668+0.0531106j -0.0813852+0.0170422j -0.0171696+0.0853309j 0.34667-0.0661039j -0.14141+0.0354869j 0.0368166+0.0205798j -0.0603388-0.00415003j -0.217785+0.0591275j 0.0117691-0.010502j 0.344551-4.25181e-15j -0.0283816-0.0156647j 0.121362+0.0200006j -0.240804+0.00528659j -0.0444861+0.023652j 0.0674554+0.00764211j 0.282998+0.0597371j -0.0717892-0.0713229j 0.142583+0.0313336j 0.0306235-0.0573825j 0.0273345-0.0697417j 
0.0075228-0.0261756j -0.0210481-0.0123185j 0.0247905+0.027245j 0.0162071+0.00264966j 0.0443417+0.00553878j -0.00380661-0.0337779j 0.022535-0.0354717j -0.0220487-0.0310494j -0.0326978+0.0283296j -0.007398-0.00482747j 0.0597225+0.0153115j -0.00910111-0.00871722j 0.0033415-0.00253369j -0.006854-0.0177052j -0.00258396-0.00809233j -0.042259-0.00976221j 0.0238518-0.114473j -0.091934-0.0975347j -0.0558979-0.0611465j 0.133189-0.0786097j 0.0900844-0.0254701j -0.116764+0.00175186j -0.00705095+0.04529j -0.00970451-0.114538j 0.100874-0.0631864j -0.0283816+0.0156647j -0.00196123+4.17721e-15j 0.0513573+0.00916227j 0.176257-0.00601098j 0.00826146-0.01162j -0.0162572-0.0128335j 0.116223-0.0730791j -0.0141291-0.212714j 0.0570166-0.0667942j -0.0109162+0.147388j -0.0277174+0.0720331j 
