0.0314332-6.59195e-17j -0.07118+0.00158489j 0.0335103-0.00126055j 0.0340246-0.00118719j -0.0248631+0.00143176j 0.0299676+0.00209503j 0.0140927-0.000755151j 0.0048295+0.00136597j -0.0309489-0.000135992j 0.0158318-0.00190981j -0.0666376+0.000441564j -0.0225404+0.00592773j 0.276346-0.00259865j 0.105097-0.00850392j 0.00646615+0.000315466j 0.104037+0.00599483j 0.120358-0.000916607j 0.00217394-0.000337635j -0.0372644+0.00265906j 0.0185871+0.000323806j -0.0398248+0.00198044j 0.0102769+0.000727303j -0.023725+0.00137444j 0.0168231-0.00299699j -0.0129399+0.00342796j -0.0148057-0.000222715j -0.0859263+0.00060954j 0.0138345+0.000340216j -0.00516728-0.00142929j 0.0131432-0.000656725j 0.00945766+0.00051008j 0.0103211+0.00268239j 0.035875-0.00285842j 0.0397006-0.00201839j 0.00198772+0.00229221j -0.0156434+0.00256772j -0.0962176-0.00112846j -0.027608-0.00220619j 0.0992646-0.00233302j -0.0636953+0.00720839j -0.0678595+0.00208695j 0.0149989+0.00451788j 0.110713+0.00991801j -0.0899908+0.0210254j -0.0507988-0.00132046j -0.120247-0.00245624j 0.0189494+0.00344513j -0.000772003+0.000138516j -0.0449264-0.00283683j 0.00362459+2.56811e-06j -0.00875234-0.00107868j 0.00445589-0.00090437j 0.00863769-3.81911e-05j 0.0153516-0.00316732j 0.0337744-0.00750118j -0.0172556+0.00226146j -0.00128475-0.0054624j 0.00302471-0.00249595j -0.0167284+0.00593851j -0.0386926-0.000277489j 0.026056+0.00194823j -0.0215494+0.00952474j 0.00850019-0.00510702j 0.00914716-0.00861029j -0.0017279+0.00114268j -0.000270526-0.00149818j 0.013857-0.00194572j 0.0344063+0.00765473j -0.0345583-0.00231113j 
-0.07118-0.00158489j -0.0073575-1.66533e-16j 0.0138328-0.0018175j 0.0114764-0.000142176j 0.00230889+0.000497824j 0.031182-0.00362113j -0.0187268-0.000531337j 0.00281826-0.00190875j 0.0135421+0.00275076j -0.000424517-0.00238802j -0.0120572+0.00332411j 0.126845+0.00311574j 0.088093-0.0100172j -0.31381+0.0010887j 0.0140961+0.00464263j 0.0945967-0.0054252j 0.0115316-0.00700728j -0.00182586-0.00027149j -0.0222795+0.0041095j 0.0147505-0.000960663j 0.0039706+0.000209686j -0.00867594+0.000448155j 0.019532+0.000539341j 0.006954-0.00276772j 0.067675-0.00257219j -0.0408006+0.00407621j 0.0085296+0.00532765j 0.0230324-0.00079915j -0.00879588-9.16344e-05j -0.000691176-0.0010885j 0.0158089+3.06269e-05j 0.00181987+0.000182004j 0.00235322-0.00351551j 0.0127328-0.00345169j 0.0728279-0.00126621j 0.0554011+0.00299034j -0.0102201+0.0070928j -0.00576176+0.00575958j -0.00744005-0.00401176j 0.101119+0.00471775j -0.0266037+0.00944708j 0.0863546-0.00177292j 0.120201-0.0120883j 0.199593+0.0029024j -0.0257785+0.0104771j -0.0830293+0.0101878j -0.0664858+0.0055891j 0.0032277+0.000826699j -0.0189682+0.00522105j -0.0138573-0.00106872j 0.0117401-0.00113515j -0.00323384-0.00168878j -0.00859635+0.00134335j -0.019242+0.00198524j -0.0503446-0.00213951j 0.0216833-0.00226048j -0.000217868-0.00729408j -0.00834158-0.001038j 0.0153618+0.00314646j 0.00328791+0.000597858j -0.00294654+0.000257071j 0.031792+0.000863544j 0.0296513-0.0109191j 0.0452414+0.00817994j -0.00778693-0.00107206j 0.00257336-0.00144978j -0.00223853+0.00948454j 0.0389496+0.00362657j 0.0328565+0.00636093j 
0.0335103+0.00126055j 0.0138328+0.0018175j 0.118834-1.95156e-15j 0.00394713+0.000272538j 0.000521174-0.000587458j -0.0896467-0.00430934j -0.0370088+0.00558099j -0.000808625-0.00416052j -0.114139+0.000191595j 0.0673179+0.0048234j -0.00261398+0.000444118j -0.370319+0.000873338j 0.0392643-0.00649307j -0.52553+0.00907343j 0.094127-0.00220546j -0.0774759+0.000665294j 0.0932844-0.00244488j -0.0355119+0.0012748j 0.0326166+0.00218051j -0.0149019-0.00132772j 0.0706792+0.000169919j 0.0245885-0.00196787j 0.0496362+0.00272125j 0.0223956+9.94295e-05j 0.0295243-0.00248829j -0.0133636-0.000367547j 0.0433635-0.00521748j 0.0039026-0.00221395j 0.0200805-0.000968419j -0.0249701-0.000365728j -0.0336777-0.00143436j -0.0202472-0.000713423j -0.0279866-0.00232352j 0.0712169-0.00178371j 0.0256253-0.00778962j 0.106576-0.00182258j 0.0448183-0.0016102j -0.0535173-0.00288074j 0.0313717+0.00222588j -0.0568388+0.00664025j -0.0158262+0.00259869j 0.0315086+0.00381347j -0.049926+0.0077216j -0.0766169+0.00551563j -0.0634197-0.00382008j 0.0113481-0.00280291j 0.0215312+0.00430908j 0.00896898-0.00281113j -0.0233879-0.00454909j -0.00267614+0.00200221j -0.0144571+0.00175174j -0.00544739-0.000790192j -0.0130454-0.00122843j 0.00751651-0.00327465j 0.0551708-0.00493484j 0.00124892-0.000938492j 0.0113798-0.00545621j -0.00902415+0.00539039j -0.01919+0.00753363j 0.00286056-0.00279817j 0.0126708+0.0140593j -0.0298382-0.00483318j -0.0129481-0.000121802j -0.0314848-0.00170128j -0.00285151+0.000165006j 0.00635389-0.00305225j 0.020256-0.00258958j -0.00363916+0.00328103j -0.0288782-0.00319331j 
0.0340246+0.00118719j 0.0114764+0.000142176j 0.00394713-0.000272538j -0.128129-2.52272e-15j 0.121954-0.00108639j -0.0231407+0.000329393j 0.0575162+0.00376338j 0.0436511-0.00150844j -0.272315+0.000575484j 0.254963+0.000327877j -0.174836-0.000621618j -0.0258732-0.00124033j -0.36234+0.000546998j 0.283392+0.00554358j -0.0165103-0.00375637j -0.333098+0.00486314j -0.0245448-0.00372079j 0.0315155-0.000473657j 0.0373941-0.00542638j 0.0347807+0.00041549j -0.0340797+0.000853662j 0.0406107+0.00503926j 0.0185394-0.00391747j 0.00167829-0.00238114j -0.0653223+0.00439078j 0.0157375+0.00167381j 0.00987591-0.00217901j -0.0432997+0.0012682j 0.0122775-0.00189807j -0.0150902+0.00282217j -0.0438446-0.00261273j -0.0685851-0.0060602j 0.0203288+0.00213644j -0.0012207-0.00718279j -0.10002+0.00330599j -0.00998569-0.00485097j 0.00753767-0.004009j 0.0522426-0.00593554j -0.077534-0.00633027j 0.0125713-0.00148708j 0.051784-0.0114738j 0.021019+0.00277339j 0.119212-0.00764479j 0.0146065+0.000653803j -0.124775+0.00216859j -0.023622+0.00248547j -0.0317757-0.00658247j -0.00791484+0.00282213j -0.033345+0.00288822j 0.0183754-0.000261801j -0.0136589+0.00472044j -0.0134633+0.00263613j 0.0124758-0.00421223j 0.0315932-0.00724358j -0.0136914-0.00470147j -0.0122639+0.00712613j -0.000625174+0.0048843j -0.0170975-0.00395109j -0.0162758-0.00175111j -0.0284998+0.00601764j -0.0263171-0.00591356j 0.0293243+0.00622772j 0.034644-0.00295964j 0.0186296+0.00642909j 0.000166181-0.000900812j 0.00293053+0.00407506j 0.0186074+0.0033247j 0.0385335+0.00558193j -0.00170211+0.00269336j 
-0.0248631-0.00143176j 0.00230889-0.000497824j 0.000521174+0.000587458j 0.121954+0.00108639j 0.0565963-2.94122e-15j 0.0210535-0.00244205j -0.174343+0.000631404j 0.0518441-0.00183343j 0.0427535-0.00067053j -0.255351+0.00134673j -0.747818+0.000477146j -0.0314972+0.00291469j -0.183038-0.000501899j -0.0753841-0.00116344j -0.0973418+0.00326671j 0.0447419+0.00310391j 0.170972+0.00177144j -0.136807+0.000535436j -0.0758115+0.00147184j 0.0865916-0.00402997j 0.0645109-0.0041158j -0.00723583-0.00197164j -0.0652214+0.00187899j 0.0269104-0.000899544j 0.0213671-0.00203245j -0.00342231-0.00190858j -0.000804207+0.000617571j 0.0404924+0.00278401j -0.0325823+0.000192858j -0.00734798-0.000533154j 0.0517516+0.000922573j -0.0401338-0.0022598j 0.0235642-0.000535237j 0.0722281+0.00146322j 0.0127997+0.00020412j -0.0484611+0.000925373j 0.0452369+0.0015735j 0.0867452-0.00358624j 0.00739447+0.00279543j -0.011407+0.00443342j -0.0193865+0.00363374j -0.0160756-0.00138832j -0.0428826+0.000824954j 0.0311497+0.00123462j 0.0487176-0.000920601j -0.0229482-0.00316086j 0.031259-0.0007039j -0.0188605+0.00143918j -0.00231444-0.000206257j -0.00354897-0.00181424j 0.000761753+0.00430205j -0.0139555+0.00340205j 0.00214173-0.00657234j 0.0028694+0.00557702j -0.0201055-0.000528045j 0.0177433-0.0050803j 0.0169167-0.00268517j 0.00593496-0.00142612j -0.011292-0.00675994j -0.012391-0.00337928j 0.0149409+0.00438942j -0.0235848+0.00521753j 0.00883115+0.00317493j -0.00844738-0.00712814j 0.00256665-0.000162032j -0.00501312+0.00233631j -0.0134789-0.00252365j -0.00901186-0.00220954j 0.00497984-0.000688353j 
0.0299676-0.00209503j 0.031182+0.00362113j -0.0896467+0.00430934j -0.0231407-0.000329393j 0.0210535+0.00244205j 0.0589341+8.53896e-15j -0.0318367-0.00775037j -0.0860356+0.0048999j 0.104433-0.0038762j 0.495588-0.00320056j -0.0917748-0.00124968j -0.154099-0.000507404j -0.239391+0.00356615j -0.341283-0.00719658j 0.0275622-0.00295116j -0.181758-0.00114095j -0.0567556+0.000841572j 0.0321228-0.000571546j -0.0256225-0.000276727j -0.0457919+0.00171263j 0.0693415+0.00354743j -0.00617213-9.44833e-05j 0.0626861+0.000754874j 0.0293341+0.00105782j 0.0626971+0.00381181j -0.0285644+0.000786921j 0.126077-0.00373014j -0.0280045+0.00183287j 0.0260243-0.000578849j -0.0104127+0.000117905j -0.00678741-0.000606173j -0.0503033-0.000890479j -0.00652628-0.00187522j 0.0175352+0.00144976j 0.00147658-0.00231284j 0.0378778+0.000734203j 0.0410747+0.00251645j 0.0184589+0.000242454j -0.0350451+0.0033896j 0.0119228+0.00321327j 0.0238847-0.0044199j 0.0306091+0.00572241j -0.0285393-0.0005992j 0.032679+0.00071289j -0.0339802+0.00288496j 0.0464722-0.00285967j -0.0296495-0.00125674j -0.00213196+0.00540657j -9.31225e-05-0.00079215j 0.00668866-0.00402695j 0.00109098-0.00120905j 0.00496693+0.000475832j -0.00917096-0.00066488j -0.0065173-0.00276488j 0.00659124+0.00128876j 0.00720903+0.00288604j 0.00922938+0.00190106j -0.00628993+0.00122719j 0.00203379+0.000610325j 0.0224152+0.000555431j -0.014892-0.0016054j 0.00565156-0.00414904j -0.00202179+0.00126437j -0.0125112+0.00704092j -0.00476657-0.000549459j 0.00308443+0.000671316j 0.000471671+7.11168e-05j 0.000369096-0.00228979j -0.00464375-0.00173765j 
0.0140927+0.000755151j -0.0187268+0.000531337j -0.0370088-0.00558099j 0.0575162-0.00376338j -0.174343-0.000631404j -0.0318367+0.00775037j 0.491296+1.24501e-14j -0.387355+0.00483746j 0.140436-0.00109596j -0.359179-0.00234351j -0.0224808+0.000361202j -0.291633+0.000119798j -0.320596+0.00198736j -0.0508594-0.00167563j -0.0136069-0.00187699j 0.0482787-0.00394984j -0.183619-0.00112653j 0.148608+0.000830421j -0.0303582+0.00179415j 0.0448142+0.0016719j 0.0166868-0.00408843j -0.0931474-0.0019381j -0.0163659-0.000727631j 0.0478646+0.00251042j -0.107857+0.00165282j -0.0263928-0.00379606j -0.0280128+0.00448259j 0.0109993+0.00223001j 0.00898982+0.00100591j -0.01561-0.000598266j -0.0389381+0.00361451j 0.0349085+9.99198e-05j -0.00669942+0.00201016j -0.0256671+0.00403139j -0.0844308-0.0027385j -0.0535657-0.00132248j 0.015212-0.000729512j -0.0922709+0.00257348j -0.0413326-0.000384388j 0.0406633-0.000215224j 0.0706599+0.000228104j -0.0715733-0.00130732j 0.00252391-0.00170322j -0.00676376+0.00077993j -0.0544345+0.00247946j -0.0108889+0.00442482j 0.00624737-0.00635289j -0.00189948+0.00052747j -0.0124028+0.000610144j 0.019307-0.000802622j 0.00293027+0.00439446j -0.00762859+0.00180823j -0.00780395-0.00527268j -0.0140897+0.00461216j 0.014863-0.00663708j 0.00443513-0.00495801j -0.00452492-0.00079288j 0.0164361+0.00382557j 0.0166341-0.00360708j 0.00872736+0.00735865j -0.018844-0.00116814j 0.0284619+0.00399346j 0.0108874-0.00176673j 0.000868619+0.00654402j 0.000367463-0.000682054j 0.0007775+0.00140508j 0.00482697+0.000987539j 0.0156195+0.00110685j -0.00667247-0.000908084j 
0.0048295-0.00136597j 0.00281826+0.00190875j -0.000808625+0.00416052j 0.0436511+0.00150844j 0.0518441+0.00183343j -0.0860356-0.0048999j -0.387355-0.00483746j -0.260731-4.16811e-15j -0.593378-0.000638848j -0.353295+0.000178171j 0.263348-0.000391387j -0.144377+0.00174789j -0.140662-0.00232794j -0.039969-0.00340366j -0.0392272+0.00280171j -0.0836885+0.00347905j 0.054975+0.00266605j -0.0738419-0.00403961j 0.0987492+0.000815456j 0.0350857-0.00221583j 0.0639435-0.00640693j 0.0509433-0.0042501j 0.00082767+0.000759076j -0.0906451+0.00087505j 0.00182164-0.00272481j 0.000459352-0.00390664j -0.0342405+0.0017933j 0.00586838-0.000213105j -0.0391089+0.00169762j -0.0328565-0.000460991j -0.0266526+0.000881481j -0.00165921-0.000616526j -0.0299577-9.65283e-05j 0.00395802+0.00105304j -0.0131615+0.00230918j 0.0583439-0.00100769j 0.0555985+0.00149108j -0.0121061+0.000189035j -0.0809498-0.00129338j -0.0114787-0.00206534j -0.0202174-0.000306299j -0.0149713-0.0017947j -0.00430236-0.00296792j 0.0406492+0.00106813j -0.0112409-0.00283848j 0.0346056+0.000712899j -0.00399455-0.00608898j 0.00163933-0.00234873j -9.66183e-05+0.00308256j -0.0149003+0.00705457j -0.0166364+0.00264072j -0.0106659-0.00156987j 0.00510208+0.00203751j 0.00886894+0.000243682j -0.0266776-0.000520758j 0.00929123-0.000195308j 0.000680829+0.00180542j -0.00835864-0.00225543j -0.0101664+0.00176524j -0.00428642+0.00306028j -0.0166071+0.00636223j 0.00404741-0.00197325j 0.0125574+0.00304863j -0.00858492+0.003993j 0.00738046-0.000606416j 0.000117207-0.00116541j -0.0172926-0.000559192j 0.00525723-0.00216555j 0.00655596-0.000626455j 
-0.0309489+0.000135992j 0.0135421-0.00275076j -0.114139-0.000191595j -0.272315-0.000575484j 0.0427535+0.00067053j 0.104433+0.0038762j 0.140436+0.00109596j -0.593378+0.000638848j -0.331035+1.08055e-14j 0.130146-0.00106953j -0.275659-0.000673294j 0.212129-0.00127076j 0.338479+0.00453468j -0.057942+0.000869579j 0.129801-0.00111326j 0.100633-0.00319505j -0.0268838-0.000832063j 0.019111+0.00367093j -0.0377336-0.00428205j 0.0542884+0.000464358j -0.0446253+0.00893712j 0.0361036+0.0071039j -0.0282981+0.00103485j 0.0756859-0.00444482j -0.0131637+0.00311743j -0.105444+0.00812254j 0.0578735-0.00249957j 0.0508062+0.00271048j 0.00639014-0.00183922j -0.0162623+0.00104576j -0.0349822-0.00196473j -0.0257914-0.00151797j 0.0852602-0.00160113j 0.0282839-0.00349017j -0.0137843+0.00113831j 0.0710431+0.00200135j -0.0557831-0.00141695j 0.0302219-0.000258783j 0.0409125+0.00206682j -0.0189112+0.000915427j -0.00298477-0.000999528j 0.0358923+0.0018482j 0.00365308+0.00408271j -0.016554-0.00396628j 0.036089+0.00338623j -0.0228907-0.00167361j -0.00873892+0.00891931j -0.0116739+0.00691023j 0.0165548-0.0014829j 0.000148835+0.00359551j 0.0123303-0.00119353j 0.00560716+0.000475712j -0.0108368+0.000104268j -0.0196626+0.00338692j 0.0146208+0.00226938j 0.00094011-0.000652614j 0.00859499-0.00196444j 0.00943418-0.00378895j 0.00138969-0.00389886j 0.00355013+0.000791809j -0.0059323+0.00491088j 0.00262584-0.000223756j -0.016523-0.00154798j 0.00220065-0.00350492j -0.00465191-5.41407e-05j 0.000246713+0.000756752j 0.00164387+0.00134795j -0.0144287-0.000531922j 0.00133082+0.00192793j 
0.0158318+0.00190981j -0.000424517+0.00238802j 0.0673179-0.0048234j 0.254963-0.000327877j -0.255351-0.00134673j 0.495588+0.00320056j -0.359179+0.00234351j -0.353295-0.000178171j 0.130146+0.00106953j 0.235593+7.78894e-15j 0.0648358+0.00162079j -0.12003+0.000159268j -0.15107-0.00189897j 0.24898+0.00226137j 0.0482659-0.00374673j 0.135238-0.000108394j -0.00408578-0.00233604j -0.0473991+0.00286365j -0.0961612+0.00740325j -0.107869+0.00324466j 0.131852-0.000234622j -0.0219741-0.00656123j 0.0419665-0.00233202j -0.0113966+0.00224487j 0.0694234+0.000955972j 0.00052034-0.00422995j 0.00902799+0.00231808j -0.0485149+0.00159261j -0.0207453+0.00168599j 0.0165718-0.00125765j 0.0045833+0.0037951j 0.012282+0.00359411j 0.00434172-0.00419327j 0.0450602+0.00526497j -0.0529791-0.00596202j -0.0299022-0.00116946j -0.00558012+0.0020324j -0.0175764+3.72487e-05j -0.016265+0.00591988j -0.022492+0.00552287j -0.0185033+0.00586858j -0.029442-0.000413914j 0.00709328-0.00110589j -0.00453562+0.00421099j 0.0493893+0.00152444j 0.0131049-0.00273j -0.00778186+0.00290188j -0.00517802+0.000601505j -0.00496958+0.000995942j 0.00565559+0.00481548j -0.00464797-0.00207242j 0.0155607-0.00130995j -0.00275019+0.00475666j -0.0118108+0.00102056j 0.00874252+0.000744694j -0.00217037+0.00224025j 0.00519905+0.00290411j 0.0153219-0.00769154j 0.00586158+0.000814063j -0.0112266+0.000803757j 0.00853242-0.00467223j 0.00210463+0.00244412j -0.00271295-0.000111772j -0.00955749-0.00558851j -0.00241857+0.00049646j -0.00111226-0.000799292j 0.000261996-0.00255434j -0.00220141+0.00178916j 0.00542447-0.00144446j 
-0.0666376-0.000441564j -0.0120572-0.00332411j -0.00261398-0.000444118j -0.174836+0.000621618j -0.747818-0.000477146j -0.0917748+0.00124968j -0.0224808-0.000361202j 0.263348+0.000391387j -0.275659+0.000673294j 0.0648358-0.00162079j -0.12266-1.34797e-14j 0.0946997-0.000831185j -0.139189+0.000291572j -0.034804-0.000265261j 0.143734+0.00296143j 0.157612-0.0024744j 0.0538983+0.000235924j 0.234141+3.13116e-05j 0.0623667-0.00271399j -0.0370993-0.00349126j 0.0659443-0.000931243j 0.0751109+0.00394063j -0.00119828+0.00426163j 0.00500006-0.00437022j -0.0188997+0.000303908j 0.0893612+0.00256407j -0.00646038-0.000123826j 0.0550299+0.00357981j -0.0258217-0.00241822j -0.00763795+0.000377137j -0.00475795-0.000704574j -0.00161916-0.00450686j 0.0733786-0.00291661j 0.0351133-0.00397629j 0.0147974+0.000314796j -0.00459726+0.00146311j -0.0203899-7.62906e-06j -0.0399772-0.000579547j -0.0445319+0.00245855j 0.0383035+0.000568208j 0.0232577-0.00191948j 0.000977831+0.00281086j -0.00985732-0.000466183j -0.0582328-0.00151409j 0.0323536+0.00111213j -0.0341857-0.00014112j 0.0038805-0.00433689j 0.0114589-0.00823056j 0.0194935+0.00246476j -0.00144882+0.00177214j 0.00184614-0.00153836j 0.0105436-0.00507045j -0.00588936+0.00855488j -0.0144284+0.00321798j 0.00777659+0.00347654j 0.00229743+0.00134644j 0.00568062-0.00101963j 0.0168975-0.00351918j 0.0192718+0.00431856j -0.00472437+0.000777021j 0.0133771-0.000109427j 0.0130593+0.00280989j 0.00588472-0.00052308j -0.00210885-0.00141996j 0.00284377-0.000542271j 0.000464273-0.00390599j 0.000192821+0.00081673j -0.00463537-0.000165635j -0.00356961+0.000183024j 
