1-1.61559e-27j 0.145681+0.00266325j 0.0275921+0.0305364j 0.0545681+0.0186238j -0.0193421+0.0567958j 0.0367958-0.0314446j 0.00026575+0.00858529j 0.014494-0.023647j 0.0129581+0.0125574j 0.0345312-0.00234494j -0.0361026-0.00918739j -0.00454743-0.0368696j -0.0202564+0.0314599j -0.0194384-0.0187885j 0.00349708+0.0126992j 0.00257137-0.00319996j -0.00826778-0.000773272j 0.00766807-0.00682545j -0.00101482-0.00108864j -0.00048103-0.000278594j -0.0139619-0.0173473j 0.0121376+0.000528349j -0.0109024+0.0241903j -0.000769782+0.00189834j -0.000857504+0.00111016j -0.00885466-0.000591603j 0.0358255-0.0017659j 0.00548615-0.0212824j 0.0110969-0.0115354j 0.014391+0.0264795j -2.66378e-05+0.000182245j -0.00198238+0.002586j -0.00580637+0.0190536j -0.0161897-0.0116373j 0.00980559-0.00882263j -0.00624625+9.92344e-05j 0.00540335-0.00335088j -0.00421976-0.00366699j 0.00561632+0.000902219j -0.000345801-3.29536e-05j 
0.145681-0.00266325j -0.0205263+1.25767e-16j 0.107637+0.0643727j -0.0553474-0.000901253j 0.0161849-0.112311j 0.0697381-0.067457j 0.0162932+0.0478327j 0.0217587-0.0252848j 0.0093465+0.00842074j 0.00864292+0.033117j 0.0115463+0.0136456j -0.0190626+0.0604285j 0.00324284+0.0161829j 0.0129102-0.00824119j -0.0171389+0.0461052j 0.00921474-0.0215629j -0.0217944-0.000985593j 0.0110795-0.0175581j 0.018183-0.0192169j 0.00405095-0.00398265j -0.00805667-0.0150626j 0.00353476+0.0148235j 0.0057865-0.00132135j -0.000573353-0.0135167j 0.0126546+0.00149543j -0.0109412-0.00109435j -0.00129641-0.00248796j -0.0130802-0.00940755j -0.0169166+0.0108366j -0.0229866-0.0303638j -0.0096951+0.00626031j 0.00136121-0.010069j -0.00112382+0.0168604j 0.00352662-4.55855e-06j 0.0164461+0.00769334j -0.0118998-0.00816895j -0.0129049-0.0131367j -0.00162121-0.019883j 0.0202642+0.0205685j -0.00670137-0.00916606j 
0.0275921-0.0305364j 0.107637-0.0643727j -0.158311-3.63876e-14j 0.342414+0.0829169j 0.249696+0.108032j -0.130776+0.473467j -0.00236715+0.0234473j -0.080965+0.0450247j -0.054072+0.00294203j 0.0287594-0.025925j -0.105912-0.0444361j 0.0631558-0.0383321j 0.0320517-0.0359098j 0.00841376+0.118364j -0.0269009+0.0534569j 0.00977841-0.0265975j -0.00378908-0.00274929j 0.00377901+0.0157647j 0.0189748-0.0214974j 0.0266358-0.00533019j -0.0171157+0.0101973j -0.0203371+0.00765671j 0.0159766+0.0116638j 0.00755288+0.0175527j -0.0295951-0.00678718j -0.028804-0.0210498j -0.00266893-0.011413j 0.0369852+0.0157717j 0.0247861+0.0133147j -0.0177424+0.0160216j -0.00574117-0.0032967j 0.00876935+7.36561e-05j -0.00358677-0.0100097j -0.0254943+0.0421447j -0.0122096-0.0335539j 0.0278094+0.0649284j 0.0148659+0.0368238j -0.0295432-0.0315143j -0.0248593+0.0447191j 0.0075152-0.0322791j 
0.0545681-0.0186238j -0.0553474+0.000901253j 0.342414-0.0829169j 0.256875+9.24538e-14j 0.00838848-0.477837j 0.220161+0.124248j 0.0147825-0.0480126j 0.0577669-0.00375422j 0.0906126+0.00561745j -0.0188188+0.064521j -0.00788465+0.072242j 0.00786742+0.0246465j -0.00591413+0.0322833j 0.00735669+0.024244j -0.0269468-0.0152088j -0.004194+0.0317605j 0.000503433-0.00256451j -0.0138531-0.0115122j 0.0199356+0.0171105j -0.0409525-0.00243446j 0.0162448-0.013619j 0.0247678-0.00229562j -0.0191567+0.000925749j -0.00563928+0.0240865j -0.02663-0.0131877j -0.0836746-0.0166751j -0.01133-0.00409557j -0.00691588-0.0233941j -0.00561339+0.015784j -0.000699591-0.0495473j 0.0177817-0.010829j 0.0325426+0.0306267j 0.0132089+0.0137786j 0.00128011-0.0260437j -0.000998694-0.012532j 0.0248505-0.017995j -0.00223088+0.0305958j 0.0166126-0.00811389j -0.000213275-0.00812324j 0.00230976+0.0158945j 
-0.0193421-0.0567958j 0.0161849+0.112311j 0.249696-0.108032j 0.00838848+0.477837j 0.0141519-4.39926e-15j -0.421915-0.0664117j 0.0512415-0.021399j 0.076957-0.0016916j 0.0242945+0.0129758j 0.018102+0.0146186j -0.0108338+0.0635629j -0.00901644+0.065087j 0.00959683-0.0173097j 0.0210423-0.0561167j 0.0311765+0.0430502j -0.0110217-0.00608659j -0.00948712-0.00951308j -0.000869379+0.00388032j 0.0134662-0.0464815j -0.0375473+0.0102478j 0.0165116-0.00256755j 0.0150629+0.00119774j 0.00275613-0.00188142j 0.0270788+0.0105486j -0.0048343-0.0254977j 0.024743-0.0376313j 0.00368082-0.0183848j -0.00150003-0.031995j 0.0260295-0.00636331j -0.00677928-0.0320168j -0.00593928+0.0281299j 0.0032018+0.00446381j 0.00303309+0.000621802j -0.00530534-0.0126827j -0.042272+0.00801102j -0.0497148-0.00733834j 0.0104874+0.03651j -0.01106+0.00700861j -0.00379086+0.0296735j -0.00728349-0.0066875j 
0.0367958+0.0314446j 0.0697381+0.067457j -0.130776-0.473467j 0.220161-0.124248j -0.421915+0.0664117j -0.0661257-3.09752e-14j 0.062867-0.0165232j -0.0429668-0.0166557j -0.0379132+0.0840099j -0.0197328-0.0369774j -0.00477201-0.00843745j 0.00278379+0.0153528j -0.032143-0.0235847j -0.000172361-0.00591528j 0.0269682+0.00898176j -0.0256206-0.0550299j -0.00264217+0.00476546j 0.0197564-0.0218501j -0.0179024+0.0480354j -0.027375+0.0249481j 0.00233706+0.0120188j -0.0130257+0.0295312j 0.0197945-0.00866655j -0.0219322-0.0112792j 0.00544735+0.00480863j -0.0487027+0.0231722j -0.0171669+0.00496552j 0.0210002+0.00201272j -0.00194976-0.00393985j 0.000538282+0.01605j 0.0136745-0.0217924j 0.00501744+0.00886449j -0.0172946+0.00432787j 0.00822536+0.0164152j 0.0099568-0.00156371j -0.0200356+0.0148876j -0.0226181-0.0172349j -0.0127591+0.0123369j -0.00291167+0.011905j -0.00648284-0.0162796j 
0.00026575-0.00858529j 0.0162932-0.0478327j -0.00236715-0.0234473j 0.0147825+0.0480126j 0.0512415+0.021399j 0.062867+0.0165232j -0.0121643+1.11022e-15j -0.0317129-0.0367836j 0.0797972-0.0135225j -0.0757892+0.0098343j 0.0994019-0.0654752j 0.0541139+0.0749858j -0.179525+0.0357018j -0.362703-0.158172j 0.204651-0.56138j -0.0221917+0.050411j 0.0489606+0.000213503j -0.00746741+2.50204e-05j 0.0118272+0.00211371j -0.012569+0.0383611j -0.0237323-0.0388069j 0.0448724-0.00505519j -0.0383803-0.00718121j 0.00966186-0.0159197j 0.0208395-0.0593517j -4.72034e-05-0.00555554j -0.0239116+0.00312313j -0.0917307+0.0313093j -0.0398339-0.0528614j 0.0322664-0.034225j -0.0120166+0.0656878j -0.0143402+0.0336886j 0.00584164+0.0216088j 0.122899-0.061367j 0.13707+0.0484656j 0.0103772-0.13626j 0.0884851-0.00618289j -0.0379387+0.0283007j 0.082612-0.217761j 0.00553179-0.119514j 
0.014494+0.023647j 0.0217587+0.0252848j -0.080965-0.0450247j 0.0577669+0.00375422j 0.076957+0.0016916j -0.0429668+0.0166557j -0.0317129+0.0367836j 0.0267544-1.11022e-15j 0.152057-0.0880059j -0.144948+0.126221j 0.334078+0.0593j -0.0258126-0.0573033j 0.0790917+0.504182j 0.165449-0.242513j -0.26306+0.0723004j 0.0137505+0.0273842j 0.0392961-0.000730929j -0.0196146-0.000678093j -0.0254464+0.00190121j 0.00365807+0.0573867j 0.0861915-0.0507706j 0.0460463-0.0216998j -0.0100518+0.0082518j 0.0119982-0.0442057j -0.0104058-0.0571625j -0.012571+0.0295559j -0.0177895-0.00380191j -0.0956943-0.0521683j 0.0716084+0.0555791j 0.0862063-0.0420877j 0.00203223+0.0295257j 0.0465531+0.0528576j -0.00870937+0.0321203j 0.00904082-0.0994536j -0.0604186+0.12097j -0.0443313-0.0544893j -0.0444228+0.0788145j 0.0410955+0.0222064j -0.00263994-0.0764306j -0.0153584+0.0602211j 
0.0129581-0.0125574j 0.0093465-0.00842074j -0.054072-0.00294203j 0.0906126-0.00561745j 0.0242945-0.0129758j -0.0379132-0.0840099j 0.0797972+0.0135225j 0.152057+0.0880059j -0.137388-5.45397e-15j 0.115477-0.0119963j 0.0109688+0.0744644j -0.28422-0.166957j -0.0369612-0.219355j -0.0762593+0.0817698j -0.346661-0.268492j 0.0401251+0.0214338j -0.0663011+0.00663125j 0.00421637-0.0187204j -0.00345185-0.00792783j 0.0229283-0.0232173j 0.0655086+0.0383353j -0.0549435+0.0079804j 0.0564416+0.00438724j -0.0269879+0.019453j -0.0354712+0.00998755j -0.0177737-0.0116516j 0.0128909-0.0181024j 0.0358671-0.00207067j 0.112595+0.0586485j 0.00875535+0.0556024j 0.0391574+0.00646173j 0.0139922-0.0152801j 0.0131188-0.0366235j -0.0484984+0.0417201j -0.0381334-0.0372491j -0.0864252-0.0609455j -0.0305213-0.0352476j -0.0159331-0.0773359j -0.108608-0.0773374j 0.0786251-0.00189879j 
0.0345312+0.00234494j 0.00864292-0.033117j 0.0287594+0.025925j -0.0188188-0.064521j 0.018102-0.0146186j -0.0197328+0.0369774j -0.0757892-0.0098343j -0.144948-0.126221j 0.115477+0.0119963j 0.206056-3.97321e-14j 0.0895043-0.118123j -0.263786+0.412536j -0.418299-0.138132j -0.123094+0.0154407j -0.107716-0.0112808j -0.017385-0.0169509j 0.0579888+0.000803285j -0.00188814+0.00624536j -0.0261884+0.0291971j -0.0122741+0.021008j -0.0323009-0.0276026j 0.052343-0.0124543j -0.0139921-0.0382138j 0.00361775-0.00794061j 0.0510156+0.014764j -0.0298562-0.00716437j -0.0242542+0.0473919j -0.0108033-0.0169331j 0.0474472-0.0994772j 0.0302138-0.0540381j -0.0392875+0.00333746j -0.023279-0.0318435j 0.000723245+0.0722319j 0.0395895+0.058724j -0.0249109+0.0556037j -0.0444351+0.043484j -0.00256296+0.0372719j 0.0664716+0.0521118j 0.0337803+0.0569729j -0.0402947+0.00391941j 
-0.0361026+0.00918739j 0.0115463-0.0136456j -0.105912+0.0444361j -0.00788465-0.072242j -0.0108338-0.0635629j -0.00477201+0.00843745j 0.0994019+0.0654752j 0.334078-0.0593j 0.0109688-0.0744644j 0.0895043+0.118123j -0.0711168+1.91448e-13j 0.0675457+0.413932j 0.170858-0.00909713j -0.38175-0.0337404j -0.0172307+0.030831j 0.0336549+0.00891707j -0.101588+0.00931747j 0.046657+0.00352184j 0.0341725+0.0202244j 0.0398259+0.0442972j 0.10991+0.00842014j 0.0133355+0.00335453j 0.0627904+0.00339982j -0.0298002+0.00390989j -0.0622019-0.0085188j 0.0349006+0.00410407j -0.00541497-0.0251307j 0.0381332-0.104847j 0.0258473-0.0541716j -0.0358655-0.0591758j 0.0429821-0.00755468j 0.018658+0.019104j -0.0154327-0.00509313j -0.0634319+0.00520502j 0.0101132+0.0867838j -0.0275078+0.0124604j -0.00176732+0.00937709j -0.0291385-0.000514967j -0.0241664+0.0571547j 0.0470315-0.0101548j 
