-6.23156e-05+6.85216e-17j 0.00214404+4.43027e-05j 0.000519973+0.000182672j 0.00460165+0.000130633j -0.000132173+0.00015867j 0.000620213-0.000269002j 0.00171478+0.000171818j 0.00397023+8.61133e-05j 0.00011763+0.00040035j 0.000919399-0.000485279j -0.00404847-0.000221914j 0.0095175+0.00052759j -0.00595374+0.00122101j -0.0205282+0.000600987j -0.89749+0.0105748j 
0.00214404-4.43027e-05j -0.00916277+4.11997e-17j -0.000235168-0.000494614j -0.0146345-7.21607e-05j -0.00140376-7.42329e-05j -0.00182508+0.000542519j -0.00191573-0.000410129j -0.0127081-2.38693e-05j -0.000297915-0.000314578j -0.00388266+0.000745095j 0.00265475+0.000242175j -0.0240487+0.000650569j -0.00236913+0.000437115j -0.92439+0.00512999j -0.0198496+0.00059532j 
0.000519973-0.000182672j -0.000235168+0.000494614j -0.00544607-3.0117e-15j 0.00100367+0.000359492j -0.0033552+0.000493959j 0.0109428-6.07365e-05j 0.000323111-0.000643286j 0.000723673+0.000428267j -0.00661394-0.000295108j 0.014604+0.000157756j 0.0017634+0.000124064j -0.0007159+0.000491971j 0.939143-0.00310585j 0.00333143-0.000443647j 0.00598598-0.00121955j 
0.00460165-0.000130633j -0.0146345+7.21607e-05j 0.00100367-0.000359492j -0.0217926-1.36284e-16j -0.00629862+0.000237808j -0.00205578+0.000193156j 1.95054e-05-0.000449315j -0.0212351+0.000152415j -0.00622325+0.000133761j -0.000967341-0.000236922j -0.00656815+7.11936e-05j 0.957112-0.00157027j 0.000566857+0.000486031j 0.0223089-0.00064263j -0.00929548-0.000530734j 
-0.000132173-0.00015867j -0.00140376+7.42329e-05j -0.0033552-0.000493959j -0.00629862-0.000237808j 0.0073066-4.82622e-15j 0.000419258+0.00052854j -0.0116863-0.000332312j -0.00713454-0.000188806j 0.00856955-7.57615e-05j 0.00257242+0.000230184j -0.956621+0.0023174j -0.00250742-5.17228e-05j 0.000629429-0.000135074j 0.00186581+0.000248091j -0.0038821-0.000222643j 
0.000620213+0.000269002j -0.00182508-0.000542519j 0.0109428+6.07365e-05j -0.00205578-0.000193156j 0.000419258-0.00052854j -0.0203912+6.46213e-14j 0.00412982-3.50833e-05j -0.00138609-0.00013079j 0.0022417-0.000321945j 0.966583-0.000380278j -0.00399318-0.000223751j 0.00314214-0.000246339j 0.0123362+0.000164334j 0.00391372-0.000742402j -0.0010188+0.000485443j 
0.00171478-0.000171818j -0.00191573+0.000410129j 0.000323111+0.000643286j 1.95054e-05+0.000449315j -0.0116863+0.000332312j 0.00412982+3.50833e-05j -0.0107346-1.14375e-14j 0.00968012+0.00028232j 0.967922-0.00105697j 0.00838623-0.000327516j -0.00311515+6.48245e-05j -0.00738078+0.000138688j -0.00480591-0.000295158j 0.000214891+0.000310617j -5.4297e-05-0.000399588j 
0.00397023-8.61133e-05j -0.0127081+2.38693e-05j 0.000723673-0.000428267j -0.0212351-0.000152415j -0.00713454+0.000188806j -0.00138609+0.00013079j 0.00968012-0.00028232j 0.985367+1.38451e-15j -0.00589485+0.000287336j -0.000744284-0.000124156j 0.00242894+0.000197494j -0.0132042+0.000140547j 0.00056483+0.000424861j 0.0120012+2.44839e-05j -0.00400768-8.57662e-05j 
0.00011763-0.00040035j -0.000297915+0.000314578j -0.00661394+0.000295108j -0.00622325-0.000133761j 0.00856955+7.57615e-05j 0.0022417+0.000321945j 0.967922+0.00105697j -0.00589485-0.000287336j -0.00903216-1.06824e-14j 0.0035704-3.33152e-05j 0.00897107+0.00033622j 0.00113928-0.000448867j 0.00111879-0.000647051j 0.00148095+0.000412819j -0.00165773-0.000174312j 
0.000919399+0.000485279j -0.00388266-0.000745095j 0.014604-0.000157756j -0.000967341+0.000236922j 0.00257242-0.000230184j 0.966583+0.000380277j 0.00838623+0.000327516j -0.000744284+0.000124156j 0.0035704+3.33152e-05j -0.00786887+3.8621e-14j 8.68489e-05-0.000530972j -0.00284968+0.000187725j 0.0107793-6.11519e-05j 0.00187807-0.000546023j -0.000628368+0.000272625j 
-0.00404847+0.000221914j 0.00265475-0.000242175j 0.0017634-0.000124064j -0.00656815-7.11936e-05j -0.956621-0.0023174j -0.00399318+0.000223751j -0.00311515-6.48245e-05j 0.00242894-0.000197494j 0.00897107-0.00033622j 8.68489e-05+0.000530972j 0.0067063-4.76962e-15j 0.0058428-0.000239949j 0.00360697-0.000499301j -0.00150777-7.26287e-05j -0.000108156+0.000159149j 
