-0.000398747-0.0175981j 0.0101083-0.0159482j -0.010208+0.000518681j -0.0183247-0.0393406j 0.00508459+0.0011069j -0.00265296+0.0144077j -0.00712065+0.0354579j 0.00268865-0.0129187j -0.00139585+0.0201184j -0.00859134-0.00722983j -0.0106438+0.020112j -0.0128497-0.00564333j 0.022127-0.00243281j -0.0112905+0.0058052j 0.0133145+0.0030389j -0.00246558+0.00393468j -0.0100115+0.019134j 0.00576816-0.0187649j 0.00578457+0.00955846j -0.00191404-0.00147055j -0.00306863-0.00185699j -0.00264653-0.00421267j 0.0292054+0.000282779j 0.0148254+0.00842054j -0.0132014+0.00422185j 0.00530103-0.0217851j -0.000340024+0.00383032j -0.00799761-0.00951957j 0.00947872+0.0064083j -0.0210977-0.000285138j 0.00560099+0.0125918j 0.00131092+0.0165194j -0.00270142+0.0012961j 0.00506882+0.00012333j 0.00284162-0.00695083j 0.0143963+0.0184531j -0.00274724-0.0220494j 0.00218126-0.0111619j 0.00279275+0.00330056j 0.000518589-0.014363j 0.00676244-0.0207633j -0.00659903+0.0132726j -0.00926894+0.0218893j 0.0112372+0.000580061j 0.0157901+0.00387177j -0.00213234+0.00424412j -0.00708981-0.015619j 0.0219751+0.00367888j -0.00402955-0.0210275j 0.00711836-0.0188279j 0.0160475+0.00777722j 0.00633921-0.0442105j -0.0147687-0.0182112j -0.0367086+0.00857266j -0.0272369-0.023634j -0.0184558+0.00231263j 0.00142438-0.00608744j 0.0229102+0.0219199j -0.0051816-0.0151276j 0.0104779-0.0120186j -0.00318807-0.0120013j -0.0116675+0.0175919j 0.0140773+0.00288816j -0.0156297-0.00098605j -0.00718268+0.0154049j 0.0255195+0.0113499j -0.00137645+0.00239906j 0.0216412+0.00209192j -0.0208214+0.0358815j 0.012259+0.00629541j -0.0231318+0.00582288j -0.00135365+0.00944004j 0.0173316-0.00269354j 0.0201433-0.0881533j -0.0877089+0.00502257j 0.0320178-0.0692318j 0.0103029-0.0227306j 
-0.0108192+0.0164313j -0.000433332-0.0180477j -0.0189771-0.0387619j 0.00801687-0.00472821j -0.000177403-0.000853763j -0.00872398+0.0291007j -0.000155802-0.0150493j 0.000898858-0.0275491j -0.00284256-0.00275469j 0.00363076-0.0168451j 0.0029615-0.00382463j -0.0193167+0.0187529j -0.00478834-0.0188184j 0.0077538-0.00879637j 0.00634202-0.01649j -0.00889443-0.00408833j 0.0034375+0.00492344j -0.0102093-0.00259317j 0.00270015-0.00823196j -0.0136945+0.00183895j -0.0103327+0.0111822j 0.00437918+0.00708089j -0.0117568-0.0127087j 0.0117492-0.00598694j -0.00303387+0.00943208j -0.0243527-0.00450681j 0.0022009+0.0212263j 0.00798639+0.0159011j 0.00947236-0.00573733j 0.013288+0.00993201j -0.000617369-0.00590925j -0.0069276+0.0159413j -0.00853057+0.00348725j 0.0116708-0.00280794j -0.0139403-0.00289964j 0.0075363-0.0212911j -0.0131531-0.0176006j 0.0239084+0.0137952j 0.00643178-0.00237191j 0.00151784+0.00520198j -0.0166906-0.0120901j 0.0014+0.0223245j 0.0199073-0.00011793j -0.00981962+0.000795172j -0.00347734-0.012929j 0.000817056+0.0316903j -0.00672395+0.0106114j 0.0171615-0.00960407j -0.0181389-0.00768074j 0.00323-0.00955103j -0.000712279-0.0310128j -0.0405727+0.00261427j -0.00982213+0.0197208j -0.00243827+0.00627999j -0.0261884+0.0105561j 0.00557369+0.00946182j -0.0122612-0.0238868j -0.0137664-0.0320572j 0.00789913-0.0158408j 0.0103366-0.000405469j -0.0212459+0.00116282j 0.00717792-0.000139929j -0.0195284+0.0201334j -0.00749962-0.00375112j -0.0165415+0.0108907j -0.0048893+0.00731055j 0.0110316+0.0294346j 0.00286288+0.0269012j -0.023033-0.00221228j -0.0211614+0.0142306j -0.00348123+0.0146643j 0.0132123-0.00111401j -0.00590994+0.00602084j 0.0890455-0.00527138j 0.0197717-0.0862333j 0.00831262-0.022798j -0.0329166+0.0699037j 
-0.00385698+0.0234052j -0.00552858-0.00142779j -0.00245736-0.029132j 0.0223176+0.00117485j 0.00896516+0.0185258j 0.00879862+0.0174819j -0.00868001-0.00510529j -0.000511622-0.00174618j -0.0125137+0.0113977j 0.00753597-0.0302928j -0.000901763-0.0182977j 0.00800408+0.00822238j 0.00311285-0.00736052j -0.00231373-0.0191215j 0.0140166-0.0145527j 0.0129037-0.0236449j 0.0289722+0.00990213j 0.016336-0.0115826j 0.005531-6.38478e-05j -0.0053566+0.0127897j -0.018205+0.00402738j -0.0121594-0.0113469j -0.0242753+0.016444j -0.0206321-0.0111805j 0.00137932+0.00818777j -0.00185512+0.00735439j -0.00392156+0.00386102j 0.00360358-0.000180288j 0.0258351-0.0131141j 0.0153933+0.00468642j -0.0152411+0.00797864j -0.0222904+0.0237968j 0.00438358-0.00430909j -0.0216251+0.00102525j -0.0082583-0.00850121j 0.00410988-0.0111392j -0.00572891+0.0198374j 0.0310519-0.00117293j 0.0176006-0.00249395j -0.0022175-0.00555574j -0.0161486+0.00341488j -0.0123335-0.00192199j -0.00565419+0.000828526j -0.0182971-0.0102388j -0.00251872+0.0111244j 0.0207757-0.020994j 0.000340644-0.0106665j 0.00950247-0.0159662j -0.0177459-0.000901998j 0.0183944-0.0115109j 0.0171888+0.0247727j 0.0138568+0.0316907j -0.000567175-0.0137336j -0.00679391+0.0243349j 0.0102619-0.0102987j 0.0241959-0.0182312j -0.0228099-0.0134559j -0.0125176+0.00154415j -0.0185424-0.00360652j 0.0100599+0.00259557j -0.00230592+0.0219528j 0.0181787+0.0150428j 0.00952295-0.0161593j 0.0247842+0.0141424j -0.0193168+0.0222584j 0.00550647-0.00428186j -0.00802057-0.00482482j 0.0209615-0.00404614j 0.00404365-0.00240752j 0.00238266+0.0404904j -0.051189+0.0504403j -0.0585017-0.0441314j -0.0310068-0.0323181j 0.01335+0.0118725j 0.0357366+0.00189768j -0.0159273+0.0220628j 0.0118218+0.0143465j 
0.00477768+0.00512186j -0.00191199+0.02729j 0.0284449-0.00360574j 0.00212516+0.0219286j 0.0204459+0.0188467j 0.00220065-0.00756638j -0.0227617+0.00679044j -0.00236775-0.00560437j -0.00750348-0.00852844j 0.00848477-0.00472123j -0.0052283-0.0244171j 0.012457-0.0167028j 0.00332131-0.00795712j -0.00728019+0.000384115j 0.0209032-0.00614889j 0.0127934-0.0253815j 0.0113438-0.00427464j 0.013139+0.00114263j 0.00320332+0.0179961j 0.0225418-0.0128266j 0.00500586-0.00211524j 0.00492535+0.00268837j -0.0088383+0.0228849j -0.000994168-0.00660435j 0.0160978-0.0101186j 0.0167928+0.0177278j 0.00829064-0.0118949j -0.00114988+0.001206j 0.0151206-0.0120253j 0.00128526-0.00528899j -0.0120912+0.00709805j -0.00249613+0.00194523j 0.0159539-0.0132338j -0.0303097+0.00246787j 0.0148978+0.00680076j 0.00492011-0.0112024j 0.00265701+0.000750022j -0.0190708-0.00991404j -0.0105558-0.00910837j -0.0158074-0.00297368j -0.0113275+0.0127619j -0.00821856-0.00444224j -0.00123809+0.0111784j 0.0140283+0.0222768j 0.00884574+0.0105386j -0.0169798+0.00688436j -0.0118351-0.0112828j 0.00722299+0.00757922j -0.00504499-0.00585517j 0.0063261+0.00364781j 0.012619+0.0149704j 0.0321788-0.00861669j -0.00412306+0.00575705j 0.0468998+0.0120891j 0.00773027-0.0162587j 0.00760558-0.0112764j 0.00701951+0.0231949j 0.00390946+0.0106022j -0.00576245-0.00355286j -0.00827966+0.041786j -0.00943479+0.00199142j -0.0127647+0.0154014j 0.0160723+0.00446698j -0.00851864+0.0110305j -0.0143232-0.00484733j -0.0342834+0.0071291j 0.00548133-0.00649074j 0.0151062+0.00102967j -0.00649308+0.0187802j -0.0311225+0.0246483j -0.0482602-0.0612718j 0.0105089-0.0618985j 0.0355317-0.017601j -0.057774-0.0115812j 0.0198812+0.00733389j 0.0125234+0.0169912j 0.0176049-0.0271394j 
0.00412632+0.0246108j -0.0171963+0.0140988j 0.0149954+0.000950769j 0.0371895+0.0483178j -0.0152047-0.00593465j 0.00469514-0.0262359j 0.0239081-0.0429752j 0.00159939+0.0314366j 0.00151322-0.0163601j 0.00903897-0.000508026j 0.00502048-0.0152359j 0.0318999-0.00269162j -0.0309057+0.0106405j 0.0106739-0.00185642j -0.0313554+0.00277772j 0.00412966+0.00286739j 0.00451134-0.026265j 0.000848202+0.0276301j -0.0133263-0.0128432j 0.00702905+0.00529667j -0.0025644+0.00848968j -0.00612127+0.00263866j -0.0512746+0.00301964j -0.0447472-0.00735466j 0.0230822-0.00770303j -0.00549268+0.0256409j -0.00509334-0.001271j 0.00659149+0.0122308j -0.0184154-0.00351413j 0.0319449-0.00354434j -0.00228451-0.0130346j -0.0115649-0.021593j -0.00226665+0.00270467j -0.00404251-0.000724006j 0.00363571-0.00520997j -0.0167278-0.0207334j 0.00725956+0.0441431j -0.00521664+0.00646124j 0.0156903-0.00458823j -0.00114544+0.0224272j 0.000932729+0.0370425j 0.0117631-0.0211338j 0.000141406-0.0268931j -0.0302097-0.00938682j -0.0256632-0.00813081j 0.00512787-0.0198258j 0.0255344+0.012466j -0.0349374-0.00603012j 0.0216376+0.0397786j -0.0111837+0.0122236j -0.0149585-0.00235438j -0.00284047+0.0664895j 0.0219812+0.00912007j 0.0470844+0.00149708j 0.0443698+0.0300058j 0.0110292-0.0167242j -0.00624193-0.00440637j -0.0338917-0.0102587j -0.0117111+0.0637793j -0.0422807+0.00111111j 0.00215953-0.000274535j 0.0236606-0.0319019j -0.0203608+0.0137056j 0.0388718+0.035618j 0.00390103-0.0236659j -0.0137465-0.0368122j -0.0196555-0.0228795j -0.0359139-0.0109885j 0.0391288-0.0634914j 0.0115958-0.0119569j 0.0169713+0.034057j -0.0234586-0.0238574j -0.0237514-0.00496518j -0.0443657+0.113296j 0.116587+0.0349769j -0.016009+0.06417j 0.0296484+0.0373314j 
0.0177743-0.0199363j 0.00408348+0.0143782j 0.0224755+0.0531558j -0.0155089-0.00439317j 0.000191524+0.00229426j 0.0185844-0.0306411j 0.00523973+0.0328804j 6.43995e-05+0.0321441j -0.00220792+0.0164325j -0.0089031+0.0151684j -0.00908267+0.0136672j 0.0257518-0.0187995j 0.0205186+0.0153085j -0.0136169+0.0145217j -0.00267889+0.0184766j 0.0107102+0.012147j -0.000707333+0.008318j 0.0192622-0.00202695j 0.00536922+0.00473496j 0.0155906-0.00597125j 0.0111456-0.0183623j -0.0174184-0.0141923j 0.0317702+0.0131528j -0.0179913+0.0148147j -0.00275606-0.00747382j 0.0314462+0.00216515j -0.0038089-0.0299115j -0.0223385-0.0204079j -0.0095656+0.0101034j -0.0320166-0.00368397j 0.00528996+0.011617j 0.0108153-0.0103491j 0.00630327-0.00393007j -0.0208343-0.00255562j 0.0195498-0.00624888j -0.00147107+0.0394966j 0.0141776+0.0182764j -0.0391241-0.0227192j -0.0050119+0.00353969j -0.00170162-0.00990024j 0.0332387+0.0138332j -0.00920038-0.0247056j -0.0379428+0.00888324j 0.0135068-0.00188732j 0.013157+0.0211071j 0.00530032-0.0470465j 0.00659356-0.0294708j -0.0218579+0.0179125j 0.0255504+0.00628466j -0.00788519+0.00107338j 0.0173033+0.0574352j 0.0647413-0.0148002j 0.00400926-0.0530938j -0.0134357-0.00916717j 0.0313542-0.0219392j -0.0189092-0.00438482j 0.00798407+0.014911j 0.0241529+0.0807749j -0.00400503+0.0262998j -0.0180443+0.0151147j 0.0360312+0.00908773j -0.0304633-0.0129391j 0.066568-0.0329221j 0.0292492+0.00600258j 0.00179424+0.00364659j 0.0396839-0.00969317j -0.0045828-0.0661157j 0.00175964-0.0428808j 0.0316499+0.0244343j 0.043113+0.00417776j -0.0226383-0.00343986j -0.0119049-0.0146345j 0.00527248-0.00475382j -0.110792-0.0368993j -0.0589243+0.127515j 0.0278822+0.03822j 0.0100583-0.0653074j 
-0.00162188+0.0110621j 0.0063404-0.0141636j -0.0132531-0.0114467j 0.018661-0.0280318j -0.00909814-0.00304459j 0.00153894+0.0105599j 0.00999619+0.00545313j 0.00838495-0.00240944j -0.00686499+0.0214298j -0.00560383-0.0284485j -0.0192221+0.00524637j 0.00530841+0.00813222j 0.0161842-0.00583163j -0.00896397-0.00756701j -0.00233325-0.00227816j -0.00183635+0.0147832j -0.00847444+0.0176736j 0.00370722+0.00124079j -0.00856825-0.00458513j -0.0108196+0.0138872j -0.0156785+0.00864004j -0.0160621-0.00053769j -0.005472-0.00336187j -0.0110436+0.00456755j -0.0104402+0.0116785j -0.0126624-0.00795617j -0.00455424+0.0149662j 0.000173191+0.000299271j 0.0115869+0.00263801j 0.00217726-0.00230073j 0.00864413+0.0103347j -0.0158084+0.0265112j -0.0149979+0.00163035j 0.00723593-0.00799821j 0.00209335-0.019373j 0.0212091+0.0110571j -0.0148882-0.0097623j 0.019606-0.00666162j 0.0245712-0.00073724j 0.00116129-0.00283226j 0.0152984-0.0087379j 0.00360568+0.0188847j -0.0160691+0.0177081j -0.0210462-0.00121013j 0.0079765-0.00270605j 0.00942609-0.000143946j 0.00309701-0.0169784j 0.027847+0.0124981j -0.00320713+0.00178096j 0.00591407-0.0240329j 0.0230018-0.00898325j -0.0118345-0.0163048j -0.0273342-0.0220525j -0.0411414+0.0127687j -0.0173941-0.00576505j -0.0193272-0.00524425j -0.0264469-0.031301j 0.0189311+0.00978588j -0.00217889-0.00587157j 0.0121876-0.00822802j -0.000663661-0.0441899j -0.03127+0.0145533j -0.00609672-0.00421571j -0.00727652-0.00398224j -0.0318985+0.0334752j 0.0212641+0.00595866j 0.0125088-0.0186141j 0.0262818+0.0112186j -0.0200117+0.015421j 0.0141309+0.0342076j -0.0275464+0.0358529j -0.0189909-0.0135946j -0.0197685-0.0150782j 0.0412172-0.058993j -0.0321365-0.0152372j -0.0120881-0.0206397j -0.00100186-0.0151394j 
0.00583764+0.0127485j -0.00099764-0.00132639j -0.00971189-0.0117112j 0.0141002+0.00925034j -0.0098876-0.00518697j -0.021759-0.00572405j -0.0219194-0.00962725j -0.0149374-0.0105146j 3.05332e-06+0.00075069j 0.000835567-0.00455083j -0.00702904+0.00409341j 0.0140112-0.0121239j -0.0295286+0.00738781j -0.00044777+0.00867765j -0.0100312-0.00388019j 0.00580807+0.0096904j -0.0389515-0.00823251j 0.0237698+0.00319652j -0.0188858+0.00859169j 0.0145053+0.0134083j -0.0160341+0.0180823j 0.0130298+0.00589254j -0.0136427+0.00381866j -0.012183-0.0228134j 0.0115398-0.02354j 0.0186714-0.00735379j 0.0159795+0.000296501j 0.0201632+0.00677112j 0.00507994+0.0122268j 0.01146-0.00781065j -0.000888394+0.0270296j -0.012112-0.0139966j 0.0263355+0.0164097j 0.0245914+0.017238j 0.02063+0.0155154j -0.00696146-0.0101378j 0.00680267+0.0279427j 0.0108682-0.00907914j 0.0255343+0.00682143j 0.000593978-0.0242901j -0.0205713+0.00290813j 0.0204544+0.00890472j 0.00583088-0.0178403j 0.0133828-0.00869038j -0.00809501-0.0105257j 0.0229047+0.00992964j 0.0193083+0.00185253j 0.0136717-0.00608181j -0.00363657-0.0310199j -0.00549385+0.0018493j -0.00198617-0.00818695j 0.0112712-0.00351817j 0.0179192+0.0245115j 0.00431408-0.011256j -0.0447305-0.000639664j -0.0185974-0.0316063j -0.011446+0.0380016j 0.0431383+0.0463255j -0.0199107+0.0340073j 0.00116694+0.0041116j 0.00514818+0.00476572j 0.00986605+0.0303469j 0.0140516+0.0192577j 0.0138513+0.00514089j 0.0301779+0.0216277j 0.000947452-0.0640991j -0.0529925+0.02216j 0.0243938+0.033296j -0.00997744+0.0128631j 0.0278009-0.0164972j 0.0138916+0.0114905j 0.011963-0.0024579j 0.024556-0.000768007j -0.0386929+0.00933112j 0.00492027+0.0134206j -0.0132458+0.0193478j -0.00066467-0.0042927j 
0.000534911-0.00120536j 0.00821396+0.0324787j 0.0421695+0.00149173j 0.00800505+0.0331732j -0.00688528+0.00904548j -0.0267498-0.00187855j -0.0243705+0.0044727j 0.0152887-0.0124526j -0.0326316-0.0175087j 0.0183673-0.0129051j -0.0335593+0.0148716j 0.0278332-0.0185565j -0.00823243-0.00974455j -0.00324723-0.00323702j 0.0142497+0.0131307j -0.00076847-0.00818431j -0.0210104-0.000762924j 0.0291874+0.0136857j -0.00571677+0.0230683j 0.0379117-0.0282572j -0.0180634+0.00942574j -0.00162209+0.0034128j -0.0145537+0.0218168j -0.0143808-0.0229358j 0.0257782-0.0243623j -0.00601842+0.00711866j 0.0162243-0.0239727j -0.00746966+0.0142484j 0.00257608-0.00753788j 0.00847618+0.0093063j 0.0148682+0.0224134j -0.0194476+0.00920588j -0.0133322-0.00281097j 0.00884583-0.0124028j 0.0176278+0.00434648j 0.0094132-0.00688977j -0.00576199+0.00810641j 0.00117564-0.000896618j 0.0128009-0.010032j -0.00159388+0.0174931j -0.0105157+0.0061821j 0.00073804+0.0016588j 0.00743927+0.00239677j 0.0173781+0.00983922j -0.00211448-0.0149575j 0.00888075+0.0112671j 0.0125111-0.00801842j 0.00825402+0.0114705j -0.0169574+0.00856655j -0.00285285+0.00598511j 0.0163515-0.0283788j 0.00479954-0.0225485j -0.00638032-0.00931602j -0.00184205-0.0137071j -0.0269786-0.0107332j -0.0357558+0.0227301j 0.0159359-0.00383599j -0.00394537+0.0434552j -0.0014955-0.0110009j 0.00628805-0.0166296j 0.0262522-0.0148906j -0.0326244-0.0128355j 0.0330321+0.000400192j -0.0110039+0.0123074j 0.0125507+0.00356393j 0.0177951-0.00701758j -0.0360824-0.0636451j -0.0171368+0.0373196j -0.0245207-0.0270176j 0.0111771+0.030228j 0.0118689-0.0334049j 0.0285787-0.017827j 0.0252824+0.0206453j -0.039782-0.00645899j -0.0288292+0.00859527j 0.0116157-0.0024846j 0.0172629-0.0244553j 
0.00914147+0.004389j -0.00208573+0.015319j 0.0260994-0.00632012j -0.000577661+0.00999466j 0.0190541+0.00371135j 0.0089928-0.0137767j 0.00493768+0.00855556j -0.00373535-0.00506944j 0.00346591-0.0212676j 0.00341304-0.00906238j -0.0119858-0.0248781j 0.000242556-0.0144687j 0.0037742+0.00466141j -0.0106012+0.0172684j 0.00186537+0.00105841j 0.00574959-0.00194491j -0.0177805-0.00962468j -0.00988079+0.0163885j -0.00985643+0.0161711j 0.0210356-0.0355902j 0.02344-0.0015136j 0.0254469+0.0229149j -0.0208523+0.000247338j 0.0274587-0.000728242j 0.0181595-0.00168526j 0.0122321+0.0250409j 0.0162204+0.0170074j 0.0153011-0.00680721j 0.00753924-0.0209244j 0.0164547-0.0121443j 0.00584335-0.00652021j 0.010793-0.000984534j 0.0100953-0.00421777j -0.0229868+0.00167652j 0.0113886+0.00451647j 0.0170976-0.0199663j -0.0123846-0.0306105j -0.0465757-0.0151317j -0.0215927-0.00607246j -0.0182005+0.0251094j 0.00860607+0.00751553j 0.0184622+0.0217957j 0.0207947+0.0288849j 0.017572+0.0439955j 0.0169086-0.00322228j -0.035295+0.0550238j -0.0241852+0.00677617j 0.0263883+0.00847178j 0.00313781+0.000126349j -0.00291497+0.00763756j -0.00607665-0.0158582j 0.00558915-0.0339934j -0.0147649+0.0222146j 0.0793819+0.0234574j -0.0171383+0.0240886j -0.00506125-0.0282249j -0.0161607+0.0271577j 0.0119387-0.00580745j 0.0133135+0.0041438j -0.0225996+0.0424334j 0.0417506-0.0408789j -0.0286186-0.0305312j -0.027508+0.0085601j -0.0492622-0.00795984j -0.0223723-0.0315444j -0.0582734-0.00647147j 0.0236095+0.022282j 0.00874508+0.000473525j -0.0261305+0.0410897j -0.0545636-0.00597287j -0.0181283-0.0818672j 0.0392645-0.0349202j 0.039308+0.0158135j -0.033646-0.0176856j 0.0141862-0.0224631j 0.0221038+0.00416122j -0.00812123-0.00910834j 
0.00182421-0.0270913j 0.00755863-0.00451129j -0.00423631+0.0376396j -0.0365053+0.00185734j -0.0160841-0.032801j -0.00986542-0.0152357j 0.0209464+0.000793974j 0.0144486-0.00496187j 0.0182632-0.0162369j -0.0140568+0.0363846j 0.01129+0.041641j -0.0158257+0.00113676j -0.00408082+0.0100902j 0.00758079+0.0215696j -0.0105723+0.0111769j -0.034615+0.039811j -0.0414756-0.0138457j -0.0404065+0.0112708j 0.000838218-0.0126489j 0.00333631-0.0187847j 0.0231064+0.0028433j 0.0116262+0.0124109j 0.0349068-0.0259024j 0.0259745+0.0180115j -0.000445138-0.012122j -0.0150925-0.0152385j 0.00625572+0.000677842j -0.015357+0.00533275j -0.0486117+0.021812j -0.0237064-0.00696631j 0.0296215-0.0178043j 0.0352158-0.0295368j -0.0201571+0.0128909j 0.046264-0.0120667j 0.00604644+0.0158708j -0.0130065+0.0128175j 0.0054353-0.0437061j -0.0313777+0.0050385j -0.024982+0.00311969j 0.00850766+0.0160494j 0.013781-0.00873689j 0.0167492+0.00878556j 0.0152546-0.0104711j 0.0210382+0.0139951j -0.00519651-0.0260003j -0.0363219+0.0308303j 0.0116942+0.0228608j -0.0278274+0.014389j 0.0197664+0.0166944j -0.0224662+0.00202599j -0.02081-0.0566909j -0.0386194-0.0506223j 0.00571704+0.00945431j -0.00476834-0.0435265j -0.0195942+0.0233514j -0.0415391+0.0573743j 0.0386281+0.0208606j 0.00912367-0.0165367j 0.0244149-0.00291144j 0.00684322-0.0255091j -0.00336683-0.0538598j -0.0560902-0.0365573j -0.0452306+0.0213491j -0.0394508-0.0396252j 0.0291823-0.0204686j 0.0150487+0.00213618j 0.00575914+0.00939548j -0.0449516+0.0112249j -0.0326523-0.0155819j 0.00164637-0.0399649j 0.0832497-0.046981j 0.075133+0.0852214j 0.025223+0.0517688j 0.0207006-0.0232471j -0.0580155-0.0151858j 0.00746396-0.0238043j -0.0337445-0.0150032j 
