-0.0129318+1.12757e-17j 0.036422-0.000863822j -0.0581364+0.00101204j -0.00682628+0.000654242j 0.0100214+0.00103697j 0.0235269-0.00124017j 0.0293648+0.00178721j -0.00609482+0.000475588j -0.0214536+0.00190219j 0.0154337-0.00159945j 0.00556413-0.000856727j -0.00601018+3.11892e-05j 0.0102176+0.000102312j -0.00758805+0.00231887j 0.0086287+0.000656177j 0.0492117-0.00520867j -0.0350963+0.00174777j -0.0522629+0.00468087j 0.0142728+0.00052181j 0.0490845-0.00149726j 0.0492378+0.00180534j -0.0288584+0.00434728j -0.0017896+0.0047561j 0.0141195+0.00361682j -0.101785+0.00554489j 0.147653-0.000805792j -0.0649171-0.00615079j 0.0123909+0.00177303j 0.0143947+0.00066089j 0.0218786-0.00145848j -0.0322622-0.000145231j 0.0182832-0.000212429j 0.0518995-0.00182421j -0.0256515+0.00309729j -0.00393685-0.00123081j -0.0351931+0.000956437j 0.00586722+0.00405636j -0.00247647-0.000381867j 0.0179945-0.000412137j 0.0441264-0.00111998j 0.0258767+0.00148533j 0.0137068+0.000640049j 0.00434244+0.0019754j -0.00727267+0.00288356j -0.000208203-0.00130683j -0.0136133-0.000525735j 0.0154675+0.00170846j -0.00953105-6.11246e-05j -0.0230708-0.00190059j 0.0386591-0.00144648j 0.0256444+0.00179885j 0.0088932-0.00130921j 0.0119182-0.000582646j -0.0506451-0.000410234j 0.0148127+0.00202446j 0.00227417-0.000524626j 0.02369-0.00193675j -0.00490435+0.00257104j -0.0649902+0.00518226j -0.0130729-0.00312469j -0.0497106+0.00351941j 0.0815249-0.00768988j -0.0458073+0.019439j 0.00496046+0.0130673j -0.153711-0.00051416j 0.0041577-0.00112169j -0.0802134-0.00716437j -0.0672369-0.0026996j 0.0067648-0.000375023j -0.0131616-0.000754944j -0.00850046-0.000286103j -0.00925593+0.000358382j -0.0227358+0.000545932j 0.0113455-0.000114356j 0.0120503+0.000301549j -0.00512123-0.000381901j 0.0022742-0.00296857j 0.0327376-0.00810246j 0.0138732-0.00172989j -0.00812924-0.00327793j -0.00664523+0.00214954j -0.000578206+0.00184028j -0.0177601+0.00752367j -0.00471531-0.000788221j -0.00792533+0.000170282j -0.0529143+0.000768124j -0.00625608+0.00823865j -0.0149651+0.00670993j -0.0132189+0.0119455j 0.024909+0.000511575j -0.0394833-0.00776751j -0.042754-0.00404557j 
0.036422+0.000863822j 0.00978355+8.67362e-19j -0.00732523+0.00121733j 0.0263988-0.00168855j -0.0283941+0.00107853j -0.00541393-0.000929987j 0.0414416-0.0035166j 0.00873414+0.000251031j 0.000756206+0.0012969j -0.0305575-0.00142113j -0.00381543-0.000438942j -0.0051411+0.00157943j -0.0026851-0.000859615j 0.0387877+0.000526133j 0.0354059-0.00122286j -0.0492782-0.00345924j 0.00932565+0.00238449j 0.0363316+0.00224168j 0.00301978-0.00101773j 0.0134825-0.0034172j 0.023367-0.0056321j 0.0411145-0.00092259j 0.0990106+0.000774426j 0.045766-0.000393848j 0.0943327+0.00399954j 0.0343965-0.0110038j -0.102832+0.00575345j 0.00590718-0.000922466j 0.0183833-2.62516e-06j 0.0182006-0.00298057j -0.0122309+0.00146701j -0.00015659-0.00118602j 0.0103805-0.0051338j 0.0463656+7.70304e-05j -0.0341481+0.00235061j 0.00212112+0.00288615j 0.0516564-0.00286614j 0.00431191-0.000409765j -0.00949597-0.00152146j -0.0162547-0.003576j 0.00496017-0.00340947j 0.0137471-0.00165263j 0.0285602-0.00090066j 0.0284959+0.000528566j -0.00721577+8.2952e-05j 0.000509076+0.000409987j 0.0241124-0.00207202j 0.00426742+0.0006484j -0.0275723+0.00358974j 0.00709234-0.00436351j 0.0246744-0.00237347j -0.00804848-0.00201198j 0.0322077-0.00153273j 0.000209325+0.00624665j 0.00136847-0.000338106j -0.003601+0.000985419j -0.0250879+0.000103619j 0.0301817+0.00200509j 0.030323+0.00508726j -0.0556159+0.00289192j 0.0267145+0.000798453j -0.0600106-0.00703971j 0.153589+0.0016663j 0.118332-0.00422947j -0.0295007+0.0208782j 0.000543483+0.00308073j -0.099174+0.012858j -0.0495605+0.00767402j -0.00557368-0.00317878j -0.00955615-0.00047507j 0.0122138-0.00135382j 0.00504979+0.000593591j 0.030269+0.00020065j -0.0177186-0.000110481j -0.00811994-0.000481954j -0.00147945+2.50479e-05j -0.0152904-0.00186368j -0.0543657-0.0028582j -0.0106747-0.00162175j -0.00636577-0.00209438j 0.0202782-0.00174703j 0.00968547-2.3338e-05j 0.0298999+0.00218155j -0.00283162-0.00328575j -0.00864354+0.00384602j 0.0118791+0.00137838j 0.0437805-0.0024732j -0.00397925+0.0124521j -0.0405451-0.0034243j -0.00319099+0.0102954j -0.0445202-0.00447067j 0.0394882+0.00678536j 
-0.0581364-0.00101204j -0.00732523-0.00121733j 0.642852+6.44016e-16j -0.0593702+0.00165077j -0.423613+0.00190012j -0.149138+0.000462512j -0.0754766+0.00228789j -0.00209663+0.00125972j -0.0766517-0.000527064j 0.0738907+0.00221672j -0.00714259-0.00118878j -0.0354668+0.000654874j 0.020363-0.00141448j -0.0992231-0.00176325j -0.107985+0.000492322j 0.0185288+0.00127504j 0.0466254+0.00174223j -0.0186169+0.000562064j -0.0369047-0.00224649j -0.0800601-0.000325794j 0.0900874-0.00220193j -0.0105916-0.000621885j 0.0528495-0.00347062j -0.122509+0.00340632j 0.188778-0.00567947j -0.0825032-0.000437435j 0.00191711+0.00757366j -0.0293958-0.00398323j -0.0276867-0.000671642j -0.0398413+0.00332656j 0.0210047-0.00451132j 0.0179368+0.0040106j -0.00239943-0.0037036j 0.0190551-0.00144152j 0.0221633+0.00338866j 0.0104568-0.00427741j -0.00592303+0.000363656j 0.00608972+0.00123147j 0.0147204+0.0027601j -0.00270284-0.000159791j -0.00523073-0.00177277j 0.00176919+6.81331e-05j -0.0267273+0.000650275j 0.000605892-0.00271827j -0.00848858+0.000583814j 0.00678184-0.0010801j 0.0214266-0.00130478j 0.0167447-0.00177936j -0.00748424-0.0018553j 0.00477058+0.00424124j -0.0113656-0.000223527j 0.0273905-0.00435844j 0.00145513-0.00511305j 0.0660044-0.0021741j -0.041268-0.00213725j -0.0263165+0.00462461j 0.0194537+0.000280596j 0.0365632-0.00778072j 0.0336554+0.00885623j -0.00736873-0.00241203j -0.0094388-0.0027456j 0.0170188-0.000420193j -0.00192165-0.00128025j 0.00776625+0.00667778j -0.0371335+0.00117288j -0.0263373+0.00469598j -0.0113574+0.000451533j -0.00716406-0.00481126j 0.0258304-0.002618j 0.0154323-0.00225638j 0.015445-0.00100808j -0.0121307+0.00113112j -0.0104687+0.00349365j 0.0193026-0.00176311j 0.00447112-0.000859708j -0.00154074+0.000675158j -0.00159488-7.10414e-05j 0.0167514-0.00437769j 0.00293352-3.65717e-05j -0.0111576-0.00245524j 0.0066334-0.000429528j 0.0102493+0.00284271j -0.00398254+0.00202915j 0.0122347-0.00653507j 0.00650576-0.00696665j -0.000207023+0.00196724j 0.00281457+0.000899854j -0.0188134+0.0021172j 0.000688602-0.00180421j 0.0166783+0.00289664j -0.0170109-0.00322027j -0.0169208-0.000141052j 
-0.00682628-0.000654242j 0.0263988+0.00168855j -0.0593702-0.00165077j -0.0236613-1.9082e-17j 0.0888212+0.00124761j -0.0217296+0.00194186j 0.0306398+0.00194732j 0.0341059-0.00117206j 0.0249562+0.00064722j 0.0786797-0.00110894j 0.00574501-0.0012778j 0.0564084-0.00154529j 0.0218253-0.00189005j -0.0393256-0.00118146j 0.0110581-0.000465342j -0.00940229-0.00255695j 0.120118-0.003803j 0.0234409+0.000711796j -0.0382915+0.000592888j 0.0427407+0.00018738j 0.0432978+0.00234013j 0.0253249+0.000260151j -0.145206+0.0018502j -0.05927+0.00635075j -0.186257-0.0101013j -0.0919574+0.00607124j 0.238093-0.00534288j 0.0154112-0.000611924j 0.0257039+0.0014996j 0.0162769+0.00219233j -0.00360755-0.00202732j 0.0244874-0.00359958j 0.0283418+0.000820706j -0.0540401-0.00286669j 0.0653388+0.000267547j 0.00868613-0.000812809j -0.0363566+0.00207283j 0.0130875-0.00262746j 0.0103238+0.00221304j 0.0141061-0.000641843j 0.0178249+0.000936499j -0.0141886+0.00047848j -0.00247935+0.00328888j -0.0420548+0.000291103j 0.00638769-9.04665e-05j -0.0346395-0.000607375j -0.0477128+0.000396941j -0.0456155-0.00193825j 0.0244786-0.00322595j -0.0260535+0.00340068j -0.0072769+0.00146271j -0.0525588-0.001653j -0.0443772+0.00304098j -0.0247027-0.00567771j -0.103671+0.00602609j -0.0464975+0.00351491j 0.0274485-0.00203647j -0.0449459-0.00177803j 0.0272783-0.00517964j 0.0297705+0.00285309j -0.0457713+0.0134894j -0.0010656-0.00636769j 0.0822871-0.00637196j 0.0347553-0.0081131j -0.0518843-0.000389203j -0.0342335-0.00399436j -0.0372528+0.00212644j -0.0140559+0.00584899j 0.0285818-0.00136527j 0.017567+0.000558527j -0.00501118+0.00289994j -0.00419235+0.00213501j -0.000479678+0.0046275j 0.0171731-0.00217223j 0.00512813+0.00107909j -0.000777413+0.00162228j -0.0158639+0.000654098j -0.0544115-0.000833268j 0.00256755-0.000504564j 0.00876931+0.00214822j 0.04209+0.00174771j -0.0126824+0.00353841j 0.0150918+0.00463075j 0.0240431+0.0105662j 0.0267788-0.00166323j -0.0230299+0.010775j 0.047354+0.0011957j 0.00366538+0.00199891j -0.0417149-0.00717782j -0.00110986+0.00724061j -0.036067-0.000771653j 0.0255942+0.00708853j 
0.0100214-0.00103697j -0.0283941-0.00107853j -0.423613-0.00190012j 0.0888212-0.00124761j 0.250633+2.41127e-16j 0.0720892-0.000633566j -0.00725199-0.00257661j 0.0031387+0.0018774j -0.0239042-0.000950828j -0.0245708+0.00534519j 0.0129353-0.00117237j 0.0209801+0.000675854j 0.0102037+0.000847052j 0.0193795-0.00133052j 0.0260556-0.00153315j 0.0645685+0.00454804j 0.00505389+0.00260942j -0.00864604-0.000455991j 0.00437938-4.34532e-05j 0.0418522-0.00098379j 0.0428386-0.00254534j -0.124347-0.00254396j 0.0139343-0.00909611j -0.103608+2.04658e-05j 0.297744-0.00775436j -0.0619551-0.00566432j 0.0727138+0.00604611j -0.0155409+0.00424941j -0.0148123+0.00151808j -0.035971+0.00136613j 0.0590433+0.00142995j 0.00289465-0.00396118j -0.0513872+0.00572597j 0.0438979-0.000788611j 0.0138431+0.00355028j 0.034354+0.00405406j 0.0221397-0.00407656j -0.0141952-0.00280012j -0.0231853+0.000336853j -0.0428468+0.00483604j -0.0207459+0.00466298j -0.0350693-0.00162979j -0.050633-0.00165474j 0.0116233-0.00393127j -0.0175981+0.0013751j 0.0285447-0.000842613j 0.0400427-0.00430484j 0.0651939-0.00109705j 0.00867625+0.00490175j -0.0155652-0.00363068j -0.0133212-0.000403167j 0.0120448-0.00271425j 0.0250149-0.00754653j 0.0696759-0.00219702j -0.0232737-0.00369387j -0.0433845-0.00450345j 0.00309296+0.000806572j 0.0555056-0.00186403j 0.063794-0.00203763j -0.0572997-0.000980494j -0.0816111-0.00101667j 0.0372535-0.00170476j -0.0222945+0.00274395j 0.029971-0.00147005j -0.00857124-0.00467243j -0.0309596+0.00253j -0.00778476+0.00179672j -0.0110637-0.000750904j 0.0581233-0.00117652j 0.0381282-0.00317829j 0.0138827-0.00178263j -0.0133466-0.000771032j 0.00975856-0.00457277j 0.02022-0.000984673j 0.00514876-0.00321623j -0.00462036-0.000137972j -0.00023816+0.00351224j 0.0442744-0.00775521j -0.00387878+0.000665945j -0.0149995+0.0015624j -0.0271757+0.00151705j 0.0119375-0.00149055j 7.88466e-05+0.00673449j 0.00644952-0.00526527j 0.0156223-0.00821941j 0.0109672+0.00364122j -0.0069749-0.0023271j -0.0270906+0.00422491j 0.000301928-0.0034162j 0.0476605+0.00571599j -0.018342-0.00718613j -0.0305192+5.22607e-05j 
0.0235269+0.00124017j -0.00541393+0.000929987j -0.149138-0.000462512j -0.0217296-0.00194186j 0.0720892+0.000633566j -0.0622708+5.01335e-16j 0.0766576-0.00251368j -0.0988728+0.00486534j -0.0218923-0.00143773j -0.0424509+0.00308603j 0.0963662-0.000346907j 0.0352753+0.00362424j -0.045585-0.00107744j 0.0170846-0.00251035j 0.0270566-0.00121481j -0.00633485-0.00128549j -0.0149954+0.00581226j -0.116011+0.00179369j 0.0552712-0.00458853j 0.00472327-0.00184424j -0.0525819-0.00314661j 0.494627-0.00283415j 0.0598507+0.00209727j -0.232392+0.00569413j 0.0358833-0.00187321j -0.0335661+0.0012514j -0.168817+0.00108082j 0.0309834-0.00288563j -0.0334239+0.00144512j 0.115204-0.00488427j -0.0127973-0.00031135j -0.00948776-0.000535685j 0.0502241+0.000859448j 0.0640753-0.000286595j -0.0734702-0.0025507j -0.0841675+0.00457901j -0.0263545-0.00256859j -0.0271755-0.00138653j 0.0160836-0.000444543j -0.0227552+0.00173244j -0.0250156+0.00357973j 0.0241418+0.00177331j 0.0152266+0.0005618j 0.0183326-0.00347634j 0.0218867+0.0017755j 0.0618668-0.00218989j -0.0497224+0.00323521j -0.038625+0.00248145j 0.00103846-0.00268006j -0.0229651+0.00308652j -0.00876786-0.00155217j 0.0851948+0.000809314j 0.0916065-0.000826384j 0.0547956-0.0038273j -0.0499728-0.00342519j 0.0266687-0.00150231j -0.000546192-0.00356404j -0.0159992+0.00293944j -0.0326762+0.00837166j 0.0329501-0.00257995j 0.0737173-0.00254246j -0.0624297+0.00326287j -0.0300958+0.00732321j 0.0438165+0.00143749j -0.0171532+0.00417993j 0.0315829+0.000246679j 0.00614213-0.0083251j -0.00761344-0.00455195j -0.0248941-0.0022813j -0.0250764-0.00136572j -0.0083799-0.000723624j 0.00604528-0.000149539j -0.015811+0.000326463j -0.00365002-0.000954059j -0.00573119+0.00275718j 0.000636645+0.000689547j 0.0129803-0.00317728j -0.0127973-0.0014706j 0.00464718-0.00181645j 0.00685314-0.00448931j 0.0151879-0.00363988j 0.00648077+0.0032012j -0.0300725-0.00313926j -0.00940788+0.00202927j -0.0120261-0.00184797j -0.0302022-0.0105162j -0.0198052+0.00613022j -0.0268356-0.00213733j 0.00680244+0.00782236j -0.0115187-0.00251852j 0.00455153+0.00171657j -0.0064034-0.00180054j 
0.0293648-0.00178721j 0.0414416+0.0035166j -0.0754766-0.00228789j 0.0306398-0.00194732j -0.00725199+0.00257661j 0.0766576+0.00251368j 0.00508577-2.8122e-15j 0.0441154+0.00345832j -0.0151939+0.00255914j -0.00429083+0.00238392j -0.0398506-0.00668393j 0.030436-0.000769813j -0.0221487-0.0012927j -0.0274075+0.000344561j -0.0759643+0.00134472j -0.175352+0.000971521j -0.0559628-0.00359719j -0.137814+0.00313679j 0.0578915-0.000672333j 0.0239028+0.00154273j 0.17249-0.00308422j -0.125684-0.00482212j 0.0556329+0.00122068j 0.273824+0.00477473j -0.240651-0.00729096j 0.324864-0.000569988j -0.217095+0.00645724j -0.0202248+0.00533659j 0.0697147-0.00181847j -0.00446282-0.00553898j -0.085588+0.000860103j 0.0234991+0.00175485j 0.0818993-0.00351499j -0.0550287-0.00231942j 0.00593947+0.00158901j -0.0778113-0.000549572j 0.0177708-0.000574961j -0.0193315+0.000408861j 0.0356558-0.001768j 0.0725723-0.000291438j 0.0666571-0.00113078j 0.0380762+6.02232e-05j 0.0318502-0.000192957j -0.00982294+0.00145166j 0.00711216-0.000790424j -0.0433392-0.00165469j 0.0400549-0.000547454j -0.00588688-0.00187829j -0.0691956+0.000538732j 0.0866541-0.00191885j 0.0533808-0.00135668j -0.0131029-0.00289635j -0.0363476+0.0003239j -0.104206+0.00075358j 0.0623773+0.00332903j 0.0365492+0.00252577j 0.0356981+0.00263767j 0.0274813+0.00151823j -0.0914228+0.00419145j 0.00706775+0.00188976j 0.0196617-0.00608657j 0.0603223+0.00268445j -0.0300326+0.0018238j -0.0532619+0.00162468j -0.0838635+0.00320765j 0.0357866-0.00186514j -0.0580055+0.00223389j -0.0513426+0.00188218j -0.0659947+0.00134604j -0.0539361+0.00153419j -0.0197206-0.00325514j 0.0112832-0.00111968j -0.016847-0.0058782j -0.0126133+0.00416624j -0.00292434+0.00382733j 0.0104527-0.00094083j 0.00130209-0.00362959j 0.0156461+0.00216951j 0.00760777+0.000391049j -0.00881132-0.00346195j -0.0219233-0.00090775j -0.00762482+0.00120242j -0.0115663-0.00116013j -0.0152014-0.00642577j -0.0382357+0.0050354j -0.0468409-0.00828873j -0.00043116+0.000392164j 0.0289821+0.0049061j -0.0185129+0.0157037j 0.0143251+0.00055916j 0.0234942-0.00418664j 0.0151869+0.0037122j 
-0.00609482-0.000475588j 0.00873414-0.000251031j -0.00209663-0.00125972j 0.0341059+0.00117206j 0.0031387-0.0018774j -0.0988728-0.00486534j 0.0441154-0.00345832j -0.217666-1.09549e-13j -0.0533866-0.00351478j -0.0775092+0.00108036j 0.13038+0.00315481j -0.0390798+0.000393699j -0.0157198-0.000649289j 0.0640835-0.0021007j 0.159457-0.000608215j -0.0328974-0.00108251j 0.00259342+0.00437725j -0.0245357+0.00184959j 0.0185903-0.000587476j -0.102026-0.0024126j 0.32614+1.90526e-05j -0.361369+0.00279762j -0.100056+0.000892287j -0.249649+0.000135403j 0.0655267-0.00298154j 0.0616961-0.00292502j -0.238555-0.00245318j 0.0188781-0.000361803j 0.0209634+0.000549276j 0.00048446-0.000210747j -0.088717+6.52172e-05j -0.017771+0.000381275j -0.0218474-4.02587e-05j -0.04376-0.00119636j 0.0431089-0.000868418j 0.0227805-0.00201901j 0.10362-0.00244141j -0.049266-2.63089e-05j 0.0114731+0.00131197j -0.0106757+0.00336069j -0.0636127+0.00340135j -0.03151+0.00174715j -0.0630383+0.000125786j 0.0378363-9.15275e-05j -0.0424711+0.00161547j -0.0185436+0.00208734j 0.0283334+0.000481238j 0.0410238+0.000801057j 0.0168826-0.000550728j 0.0186813-0.00200945j 0.0625626-0.000597318j -0.00344407-0.00283837j 0.024247-0.000286443j 0.0437379+0.00485715j 0.0353665+0.0005909j 0.0568767-0.00114932j 0.0473304-0.00397605j -0.0191648-0.00177211j -0.118036+0.00402298j 0.0802195+0.00327324j -0.00334004-0.00138808j -0.123531+0.00489926j -0.0137887-5.94921e-05j 0.103923+0.00418404j -0.0559397-0.002336j 0.0332571-0.00276406j -0.00704361-0.00145974j 0.0096141-0.00238004j -0.0201806-0.00173957j 0.00296061-0.00148105j 0.00609605-0.00433322j -0.00418723+0.00022617j 0.0325388-0.00750949j 0.00437047+0.00405361j 0.00705097+0.00337582j -0.00677213-0.000547609j -0.0391983-0.000378012j -0.0256972+0.00228163j 0.000243058+0.000305032j -0.0237146-0.00316196j 0.0212764-0.00120292j 0.0307054-0.00244339j -0.00286053+0.00178942j 0.0238206-0.00919607j -0.00226265-0.0085683j -0.0337203-0.00770981j -0.0391066-0.00686022j 0.0215345-0.00539289j -0.0213321+0.00539384j -0.0306215-0.00343395j 0.0112707+0.00289948j 0.0203565+0.00264493j 
-0.0214536-0.00190219j 0.000756206-0.0012969j -0.0766517+0.000527064j 0.0249562-0.00064722j -0.0239042+0.000950828j -0.0218923+0.00143773j -0.0151939-0.00255914j -0.0533866+0.00351478j -0.102625+3.93262e-15j -0.0532177+0.00241974j -0.0249227-0.000897j 0.00987983+0.000664745j -0.0655979+0.00115593j 0.0333884+0.00142414j -0.163031-0.00123254j -0.10568+0.0054749j -0.151684+0.00237748j -0.0356079+1.24276e-05j 0.216452+0.00147754j -0.359731-0.00257108j -0.265151+0.00225355j -0.0947798+0.00173121j -0.361753+0.000588742j -0.0856733+0.00020745j -0.22607+0.0021285j -0.057984-0.00454924j 0.0811058+0.00354429j -0.00867265+0.00214385j 0.0821399+0.00185779j -0.0758555-0.00310717j 0.0433355-0.00324392j 0.053799+0.00119053j -0.069388+0.00406391j -0.094058-0.00441364j 0.0858009-0.0035679j 0.00353442-0.00166221j -0.0654802-0.000688849j -0.052021+0.0053485j 0.0423103-0.00610889j 0.110025+0.00131229j 0.0392723-0.000593695j -0.00200789+0.0028823j 0.0214535+0.00205151j 0.015492-0.00939046j -0.0073634+0.00599158j -0.0798058+0.00433047j -0.0443621+0.00173061j -0.0328698+0.00217708j 0.089671-0.00392713j -0.0786508+0.00213231j -0.0251082+0.00202417j 0.0325848-0.00200026j -0.0959817-0.000251507j -0.0256143-0.000476323j -0.0154714-0.00151544j -0.00423901+0.00235373j -0.0505458-0.00369699j -0.0939877-0.00784867j 0.00719565-0.00139567j 0.0251453+0.0043765j -0.0156535-0.00220146j 0.0598131+0.0023183j -0.0778896-0.00277321j -0.0329595-0.00248293j -0.0067271+0.00466316j -0.00652556-0.00845076j 0.0465192-0.00175772j 0.0135167+0.00154903j 0.0239217+0.00291719j 0.01042+0.00939454j -0.0254399+0.00308547j -0.00880518-0.000968357j -0.0194597+0.00494718j 0.0396958-0.00247639j 0.0291643-0.00355313j -0.00995457+0.00128275j -0.0447918+0.00341079j -0.0142843-0.00601411j 0.0236427-0.00344841j -0.0133605+0.00538836j 0.0208515+0.0038348j -0.00707135-0.00274258j 0.00451065+0.000119689j 0.00163995+0.00189654j 0.0102277-0.00132867j -0.0378711+0.00650901j 0.00515832+0.00446623j 0.000823289-0.00554138j 0.0121309+0.00154483j -0.0011185-0.00542633j -0.0211844-0.0035131j 0.00746795-0.00244599j 
0.0154337+0.00159945j -0.0305575+0.00142113j 0.0738907-0.00221672j 0.0786797+0.00110894j -0.0245708-0.00534519j -0.0424509-0.00308603j -0.00429083-0.00238392j -0.0775092-0.00108036j -0.0532177-0.00241974j 0.0433499+2.42623e-15j 0.0741976-0.000555765j -0.0574765-0.00140563j 0.0523804+0.000149648j 0.0677189-0.00135104j -0.0335097+0.000483954j 0.0670261+0.00444068j 0.191991-0.000917354j 0.263263-0.00208515j 0.611662-0.00155585j 0.36421-0.000370689j -0.265209+0.000107741j -0.0847937-0.00278673j 0.0796732+0.00340383j -0.0536185+0.000774312j -0.0498328-0.000732784j 0.0897279+0.000808284j -0.142478-0.000132941j -0.00930081+0.00226199j 0.00406498-0.00493248j -0.0671513+0.00289569j -0.0708913-0.00274567j 0.004719+0.00066958j -0.0495805+0.000915106j 0.00925639+0.00143114j 0.003835+0.00432362j 0.00238665-0.00506831j -0.0387743+0.00318703j -0.0277465-0.00433317j -0.0306742+0.00398497j 0.0073789+0.00301118j -0.0568504+0.00115052j 0.0196851-0.00306289j 0.0518564-0.00281245j -0.00929619-0.00482514j 0.0115443-0.000965098j 0.0385137+0.000871147j 0.000827676-0.00198933j -0.0182397-0.00137438j -0.00232356+0.00162425j -0.0321063+0.00195687j 0.005817-0.0016396j 0.0023733-0.00718049j 0.126837+0.00146137j -0.0397851+0.00408356j 0.0216169+0.00427805j 0.00974655-0.00332219j 0.00766115-0.00363409j -0.0113003-0.00153135j -0.0353937-0.00180996j -0.102676-0.00273526j -0.0167286+0.00483812j -0.0215958-0.000608479j 0.009318-0.00138179j 0.0534034-0.00246333j -0.0339102-0.00664409j 0.0328076+0.000568039j -0.0312135+0.00078052j -0.0125553-0.00268789j -0.00191472-0.00336462j -0.00427105+0.000525163j 0.00532057+0.000483311j 0.00766518-0.00228279j 0.0242034+0.00295134j -0.0193496-0.00308047j 0.0141107-0.00320877j -0.0175839+6.38126e-05j -0.0263792+0.00355848j 0.00116149+0.0010415j -0.00311962+0.00129941j -8.91808e-05+0.00194921j 0.00926001+0.00100995j 0.0130526-0.00218574j -0.0105032+0.000826315j -0.019545+0.00212265j -0.0154543+0.00117686j -0.00680619-0.0033356j 5.06047e-05+0.0025627j -0.017145+0.000750575j -0.0307715+0.00175356j 0.00371282+0.00286082j 0.00283295+0.000107389j -0.00151567+0.00376073j 
0.00556413+0.000856727j -0.00381543+0.000438942j -0.00714259+0.00118878j 0.00574501+0.0012778j 0.0129353+0.00117237j 0.0963662+0.000346907j -0.0398506+0.00668393j 0.13038-0.00315481j -0.0249227+0.000897j 0.0741976+0.000555765j -0.0712944+5.70967e-14j -0.0143629-0.000955281j -0.128416-0.000635081j 0.0296287-0.00187965j 0.142554-0.000919439j 0.05961-0.00439088j 0.218802+0.000490408j -0.320336-0.00050269j 0.41544-5.92285e-06j -0.466346+0.00660954j 0.0124925+8.66985e-05j 0.00136389-0.00280584j 0.112275-0.00154006j 0.035298-0.00014724j 0.308825-8.9075e-06j 0.0414532+0.00184696j 0.00250653-0.00176038j -0.0906287+0.00399927j 0.0445722+0.00200905j -0.0360087+0.00108882j 0.0738781-0.00338117j 0.0536667-0.00546984j -0.0575999+0.00195591j 0.0445754+0.00159144j -0.0764473-0.00306127j -0.028184+0.00209395j 0.0103687-0.000528884j -0.0130278-0.00518657j -0.0506599-0.00100086j 0.0041203-0.0028593j -0.00884663-0.00050869j 0.0128152+0.00122362j 0.00104555+0.00253246j 0.0406971-0.00302539j 0.0105811+0.000521006j -0.00813111-0.00136978j -0.0182201+0.00258193j 0.00918506+0.00273706j 0.00766516-0.00207921j -0.0151459+0.00228871j 0.0170307-0.000757789j 0.0825204+0.0036171j -0.0392313+0.00173267j -0.0421227-0.00129896j -0.0504-0.00308914j 0.0234897+0.00463414j 0.00662356-0.000441683j 0.0662011-0.00023839j 0.055608-0.00147809j -0.0164738+0.00467411j 0.0503467-0.00637038j 0.00477979-0.00312181j 0.028694+0.00082385j -0.0072914+9.67638e-05j 0.0436632+0.0039584j 0.00864048+0.000566348j -0.000745477-0.00389781j -0.011696+0.00216435j -0.00942358-0.00326557j -0.0111322+0.0101585j -0.00581603+0.000668118j 0.00473162-0.00209639j 0.000568082+0.0008651j -0.00388053-0.000213905j -0.0140091+0.00287026j -0.00391005+0.00131076j -0.0190763-0.00259031j -0.00634037-0.000100151j -0.00501102-0.00188077j 0.000126383+0.000672135j 0.0011934+0.00109564j 0.00962713-0.00203262j 0.0180444-0.000723739j -0.00168457-0.0143742j -0.0220174-0.000571993j 0.0330009-0.000802872j 0.0195353-0.000324174j -0.00613118+0.00290831j -0.0103214-0.00512302j -0.0170076+0.00229967j -7.73424e-05+0.00379126j 0.00048328+0.000742638j 
