0.0299371-0.0125597j 0.00385794-0.0264396j -0.0381018+0.0769024j -0.029177+0.00823474j 0.0164421+0.0121857j -0.0109754-0.00803665j 0.00508291+0.0252931j 0.079553+0.00403094j 0.013778-0.0031237j 0.0081102-0.0271616j -0.00947012-0.0190209j 0.0239054-0.0104801j 0.00991989+0.0157682j 0.0107042-0.0202596j 0.0332777-0.0342079j 0.0210794+0.00576806j 0.0224705-0.000533736j 0.00105354+0.013177j -0.00290737-0.0105667j 0.0205218-0.0234027j -0.0174373+0.0082608j 0.00632101-0.00558715j 0.00384398+0.0318551j 0.0121815+0.025842j 0.0298835+0.00215512j 0.0136704+0.00916336j -0.00184896-0.0198607j -0.039339-0.00289855j 0.000988309+0.00527657j -0.0411416+0.0161467j -0.00880403-0.00411926j -0.00806485-0.0123166j -0.0284374+0.00485806j 0.0160693-0.00148905j 0.00883963+0.017945j -0.00962028+0.0242279j 0.00721466+0.00481735j 0.0095834-0.0011472j 0.0139825-0.000177253j 2.11052e-05+0.00788294j -0.00511757-0.00954257j 0.0163997+0.0163163j -0.000940471-0.00892698j 0.00426575-0.0056342j 0.0013133+0.0130989j 0.00842077-0.00681709j 0.0136265-0.0038618j -0.0155021-0.015047j -0.00513091+0.00615811j -0.00828437+0.00411286j -0.0173622+0.00309366j 0.00910425-0.00554151j -0.000763949-0.00518357j 0.0176819-0.00908236j 0.00369885+0.00337249j 0.0167735+0.021927j 0.0306658-0.012253j 0.0253263-0.0180322j 0.014385+0.00578461j 0.014106-0.0182038j 0.0125837-0.00589991j -0.0115904-0.0364649j -0.0152149+0.0103635j -0.00722478+0.0159672j 0.00867709-0.0043513j 0.0348161+0.00363151j -0.00622808+0.00270619j 0.0316307-0.00851287j 0.00273301+0.0326766j -0.0215927+0.00673569j 0.018807-0.0383489j 0.0336629+0.0110019j -0.0221124+0.0186806j -0.034531-0.0390703j -0.00846322+0.00953365j 0.0377145+0.0133083j -0.00851827+0.00291107j 0.000640858-0.029698j 0.0287236-0.00121798j -0.0134649-0.0181368j 0.00189546+0.039239j 0.00602575+0.00836987j 0.0406658+0.0173463j -0.0379875+0.0539557j -0.0102303-0.0613627j 0.0479706+0.00844351j -0.0295764-0.0334707j -0.0283566-0.0323122j 0.0417402+0.0178649j 0.0497156-0.0185331j -0.0337742+0.00655307j -0.000385517+0.00758479j 0.00410933-0.00416163j 0.00366509-0.0829103j 0.16896+0.0171022j 0.00833508+0.027046j 0.0440472-0.0186211j 
0.0132163-0.0223834j -0.0245806+0.00514136j -0.0562953+0.00802777j 0.00443412-0.0536923j -0.00128646-0.0049297j -0.0100086-0.0105655j -0.0346385+0.0145245j 0.00611567+0.0147564j 0.00999466-0.00293607j 0.014928-0.0206415j 0.00266741+0.00448786j 0.0235715+0.0178028j 0.0303768+0.0282364j 0.00667267-0.014691j 0.013066+0.025485j -0.00314928-0.0159254j -0.00806656-0.0177326j 0.00115064-0.00426496j 0.0122266+0.00622302j 0.0340887+0.0151972j -0.0121618+0.0153416j -0.0219087+0.0107889j 0.00901461-0.00577255j 0.0105328-0.00130628j 0.0134766-0.00956185j -0.0117308-0.0138098j 0.000262453-0.00671669j 0.0105867+0.0168249j 0.00242473-0.0110016j 0.0100567+0.0189046j -0.00606415+0.00271895j -0.00161035+0.00430405j 0.018408+0.033733j 0.000900491-0.00732056j 0.00668071+0.00657486j 0.0181278+0.00591889j 0.00126867+0.0023361j -0.00472632-0.0196139j -0.00139617+0.0117298j 0.00830166+0.00450909j 0.00705066-0.00777557j -0.00463033-0.00783349j -0.0137583+0.0117581j 0.00291035-0.00798849j 0.0119282-0.00832647j 0.00588621-0.0210146j -0.00281544+0.0087899j 0.00112103+0.00460728j 0.0116332+0.0188373j -0.0127497+0.0106223j -0.00945289-0.00323498j -0.0244019-0.0133668j -0.0118583+0.00999623j -0.0219785+0.000215514j -0.0139858-0.00172631j -0.00623814-0.0152964j -0.00752773-0.0160785j 0.0245457+0.00311199j 0.029543-0.0386757j 0.000828447-0.0172866j -0.00535991-0.0045914j 0.0129773+0.0139246j 0.0165298+0.00154372j 0.015975+0.011427j 0.0102454-0.00800315j -0.00879406+0.00151852j 0.0275662-0.00815712j -0.0268158+0.00793487j 0.0254294+0.0104501j 0.00774673-0.00153415j -0.0469056+0.0094617j 0.017242+0.0108667j 0.00786231+0.0417995j -0.0357364+0.0264133j 0.0349816+0.0202764j 0.0172664-0.00840948j 0.00300846-0.0224628j -0.0254986+0.00671738j 0.0221344+0.0119499j -0.0160943-0.0252789j -0.0215016-0.0201719j -0.0229635+0.0208758j 0.0282971+0.0217335j 0.00582657-0.0279948j 0.0447125+0.0207175j -0.0119584+0.0407654j 0.0396652-0.0211548j 0.0394607-0.0221374j -0.0114797+0.012131j 0.0212907-0.0407929j -0.0182202-0.0504662j -0.0142394+0.00632986j 0.0164464+0.0098878j 0.114115+0.00671829j 0.000296215+0.118056j -0.0262425+0.0190621j 0.00650453+0.0415386j 
-0.00277926+0.00175271j 0.0163595-0.0102553j 0.0655119+0.020743j -0.020354+0.0248892j -0.0077133+0.000805421j -0.00306598+0.000172414j 0.0213863-0.00565907j -0.00478864+0.00595734j 0.0180006+0.00127277j -0.0398943+0.0281451j 0.00205131+0.00924964j -0.0360232-0.00742602j -0.0220309-0.0334003j -0.0299951+0.0317088j 0.0189947-0.0109717j -0.0119823+0.0111567j -0.0107982+0.0143832j 0.00517813+0.0180945j -0.0265729-0.0139174j -0.0079559+0.00180294j 0.0114092+0.00611243j -0.00544128-0.00710466j -0.0121298-0.00195519j -0.0317637+0.00486519j -0.0171982+0.00392918j 0.0155394+0.00611882j -0.0078512+0.0107491j 0.00102601-0.00414273j 0.00720244-0.00214225j -0.000817978-0.00516621j 0.00675985+0.0202977j -0.00484583-0.00106589j -0.0249872-0.0244903j 0.00724214-0.0058508j -0.0121264-0.0161334j -0.0200216+0.00368319j -0.00363403+0.00937078j 0.00801395+0.00278118j -0.0202566-0.0112948j -0.0117633+0.0203064j 0.00290498-0.0188176j 0.00397306+0.00679265j 0.0214445-0.0018015j -0.000412408+0.0141067j 0.00966946+0.0143064j -0.00731145-0.0020054j -0.00783601-0.00634602j -0.00635627+0.00748164j -0.00927758+0.00561696j 0.0240155+0.00245448j 0.0267298+0.00857102j 0.0360519-0.0104324j -0.00281229-0.0107815j 0.00828972+0.0176236j -0.0198141-0.00685834j 0.00442233+0.0223075j -0.00555603+0.0127155j -0.0400143+0.0142861j 0.00258883+0.0163884j 0.0215505+0.00739798j 0.0102414-0.00139367j -0.0316245-0.00503053j -0.00642261+0.000308193j -0.00510544-0.00446578j -0.0315652-0.00590323j -0.0347004-0.0179545j -0.00447268+0.0105343j -0.0205087-0.00902387j -0.0315741-0.000108398j 0.0198904-0.00196126j 0.034653+0.0183176j -0.033153+0.0230639j 0.0091964-0.0152521j 0.00356364+0.012306j 0.00701505+0.0172761j -0.0108182+0.0195172j 4.54431e-05+0.0077395j 0.00186776-0.0111542j -0.021907-0.0219579j -0.0117415+0.0135208j -0.0233837+0.00581102j -0.00345299+0.0303513j -0.0674221-0.0269488j 0.0177406-6.56063e-05j 0.0115769-0.0211121j 0.0276057+0.00545169j 0.0409264-0.0152477j -2.09613e-05-0.0424593j -0.0235638+0.0442786j -0.0907495-0.0342991j -0.00486904+0.0402551j 0.0283795+0.00455068j 0.00996766-0.0198012j -0.00463069-0.0462477j -0.0111351-0.0263816j -0.0168041+0.000789164j -0.0222977-0.00441927j 
-0.0239524+0.00414955j -0.00028417+0.0119282j 0.041935-0.0361649j 0.0288055+0.0132835j 0.0236794-0.00923974j 0.0021454-0.00239888j 0.00391752-0.00570666j -0.0279291-0.0328484j -0.0143517-0.00213085j 0.038545-0.0125704j 0.0186478-0.00174634j -0.0101406+0.00510786j -0.00966633-0.0159267j 0.00630492+0.0306645j -0.0299788+0.00616282j 0.0215272+0.0133062j 0.0041542+0.033047j 0.0123092-0.0269146j 0.0162149-0.00691278j -0.0167809-0.0104829j 0.00337085-0.00680122j -0.00387099-0.00993918j -0.0153607-0.01403j -0.0111154-0.0215343j -0.0111912-0.00213213j -0.0251785-0.016942j 0.0138956+0.00554585j 0.0179906-0.00201691j -0.01065+0.00885572j 0.00381222-0.0101959j -0.00235687-0.0049902j -0.000167445+0.0126237j 0.0174166-0.0140294j -0.01047+0.0218027j 0.000796667-0.0210522j -0.0233212-0.00369483j -0.00235157-0.0011748j -0.013429+0.0323584j 0.0172987-0.00134211j 0.0212751-0.0203384j 0.011147+0.0310362j 0.00756731-0.0290085j 0.0105299-0.0129056j -0.000587683-0.0170874j -0.0251736-0.012716j -0.00960249+0.0150672j -0.00510417-0.000697858j 0.0210551-0.00779825j -0.000995651-0.0323492j -0.00258591-0.0167855j -0.00855077-0.000598457j 0.0133898+0.0161058j -0.000224821+0.00848102j -0.0264812+0.00766554j 0.0357189-0.015132j -0.0135567-0.0097773j -0.0352209-0.0104687j -0.0117734+0.0162505j -0.0448555+0.00626746j -0.0206119+0.0221635j -0.00818712+0.0126937j 0.0374079+0.0291048j -0.023782-0.0173137j 0.0210706-0.0217193j 0.0123966-0.00375519j -0.013824+0.034116j -0.0118509-0.00315361j 0.00427168-0.0290257j 0.000193557-0.0240827j 0.0174404-0.0212272j -0.00814888-0.00423871j 0.00490881-0.0195048j 0.0458453-0.0207561j 0.0256561+0.0463281j 0.0239364-0.000637694j -0.00944459+0.00725019j 0.0230258+0.0092754j 0.0387894+0.0495975j -0.0535993-0.0150994j 0.0232181-0.000290243j 0.017648-0.00597942j -0.0118351+0.0129039j -0.0208268-0.00520841j 0.0211538-0.0373082j 0.0305294+0.0570963j -0.0259003-0.0518421j 0.0132333-0.0096609j -0.0805338+0.0377325j 0.0138432+0.00233138j -0.0101001+0.0354359j 0.0233552+0.00532547j -0.00143386-0.020794j -0.036216+0.0114531j -0.0187138+0.0192694j -0.0687514-0.00439487j -0.0224996+0.027418j 0.0133914+0.0273131j 
-0.0135536+0.00807055j -0.000315266-0.00287039j 0.0643483-0.0241549j 0.0110184-0.00838634j 0.00138357+0.00438443j 0.0169836-0.00571254j 0.00746669-0.0359113j -0.043461+0.0109053j 0.0561349-0.020521j -0.0240822-0.00548041j 0.0143527-0.0197552j -0.028358-0.0202269j -0.00540809-0.00355472j 0.00144196-0.00763924j -0.0415832+0.0263886j 0.00414878-0.0101874j -0.00962408+0.01156j -0.018701+0.0124642j 0.0188428+0.00201009j -0.00923884+0.00117799j -0.0192025+0.0235507j 0.0375384+0.0211006j -0.00893003-0.019999j -0.0185929-0.0102874j -0.016833-0.00489248j -0.00814105-0.00719656j 0.0309152+0.00352078j 0.0218268-0.0241296j -0.00113955+1.56473e-05j 0.0240771-0.00495543j 0.0201086-0.00541499j 0.0128949-0.000370271j -0.0327211-0.0181368j -0.0125601-0.00764741j -0.022375-0.00636885j 0.0148121-0.0227525j -0.00590856-0.0130218j -0.01226-0.00417717j -0.0248571+0.0023344j -0.00501258-0.0171874j -0.0108947-0.0152363j -0.0156201+0.01439j -0.0245719+0.0215628j -0.00507224+0.00065886j 0.0106762+0.00786254j 0.00973632-0.00991019j -0.0213-0.0118899j 0.0158083+0.00162373j 0.00298871+0.0129736j 0.0148697-0.0067572j 0.00791962+0.0123949j -0.033832+0.0105628j 0.0067145+0.0170223j -0.0192824-0.0162691j 0.0111875+0.00260181j -0.013736-0.0218965j 0.0148171+0.0116491j 0.00107763-0.0142374j 0.0363424-0.0182921j -0.00682459-0.0232225j -0.0036221-0.00767707j -0.000419456+0.0158957j 0.0492766+0.00253509j -0.0128801+0.0072465j -0.0227162+0.0135921j -0.0150292-0.0250611j -0.00333822-0.0030608j -0.0142847+0.0312114j 0.0190909+0.0162392j -0.00454655-0.00833382j -0.0170347-0.00719134j -0.023364+0.00257346j -0.0328674-0.0135018j 0.00164053-0.0140183j -0.00315153+0.00725545j 0.0128919-0.0110567j 0.0143605+0.00369552j -0.0416281-0.018165j -0.00948058-0.0165549j 0.00653782-0.0351152j -0.0285092-0.00300405j 0.0148847+0.0179809j -0.0144691-0.00715085j 0.00273406-0.00894889j 0.0585976-0.00442287j -0.0309541+0.03335j -0.0300323-0.0403103j 0.0773528+0.0257344j 0.025621+0.0512713j -0.0532235-0.014131j 0.00425071+0.0489119j 0.0046739+0.0189864j 0.032508+0.00164642j 0.00524664-0.03726j 0.00741403-0.00903339j 0.00834078+0.0268195j 0.0135091-0.0230369j 
0.00851923-0.0194699j -0.0147599-0.00576205j -0.00516023+0.00380265j -0.0125315-0.0351193j -0.0141454-0.00405426j 0.00502068-0.0161299j -0.0240441-0.00168615j -0.0207432+0.00782575j 0.0137672+0.0345441j -0.0439903-0.0127017j 0.00665643-0.00513319j 0.00838281+0.00557077j 0.00943997+0.0192708j -0.0285635-0.000797901j 0.0221164+0.0254749j 0.00106777+0.00208097j -0.000860488-0.00979837j -0.00317828+0.00656488j -0.0164278-0.00472268j 0.0250166+0.0297222j -0.027292-0.00540717j -0.0373462-0.00341332j 0.0375985-0.0183046j 0.00407498-0.010345j -0.00627358-0.0339359j -0.000470477-0.00997579j -0.00889558-0.0020433j 0.0166084+0.0139641j 0.00470256+0.00328524j 0.002506+0.0207929j -0.000333192-0.00313211j -0.0129848+0.0149574j 0.0112938+0.0247157j -0.0264276-0.0194193j -0.00386146-0.00086548j 0.0112169+0.00808138j -0.00305861+0.00704605j 0.00446028-0.0302901j -0.0108353+0.0328848j 0.00828128-0.0108859j 0.00568216-0.0209302j 0.0206455-0.0162249j 0.00903578-0.0039912j 0.0190712+0.00326777j 0.0206578-0.0258495j 0.00260714-0.0122238j -0.00182139+0.010503j 0.00494783-0.0070105j 0.0206501-0.00550734j -0.0316667-0.00616191j 0.0213878-0.011692j -0.0163815-0.0135998j -0.0173606+0.0166122j -0.00621404+0.0172583j -0.00691358-0.000642575j 0.0113354-0.0123655j -0.00631399-0.00259128j -0.00979234-0.0083988j 0.00570138-0.0387302j -0.0098512-0.0339519j -0.0209252-0.033244j -0.00509548-0.0209141j 0.023019-0.0152617j 0.00723052-0.00771357j -0.0130328-0.00258775j -0.0564458+0.0283165j -0.00296199-0.0205774j -0.0294121+0.0166667j 0.025609-0.00270956j 0.00548093-0.020662j -0.0232324+0.00600918j 0.00191344-0.00759573j 0.0660814+0.0137568j -0.0181845+0.0500143j 0.0267133-0.00180452j 0.0296875-0.0079898j 0.0283899-0.016376j 0.00676059-0.0358389j -0.0147117-0.00658936j -0.0201753-0.0460385j 0.0215088-0.0302409j -0.0558302+0.00793308j -0.0197707-0.0381896j 0.017576-0.0679799j 0.0422936+0.0382881j -0.0580187+0.0453806j 0.0579303-0.0353966j 0.00768426+0.0311684j -0.0610026+0.00808297j 0.00834222-0.0940388j -0.0348927-0.0479598j -0.0214704+0.0126627j -0.00475653+0.0348002j 0.0741524-0.00735661j -0.0195386+0.075129j 0.00394022+0.0254657j 0.00203218-0.00536268j 
-0.0174572-0.0100428j 0.0139231+0.0040065j 0.100905+0.0209815j -0.0229419+0.00636491j 0.0102155+0.00202424j -0.0114823-0.01081j 0.0106845-0.00656994j -0.0140386+0.0273863j 0.0300857+0.00843716j -0.0119922+0.025911j 0.036223+0.0149346j -0.0379612-0.0303556j -0.0158152-0.0456756j -0.0411651+0.0568005j -0.0123272+0.0284214j 0.0374305+0.0275452j -0.00972544+0.0554727j 0.0113235+0.0184461j 0.0118408-0.0318296j -0.0153457-0.00669839j 0.0353316+0.0210984j -0.0142984+0.0126964j -0.0300023-0.010932j -0.059232-0.000135505j -0.0149069-0.0194076j -0.0194263-0.0222018j 0.0328152+0.0154851j 0.00422268-0.0119273j 0.000272784-0.00253687j 0.00768651-0.00102938j 0.00442002+0.032687j -0.000432593-0.00714986j -0.0289598-0.0390018j -0.0125125-0.00434279j -0.0221922-0.0341371j -0.028016+0.0109686j -0.0026596+0.0121495j 0.0119472+0.0274757j -0.0205869-0.0119391j -0.00238724-0.0058401j 0.0164426-0.010373j 0.0142443+0.00355368j 0.0340582+0.0145181j -0.0113372+0.000169327j 0.00761044-0.0022519j -0.0179648+0.00554167j -0.0288437-0.0135996j 0.0136202-0.000180731j -0.00390248-0.0102921j 0.0198265-0.0142584j 0.0231109+0.0176134j 0.0202614-0.00441331j -0.00998272-0.0164219j -0.00676217+0.0177701j -0.00159227-0.021805j -0.0157021+0.00644204j -0.019677+0.0124185j -0.024122+0.0036025j -0.00350947+0.00439075j -0.00925601+0.000540165j 0.0109818+0.00112785j 0.0131385-0.000341607j 0.00975981-0.00802502j 0.0215348-0.00204234j -0.0431326+0.000502332j -0.0148208-0.0132959j -0.0226257+0.0095998j -0.0373117+0.0110803j -0.0529404-0.0189472j 0.0276387+0.00561439j 0.0204807+0.00175532j -0.044501+0.0578967j 0.0234655-0.0353688j 0.00197699-0.0037672j 0.0103283+0.0298679j 0.0358285+0.0420599j 0.020314+6.37335e-05j 0.00261561-0.0175355j -0.00351052-0.0396036j 0.000423219+0.0409739j 0.0105866-0.0354112j -0.0381328+0.0509418j -0.0432706-0.0409523j 0.0158807-0.00954509j 0.00624923+0.0108018j 0.00401703+0.0122973j 0.04256-0.0199735j 0.00229298-0.0298513j -0.0253421+0.0395382j -0.0606195-0.0301994j -0.0090476+0.0411502j 7.75752e-05+0.00709362j 0.00276905-0.00658644j -0.000398212-0.0363468j -0.0432234-0.0134241j -0.0135951+0.00898647j -0.0246857+0.017522j 
-0.00227156-0.00326779j -0.0159005+0.0125899j -0.0226343-0.0562515j 0.0321152-0.0378623j 0.0100081-0.0228398j 0.00478182-0.0150126j -0.00968778-0.0636989j 0.00599284+0.0161566j -0.0347484+0.0345456j 0.0233177-0.0285089j -0.00225084+0.0196951j 0.0133918+0.0334857j -0.00480277-0.0179607j 0.00848681-0.00756376j -0.00772274+0.0374366j 0.0298544+0.0712185j 0.0190684-0.012071j 0.0201459-0.0274206j 0.00747539-0.0359154j -0.0106266+0.0152314j 0.0105114-0.0118701j 0.00557939+0.0353641j 0.0268936-0.0303096j 0.0039123-0.0114031j -0.0289002-0.0778241j -0.0206698-0.0425617j 0.00956605+0.00723174j 0.00879202+0.00637649j 0.00859312+0.00660454j -0.0167836-0.0105294j -0.0115681-0.0176708j -0.00307065+0.0123852j 0.0504408+0.0285797j -0.0468035-0.00924503j 0.0157192-0.0196289j 0.0222744-0.00175172j 0.00184467+0.00528739j -0.0122891+0.0120484j 0.0500344+0.00049024j -0.0161556-0.0294688j -0.00430855+0.0154229j 0.0109439-0.0103816j -0.0016481-0.013771j 0.0217166-0.00858664j -0.00860162-0.0010212j -0.00783332+0.0283461j 0.0029039+0.0129389j 0.0334884+0.0070417j 0.0124245-0.00610753j -0.0292869-0.00866498j -0.000196698+0.00304232j 0.0129378+0.0189014j 0.00191476+0.0212918j 0.0150536+0.00991318j 0.016202+0.0198366j -0.0200775-0.0143595j 0.00533526+0.0114454j 0.0329381+0.00597262j -0.0212888+0.0185726j -0.0205396+0.00156858j -0.00314294+0.00590713j 0.0181802+0.00811128j -0.0057548-0.0153352j 0.0342807-0.0108702j -0.0430792+0.00833922j 0.041201+0.0118009j -0.00900102+0.014964j 0.0493522+0.0162618j 0.00778979-0.0275695j 0.00111064-0.0159621j -0.0286629+0.0371782j 0.0128983-0.0224838j 0.00969905-0.0243174j 0.0232124+0.00291141j 0.012357+0.0259518j -0.0322292+0.0838514j 0.027119-0.00321743j 0.0222512+0.0109405j -0.0099243-0.00588309j 0.0154415-0.0159201j 0.0304151-0.0295931j -0.0203776+0.0130522j 0.0276178-0.0403605j 0.0194361-0.0719085j -0.0143495+0.0315095j -0.00106607-0.041715j -0.026161+0.0294844j -0.0324403+0.0151602j -0.0108105-0.0116119j 0.0787091-0.041227j 0.0619672+0.0411541j -0.0127678+0.010349j -0.0249439-0.00485221j -0.00905505+0.0327623j -0.0829937-0.0204445j 0.00533796-0.00446042j -0.0143155+0.012493j 
-0.0117082-0.00651651j 0.00645519-0.00850363j 0.0219251+0.0130455j -0.0340484+0.0140702j -0.006677+0.0141425j 0.0135426+0.00457368j -0.00501547+0.0429559j -0.0514185-0.0180573j 0.0317244+0.00973039j -0.0320446-0.0310308j 0.0225825-0.0347356j 0.020814-0.0324589j -0.0110882+0.0416247j 0.0109635+0.000356631j -0.0343389-0.0125674j -0.0145032-0.0235688j -0.0089338+0.0404844j -0.0321604-0.00789835j -0.020536+0.0355952j -0.00678266-0.0119742j -0.0500173-0.0270459j 0.0251153-0.0298758j 0.0162296+0.0189898j 0.0174262+0.00566411j 0.0290043+0.00715792j 0.00714391+0.0315338j 0.00767861+0.000881386j 0.0199212-0.0193781j -0.00343395+0.006967j 0.00337238-0.0219545j 0.0332233-0.0275231j 0.000784247+0.016064j -0.0238996+0.00338072j 0.00655308+0.0127858j -0.0223147+0.0343822j -0.0075127-0.010103j -0.00486667-0.00669616j 0.0035513-0.00574405j 0.00439781+0.0453954j 0.00408325-0.00769617j -0.0344957+0.0186065j 0.000115718-0.0191195j -0.0263545-0.0108662j -0.0144527+0.0138392j -0.0104422-0.0132227j 0.0139992+0.013524j -0.0196893-0.00572815j 0.00878952-0.0338253j 0.0259071-0.0314775j -0.00714166+0.0041001j -0.020099-0.0190844j -0.0147926+0.00423914j -0.000498125+0.0252413j -0.023278-0.0503745j 0.0136238+0.0150677j 0.01341-0.0357934j 0.01277-0.00767162j -0.0235978-0.0222524j -0.0268825-0.0262665j -0.0355247+0.00203217j -0.0340192-0.0180433j 0.0180558-0.0147923j -5.63296e-05+0.02408j -0.0296688-0.0150488j 0.0416262+0.0115811j -0.0210813+0.0308867j 0.0103039-0.0304961j 0.0103961-0.000289364j 0.0319946+0.0162226j -0.0184783-0.017421j 0.0369136-0.0269737j -0.0201087-0.00765187j -0.0263038+0.0260241j 0.0343922-0.0155733j 0.00407432-0.0573998j 0.0154657-0.0351551j 0.0118724+0.0223915j 0.0340231-0.0262324j 0.0343839+0.0340269j 0.0162631-0.00557444j -0.0024872+0.0577363j 0.0578422-0.010253j 0.0645941+0.00197381j 0.00461772+0.017946j -0.0227846-0.00646442j -0.0708936-0.0284279j -0.001516+0.0138575j -0.00156158+0.0710438j -0.0205365-0.0502736j 0.00971136+0.00669334j -0.036388-0.0542345j -0.0146948+0.00483976j 0.0344744+0.0198693j 0.02052+0.0342731j 0.0435553+0.0168192j -0.0104407+0.00382067j 0.0104187+0.0135344j 
-0.000358663+0.00423354j -0.000729781-0.00182488j -0.00392912+0.000991183j -0.00952698-0.0203235j 0.00335083-0.0082755j -0.00254307-0.00790102j 0.015351-0.0183506j 0.0119034+0.0549487j 0.020164+0.00760768j -0.0195566-0.0119825j -0.000486637-0.00146477j -0.0143412-0.0184951j -0.00702876-0.0339448j 0.0396368-0.00584647j -0.00562537+0.0191581j 0.0141923-0.0164213j 0.00312596-0.0216492j -0.0423645+0.0227436j -0.0135858+0.015921j 0.00523971-0.0165558j 0.00518292+0.0397996j 0.0458166+0.0413843j -0.033007+0.00658277j 0.0184709+0.0190337j -0.00293802+0.00280083j -0.00502354-0.0175856j 0.00311794+0.0196986j -0.0274525+0.0123592j 0.0243074-0.0150655j 0.018877-0.0233315j -0.0108622+0.00392983j 0.00725733+0.00168458j -0.0119857-0.0178731j -0.00768156-0.0428846j -0.0170226-0.000711965j 0.0433086-0.0125042j -0.00440178-0.0153282j 0.00405101-0.0129727j -0.0261665-0.0179441j -0.0120025+0.0101723j 0.00415673-0.0360865j -0.0303433+0.0402945j -0.0334366-0.000875508j 0.0209311+0.0137094j 0.0169005+0.0264784j 0.0287732-0.039674j -0.00400996+0.0084417j 0.00942997+0.0351109j -0.0132869+0.0565452j 0.0219113+0.00578376j 0.0111312+0.00528205j -0.0107825+0.0170017j -0.0120724+0.0054765j 0.0116475-0.0328583j -0.00650152+0.0136014j -0.00754269-0.0206254j 0.00438133+0.011412j 0.0214312-0.0159724j 0.0360691-0.00144879j -0.00294208-0.0053779j 0.0319678-0.00025606j -0.0200162+0.0181834j -0.0044383+0.0299123j -0.0244718+0.0300687j -0.0137909+0.0184122j 0.0545245-0.04101j 0.000615803+0.00773621j 0.0178737+0.0125328j 0.0158111+0.0105436j -0.0241044+0.00511604j -0.00759923+0.0106236j -0.0268817+0.0371964j -0.0644935-0.0206998j -0.0465246-0.0508964j -0.0158497+0.0370433j -0.0160498+0.042047j 0.0111626+0.00188874j -0.0366183-0.0236305j 0.0300818-0.00607883j 0.00312658-0.0188132j -0.0094333+0.0236329j 0.00183765+0.0390391j 0.0481062+0.0100002j -0.00530696+0.0179434j 0.0376669-0.0380033j 0.0189091-0.0249833j -0.045397-0.00511407j 0.0550587-0.012458j 0.0197611+0.0176445j 0.0311639-0.0203781j 0.0156738+0.0352226j 0.00782176-2.615e-05j 0.015536-0.0209152j -0.0016514-0.0165672j 0.0261613-0.0213437j 0.00132945+0.010361j 0.0312477+0.0171082j 
-0.00654514+0.00500553j -0.00410561+0.00880451j 0.0129231-0.0224221j 0.00530819+0.00498601j -0.000150797-0.00434183j 0.0135129+9.85901e-05j 0.0161294-0.0353778j -0.0159024+0.00160156j -0.0102563+0.00503084j 0.00619714-0.00125223j -0.0326688+0.0013433j 0.0120209-0.021203j 0.00615312-0.00485152j 0.0135707-0.00996453j -0.0209666+0.0114744j -0.00364514+0.0199234j 0.00696085+0.00514165j 0.0107367-0.00213482j 0.0244632-0.0128373j -0.0379522-0.0313803j 0.0234486+0.0119321j 0.0566987+0.0255688j -0.0163578+0.00485133j -0.0298679-0.018369j -0.00604985-0.00069j -0.0041738-0.00519059j 0.0201002+0.0151264j -0.00080194+0.0165351j 0.0147781-0.00944174j 0.00158207-0.0189729j 0.00636295-0.00867971j 0.00882118-0.0118935j 0.000968979-0.0106361j -0.0111719-0.00185351j 0.00153101+0.0330342j 0.0219192-0.00984907j -0.00506127-6.29893e-05j -0.00052231+0.00498397j 0.0234964-0.0139804j -0.00725287-0.00544382j 0.00206305+0.0250101j -0.00795037+0.0180342j -0.0219383+0.00282688j -0.00568328+0.00512117j -0.0171532+0.00751321j 0.0181503+0.000688721j 0.00818909+0.0284573j 0.0229889+0.00898796j -0.0166886+0.0252423j 0.0394635+0.00403469j -0.0106883+0.0226428j 0.00197189+0.025968j -0.000750483+0.0254642j 0.0331546-0.0232765j -0.0047152-0.00911929j -0.0263397-0.0225999j 0.0420058+0.0222864j -0.00562402-0.000464122j 0.00335694+0.00811862j -0.00399652+0.0348461j -0.00137149+0.0298273j -0.00439494+0.0318202j 0.0220018+0.0595486j 0.0033294+0.0223006j -0.00590024+0.0135251j 0.0830389-0.0315343j 0.00762143+0.0402085j 0.0248574+0.0321325j -0.0366982+0.0193751j 0.0163882+0.0126164j 0.00613767+0.0474879j -0.0318746-0.021203j -0.0685359-0.0219947j 0.0268449-0.0773927j -0.0304512-0.012409j -0.0344367+0.0438479j -0.0303384+0.000467271j 0.0223634+0.000455905j 0.0165242+0.0212385j 0.0285668+0.0229979j 0.00567757+0.0292611j 0.0418478-0.0444666j 0.0660402+0.00537664j -0.0277169+0.0270129j -0.0438473-0.0383715j 0.015161+0.00142643j -0.0710385+0.0104015j 0.0261402-0.0177598j 0.033206-0.0462457j 0.0408521+0.0314631j 0.031967+0.0472884j 0.0166551-0.00434237j 0.00360855-0.0341321j -0.0354815+0.0201342j -0.00222741-0.068388j 0.0320754+0.00290925j 0.00369591-0.0192641j 
