0.0535237+2.83627e-16j 0.0565008-0.00108335j 0.000174941-0.000889223j 0.158286-0.000927901j -0.90078+0.00326126j -0.105972-0.00498145j 0.0119436-0.00761841j -0.0497088-0.0130516j -0.0054869+0.00797837j -0.00438461+0.0108453j -0.0875646-0.0141034j -0.0276664-0.00779872j 0.260201+0.0340576j -0.0107251-0.0124836j -0.0546643+0.000593687j 0.0218254-0.0256956j -0.0115317-0.0173595j -0.0132963-0.00768083j 0.0012909-0.00703289j -0.00208941-0.0082128j 0.0436658-0.0132061j -0.0108149-0.0212404j -0.0179017+0.00852493j 0.000874872+0.00419638j -0.00674205+0.025289j 0.0320171-0.0140083j -0.00121332-0.00627461j -0.0405773-0.0087727j -0.0485929-0.000361424j -0.0259377+0.0447654j -0.0594541-0.000310694j 0.0377331-0.00359149j -0.0281172-0.00340643j 0.0917772-0.0620284j 
0.0565008+0.00108335j -0.37102-1.01742e-15j 0.0440846-0.00053076j -0.8385+0.00039137j -0.212671+0.00161867j 0.0474051+0.00109731j 0.109996+0.0182627j 0.121692+0.0168411j 0.0228317+0.000703581j -0.0526797+0.00953443j 0.137518+0.0156097j -0.0672019+0.00162656j 0.00757562+0.00789842j -0.00683558+0.0227775j 0.0418567-0.0044045j -0.0484175+0.0249786j 0.0083164+0.022422j 0.00278241+0.0115369j -0.0168762+0.00732705j -0.0206515-0.00402857j -0.0391148+0.000601924j 0.000971271+0.0169914j 0.0290162-0.0138773j 0.0159372+0.00905445j 0.0142186-0.0118598j -0.0330162-0.00342266j 0.0135717-0.0105089j -0.0522005-0.0159259j 0.00946871-0.00151249j -0.0133648+0.0432399j -0.024871+0.0124619j -0.0187894+0.0211708j -0.0563322+0.0496979j -0.041133-0.002599j 
0.000174941+0.000889223j 0.0440846+0.00053076j -0.972762+2.50638e-13j -0.0709564+0.000363209j -0.00562108+4.85148e-05j -0.000392857-0.000127529j -0.00806883-0.00221683j 0.0143578+0.000629182j -0.105149-0.00396514j -0.124508-0.00915152j -0.00159856-8.02493e-05j -0.00137712-0.00220919j 0.00943464-0.000168202j 0.00275801-0.00241237j -0.00228301-0.00605063j 0.00242115+0.00149829j -0.0148496-0.0378276j 0.048236+0.0428607j 0.0383055-0.0460033j -0.0114855-0.014629j 0.0336214-0.0180407j -0.00706887+0.00927441j 0.0323182-0.0311025j -0.0510822-0.0309019j -0.00269374+0.00482823j -0.0172472-0.0138426j -0.0492619+0.0409894j 0.0268958+0.033503j 0.00153981-0.0107277j 0.0277399-0.0452079j -0.00553404+0.00291619j 0.00234734-0.000587922j 0.00177676+0.000957415j 0.00367844-0.00117141j 
0.158286+0.000927901j -0.8385-0.00039137j -0.0709564-0.000363209j 0.446321-3.82073e-16j 0.0303046+8.66102e-05j -0.0060512-0.00342817j 0.164558+0.019393j 0.0461771+0.00922012j -0.0624608+0.00309785j 0.0402555+0.00455845j -0.0157368-7.32559e-05j -0.046916+0.0036079j -0.0297491+0.00581038j -0.0166559+0.0227334j 0.0155976-0.0199617j -0.0617286+0.0228344j 0.00311975+0.0270186j -0.0137806-0.00574958j -0.014806+0.010979j -0.000439394+0.0095666j -0.00925831-0.011504j -0.0340565-0.0291476j -0.0180582+0.0177055j -0.0255878-0.0167413j -0.0226872+0.0270145j 0.00733037-0.0089304j -0.0175186+0.0233238j -0.0151834-0.00166467j -0.0163433+0.0345153j -0.0091857+0.0103157j -0.00344813+0.0130257j -0.013891+0.00685912j -0.0375781+0.011902j -0.019691-0.00270275j 
-0.90078-0.00326126j -0.212671-0.00161867j -0.00562108-4.85148e-05j 0.0303046-8.66102e-05j -0.100155-1.3262e-15j 0.200034+0.0183098j -0.0637601-0.0259363j -0.0226357+0.00677571j -0.0533281-0.00823093j -0.00699363+0.00250855j -0.0172899+0.00229781j 0.0366558-0.0392459j 0.0428685-0.0146031j 0.0828148-0.0582606j -0.000531131-0.0302664j 0.018799+0.0241668j 0.0133485+0.054337j -0.0123237-0.008575j -0.0493875+0.0162106j 0.0177359-0.00117501j -0.0217616+0.0214801j 0.0117614+0.0187941j 0.000648385-0.0112708j 0.00231262+0.000318578j 0.0236508-0.00843839j 0.000324869+0.0105781j -0.00135381-0.00095875j 0.00837274+0.00281115j 0.0340532-0.0206929j 0.0128454-0.0022863j 0.00588447-0.0143866j 0.0153+0.000808927j 0.0377353-0.00460177j 0.00927735+0.00366186j 
-0.105972+0.00498145j 0.0474051-0.00109731j -0.000392857+0.000127529j -0.0060512+0.00342817j 0.200034-0.0183098j 0.0879926-7.20257e-15j -0.0575329-0.00662575j -0.00787432-0.0037885j -0.00705739-5.69197e-05j -0.0075373+0.000613538j 0.0197759-0.00424727j 0.0668742-0.00675161j -0.0918342-0.00354114j 0.00540327-0.0192298j -0.0457817-0.00159824j 0.00158228-0.0544442j -0.00108776-0.00481829j -0.0226558-0.0132281j -0.00431235+0.00340018j -0.026205-0.0391672j 0.0231527-0.0465864j 0.0108063-0.00944747j -0.00785357+0.0182341j 0.00992458+0.018208j 0.00590615+0.00878662j -0.0156401-0.0750698j -0.0186203-0.00209699j 0.0159035+0.0135999j -0.059262+0.0224951j -0.0168688+0.0287735j 0.0168027+0.113661j -0.0300992-0.012948j -0.0908924-0.00432541j 0.034449-0.0211788j 
0.0119436+0.00761841j 0.109996-0.0182627j -0.00806883+0.00221683j 0.164558-0.019393j -0.0637601+0.0259363j -0.0575329+0.00662575j -0.0617472-1.71738e-16j -0.0829471-0.00144262j -0.0126781+0.00230686j -0.00516152+0.00131798j -0.104401-0.0020795j -0.0285699+0.00774012j 0.133356+0.00542671j 0.00399563+0.0459537j 0.023832+0.00383322j 0.00336051+0.0875309j -0.00469932+0.000952994j 0.00647947+0.0102303j 0.00940552+0.00192804j 0.0205619+0.0436633j -0.0222851+0.0421507j -0.00427286+0.00994412j 0.00956785-0.0234433j 0.00538188+0.00378087j -0.00839916-0.00180544j 0.0025676+0.0408786j -0.0109607-0.00197089j 0.0207763+0.0468259j 0.0344582-0.00521552j -0.0411294+0.0232653j 0.0132841+0.0208575j 0.0206326+0.207117j -0.0421187-0.00219011j -0.185738+0.00547766j 
-0.0497088+0.0130516j 0.121692-0.0168411j 0.0143578-0.000629182j 0.0461771-0.00922012j -0.0226357-0.00677571j -0.00787432+0.0037885j -0.0829471+0.00144262j -0.0635785-1.07553e-16j -0.0127159+0.00148894j 0.00203213-0.000791546j -0.0764555+4.84706e-05j -0.00614077+0.00288079j 0.0268383-0.001272j 0.00678422+0.0521262j 0.0385231+0.00971287j -0.00669892+0.0766815j 0.00614442+0.00297646j 0.00389467+0.00379362j 0.00593759-0.0074495j 0.0176334+0.03032j -0.030591+0.00665839j 0.046059+0.0465535j 0.0181683-0.00887627j -0.00168206+0.00985593j -0.0405903+0.0514578j -0.00192321-0.00302643j -0.00329275+0.00691129j -0.00800619-0.00949855j -0.00699758+0.0201688j 0.016429-0.000146466j 0.00448471+0.114056j 0.000111444+0.0433121j -0.115265-0.00531616j -0.0355736+0.000369162j 
-0.0054869-0.00797837j 0.0228317-0.000703581j -0.105149+0.00396514j -0.0624608-0.00309785j -0.0533281+0.00823093j -0.00705739+5.69197e-05j -0.0126781-0.00230686j -0.0127159-0.00148894j 0.00707161-8.01876e-16j 0.0144587+0.000366747j -0.0118966-0.000371389j -0.00279644+0.000365914j 0.0188029-0.00190806j 0.00298461+0.0056692j 0.00284198+0.00395584j 0.00488758+0.0173214j -0.0563823-0.0129334j 0.0468028+0.0371295j -0.0243838+0.0460316j -0.00821768+0.00492365j -0.00565288+0.0422897j -0.0429688-0.0427156j -0.0107593+0.0311837j -0.0174784-0.0395996j 0.0471057-0.0373439j -0.0024196-0.000850109j 0.035927-0.0047947j -0.00674953-0.0820848j -0.0112865+0.00645919j 0.0727961-0.0218928j -0.00707498+0.0237349j 0.000451516+0.0104434j -0.0191398-0.00274232j -0.00860743-0.00367183j 
-0.00438461-0.0108453j -0.0526797-0.00953443j -0.124508+0.00915152j 0.0402555-0.00455845j -0.00699363-0.00250855j -0.0075373-0.000613538j -0.00516152-0.00131798j 0.00203213+0.000791546j 0.0144587-0.000366747j -0.0174667+9.05309e-16j 0.00270538+0.00128735j -0.0108977-0.000427844j -0.00969832-0.000830653j 0.00254153+0.00685843j -0.00191092+0.00247438j 0.00103384+0.0022989j -0.11794-0.0369034j -0.0475466+0.0105111j -0.0141521+0.120506j 0.0208819-0.00589364j 0.00601901-0.0175576j -0.0251069-0.0253873j 0.0230922-0.0451705j 0.00898836+0.0284995j 0.024335-0.0278075j 0.00696606+0.00581804j -0.0340209+0.0227219j 0.00158025+0.00548612j 0.0136205-0.00546105j -0.00391066+0.00112946j -0.00168064-0.00464887j -0.00220685-0.0143811j 0.00537817-0.00156023j 0.0132069-0.00223832j 
-0.0875646+0.0141034j 0.137518-0.0156097j -0.00159856+8.02493e-05j -0.0157368+7.32559e-05j -0.0172899-0.00229781j 0.0197759+0.00424727j -0.104401+0.0020795j -0.0764555-4.84706e-05j -0.0118966+0.000371389j 0.00270538-0.00128735j -0.0382137+3.38271e-17j -0.00949065-0.00102408j 0.0275142-0.00227738j 0.00804798+0.0677419j 0.0856173+0.0220212j -0.0191013+0.101825j 0.0290362+0.0125706j -0.00790458-0.0185729j 0.00693812-0.0344819j -0.032494-0.0348279j 0.0296828-0.0399495j -0.0147595-0.0308313j -0.014001+0.0273299j 0.00492393+5.55005e-05j 0.0276646-0.0220154j -0.0133372-0.0690537j -0.00403268-0.00958154j 0.00276116-0.0112427j -0.0817697+0.0144713j -0.00350082+0.00293895j 0.0140611+0.0670283j 0.00444367+0.0631212j -0.0740616-0.011903j -0.0521464+0.00950807j 
