-0.000270159-2.86229e-17j 0.000711158+1.47977e-05j 0.000739852+0.000110995j 0.00269686+9.00923e-05j -0.000182108+0.000149615j -0.000153748-0.000233563j -0.000607694-0.000139497j -0.0028074-5.30421e-05j -0.00161294-0.000107768j 0.000445058-0.000135977j -1.97387e-05-0.00029256j 0.000840843+9.79325e-05j 0.00162489+4.48963e-05j -0.00277149+2.25286e-05j 0.00218553+0.000280246j -0.000175597-0.000421661j 0.00129064-0.00062304j 0.00426193+0.000375844j -0.0105033-0.00066266j 0.00613414-0.00154584j 0.0211999-0.000801629j -0.882105+0.012846j 
0.000711158-1.47977e-05j 0.00555596-4.68375e-17j 0.00140304+0.000397542j 0.0112323+8.24996e-05j 0.000436871+0.000168265j 0.000808879-0.000560448j -0.000450998-0.000260215j -0.00881963-0.000145512j -0.00643746-3.48249e-06j -0.000630848-0.000167211j 0.00113991-0.000649463j 0.00073431+7.50923e-05j 0.00279166+0.000303553j -0.00965786-0.000171649j 0.00863931+0.000132595j 0.00102628-0.000295135j 0.00450691-0.000994138j 0.00156764+0.000361299j -0.0261478+0.000997156j -0.00437827+0.000634428j -0.908125+0.00696627j 0.0206941-0.00079626j 
0.000739852-0.000110995j 0.00140304-0.000397542j 0.00272763+7.3639e-16j 0.000721525-0.000460651j 0.00272794-0.000382549j -0.00704771-0.000240815j 1.4916e-05-0.000300968j 0.000891627-9.60912e-05j -0.000784681+0.000613733j -0.00481825+0.000161299j -0.00830438+9.08568e-06j -0.0050375+0.000686528j -0.0017379+0.000575655j -0.000938196+0.00083207j 0.000781434+4.85733e-05j -0.00638385-0.000113406j -0.0158534-6.36178e-05j 0.00303549+0.000220956j 0.000216954+0.000708945j 0.923726-0.00474061j 0.00493282-0.000639858j -0.00615392+0.00154458j 
0.00269686-9.00923e-05j 0.0112323-8.24996e-05j 0.000721525+0.000460651j 0.0195555+9.70578e-16j 0.00311511-2.67978e-05j 0.0030924-0.000422616j 0.000266517-0.000318885j -0.0129832-9.22667e-05j -0.0133081+0.000188897j -0.00401061+9.6321e-05j 0.00309047-0.000371405j 0.000982336+0.000176226j 4.72298e-05+0.000418943j -0.013652+0.000317851j 0.0180965-0.000383365j -0.00141043+7.39444e-05j -0.000733545+0.000407188j -0.00372947+1.55414e-05j 0.939959-0.00304318j 0.000934386+0.000704275j 0.0249752-0.000989983j 0.0103326+0.000665437j 
-0.000182108-0.000149615j 0.000436871-0.000168265j 0.00272794+0.000382549j 0.00311511+2.67978e-05j -0.00386345+3.03577e-16j -0.00421655-0.000710811j -0.00228827-8.7107e-05j -0.00737106-0.000385224j -0.00140642+0.000262547j 0.00894094-0.000359943j -0.00441447-0.000395047j 0.00184094-4.63136e-05j 0.0123834+6.23133e-05j -0.00831596-0.000173854j -0.00392524+7.23472e-05j -0.000204972+0.000205704j 0.00126061-4.74232e-05j -0.941518+0.00401652j -0.000606356+2.25569e-06j -0.00138544-0.000231572j 0.00112266+0.000366373j 0.0041322+0.000378209j 
-0.000153748+0.000233563j 0.000808879+0.000560448j -0.00704771+0.000240815j 0.0030924+0.000422616j -0.00421655+0.000710811j 0.0150281+1.42188e-15j 0.00207753+2.44402e-05j -0.00281566+0.000186914j -0.000867699-0.000662572j 0.00836763-0.000150047j 0.0157406+8.39746e-05j 0.0037925+0.000141152j -0.00641454+0.00013932j -0.00347163-0.00012045j -0.00298998+0.000368113j 0.00229026+7.32501e-06j -0.950494+0.000962869j -0.00232361-3.30889e-05j 0.00295349-0.000415782j 0.0146176+6.93649e-05j 0.00446657-0.000989874j 0.00137651-0.000622312j 
-0.000607694+0.000139497j -0.000450998+0.000260215j 1.4916e-05+0.000300968j 0.000266517+0.000318885j -0.00228827+8.7107e-05j 0.00207753-2.44402e-05j 0.0065923+8.0515e-15j -0.000573334-6.61318e-06j 0.00065759-0.000335387j -0.000365801+0.000311582j 0.0134615+8.75353e-05j -0.0110005-0.000399536j 0.00477789-0.000259472j 0.000297566-0.000440228j -0.0011465-0.000146548j -0.961274+0.00248329j 0.00347337+4.6749e-06j -0.00299936+0.00021671j 0.00245969-7.87199e-05j 0.00542545+0.000119053j 0.0010777-0.000292256j -0.000107246-0.000421244j 
-0.0028074+5.30421e-05j -0.00881963+0.000145512j 0.000891627+9.60912e-05j -0.0129832+9.22667e-05j -0.00737106+0.000385224j -0.00281566-0.000186914j -0.000573334+6.61318e-06j 0.00710269-8.14236e-16j 0.0162846-0.000323753j 0.0133143-0.000231883j -0.00545462-4.75593e-05j -0.0105036+0.000223348j 0.00844991+0.000157439j -0.0459799-0.000290111j 0.967519-0.000606415j 0.00439748+0.000125031j 0.00394496-0.000371703j 0.00306979-7.87114e-05j 0.0166573-0.000387236j 0.000432234+2.1643e-05j -0.00866128-0.000142773j -0.0022729-0.000279298j 
-0.00161294+0.000107768j -0.00643746+3.48249e-06j -0.000784681-0.000613733j -0.0133081-0.000188897j -0.00140642-0.000262547j -0.000867699+0.000662572j 0.00065759+0.000335387j 0.0162846+0.000323753j 0.0155618+9.20108e-16j -0.000556788+0.000118639j 0.00407717+0.000121612j 0.0134669-0.000266729j 0.0249706-0.000336513j -0.971771+0.000890469j -0.0336223+0.000356137j -0.00332184-0.000427857j -0.00637905-0.000100572j -0.00535661-0.000181899j 0.0100656-0.000285288j 0.00125474-0.000813073j -0.00891463-0.000175451j -0.00273708+3.08877e-05j 
0.000445058+0.000135977j -0.000630848+0.000167211j -0.00481825-0.000161299j -0.00401061-9.6321e-05j 0.00894094+0.000359943j 0.00836763+0.000150047j -0.000365801-0.000311582j 0.0133143+0.000231883j -0.000556788-0.000118639j -0.0124696+1.05189e-14j -0.00728521+1.88884e-05j -0.00618872+0.000301883j 0.969394-7.64406e-05j 0.0198969+0.000310239j -0.00904116+0.000171265j -0.00377343+0.000269264j 0.00460616-0.000130503j -0.0103237-6.62704e-05j -0.00105591+0.000431454j -0.00187987+0.000592009j -0.00223868-0.000306188j -0.00152285-4.73246e-05j 
-1.97387e-05+0.00029256j 0.00113991+0.000649463j -0.00830438-9.08568e-06j 0.00309047+0.000371405j -0.00441447+0.000395047j 0.0157406-8.39746e-05j 0.0134615-8.75353e-05j -0.00545462+4.75593e-05j 0.00407717-0.000121612j -0.00728521-1.88884e-05j -0.968269+6.3688e-12j 0.00154114-6.43648e-06j -0.0131098-2.35296e-05j 0.00163763+0.000113328j -0.00494344+5.78197e-05j 0.00728747+9.63375e-05j 0.00907205+9.25608e-05j -0.00340328-0.000399443j -0.00340195+0.000362783j 0.00811439-1.6281e-05j 0.00130634-0.00065025j 1.62265e-05-0.000295093j 
