4.8564e-16+0.0935209j -1.75621e-15-0.0280583j -1.47481e-17+0.00969812j 1.26998e-16+0.038375j -2.62018e-17+0.0198695j 1.28956e-17-0.027623j 5.90756e-17+0.0445049j -4.01239e-17+0.026839j -8.15638e-17-0.0565649j 1.72846e-16-0.0818659j -5.05793e-18-0.0368915j 2.03037e-16-0.0420225j 2.18321e-16+0.0197482j -2.95462e-17-0.0383664j 7.21292e-16+0.0754646j -7.07183e-15-0.014054j -4.38847e-17+0.0307063j -1.68085e-16-0.0265056j 1.94838e-16-0.0173502j -4.26441e-17-0.0133244j 4.00583e-16+0.0337887j -4.31913e-16-0.0427022j 2.36584e-15-0.0256078j -1.77979e-15+0.0303782j 2.25654e-16-0.0133642j 3.39391e-17-0.0167944j 8.36588e-17+0.0111656j 7.78042e-17-0.0628324j 2.45544e-15+0.000432781j -5.54653e-16+0.00688796j -1.97323e-17+0.0147736j -4.1872e-17-0.0153804j 5.93492e-16-0.01892j 1.4249e-16-0.00984151j -3.58664e-16+0.0281715j -4.72347e-17-0.0125923j 1.74966e-17-0.000822026j 6.31268e-17-0.00808584j 1.26104e-16-0.0138849j -1.26987e-16-0.010117j 4.73021e-16+0.00951728j -1.62666e-17+0.0323282j -5.78632e-18-0.0239173j 9.90094e-17+0.00137723j 1.52259e-16+0.0181206j 6.68991e-17+0.00281924j -5.21915e-17-0.0180693j -1.87445e-17-0.0324451j 1.86949e-17+0.0127455j 6.69806e-18-0.0368364j 2.28666e-17+0.0171994j -1.43857e-17+0.00654742j 2.44285e-16+0.0435005j 8.02909e-17+0.0154919j 6.34982e-15+0.0143494j 1.40146e-15+0.0593959j 
-6.39688e-16+0.0204532j 3.33124e-15+0.0932607j -9.92846e-18+0.000518041j 8.1724e-17+0.0170503j -2.26657e-17-0.0870593j 2.24245e-17+0.0262657j 2.03729e-17-0.0177475j -1.94555e-17-0.0218594j -4.50293e-17+0.0770573j 1.3651e-16-0.066007j -8.17991e-17+0.0612501j 6.11204e-16-0.0247469j 5.26719e-18-0.0357313j -5.24454e-17+0.0155838j -7.38604e-16+0.0121358j 9.39819e-15+0.0284407j -5.75852e-17-0.00180759j -8.08307e-17-0.0777447j 6.57497e-16-0.00388181j 1.03366e-16+0.0573105j 8.67095e-17+0.00424917j -1.97121e-16+0.000949586j -2.98097e-16+0.00156839j -8.62018e-16+0.0146976j -8.23494e-17-0.0147282j 6.81718e-17+0.0116933j -6.27151e-17+0.00387497j -1.66905e-17+0.00369688j -7.38994e-16+0.000178942j 1.71014e-16-0.00344355j -6.79199e-17+0.00668464j 4.39304e-17+0.0102562j -4.1956e-16+0.0141304j -3.85635e-16+0.0215147j 2.31633e-16-0.0277117j -1.93088e-16+0.0455599j -4.25113e-17-0.00213298j 2.0964e-15+0.0222131j -8.9169e-16-0.028474j 2.87934e-16+0.0181267j 1.82508e-16+0.00785613j 1.08358e-16-0.000188614j 3.24738e-17-0.0106473j 2.33942e-17+0.000498078j 5.66828e-17+0.0171341j 4.31797e-17-0.0172349j -9.66235e-17-6.48556e-05j -1.68836e-17-0.0280705j -7.02249e-18+0.00236943j -2.31127e-17+0.00935726j -2.14237e-18+0.0249114j -6.90822e-18+0.00805607j -7.84501e-17-0.0054513j -4.14701e-17-0.0416948j 1.37713e-14+0.0630518j 2.98177e-15-0.0187032j 
-3.6848e-16+0.0106979j 1.67419e-15+0.0473935j 1.19554e-16+0.0972569j -2.90884e-16-0.0645028j 2.34656e-17-0.00377271j 3.05268e-17-0.04296j 3.07769e-17+0.0304099j 1.19448e-17-0.0779355j -3.0613e-17-0.0148543j 1.85501e-16-0.0371071j 9.17434e-18-0.0231266j 8.77925e-17-0.0116702j 6.10174e-17-0.0305501j -5.77143e-17-0.0026263j -1.44244e-15+0.0695057j 1.77616e-14+0.0583338j -7.94355e-16+0.070104j 3.08046e-16+0.0446499j -1.07994e-16-0.0265103j 3.73479e-16-0.000643617j 4.7356e-16+0.0602217j -2.13447e-16-0.0062049j 1.54525e-16-0.00180172j 1.27362e-15-0.0264358j -2.8971e-16-0.0139517j 1.45885e-16+0.0398107j -1.56189e-17+0.00218114j -1.33608e-15-0.00411806j -7.05779e-14+0.0209789j -6.76416e-16+0.0132663j -3.09567e-16+0.0262494j -1.48346e-16+0.0130882j -4.74537e-16+0.0169221j -1.76274e-16+0.0105249j 2.69447e-16-0.0178394j 1.37784e-16-0.0087529j -1.05739e-17+0.0351929j 4.17479e-16-0.00454369j -6.83062e-17-0.034657j -1.60785e-16-0.0179383j 7.42017e-16+0.0223023j 7.74667e-17-0.039832j 2.82803e-17+0.0395843j -1.6308e-17-0.0318373j 9.65518e-17+0.0240068j 1.08244e-16-0.00911004j 5.59206e-18+0.00302775j 1.77767e-17+0.0258454j -4.56266e-17+0.0407019j -5.46391e-17+0.0353314j -1.99024e-17+0.00343997j -5.39112e-17+0.0724662j -2.33768e-16-0.047643j -8.30372e-17-0.0121287j 1.53003e-14+0.0669129j 3.28688e-15-0.00525434j 
2.1522e-16+0.0231955j -1.02948e-15-0.0226264j 1.17083e-16+0.0212713j -2.51077e-16-0.0885887j 1.18207e-17-0.00575914j -6.53393e-18+0.0147709j -8.57336e-18-0.0081269j 9.15223e-18+0.0552772j 6.83443e-17-0.0105425j -1.29327e-16+0.0659322j -1.50515e-17-0.0483987j -1.94542e-16-0.00506727j -7.27312e-18+0.0154786j 4.8431e-17-0.0580419j 9.58129e-16-0.0425403j -1.08172e-14-0.0352708j -6.9741e-17+0.0179353j 4.98971e-16+0.0880802j -6.01273e-17-0.0433603j 2.64599e-16+0.0505668j 1.38299e-16-0.00367371j 7.36016e-17+0.000317521j -1.45909e-15+0.0131059j -2.08047e-15+0.0268537j -3.86161e-17-0.037873j 1.47742e-16-0.0014057j -6.5175e-17-0.0180713j 8.95427e-17-0.0655816j -1.01178e-14+0.00423951j -7.96435e-16+0.0126893j -3.46622e-16+0.032188j -2.1882e-16+0.000542052j 5.15094e-16-0.0170491j 2.08705e-16-0.00987667j -7.19137e-17+0.0140533j 1.36092e-16-0.0281221j -4.22847e-17+0.0124536j -1.33701e-15-0.00336901j 4.52331e-16+0.0438938j -4.83061e-16-0.0204083j 6.76245e-16+0.013869j -4.11487e-17+0.0520535j -5.1349e-17-0.0201234j 4.30079e-17+0.00418267j 5.63768e-17-0.00385264j 2.16243e-18+0.0137739j 8.24564e-17-0.0287521j -2.47832e-17+0.00318001j -3.81492e-17+0.0159608j -1.88344e-17-0.00633436j -2.52799e-18-0.0155937j -2.8247e-17+0.0520788j -2.47944e-16-0.0565744j -1.03679e-16-0.000278522j 5.8935e-15+0.0141914j 1.24942e-15+0.0519756j 
5.55434e-16+0.153666j -2.76022e-15-0.0406891j -1.14614e-16+0.0185547j 2.00846e-16+0.0843184j 3.4073e-17+0.0591017j 3.71893e-17-0.0621232j -1.41475e-17+0.0604669j -7.7912e-17+0.0353972j -1.94216e-16-0.104542j 5.76636e-16-0.148356j -4.32051e-17-0.0752111j 5.04968e-16-0.0763874j 4.18723e-16+0.0147371j 2.70541e-18-0.0606673j 9.91751e-16+0.129916j -1.06047e-14-0.0196546j -1.22804e-16+0.0422154j -1.63205e-16-0.064466j 5.39735e-16-0.0382627j -2.85197e-16-0.0455163j 5.11494e-16+0.0683865j -7.272e-16-0.0761824j 2.59042e-15-0.0297927j -2.52516e-15+0.04478j 5.77731e-16-0.00297356j -4.12438e-17-0.0308635j 1.38267e-16+0.0314144j 3.80283e-16-0.0958621j 1.04506e-14-0.00130571j -7.57403e-16+0.00574795j -1.75479e-17+0.0261165j -8.90643e-17-0.0245457j 9.51863e-16-0.0308884j 1.58994e-16-0.0198994j -8.4103e-16+0.0580816j -2.25925e-16-0.00908772j -3.00145e-17+0.00656534j 1.07325e-15-0.00955044j 1.32908e-17-0.048784j -2.74884e-17-0.0154138j 7.68779e-16+0.0168481j -7.79307e-17+0.0412951j 1.17133e-16-0.0360981j 1.73742e-16-0.0216034j 2.23043e-16+0.0338284j 2.22577e-16+0.00824945j -1.3538e-16-0.00585172j 4.12732e-17-0.0611867j -1.64228e-18+0.0258541j 3.87113e-17-0.0461041j -1.09261e-17+0.0280892j -7.14726e-17-0.00287716j 4.1538e-16+0.0912246j 1.64673e-16+0.0263267j 1.14614e-14+0.0308612j 2.4658e-15+0.0867183j 
1.16223e-15-0.0342953j -5.2828e-15-0.148665j 7.43857e-17+0.0160285j -9.97405e-17-0.0318375j 3.85336e-17+0.157403j -1.22971e-16-0.0474194j 3.13835e-17+0.0279647j 2.60781e-17+0.0152973j -6.23889e-17-0.126452j -3.54887e-16+0.100072j 1.98932e-16-0.110245j -1.2404e-15+0.0515835j 3.33049e-17+0.0536605j 5.102e-17-0.0209447j 9.0172e-16-0.000878378j -9.85902e-15-0.0287592j 1.97265e-17+0.014821j 8.40706e-17+0.129974j -1.04143e-15-0.00172159j -1.93211e-16-0.101784j 1.41243e-17+0.00151035j 2.27044e-16+0.0010212j 3.41654e-16-0.00258238j 1.7862e-15-0.0297095j 7.69949e-17+0.0259862j -9.59095e-17-0.0149618j 1.77801e-16-0.00269373j -8.78418e-16-0.0035202j -4.43492e-14+0.0132074j -2.12789e-16-0.00456269j 2.1147e-16-0.015886j -4.43114e-18-0.0267536j 8.52367e-16-0.029274j 5.24613e-16-0.0402588j -2.43989e-16+0.0406759j 3.11653e-16-0.0770278j 1.64548e-16+0.00603306j -3.26419e-15-0.0406678j 1.47134e-15+0.0319054j -5.039e-16-0.0319029j -7.13221e-17-0.00612605j -9.50938e-17-0.0130524j -5.36025e-17+0.0285192j -9.16828e-17-0.0135374j -2.26832e-18-0.0250311j -8.37981e-17+0.0329715j 1.51552e-16+0.00476766j -9.37615e-17+0.0501591j 1.04381e-17+0.00669934j -1.36969e-17+0.000568784j -6.11037e-18-0.0384788j 4.64198e-17-0.00824386j 1.91156e-16+0.00999517j 7.99697e-17+0.071409j -2.03842e-14-0.0940087j -4.36748e-15+0.0293394j 
8.79269e-17+0.0169983j -5.32792e-16-0.0102386j 2.21098e-17-0.0167145j -9.74808e-17-0.0353362j -2.54271e-17-0.0783214j 4.0653e-17+0.0139161j 5.28776e-17+0.0357098j 1.42665e-17+0.0243484j 6.30197e-17-0.0238978j -1.08428e-16+0.014555j -4.25842e-17+0.0413522j 2.4009e-16-0.0109719j 3.49519e-17+0.0488288j 6.78122e-18-0.0129072j 7.01094e-16-0.00434723j -9.90286e-15-0.0293576j 1.41063e-16-0.00361954j -3.66576e-16+0.0148243j -3.38856e-16+0.0534524j 2.21211e-16+0.0364865j 2.82372e-16-0.0127928j 1.20606e-17-0.00818361j 6.32913e-15-0.0607673j -7.6182e-16+0.0103226j -4.5855e-16-0.0511369j 3.46707e-16+0.0145784j -2.31724e-16-0.0311607j 1.88891e-15-0.0039509j 9.82892e-14-0.0292422j -3.45201e-16+0.0309733j -3.34406e-16+0.0124786j -3.63033e-16+0.0257324j -1.74555e-19+0.000278868j 1.79855e-16-0.000923716j 3.78074e-17-0.00341118j 1.01771e-16-0.0179511j -4.70686e-17-0.00190255j -1.46336e-15+0.00946213j 2.92213e-16+0.0794177j -2.77827e-16+0.00173935j -1.31995e-16-0.00587639j -2.09534e-17+0.0363601j -1.4359e-16-0.0144891j -5.79064e-17+0.0520524j -6.64128e-17-0.0073379j -1.91972e-16-0.0178065j 1.4316e-16-0.0522845j -1.03809e-18-0.00370028j 2.33997e-18-0.00912314j -2.87606e-18-0.060977j -1.28083e-18-0.000737232j -2.46045e-17+0.0282236j -2.44542e-16-0.0478792j -8.99281e-17-0.0193231j -1.90715e-15-0.0141638j -4.09632e-16+0.0283794j 
-5.90692e-17+0.0143992j -1.1188e-16+0.000122418j -2.97197e-17-0.00552453j -9.84886e-19-0.0114507j -2.87447e-16+0.0487693j 4.05183e-16-0.0713003j 2.40756e-16-0.0825928j -5.76332e-17+0.040081j 8.37482e-16-0.105398j -4.43199e-16+0.0508754j -2.27382e-17-0.0268772j 8.23218e-16-0.0548633j 1.26704e-16-0.0469439j 3.40765e-16-0.060307j 2.26075e-15-0.0494675j -2.28296e-14-0.0721898j 9.91315e-16-0.0576076j 1.24524e-16-0.0244162j 2.66764e-16+0.00618j 3.05759e-16-0.0501244j -2.27318e-16+0.066645j 1.95577e-18-0.0356254j -2.29875e-15+0.0186804j -5.30585e-16+0.00944021j 2.45872e-16+0.0165446j 2.82218e-17-0.0205746j -3.53422e-16+0.0216203j 4.60402e-15+0.00585134j 2.49395e-13-0.0741382j -1.47881e-16+0.0331711j -1.06814e-15+0.0765305j -1.38855e-15+0.0520982j 3.06949e-16-0.00101702j 4.52684e-16-0.0358361j -1.99789e-15+0.0805927j -3.96185e-16+0.0101832j -1.00537e-15+0.0431124j 2.17102e-15+0.0289875j -9.1392e-16+0.00181614j -2.29388e-16-0.02568j 1.04107e-16-0.00105736j 8.00693e-17+0.00912846j 6.42037e-16-0.0590418j 8.47895e-16-0.0884726j -9.61437e-17-0.0219558j 3.25416e-17+0.00823894j -6.43274e-16+0.058013j 5.28852e-16-0.0543219j -2.46535e-16+0.040148j -3.18598e-17+0.0134457j 3.24167e-16-0.0436114j -5.67616e-17-0.0113425j -3.98794e-17-0.00661378j 1.04408e-16-0.0264154j 7.74739e-15+0.031432j 1.67112e-15+0.0129409j 
-2.43463e-16-0.00581505j 8.14472e-16+0.0140599j 1.3155e-16+0.00800626j 1.31324e-15+0.0635301j -8.64628e-16-0.047575j -9.68127e-16-0.0503252j 2.42923e-15+0.122461j -4.58175e-16-0.0189697j 2.37698e-16+0.0230828j -7.1395e-16-0.0428726j 6.45696e-16+0.0527001j -2.32533e-16-0.0617911j 3.42137e-16+0.00653473j 5.7023e-16+0.0330692j 1.52326e-15+0.0593606j -5.05797e-15-0.00865739j 5.49738e-16+0.0450769j -4.91479e-16-0.004494j 4.9932e-16+0.0444018j 1.68302e-17-0.000634884j 7.57987e-16+0.0212143j -4.95572e-16-0.017115j 3.23669e-17+0.00045308j 4.20739e-16-0.0123114j -2.28415e-16-0.00349461j 2.43758e-16+0.0126768j 1.95024e-16+0.0197085j 2.63858e-15+0.0284351j 1.08585e-13-0.0330492j 4.97148e-16+0.022735j -3.58142e-16-0.0144767j 8.3305e-16+0.0555568j -7.81759e-16+0.102279j 1.80366e-16+0.0352455j -2.26461e-16-0.0441703j 2.59922e-16+0.00639229j 1.86491e-16+0.000577132j 7.20044e-16+0.00321717j -6.69575e-16-0.0248548j 5.06902e-16+0.00683107j -2.55053e-15-0.0438355j -1.35086e-15-0.0685974j 4.52534e-16+0.0274756j 9.47707e-16+0.0614514j 6.74219e-16+0.0344558j -8.24237e-16-0.0439392j 1.40604e-16+0.00707564j 4.14532e-16+0.0262635j -8.02218e-16-0.0464927j -1.47505e-15-0.0795476j 3.42828e-16+0.0213502j 4.04289e-16+0.0179351j 1.04623e-15+0.047091j 2.55271e-16+0.00917433j -7.50127e-15-0.0171851j -2.74887e-15-0.0637963j 
5.05469e-17+0.0379765j -8.40657e-17+0.00424084j 2.93001e-16-0.0239727j -1.59413e-16-0.0474895j 4.93916e-17-0.020037j -9.63136e-17+0.0753414j 1.66303e-18-0.0316656j -3.23618e-16+0.165809j 4.13077e-17+0.122485j -5.31835e-17+0.06956j 1.86934e-17-0.0632424j 4.83892e-16-0.0540162j -1.45647e-16-0.0373414j 1.50498e-16-0.0553658j 2.64268e-15-0.144807j -2.66508e-14-0.0906475j 4.31191e-16+0.0067896j 1.18054e-15+0.08211j 9.86165e-16-0.126911j 2.57216e-16+0.134173j -4.46399e-17-0.0474475j 3.48215e-16+0.0205501j -1.09734e-14+0.101997j -6.05683e-15+0.0881818j 4.54044e-16-0.0210062j 2.8085e-17-0.0171773j -8.49256e-17-0.0253441j 1.20134e-16-0.144202j -3.7372e-14+0.0138825j -1.12069e-15+0.0106367j -1.44527e-16+0.0187896j 1.44685e-16-0.0234211j -7.60248e-16+0.0371759j -6.6295e-16+0.00973385j -1.24209e-16-0.00291567j -2.06097e-16+0.0190333j -1.04503e-16-0.0201176j 9.2258e-16+0.00864151j -2.37458e-16-0.00572285j -4.8032e-16-0.0171621j 1.49545e-16-0.00459542j -2.97346e-16+0.122457j 4.59959e-17-0.0544201j 5.91913e-17+0.0138163j 2.98523e-16+0.0345693j 2.94833e-17+0.0266387j -1.66103e-16-0.00526506j 6.39197e-17-0.009138j 5.05151e-17-0.0488146j 1.92258e-16+0.00292245j -2.60807e-17+0.00231395j 5.73292e-17+0.0321089j -4.94597e-17-0.0015813j 3.60288e-17+0.0180733j 8.32112e-15+0.0272685j 1.76554e-15+0.0377107j 
2.3828e-16+0.000472553j -1.43813e-15-0.0394008j -3.60314e-17-0.182168j 4.3558e-16+0.126721j 2.20951e-17-0.04462j -2.03272e-16+0.100703j 4.70845e-17-0.0748689j -2.17027e-16+0.111j -6.10689e-17+0.0372293j -6.90286e-17+0.00199364j 5.33296e-17+0.0766079j 1.15415e-17+0.0226827j -1.98439e-16+0.0471882j 1.59936e-16+0.0239138j 1.87659e-15-0.103115j -2.1726e-14-0.0734466j 1.67664e-15-0.144375j -6.34478e-16-0.147287j 6.89223e-16+0.0644806j -7.70902e-16+0.0103237j -6.84184e-16-0.114083j 2.62526e-16+0.00473795j 2.89104e-15-0.0296233j -2.37664e-15+0.0475732j 3.9007e-16+0.0206097j 2.78101e-17-0.0572867j 2.74052e-17-0.0174885j 1.99457e-15+0.01543j 1.09412e-13-0.0327981j 1.19954e-15-0.0173353j 4.50099e-16-0.0445936j 3.78489e-16-0.0278308j 1.58435e-15-0.0548146j 1.43982e-16-0.00406582j -7.16814e-16+0.031972j -5.90523e-16+0.0445886j -2.46035e-17-0.0671394j -4.45475e-16+0.013261j -1.94447e-16+0.0635996j 3.94709e-16+0.0516018j -5.85164e-16-0.0235556j -3.21069e-16+0.0891769j 9.8219e-17-0.0764922j 2.90299e-17+0.0557718j -1.89979e-16-0.0426054j -2.3377e-16+0.0157028j 1.39968e-16-0.0193118j 1.00386e-16-0.0672877j 2.16468e-16-0.0618666j 1.5379e-16-0.0522337j -2.20277e-17+0.0108042j 2.10739e-16-0.137172j 2.72316e-16+0.0710761j 1.26653e-16-0.00804629j -2.02253e-14-0.0909374j -4.44127e-15+0.0172169j 
