-4.36062e-14-0.0948241j -2.58454e-15+0.0123531j -9.19571e-17-0.00854508j -4.9485e-19-0.0324012j -2.41094e-16-0.0149134j -1.36088e-16-0.0330858j 6.99864e-17+0.047434j 8.97013e-17+0.0143437j 3.61809e-16+0.0708476j 2.71007e-17-0.0681083j 5.28069e-16+0.0669692j 9.57725e-17-0.0266905j -1.79363e-16-0.00598666j -4.87027e-17-0.0322149j -2.01969e-16+0.0276286j 2.99476e-16-0.0491963j -4.97779e-17+0.0486995j -2.89464e-16-0.025646j 7.87408e-17-0.00601396j -1.71996e-16-0.0643685j -3.67929e-16-0.0258803j 1.14312e-16-0.0283665j 1.13282e-17+0.00046905j 1.38672e-16+0.00191526j 3.37763e-17+0.0132536j -1.6895e-19+0.00640521j 3.49375e-16+0.0126577j 8.22623e-17+0.00755977j 1.1425e-16+0.0164566j -8.86248e-17-0.0213058j -2.25601e-16-0.00493019j -1.08414e-17-0.000393021j -2.18341e-16+0.0166142j 3.38367e-17+0.00165174j 3.27426e-17+0.00470522j -9.29215e-17-0.00450664j -9.18741e-17-0.0165087j 2.15785e-14-0.0497371j 1.11427e-13+0.0482557j 8.7625e-14-0.0114504j -3.68282e-16+0.0148718j 5.87857e-16+0.000530097j 3.85825e-17-0.0115084j -2.76539e-16-0.00157123j -3.45255e-18-0.00537945j 1.75122e-16-0.00235108j -2.28847e-16-0.00141345j 6.54908e-17+0.0142397j 2.19899e-17+0.00462415j -4.52302e-18-0.00304306j 9.2223e-17+0.00521946j 1.68336e-16-0.00616929j 7.65536e-17-0.0175181j 2.45069e-17-0.000130397j 1.06973e-16+0.00150877j 1.49371e-17-0.000608614j 1.61318e-17-0.00539561j 9.34321e-17+0.019223j 9.46335e-17-0.0120508j 6.55084e-17+0.0167355j -4.59274e-18-0.0297226j -2.29781e-17-0.00464674j 1.24954e-19+0.0027209j -2.43102e-17-0.0220112j -3.3056e-17+0.00966055j -5.63637e-17+0.0183721j 4.30048e-17+7.23287e-05j -5.06432e-17-0.00493601j -6.70865e-17+0.0261494j 2.10397e-17+0.00971757j -1.33494e-16-0.0297004j -4.90514e-17+0.0172659j -3.91825e-18-0.0120185j 5.48412e-17+0.038815j 1.07649e-16+0.00715481j -1.8332e-15+0.0186503j 2.54159e-14+0.0541601j 
-6.69017e-15-0.0086077j -1.76273e-15-0.0941194j 2.03389e-16+0.0113019j -8.70786e-17-0.0157898j 1.04138e-15+0.0710079j 4.48045e-16+0.0220836j -3.62991e-16-0.0172489j -3.11224e-16-0.0205698j -1.20818e-15-0.0703021j -1.18915e-15-0.0920078j -8.80089e-16-0.0373207j -3.11795e-16-0.0271894j 3.94763e-16+0.0261608j 2.56143e-16+0.0168225j 4.3673e-16+0.0459107j 1.59392e-16-0.0287635j -3.92768e-16-0.0347116j 6.91793e-16+0.0459951j -5.03899e-16-0.0402657j 1.64038e-16-0.00711756j 7.02876e-16+0.0208971j -6.95768e-16-0.0524727j 1.32192e-16+0.00638548j -2.60575e-16-0.0168035j 6.66293e-18+0.00668659j 9.80908e-17+0.0157109j 1.69901e-16-0.00352264j -4.48352e-16+0.0121933j -1.07787e-16-0.00218997j -1.2675e-16-0.0130508j 1.18018e-17+0.00537303j 2.04725e-16+0.00876966j 4.52888e-16+0.0377794j 5.49992e-17+0.00372995j -1.22118e-16-0.00468175j -1.14356e-15-0.0116006j 1.74701e-16-0.00149776j -4.87434e-15+0.0128227j -3.37832e-14-0.0139681j -2.69319e-14+0.00262916j 4.9838e-17+0.00516742j -1.29933e-16-0.000378049j 8.48512e-17+0.00502922j -1.93229e-17+0.00266108j -1.93318e-16-0.0191737j 9.64344e-17-0.00468916j 3.68747e-17-0.0129509j 6.01924e-17-0.0102192j 2.07983e-17+0.00471282j 2.21955e-16+0.0082153j -4.07415e-16-0.0253094j -4.83194e-17+0.0142235j -4.27342e-17-0.000498827j -4.78389e-17-0.00671566j -3.6578e-16-0.0217057j -4.28402e-16-0.0276887j 3.42839e-17+0.00245689j -4.0037e-16-0.0216678j -9.11388e-17-0.00855246j -3.18837e-17-0.00161352j 6.90048e-17+0.00616022j 6.64699e-16+0.0318376j -4.12238e-17-1.47921e-06j -1.03638e-16-0.0117983j 1.30974e-16+0.0133506j -2.75623e-17+0.00197982j -2.51617e-16-0.019785j 1.22456e-16+0.00429586j 1.91258e-16+0.0209144j -1.14216e-16-0.00465601j 2.55247e-16+0.0110609j 2.64629e-16+0.0242158j 3.90949e-17+0.000806553j -1.35488e-16-0.00381856j -7.57073e-16-0.0386062j 1.45835e-15+0.0560175j -1.20687e-14-0.0205725j 
2.61382e-15+0.00308501j 1.71203e-16+0.0385008j 2.78204e-16+0.100053j 7.82473e-17-0.0359467j 9.45944e-18-0.0144335j 9.33322e-18+0.0353833j 3.79256e-18-0.0148007j 4.36279e-17+0.0762914j 8.78824e-18-0.00865211j 1.22999e-16+0.0266968j -1.99251e-16-0.0316453j -2.13271e-17+0.00273925j 6.62114e-17-0.0246183j 6.03929e-17-0.0238198j 1.15033e-16-0.0279474j -6.96001e-16+0.0945726j -1.21684e-16-0.0325926j -1.17621e-16+0.0243252j -3.43221e-16-0.0735024j 6.4848e-17+0.0114383j -3.59766e-16-0.0337663j 1.18591e-16-0.0192978j -6.35559e-17-0.0110832j -5.58669e-17-0.00349387j 8.16266e-17-0.0028934j 1.23886e-16+0.00556164j 4.57249e-16+0.000715856j -1.03037e-15+0.0172047j 1.16918e-16+0.000861781j -1.11683e-16-0.00852625j 1.34453e-16-0.00575005j 7.6319e-16-0.0428408j -3.3249e-16-0.0296727j 2.87826e-16+0.00220146j -3.52609e-17+0.00438612j 8.71719e-16+0.0106515j -1.59716e-16-0.0186965j -6.18079e-15-0.00171863j 9.54549e-14+0.0243552j 8.93611e-14+0.0135856j 9.47475e-17+0.00271201j -2.75431e-15+0.0192833j -5.38629e-17+0.0124273j -1.56222e-16+0.00943628j -1.75702e-16+0.0159963j 8.6858e-16-0.0110365j -8.77817e-17-0.00411057j -2.62463e-17+0.0166551j -2.25102e-16-0.0129249j 7.43913e-16-0.0182573j 1.40161e-17-0.0297594j 2.12875e-16-0.0081098j 1.43463e-16-0.00934371j 2.03802e-17+0.00925265j 5.61444e-18-0.0181755j 1.8459e-16+0.0522851j -9.55107e-17+0.00864927j 6.37183e-17+0.031035j -5.5532e-18+0.0130291j -1.13054e-16-0.000929403j -2.03943e-17+0.0105907j -1.13148e-16-0.0120083j 1.66486e-17+0.0194616j -2.58618e-18-0.0244742j 3.63246e-17+0.0489934j 2.61903e-18-0.0177441j -9.3783e-18+0.0251588j -4.03446e-17-0.00350294j -1.31105e-17+0.0217079j -2.67927e-17-0.0345435j -1.44122e-16-0.0417533j 2.0002e-17-0.0124762j -1.61259e-17+0.0537587j 4.89687e-18+0.0328839j -6.45996e-17-0.00097015j -4.79347e-16-0.0537031j 7.20993e-15+0.0115076j 
-1.13985e-14-0.0253005j -7.66181e-16+0.0104929j 9.70317e-18-0.0219918j -3.0995e-17+0.0854412j 1.9655e-17+0.00921048j 6.17346e-18+0.0138828j 3.921e-18-0.0105097j -2.50077e-17+0.0495787j -1.51895e-17-0.028495j 8.03684e-17+0.0676585j 2.47972e-16+0.0483025j 2.53238e-17-0.0165047j -2.71739e-17+0.0165251j 1.01537e-16-0.0277524j 1.80931e-16-0.0578827j -4.06895e-16+0.0102753j -7.76963e-16+0.0754702j -3.12543e-16-0.0134979j 6.93743e-17+0.0260698j 6.54543e-17+0.0667779j 3.99666e-16+0.0321898j -2.205e-16+0.00304415j 3.653e-17+0.0105876j 5.94057e-18-0.0233115j -9.8919e-17+0.053294j -1.3198e-16+0.0299952j 4.99522e-16-0.0120916j -6.12686e-16+0.0130298j 1.52816e-16+0.0207124j -2.38725e-16-0.0231685j -2.5865e-16-0.0020866j -1.03021e-16+0.00521147j -1.4828e-16+0.00449199j -3.411e-16-0.00931619j -1.81786e-16+0.0153591j -1.35778e-15-0.0184022j 1.55809e-16+0.0106119j 1.05415e-14-0.0258456j 5.39537e-14+0.0272956j 4.19537e-14-0.00985848j -5.33483e-16+0.0273959j 2.53759e-15-0.013094j 1.30929e-16-0.00414993j -2.06966e-16+0.0136204j -1.37172e-16+0.0224324j 1.24111e-18+0.00323047j -1.87372e-16-0.0141383j 1.28388e-16+0.0171028j 2.92087e-17+0.0469102j 5.32363e-17+0.00704763j 1.08127e-16-0.0104777j -2.24035e-16+0.0155689j -2.70894e-17-0.00271855j 9.18429e-18+0.00588615j -8.29449e-18-0.0110149j 3.90123e-17+0.021406j 4.0915e-17-0.00765782j -1.2424e-17+0.0433548j 2.93205e-17+0.010392j -8.52643e-17+0.00643714j 7.88219e-17-0.0230254j -1.39633e-16-0.0283287j -6.24925e-18+0.0153132j -2.92331e-17-0.0183779j 2.04914e-18+0.00757485j 1.58366e-17+0.00469323j -4.29822e-17+0.0118268j -4.79803e-17-0.0106339j -1.23694e-17+0.00467024j 1.82587e-17+0.00886832j 4.12802e-17+0.00981501j 3.18904e-17-0.00789429j 4.19972e-17-0.0538268j 3.03417e-17-0.0460381j 2.83732e-17-0.00685747j -1.40118e-15+0.0189414j 2.11875e-14+0.0455922j 
-6.47052e-14-0.141834j -4.4185e-15+0.0334853j -1.02234e-16-0.0157577j -3.76505e-17-0.0691355j 6.75844e-17-0.0754375j -6.90786e-17-0.0677896j -1.27674e-17+0.0639259j 3.2119e-17+0.0261257j -2.48121e-17+0.128874j -3.97826e-16-0.0879373j 7.41372e-16+0.130168j -1.2274e-17-0.0292406j -2.60491e-17+0.00382808j 1.22689e-16-0.0531201j -9.40764e-18+0.0304412j 4.38768e-16-0.0815533j -1.3276e-17+0.0663598j -1.14349e-17-0.0664245j -5.38107e-17-0.0178582j -1.72247e-16-0.0987183j -4.41295e-16-0.0428778j -5.85617e-17-0.03251j 6.20798e-17+0.0320225j -1.90393e-18+0.0082325j 2.94114e-17-0.0088411j 1.56165e-16+0.00295725j 3.78539e-16+0.0162807j 5.40507e-16+0.00527685j 2.25389e-16+0.0422185j -2.45079e-16-0.0285193j -2.93291e-16-0.0151971j -2.0929e-16+0.00367933j -5.16653e-17+0.0152149j 1.17353e-16+0.0212694j 5.62575e-17+0.00785008j 8.3282e-16+0.00652118j -3.42349e-16-0.039747j 3.03132e-14-0.0739018j 1.89492e-13+0.0777251j 1.53055e-13-0.0133857j -4.7578e-16+0.0135131j 5.90435e-16+0.00245115j 4.88125e-17-0.0155662j -1.52567e-16-0.0126695j -2.23768e-16-0.0157859j 8.48285e-16-0.0142416j -3.25301e-16+0.00196197j -8.80113e-17+0.0167626j -2.90734e-17-0.00459563j 7.55009e-17-0.00408962j -1.40084e-16+0.00920222j 5.75938e-16-0.0199544j 1.31249e-16-0.0319119j -9.648e-17-0.000862334j 9.54171e-17+0.00616241j -9.11377e-17-0.00478397j 2.70093e-16-0.0216312j 7.08031e-17+0.0273082j 2.81611e-16-0.0349628j 1.53002e-16+0.0381985j 1.71054e-16-0.0502963j 2.72377e-16+0.00248433j -6.40156e-17-0.00769747j -1.27139e-16-0.0372892j -9.53787e-17-0.00767118j -7.62675e-17+0.0244857j -1.33981e-16+0.00493145j 1.26715e-16+0.0180732j 5.43536e-17+0.0403988j -3.13306e-17+0.0186471j -1.18298e-16-0.0371461j 5.36715e-17+0.0184618j 1.24685e-17+0.00329444j -3.33739e-17+0.0820968j -7.90388e-17+0.02256j -2.28927e-15+0.0258075j 3.56157e-14+0.0762578j 
-1.97655e-14-0.0333955j -5.37466e-16-0.142401j -9.80833e-17+0.0277162j 1.06084e-16-0.0321079j -6.56782e-16+0.11643j -7.68709e-17+0.018661j 1.44206e-16-0.0134591j 6.61065e-17-0.0135341j 4.91884e-16-0.0867818j 4.54507e-16-0.157053j 1.321e-16-0.0441756j 3.01937e-16-0.0615869j -1.84984e-16+0.0411127j -3.0681e-16+0.0225889j -4.21422e-16+0.068422j 5.72653e-16-0.0339399j 3.81469e-16-0.038696j -5.25245e-16+0.0677749j 3.78045e-16-0.0742781j 1.57828e-16-0.0279276j 2.11771e-16+0.0233664j 3.6739e-16-0.0923203j 6.14048e-17+0.00934088j 9.76217e-17-0.027525j -1.05838e-16+0.00826059j -3.49983e-16+0.0300769j 3.23856e-16+0.0034901j -5.5762e-16+0.013886j 3.56344e-17-0.00135174j 9.8388e-17-0.0280858j -2.2095e-16+0.00861418j 2.88164e-16+0.00510339j -2.86162e-16+0.0558236j -2.46597e-17+0.00497945j 4.22485e-17-0.0130575j -2.39575e-15-0.0318552j -5.05915e-18-0.000897018j 7.41663e-16+0.00530638j 7.87471e-15-0.0111635j 7.94951e-15+0.0156448j -3.48431e-16+0.0215926j -3.0788e-16+0.00208467j -1.33809e-17+0.00990649j -2.87194e-16+0.014051j 1.28889e-16-0.0376352j 4.81251e-16-0.0122551j 4.35263e-16-0.0215096j 5.11078e-16-0.0116353j -9.51504e-17+0.0101689j -1.00085e-16+0.0161722j 5.44349e-17-0.040007j -8.0205e-16+0.0308392j -1.72948e-16+0.00436112j 1.0814e-16-0.00798905j 6.39348e-17-0.0294852j 8.20922e-17-0.0343121j 6.16757e-17-0.000814527j 1.00026e-16-0.0231171j 6.21874e-17-0.0165109j 1.14933e-16-0.00208735j -3.13128e-16+0.00922043j 8.94738e-17+0.04646j -1.20178e-16+0.00351997j 1.49709e-16-0.0283469j -2.14925e-16+0.0325625j -2.70358e-17+0.00501461j 2.59147e-16-0.0345641j 7.68333e-17+0.00609232j -1.76136e-16+0.039589j 8.41929e-17-0.0117302j -3.4159e-17-0.00189993j -1.8192e-16+0.0361642j 2.27704e-17-0.00167482j 1.87007e-16-0.000176011j 1.06883e-17-0.0637545j 4.8291e-16+0.0860002j -1.37574e-14-0.0234139j 
1.54514e-14+0.0344639j 9.63417e-16-0.0162438j -1.05177e-17+0.000644092j -4.79388e-17-0.0332279j 5.59508e-18-0.0698689j -2.34809e-17+0.0110631j 1.57509e-17-0.0283701j 1.22411e-17-0.000843128j -8.28138e-17-0.0601382j -6.6524e-17+0.0132763j 1.67303e-16+0.018968j -3.66013e-17+0.0211858j 1.01276e-16+0.0469596j 9.77837e-17+0.00734003j 3.238e-17-0.00367017j 3.31252e-16-0.0245791j 5.58813e-16-0.0353442j 2.93467e-16-0.0236134j 1.24643e-17-0.0152041j -3.0204e-18+0.0517983j 2.18802e-16+0.0150887j -1.28149e-16+0.0197175j -3.18157e-18+0.0760389j -1.58631e-16-0.0136249j -7.84492e-17-0.0525662j 3.67449e-17-0.000490121j -3.12102e-17-0.0274387j -1.12043e-16-0.0053873j 1.10035e-16+0.052214j 4.21066e-18+0.00684833j 1.96832e-16-0.0256465j -3.36912e-16+0.0166654j 5.29089e-17+0.0111224j 1.15636e-16+0.0300166j -2.638e-17-0.00239061j 2.43463e-15+0.0331955j -7.86775e-17-0.0257667j -1.39215e-14+0.0291073j -8.62816e-14-0.0279006j -7.03123e-14-0.00236639j 4.7587e-16-0.0254513j -1.73604e-15+0.0077713j -1.47753e-16+0.00365894j 2.32865e-16-0.0186112j 1.72644e-16-0.00554441j 3.25963e-17-0.00192396j 2.60012e-16-0.00392142j -2.76358e-17-0.0143526j -1.69836e-16-0.0156976j 2.4408e-16+0.00333082j -1.69068e-16-0.0248314j 3.35937e-16-0.0141019j -3.76796e-19-0.0204649j -3.618e-17-0.000958966j 8.68655e-17-0.0108726j -2.92612e-17-0.0219762j 6.47864e-17-0.000309782j -1.18723e-16-0.0270314j 9.74753e-17-0.0337368j 1.58939e-16+0.0256442j -2.28053e-18-0.00607682j 3.17673e-16+0.0263462j -5.34891e-17-0.0297418j -1.07195e-16+0.00132929j -9.65858e-17-0.0309064j 1.35422e-17-0.00984179j -6.25843e-17+0.00630434j 4.25201e-16+0.0449833j 1.78879e-17-0.00932865j -1.80216e-17-0.00764761j 6.78401e-17+0.0364347j 1.30845e-17-0.00192971j 1.48916e-17+0.0484541j -6.24856e-18+0.0377082j -8.17142e-19+0.0171509j 1.22316e-15+0.00921077j -1.81028e-14-0.0371756j 
6.0904e-16+0.00129941j 5.98821e-17+0.000110446j -3.59915e-17-0.00144438j -3.38066e-18-0.00109255j 2.42549e-17-0.0194943j 2.29832e-18-0.0878945j 1.07197e-16-0.0186985j -1.09182e-17+0.0299098j -3.6214e-17+0.0740475j -7.50018e-18+0.0293766j 6.033e-17+0.0165315j 5.08538e-17-0.0426135j -9.79054e-17+0.0392518j 6.38549e-18+0.0161003j 1.70447e-16-0.0425113j -4.90643e-16+0.0434496j -2.17445e-16+0.0211773j -1.38251e-16-0.029324j -3.09954e-17-0.0281002j 4.99346e-17-0.0449103j 7.41009e-17+0.00731454j 7.13818e-17-0.0114534j 1.30964e-17+0.0285476j 2.28583e-17+0.0164056j 5.91699e-17-0.0462902j -3.81259e-17+0.0178971j -1.13267e-15+0.036473j 3.29382e-15-0.04913j -8.07368e-17+0.00726704j 1.34671e-16-0.000256809j 9.16113e-17+0.0149001j -3.62047e-16-0.0137835j -1.16629e-17-0.0387938j 3.68363e-16+0.0311813j -3.89692e-17-0.0117701j -4.24039e-15-0.0543632j -4.44941e-16+0.00369166j 4.09995e-15-0.00442924j 1.84008e-13+0.0139551j 1.68166e-13+0.0606868j -3.04992e-16+0.0295807j -1.32353e-16+0.00437864j -2.27614e-17+0.0157215j -1.57862e-16+0.0214684j -1.91081e-16-0.0606417j 1.68288e-15-0.0340502j 3.31892e-16+0.0121185j -7.19953e-17-0.0144745j 3.13522e-16-0.000487036j -9.79466e-16+0.0153805j -1.82815e-16+0.0313051j -6.6154e-16+0.0318456j -1.07132e-16+0.0316165j -8.48721e-17+0.00183944j -3.29018e-17+0.0241805j 1.33581e-17+0.0216905j 8.2311e-16-0.0529909j 1.76826e-16+0.00844368j 1.18654e-16-0.0342015j -1.00867e-17-0.0100991j 5.52706e-17+0.0126371j 2.64116e-17+0.0103279j 2.42348e-17-0.0260259j 4.95149e-17-0.0342125j -1.65121e-17-0.0247383j 1.1065e-16-0.0187989j 3.13163e-17-0.0184689j 2.33406e-16+0.0408709j -4.84958e-17+0.01393j -5.40575e-17+0.0157283j -6.151e-17-0.0213458j 1.06097e-16-0.0378311j -7.39534e-18-0.00542079j 1.84972e-17-0.00197602j -7.06307e-17-0.0196132j 5.20047e-16+0.0150382j -8.66481e-15-0.0170973j 
4.18972e-15+0.00930834j 2.73395e-16-0.00314679j -8.03565e-17+0.00292518j 4.30211e-17-0.053632j -1.88446e-17+0.0536501j -1.04784e-17-0.00887814j -5.27832e-17+0.106537j -1.77544e-17-0.013047j 1.36243e-17-0.0415068j -4.02023e-17-0.0432163j 5.94457e-17-0.0083647j -6.37417e-18-0.037264j 8.11127e-17-0.00989913j -1.87667e-16+0.0310329j -1.55802e-16+0.0814469j 1.42902e-17-0.00671162j -3.46214e-16+0.0451229j -2.10452e-16+0.0160855j 2.245e-16+0.0377645j 1.5687e-16-0.00321126j -6.06122e-16-0.0317696j 9.01731e-17+0.0220383j -8.57873e-17-0.0204443j -1.89216e-16-0.0292243j -1.23297e-16-0.0319484j -1.63476e-16+0.0238611j -7.46122e-16-0.00856852j 1.37959e-15-0.0312746j -2.58197e-18+0.0147316j 4.50095e-16+0.0086647j 3.92801e-16-0.00732328j 1.27041e-15-0.0305833j 2.7665e-17+0.0595344j -1.77115e-16-0.028645j 1.55454e-16-0.00861251j -1.51696e-15-0.0180949j 4.97627e-17+0.0350052j 2.65688e-14-0.00480885j -1.51976e-13-0.0656505j -1.48515e-13+0.00513574j 5.86697e-16-0.0244644j -3.22789e-15+0.01832j 1.29889e-17+0.018658j 1.2151e-16+0.00552161j 4.33512e-16+0.00533331j -2.64882e-15+0.0374606j 1.37635e-16+0.00315842j 5.12659e-19-0.0072952j 4.15937e-17-0.0171959j -1.93542e-16+0.00664384j -5.46041e-17-0.000696475j -7.64673e-16+0.0386731j -2.41743e-16+0.0179982j -5.43609e-17+0.0103412j -1.86511e-17+0.0091566j -1.07746e-16-0.0159681j -6.40191e-16+0.0515612j 5.98901e-17-0.0408801j -1.2295e-16-0.00501857j -1.0107e-16-0.0191375j -8.47954e-17+0.0351801j -6.92307e-17+0.00323847j -9.08465e-18-0.0189624j 1.59409e-16+0.0455826j 6.07919e-17+0.0505681j -1.28407e-16+0.0290382j -8.33395e-17-0.0237304j -2.70307e-16-0.0307326j -2.17703e-17-0.0330829j 9.38401e-18-0.0416223j -1.92571e-16-0.0608696j -2.26852e-17+0.0334338j -1.21903e-17-0.00630202j -6.71795e-17+0.034251j 4.04933e-17+0.0215951j 1.50487e-15-0.0296976j -2.19549e-14-0.0478968j 
8.84912e-15+0.0182891j 6.02506e-16+0.0110223j 4.71586e-17+0.0126422j 6.57452e-18-0.0310336j -3.30515e-17+0.0270383j 1.7678e-17-0.0119414j -3.1871e-17-0.0170567j 1.77198e-17-0.089869j -3.83302e-17+0.0752399j 9.68616e-17-0.0147882j -4.42007e-16-0.0676292j -1.58682e-17+0.027178j -1.68498e-17-0.0465755j -7.74631e-17-0.0424085j -1.05574e-16+0.0578841j 3.71166e-16-5.46565e-05j 8.70941e-16-0.0883308j 4.4936e-16+0.0167099j -2.97029e-17+0.00502151j -2.32641e-17-0.0833643j -3.14895e-16-0.0268736j 2.2708e-16-0.011682j 1.38276e-17-0.0326679j 1.29909e-16+0.0557552j -6.0256e-17-0.0113474j 8.97124e-17-0.0394669j -6.09317e-16-0.00486225j 2.23175e-16-0.0165141j -1.95204e-16-0.0484191j 1.138e-15+0.070273j 4.18048e-16+0.0536628j -5.82579e-17-0.0233249j 3.3722e-16-0.00220958j 8.88849e-16+0.0239895j 8.23585e-17+0.0181201j 2.37214e-15+0.0269796j 7.27117e-17-0.00444418j -3.40462e-14+0.0331j 7.45399e-14+0.0252507j 8.41975e-14+0.00899528j 4.79241e-17-0.0140151j -2.09144e-17-0.00106654j 7.14527e-17-0.0101664j 1.83311e-16-0.00942329j -3.66338e-16-0.0333573j 9.33952e-16-0.0179077j -2.83594e-16+0.0137506j -1.40549e-16+0.00499474j -2.08061e-17-0.0422744j 3.79874e-16-0.0310619j 2.433e-16+0.0462257j 6.13755e-16-0.0473668j 1.51984e-16+0.0185001j -7.62633e-17-0.0128189j -6.39974e-17+0.0188379j 1.44775e-16+0.00606378j 7.30414e-17-0.00722471j 1.37174e-16-0.0144145j -1.13342e-16+0.0573017j -1.76495e-18-0.0269122j -2.42201e-17+0.032995j -9.06194e-17+0.0109163j 3.51158e-17+0.00538135j 1.02467e-16+0.0307513j 8.57388e-17+0.00531122j 2.75162e-17-0.0194774j 4.29923e-17-0.00405438j -3.82375e-16-0.0361946j 9.3161e-17+0.010923j -1.14697e-17+0.0452163j -3.4186e-17-0.0140593j -6.2025e-17-0.00219961j 3.12308e-17+0.0173061j 2.62667e-17-0.00812721j -1.62534e-16-0.0292179j 7.19065e-17-0.0291383j -1.45121e-15-0.00497416j 
5.05871e-15+0.0124666j 3.90013e-16-0.0246002j -4.20434e-16-0.171331j -1.5009e-16+0.0528306j -1.39152e-16-0.00843836j 2.96e-17-0.0750247j -8.00401e-17+0.0428866j -2.85735e-17-0.118776j -1.42838e-16+0.00313113j 1.13369e-16+0.0286565j 2.68918e-16+0.0477217j 1.04437e-16-0.00539547j 5.81481e-18+0.0295645j -1.41528e-16+0.0155576j -1.45081e-16+0.0392857j 1.0276e-15-0.15117j -4.2334e-18+0.0786126j 8.81003e-17-0.0495767j 6.04217e-16+0.147454j 1.06093e-16+0.00144909j 5.63802e-16+0.06739j -1.76202e-16+0.060201j 1.78772e-16+0.035471j 8.05844e-17+0.0183215j -2.25703e-16+0.00643578j -1.85943e-16-0.00237607j -1.17709e-15-0.0106682j 2.40614e-15-0.0496262j -7.43338e-17+0.0229263j 8.14466e-16+0.0383713j -2.69339e-17+0.023174j -1.42474e-15+0.0585464j 6.42009e-16+0.0450589j -3.01615e-17+0.0188549j -2.85332e-16+0.0323955j -8.20932e-16-0.0101158j 1.35149e-17+0.0126693j -3.83677e-15+0.0207488j -1.38917e-13-0.0384903j -1.23105e-13-0.0140433j 7.81046e-17-0.0331326j 3.78131e-15-0.0278925j -2.17151e-16-0.00488337j 4.36006e-16-0.0200318j 4.85498e-16-0.0270467j -2.49431e-15+0.033461j 2.6247e-16+0.0194416j -6.51784e-17-0.0338421j 5.16372e-16+0.0184595j -1.84765e-15+0.0337583j -2.13332e-17+0.0702073j -3.28307e-16+0.0148572j -3.03773e-16+0.0170993j -1.16203e-16-0.0135796j -1.13613e-16+0.0367744j -2.13482e-16-0.0768317j 1.69275e-16-0.00212489j 5.93535e-17-0.0636646j -2.50001e-17-0.0277518j 7.89494e-17-0.00951134j 4.31877e-17-0.00732581j 9.03549e-17+0.0013441j -4.61677e-17-0.0574428j 9.58317e-17+0.0594377j -6.39341e-17-0.0709742j -3.78581e-17+0.0203885j 6.93292e-17-0.0419434j -4.34348e-17+0.000567406j 8.02403e-17-0.0477924j 4.3609e-17+0.0591662j 2.09827e-16+0.0469201j -5.73719e-17+0.00887163j 1.36506e-16-0.0874284j -7.76592e-18-0.0325652j 2.20926e-16+0.0260931j 1.0561e-15+0.0619993j -1.66107e-14-0.0306604j 
