-9.85563e-16-0.125946j -5.34404e-16-0.0595019j 1.79026e-17-0.0103108j -8.5133e-18+0.0652539j 7.45743e-16-0.0525277j 4.33699e-17-0.0315145j -1.41551e-17-0.0499778j 2.91754e-17-0.06146j -3.14829e-17+0.0663494j 1.84029e-16-0.0315248j 3.66078e-16-0.0677157j 1.91036e-16+0.0132455j -5.92959e-16+0.0703632j 2.26058e-16-0.0855964j -8.25503e-17-0.0054185j 6.75382e-17+0.0150501j -8.77538e-17-0.0182872j 8.79736e-17-0.0260212j 1.0947e-16+0.0247615j 7.20921e-17-0.0126219j 3.16464e-17+0.0163388j -4.2292e-16+0.0259381j -1.55056e-15+0.0251649j 6.15171e-16-0.0566004j -2.38773e-16-0.031226j 4.13507e-16+0.0360126j 1.56974e-15+0.0426289j 1.04338e-15+0.00626518j -2.51144e-15-0.0171645j 1.13019e-15+0.042703j -1.18157e-14-0.0351092j -4.2697e-16-0.0137775j -2.65942e-17-0.00174643j -1.59098e-17-0.018644j 6.97225e-16+0.016923j -1.82875e-16-0.00525536j 2.15827e-16+0.0322435j 1.12147e-15-0.0567634j -8.73999e-16-0.0250454j 1.11182e-14+0.0650397j 8.65419e-15-0.0286933j -1.08439e-14+0.00701365j -8.80258e-17+0.00197689j -1.16522e-17-0.00704533j -1.23785e-16-0.0212658j 2.81319e-17+0.00521076j 1.32085e-16+0.0107454j -2.45156e-18+0.00516867j 1.3185e-16-0.0096071j 1.846e-16-0.0154941j 2.29464e-16+0.0710861j 1.87986e-16+0.0327258j 1.23969e-15+0.0134465j -5.52182e-17-0.0502709j 4.52027e-17+0.027027j -9.95042e-17-0.00139701j 2.65033e-16+0.0147852j 6.13333e-17+0.00140031j 1.04773e-16-0.0176065j 9.70244e-17+0.0327251j -2.59162e-16-0.025542j -4.2182e-17-0.0194237j -2.17964e-17+0.0331878j -3.72111e-17-0.0270706j -2.09489e-18-0.0187701j -1.46374e-17+0.0503453j -1.85955e-17-0.0103881j 7.76514e-18+0.00136502j 4.67134e-17-0.0494895j 1.27427e-16-0.069902j -8.62969e-17+0.0520947j 6.91671e-17+0.0766536j 
1.86666e-16-0.0360646j -1.1637e-18+0.118675j -4.65916e-17+0.026357j 4.52205e-18+0.0324554j -1.62486e-15+0.116488j -2.81815e-17+0.0398094j -8.7694e-18+0.014201j -4.31142e-17+0.0114063j 1.44052e-16-0.0684972j 2.04822e-16-0.0234898j -6.4755e-17+0.0332576j 4.05674e-16-0.0376319j -8.26029e-16+0.119729j 2.71321e-16+0.0270251j -5.16509e-17-0.0372188j 4.46946e-17-0.00211774j -3.89574e-17+0.029074j 1.75932e-16+0.0233468j 1.68188e-16-0.0332412j -1.39482e-16+0.00178302j 3.6702e-16-0.0701658j 3.11512e-16-0.0190301j -1.43948e-16+0.00234658j 3.62883e-16-0.0127131j 1.69365e-16+0.0046933j 8.87851e-16+0.0304092j 2.15368e-15+0.0547776j -4.53837e-16-0.00455694j 8.90249e-16+0.00507611j -4.1656e-16-0.00707749j 5.05343e-15+0.0153536j 4.79152e-16-0.0227469j -8.48413e-17-0.00461917j -3.09043e-16+0.0397566j -3.56881e-16-0.00908118j -8.0848e-18-0.000308591j 5.73224e-17-0.0339571j 4.29436e-16-0.0146084j 1.08328e-17+0.0102788j 3.98948e-15+0.0506104j 2.64565e-15-0.0431607j -1.44085e-14+0.00915814j -6.46372e-17-0.00210596j 5.96598e-17+0.0100901j -2.48442e-16-0.00812371j 2.50382e-16+0.00693991j -2.71002e-16-0.0134363j -2.63284e-16-0.0368967j -1.62673e-16+0.00683797j -4.8721e-17-0.0130924j -3.82839e-17-0.00411235j -9.8118e-17-0.0262525j -1.3826e-15-0.0137332j 8.17476e-18-0.00336464j -5.94764e-17+0.0100651j 1.77489e-18-0.00167836j 2.09969e-17-0.00405273j -3.6459e-17+0.0257487j -3.71256e-17+0.0381881j 7.83093e-17-0.0257611j -3.31224e-16-0.0385336j -1.51141e-16-0.00156886j -1.79659e-17+0.0224759j 7.97599e-18-0.0480917j 2.8156e-17-0.0388537j 2.23398e-17+0.0155343j 2.95329e-17-0.0259593j -7.7741e-17-0.0305361j -1.57787e-17-0.0119169j -9.48114e-17+0.0411562j 1.2494e-17-0.0924766j 1.43591e-16+0.0386963j 
1.93424e-16-0.0112609j 1.1373e-16+0.0752909j -4.21601e-17+0.133445j 6.08424e-18-0.085301j 1.82213e-16-0.0138522j 9.78628e-18-0.0318203j -1.356e-17-0.0430614j 3.06925e-17+0.0612029j 5.70944e-17+0.0502063j 2.39958e-16-0.0361215j 2.79037e-16-0.0604552j 8.68849e-17+0.00340763j -2.9935e-16+0.0348798j 9.49213e-17-0.0242462j -9.35588e-17-0.0470049j 9.70317e-17-0.00112602j -5.64112e-17+0.00633676j 1.15616e-17-0.010227j 2.49268e-17-0.0209603j 1.25391e-16+0.0062272j -4.36741e-16-0.0380449j 1.19683e-16+0.109739j -1.35996e-15+0.00487174j 1.97217e-16-0.05551j 1.32665e-16-0.0280803j -2.30974e-16+0.0149292j -4.27514e-16-0.00598179j -1.18277e-15-0.00062964j 1.1631e-15+0.0405606j 1.33893e-16+0.0444746j 5.65715e-15+0.0153772j 7.1408e-16-0.00304036j 2.86003e-16-0.0358658j 3.2664e-16-0.00992643j 1.68838e-15+0.0318404j -1.48288e-16-0.0165399j 1.04112e-16+0.0399641j -6.60916e-16+0.0217739j -2.38557e-16-0.0185929j 5.83065e-15+0.0323392j 4.37947e-15-0.0121943j -1.37199e-14+0.00904523j -4.19979e-16+0.00743492j 2.24466e-16+0.0663083j -1.74563e-16-0.0121227j -3.17132e-17-0.0293842j 3.19511e-16+0.00814624j -1.45321e-16+0.0202585j -3.56402e-16-0.0714742j 5.82837e-17-0.0035552j -1.41396e-16-0.0183956j -5.01017e-18+0.0238274j -2.5396e-16-0.00286524j -1.37384e-18+0.0115696j -2.77232e-17+0.00756688j 1.63736e-16+0.0199953j 4.76576e-16+0.0275466j -2.58542e-17+0.03566j -1.51824e-17+0.0039624j -8.28269e-17-0.00105596j 3.45281e-16+0.0312954j 1.38588e-16+0.0252179j 2.58692e-17+0.01121j -2.04508e-18+0.0196181j 2.23082e-17-0.0587443j 2.01972e-18-0.0262213j -4.08029e-17+0.023127j -3.57956e-16-0.0986291j -3.15511e-17+0.0867555j -7.50584e-17+0.0439746j -9.94759e-17-0.0944848j 1.76931e-16+0.0545871j 
6.09706e-16+0.0518111j 3.95685e-16+0.065144j -2.71825e-17-0.0311068j 6.4952e-17+0.0760517j -7.51046e-16+0.0639429j 5.76378e-17+0.0130651j 8.37747e-18+0.00557478j 7.06478e-17+0.071168j -5.53132e-17-0.0742505j 2.15245e-16-0.0366885j -1.28835e-16+0.0632872j 1.05589e-16-0.0303207j -2.54949e-16+0.0606447j 2.10937e-16+0.0742715j 1.53881e-17+0.0158796j 1.97114e-17+0.0293871j 5.82818e-17+0.0535505j 2.41083e-16+0.0638385j -1.1402e-17-0.0182981j -1.95949e-16-0.0160386j 1.48987e-16-0.0411805j 3.46203e-16-0.0533065j 1.97056e-15-0.040875j -2.85021e-16+0.00300759j 2.69956e-16-0.0379362j -1.71438e-16+0.0201712j -1.95083e-16-0.0236922j -1.25709e-15+0.0170219j 2.78286e-15+0.0371781j -1.78477e-15-0.0270856j -3.83261e-15-0.0092022j -1.84756e-16+0.00358237j 8.07197e-17+0.00194426j -2.91806e-16-0.00773527j -2.42651e-15-0.0407397j -3.93249e-17-0.0030587j 7.73543e-18-0.0286224j 6.32802e-16-0.0241754j -6.07991e-17+0.0184858j -1.3488e-14-0.0213639j -1.16048e-14-0.035602j -6.99322e-15+0.00443832j -1.65361e-15-0.0422492j 8.49576e-16+0.0432566j -1.66533e-16+0.0154816j 2.40824e-16+0.0304943j 5.71761e-17+0.00635308j 1.65793e-16+0.0176798j -5.40659e-17+0.0212159j -2.4303e-16+0.0148231j -2.06727e-16-0.066971j -4.31334e-16-0.0524829j -6.1279e-15-0.0614609j 6.00218e-17+0.0461831j -6.42335e-17-0.00854554j -5.67122e-17-0.0245502j -6.21493e-16-0.0302903j -5.64591e-17+0.0154554j 7.31674e-17+0.036301j 9.4243e-17-0.0246041j -1.60308e-16-0.0219846j -1.3592e-17+0.0450114j 3.09135e-17-0.0416081j -6.28168e-19-0.00963807j 2.55716e-17+0.00639743j -2.0018e-18-0.011638j -2.67921e-17-0.0252826j 5.24433e-17+0.0162832j -6.05725e-17-0.0716859j 3.04095e-17+0.0163932j -1.68717e-17-0.04647j -1.11513e-16-0.0656657j 
-6.14649e-16-0.106666j -3.62541e-16+0.0102182j -2.75854e-18-0.0138774j -1.55614e-17+0.122541j -2.81663e-17+0.00464016j 3.29258e-17-0.0228475j 1.58241e-17-0.00409422j 2.95247e-17-0.0227096j -5.32003e-17+0.0493138j -9.6211e-18-0.0180416j 1.0639e-16+0.0143488j 4.60643e-16-0.0269599j -1.1117e-15+0.163971j 4.77013e-16-0.0278675j -1.63136e-16-0.0609824j 7.28661e-17+0.0281722j -1.08369e-16+0.00278571j 2.44642e-16+0.0229211j 2.34774e-16+0.0103289j -5.86483e-17-0.00749249j 2.65823e-16-0.017606j -1.75204e-16-0.0169773j -3.22071e-16+0.00215625j 8.27152e-16-0.0691675j -4.7853e-16-0.0403565j 1.29555e-15+0.0435931j 2.71369e-15+0.0713914j -3.19599e-15-0.0477834j 4.45054e-15+0.0412796j -2.45722e-15+0.00434003j -1.84289e-14-0.0498135j 4.01274e-16-0.0668913j 5.09872e-16-0.0130375j 8.54136e-17-0.00858701j -3.33597e-16+0.0013589j 1.11424e-16-0.00715818j 4.19707e-16+0.00651241j 8.51451e-16-0.0417334j -4.74319e-16+0.00148251j 3.82003e-15+0.0283294j 2.93831e-15-0.0179698j -4.59528e-15+0.00280423j -7.40983e-16-0.0310259j 1.58703e-16-0.0316577j -2.01684e-16+0.0120316j 6.13035e-17+0.0283188j 2.4923e-16+0.025891j 1.74668e-16+0.022469j 1.21504e-16-0.00491098j -2.93047e-18-0.0186517j 1.59832e-16+0.0418813j -1.16313e-17-0.0366306j 8.45088e-16+0.0111041j -1.15038e-16-0.0414608j -5.52861e-17+0.0195613j -2.10594e-16-0.032947j 1.47038e-16+0.00224011j 8.36208e-17+0.0125626j -7.83701e-17+0.022193j -6.59758e-18-0.0216889j -1.81407e-16-0.0150616j -8.08291e-17-0.0146609j -3.66563e-17+0.00176153j 1.65748e-17-0.0493276j -1.85412e-17-0.0404084j 2.62363e-17+0.0258928j -1.78263e-17-0.025567j 2.96055e-17+0.00536936j 4.03281e-17-0.0836951j 1.2434e-16-0.0559775j -5.59535e-17+0.00580007j 6.97443e-17+0.0491248j 
-3.08419e-16-0.00934811j -2.49446e-16-0.0742581j 2.13994e-18+0.00385659j -3.05357e-17+0.00705881j 1.38021e-15-0.109403j -6.12373e-17-0.0553079j 1.71201e-17-0.0202459j 7.57505e-18+0.0238481j 4.5562e-17+0.072745j -1.33711e-16+0.0229613j 2.40164e-16-0.0854602j 6.35435e-17-0.0220021j -2.8128e-16-0.00117599j 1.74777e-17-0.0723187j 7.60961e-17+0.00973391j 1.61224e-17+0.00363092j -7.31332e-17-0.0508963j -9.56047e-17+0.000475736j -4.26919e-17+0.0154721j 1.86471e-16-0.00401855j -3.97086e-16+0.0282333j 1.7763e-17+0.0648081j -2.48529e-16-0.0165493j -2.71557e-17-0.0559916j -8.26204e-17+0.0196334j -3.50069e-16+0.00369142j -8.57342e-16-0.0222386j -1.88061e-16+0.0181961j 1.81759e-15+0.0293663j -1.60545e-15-0.0165308j -9.84342e-15-0.027201j -3.74317e-16+0.00267683j 6.24278e-17-0.0188495j 9.14431e-17-0.0183135j -8.07925e-16-0.0145126j -4.36845e-16+0.00927569j -6.00733e-17+0.0516264j 3.38855e-16-0.0154811j -4.32906e-16-0.0082375j -1.64064e-15-0.0107063j -1.23491e-15+0.00569101j 1.26571e-14-0.0081529j 7.33438e-16+0.0294266j -2.40817e-16+0.0148809j 1.50855e-16+0.0112167j 8.15136e-17+0.0126172j -1.22221e-16-0.004765j 2.32769e-16+0.042028j 1.62474e-16+0.00477536j -1.01736e-16+0.0052955j 1.56839e-17+0.00148512j 1.19745e-17-0.0146836j 5.0928e-16+0.00653223j 2.78436e-17-0.00698599j 9.91486e-18+0.00589143j -1.51234e-16-0.0159084j -6.38582e-16-0.0315401j -8.98614e-17-0.00525435j 2.64749e-16+0.0326008j 3.89778e-16+0.0216486j 3.12937e-16+0.0317786j -8.73686e-19-0.000908502j -4.66465e-17-0.0140901j 4.89748e-17+0.0410706j 2.00748e-17+0.00312706j -4.35044e-18-0.032759j 1.47474e-18+0.00828197j 4.65594e-17+0.00660447j 4.17751e-17-0.0160403j 5.21699e-17-0.0429452j 8.66138e-17+0.0497167j -9.98459e-17-0.0194843j 
2.40656e-16+0.044475j 1.8673e-16-0.0043088j 1.42592e-17-0.058625j -2.1508e-17-0.0267075j -1.75586e-15+0.139426j 1.30367e-16+0.0757585j -4.08591e-17-0.0183164j -1.25376e-16-0.0444659j -1.40538e-16-0.0632265j -4.45801e-16+0.0696673j -1.72418e-16+0.064641j -2.5697e-16-0.00317595j 4.41497e-16-0.0266383j -7.57704e-17+0.114609j -4.07861e-17+0.0392363j -1.48431e-17+0.0232754j 1.61071e-17-0.0143575j -1.78086e-16-0.0471315j 2.04671e-16+0.0324729j -6.61063e-17+0.0164209j 2.27238e-16-0.0207234j 3.05817e-16-0.0680757j 9.71899e-16-0.00450545j -2.52385e-16+0.0839449j 4.83382e-17+0.0191877j 3.06243e-17-0.0672603j 6.32879e-16+0.0304477j 2.89981e-15+0.0119249j -3.89371e-15-0.0654852j 1.465e-15-0.0344873j 8.63443e-15+0.0241401j -1.73676e-16+0.0174397j -2.7772e-16+0.0121281j 3.42653e-16-0.0154125j 1.50466e-15+0.020959j 2.74399e-16+0.00667536j -2.36759e-16-0.0508039j -3.42472e-16+0.0230675j 6.82001e-16+0.0188298j 1.55859e-15-0.00279179j 1.58131e-15+0.0108702j 3.51658e-14-0.0232571j 1.81151e-15+0.0340455j -7.31885e-16-0.0495645j 2.50245e-16+0.0212922j 1.0112e-16-0.00466163j -5.02404e-16-0.0211889j -5.04083e-16-0.064022j -1.52919e-16+0.0346975j 6.15291e-17+0.00685331j -1.91235e-16-0.0494194j 1.17939e-16-0.0226727j 6.16435e-15+0.0632146j 1.26848e-16+0.0364224j -2.67895e-17-0.0709198j 6.37291e-17+0.01384j -8.33881e-16-0.0441829j -3.29734e-17-0.0827452j -8.31758e-17-0.00792557j -2.36264e-16-0.0341477j -4.03017e-16-0.0389264j -1.2866e-16-0.0534633j -6.6456e-18+0.053713j 1.80561e-17+0.0379205j -2.53305e-17+0.0636696j 4.63368e-17+0.0899983j -1.96512e-17-0.0195809j 1.29375e-16+0.0302343j 2.54921e-18+0.0351237j -5.29149e-17+0.0437122j 7.02946e-17+0.039138j -7.87455e-17-0.0427944j 
-2.09729e-16-0.0223377j -2.27006e-16-0.0429744j 4.30218e-19-0.0300682j -3.37077e-17-0.0272095j 1.31298e-15-0.108163j -1.22895e-16-0.0273189j 1.39367e-16+0.196402j 1.26844e-17-0.035123j -4.03257e-17+0.0639182j -8.21198e-17+0.00696311j 1.21899e-16-0.0426646j -1.79851e-16+0.0656374j 3.36468e-16-0.0746576j -3.09339e-16-0.0802283j 8.91739e-17-0.00375448j -7.78247e-17-0.040782j 9.83501e-17-0.0470523j 2.41776e-17+0.0274621j -2.66083e-16-0.00794336j -1.59205e-16+0.0147274j 6.73774e-16+0.102161j -3.00526e-16-0.0884069j 1.08469e-15-0.00367094j 7.20948e-17+0.0187523j -2.02461e-16+0.0242937j 6.61817e-16-0.0134105j 1.42592e-15+0.0364365j 1.18217e-15+0.00342029j -1.25392e-15-0.0256567j 2.26674e-16-0.0200401j 5.6444e-16+0.00421694j 6.97291e-17-0.0366214j -3.22033e-16+0.00365808j -5.15559e-16+0.042837j -2.35984e-15-0.0404945j -6.87501e-16+0.00560823j -3.82051e-17+0.068913j 9.13752e-16-0.0344876j -4.68625e-16-0.0192101j -1.15951e-15-0.0121263j -4.26297e-16+0.00903689j -3.95977e-14+0.0263301j 1.52143e-16-0.00333537j -4.40101e-16-0.0604195j 3.12851e-18-0.0309095j -5.73702e-16-0.0409031j 1.42043e-16-8.1477e-05j 3.81359e-16+0.00723155j 6.77899e-16+0.0395506j 2.35215e-16-0.0424666j 3.9327e-16+0.0825264j 7.53374e-17+0.0584837j -2.38629e-16-0.00276441j -1.31443e-16-0.0475267j 1.48599e-16+0.00916337j -2.59473e-16-0.0287418j 8.9601e-16+0.046761j 1.68898e-17+0.0874064j -1.03028e-16-0.00846564j -3.12516e-17+0.0211833j 2.43355e-16+0.0419958j 1.46847e-16-0.0676061j -7.93e-17-0.0528852j 1.54523e-16-0.0738148j 1.59085e-17-0.0711574j -4.02311e-17-0.108582j -1.3933e-17+0.0211038j 3.82328e-16+0.0877195j -1.39375e-17+0.02591j -3.49729e-17+0.000761931j 1.7858e-19+0.0273208j -2.29005e-17+0.0539122j 
1.87992e-15-0.0461602j -1.45941e-15+0.0348877j 2.312e-15-0.0468188j -3.95091e-15+0.0882864j -3.84379e-15+0.0679154j 8.55622e-16-0.022336j -1.9968e-15+0.0386085j 1.22954e-15-0.0257852j -6.4169e-16+0.0127382j -1.319e-15+0.0221864j -8.65497e-16+0.0204565j -2.12958e-15+0.0540499j -4.2834e-15+0.091074j 4.45778e-16-0.00883689j 1.14621e-15-0.030906j -1.02096e-15+0.023523j 2.90373e-15-0.0619533j -6.47538e-16+0.0151879j -1.28021e-15+0.0341537j -1.79369e-15+0.0393451j 5.16789e-16+0.00872674j 6.53557e-15-0.148769j -2.16247e-16+0.0259172j -2.37612e-15+0.0574346j 1.52375e-15-0.0433633j 1.05391e-15+0.00452302j -2.53486e-16+0.0667814j 1.30235e-17-0.0351397j 1.70718e-15-0.00395048j 1.35577e-17-0.00601896j -7.73305e-16-0.001379j 7.94964e-16-0.0181516j -2.24798e-16+0.00447243j -1.97119e-16-0.00436308j -6.76469e-16-0.0232377j -3.95754e-16+0.00493929j 3.56504e-16-0.00472367j 3.47077e-15-0.0537968j -3.80348e-16+0.00339321j 8.22356e-15+0.056367j 9.81819e-15-0.0208396j -2.58998e-14+0.0163226j 4.40696e-16-0.0373124j 1.61481e-15-0.0302501j 8.1026e-16-0.0247791j 5.95045e-16-0.0260231j -4.2773e-16+0.0263474j -3.67824e-16+0.0184082j -4.91098e-16+0.0140965j 1.70803e-15-0.0402111j 1.38384e-15-0.0422879j 4.04373e-16-0.00458635j 4.0426e-15+0.0770962j 8.05935e-16-0.0191124j -6.29725e-16+0.0139099j 1.32202e-15-0.0340072j 3.07295e-16-0.00634208j -2.99836e-15+0.0686424j -2.61342e-15+0.0651737j 1.25019e-17+0.0136597j 1.53352e-15-0.0452622j 1.32934e-15-0.0322812j 1.18969e-15-0.0284485j 2.8446e-15-0.065268j 1.16146e-15-0.0261479j -1.99435e-15+0.0486915j 4.01542e-16-0.00678404j -3.49614e-16+0.000362493j 3.12979e-15-0.0700136j -1.83215e-16+0.00557202j 8.97439e-16-0.0259564j -6.31304e-17+0.00226979j 
4.53091e-17-0.000634509j 1.40642e-16+0.0445194j -1.46832e-16+0.0911264j 2.15907e-16-0.0301365j 3.50066e-16-0.0158983j -4.78461e-17-0.0646262j 7.54786e-19-0.126608j 2.17606e-18+0.0313898j 6.04702e-17+0.0465035j 9.13064e-17-0.0160314j 1.51388e-16-0.0310742j 1.54478e-16+0.0459657j -1.81746e-16+0.0441084j -1.55498e-17-0.0708998j -1.0229e-16-0.0241559j -5.09443e-17-0.0724139j -8.80256e-17+0.0499723j 5.46499e-17-0.00422594j -6.35424e-17-0.0158517j 3.81918e-16+0.0502021j -6.50708e-16-0.00978189j -6.14919e-16+0.121598j -2.71878e-15+0.0461241j 4.30409e-16-0.0622005j -1.15197e-17+0.0120601j 2.63464e-16+0.035987j -1.22411e-15-0.0290343j -5.64374e-15-0.0631818j 6.9849e-15+0.0978404j -1.48012e-15+0.0626693j 7.08772e-15+0.0169603j 4.62282e-16+0.0321279j 3.73262e-16-0.0140848j -1.4992e-17+0.0172998j 4.76488e-16+0.00844465j 2.01639e-16+0.0210322j -2.95826e-16-0.0056384j 4.92945e-16-0.024148j 3.35205e-16+0.0330195j 1.9902e-15-0.00665415j 2.12626e-15+0.0164786j -1.07968e-14+0.00716074j -2.32467e-15-0.0456675j 7.3407e-16+0.0709971j -2.594e-16+0.00988655j -4.89333e-16-0.0443673j 9.05765e-16+0.0440376j 1.73447e-16+0.0213314j -1.58026e-16-0.0495643j -1.37083e-16-0.055456j -5.11009e-16-0.0907731j -2.44464e-17+0.031627j 1.11143e-15+0.00790125j 2.36886e-17+0.00957215j -1.23812e-17+0.0242888j 1.59023e-17-0.00272125j 8.91286e-16+0.0497565j 9.01918e-17-0.0012676j 1.7588e-16+2.33091e-06j -1.80743e-17+0.00285788j 1.04831e-16+0.0207565j 2.37953e-17+0.0439059j -3.71216e-19-0.0308471j -1.21751e-16+0.00249194j -2.44829e-17-0.000734465j 1.16046e-16+0.0614643j -5.57996e-17+0.0355176j -3.3748e-16-0.0962214j -1.95419e-16+0.0256825j -2.08688e-17+0.0189432j -6.95711e-17-0.0628196j 5.9887e-17+0.00289241j 
-3.25033e-16-0.0786497j -1.38119e-16+0.0625137j -4.68268e-17+0.0466196j 9.78266e-17-0.063086j -1.36398e-15+0.105596j 3.08823e-17+0.0843334j -4.88007e-17+0.00380968j -1.04104e-16-0.172774j 2.21319e-17-0.028859j -2.52977e-16+0.0459211j -3.09062e-16+0.10924j -4.63888e-17+0.0141692j 1.69389e-16+0.00589302j -2.15857e-17+0.00481814j -2.51484e-16-0.0842708j -7.31663e-18-0.0285615j -4.26822e-17+0.0399495j 9.06102e-17-0.038253j 1.73236e-16-0.0351037j -8.21062e-17+0.0795827j 2.19624e-16-0.0187682j -3.54708e-16+0.0282671j -2.42513e-15+0.0597556j 5.73291e-16+0.0449179j -4.01291e-16+0.058815j 1.95758e-15+0.00889137j 3.61413e-15+0.122612j 5.53801e-16-0.10688j -5.58847e-15-0.115689j 4.50436e-15+0.0415282j 2.83786e-14+0.0810391j 2.58684e-15-0.085336j 8.82183e-17+0.0510125j 5.51528e-16+0.0732802j 7.20044e-15+0.117874j 1.31039e-15+0.0100415j -1.27518e-16-0.0385918j -1.84301e-15+0.0983067j 1.60616e-15+0.0329346j 1.21885e-14-0.00455774j 1.11695e-14+0.0627832j -5.51205e-15+0.00366301j 2.01212e-15+0.0280527j -1.103e-15-0.0951534j 1.83059e-16+0.0335895j -6.08011e-17-0.0273517j 5.9836e-17+0.0166024j -6.687e-16-0.0971423j -3.67391e-16-0.0550647j 3.44444e-16-0.0627479j 3.32644e-16+0.106299j 2.38003e-16+0.0457353j 5.17272e-15+0.0508757j -1.82698e-16-0.0920943j -1.30971e-16+0.0499919j 3.30863e-16+0.0418308j 1.34399e-15+0.05863j 2.20693e-16-0.0344572j -5.71596e-16-0.0535472j -9.01449e-16-0.0656719j -4.8258e-17-0.00755404j 1.0807e-16-0.0364253j -8.38712e-17+0.0780335j -1.51761e-16-0.0776618j -8.85946e-17+0.00958547j 9.17976e-17+0.0753769j 1.51214e-17+0.0109211j -2.64669e-16-0.0526641j -8.98576e-17+0.085979j -7.69093e-17+0.0178893j -1.36867e-16-0.0343407j 1.98446e-16+0.112083j 
