0.000626903-0.0120669j 0.0122013+0.000814812j 0.00127867+0.00224693j -0.00459191+0.00135354j -2.98902e-05-0.0034728j -0.000642677-0.00158847j 0.00217051+0.000712797j -0.00363682+0.00226425j 0.00157249+0.00094283j 0.00204516-0.000942854j -0.00028427+0.00143498j -0.0014256+0.000361427j -0.000550499+0.00101097j 0.00408132+0.0034697j -0.00177827+0.000507224j 0.0009291+0.0016811j -6.87657e-05-0.000373686j 0.000609065-0.000916174j 0.00215981+0.0010893j 0.00207343-0.000189442j -0.00148819-0.00064922j -0.00200174+0.00420513j 0.000202478-0.0018275j 0.000213392+0.00129455j 0.00101059+0.00125917j -0.00249374+0.00178945j -0.000401415-0.000519694j -0.000365186-0.00347651j -0.00021423+0.000931397j 0.000194539-0.000761477j 0.0028466+0.000550219j 0.00138246-0.00195645j -0.00123935+0.000565355j 0.000275557-0.000110034j -0.00278342-0.00438847j 0.00120718-0.00114276j -6.27842e-05-0.00263926j 0.00219055-0.00275513j -0.00236543+0.000440778j 0.00269366+0.000380644j -0.0024474+0.00113297j -0.00136123+0.00263592j 0.00377274-0.00449208j -0.00164968+9.86932e-05j 0.000665008-0.000768227j 0.002609+0.00328133j 0.00396525-0.000394737j -0.00115749-0.000257402j -0.00319209+0.000451251j -0.000103875-0.00291048j 0.00146846-0.0011836j -0.00292861-0.00283167j 0.00344534-0.00232557j -0.000340901-0.00585433j -0.0116792-0.00246693j -0.00233075+0.0122469j 
0.00213955+0.00245874j -0.00225547+0.0019688j 0.00279371-0.000112153j 0.000314594+0.00467487j -0.00236487-0.000392046j -0.00208119+0.000227517j -0.000584011-0.0013428j 0.000848543+0.00118507j -0.000477388+0.000390451j -0.00125596+3.90874e-05j 0.000409112-0.000876283j -0.000155917-0.000540694j 0.000219673-0.00126729j -0.00185165-0.00186784j -0.000410398+0.00100767j 0.000428829-0.000523473j 0.00145742+0.000638765j 7.66525e-05-1.47813e-05j -0.00103407-0.000831719j -0.00165994+0.000461916j 0.00206268+0.000796479j 0.00156913-0.00148898j -0.000359103-0.000137045j 0.000888571+0.000433528j -0.000414266-0.000350262j 0.00059758-0.00227742j 0.000188001+0.000188916j -0.000181256+0.00203572j 0.000324605+0.00166689j 0.000394335-0.00102939j -0.00116566+0.00090669j -0.000124422+5.53903e-05j 0.000127348-0.000384987j -0.00127425+0.00180977j 0.00099312+0.000672596j -0.000670418+0.00121256j 0.000155776+0.000368841j 0.00184167-0.00100382j 4.19505e-05-0.000618862j -0.00150075-0.000730176j -0.00052415-0.00206023j 0.000151179+0.000896417j -0.000485946-0.000295148j 0.000688592-0.00141532j -0.000983163-0.0009918j 0.00128747+0.000541975j 0.000212017-0.000395551j 0.000657237+0.00116202j -0.000535218+0.00117354j -0.00238815-0.0018769j 0.00188548+0.000156456j -0.00198216+0.00303836j -0.00369518-0.00099956j -0.00342319+0.00203321j 0.00741586-0.00254941j -0.00218718-0.00757991j 
-0.00300724+0.00969013j -0.010334-0.00284983j -0.00118123-0.00263219j 0.00476472-0.00431196j 0.00120873+0.00330015j 0.00204532+0.00322341j -0.0012864-0.00137581j 0.00144316-0.00324028j 5.10233e-05-0.00152686j -0.00119549+0.00168412j 0.00158219-0.0012973j 0.00143022+0.00035389j 0.000406959-0.000231642j -0.0014364-0.00198141j 0.00334534-0.0017017j -0.000548312-0.000594619j -0.000614724-0.000637899j -0.00169119+0.00181519j -0.00199164-0.00108674j -0.000637478-0.000235803j 0.000313119-0.00130286j 0.00291862-0.00282584j 0.000553717+0.00232855j 0.000257801-0.00185534j -0.00139567-0.00178918j 0.00285163-5.25111e-05j 0.000641397+0.00162639j 0.000282201+0.00129134j -0.000961786-0.00386191j -0.000708851+0.00257941j -0.00148374-0.00350894j -0.00106284+0.00089749j 0.00109203-0.000177125j 0.000938897-0.00373837j 0.00343771+0.00456431j 0.000368738-0.000920217j 0.00142553+0.000744665j -0.00564106+0.00388412j 0.00109305+0.00126948j 6.20529e-05-0.000244935j 0.000378149-0.000414381j 0.00147412-0.000749497j -0.00345314+0.00399129j 0.00110149-0.000330299j 0.00143172+0.00198692j -0.00385062-0.00205996j -0.00228415-0.00130791j 0.00101012-0.00223103j 0.00351365+1.636e-05j 0.00178242+0.00686997j -0.000403077-0.00212111j 0.0046686+0.00197752j 0.00316649+0.00247471j 0.00439566-0.00229011j 0.0035359+0.00267152j 0.00237451-0.00310801j 
0.000189376-0.0220566j 0.0225336+0.000630662j -0.0038193+0.00251984j -0.0077007-0.00418792j 0.00292648-0.00530672j 0.00176251-0.00384682j 0.00295944+0.0052135j -0.00784554+0.00321868j 0.00298768+0.00250017j 0.00574613-0.00223054j -0.0026497+0.00307704j -0.00267881+0.000833095j -0.000664068+0.00311178j 0.00872273+0.00892499j -0.00337139+0.000288217j 0.000118331+0.00304217j -0.000589221-0.000936554j 0.000852212-0.00211708j 0.0057822+0.00454605j 0.0060333-0.000402498j -0.00476644-0.000259916j -0.00701539+0.0098093j 0.000422938-0.00361815j -0.000906247+0.0017821j 0.00296675+0.00230115j -0.00611673+0.00665342j -0.0013176-0.00243411j 0.000346672-0.00790247j -0.000828998+0.000899063j -0.000105448-0.00138737j 0.00639855+0.00211872j 0.00285886-0.00263949j -0.00144882+0.00144583j 0.00294116-0.000258979j -0.00789323-0.010582j 0.00226339-0.00201202j -0.00201512-0.00511886j 0.0036549-0.00495261j -0.00337754+0.000611284j 0.00439173+0.000528352j -0.00259256+0.00537445j -0.00330856+0.00232191j 0.00803511-0.00859939j -0.00369638+0.001028j 0.00166732-0.00208448j 0.00483184+0.00433655j 0.00777686-0.00138888j -0.0042884+0.00112788j -0.00812811-0.00255224j 0.00388452-0.0063631j -0.000689954-0.000648802j -0.0023612-0.00955376j 0.00411516-0.00188457j 0.00131442-0.00658836j -0.0235232+0.000263563j 0.000403309+0.0242598j 
-0.00396003+0.00911434j -0.00917202-0.00397112j -0.0026736-0.000565095j 0.00150086-0.0026987j -8.77252e-05+0.00367967j 0.00148774+0.00226174j -0.0044542-0.000430051j 0.0043102-0.0048323j -0.00255374-0.00135142j -0.00376664-0.00206033j 0.00202812-0.000709438j 0.000782726-0.000913247j 0.000824749+0.000591732j -0.00218638-0.0042343j 0.00256354+0.000143491j -0.00141965-0.0038076j 0.0013338+0.00084644j -0.00257534-0.000440609j -0.000494108-0.00172948j -0.00352108+0.00203511j 0.00139636-0.000415276j 0.0042629-0.00601547j -0.0032383+0.00059981j -0.00210007-0.00122384j -0.000324374-0.000620419j 0.00307358-0.00222363j 3.48496e-05+0.000415829j 0.00216057+0.00398202j 0.00141031+0.00177786j -0.000876965+8.60292e-05j -0.00340661-0.00411276j -0.00194232-0.00216272j -0.000185229-0.000895963j -0.000550651+0.000324896j 0.00458559+0.00226766j -0.000465519+8.35043e-05j 0.00244389-0.00140139j -0.00171858+0.00322279j -0.000269551+0.00114318j 0.000629254-0.00235118j -0.00251248-0.000210974j -0.00136123-0.00024715j -0.00255132+0.00357409j 0.00152511-0.00187858j 0.00209262+0.000291267j -0.00196319-0.00136862j 0.000463897-0.00153366j -6.60135e-05+0.00151312j 0.000540121+0.000402263j 0.00134262+0.00331448j -0.00224311+0.000743446j -0.00120484+0.00123103j -0.00565706+0.011287j 0.0129932+0.0046424j 0.0114568+0.000689597j 0.000426687-0.0116328j 
-0.00518115-0.00188674j 0.00212164-0.0048902j -0.0101132-0.00215128j 0.00100428-0.0121401j 0.00652811+0.00271179j 0.00503548-0.00097513j -0.00361055+0.00564516j -0.000478677-0.00596154j -0.00151145+0.000703262j 0.000782272-0.00315941j -0.00109786+0.0022164j 0.000804785+0.00121805j 0.00028112+0.00256116j 0.00400414+0.00123489j 0.00178246-0.00193563j -0.00266114-0.00212562j -0.00125044-0.000713434j -0.000467675-0.00162226j 0.00506859+0.00416134j 0.00285354+0.00138818j -0.00397638+0.000814512j -0.00348536+0.00249269j -0.00024748-0.00108313j -0.00466404-0.00184954j 0.00158896-0.00044881j -0.00145372+0.00653695j -0.000786031-0.00144173j 0.00346505-0.00154233j -0.000145416-8.31977e-05j -0.000970513+0.000626661j 0.00191623-0.00153543j 0.000148743-0.000491448j 0.00116491-0.00129335j 0.00338272-0.000874628j -0.00189979-0.00159919j -0.000673534+1.87516e-05j -0.000667432-0.000774429j -0.00240954+0.00265791j -0.000334793+0.000176287j 0.00186854+0.00131867j 0.00222589+0.00455284j -0.00477546-0.00428841j -0.00127503+0.000732904j -0.000373175+0.00173521j 0.00152024+0.00196436j -0.00194211-0.00227013j 0.000654256+0.000299898j -0.00175804-0.000878949j 0.00121553-0.00827814j 0.0086697+0.00239488j -0.00535759+0.00481115j 0.00588307-0.00457565j 0.00169191+0.00692114j 0.00947941+0.000859473j -0.00796884+0.00720501j 0.00641987+0.00783314j 
0.00103262+0.00642905j -0.00592716+0.000452338j -0.000378437+0.00166018j -0.000287975+0.00268443j -0.000893465+0.00415998j 0.000181634-0.000933292j -0.00218568-0.00133198j 0.00646429-0.000434195j -0.00438849-0.0026376j -0.00281134-0.000790367j -0.00103376+0.000106433j 0.0012109-0.00206574j -0.000430858-0.00145256j -0.00560093-0.00429535j -0.000823972+0.000219375j -0.000297262-0.00269153j 0.000169344+0.00139198j 0.00192551-0.000463471j -0.00144162-0.00233807j -0.00349152+0.000814827j 0.0029809+0.00263579j 0.00308619-0.00490158j -0.00137761+0.00117718j -0.00128252+0.00117249j -0.000373874-4.69817e-05j 0.0016328-0.00500392j -0.00045516+0.000346504j 0.00207397+0.00461604j 0.00158685+0.00320685j -0.00155971-0.00125972j -0.00366399+0.00284692j -0.000420507+0.00278174j 0.0029385-0.00128453j 2.81734e-05+0.00343098j 0.00200698+0.00431052j -0.0034598+0.00331452j 0.00115416+0.00269418j 0.00308387-0.000146576j 0.00219354-0.00209619j -0.00427604+0.00116623j 0.00466947-0.00122758j 0.0002559-0.0019501j -0.00251145+0.00325906j 5.13534e-05-0.00135106j -0.00430079-0.00231911j -7.90564e-05-0.00444591j -0.00723262-0.000453592j 0.00193566+0.000202187j 0.00326146+0.000412466j -0.00139126-0.00012563j -0.0010713+0.00515129j 0.00404223+0.00642356j -0.00870532+0.00270055j -0.00872659+0.00641975j 0.0139074-0.00115895j -0.000147157-0.014257j 
0.00806172-0.0240705j 0.0244148+0.00818819j 0.00547919+0.00292564j -0.00665362+0.00695924j -0.000850021-0.00903573j -0.00271589-0.00566727j 0.00971353+0.000952202j -0.0114118+0.0109577j 0.00538355+0.00281649j 0.00685533+0.00307465j -0.00395989+0.00226119j -0.00183247+0.00153349j -0.000426237+0.000679817j 0.00615928+0.0118607j -0.00684774-0.000672875j 0.00403175+0.00731923j -0.000216044-0.00106443j 0.00428243-0.000471706j 0.0021538+0.0037046j 0.00760033-0.00227747j -0.00215623+0.000835866j -0.00996927+0.0119685j 0.00562412-0.0037741j 0.00473409+0.00317206j 0.00101408+0.00165998j -0.00792599+0.00240171j -0.000858062-0.00166672j -0.00463469-0.01017j 2.28202e-05+0.00269156j 0.00204581-0.00174404j 0.00741053+0.00892257j 0.00389839-0.00117273j -0.00296088+0.000498068j -0.000166423+0.00228653j -0.00630459-0.013912j 0.00325909+0.000201185j -0.00567662-0.000345348j 0.00762143-0.0116204j -0.00514766+0.00142814j 0.00474705-0.00158215j -0.00392036-0.000288905j -0.000467694+0.00772589j 0.0106057-0.00933282j -0.00229298+0.00221933j 0.000303605-0.00370036j 0.00771239+0.0075328j 0.00669316+0.000621804j -0.00435714+0.000765881j -0.00937128+0.00252286j -0.00436642-0.00820714j 0.00381035+0.00254705j -0.0175868+0.000610446j 0.000194124-0.0145646j -0.00803177-0.00928766j -0.020067-0.00231774j -0.00256099+0.0213807j 
0.00239126+0.00490061j -0.00526228+0.00233973j 0.00558699+0.000484855j 7.03946e-05+0.00606265j -0.00561968+0.000250938j -0.000421643+0.00128315j 0.00374858-0.00244783j -0.00101338+0.00433826j 0.000853395-0.00193646j -0.000704052+0.00317047j 0.000860271-0.00201764j -0.00126937-0.00250849j 0.00129716-0.00153947j -0.00297049+0.000215988j -0.00142222+0.000339586j -0.00117158+0.00207143j 0.00152361+0.00191283j -0.00143656+0.00127958j -0.00389721-0.00486283j -0.000582276-0.00299394j 0.00371326-0.00195891j 0.00306948-0.00459166j -0.00147233+0.000833446j 0.00314611+0.00161427j 0.000626348+0.00111523j 0.00258928-0.00542775j -0.000582227+0.00192888j 5.99516e-05+0.000338012j 0.00114713-0.000790936j -0.000885885+0.00196036j -0.0012206+0.00191565j 8.05711e-05+0.000989356j -0.000482285+0.00197386j -0.00154022-0.00264961j 0.00342531-0.00121839j 0.000533532-0.00135975j 0.00198316-0.00448066j 0.00179526-0.00220939j -0.0016575+0.00236144j 0.000864243-0.000998791j -0.00157223+0.000182335j 0.00328451+0.00348782j 0.00297882-0.00120862j -0.00246078-0.00417472j 0.000329728-0.00203042j 0.0011859-0.000648088j 0.00245459-0.00543683j -0.00049454+0.000609974j -0.00610323+0.00776596j -0.00905241-0.00282702j 0.00371119-0.0069174j -0.00529863+0.00794645j -0.0114563-0.00367045j -0.00182462+0.000322393j 0.0122067-0.00567271j -0.00532442-0.0106625j 
0.00446256-0.00891904j 0.00839349+0.00476464j 0.00485745-0.000872611j 0.000623389+0.00297222j 0.000433744-0.0059556j -0.00208476-0.00214793j 0.00791005+0.000392033j -0.00778152+0.00462869j 0.00543644+0.00234952j 0.00491398+0.0041209j -0.0014366+0.00146778j -0.00192165+0.00410934j -0.000812108+0.000672833j 0.00363229+0.00713036j -0.00245259-0.00185763j 0.000196841+0.00598454j -0.00102255-0.00177919j 0.00107749+0.00025043j 0.00102982+0.00241169j 0.00660415-0.00245944j -0.00257935-0.00333039j -0.00766615+0.0063239j 0.00253441-0.00148805j 0.00398305+0.00157747j 0.00167028+0.00235478j -0.00321427+0.00344062j 0.00096944+0.000696194j -0.00287505-0.00533552j -0.000960714-0.00466202j 0.00112166+0.00147289j 0.0074683+0.00234668j -5.39638e-05+0.00163986j -0.00217248+0.0035424j 8.70587e-05-0.00359842j -0.00415405-0.00692943j 0.00250404-0.0033975j -0.00210902+0.0010255j -0.000306475-0.00327901j 3.70452e-05+0.00124359j 0.0029118+0.00127231j -0.0021033+0.00117255j 0.00119126+0.000510521j 0.00448559-0.00578666j -0.00053726+0.00420426j -0.000156495-0.00027819j 0.0017635+0.00297542j 0.00353426+0.00052846j -0.00186178-0.00232045j -0.00206797+0.00275728j -0.00523766-0.00762226j 0.0057481-0.00604732j -0.00960264-0.00348344j 0.0065294-0.0163318j -0.00462544-0.00350354j -0.0136267-0.000813721j -0.00196252+0.0137703j 
0.00738419-0.0146836j 0.0140343+0.00694762j 0.00664778+0.00697177j -0.00515592+0.00789159j 0.000194289-0.00709895j -0.00563901-0.00428026j 0.00743959-0.00248526j -0.0026186+0.00368227j 0.00337164+0.000189787j 0.00118863+0.00389922j -0.000934811+0.00028865j -0.00192545+0.00315857j -0.00098765+0.00099528j 0.00233059+0.00444064j -0.00515659+0.000122167j 0.00289427+0.0053067j -0.00400198-5.45556e-05j 0.00244855-0.000386914j 0.000684147-0.000575194j -0.000702895-0.0014961j -0.00311721-0.00169378j -0.00515655+0.00679929j 0.00195739+0.00077306j 0.00225578+0.00426669j 1.07376e-05+0.00463165j -0.00577508-0.00115674j 0.00156438-0.00212543j -0.00669948-0.00569902j 0.000478821-0.00058891j 0.00156427-0.0013729j 0.00261406+0.00257891j -0.00144265-0.00186818j -0.00574439+0.000817452j -0.0015372+0.00395498j -0.00629442-0.0047667j 0.00308248-0.00392003j -0.00302974+0.00320756j 0.00720695-0.00469206j -0.000668808-0.0023854j 0.00132994-0.00106871j -0.000931053+0.00128831j 0.00216247+0.00495912j 0.0062238-0.00502635j 0.00140984+0.00608417j -0.000490004-0.00263623j 0.00161537+0.00535586j 0.00218798+0.00681839j -0.000338676+0.000283457j -0.00176699+0.00796201j -0.00671581-0.00109545j -0.00207837+0.00107725j -0.0113771-0.00742782j 0.00446049-0.00785135j -0.00418002+0.00048099j -0.0128302-0.00137941j -0.00183097+0.0123086j 
