0.0167222+0.00013949j -0.000190083-0.0164205j 0.00260927+0.00144163j -0.000610355-0.000363166j 0.0020608+0.00183794j 0.00144699+0.00298687j -0.00450732+0.00289487j 0.00199034-0.00630646j -0.00182401-0.00161448j 0.00157449+0.00275741j -0.00422055+0.00420797j -0.00247184-0.000366655j -2.34896e-05-0.00385197j -0.00100534+0.00091141j -0.00183254+0.00224423j -0.00186017-0.00151801j -0.0029103+0.00185011j 0.000167612+0.00211238j -0.00438509+0.000227285j -0.00065083-2.20549e-05j 0.00219465+0.000159615j -0.00156732-0.00405511j -2.69459e-05-0.00194732j -0.000310103-0.00350427j -5.11895e-05-0.000229211j -0.0025039-0.000113928j 0.003179+1.49189e-05j 0.000973734+0.00121573j 0.00124223+0.00100771j -0.00120997-0.000993488j -0.0015811-0.00185152j -0.000802011-0.00142846j 0.00122929-0.000608369j -0.00297259-0.00295564j -0.000938567-0.000583745j -0.000756641+9.23089e-05j -0.000796195-0.00176677j -0.00433391+0.000329033j -0.000518043-0.000282354j 0.000541013-0.00106853j -0.00167638-0.00077979j -0.00180974-0.00099876j -0.0012018-0.0039746j 0.0034131+0.00035547j -0.00164397-0.00101709j 0.000859979+0.00222233j -0.0011622+0.00158479j -0.00483224+0.00276275j 0.0060667-0.000281281j -0.00194011-0.000369153j -0.00398767+0.000533818j 0.00221475+0.00090684j 0.00348216+0.000927559j 0.00339369+0.000590868j -0.000205051+0.00356221j 0.0006809-0.00390481j 0.00297592-0.00229799j -0.003052-0.0028063j -0.000804528-0.00143647j 0.000586115-0.00405923j 0.00335608+0.00536017j 0.00358812-0.00135287j -0.00606363+0.00337452j -0.0036887-0.000598588j -0.00534318-0.00996896j 0.00757885-0.00242222j 0.00308876+0.0039948j 0.00207216-0.00488356j -0.00115572-0.000196251j 0.00456144+0.00355344j 0.00304048-0.0200491j -0.0201414-0.00231525j 
-0.000606557+0.00437846j 0.00402906+0.000789333j -0.00108489+0.00110718j -0.00176426+0.00371795j 0.00271633+0.00110617j 0.000316915+0.00191365j -0.00118732+9.53567e-05j 0.000170999-0.00264358j 0.000593088-0.000291653j 9.23635e-05-0.00100447j -0.00169386-0.0014948j 0.000240478+0.0011044j 0.000223604+0.000371841j -0.00207848-0.00184084j 2.52988e-05+0.000219073j 0.000459394-0.00142848j 0.000472304+0.00143915j -0.00166859-0.00144783j -0.000811841+0.00112023j 2.04051e-05-0.00158006j -0.000126579-1.752e-05j -0.000330368-0.00182692j 0.000388816+0.000613512j -0.000375287-0.000798997j -0.00182152-0.0026105j -0.000428177-0.000941842j 0.000378983-0.00266557j 0.000304728+0.000971434j -0.00186257+0.000543584j -0.000377048+0.00106136j 0.000119864+0.00165384j -0.00197241+0.00156216j 0.000145493+0.000101905j 0.000278038+0.00094342j 0.000476236-0.000617896j 0.00112587+0.000874774j -0.000486655-0.00207353j 0.00229923-0.000191028j 0.00140484+0.00238902j 0.00334396-0.00148249j 0.00194912+0.000258022j 0.000266295+0.00324707j 0.000289749+0.0012922j 9.26838e-05+0.000415456j -5.31591e-05-0.000285438j -0.00191783-0.000312711j 1.52383e-06+0.00116458j -0.00122941+6.0178e-05j 0.000383784+0.00362428j -0.00259571+0.00233623j 0.00127427-0.00251828j 0.00135841+0.000613995j 0.00180191+0.00103875j 0.000685401-0.00210908j 0.000478285+0.00101012j -0.000960128+0.00189327j -0.00112743+0.00280011j 0.00134703+0.00013203j -0.00155814+0.000204262j -0.00479278-0.000106483j -0.00285001-0.00110073j -0.000551585-0.000656673j -0.00144178-0.000832421j 0.000266271-0.00433598j 0.00277424-0.00265565j 0.0031878+0.00326173j -0.00358284-0.00334591j 0.00228575-0.00433141j 0.0040516-0.00331367j 0.00078349-0.00254455j -0.00695126+0.0033854j 0.00417901+0.00800679j 
-0.0179082-0.00104998j -0.000532202+0.0171813j -0.00405603+0.000837442j 0.000622719-0.000755797j -0.00235629-0.00243197j -0.00361537-0.00462032j 0.00808479-0.00120864j -0.00162822+0.00601257j 0.00230374+0.00317558j 0.00107086-0.00192506j 0.00545745-0.00627322j 0.000932995+0.00119265j -0.000634144+0.00342036j 0.00182888-0.00159242j 0.0028204-0.00223827j 0.00229007+0.00090513j 0.00136842-0.000182037j 0.00175251-0.00232773j 0.00552004-0.00057183j 0.00412438+0.000718338j -0.00269894+0.00013764j 0.00162358+0.0046143j -0.000333197+0.00201126j 0.000568479+0.00485852j 0.00265495+0.000371284j 0.00310343+0.000250536j -0.00240265-0.00100535j -0.00362069-0.00383291j -0.00124455-0.0024761j -0.000362505+0.000148403j 0.000515071+0.00362587j 0.0012479-0.00168393j -0.00232253-0.00088567j 0.00175837+0.00239693j 0.00338851+0.00088915j 0.00106083+0.0015499j 0.000439926+0.00101148j 0.00338358+0.00287781j 6.70844e-06+0.00118426j 0.00135561+0.00488837j 0.000208705+0.00224782j -0.00104998+0.00257754j 0.000188016+0.00509682j -0.00161644-0.000799097j -1.4875e-05+0.000568418j 0.000737623-0.00206955j -0.00209415-0.00277715j 0.00508212-0.0052232j -0.00656125+0.00114379j -0.000867293-0.00123499j 0.00422724-0.00108261j -0.00109069+0.00158701j -0.00275319+0.000201117j -0.000514209+0.00118041j 0.00223854-0.00499333j 0.000876419-0.00101702j -0.00255343+0.00148421j 0.000108571+0.000900512j 0.000657329-0.00113167j -0.000576409+0.000559672j -0.0052807-0.00438382j -0.000121236-0.000633352j 0.00214222-0.0047157j 0.00580201+0.00109697j 0.00263731+0.0110862j -0.0107458+0.00279415j 0.0039046-0.00147668j -0.00200446+0.00460409j 0.00471168+0.00695149j 0.00748282-0.00516252j -0.000611677+0.0149213j 0.012803+0.00153973j 
-0.024384-0.00407603j -0.00401466+0.0249777j -0.0087025-0.000983201j 0.000525291+0.00468644j -0.000168372-0.00496158j -0.00566596-0.00672596j 0.0101295-0.00134789j -0.00442114+0.0103129j 0.00464805+0.00405923j -0.00178879-0.0036308j 0.00505909-0.00545227j 0.00741942+0.000718765j -0.00040705+0.00338384j 0.00145557-0.00122869j 0.0032709-0.00425932j 0.00336471+0.00107745j 0.00474642-0.00205894j 0.000663466-0.00120701j 0.0106684-0.00086668j 0.00213983+0.00157029j -0.00236175-0.00229395j 0.00108906+0.0115319j 0.000994986+0.00285981j 0.00192689+0.00574609j -0.000338806+0.00166394j 0.00328445+0.000640522j -0.00804392-0.00128659j -0.00318859-0.00229857j -0.000778227-0.00162367j 0.00188835+0.00148789j 0.00389995+0.00410052j 0.00339313+0.0022578j -0.00566534+0.00168042j 0.00222891+0.0054861j 0.00462798+0.00226101j 0.00445308+0.00131637j -3.81232e-05+0.00286616j 0.00454466+0.000878463j 0.00226977-0.00260369j -0.000848098+0.0024091j 0.00215503-0.000762826j 0.00169812+0.0037983j 0.00102131+0.00830215j -0.00353887-0.000901207j -0.000491386+0.0026502j 0.00197458-0.00261958j -0.000820308-0.00416483j 0.00662265-0.00709785j -0.00515811+0.00197826j -0.00139275+0.000239453j 0.00491544-0.00108451j 0.00267938+0.000758026j -0.0090106+0.000820426j -0.00562331-0.00117185j 0.00430592-0.00751554j -0.00248064-0.000930982j -0.00453603+0.00247424j -0.00319139-0.00481996j -5.69711e-05-0.000904394j -0.000548721+0.00253074j -0.00586053-0.00606468j -0.00204439-0.00715163j 0.00415874-0.0105621j 0.0035456-0.000136599j 0.0038628+0.0120642j -0.0133569+0.00120067j 0.000460632-0.00486791j -0.0032964+0.003029j -0.00720529+0.00349976j 0.00399837+0.0106457j 0.00256395+0.0298303j 0.0292257-0.00476637j 
-0.00344915-0.00502274j -0.00636657+0.00319134j 0.00189512-3.51205e-05j -0.0013433-0.00560209j -0.0022919+0.001256j -0.00255966-0.000866476j -0.00121009+0.000656923j 0.00161673+0.000897976j 0.000673414+0.00195659j -0.000818426+0.00051775j -0.000394276+0.00230029j 0.000501433-0.00172315j 0.0011754-0.00114957j 0.00243765-9.39283e-05j -0.00276688-0.00044518j -0.000323714+6.01589e-05j -0.00121539-0.000719049j 0.00153207+0.000101608j -0.00107293-0.00120761j 0.000201187+0.00137833j 0.000897593+0.00156234j 0.00213496+9.46094e-05j 0.000793773-0.00101636j 0.00162143-0.000427188j 0.00210909-0.00191966j -0.000113638-0.0020999j 0.000738621+0.00097723j -0.0014526+0.000184247j 0.000835869+0.000451465j -0.000382638-0.00197161j -0.000785809-0.000940197j -0.000707171-0.00190979j -0.00180792+0.000359426j -0.00275125-0.00198373j -0.000328593+0.00212073j -0.0022366+0.00136502j 0.0029744+0.00122644j -0.0023816+0.00110448j -0.00161126-0.00150997j -0.00113926+0.00167105j -0.000384379-0.000123467j -0.00351193-0.00109669j -0.00274667-0.00136744j 0.000618752+0.000376689j -0.00174865-0.000172841j 0.00185091+0.000148668j -0.00192806-0.00192621j -0.00167439-0.00205685j 4.72757e-05+0.00146752j -0.00285863-0.00413816j -0.000997348+0.000676456j 0.0029713+0.00462036j -0.00157482+0.000890219j 0.00239484+0.00335713j -0.000388469+0.00166169j 1.9224e-06-0.00469504j 0.00049045-0.00295399j -0.00108573-0.00340492j 0.00329075-0.00366312j 0.00186061-0.00472177j -4.6554e-05-0.000308583j 0.00287845-0.00591844j -0.000517743-0.00659778j 0.00214199-0.00105536j 0.00210566-0.00264201j -0.00044876+0.0012383j 0.00507921+0.0025687j 0.0028513-2.96607e-05j -0.00230733-0.00350325j -0.00343787+0.0119928j 0.00366619-0.00406716j -0.00490703-0.00353545j 
0.00301969-0.00509047j -0.00454733-0.00340306j 0.00376955+0.00171839j 0.000507628-0.00414629j -0.00361559-0.000400155j 0.000435843+0.00166061j 0.00471439-0.00201865j -0.00133188+0.00126471j 0.00173938+0.00128213j 0.00217876-0.00236772j -0.000690108-0.00199584j 0.000902717+0.00083965j 0.000785554-0.000293987j 0.00056123+0.00293453j 0.0019892-0.00213651j -0.00102427-0.00106514j 0.00144042+0.00118667j -0.000233276+0.000157423j 0.000813091-0.00146253j 0.00115653-0.00417801j 1.54995e-05+0.000673244j 0.00102577+0.00192307j -0.000401197-0.000480652j 0.000646668+0.00225385j 0.00252864-0.000957234j 0.00134916+5.26667e-05j -0.000185944+0.00068483j -0.00315614+0.0012793j 3.50979e-05-0.000894775j -0.000353976+0.00156507j 0.00236593+0.000737306j -0.000619345-0.00265092j -0.000177092+0.00105619j 0.000178006-8.36323e-05j -0.00128269-0.00325399j 0.000728021-0.00214647j -0.000599697+0.00298031j 0.000920251+0.00130333j -0.00115589+0.000127946j -0.000666463-0.00361297j -0.00118789+0.00241386j -0.000935627-0.00238048j 0.00204357-0.00250467j -0.000129296-0.00207299j -0.00157014+0.000593196j 0.00159193-0.0013612j -0.00372279+0.00300322j 0.000629866+0.00294176j -0.000818285-0.00522696j 0.00329142-0.00114729j -0.00109438+0.0042545j 0.00043968-0.00436241j -0.000189837-0.00568619j 0.000981994-0.00359849j -0.00305743-0.00453175j -0.00385427-0.00227752j 0.00228463-0.0024308j -0.000454896+0.000963554j 0.00157921+0.00112048j 0.00237107+0.00430188j 0.00201632+0.00118522j -0.000898956-0.000300955j 0.00297029+0.00430873j -0.00232087+0.00353314j -0.00557656+0.00924186j -0.00450056+0.000303068j 0.00466998-0.00266003j -0.00853298+0.00523763j -0.00167373+0.00195037j 0.00166733-0.00707408j 0.00850062-0.00415003j -0.00367419-0.00787456j 
0.00114574-0.00173039j -0.00180594-0.000884153j -0.00282682-0.00418882j -0.00288671+0.00753783j 0.00174951+0.00024855j 0.000596827+0.00153888j -0.00353877-0.00403409j -0.00143667+0.002566j 0.00142157-0.00161261j -0.00264787-0.00332035j -0.00167808+0.000493314j 0.00525998-0.000501235j -0.000675004-0.000379057j -0.000270262+0.000210674j 0.000637152-0.00167569j 0.00111959+0.00152142j 0.00192832-0.000841563j -0.000528674+0.00030856j 0.00100344+0.00204912j -0.0044015+0.000277712j -0.00101881-0.00203189j 0.000518583+0.00263753j 0.000670117+0.000947227j 0.000555739-0.000435177j -0.00260823+0.00163739j 0.00221797+0.000888733j -0.00231498-0.00050309j 0.00254412+0.0024608j -0.000579482-0.00020105j 0.00274029+0.00237355j 0.00250174-0.00205985j 0.000309765+0.00497779j -0.00143145+0.00233361j 0.000929509+0.00117149j -0.000933716+0.00113452j 0.00275792-0.00469907j -0.00119374+0.00268076j 0.00101005-0.00228278j 0.00301324-0.00307332j -0.0018462-0.00146911j 0.000113359-0.00469536j 0.00414307-5.88593e-05j 0.00204554+0.00128739j -0.00111113+0.0038466j 0.000115924+0.00302464j -0.000120027+0.000222234j 0.00375476+0.000547632j 0.00153479+0.000227933j -0.00118618-0.00167844j -0.000375414-0.00105549j 0.00102395+0.000746768j -0.00322728-0.00141123j -0.0034155+0.0001011j -0.00635294-0.00275533j 0.00114823+0.00340752j -0.00216614+0.00628364j -0.000203285-0.00160559j 0.000951587-0.00103083j -0.00136123+0.00341832j 0.000334341+0.0028088j 0.00550083-0.00115942j -0.00538205+0.00135856j 0.00147678+0.00286752j 0.000507358-0.000170658j 0.00231913+0.00165548j -0.00108462+0.00132605j -0.00510299-0.0046357j 0.00214108+0.011312j -0.00893834-0.00488759j -0.0100183-0.00385239j 0.000526964+0.00601139j 0.00815634-0.000707401j 
0.02522+0.0035524j 0.00433742-0.0251219j 0.00940709+0.000724912j -0.00322508-0.0047888j -0.0022285+0.00600701j 0.0040516+0.0110571j -0.0119449+0.000912151j 0.0065681-0.011627j -0.00630741-0.00431879j 0.00222428+0.00345821j -0.00419915+0.00743192j -0.00489852-0.00338291j 0.00118885-0.00290733j -0.00228818+0.00127621j -0.00337831+0.00695714j -0.000896664+0.000622211j -0.00547658+0.00323479j -0.00149747-0.000227609j -0.0140613-0.000849897j -0.00214358-0.00110132j 0.00163915+0.00184564j -2.95746e-05-0.0132175j 0.000147361-0.00384502j 0.00038827-0.00733183j -0.00144516+0.000445627j -0.00325611+0.000359516j 0.00729602+0.00195556j 0.00281843+0.00294929j 0.000347933+0.000835799j -0.000611685-0.00150454j -0.00296964-0.00493798j -0.00428662-0.000392195j 0.00661723-0.000119382j -0.00163606-0.00408399j -0.00530773-0.00289176j -0.0057705-0.00220719j -0.00269768-0.00384731j -0.00490918-0.00423217j -0.000305334-6.00216e-05j 0.0015356-0.00457515j -0.0031455-0.00232207j -0.000807443-0.00846283j 0.000115881-0.0100481j 0.00510231+0.00154533j 0.00131273-0.00464733j -0.00133278+0.000679388j 0.000725305+0.00223271j -0.00941703+0.00806485j 0.0100574-0.0021601j 0.00240061+0.000856168j -0.00992433+0.00270834j 0.000889566-0.000316036j 0.0112752-0.00109224j 0.00706996+0.00350899j -0.00596929+0.00458092j 0.00391244+0.00076749j 0.00484724-0.00262616j -0.000289015+0.003643j 0.000604915+0.00162596j -0.000829653-0.000371949j 0.00544374+0.00495097j -0.00330591+0.00586276j -0.00690067+0.00997074j -0.00656966-0.00380212j -0.00659573-0.0150813j 0.00822346-0.00142684j -0.0078098+0.00438442j -0.0109061-0.00860943j -0.00283994-0.014911j 2.13757e-05+0.00176892j -0.00391054-0.0206824j -0.021532+0.00422432j 
-0.0298774-0.00452969j -0.00492591+0.0298033j -0.0100531-0.00380137j -0.00333469+0.00541838j -0.00134656-0.00493244j -0.0056535-0.00664145j 0.0107623-0.00193294j -0.00472731+0.0129426j 0.00749116+0.00510161j -0.00106408-0.00573085j 0.00710468-0.00733215j 0.00761245+0.000566478j -0.00155197+0.00314686j 0.00231054-0.00269767j 0.00388008-0.00597878j 0.0033256+0.00161751j 0.00596144-0.00165389j 0.00274727-0.00110467j 0.0109725+0.00163897j 0.00306302+0.00276039j -0.00329282-0.00261867j 0.00321744+0.0116713j 0.000228979+0.00429941j 0.00156985+0.00567256j 0.00333893+0.000845037j 0.00514473-0.000931858j -0.00786874-0.00253975j -0.00428659-0.0028995j 0.000158665-0.00285022j 0.0025425+0.00185048j 0.00380353+0.00277598j 0.00311038+0.00356349j -0.00757849+0.0031502j 0.00230739+0.00579151j 0.0078208+0.0037764j 0.00399724-0.00095269j 0.00220057+0.00378643j 0.00459935+0.00314533j 0.00118925-0.00235857j 0.00142541+0.00498158j -0.000175464-0.00238832j 0.000218514+0.00623948j 0.000716343+0.0104641j -0.00332391+0.00134797j -0.00264031+0.00718146j 0.000641425-0.00149673j -0.000972237-0.004137j 0.00758518-0.00990359j -0.00893323+0.00142444j -0.00345576-0.00230234j 0.00325231-0.00184019j 0.00252125+0.00429687j -0.0094543+0.000764527j -0.00504036-0.000439667j 0.0078902-0.00549327j -0.00482136+0.00333721j -0.00264787-0.00203497j 0.00115084-0.00355312j 0.00267785-0.00108751j -0.00124465+0.00184507j -0.003197-0.00874843j -0.00717832-0.00550304j 0.00284629-0.00722937j 0.0109664-0.000605055j 0.00518097+0.0139178j -0.0141377+0.00131528j 0.00808931-0.00539885j -0.00315461+0.0149219j -0.0043073-0.000758984j 0.00275987-0.000800871j 0.00493475+0.0344103j 0.0326409-0.00400838j 
0.00674977-0.00165083j -0.0011124-0.00714425j -0.0037489+0.00303561j 0.00142072+0.00763787j 0.0071673+0.000854394j -0.000446999-0.000993945j 4.59481e-06-0.00177405j -0.000632061-0.00586443j -0.000585973+0.000560442j -0.00139417+0.00230277j -0.00670733-0.000420877j 0.00156577+0.00224534j -0.000127842-0.00152379j -0.00217199+0.0019464j 0.00142329-0.00218556j -0.00268099-0.00485836j -0.0028557+0.00117389j 0.00145452+0.00243298j 0.00430073+8.32751e-05j -4.92725e-05-0.0021974j 0.00134645-0.00181952j -0.00271018+0.00586583j 0.000511445-0.00042106j -0.00110112+0.000537387j -0.00248553+0.00219185j -0.000193838+0.000295471j 0.000705768-0.000327499j -0.000471188+0.00182669j 0.00102193+0.00227782j -0.00122453+0.00216147j -0.000227225+0.00131121j 0.00109439-0.00182045j -0.00305165-0.00121734j -0.00145134-0.000675747j 0.00202748-0.0014847j 0.00563798-0.000865058j 9.59075e-05+0.000193338j 0.0012323-0.00238997j 0.0018865-0.00250853j 7.80831e-05-0.00143126j 0.00438261-0.00050681j -0.00110638-0.000771087j 0.0012838+0.00112187j 0.000674015-0.00258187j -0.00520964+0.000698324j 0.000842471+0.000504526j -0.000510649+0.00233953j -0.00314193-0.00280931j 0.00601624-0.000110236j 0.00129168+0.000594967j -0.00450958-0.00157649j 0.00788257-0.00232754j -0.000724275+0.00165873j -0.00282135-0.00492358j -0.000197195+0.00516644j -0.000116299-0.00474234j 0.00281564+0.00150078j -0.00620654-0.00758834j -0.000880024+0.00385921j -0.00488337-0.00371677j 0.00222479+0.00374681j 0.00615977-0.00705749j 0.00225212-0.00120738j -0.00382802-0.00191588j -0.00160639-0.00143707j -0.00484458+0.00492674j -0.00664631-0.00573278j 0.00424701-0.0029609j -0.0139446+0.00702021j 0.0111747+0.0103556j 0.00137458-0.00667142j -0.00734592-0.00051143j 
-0.0467173-0.0125783j -0.013355+0.046167j -0.00976673-0.000664278j 0.00129074+0.0108636j 0.00257281-0.0120722j -0.0094055-0.0118866j 0.0161761-0.00363888j -0.0160079+0.0163779j 0.0156885+0.00753326j -0.00471388-0.00654243j 0.00509023-0.0154118j 0.0111448+0.00636333j -0.00112243+0.00452315j -0.00231142-0.0020037j 0.00709116-0.00927433j 0.00236919-5.82227e-05j 0.00800146-0.00242004j 0.0034634+0.00201899j 0.0206124+0.000470666j 0.00359946+0.00299518j -0.00563318-0.000824155j -0.00123597+0.0176558j 0.000395569+0.00676585j 0.00467815+0.0144076j -0.00347217+0.00696179j 0.0061356-0.00339263j -0.0198703-0.00411866j -0.00966223-0.00590356j 0.000827489-0.00273229j 0.00285487+0.00155312j 0.00777028+0.011376j 0.00747203+0.00893933j -0.0129273+0.00474976j 0.000413411+0.00873403j 0.0153098+0.0058867j 0.0102818+0.00486668j 0.00165069+0.00903331j 0.0112127+0.00171311j 0.0087186-0.00501522j -0.00267516+0.00924711j 0.00324542+0.000391204j 0.00561685+0.0104828j 0.000415118+0.0192665j -0.00371834-0.00210908j -0.00447414+0.00760174j 0.00171723-0.00272106j 0.00228875-0.00141223j 0.0159256-0.0201085j -0.00393682+0.00577798j -0.00537378-0.000100765j 0.00723342-0.00625946j 0.00569991+0.00503357j -0.0199937-0.0015057j -0.0100607-0.00101251j 0.00869943-0.010928j 0.00376625-0.00325195j -0.0024392+0.00136624j -0.00447832-0.0153318j 0.000446928-0.00427995j -0.00386257+0.00514818j -0.0104383-0.00747192j -0.000195395-0.0177627j 0.00576011-0.0117165j 0.0129314-0.00155074j 0.0111091+0.0238478j -0.0194902+0.00222201j 0.0060946+0.000592186j -0.00902622+0.0169527j -0.00761547+0.0126466j 0.0201753-0.0053083j 0.0119595+0.0487426j 0.0475413-0.0105045j 
