0.000706874+0.0226836j -0.022566+0.000405898j 0.0091921+0.00971498j 0.00991693-0.0107765j -0.00305721-0.00575181j -0.00578703-0.00105984j 0.00105256-0.00216788j 0.000964964+0.00187304j -0.000316851-0.00239087j -0.000341996-0.00425681j -0.00157639-0.00753998j -0.00115103-0.000232534j 0.0109804-0.00295298j -0.00370192+0.00207091j 0.00282399-0.00200177j 0.00283041-0.00104206j 0.00503137+0.00183305j -0.000311641-0.00456723j 0.00589353-0.000994674j 0.00507364+0.00308414j -0.00210273-0.000861772j 0.00212536-0.00189961j -0.00122633-0.0010571j -0.0049676-0.00470295j -0.000734692-0.000841214j 0.00361365+0.00400405j 0.00238862+0.00392495j -0.000374413+0.00307935j 0.00317456+0.00358118j 0.00302976-0.00139899j 0.00308397+0.000132861j 0.00138843+0.00305717j -0.00147262-0.00351957j 0.000873296+0.00282665j 0.00314716-0.0075277j 0.00609785-0.00679954j 0.00197379-0.000222654j -0.00417918+0.00333461j -0.000961249-0.00658657j -0.000842701+9.58393e-05j 0.0024618-0.00311666j 0.0055847+0.00383636j -0.00414747-0.00159529j 0.00341947-0.00103061j -0.00261584+0.00336689j 0.00132064-0.000468332j -0.00574503-0.00056272j 0.00438094+0.00207976j 5.27722e-05-0.00135934j 0.00124921+0.00572092j -0.00713941+0.00111098j -0.00124458+0.0061945j 0.000349683+0.00244111j -0.00487007+0.00375912j -0.000514802-0.00434967j -0.00225433-0.00528225j -0.00186848+0.00387394j -0.00405722+0.00259174j 0.00637921+0.00259184j 0.00429929+0.0007128j -0.00320655-0.00148226j 0.00539862-0.0010291j 0.00073968-0.00480576j -0.00235665-0.00109623j 0.00132588-0.00517118j 0.00250949+0.00261851j 0.00609893+0.00727738j 0.00423832+0.000638941j 0.000269353+0.00602016j -0.00354841+0.00385607j -0.000547319+0.00473275j -0.00525726+0.00323377j -0.000508735-0.00154412j -0.0162358+0.00367934j -0.00172573-0.0149982j 0.0193041+0.0128026j 0.0127738-0.0190504j 
0.00826666+0.00846539j -0.00828191+0.00825594j -0.00805234+0.00590793j 0.00634544+0.0070753j 0.00211304+0.00260759j 0.00554392-0.00441707j 0.00375092+0.00282937j 0.00295458+0.00358991j 0.00172574-0.00690787j -0.000321987-0.000148112j 0.00508059-0.00397452j -0.000398879+0.000294936j -0.00122931+0.00398841j -0.00280543+0.00208207j 0.000197346+0.00206552j 0.0035293+0.00290273j -0.00138559-0.000373928j 0.00144749+0.00200659j 0.0049303-0.0020017j 0.000342474+0.000560453j -0.000908172-0.00100607j 7.27768e-05-0.00428379j -0.00180497+0.00312446j -0.00289973-0.000325236j 0.000386693-0.00192557j 0.00344423+0.00175475j 0.0033211-0.000844469j -0.0032941+0.00256738j 0.000231821-0.000112258j 0.006272-0.000585917j 0.00292796+0.000712107j 0.00131327+0.00348066j -0.00205854-0.00393677j 0.00226432-0.000521723j 0.00291649-0.00141709j -0.00020228-0.00673658j 0.000772376+0.00148596j 0.00265573-0.000543118j -0.000661538-0.00444187j 0.0010139+0.00107281j 0.000715465-0.0016673j 0.00338977+0.00341739j -0.00174971-0.00134339j -0.000321988-0.00133383j -0.000210008+0.00128114j 0.000669026-0.000804864j -0.000801187-0.00125619j 0.00355646+0.00156252j 0.000971661-0.00390478j 0.00270294+0.00121148j 0.000554622+0.00346718j 0.00154096-0.00151366j -0.00151821-0.00155856j -0.000591856+0.00205495j -0.00248118+0.000504257j -0.000741473+0.00144319j 0.000589982+0.000812541j -0.00515158+0.000265457j 0.000177901+0.0025745j -0.000704622+0.000268214j -0.000970252+0.003928j 0.00152722+0.00186247j -0.000165998+0.00104142j -0.00244705-0.00383605j 0.0062746+0.00216069j 0.00126641+0.00124633j -0.00375189+0.00224816j -0.00386609+0.00562235j -0.0019678+0.00299396j -0.00509215-0.00296305j -0.00272983-0.00530266j 0.00334478-0.00268979j 0.00139547-0.00490586j -0.0062905-0.00944333j 0.00876078-0.00343249j 0.0180293-0.00242773j -0.00266318-0.0180713j 
-0.00913677+0.00260441j -0.00279947-0.0092025j 0.013184-0.00249242j -0.00312427-0.0119027j 9.80573e-06-0.00290105j -0.00653416-0.000234761j -0.000278569-0.00462793j 0.000950814-0.0031492j -0.00393846+0.00136216j -0.00114991-0.00152185j -0.0050348-0.00221595j -0.000968736-0.00163788j 0.00782054-0.00528773j -0.00100989-0.000974141j 0.000755508-0.00328631j -0.000852929-0.00240932j 0.00308997+0.00375144j 0.000256428-0.00280552j -0.00267293+0.00189294j 0.00332891+0.00127036j 0.00117437-0.000425131j 0.00411347+0.00400579j -2.72781e-05-0.00591433j 0.000486256-0.00067417j -0.00101171+0.00211728j -0.00221675-0.00131724j -0.00220581+0.00368575j 0.00076732-0.00111638j 0.000624244+0.00515275j -0.00311092-7.28548e-05j -0.00158637-0.00114294j -0.00115279-0.00215658j 0.00341913+0.00155665j -0.000958891+0.00262446j -0.0016848-0.00407068j 0.00276845+0.00484351j 0.00198501+0.000391259j -0.00752998+0.00205405j 0.00217935-4.04218e-05j -0.0027412-0.0013559j -0.000525026+0.000884311j -0.0017752+0.00133854j -0.00246334+0.00220518j 0.00175295+0.00189344j -0.00253488+0.00128751j -0.000341229+0.00234503j -0.00291643+0.000992805j -6.54133e-05+0.00054041j -0.00088239+0.00339279j -0.000972981+0.00215844j -0.004234-0.00331422j -0.00217028+0.00454275j 0.000218223+0.00311061j -0.00209443-0.000733202j 0.00385307-0.00413739j 0.0021137-0.00304592j -0.00207698+0.00121245j 0.00303914-0.000526939j 0.00532375+0.000472473j 0.00258813-0.00328547j 0.0025711-0.00333909j 0.00258375-0.00238215j -0.000577013-0.00353435j 0.00106482+0.0019156j -0.00335223-0.00636763j 3.47475e-05-0.00183347j 0.00790553+0.000719397j 0.00210803-0.00274991j 0.00474846+0.00205132j 0.00296266+0.00475491j 0.000855683+0.0103534j -0.00573935+0.00093455j -0.00780905+0.00283808j 0.00525248+0.0167539j -0.0140212+0.004167j -0.00951316+0.00757553j 0.00799769+0.00990858j 
-0.00262794-0.0449151j 0.0447317-0.00217893j -0.00862566-0.0208024j -0.0217167+0.0109976j 0.0025038+0.00826984j 0.00521064+0.0059748j -0.00739422+0.0013074j -0.00338308-0.00912972j -0.00243466+0.00949624j -0.00189553+0.0082355j -0.00302863+0.0170495j -0.00083182+0.00225663j -0.0211989+0.00091003j 0.00957378-0.00399117j -0.00597895-0.000408434j -0.00787175-0.00188967j -0.0100672-0.00594943j -0.00258679+0.00756376j -0.0145802+0.00338408j -0.010618-0.0102729j 0.00405582+0.00443948j -0.00696093+0.00633299j 0.00526221+0.00109965j 0.00996225+0.0120715j 9.03685e-06+0.00283887j -0.00639573-0.0086631j -0.00717436-0.0107872j 0.00600715-0.00841791j -0.00545211-0.0101555j -0.0122712+0.00388367j -0.010577+0.00096509j -0.00418367-0.00803291j 0.00371779+0.010039j -0.00432974-0.00489334j -0.00950592+0.0156396j -0.0145816+0.0168821j -0.00713845-0.000525079j 0.00754384-0.00534191j 0.000882243+0.0182201j 0.00146904-0.0035552j -0.00427282+0.00528322j -0.015055-0.0151712j 0.00930027+0.00211201j -0.00811368+0.00030843j 0.00576921-0.00737495j -0.00129729+0.00117277j 0.0109298+0.00204664j -0.0133533-0.00559023j -0.00406922+0.00427717j -0.00822848-0.0115435j 0.0127277-0.00843446j 0.00167966-0.0126637j -0.000750577-0.00565124j 0.00833037-0.0112892j 0.00186708+0.00793988j 0.00114004+0.00926124j 0.00522177-0.00637019j 0.00806256-0.00692787j -0.0157755-0.00644481j -0.00622654-0.000748492j 0.00741201-0.00272825j -0.0118704+0.0031926j -0.000361523+0.00780195j 0.00737994+0.00539926j -0.0115278+0.00831739j -0.00874535-0.00127021j -0.0103997-0.0156088j -0.00492877-0.00389595j -0.00271254-0.0142502j 0.00514807-0.010258j 0.00765211-0.00949539j 0.00699376-0.00423743j -0.00381964+0.0120207j 0.027188-0.00791068j 0.00731654+0.0211161j -0.041881-0.0167027j -0.0164251+0.0412701j 
-0.00133052+0.00247439j -0.00255532-0.00120212j -0.00173018-0.00325089j -0.00180117+0.00240458j 0.00127755-0.000182456j 0.0014418-0.00215519j 0.00439951+0.000175218j 0.000504656+0.00328953j 0.00104371-0.00423273j 0.00100658-0.000812528j 0.000918933-0.00296972j 0.0017828-0.000290533j 0.00242922+0.000554064j -0.00469061+0.000713336j -0.00165088+0.00144045j 0.00252716+0.0028135j 0.00298018+0.00392768j 0.00194284+0.000802789j 0.00266648-0.00126814j -2.89461e-06+0.00274115j 0.000748797-0.000992148j 0.00413101+0.0007009j -0.00303495-0.00307918j -0.00230134-0.00298623j 0.000998293-0.00145132j -2.62991e-05+0.000392192j 0.000483359+0.00454176j -0.00694356+0.00200762j 0.000158894+0.00285572j 0.0059384-0.0015617j -0.00120096-0.003251j 0.000149038-0.000439385j 0.00139932-0.00132716j 0.00129343-0.00164642j 0.0010086-0.00227439j -0.000183835-0.00539437j 0.00187299-0.00133008j -0.00282898-0.00218684j -0.000309084-0.00493352j 0.00143166+0.0042928j -4.14907e-05+0.0015318j 0.00390867+0.00316384j -0.00162953+0.00381419j 0.00298862+0.00114262j -0.00283886-0.00153851j -0.00314718+0.000999004j -0.000588286+0.000991881j 0.00368057-0.00147748j 0.00253381-0.000287596j 0.00450996-0.00602406j 0.00544035+0.00269977j 0.00377884-0.00209652j 4.73094e-05-0.00308218j 0.00379103-0.00259107j 0.00115141-0.00436842j 0.00175304-0.000755767j -4.16318e-05+0.000466094j -0.000170338-0.00241999j -0.00100665+0.000770076j -0.00399808-0.000775083j 0.00527949+0.00280853j -0.00321647+0.00248349j 0.00059114-0.000853939j 0.00130586-0.00228737j 0.00152416-7.59188e-05j -0.0013733-0.00010158j -0.000937503-0.00300695j -0.00548119+0.00276857j -0.00296596+0.00344173j -0.00819925+0.00198811j -0.00355046-0.0049063j -0.00495354-0.00257585j 0.0103888+0.00625884j -0.00981393+0.00616404j -0.0118823-0.00958634j 0.00982677+0.000649646j 0.000129631-0.01087j 
0.0177142+0.00452882j -0.00440415+0.0176633j -0.0236927+0.0039551j 0.00256158+0.0240581j 0.0103066+0.0122442j 0.0195185-0.00853603j 0.00430298+0.013782j 0.00385037+0.00252119j 0.00200863-0.0154719j -0.00444787+0.00333309j 0.0121302-0.00252266j 0.00183508+0.00171215j -0.0108931+0.0122185j -0.0029852+0.00588192j -0.00234139+0.00914584j 0.0091003+0.00952588j -0.0130078-0.00570963j 0.00725781+0.00839531j 0.0117351-0.000509667j -0.00380946-0.00676131j -0.00509785+0.00182354j -0.00804844-0.00787884j 0.00157876+0.0082464j -0.00151707+0.00406378j 0.00323367-0.00612315j 0.00454707+0.00310946j 0.00899991-0.00689914j -0.00100559+0.00497363j 0.000167854-0.00423407j 0.00647767-0.00134204j 0.00290585+0.00191998j -0.000142479+0.00980264j -0.00292147-0.00580024j 0.00729097-0.00443821j 0.00588895+0.00548986j -0.0038025-0.00695551j -0.00196498+0.00132747j 0.0151992+0.000496619j 0.000268058-0.0023342j 0.00546628-0.00126248j -0.00112068-0.00114365j 0.0022907+0.00422984j 0.00122456-0.00837732j -0.00628651-0.00742919j 0.00571644+0.000244574j -0.000181372+0.0049011j 0.00296184-0.00536399j 0.00455932+0.00588122j 0.00277246-0.0127259j 0.00358946+0.00326738j 0.00191408+0.00694315j 0.00349656-0.00565935j -0.0026414-0.00309209j -0.00238652+0.00559371j -0.00650639+0.0110113j -0.00810243+0.00877076j 0.00294753-0.000334133j -0.0117105+0.00840318j 0.00237175+0.00368539j 0.00133512+0.00366431j 0.0012189+0.0126292j 0.00278851-0.000854683j 0.0026479+0.00392352j -0.00698725-0.00629814j 0.0194247+0.0115804j 0.00734003+0.00263025j -0.0127496+0.00373567j -0.00489137+0.0124894j -0.00246624+0.00392838j -0.00806102-0.00341674j -0.0117946-0.0118489j 0.00949945-0.0148963j -0.00642583-0.00139351j 0.0132946-0.0243415j 0.0257316+0.013258j 0.0135652-0.0143214j -0.0141637-0.0131747j 
-0.0154401-0.0307186j 0.0303498-0.0150698j 0.0146186-0.0239897j -0.0263404-0.0104893j 0.00356132+0.00821334j -0.00220301-0.00146363j 0.000228018-0.00790481j 0.00482764-0.00917279j -0.00864483+0.00313993j -0.00677354+0.00191107j -0.0111555+0.00776862j -0.00369426-0.0041782j -0.00146352-0.010415j 0.00377365-0.0052709j -0.0024446-0.00530121j -0.00802328-0.0036773j -0.0044398+0.00422298j -0.00176539+0.0025987j -0.0165552+0.00444071j -0.00046304-0.00303016j 0.00775934+0.00282632j 0.00598249+0.0137949j 0.00186819-0.0113695j 0.00913029+0.00904822j -0.00165417+0.00841622j -0.00939152-0.0108721j -0.00916675-0.000647267j 0.0025301-0.0095315j -0.00405651+0.00438047j -0.0131677+0.00254189j -0.0111088-0.00347853j -0.0027688-0.00796325j 0.0106206+0.0106075j -0.00528951-0.000803492j -0.0121855+0.00369906j -0.00839851+0.0218923j -0.00116202-0.00197988j -0.0112339+0.000180517j 0.00284638+0.0144561j -0.00366893-0.00292747j -0.00396303+0.00953593j -0.0148129-0.0104877j 0.00168724+0.00906715j -0.000468622+0.00595947j 0.000666775-0.00766013j -0.000965603+0.00465737j 0.00757698+0.00273634j -0.00981905-0.0049449j -0.000809708+0.00826421j -0.00435613-0.0121745j 0.00640713-0.0113576j 0.00257991-0.00498454j -0.00224212-0.00078379j 0.00791616-0.0133512j 0.00952825-0.00405117j 0.00740353+0.00411903j -0.000895008-0.00537586j 0.0134989-0.0125571j -0.00628574-0.00654764j -0.00131759-0.00985366j 0.0192515-0.0055279j -0.0080113+0.000134006j -0.00231498+0.000278581j 0.00919373+0.0065767j -0.0146527-0.00331994j -0.00784377-0.00640291j 0.00258451-0.0156171j -0.00887571-0.00928268j -0.00102972-1.92432e-05j -0.000190812-0.00318656j 0.00530524+0.00620679j -0.0122072-0.00408609j -0.005495+0.0247114j 0.0228823+0.0238764j -0.0253328+0.0145408j -0.0403073+0.00344591j 0.00384679+0.0394247j 
-0.0102085+0.0285207j -0.028632-0.0106234j 0.0211984+0.00441997j 0.00399676-0.0218178j -0.00184381-0.00716346j -0.0113207-0.010939j 0.0143822-0.00681162j 0.0048923+0.00708037j -0.00323599-0.00854876j -0.00508467-0.00488421j -0.00544239-0.00660942j 0.00538319-1.51221e-05j 0.0200684-0.00968871j -0.00783313+0.00605182j 0.00271917-0.00361371j 0.00471808+0.000567075j 0.00571586+0.0134383j 0.00204283-0.00660111j 0.00844179-0.00339768j 0.00951662+0.00947574j -0.00114504-0.00345141j 0.0110901+0.00134907j -0.00638576-0.00944332j -0.00466578-0.0088111j 9.73755e-05+0.000980719j -0.00226773+0.00182211j -0.000779147+0.0149136j -0.00686248+0.00463168j 0.00652396+0.0129502j 0.00601445-0.00452029j -0.00111966-0.00296389j 0.00192466+0.00191704j 0.00388557-0.00202365j -0.000488785+0.008395j 0.00547479-0.014414j 0.0107136-0.00722313j 0.00441339+0.00176911j -0.0176096+0.00468817j -0.000150521-0.00956269j -0.0034486-0.000933757j 0.00175431-0.00203304j 0.0119201+0.0118082j -0.00984718+0.00417271j 0.00885628+0.00064709j -0.00698147+0.00755138j 0.000459729+0.00874705j -0.00966243-0.000990407j 0.00914085+0.00571895j 5.57315e-05+0.00175924j 0.000549683+0.00978997j -0.0124913-0.00346852j -0.00559671+0.011024j 0.000147026+0.00547795j -0.00930739+0.00510044j 0.000830985-0.0118653j 0.00289675-0.00940128j -0.00482387+0.00205664j -0.00290702+0.000641933j 0.0175383+0.000792832j 0.00895436-0.00429343j 0.00554761-0.00660482j 0.012566-0.00582354j -0.00201664-0.0111829j -0.00355246-0.0070114j -0.00738174-0.0139235j 0.00703159-0.00106141j 0.0153764+0.000908897j -0.00182637-0.00157407j 0.00602363+0.0152019j -0.00234104+0.0111943j -0.00897877+0.0138515j -0.0115289-0.0112906j -0.0180177+0.00623472j -0.0128684+0.0220105j -0.0166247-0.0143831j 0.0209543+0.0168664j 0.0175353-0.0207613j 
-0.0157576-0.0039623j 0.00390877-0.0158338j 0.0215985-0.00334555j -0.00437811-0.0232405j -0.00844052-0.0045493j -0.0133595+0.00160631j 0.000322669-0.0124117j 0.00433227-0.00231818j -0.00621187+0.00847075j -0.000479973-0.00566731j -0.0106988-0.00484j -0.00470509-0.00503444j 0.0195654-0.013286j 0.0017018-0.00541243j 0.00477946-0.00988286j -0.00846193-0.00979829j 0.00853065+0.00831627j -0.00620373-0.00940629j -0.00944477+0.000455751j 0.00493978+0.00756837j 0.00606174-0.00309177j 0.00757916+0.00867082j 0.000772603-0.0118682j 0.00491635+0.0019279j -0.0011727+0.00808083j -0.00384013-0.00723472j -0.010587+0.00987416j 0.00190592-0.00649906j -0.00166102+0.00842969j -0.00694066+0.00334834j -0.00114383+0.00247437j 0.00393413-0.00380335j 0.00617973+0.00440261j -0.00677466+0.00660955j -0.00998331-0.00918824j 0.0033156+0.00928637j 0.00376496+0.0030584j -0.0210118+0.00108833j 0.0011116+0.00190121j -0.00860098+2.79989e-05j 0.000481155+0.00557774j -0.00634857-0.00185561j -0.00669801+0.0101339j 0.00506131+0.00743815j -0.00766522+0.000285025j 0.00272416-8.91713e-06j -0.00306018+0.000363199j -0.00303838+0.000111181j -0.0020054+0.0103801j -0.00301679+0.0014575j -0.00988975-0.00946384j -0.00427809+0.00834744j -0.000321027+0.0103227j -0.00293324-0.000923297j 0.00807231-0.00777509j 0.00742651-0.00447342j -0.00647012-0.000842175j 0.00970941-0.00624454j 0.00586195-0.000425497j 0.00652423-0.00664426j 0.00299483-0.00997674j 0.00550582-0.00336367j -0.00533691-0.00776878j 0.000773409+0.00626139j -0.0128153-0.0141601j -0.000867146-0.00112189j 0.0129556-0.000776021j 0.00843331-0.00652503j 0.00476923-0.00333947j 0.0127355-0.0022267j 0.0184966+0.0172776j -0.00831214+0.0149683j -0.0105101+0.00523449j 0.00603564+0.0280602j -0.0214721+0.00300144j -0.015102+0.01478j 0.0153669+0.0156425j 
-0.0118575+0.0448131j -0.0447847-0.0124909j 0.0190052+0.0199375j 0.0233402-0.0236458j -0.00994264-0.0232203j -0.021836-0.00043471j 0.00496785-0.0101725j 0.000346363+0.009519j 0.00466873-0.000516047j 0.0123372-0.0146701j -0.0058202-0.0238123j 0.00454469+0.0037794j 0.0375975-0.0054347j -0.0121501+7.76043e-05j 0.00727086-0.00639471j 0.00322052-0.00178686j 0.0255088+0.0131356j -0.00101699-0.0140034j 0.0155847-0.00456329j 0.0110621+0.0215093j 0.000301923-0.0091067j 0.0157151-0.00376026j -0.00708978-0.00953237j -0.0117941-0.0180513j 0.000331732-0.000300219j 0.00541171+0.0102582j -0.000809156+0.0234152j -0.0154522+0.00935277j 0.00433488+0.0158941j 0.0158502-0.00367009j 0.0102016+0.00273752j 0.00324477+0.00229534j -0.00121967-0.00689392j 0.00157937+0.0121225j 0.0128186-0.0269192j 0.019421-0.0209453j 0.0138135+0.00154809j -0.0207813+0.00680475j -0.00385466-0.02872j -0.0079007+0.0056978j 0.00628228-0.00464927j 0.017749+0.0210317j -0.0125337+0.00270007j 0.0143038+0.00740313j -0.0163076+0.0106643j 0.00213024-0.00310649j -0.018267-0.00246087j 0.0137678-0.000953769j 0.00297812+0.00549656j 0.00584688+0.0157516j -0.0205886+0.0040278j -0.00251151+0.0169382j 0.00240146+0.00903562j -0.0113427+0.00999471j -0.00253233-0.0170948j 0.00483411-0.0147382j -0.00487421+0.00980765j -0.00133841-0.000613938j 0.016095+0.00277545j 0.00602961-0.000117028j -0.0101793-0.00276547j 0.0121276-7.01381e-05j -0.000795949-0.00952734j -0.00633568-0.00454174j 0.00186565-0.0214646j -0.00174976-0.00255809j 0.0274508+0.0161741j 0.00815569-0.00200465j 0.0135018+0.00954736j -0.00349361+0.0135862j 0.00877055+0.0222988j -0.013465+0.0212227j -0.00514597-0.0148235j -0.0429711+0.0313348j -0.0243776-0.0329209j 0.0453138+0.0215053j 0.0216217-0.0444473j 
0.00886511+0.00401511j -0.00387837+0.00881513j -0.0133513-0.00253331j -0.0024306+0.0148246j 0.0133335+0.0123467j 0.0154435-0.0113654j 0.00537641+0.00692448j 0.0111785-0.00152856j -0.00045331-0.0226922j -0.0143312+0.0042966j 0.00681145+0.00290653j 0.001452+0.00849993j -0.0139202+0.00777501j -0.00798329+0.013454j -0.00585089+0.00575827j 0.0105202+0.0114723j -0.0160473-0.000394755j 0.00586271+0.0114213j 0.0101489+0.00348677j -0.000107275-0.0137965j -0.00183238+0.00639108j -0.00202756-0.00240739j -0.00288591+0.00490317j -0.00189604+0.00458632j 0.004405-0.00210695j 0.00243371+0.00114593j 0.00481896-0.00900221j -0.00310731+0.0049524j 0.00335688-0.000637537j 0.00535284-0.00116079j -0.00101998-0.00242582j -0.00756073+0.00843507j 0.00035062-0.00478243j 0.00873035-0.0037385j 0.0102386+0.000824736j -0.00683381-0.0021398j -0.00645108-0.00325923j 0.0102288+0.00314848j 0.000841566+0.00366234j 0.00519032+0.0013063j -0.0026141-0.00190236j 0.000670038+0.00472921j -0.00247201-0.00675827j -0.0051866-0.00921197j 0.0125766+0.000824053j 0.00379543+0.00247485j 0.00334481+0.000251065j -0.0017807+0.00476973j 0.00267365-0.00915064j 0.00876424+0.00395113j 0.0033772+0.00221587j 0.00366267-0.00711136j -0.00161812-0.0115589j 0.00577209+0.00248902j -0.00701427+0.00750932j -0.00172417+0.00531562j 0.00374527-0.00567568j -0.00907453+0.00197188j 0.00489088+0.00104575j 0.000159033-0.00515368j 0.00743954+0.0111851j 0.00119465-0.00422031j 0.000840286+0.00201754j -0.00178625-0.0117893j 0.010288+0.00283759j 0.0130026-0.00495262j -0.0123508+0.00171845j -0.0125822+0.00932218j -0.00321639+0.0177589j -0.0145255-0.00955538j -0.0203986-0.00553196j -0.00231145-0.0244011j -0.00699429-0.0052222j 0.00850134-0.0189589j 0.0157432+0.0136818j 0.00920184-0.00990234j -0.010469-0.00887352j 
