-0.000607141+0.00274265j -0.011607-0.00462832j -0.0102599-0.00480262j 0.00489575+0.0007175j 0.0101287+0.00718369j 0.00396726-0.00388662j 0.002813-0.00507063j -0.0060363-0.00484712j 0.00275785+0.00656792j -0.00123407-0.00506256j 0.0068417+0.00824299j -0.0088857-0.000681856j -0.00129684-0.00349413j -0.00519573-0.00251622j -0.00101502-0.00175065j 0.00236168+0.00168206j -0.00470565-0.00142445j -0.000778483-0.00387554j -0.00472021+0.000329833j 0.00205599+0.00142512j 0.00125025-0.000773278j 0.00780738+0.00600013j 0.0012596+0.000989622j -0.00181134-0.0052807j -0.00474526-0.00143264j 0.0103665+0.0111153j -0.00148646+0.00474501j -0.0036932-0.00268471j -0.00534381-0.00605354j -0.00801687-0.0105265j 0.00829899-0.0057592j 0.00231659+0.00851353j -0.0100404+0.000632201j 0.0122711+0.00605534j 0.015306+0.0091197j -0.0124346-0.0105207j -0.00214488+0.015869j 0.0214591+0.00658531j -0.013637-0.003534j 0.00575478+0.0156043j 0.0133674-0.00208052j 0.028725-0.0265723j -0.0102704-0.0184374j 0.0411747+0.0125774j -0.02471-0.0371163j -0.0516132+0.00898925j -0.0422098-0.0154598j 0.00788219-0.0140294j -0.0557952+0.0312294j -0.00907212+0.0412119j 0.06304+0.0449051j -0.0119776-0.00179567j 0.0489643+0.0192413j -0.00381379+0.0160881j -0.0325089-0.0173976j 0.0516419-0.0133338j -0.0043234+0.00189733j 0.00312418-0.0163483j -0.00142371+0.00300518j -0.0140861-0.00025284j 0.00255698+0.0223466j -0.00771197+0.0166423j -0.000957129-0.00678491j 0.0267526-0.00170116j 0.0020817+0.0181098j 0.0160022+0.00333382j -0.0010415-0.00397468j 0.0240251-0.00376041j 0.00683639-0.0084807j 0.0154171+0.010443j -0.00736091-0.00402819j 0.0198917+0.014245j -0.0154501+0.00327935j -0.00646926-0.00100818j -0.0145159-0.00596021j -0.00640818+0.00419842j 0.00437398+0.0197888j -0.0123782-0.00168374j -0.0212864+0.0121386j 0.0219351-0.0129512j -0.000990632+0.0106182j 0.00532242+0.0117138j -0.00657206-0.00696622j 0.00147733+0.00451084j -0.00598023+0.00712494j 0.0036524+0.00373493j -0.0167747+0.0103325j 0.0104863+0.0262729j -0.0129177-0.00492539j -0.00747385+0.0163133j 0.000471077+0.00553984j -0.00999587-0.0272317j 0.00298588-0.00605992j 0.00236773+0.00952834j 0.00203408-0.0338103j 0.0373398+0.00158561j -0.00247164+0.0453502j -0.0489827-0.00958741j 
0.0120722+0.00526741j -0.00138749+0.00303691j 0.00276312-6.95129e-06j 0.0107691+0.00721021j 0.00058924+0.00881826j 0.00476575+0.00653804j 0.00783443+0.0042849j 0.00409852-0.00261079j 0.00188916+0.002613j 0.00439432-0.00119462j -0.00738432+0.00228136j -0.00648328-0.00825444j -0.00116032-0.00412704j -0.000593752-0.00315074j 0.00739863+0.00147032j 0.0010015-0.000241346j 0.00146824-0.000160267j 0.00715193+0.00383084j 0.00616712-0.00301624j 0.0032983+0.00154755j 0.000987141-0.000191975j 0.00436267+0.00225491j 0.00636-0.00051139j 0.000509272-0.00230531j -0.00574142-0.00330212j 0.00142363+0.00179446j 0.00191429-0.000305577j 0.00475636-0.00157524j -0.00855884-0.0018748j 0.00218584-0.000925646j 0.00767288-0.000314078j -0.0069309-0.00264428j -0.000669287-0.0078004j -0.0233401-0.00853289j 0.00431674+0.00865292j -0.00391846+1.148e-05j -0.00991246-0.00880873j -0.0170387-0.0136486j -0.0199236-0.0208033j 0.0267877-0.0147909j 0.0170445-0.0291028j -0.00148176-0.00196538j -0.0239323-0.00454035j 0.0048202-0.00610443j 0.0692639-0.0141106j -0.00553137-0.0320151j -0.00528747-0.0262224j 0.0252669+0.0311202j -0.0305112-0.042569j -0.0920521-0.0136319j -0.0340128+0.0302766j 0.00597097+0.00174155j -0.00306956+0.0227829j -0.0289906+0.00319486j 0.0280977-0.0249535j 0.0295187+0.0330701j -0.020485-6.42564e-05j 0.0206112+0.0109076j -0.0130909-0.00374203j 0.000961899-0.0113876j -0.0374431-0.00260981j -0.0120612-0.011589j -0.00104224+0.017655j 0.00318565+0.0178116j -0.0187057+0.00206964j -0.00646307+0.00516408j 0.0120656+0.00850209j 0.00798885+0.0121729j 0.010133+0.00756687j -0.0120067+0.00275043j 0.0134725-0.00228984j -0.00743721+0.00924579j -0.00614172-0.00996724j 0.00962771-0.00574912j 0.00324905-0.00217067j -0.00761132+0.000641643j -0.036604+0.0102089j 0.00286082-0.0100019j -0.00272199-0.0166534j 0.00471245+0.00488336j -0.00438745+0.00535304j -0.0120617+0.0158287j -0.000924943-0.0152697j -0.0133922+0.000565479j -0.00838616-0.0158714j 0.00321317-0.000928512j 0.00880497+0.0159892j 0.017601-0.015729j -0.00807476+0.00849053j 0.0110547+0.020874j 0.00545293+0.0102238j -0.00871463+0.00416481j -0.0118885-0.0289649j -0.00681187-0.0117936j -0.0364434-0.0008263j -0.00227992-0.0429098j -0.0485613-0.00890262j 0.00317271-0.0434686j 
-0.00579558+0.000543037j -0.00238379-0.00419274j 0.00102929+0.000447832j -0.00264793-0.00505537j 0.00532088-0.00398395j 0.00435894-0.00127547j 0.00177505-0.00166361j -0.00651054-0.00126569j -0.0097844-0.0063994j 0.000756633+0.00142224j -0.0192652+0.000825405j 0.0094759+0.00299077j -0.0090932+0.00572236j -0.00812934-0.00384766j -0.00918001+0.00420102j 0.0304209+0.00819544j -0.0109094+0.00536745j -0.00722895-0.00310306j 0.000618071+0.0026701j 0.0240031+0.00380172j 0.0265187+0.00118467j 0.0038588+0.00123605j -0.0121885+0.000292717j 0.0123731-0.00326505j 0.00913436+0.00358064j 0.0136973-0.000485129j -0.018252+0.00223006j -0.00469244-0.00857004j -0.0163551+0.00165486j -0.0139596-0.00851237j 0.017848-0.00849586j -0.0198491+0.000732085j 0.026239+0.0102625j -0.0293896-0.000170932j -0.0149622-0.00504373j -0.0262257+0.00274407j 0.0305751+0.003776j -0.0021006-0.00728381j -0.0166022+0.00134485j -0.0374677+0.0161692j 0.00973156-0.0154523j -0.00534159-0.00214302j 0.00772428+0.0263366j 0.0171093+0.00508238j -0.0205114+0.0126731j 0.00557644+0.0101093j 0.013961+0.00478972j -0.0075308+0.0092122j -0.00600831+0.0129546j 0.0237906+0.00503983j 0.00154036-0.00534427j -0.0134491+0.00814997j -0.00849989+0.00285424j -0.00351122+0.020281j -0.0135215+0.00235397j -0.00643135-0.001398j 0.00380636-0.00440417j -0.00349264-0.0177431j 0.00922041-0.000827491j 0.00308105-0.0194559j 0.00619499+0.00405812j -0.00354439-0.00674008j 0.00325476+0.00537151j 0.00624567+0.0124063j -0.000760361-0.00193509j 0.0039054-0.00752724j -0.00620832+0.00648699j 0.00130468-0.00976401j -0.0101729+0.00360921j 0.00524333-0.0263829j -0.0111878+0.0110783j -0.00297552+0.0233626j 0.00423111+0.0100052j -0.00329918-0.00448329j -0.00169072+0.015738j 0.00216232-0.0282902j 0.00437739-0.00372477j 0.00320442+0.0114516j 0.00545088+0.0120375j -0.00130385+0.0255855j 0.00797742+0.0253882j 0.000846006+0.0186046j 0.00304444-0.00436354j 0.00557343+0.00855943j 0.0017995-0.0191176j 0.00832093+0.0108128j -0.000165672+0.0128717j -0.00248409-0.0102114j 0.00356855+0.0115328j -0.00412832-0.00940836j 0.0119504+0.0147663j -0.00204774+0.0089876j 0.00510044+0.00655543j 0.00171069+0.00626576j 0.00780085-0.0121288j -0.00166797+0.00829829j 0.012561+0.0049642j -0.00141702+0.0115468j 
-0.00643709-0.00446655j 0.00546859-0.00427048j 0.00479984+0.00254725j -0.00245549-0.00439165j 0.00252404-0.00853016j -0.000537606-0.000271164j -0.000642497-0.00129892j -0.00148385+0.00227603j -0.0195765-0.0118298j 0.0046413+0.00325569j -0.0119347-0.00610074j 0.00307228+0.00296867j 0.0050255+0.00882043j -0.00223289+0.00379317j -0.00565489+0.00319429j 0.00727012+0.00467365j -0.00681402+0.00196279j 0.00182054-0.00540281j -0.00830295-0.00400852j -0.00580981-0.00823262j 0.00504599+0.00310006j -0.00757341-0.0054256j -0.017799-0.000798737j 0.0183738+0.0162295j 0.00726668-0.00262001j -0.00850202-0.0142243j -0.016627-0.00736355j 0.00257035-0.00186963j -0.000862794+0.00526148j 0.00294038+0.00745557j 0.0139507+0.00716238j 0.0176974+0.000415367j -0.0152673+0.00727934j -0.0134697-0.00465384j 0.0183096-8.16123e-05j 0.0018484-0.00407287j -0.0134072-0.00395256j 0.0471927+0.000930644j -0.00897183-0.00948638j 0.0185287+0.00649867j -0.0186824+0.00368353j -0.00970391-0.0208268j 0.069327-0.0111312j -0.00666858-0.0639364j 0.0108504+0.00925814j 0.00877432-0.024475j 0.0120443-0.0259969j 0.0209928+0.0129462j -0.00458777+0.00860529j 0.0146493-0.0112085j -0.0234969-0.0102264j -0.00908765+0.0191169j -0.0156414-0.00151462j 0.00613956+0.0187963j -0.00030991+0.00899669j -0.01564+0.00905276j 0.00763691+1.47915e-05j -0.000278185+0.000424683j 0.00811445-0.00623309j 0.00278318+0.00168807j 0.00925745-0.00651225j -0.011718-0.0109164j 0.0157097-0.00310442j -0.00610706-0.000102048j 0.00347751-0.00393458j -0.00139057-0.00996624j 0.0135009-0.0159756j -0.00947258-0.0104987j 0.00595303-0.0125234j -0.016545+0.000789659j -0.000632972+2.20113e-05j -0.00749117+0.0117682j 0.00607181+0.00488321j -0.00266643+0.0138423j 0.0139638-0.00957731j 0.000644466-0.00190591j 0.0050912+0.010192j 0.00644809-0.0192102j 0.000745562-0.00399135j 0.00518698-0.0198982j 0.00206717+0.000833653j -0.0110617+0.0280141j -0.000574837+0.00972768j -0.0035015+0.0158296j 0.00987062+0.0244647j -0.00316113+0.0156613j -0.00689662-0.00562687j 0.00280794+0.0135784j -0.00406331-0.0200459j 0.00242653+0.0106849j -0.0171721-0.000335137j -0.0185212-0.012958j 7.74711e-05-0.0193716j -0.0226411-0.0130134j -0.00836931-0.0136536j -0.0147996+0.0121756j -0.00129755-0.016104j 0.0130902+0.00618171j 
-0.00352806+0.00228188j -0.00431172-0.00342839j 0.00348791+0.0012559j 0.00327493-0.00590168j -0.00455897-0.00601136j 0.0132402-0.00109279j 0.00038651-0.00433585j 0.00407993-0.000375279j -0.0150783-0.00479161j 0.00777027+0.00530454j 0.0185206+0.00375854j 0.00371248+0.00269603j 0.00227603-0.00469205j 0.00494059-0.00413698j -0.000473947+0.00271454j -0.00868206-0.000482755j -0.00345118-0.00463553j -0.0283288-0.00100948j -0.0101497-0.00258697j 0.034485+0.0126107j 0.00819637+0.00146243j -0.00728149-0.00605637j 0.0151415-0.0144712j -0.000611647-0.0139j -0.0184709+0.00406388j -0.0152587-0.00290661j 0.0341451-0.00531083j 0.0128351+0.000962429j -0.00402958+0.00417702j 0.024928+0.00242214j -0.0274002-0.0100632j -0.0115597+0.0107828j 0.0166842+0.00756334j -0.00808353+0.00273139j 0.0359039-0.0105243j -0.0099142+0.00411401j -0.0240552-0.00118415j -0.00523608+0.00163694j 0.00205391-0.021083j -0.0212189-4.38948e-05j -0.0187693+0.0056604j 0.00917696-0.0310346j 0.0121617+0.000551716j 0.0105984-0.0181272j -0.0184935+0.000925012j -0.0112703+0.0111692j 0.0101543-0.00674246j -0.00325308+0.0155249j -0.0142496+0.010181j 0.0139036+0.00308852j 0.00394749+0.00313375j -0.01242-0.00268124j -0.00779425+0.011839j 0.000412102+0.0147157j -0.0124467-0.00858445j 0.00865485+0.00466084j 0.00717211+0.00973804j 0.0025237+0.00202586j -0.000459393-0.00324256j 0.0019815-0.00250999j 0.0154764-0.0139809j -0.00822045+0.00690565j 0.00547423+0.0100676j 0.0108919-0.0141615j 0.00946951-0.0160964j -0.0027851+0.0019677j -0.00404011+0.0332846j 0.000533397+0.0104175j 0.00285739-0.0257191j 0.00369917+0.00454257j -0.00241085+0.0233535j 0.00157181-0.0148581j -0.000203761-0.00384975j -0.00882597-0.0125171j 0.0119756+0.00382691j 0.00468055+0.0249117j 0.000632179-0.0161679j 0.00299249-0.00939051j 0.0115363-0.00529998j -0.0015698-0.0051744j 0.000591445+0.00759353j 0.00199621+0.0126579j -0.00249487+0.00675498j 0.00668557+0.0213939j -0.00152809+0.00780089j -0.00519688-0.0204666j -0.00734794-0.0204539j -0.00330765-0.00835473j -0.00715308-0.00637012j -0.00211795-0.00326817j -0.00286249-0.000709219j -0.014198-0.00670649j 0.00365523+0.00617664j -0.00641657+0.0116175j 0.000103215-0.0226977j 0.00163471+0.00619836j 0.0044054+0.00842526j -0.0115778-8.15482e-05j 
-0.00362656+0.00170598j -0.00252215-0.0037175j 0.00930958+0.00126569j 0.000330143-0.00912589j -0.0127081-0.00787838j 0.0143931+0.000880558j -0.00852762-0.00176435j 0.000433543+0.000119421j -0.0119797-0.00632577j 0.00217316+0.00549673j 0.0218551+0.00161724j -0.0220846+4.53701e-05j 0.0153373+0.00104674j 0.0157513+0.0015004j 0.0010008-0.00772543j -0.00610374+0.000764264j 0.0109933-0.00616538j 0.00485279+0.00547088j -0.00193164-0.0135963j -0.0134234-0.00284343j 0.00468586+0.00393628j -0.00687387-0.00293447j 0.0208198+0.00810694j -0.0176439-0.00298532j -0.00857812+0.0150902j 0.013073+0.0024344j 0.0105945-0.00638476j 0.0109172-0.000927543j 0.0398603+0.0147105j -0.0217787+0.00334709j -0.0063236+0.00101826j 0.00199942+0.00763295j -0.0196969+0.00527795j -0.0151869-0.00362958j -0.0365046+0.00620344j -0.00604852-0.00134567j -0.00696768+0.0137993j 0.030643-0.0232534j -0.0220878+0.00362833j -0.0346587+0.00532526j 0.0187325-0.0222385j 0.0132849-0.00699673j 0.0197139+0.00794931j 0.00180227-0.0110914j -0.00588231-0.00866543j -0.0146182+0.0116405j 0.0214177-0.00364488j -0.011399+0.0305878j -0.0155359-0.00605626j 0.0140314-0.00285568j -0.00945838-0.00507981j -0.0177825+0.00213303j -0.010167-0.00805698j -0.00957445+0.0132172j -0.00754901-0.0113666j 0.00152508-0.00589997j 0.0101597+0.00367897j -0.00212675+0.0213565j 0.00187367-0.00601966j -0.00481335+0.00765246j 0.00567764-0.00147622j -0.00876203+0.0216513j 0.00494226+0.00936057j -0.00456278-0.0037974j -0.00826568+0.0208967j 0.0149837-0.0143129j -0.0030723+0.00570911j 0.00442285-0.0252726j -0.00278132+0.0195391j -0.000852304+0.00522857j -0.00822034-0.015587j 0.00250294-0.016878j 0.000373574-0.0201988j -0.012365-0.00493328j 0.00187051-0.0191033j -0.000508865+0.00804378j -0.000765147-0.00452703j 0.00820659+0.000975731j 0.00261812+0.0141784j 0.00233062+0.0287474j 0.00222895-0.00882856j 0.000525039+0.0131063j 0.00872338+0.0107944j 0.000785122-0.0086187j 0.000608744-0.00478356j 0.00489327+0.00173921j -0.00388609-0.00336364j 0.00364731+0.0119248j 0.01186+0.0185405j 0.00152364+0.00205844j 0.00781002+0.0118151j -0.00871453-0.000459656j -0.000287528-0.00738333j -0.00131114+0.019747j 0.000269159-0.01846j -0.00306204-0.00114401j -0.00015499-0.000861669j -0.000751139+0.00214361j 
-0.00748993+0.0010907j -0.00111546-0.00611042j 0.0035-0.000277101j -0.00295084-0.0074615j -0.00845876-0.010243j 0.00838185-0.00461858j -0.000347031-0.00369217j 0.00340715+0.00332017j -0.00279486-0.00638829j 0.0103436+0.00914238j 0.0123587-0.00398686j 0.00271336+0.00790883j 0.00190938+0.00446561j -0.00463732-0.00520313j 0.0151675+0.00741424j -0.0251398-0.00217503j 0.0123483+0.00139749j -0.00149444+0.00480746j -0.00433939-0.00124395j -0.0184452-0.00707512j -0.00207893+0.00152399j -0.00548948+0.00308061j 0.026757+0.00445577j -0.0204256-0.00648794j 0.0188796-0.00451307j -0.00655215-0.0125926j -0.0144815-0.00889204j -0.0238069+0.00263427j -0.0369519-0.0120671j 0.0278804+0.00158142j 0.0237292-0.00958823j -0.0347685-0.000374428j 0.0198697-0.0141859j 0.0252493-0.0107288j 0.00517986+0.0070945j -0.0239796-0.00169582j 0.0242513+0.0168908j -0.00959289+0.00700203j -0.0326394+0.0115517j -0.000346838+0.00905177j 0.0145009+0.00653605j -0.0296151+0.0113661j 0.0212428+0.0116289j 0.0120202-0.0162554j 0.0017437+0.00622344j 0.000599007-0.000148947j 0.0142321-0.00700935j -0.00932973+0.0125908j 0.00576524+0.000207861j 0.0165379+0.00156317j 0.000444921-0.0145723j -0.010249-0.0142097j -0.0196613+0.00951266j 0.00308012+0.00170926j -0.00801984+0.0114803j -0.0130006+0.00133507j -0.000351566+0.00839782j -0.0126155+0.0114682j 0.00300418+0.0130332j -0.00236418+0.0177875j -0.0030012+0.0219419j -0.00711352+0.0157647j -0.00149255+0.00471729j -0.0121035-0.0072163j -0.0038579+0.0141057j -2.31629e-06+0.00667808j 0.00210875-0.00679653j -0.0122906+0.0320743j -0.00315846+0.00594837j 0.00621862+0.0127375j 0.00246073+0.0140949j 0.00418937+0.00112909j -0.00614389+0.0235475j 0.000909257-0.0117813j -0.0025162+0.00025535j 0.00299898-0.0155419j 0.00265509+0.0129208j 0.0049277-0.000635297j 0.00669429-0.00193048j 0.0114695+0.0166197j -0.00253862+0.00178379j -0.0114215-0.0158897j -0.00498884-0.02148j 0.00570821+0.00427513j -0.00399686-0.0252257j 0.00834477+0.00296941j 0.00105502+0.0133327j 0.00550229+0.00422943j 0.00772125-0.00355847j 0.00757143+0.0246283j -0.00166157+0.00894997j 0.00198633+0.0211963j 0.0018687-0.00483911j -0.00648217-0.00887326j 0.00443744-0.00736052j -0.00550595+0.00576374j 0.0111512-0.00216368j 0.00797589+0.0137841j 
0.00139174+0.00105335j -0.00108746+0.000516718j 0.00424907+0.001852j 0.00419072-0.000953836j -0.00596855+0.00196304j -0.00112192+0.00068467j -0.0106782-0.00169911j 0.00418165-0.00213671j -0.00332174+0.00147947j 0.00345009+0.000636759j 0.0152264+0.0024644j -0.0255447-0.00465978j 0.0251126+0.00228722j 0.00061794+0.000475517j 0.0160001-0.000418884j -0.0262698-0.00437823j -0.00960788-0.0112876j 0.0152066+0.000398671j 0.000773156-0.00925498j -0.0243462-0.00167572j -0.0357265-0.00438517j -0.00817595-0.012359j -0.0329317-0.0102423j -0.000745509+0.000946345j 0.0227219+0.00121848j 0.00584763-0.00498766j 0.00925805+0.00996128j -0.0224422-0.00352605j -0.0481013+0.00629331j -0.0327788-0.00438929j 0.021511+0.0030338j -0.0434721-0.000505732j 0.0457353+0.00922213j -0.00519891-0.00330821j -0.00872575+0.00580629j -0.00190391-0.00478513j 0.0135165-0.014845j -0.0217755+0.0161699j 0.008497-0.0120617j -0.0194657+0.0105945j -0.0130308-0.00387283j 0.0152916-0.0215047j -0.00358703+0.000766994j -0.00441576+0.00682318j 0.000391196-0.0110268j -0.0106016+0.00698487j -0.000546426-0.00610915j 0.00806105+0.00757519j -0.00566685-0.00436829j -0.00503716-0.00806628j -0.00615324-1.51725e-05j -0.0104191-0.000727691j -0.00361694-0.00373626j -0.0107989+0.0045734j -0.00506517-0.00567441j 0.00163016+0.00273067j -0.0118298+0.020339j 0.00636601+0.0143063j 0.00014889-0.0216435j -0.00960842+0.0279564j 0.000118095+0.0052007j 0.00405777-0.0123104j 0.0168426-0.0120495j 0.00692203-0.0352949j 0.00393971+0.0147235j -0.00250154+0.00774644j 0.00642159+0.00535011j -0.00136501-0.00159567j 0.00252357+0.00761995j 0.00925426+0.000744304j 0.00188769+0.00532017j 0.00227634+0.0117557j 0.00221883+0.0073361j 0.00230146+0.0335433j 0.00228157+0.0235255j -0.00248528-0.0394236j 0.000829471+0.00481421j -0.00197681+0.0202818j -0.00544403-0.0228724j 0.000989488+0.00290851j 0.00195574+0.0224583j -0.00263286-0.00476522j 0.00701257+0.00358741j 0.0128177+0.0272732j 0.00429597+0.00907961j 0.000818239+0.0116654j 0.00993913+0.00806021j -0.00433368+0.00339774j -0.0118298-0.0154265j -0.00241678-0.0126672j 0.00577916+0.00406357j -0.00466304-0.00417916j 0.00488129+0.00582942j 0.00117+0.00801668j -0.00267924-0.0053714j -4.07903e-05-0.00429401j -0.00872168-0.00210459j -0.00248074-0.00572862j 
0.00338668-0.000472095j 0.000421398+0.00220185j 0.00247133+0.000122673j 0.000641624+0.000544647j -0.00340752+0.0022426j 0.00403456+0.00476377j 0.00477905+0.00581326j -0.00492436-0.001857j 0.00138029+0.000373249j 0.00140538-0.00242107j 0.0217623+0.0112068j -0.0038534-0.00567776j 0.00334333-0.00419477j -0.0138166-0.00219621j 0.00530793-0.00576258j -0.0182224-0.00455354j 0.00404114-0.00109479j -0.013633-0.00933536j 0.00883741-0.00107634j 0.015114+0.00187929j -0.00399755+0.00437984j 0.017497-0.00208787j 0.00430149-0.0070372j 0.0438184+0.00501132j 0.0537639+0.00932089j 0.0418299+0.000999804j -0.0365835-0.00675278j -0.0160731+0.00433427j -0.0167839-0.00494164j 0.0267196-0.00471985j -0.0109223+0.00171583j 0.0371222-0.00169461j -0.005529-0.00822265j -0.0170443+0.0196864j -0.0132273-0.00969289j 0.00356511+0.0101473j -0.0278475+0.00777831j 0.0322824-0.0189103j 0.0027586+0.00502071j -0.00966289-0.00387552j 0.00415405-0.0114081j 0.0177123-0.00341111j -0.0028741-0.0031665j -0.0116351+0.00479297j -0.00247818-0.00623098j -0.0100979+0.00497181j -0.00451335+0.00921694j -0.00747466+0.00786993j -0.0129905-0.0114607j -0.0161013+0.00670477j -0.0107006+0.0112794j -0.0079521+0.0228013j 0.0070453+0.00296374j 0.0032766-0.00708558j -0.00222341+0.0091501j 0.0163668-0.00992103j -0.00812373+0.0096635j -0.00462511+0.020964j -0.000748304+0.0198826j -0.0019963+0.0155119j 0.0085511-0.0139174j -0.00813431+0.0015307j -0.0117168+0.0222598j 0.00259743-0.0176209j 0.00316857+0.000312055j 0.011547-0.0243251j 0.00381715-0.0286654j 0.00358667+0.0155334j -0.00319708+0.0199183j -0.00855306-0.00573537j -0.00794451+0.0235633j -0.0100857+0.0235495j -0.0032726+0.0298644j 0.00239976+0.00175673j 0.0128542+0.0193005j -0.00120908-0.0163519j 0.00221362-0.00283287j 0.00459973-0.00564296j -0.00320123+0.00804269j 0.00444621+0.0147825j 0.00200727-0.0117221j 0.000847937+0.00702591j 0.00171687-0.00340521j -0.0040216+0.00684455j -0.0136829-0.0124691j -0.00485177-0.00529596j -0.00681857-0.020867j 0.000375158+0.0042249j 0.00535917+0.019876j -0.00916598-0.0216329j 0.00322564-0.0026567j -0.000554164-0.00656518j -0.00192827-0.00957408j 0.0035386+0.0147639j -0.00383537-0.0010351j 0.00163586-0.00650112j -0.0121356-0.00282042j -0.00415086-0.00956997j 
0.0022785-0.000740939j 0.00137268+0.00198212j 0.00459635+0.000108055j -0.0029176-0.00159122j 0.000789172-4.57838e-06j 0.00394997+0.0083438j -0.00438185+0.00476024j -0.0127303-0.00301851j -0.00490646-0.00586292j -0.00927345-0.00274333j -0.0165072-0.000632156j -0.00978618-0.00430042j -0.00868378-0.0022054j -0.00388507+0.00168395j -0.0171304-0.0146412j 0.00750493-5.13575e-05j 0.0256529+0.00611993j 0.0160701+0.00529634j -0.00403437-0.0108049j -0.0183817-0.0111762j 0.0102313+0.00537556j 0.0120386+0.00713964j -0.0371116-0.00604517j -0.0379903-0.001112j -0.0113821+0.000203794j 0.0215725+0.000309143j -0.00268885+0.00298637j 0.0199655-0.0035101j 0.0032321+0.000757338j 0.0414784+0.00317202j 0.00660197-0.0170193j 0.00995279-0.00530082j 0.0510463-0.00575416j 0.030723-0.00685938j 0.0270659-0.0131495j -0.0124456+0.00599275j -0.0176693-0.00338194j -0.00857541+0.00455078j 0.0233112-0.0241154j -0.0060334+0.0017774j -0.000447116-0.00659954j 0.0188819-0.00776255j 0.00614673-0.0100034j -0.0148253+0.00846457j 0.00533234-0.00612495j -0.000632883+0.00102421j 0.00520992+0.00423831j 0.00173119+0.00778836j -0.0085713-0.00368075j -0.00137729-0.00879737j -0.0142905+0.00104325j 0.0054578+0.0220116j -0.00358109-0.0190983j -0.00723938+0.0133856j 0.00261203-0.013688j 0.00134572-0.00801905j 0.0152994-0.0240133j -0.0053618+0.0103655j -0.00912407+0.0242368j -0.00728079+0.000524159j -0.0150374+0.0147821j 0.00147559-0.00253487j -0.00371025+0.00678231j 0.0138388-0.011971j 0.000216483+0.00205142j -0.00157002+0.0203432j -0.00089932-0.0123005j 4.46846e-05-0.00556612j 0.0069856-0.00316092j 0.0014249-0.0209698j -0.00924016+0.00780291j 0.00202006-0.00100878j 0.00456102+0.0170437j 0.000565082-0.0217238j -0.00163384-0.0422703j 0.00154756+0.00820534j 0.000105864-0.0176803j 0.00499207+0.0126548j 0.00551933+0.00253103j 0.00633266+0.00717862j -0.00475782+0.00789334j -0.00698891-0.0109381j -0.00333304-0.0186689j -0.00134169-0.000667715j -0.00570144-0.00808475j -0.00848592-0.0228156j 0.00204039+0.00425952j -0.0124656-0.00408546j -0.0103501-0.00422771j 0.00230905+0.000230657j 0.00281208-0.00341374j -0.0054142-0.0109404j 0.00216124+0.0013642j 0.00399969+0.00918629j -0.00126961+0.00337604j -0.00185812-0.00455856j -0.00639323-0.00536106j 0.00656716-0.000987143j 
0.00271698-0.000972038j 0.00190154+0.00249939j 0.00578176-0.00277849j -0.00997212-0.00402868j 0.00109865-0.000978108j 0.00493175+0.00973464j 0.0132165+0.0128389j -0.0182212+0.000240685j 0.0216131-0.00155444j 0.00357386+0.00299194j -0.0360302-0.00484417j -0.00186866-0.0135741j -0.0206359-0.000498165j -0.0182506-0.00380914j -0.0164534-0.00698198j 0.0122679+0.00370639j -0.0251733-0.0073308j -0.0147319-0.0137186j -0.0318881-0.00994123j -0.0216758-0.0063062j -0.0143374-0.00766778j -0.0182936-0.00737744j 0.021485-0.00474143j -0.0249462-0.00635703j -0.00530323-0.000957103j -0.0130563-0.00117215j 0.042693-0.00207366j -0.0169224+0.00995916j -0.01844+0.00428628j -0.0096964+0.00374584j -0.0175476+0.0143416j -0.0271162+0.00924748j 0.00964963-0.0103202j -0.00423816-0.00153855j -0.0199712+0.0132856j -0.00172634-0.00382908j -0.0166782+0.00250971j 0.0176124-0.00846169j 0.00807137-0.0167006j -0.0083116+0.00298299j 0.0221923-0.02341j 0.020854+0.0061631j 0.0206504-0.0106577j -0.0180139+0.00259546j 0.00950857-0.000379348j 0.00201966-0.00118403j 0.00368545+0.0216875j -0.0171746+0.00833306j 0.00442587-0.0153527j -0.0121901+0.00801837j -0.00627499-0.00992464j 0.00890888-0.0015324j -0.0171801+0.0115476j -0.0204355+0.0133136j -0.000997748+0.00497981j 0.0127207-0.0137026j 0.0038605-0.0230711j 0.0143758-0.0332551j 0.0106013+0.0128736j -0.00414722-0.0156366j -0.00596709-0.00645964j 0.00274012-0.0035975j 0.000770772+0.00505789j -0.000426714+0.000211572j -0.0109123+0.0107167j 0.00286544-0.0120328j -0.00558427+0.0120924j -0.002212+0.00272346j -0.00409721-0.0162952j 0.00455326+0.0161645j 0.000980298-0.0146706j 0.00393079-0.0273409j 0.00427678-0.00756273j -0.000977309+0.0153817j 0.00475843+0.0115843j 0.00552459+0.00987007j 0.00100716+0.0037173j 0.000967753-0.00185861j -0.0026277-0.00146689j 0.00272157-0.00135505j -0.00512847+0.00268011j 0.00186709-0.00470295j 0.016683+0.00875488j 0.00805161+0.024293j -0.00600458-0.00349197j -0.00284882-0.00825089j 0.00177033+0.00237281j 0.00187788+0.0257802j -0.00184906+0.00350283j 0.00582768+0.00427712j 0.00682958-5.64339e-05j -0.00241244-0.00475125j -0.00101317-0.00935208j 0.00666109+0.0119365j -0.000503013+0.00742576j -0.00298768-0.0076909j -0.00651941-0.00801906j 0.012943+0.00192055j 
