-0.288279-0j -0.356728-0j -0.208091-0j 0.108076-0j -0.0417774-0j -0.0255833-0j -0.0365552-0j -0.0150783-0j -0.0225059-0j -0.00324844-0j 0.0767293-0j 0.0110749-0j -0.0207579-0j -0.00299614-0j -0.020973-0j -0.0181631-0j -0.00302719-0j -0.00262162-0j -0.0149838-0j -0.00216273-0j -0.0047874-0j -0.000691002-0j -0.0166698-0j -0.00294684-0j -0.00024557-0j -0.0184501-0j -0.00326155-0j 0.0440222-0j -0.000271796-0j -0.00972407-0j 0.0444784-0j 0.0077821-0j -0.00171899-0j -0.0170171-0j 0.000648509-0j 0.00786275-0j -0.00601646-0j -0.000143249-0j -0.00992665-0j 0.000655229-0j -0.0105288-0j -0.00300823-0j -0.00106357-0j -0.000250686-0j -0.0017548-0j -0.0061418-0j -8.86308e-05-0j -0.00186125-0j -0.000146233-0j -0.00160224-0j -0.00108573-0j -0.000155104-0j -0.000283239-0j -9.04773e-05-0j -2.36032e-05-0j 
-0.670868-0j 0.00592387-0j -0.475179-0j 0.0417774-0j -0.00138384-0j 0.0298472-0j -0.0414337-0j -0.0517724-0j 0.0262569-0j 0.00378985-0j 0.000422179-0j 6.09364e-05-0j -0.0483066-0j -0.00697245-0j 0.0474178-0j 0.00030162-0j 0.00684416-0j 4.3535e-05-0j -0.0342158-0j -0.00493862-0j -0.0219437-0j -0.0031673-0j 0.0194481-0j 0.00343798-0j 0.000286498-0j 0.000306385-0j 5.41617e-05-0j 0.0170171-0j 4.51348e-06-0j -0.0566034-0j -0.016704-0j 0.00300823-0j -0.0100062-0j -0.000563678-0j 0.000250686-0j -0.00295288-0j 0.0070192-0j -0.000833846-0j 0.0452151-0j -0.000246073-0j -0.0119339-0j -9.96451e-05-0j 0.00124083-0j -8.30376e-06-0j 0.00799297-0j -0.0210883-0j 0.000103403-0j -0.00210964-0j 0.000666081-0j -0.00918676-0j -0.00372793-0j -0.000175803-0j -0.001624-0j -0.000310661-0j -0.000135334-0j 
0.205957-0j -0.756399-0j 0.148667-0j 0.0255833-0j 0.0298472-0j 0.0171143-0j -0.0775111-0j 0.0107724-0j 0.016079-0j 0.0023208-0j 0.0181631-0j 0.00262162-0j -0.0440146-0j -0.00635297-0j 0.0149838-0j 0.0121504-0j 0.00216273-0j 0.00175376-0j -0.0317714-0j -0.00458581-0j 0.00342029-0j 0.000493676-0j 0.0119095-0j 0.00210532-0j 0.000175443-0j 0.0131814-0j 0.00233016-0j -0.0309281-0j 0.00019418-0j 0.00694721-0j 0.0105288-0j -0.00546737-0j 0.0012281-0j -0.0360828-0j -0.000455614-0j 0.00186125-0j 0.0546443-0j 0.000102342-0j 0.00709194-0j 0.000155104-0j 0.00704336-0j -0.0063786-0j 0.00965983-0j -0.00053155-0j 0.00125369-0j -0.013023-0j 0.000804986-0j 0.0012451-0j 0.000104474-0j 0.0011447-0j -0.00230216-0j 0.000103758-0j 0.000202355-0j -0.000191846-0j 1.6863e-05-0j 
-0.294285-0j -0.348117-0j -0.194543-0j -0.0365552-0j 0.0414337-0j 0.0775111-0j -0.0367033-0j -0.0734939-0j -0.0229748-0j -0.00331612-0j 0.0252139-0j 0.00363932-0j 0.0208504-0j 0.0030095-0j 0.0214012-0j -0.0534632-0j 0.003089-0j -0.00771675-0j 0.0137836-0j 0.00198948-0j -0.0516915-0j -0.00746102-0j -0.0170171-0j -0.00300823-0j -0.000250686-0j 0.0182983-0j 0.00323472-0j 0.0146511-0j 0.00026956-0j -0.00992665-0j 0.0150382-0j 0.00258998-0j -0.0017548-0j -0.0166064-0j 0.000215831-0j 0.0026584-0j 0.0304134-0j -0.000146233-0j -0.00928035-0j 0.000221533-0j -0.0318867-0j -0.00293562-0j 0.00537639-0j -0.000244635-0j -0.00164055-0j 0.0294559-0j 0.000448032-0j -0.00563683-0j -0.000136712-0j -0.0299692-0j 0.00520712-0j -0.000469736-0j -0.00529786-0j 0.000433927-0j -0.000441488-0j 
0.121386-0j -0.442072-0j 0.101955-0j 0.0150783-0j -0.0517724-0j 0.0107724-0j 0.0734939-0j -0.0895445-0j 0.0094766-0j 0.00136783-0j -0.0315054-0j -0.00454741-0j 0.00874057-0j 0.00126159-0j 0.042166-0j -0.0225085-0j 0.00608613-0j -0.00324883-0j 0.00734135-0j 0.00105963-0j -0.0376795-0j -0.00543857-0j 0.0070192-0j 0.00124083-0j 0.000103403-0j -0.0228642-0j -0.00404185-0j 0.0061418-0j -0.000336821-0j 0.00409453-0j 0.0296291-0j 0.00108573-0j 0.000723818-0j -0.0210883-0j 9.04773e-05-0j 0.00523773-0j 0.00253336-0j 6.03182e-05-0j 0.00486358-0j 0.000436478-0j 0.021168-0j -0.00372793-0j 0.00044784-0j -0.000310661-0j 0.000859768-0j -0.036474-0j 3.732e-05-0j 0.00374202-0j 7.16473e-05-0j 0.0218569-0j -0.00644775-0j 0.000311835-0j 0.0038638-0j -0.000537312-0j 0.000321983-0j 
0.0369836-0j 0.0457649-0j 0.0266962-0j -0.217308-0j -0.253526-0j -0.155252-0j -0.221835-0j -0.0915022-0j -0.0117059-0j 0.161535-0j 0.00326155-0j -0.0450075-0j 0.00266305-0j -0.0367484-0j 0.00269064-0j 0.00233016-0j -0.0371293-0j -0.0321549-0j 0.00192229-0j -0.0265264-0j 0.00061418-0j -0.00847532-0j 0.00213859-0j -0.0178828-0j -0.00453372-0j -0.00959639-0j 0.0802449-0j 0.00187126-0j 0.020344-0j 0.00124751-0j 0.00189065-0j -0.0156475-0j -0.0104316-0j 0.00218314-0j -0.003967-0j -0.0158096-0j 0.000771856-0j -0.00264467-0j 0.0012735-0j -0.00400811-0j 0.00135075-0j -0.0182554-0j -0.00645425-0j -0.00462817-0j -0.010649-0j 0.000787937-0j -0.0016363-0j -0.0112949-0j -0.00269976-0j 0.000205553-0j -0.00658872-0j -0.00286353-0j -0.00171883-0j -0.00167039-0j -0.000435763-0j 
-0.0417774-0j -0.000735845-0j 0.0590253-0j -0.740867-0j 0.00407639-0j 0.175376-0j -0.243455-0j -0.304203-0j -0.00326155-0j 0.0450075-0j 0.000158275-0j -0.0021841-0j -0.00300823-0j 0.0415118-0j 0.00295288-0j -3.74663e-05-0j -0.040748-0j 0.000517013-0j 0.00425019-0j -0.05865-0j 0.00272578-0j -0.0376142-0j -0.00241579-0j 0.0202008-0j 0.00512138-0j -3.80583e-05-0j 0.000318243-0j 0.0063797-0j 8.0682e-05-0j -0.00140921-0j -0.00626231-0j -0.0533469-0j 0.0117838-0j -3.51023e-05-0j -0.0135247-0j 0.0523654-0j -0.000871905-0j 0.00298747-0j 0.00281571-0j 0.0132758-0j 0.0014824-0j 0.000293525-0j 0.00729086-0j 7.44155e-05-0j -0.0235449-0j 0.00261953-0j 0.0018484-0j -0.0123958-0j -0.00596919-0j 0.00114115-0j -0.0219045-0j -0.00314262-0j -0.0095423-0j -0.0055533-0j -0.0024192-0j 
0.0680413-0j 0.0415333-0j -0.0246227-0j 0.20043-0j -0.466429-0j -0.424987-0j -0.201323-0j 0.0843953-0j -0.00266305-0j 0.0367484-0j -0.00300823-0j 0.0415118-0j -0.0048208-0j 0.0665241-0j 0.00495016-0j 0.0063786-0j -0.0683093-0j -0.0880209-0j 0.00174454-0j -0.0240737-0j -0.000566477-0j 0.00781705-0j -0.00197248-0j 0.0164939-0j 0.00418159-0j -0.00218314-0j 0.0182554-0j 0.00169824-0j 0.00462817-0j 0.00574087-0j -0.00174381-0j -0.0142006-0j -0.0480051-0j -0.00395205-0j -0.0036002-0j 0.0145817-0j 0.00352528-0j -0.0121704-0j 0.00234294-0j 0.00369681-0j 0.00369754-0j 0.0330469-0j -0.0294783-0j 0.00837818-0j -0.0195917-0j 0.000715081-0j -0.00747344-0j -0.0309188-0j -0.00496694-0j -0.000189588-0j -0.0059795-0j -0.00783864-0j 0.00158533-0j -0.00151594-0j 0.000401918-0j 
-0.0687464-0j -0.0414337-0j 0.0227835-0j -0.202507-0j -0.457846-0j -0.144678-0j 0.206642-0j -0.407137-0j 0.00269064-0j -0.0371293-0j -0.00295288-0j 0.040748-0j -0.00495016-0j 0.0683093-0j 0.00499943-0j -0.00210964-0j -0.0689892-0j 0.0291118-0j 0.00164055-0j -0.0226386-0j 0.00605374-0j -0.0835381-0j 0.00199292-0j -0.0166648-0j -0.00422492-0j -0.00214297-0j 0.0179195-0j 0.00174381-0j 0.00454301-0j -0.00580036-0j -0.00176117-0j -0.0145817-0j 0.0485026-0j 0.00394257-0j -0.00369681-0j 0.0147269-0j 0.000719285-0j 0.0122965-0j -0.00216793-0j 0.0037336-0j -0.00125824-0j -0.0329677-0j -0.00601465-0j -0.00835809-0j 0.0181282-0j 0.00350591-0j -0.00152485-0j 0.0105214-0j 0.00459593-0j 0.00350979-0j -0.0293164-0j 0.00266741-0j -0.0293488-0j -0.00743239-0j -0.0074406-0j 
0.0298472-0j -0.00156027-0j -0.0421697-0j -0.175376-0j -0.00291231-0j -0.11732-0j -0.516219-0j 0.217333-0j 0.00233016-0j -0.0321549-0j 3.74663e-05-0j -0.000517013-0j -0.0063786-0j 0.0880209-0j -0.00210964-0j 2.50635e-05-0j 0.0291118-0j -0.000345861-0j 0.00901202-0j -0.124361-0j -0.00194739-0j 0.0268729-0j 0.00172592-0j -0.0144322-0j -0.00365889-0j 2.71901e-05-0j -0.000227364-0j -0.0044821-0j -5.7642e-05-0j 0.00100679-0j -0.0014824-0j 0.0374793-0j -0.00841875-0j -7.44303e-05-0j 0.00950187-0j 0.0123958-0j 0.00791904-0j -0.00213435-0j -0.00201164-0j 0.00314262-0j -0.000991665-0j 0.000622386-0j -0.0662189-0j 0.000157789-0j 0.0168213-0j 0.00555441-0j -0.0167881-0j 0.00829229-0j 0.0042646-0j -0.000815278-0j -0.0464459-0j 0.00210229-0j 0.00681735-0j -0.0117751-0j 0.00172836-0j 
-0.0246227-0j -0.0586804-0j -0.0688179-0j 0.144678-0j -0.330374-0j -0.306772-0j -0.133088-0j 0.0708851-0j -0.00192229-0j 0.0265264-0j 0.00425019-0j -0.05865-0j 0.00174454-0j -0.0240737-0j -0.00164055-0j -0.00901202-0j 0.0226386-0j 0.124361-0j 0.00487582-0j -0.0672834-0j 0.00529802-0j -0.0731095-0j -0.00142381-0j 0.0119059-0j 0.00301843-0j 0.00308446-0j -0.0257922-0j 0.00122585-0j -0.00653892-0j -0.000830558-0j -0.00115278-0j -0.0102506-0j 0.00694512-0j -0.00279925-0j -0.00259876-0j 0.00963951-0j 0.00254468-0j 0.00176075-0j -0.00328285-0j 0.00244384-0j 0.00244433-0j 0.0234073-0j -0.0212786-0j 0.0059343-0j 0.0274511-0j 0.000600609-0j -0.00539462-0j -0.0204395-0j 0.0069595-0j 0.00605377-0j -0.00502228-0j -0.00518188-0j -0.0506216-0j -0.00127327-0j -0.0128338-0j 
