-0.715067-0j 0.0713607-0j -0.0732757-0j -0.0416095-0j -0.00600582-0j 0.0506632-0j 0.00731261-0j -0.0300354-0j -0.00433523-0j -0.0292381-0j -0.00516862-0j -0.0341111-0j -0.000430718-0j 0.061996-0j -0.00603005-0j 0.0293684-0j 0.0109594-0j -0.000502504-0j -0.0123114-0j 0.000913287-0j 0.00519166-0j 0.000432638-0j -0.00217636-0j -0.000181363-0j -0.0225059-0j -0.00375098-0j -0.0254231-0j -0.002297-0j -0.000468873-0j 0.0204249-0j -2.76286e-05-0j -0.020973-0j -0.00423718-0j -0.00259473-0j 0.0539067-0j 0.00340415-0j -0.000529648-0j 0.0147435-0j 0.00208461-0j -0.0034955-0j -3.12098e-05-0j -0.0047874-0j 0.000425519-0j 0.00898445-0j -0.00214055-0j 0.00550183-0j -0.000436937-0j 2.50739e-05-0j 0.00245724-0j 0.00112306-0j 0.00150475-0j -0.000797901-0j -2.57468e-05-0j -0.000488612-0j 0.000307156-0j 6.61767e-05-0j 1.80993e-05-0j -9.97376e-05-0j -5.87709e-06-0j 
-0.70191-0j 0.0732757-0j -0.074005-0j 0.0420407-0j 0.00606806-0j -0.0505418-0j -0.00729508-0j 0.0277918-0j 0.0040114-0j 0.0295411-0j 0.00522218-0j -0.0334835-0j 0.000435181-0j 0.0211052-0j -0.0059191-0j -0.0301443-0j 0.0037309-0j -0.000493258-0j 0.0593921-0j 0.000310909-0j -0.00532881-0j -0.000444068-0j 0.0104991-0j 0.000874928-0j 0.0227391-0j 0.00378985-0j -0.0249553-0j 0.0023208-0j 0.000473732-0j 0.020973-0j 2.79149e-05-0j -0.0211817-0j -0.00415922-0j -0.00254699-0j -0.0178289-0j 0.0034955-0j -0.000519903-0j 0.0138646-0j 0.00214055-0j -0.00353029-0j -3.06356e-05-0j 0.0511613-0j 0.000436937-0j -0.00297149-0j -0.00216185-0j -0.00181966-0j -0.000441286-0j 2.57468e-05-0j 0.00231076-0j -0.000371436-0j 0.00141505-0j 0.00852688-0j -2.6003e-05-0j 0.00522163-0j 0.000288845-0j -2.18871e-05-0j 1.70204e-05-0j 0.00106586-0j 6.28064e-05-0j 
0.0837436-0j -0.401765-0j -0.405928-0j -0.00972019-0j 0.134133-0j 0.00603005-0j -0.0832111-0j 0.00351753-0j -0.0485398-0j 0.00342416-0j -0.0286328-0j -0.00796852-0j -0.00725908-0j 0.00244634-0j 0.0666327-0j 0.0034955-0j -0.0204563-0j 0.0168929-0j 0.00144182-0j -0.00518614-0j -0.0292293-0j -0.00741031-0j -0.0120565-0j -0.0030566-0j 0.00263573-0j -0.0207795-0j 0.00297737-0j 0.000269008-0j -0.00524978-0j -0.00484914-0j -0.000621928-0j -0.00489939-0j -0.0234729-0j 0.000303877-0j 0.00212714-0j 0.0382294-0j -0.00593025-0j 0.0017548-0j -0.000494913-0j 0.0386256-0j -0.000702542-0j 0.000560667-0j 0.00965838-0j -0.0167698-0j -0.000500042-0j 0.0002171-0j 0.00975847-0j 0.0011442-0j -0.0138344-0j -0.00423678-0j 0.000179099-0j -0.00442016-0j 0.00115606-0j 5.72229e-05-0j -0.00349516-0j -0.00050192-0j -0.000414063-0j -0.00111672-0j -0.000132295-0j 
-0.00147502-0j -0.489184-0j -0.488011-0j -0.00603005-0j 0.0832111-0j 0.000104506-0j -0.00144213-0j 0.00851957-0j -0.117565-0j -0.00423718-0j 0.0354313-0j -7.03632e-05-0j 0.00898266-0j 0.00898445-0j 0.000588376-0j -0.00413491-0j -0.0751279-0j 0.000149167-0j 0.0052509-0j -0.0190467-0j 0.0345761-0j 0.00876585-0j -0.043908-0j -0.0111317-0j -0.00326155-0j 0.0257133-0j -5.24419e-05-0j -0.000332881-0j 0.00649627-0j 0.00295997-0j 0.000769596-0j 0.00295288-0j 0.000413439-0j -5.35233e-06-0j 0.000111197-0j -0.0233357-0j 0.000104452-0j -0.00418201-0j 0.000302101-0j -0.0232798-0j 1.23742e-05-0j 0.00272578-0j -0.00589559-0j -0.000876649-0j 0.000301377-0j 1.1349e-05-0j -0.00588146-0j -0.000698436-0j 0.0329699-0j -0.000221479-0j -0.000426824-0j -0.0214894-0j -0.000696762-0j 0.000278199-0j 0.00832961-0j -2.6238e-05-0j 0.000986788-0j -0.00542914-0j -0.000643177-0j 
-0.118317-0j -0.290009-0j -0.268346-0j 0.00351753-0j -0.0485398-0j -0.00851957-0j 0.117565-0j 0.00983113-0j -0.135664-0j 0.00247169-0j -0.0206682-0j -0.00564414-0j -0.00523988-0j 0.00176586-0j 0.0471962-0j 0.00231076-0j -0.0147661-0j 0.0119654-0j 0.00121101-0j -0.00374355-0j -0.0193226-0j -0.00489873-0j -0.0101264-0j -0.00256729-0j 0.00190257-0j -0.0149994-0j -0.00420659-0j 0.00019418-0j -0.00378949-0j 0.0017548-0j -0.000448931-0j 0.00162372-0j 0.0331638-0j -0.000429334-0j -0.00300533-0j -0.0138344-0j 0.00837858-0j 0.00490448-0j 0.000179099-0j -0.012801-0j 0.000992589-0j -0.00524368-0j -0.00349516-0j 0.0236933-0j 0.00016572-0j -0.000306731-0j -0.00323409-0j -0.000414063-0j -0.0386657-0j 0.00598594-0j 0.000500562-0j 0.0413399-0j -0.000383134-0j -0.000535181-0j -0.00976861-0j 0.00070914-0j -0.00115726-0j 0.0104442-0j 0.0012373-0j 
0.0509611-0j 0.00516862-0j 0.00522218-0j -0.285314-0j 0.00042802-0j -0.353058-0j 0.000529648-0j -0.205951-0j 0.000308961-0j -0.00628889-0j 0.106964-0j 0.00243102-0j -9.26441e-05-0j 0.00148869-0j -0.0413477-0j 0.00212714-0j -0.0253202-0j 3.58123e-05-0j 0.0008774-0j 2.19304e-05-0j -0.0361792-0j 3.13357e-05-0j -0.0149232-0j 1.29253e-05-0j 0.00160394-0j 0.000267323-0j -0.00546831-0j -0.0316644-0j -0.00321503-0j 0.00147936-0j 1.96902e-06-0j 0.00149469-0j -0.000911385-0j 0.107954-0j 0.00129444-0j 0.000246561-0j 0.010961-0j 0.00106786-0j -0.0292051-0j 0.000249116-0j -6.71299e-06-0j 0.000341187-0j -0.00296532-0j 0.00021574-0j -0.0295077-0j -0.0255544-0j -0.00299605-0j 1.81609e-06-0j 0.000177977-0j -0.00259466-0j -0.0210813-0j 5.68644e-05-0j 1.83491e-06-0j -0.00673559-0j -0.00214048-0j 1.58908e-06-0j 1.31092e-06-0j -0.000683894-0j 4.18846e-07-0j 
-0.0073556-0j 0.0713238-0j 0.0720629-0j -0.00042802-0j -0.276405-0j -0.000529648-0j -0.342033-0j -0.000308961-0j -0.19952-0j 0.000907723-0j -0.0153412-0j -0.000350887-0j 0.18333-0j -0.000214874-0j 0.00593025-0j -0.000307026-0j 0.00363152-0j -0.0708677-0j -0.000126642-0j -0.0433974-0j 0.00518897-0j -0.0620093-0j 0.00214034-0j -0.0255775-0j -0.000231509-0j 0.0036889-0j 0.000789283-0j -2.36283e-05-0j -0.0215788-0j -0.000213528-0j -0.00784749-0j -0.00021574-0j -0.0125766-0j 8.05558e-05-0j -0.000186837-0j 0.00340239-0j 0.0735687-0j -0.000154132-0j -2.17931e-05-0j 0.00343765-0j 0.0267545-0j -4.92461e-05-0j -0.0199028-0j 0.00297709-0j -2.20189e-05-0j -1.90689e-05-0j -0.0201091-0j -0.00723799-0j 0.00245597-0j -0.017415-0j -1.57311e-05-0j 0.000784695-0j -0.00731299-0j -5.02615e-06-0j -0.0143666-0j -0.00633324-0j -0.00522466-0j -0.0045902-0j -0.0016693-0j 
-0.000846266-0j -0.00603005-0j 0.0059191-0j -0.663967-0j 0.000996065-0j 0.00586293-0j -8.7954e-06-0j -0.470291-0j 0.000705518-0j -0.00243102-0j 0.0413477-0j 8.05254e-05-0j -3.58123e-05-0j -0.0017368-0j -0.00136961-0j 0.00241102-0j 0.0295402-0j 1.18625e-06-0j 0.00301262-0j -2.55855e-05-0j -0.0410075-0j 3.55176e-05-0j -0.0512398-0j 4.43801e-05-0j -0.00187126-0j -0.000311877-0j -3.00877e-05-0j 0.0369418-0j 0.00375087-0j 0.00344269-0j -2.29719e-06-0j -0.00337935-0j -5.01462e-06-0j 0.000593981-0j -2.14957e-05-0j 0.000573782-0j 6.03095e-05-0j 0.00243848-0j -0.0679645-0j -0.000563225-0j -3.69361e-08-0j 0.00156388-0j -0.00690073-0j -3.58261e-06-0j 0.0667139-0j 0.000424361-0j 0.00677376-0j 4.2263e-06-0j 0.000406413-0j 4.30872e-05-0j -0.0481396-0j 0.000260646-0j -4.14854e-06-0j -0.0308735-0j -0.00488782-0j -2.63885e-08-0j 2.99351e-06-0j -0.00313472-0j 1.91984e-06-0j 
-0.0364084-0j 0.0109594-0j -0.0037309-0j 0.203838-0j -0.000305792-0j -0.748618-0j 0.00112306-0j 0.147138-0j -0.000220733-0j -0.00148869-0j 0.0253202-0j -0.0017368-0j -2.19304e-05-0j -0.000995873-0j 0.0295402-0j 0.00451035-0j 0.0169382-0j -2.55855e-05-0j -0.000626845-0j -1.46706e-05-0j -0.0767138-0j 6.64437e-05-0j 0.0106616-0j -9.2343e-06-0j -0.00114591-0j -0.000190985-0j -0.00129444-0j 0.0226222-0j 0.00229693-0j 0.00313682-0j -1.40674e-06-0j -0.00106786-0j -0.00021574-0j 0.0255544-0j -0.000865931-0j 0.000522803-0j 0.00259466-0j 0.00226427-0j -0.061926-0j -0.000177977-0j -1.58908e-06-0j -0.000243756-0j -0.00628762-0j -0.000144322-0j 0.0210813-0j 0.0170949-0j 0.00214048-0j 3.85081e-06-0j 0.000377379-0j 0.00173572-0j -0.0447005-0j -4.06259e-05-0j -1.31092e-06-0j 0.00481214-0j -0.00453864-0j -1.06303e-06-0j 2.77966e-06-0j 0.000488598-0j -2.99238e-07-0j 
0.000122148-0j -0.0832111-0j 0.0816801-0j -0.000996065-0j -0.643234-0j 8.7954e-06-0j 0.00567985-0j -0.000705518-0j -0.455606-0j 0.000350887-0j -0.00593025-0j -1.16228e-05-0j 0.0708677-0j 0.000250686-0j 0.000196435-0j -0.000348-0j -0.00423678-0j -0.00234744-0j -0.000434834-0j 0.0506303-0j 0.00588146-0j -0.0702847-0j 0.00734902-0j -0.0878223-0j 0.000270094-0j -0.00430372-0j 4.34278e-06-0j 2.75663e-05-0j 0.0251753-0j -0.00049691-0j 0.00915541-0j 0.000487767-0j -6.91987e-05-0j 4.43234e-07-0j 3.10264e-06-0j 0.00791785-0j 0.000404789-0j -0.000351964-0j -5.07156e-05-0j -0.00777216-0j 0.000147208-0j -0.000225726-0j -0.0463168-0j -4.9438e-05-0j 4.97825e-05-0j 3.16661e-07-0j 0.0454645-0j -0.0168438-0j 0.00560825-0j 0.000289195-0j -3.59221e-05-0j 0.00359676-0j 0.0165339-0j -2.30381e-05-0j -0.0328064-0j 0.000105171-0j -0.0119306-0j -0.0210398-0j -0.00765148-0j 
-0.0505418-0j -0.00519166-0j -0.00532881-0j -0.291258-0j 0.000436937-0j -0.344536-0j 0.000516864-0j -0.192542-0j 0.000288845-0j 0.00212714-0j -0.0361792-0j -0.00241102-0j 3.13357e-05-0j -0.00451035-0j 0.0410075-0j 0.00213576-0j 0.0767138-0j -3.55176e-05-0j 0.00427659-0j -6.64437e-05-0j -0.0363258-0j 3.14627e-05-0j -0.0727379-0j 6.30001e-05-0j 0.00163735-0j 0.000272892-0j -0.00179694-0j -0.0323241-0j -0.00328201-0j -0.00148596-0j 2.01004e-06-0j -0.00152521-0j -0.000299489-0j 0.0354745-0j 0.00381019-0j -0.00024766-0j 0.00360188-0j -0.00098232-0j 0.0293353-0j -0.000254202-0j -2.20595e-06-0j 0.00368393-0j 0.00297854-0j 0.000635032-0j 0.0301103-0j -0.0752195-0j 0.00305723-0j -1.82419e-06-0j -0.00016372-0j -0.00763737-0j 0.0193926-0j 0.000613988-0j -1.87238e-06-0j -0.0727268-0j 0.00196902-0j 4.67745e-06-0j -1.20591e-06-0j -0.00738428-0j 4.52245e-06-0j 
