0.0395972+0.0179578j -0.00893526+0.0125653j 0.0242572+0.00089595j 0.00189492-0.0155849j 0.0391546+0.0153977j 0.0403514+0.0152994j 0.0244074-0.0149484j 0.00845009+0.0163032j 0.0104996+0.0178793j -0.00859717+0.0113954j -0.0141797+0.0158321j -0.0376487-0.00608275j 0.0681653+0.010033j 0.0528859+0.0546837j 0.00378893-0.0479043j -0.0904903+0.0676789j 0.0824538+0.0587972j -0.0460373+0.0280315j 0.0495004+0.0162529j 0.00916738+0.0165624j 0.00906017+0.0167329j 0.0247149+0.0160098j -0.0217143-0.0154602j 0.0134018+0.00748171j -0.0438834-0.0139909j -0.027424+0.0136449j -0.0298316+0.032142j 0.015989+0.00915384j 0.0184525+0.00382824j -0.01068+0.0338416j 0.0489654-0.00806632j 0.00607403+0.0124386j 0.0418518+0.00947769j -0.0542387+0.0207546j -0.12224-0.0181872j -0.0193388-0.0854152j 0.00347701+0.00180237j 0.0132936+0.0545186j -0.101348+0.0148035j -0.00737086-0.0317122j -0.0483408+0.00898402j -0.0128549+0.044088j -0.0722603-0.00522302j -0.00348343+0.0151521j -0.0294539+0.016863j 0.0301728+0.0113091j 0.0536987-0.0198491j -0.00198285-0.0291665j 0.0133169-0.0149945j -0.0175416-0.0260141j 0.0116331+0.000611283j 0.0219922-0.00436168j -0.0131933-0.00663549j 0.0176208-0.00266664j 0.0132329-0.0073413j 0.0145496-0.0134935j 0.00574068-0.0184508j 0.0279166+0.00965601j 0.0277809+0.00215671j -0.000230785-0.00861636j 0.0152101+0.00677568j 0.0141934-0.00596445j -0.0252264+0.0100489j -0.0112099-0.0134306j -0.0128544-0.0059092j -0.0131027+0.0114897j -0.0185603+0.0105541j 0.0332105-0.000808388j -0.0240386+0.0110611j 0.000915256+0.000565447j -0.00288926+0.00444059j 0.00550202+0.00379057j -0.00229511+0.0111878j 0.0056051+0.00685412j -0.00534464+0.00158655j 0.00465999-0.000160467j -0.00201373+0.00369893j 0.0135329+0.000568613j -0.00800683-0.0044995j 0.0201441+0.00109567j -0.00606871+0.00731024j 0.00659599-0.0064147j -0.0195518+0.0077336j -0.00128834-0.000702969j 0.0188469-0.0102454j 0.016715-0.0070193j -0.00500182+0.00470576j 0.0109376+0.00287938j 0.00802785-0.0095821j -0.00828729+0.0180428j 0.000636084-0.00395021j -0.0026151+0.00601837j -0.0284345-0.000211644j 0.00290529-0.0246374j -0.039091+0.0260712j 0.0920559-0.0122182j 0.132127+0.00865905j 
-0.000549094+0.0171822j -0.0399079-0.0179162j 0.0126613+0.0109183j 0.0266203-0.00671859j 0.00590938+0.0201679j 0.00440229+0.00589319j 0.0177538+0.00960195j -0.0229494-0.00212043j -0.00965951-0.010596j -0.000291724-0.0179539j -0.026596-0.0433136j -0.0477465+0.0168404j -0.0149126+0.00755577j -0.0742317+0.0372386j 0.0182717+0.0437747j -0.104987-0.0580331j -0.0829932+0.066635j -0.0316432-0.0212566j -0.0168685+0.0181609j -0.0244622-0.0112514j -0.0375698+0.00477578j -0.0141378+0.021893j 0.0388176-0.0320129j 0.00283396+0.00786888j 0.00887501-0.0233622j -0.0355652-0.018345j -0.0263122-0.0142764j 0.00398489-0.0105935j 0.0206565+0.00955695j -0.0355088-0.0197743j 0.0434319+0.0318619j -0.00220774+0.0187282j -0.00676134+0.0414208j -0.0165269+0.0187319j 0.0478006-0.0333953j 0.137246+0.0102311j -0.00987214-0.0141373j -0.0755898+0.011869j -0.0244956-0.0823134j 0.0418763-0.0133783j -0.0124978-0.0304118j -0.0658388+8.52743e-06j 0.0223546-0.042247j -0.0136288+0.000537931j -0.031189-0.0155396j -0.00728451+0.00561871j 0.027179+0.0277485j 0.0440177-0.0130604j 0.0127103+0.00208571j 0.0265737-0.00364827j -0.00663689+0.00399233j 0.00130956+0.0124897j 0.0193256-0.0186969j -0.00201424-0.00150692j 0.000316649+0.01461j 0.0115103+0.00091838j 0.0274879+0.0107117j -0.0235773+0.0093016j -0.0164924+0.00484858j 0.00827592+0.00144855j -0.011547+0.0188954j 0.00731661+0.0102738j -0.00437119-0.0111949j 0.0336075-0.0083545j 0.00131807-0.00180758j -0.00597312+0.00445558j -0.0151334+0.00159801j -0.0121357+0.0139498j -0.0108362-0.00794021j 0.00260336-0.0131162j 0.0139154+0.00248666j -0.0129559-0.00724434j -0.012372+0.00702206j -0.0149989+4.61456e-05j -0.00916001-0.000306905j 0.000378845+0.00523387j 0.0163433+0.0152668j -0.0166971+0.015767j 0.018605+0.00118601j 0.00772569-0.00765256j -0.0208638+0.00119144j 0.0272188-0.00236617j -0.00125893-0.00172346j 0.00851537-0.0118204j 0.00201331-0.0139875j 0.00082844-0.0129876j 0.0105722+0.00926069j -0.000705038-0.0117167j -0.00383741+2.78345e-05j -0.0221397+0.00236441j 0.00366648-0.0195971j -0.0275855+0.00362559j 0.00358224-0.00278132j -0.0303644+0.0257261j 0.010077+0.0241246j 0.121093+0.00627681j -0.101097+0.00839724j 
0.0022881+0.00301932j -0.0137499-0.00537486j -0.00569761+0.00583768j -0.00189277-0.00569024j 0.0159174+0.0061838j 0.0167536-0.000577619j -0.0143721-0.00153369j -0.0366005+0.00493196j -0.0598234-0.00780743j 0.00729047-0.0159405j 0.0604962-0.00413726j 0.00657243+0.00798739j -0.00502155+0.00846067j 0.033945-0.0091714j 0.0152298-0.0240698j -0.0255406-0.00509058j -0.0183348+0.0125615j -0.00369738-0.00946585j 0.000739219+0.00223627j 0.00784953-0.0238785j -0.00620398-0.00973907j -0.00711083+0.0136984j 0.00713467-0.00468711j -0.00591097+0.0331316j -0.00528283+0.0521394j -0.0111312-0.0100476j -0.00433145-0.0387752j -0.00583368+0.0279506j 0.00343656-0.0483049j -0.00449512+0.0457987j 0.0110032-0.00490751j -0.00971956-0.0238413j 0.00445014+0.0279404j -0.0117866+0.00223041j -0.00909329-0.0296629j 0.0242342+0.0171092j 0.00905877+0.00264711j -0.0114859+0.00772823j -0.00335976-0.000545303j 0.00810881-0.00459652j -0.00189367-0.00347566j -0.0114833+0.00832934j -0.00481277-0.0144817j 0.00509254+0.00152032j -0.0158101-0.00860147j 0.00339754-0.00721865j 0.0196538+0.00773681j 0.00797548-0.00238441j 0.00390148-0.0135537j 0.00191518-0.000590727j 0.0096923+0.00804899j -0.00570173-0.00465283j -0.00480332-0.00208551j -0.00328971-0.00389938j -0.00829578+0.00290639j 0.00126914+0.0158968j 0.0249013+0.00263663j -0.00299753+0.0135361j -0.0116415-0.00425576j 0.00670761-0.00678816j -0.0055636-0.0207566j 0.00926758-0.0120397j -0.00126237-0.00421448j -0.00414222+0.00157603j 0.0222765-0.00231345j -0.00789322-0.00433516j 0.00363277+0.0260842j -3.24219e-05+0.019092j -0.00285074-0.00230811j -0.00719079+0.000983488j -0.00746061+0.00773952j 0.00131777-0.0139789j -0.0137751-0.00322584j 0.000351198+0.00641093j 0.00207996+0.000928485j -0.0187898-0.00422846j 0.0012658-0.00627225j -0.0111342-0.00153832j -0.00366444-0.00981751j -0.00717764+0.00229675j 0.0113241+0.00560403j 0.00681914+0.00934573j 0.00530202-0.00513843j -0.00326744-0.00313193j -0.0013405-0.0139311j 0.0101-0.00814839j -0.00935551-0.00696792j 0.00464759-0.00472539j -0.00677323+0.00405229j 0.00321037+0.00109134j -0.0116208+0.00262724j -0.00464827+9.13523e-05j 0.000414316+0.000797257j -0.00157385+0.00433567j 0.00214996+0.00429866j 0.0273837-0.000126961j -0.00502913+0.00129193j 
-0.00225826+0.000307682j -0.00523808-0.00215477j 0.00020148+0.00211328j -0.00391535-0.00283696j 0.0143353+0.00647993j -0.0282581-0.0126522j 0.022284+0.00608594j 0.0277603+0.0122131j -0.0406146-0.00693297j 0.0663921+0.0055416j 0.00340212-0.0169483j 0.0531531-0.0170809j 0.0467631-0.0251156j -0.0086341+0.0122641j 0.0107898-0.00265568j -0.0103782-0.0048017j -0.0111588+0.00507572j -0.000559001-0.00742871j -0.00400969+0.0013591j -0.0120941+0.00491023j 0.0146613-0.0252721j 0.00857662-0.0298529j 0.0028267-0.00738595j -0.0132377+0.0219428j 0.0113688-0.011092j -0.00748801+0.019838j 0.00276565-0.00781657j 0.00262797-0.0193258j 0.00135866-0.000813606j -0.00902048+0.0307154j 0.00469496+0.00287425j 0.00819488+0.0405404j 0.0136321+0.0148189j -0.0157063-0.0340747j 0.011791+0.0093751j 0.0130792+0.00606812j 0.00293734+0.00263813j -0.00975117+0.00332233j -0.000405327-0.00489829j 0.00280836-0.0024461j -0.000266331-0.00201833j -0.00689505+0.00202822j -0.00245266-0.00869047j -0.00122451-0.00338683j 0.00506543+0.00858874j 0.00654759+0.00236882j 0.0104392+0.0102761j 0.0279871+0.00979392j -0.000589727+0.00806382j 0.0130527-0.00204097j 0.00455361-0.00664156j 0.00490231-0.0183633j -0.00760992-0.00860254j -0.0055387+0.00325625j 0.00102212-0.00519507j -0.00663881+0.0129826j -0.00596117-0.00205675j -0.00378089+0.00153183j -0.00646553+0.00654143j 0.00539743-0.000821707j -0.00610625+0.0151536j -0.00156159-0.013622j -0.00292908+0.00275183j 0.00117471+0.00675229j -0.000401526+0.0132293j 0.0157444-0.0029287j 2.05062e-05-0.00830889j 0.000772448+0.0140684j 0.00420467+0.00562777j 0.00575706+0.00814213j -0.0132969+0.00694452j -0.00603542+0.00291698j 0.00217208+0.0153497j 0.00369287-0.00394176j 0.00270621+0.0160317j -0.00476474-0.00841735j 0.000678594+0.00901581j -0.0147543-0.00482284j 0.0172889-9.31437e-05j 0.0144306+0.0190086j -0.00222529+0.00512137j -0.000207473+0.00828609j -0.000881953+0.010608j -0.00505231+0.0070126j -0.0161665+0.00677512j 0.00567596-0.00362048j 0.0126888-0.00125085j 0.00724301+0.000173534j 0.0139977-0.00101049j 0.00891512-0.00221589j 0.000357898-0.001814j -0.00134974+2.76745e-05j 0.000746867+0.0011789j -0.0016612+0.00172735j 0.000882117+0.00211427j 0.0150057+0.000255625j -0.0114268+0.000182232j 
-0.00869643-0.00108034j -0.0113336-0.00597558j 0.0178018+0.0213562j -0.0212905-0.0126054j -0.0228971-0.0115571j 0.00256922-0.00493041j 0.0437034+0.0083254j 0.0730243-0.00840968j -0.0231665+0.00204835j -0.00745356-0.00387406j 0.0464512-0.0121665j -0.00144592+0.00506756j -0.00518769+0.0107721j 0.00730746+0.00217818j 0.0346487-0.0195144j -0.014498-0.018511j -0.0386782+0.00373455j 0.00828667-0.00465517j 0.0188772-0.0259283j -0.0057459+0.00897908j -0.00949938-0.000732137j -0.00694095+0.00284458j -0.00846678+0.031569j -0.0113101-0.0269891j 0.016072-0.0371102j -0.00752111-0.0176196j -0.0120537+0.0311204j -0.0151199-0.0359088j 0.00954285-0.00691214j -0.0156447+0.0146404j 0.00370315+0.0091995j -0.00738283-0.00938725j -0.000539085+0.0157738j -0.00285595+0.0105282j 0.0131759-0.0124223j 0.0277393+0.0223282j 0.0117361+0.0188906j -0.0266139+0.0048685j 0.00930576-0.00645093j 0.00396883-0.0109932j -0.00119735-0.00733292j -0.0266671-0.0193181j 0.0223647-0.0117887j -0.00721075+0.0112158j -0.00407415-0.00115356j 0.00591283-0.013748j 0.0013705+0.0103695j 0.00939582-0.00122644j 0.00192926+0.004876j 0.0169968+0.00676791j 0.00407463+0.00540456j -0.00406992+0.00304841j 0.00284487+0.000626357j 0.0147378-0.000476742j 0.00951187-0.0156299j -0.00166726+0.000844692j 0.00753583+0.00417981j -0.0167632-0.00312405j 0.00516854+0.0173057j -0.00849121+0.0222588j -0.00891034+0.00579369j -0.00330005+0.002836j 0.0201389-0.00448597j 0.0120636-0.00362008j 0.00113831-0.0219718j -0.00409386-0.0131707j 0.00440893+0.00121461j -0.0161474-0.00723475j 0.00594541+0.00290553j -0.00774862+0.0162788j -0.00243501+0.00275623j -0.000161873+0.00829392j 0.00663928-0.000423088j 0.014537+0.00269374j -0.000746797-0.0071919j -0.0069695-0.00531906j 0.00866362+0.00744603j -0.00108686-0.000962589j -0.0017318-0.00433213j -5.42021e-05+0.00505441j -0.01802+0.00251353j 0.00721763+0.00568914j 0.000852683-0.00450483j 0.00839263-0.00608194j -0.0105842-0.0131482j 0.00127166-0.00671351j -0.00651792-0.0128368j 0.0070237-0.00474939j -0.00579107+0.00644656j -0.0029037-0.00175335j -0.00884327+0.00412946j -0.00384695+0.00348811j 0.00451231+0.00339766j 0.000656228+0.00692994j 0.0110822+0.00117648j 0.0222778-0.000268807j -0.0371493+0.000366323j 
-0.00609465+0.0153567j 0.00147292-0.0126756j 0.00760021-0.000425421j 0.0357507+0.0215422j 0.0135657+0.00983812j 0.0146261+0.00555726j 0.00712378+0.00282508j -0.010533+0.0123348j 0.0223301-0.00485322j -0.011086-0.00502941j 0.00972112+0.00240245j 0.038685-0.00503858j -0.0182354+0.0104301j -0.059536+0.000143278j 0.0825475+0.00640241j -0.0409591-0.0134823j -0.0280255-0.00192359j -0.0184269+0.00356932j -0.021586+0.00191933j -0.0123445-0.00223331j -0.0107234-0.012791j -0.0183118+0.00388555j 0.0168575+0.0183043j -0.010121+0.00834899j 0.0173679+0.00367806j 0.00382169-0.00299062j -0.012469+0.0127398j -0.00396576+0.0308133j 0.00436431+0.028356j -0.0286743+0.00667141j 0.00253511+0.0350508j -0.00658387+0.00523454j -0.0280736-0.00295585j 0.00448399-0.00448449j 0.0807376-0.00832832j 0.117084+0.0495563j -0.0203322+0.00167564j -0.0634052-0.0524475j 0.0663837-0.0285334j 0.0334971+0.0130859j 0.00872212-0.0144693j -0.0373185-0.0252245j 0.0624796+0.000772649j -0.013654-0.00107193j -0.00210469-0.0139082j -0.0255939+0.00120308j -0.00131715+0.0302181j 0.0257913+0.00938521j 0.0226428+0.00795132j 0.0469676+0.0193724j -0.00652624+0.0123369j -0.00496141-0.00386599j 0.015202+0.0137747j -0.0149071+0.00648156j -0.0127326-0.00708719j -0.00261398+0.00130268j 0.0204302+0.00703026j -0.0223094-0.0078996j -0.0181106-0.00615933j -0.00646755-0.00684099j -0.016439+0.00652269j -0.00877189+0.0111335j 0.00310768+0.00422954j 0.0232022+0.0127623j 0.000143285-0.0060725j 0.0120026+0.00404957j -0.00378196-0.00965616j -0.0158955+0.0177345j 0.00745667-0.0203408j -0.00430395+0.00960517j -2.64112e-05+0.00271805j 0.0129245-0.00252186j -0.0149799-0.0189923j -0.00502243+0.00494375j 0.00170278+0.00707915j -0.00595097+0.00355058j 0.00886519-0.000587734j -0.00575224-0.00193651j 0.00394223-0.00319401j -0.00098966+0.0042943j -0.00345901-0.0109504j 0.024152-0.00715322j 0.00424888-0.00451912j 0.00684861-0.00101179j -0.0139788+0.00193746j 0.00736425+0.00459j 0.0149329-0.0102197j 0.00949384+0.00457817j -0.0115693+0.00662347j -0.0124772-0.0107525j 0.0163807+0.00214526j -0.000888402+0.0152504j 0.0182278+0.0203952j -0.0015719+0.00833073j 0.0259187-0.00338559j 0.0540172-0.00427556j -0.152646-0.005143j 
0.00772692-0.0170358j 0.00195133-0.021629j -0.0108668+0.0003338j -0.011084-0.00126535j -0.0153223+0.00471565j -0.00928472-0.00381624j -0.0423523-0.00822339j -0.0049356-0.00235318j 0.0339763+0.00523274j 0.0375116-0.00392825j 0.0297289+0.00196363j -0.0132221+0.0150912j -0.0304002-0.0037848j -0.0445566-0.0187478j -0.0199484-0.0179898j 0.0330858+0.0101556j -0.0333757-0.0162995j 0.0204666+0.011689j 0.00107906-0.0139377j 0.019099-0.0107804j 0.0139941-0.00461745j -0.014984-0.00406462j 0.0132228-0.00771497j -0.0036879+0.001351j 0.0232341+0.0164146j 0.0240261-0.00153167j 0.014291+0.00715928j -0.00481807-0.0192135j -0.0201553-0.00144769j 0.0223379+0.00370965j -0.0436773-0.00939722j 0.00233261+0.0108942j -0.0220431-0.0189766j 0.050802+0.0319506j 0.0637644+0.0534145j -0.0804276+0.0280132j 0.0264762-0.0147987j 0.0689012-0.0180307j 0.107854+0.0664516j -0.00922951+0.00312881j 0.0402571+0.0185441j 0.0547813-0.0133649j 0.0529483+0.0466538j 0.00258966+0.0100156j 0.0312447+0.00103324j -0.0120927-0.0125012j -0.048482-0.00892398j -0.0232579+0.0185236j -0.0157147-0.0110748j -0.0115572+0.0124219j -0.0182298-0.00988283j -0.0120885-0.0114952j -0.000684266+0.00343809j -0.0198405-0.00580988j -0.0163346+0.00255839j -0.0151292-0.00240045j -0.029977+0.00514883j -0.0124771-0.012599j 0.000154538-0.00933717j -0.015235-0.00342295j -0.0122514-0.00906434j -0.0172705+0.000527544j 0.00792363+0.00690561j -0.00680017+0.00229059j -0.00123812+0.00544429j 0.00857806+0.0180806j 0.00961235-0.000351177j -0.0128397-0.021921j 0.0122016+0.0137111j -0.00945865-0.00146259j 0.00430951+0.0146573j 0.00287218+0.00455669j -0.000202816-0.00373201j -0.00614746-0.00939993j 0.000311456+0.00984423j -0.0173164-0.00887635j -0.000376531+0.000732439j -0.00951221-0.00475018j 0.0078236+0.00271161j -0.00280283+0.00293663j 0.00278538-0.00598869j -0.0255441-0.00744753j 0.00780615-0.0058841j -0.00126294+0.00318158j -0.0185542-0.00508376j -0.00506992+0.0115485j -0.0111433-0.0117194j -0.00457774-0.0193501j -0.0115614-0.00497365j 0.00306671-0.00411718j 2.32825e-05+0.013664j 0.0173612+0.0314705j -0.00215827-0.00863709j 0.00734641-0.000733438j 0.0260375-0.0123985j -0.155165-0.0114014j -0.0586649+0.0054195j 
-0.00308715+0.0221744j -0.00749241-0.0116983j 0.024322+0.00632796j 0.0438473-0.00976501j 0.00230446-0.000296368j 0.00447761-0.00702404j 0.0339107+0.00164241j -0.00862471-0.0112346j -0.00208954-0.03147j 0.00266904-0.0172034j 0.00579584-0.0284384j -0.025501+0.0433155j 0.0199264+0.0776246j 0.0371813-0.0779526j -0.0993501-0.104507j 0.0105687-0.0224847j -0.0422977+0.0115093j -0.0224737-0.00884519j 0.00973699+0.00251327j 0.0116773-0.011146j -0.0163931-0.0108276j -0.00645406+0.0215436j 0.0121103+0.0108209j -0.00723023+0.00775278j 0.0147952+0.010569j -0.0143274-0.00528737j -0.0140024+0.0135134j -0.000735969-0.0228809j 0.0131714+0.00971811j -0.0353661-0.00724562j -0.00115188+0.0240477j -0.0156483+0.0102367j -0.0464223-0.0177845j -0.0634586-0.00407574j -0.028734-0.0462181j -0.0501024+0.00317249j 0.00555121+0.0429449j 0.0034635-0.0100551j 0.0263772+0.0282419j 0.0205447+0.0051684j 0.0058717-0.0249899j -0.0245504+0.00367862j -0.00335654-0.00888748j -0.00572357-0.00975691j -0.00547772+0.0179033j 0.0167975+0.00154105j 0.00135923+0.0120917j 0.0201441-0.0159844j -0.000214992-0.00469487j -0.0210461+0.00710293j -0.00499972+0.0140871j 0.0029757-0.00111471j 0.0174829+0.00644671j 0.0139892-0.000680146j 0.00295566-0.0192472j 0.00508753+0.0018734j -0.0132528+0.00691389j 0.0104355+0.000569443j 0.00723811-0.00864157j -0.00444526+0.000845082j -0.00800429-0.00146571j 0.00770567-0.00586305j -0.00561383-0.00986963j -0.0198566+0.00776056j 0.0195188+0.0002577j -0.00416005+0.0017045j 0.00065025-0.0248543j -0.000598608-0.0120627j 0.00189284-0.00384741j -0.013459+6.48127e-05j 0.00177305-0.00189768j -0.0242045+0.00128355j -0.00826765-0.0199119j 0.00366303-0.0193363j 0.016119+0.00592011j -0.0120425-0.00665836j -0.0229995-0.00749074j 0.00269864-0.00616842j 0.00369187+0.00232617j -0.0110724-0.00498512j 0.00529208+0.00882266j -0.00313137-0.0182005j 0.0100641-0.00938143j 0.000969658-0.0164416j -0.00805641+0.0120716j 0.00687368-0.0267731j -0.0240138+0.000148133j 0.00665764+0.00232638j -0.0136763-0.000363799j 0.00124378+0.0199879j -0.0104579-0.00423198j 0.00561528-0.00458551j -0.00245119-0.000931782j 0.001027+0.0111092j -0.071112+0.0115301j 0.00430847+0.00307139j 0.0225122+0.00207401j 
-0.00979918+0.00307524j -0.00848557-0.0175319j -0.00315757-0.00915619j 0.0378226-0.0127944j -0.00262177-0.00720584j -0.00192163-0.0591518j 0.000831046+0.04836j 0.00162259-0.0376573j 0.00488762+0.0422723j 0.00717318-0.0559584j 0.00789171+0.0821409j -0.0200398-0.0144121j 0.0237524+0.0238875j 0.0242545+0.0230006j -0.00186177-0.0500495j 0.00368352-0.0125176j -0.0325218-0.0122201j -0.00235913+0.00425507j -0.00101768-0.0157955j 0.0162278+0.00348969j -0.00671348-0.011969j -0.0179113+0.016177j 0.00850728+0.0040168j -0.0101932+0.00132867j 0.00797009+0.020893j -0.00540118-0.00759191j -0.0173997-0.00864423j 0.0109433-0.0154997j 0.00733025+0.000778515j -0.012663-0.00369267j -0.0117721+0.0172662j -0.0107468+0.00417271j -0.0214949-0.0222077j -0.0247516-0.0143657j 0.0163434-0.0114138j 0.0189769-0.010203j -0.0141266+0.0102515j -0.0159852-0.0128167j -0.00154595-0.00892672j 0.0147252+0.0119122j 0.0168127-0.0158754j -0.0223748-0.00813129j 0.014603+0.0053112j 0.00586734-0.0073363j -0.00837852+0.0262332j 0.0114931+0.0101348j -0.00464082+0.000390734j 0.011247+0.000310146j 0.0137588-0.00254388j -0.00197979+0.00291139j -0.00420409-0.00060205j 0.000322677+0.00172144j 0.00197535+0.0129272j -0.00128296+0.00897247j -0.00377155+0.00696558j -0.011759+0.00180382j 0.00126706-0.0143747j -0.00899694-0.0112953j 0.0102268+0.0171184j 0.0172031-0.0110715j 0.0190681+0.00110649j 0.00728273-0.00795084j 0.00159253+0.00698914j -0.01124-0.00135104j -0.00486364-0.00659143j -0.00966227-0.00580381j -0.0136202-0.00696154j -0.0243007-0.00394474j -0.00309159-0.00186953j -0.000604259+0.00378477j -0.0123904+0.00806934j 0.011233-0.000870902j -0.00656624+0.00763922j -0.00883747+0.000989294j 0.00417367+0.00103854j -0.00670404+0.0144808j 0.0118527-0.00457996j 0.0041293+0.00842915j 0.016912+0.00467484j -0.00479361+0.0128347j -0.00489072-0.0116423j -0.00656845+0.00182834j -0.00415295-0.0135279j -0.00290603-0.00412064j 0.00588227+0.00121891j -0.00012344-0.0238916j -0.00414751+0.00417444j 0.00591154+0.00151723j -0.00875533+0.011737j -0.00149066-0.00248165j 0.00444861+0.00847848j 0.003953-0.000162809j -0.000831391+0.00159486j -0.0186967+0.010732j -0.0185935+0.00097154j 0.0207319+0.00188129j -0.036265-0.00474976j 
-0.00251264-0.00250605j 0.00695087+0.00630532j -0.00553108-0.00159891j -0.0118685-0.00743865j 0.00441756-0.00433034j -0.00998799+0.00651185j -0.00757982+0.021333j 0.0140578-0.0472974j -0.00723587+0.0614016j 0.0200209+0.0395788j 0.0334684+0.00262549j -0.0331709+0.0646657j 0.0205562+0.0954851j -0.0187393-0.017531j -0.00556112+0.026144j 0.00672066-0.00136016j -0.00041636+0.0121312j 0.00996414+0.00982864j 0.00719497+0.000193784j 0.0138587+0.00515477j 0.00221431+0.00290697j 0.00417325+0.0125863j -0.000333716+0.0120894j 0.00891327+0.00194176j 0.00497234+0.000363684j -0.00614417+0.00666554j 0.00158973-0.0074291j -0.00759485-0.00317472j -0.00613994+0.00390439j 0.022813+0.0049917j -0.0195994-0.0104083j -0.00065532+0.00535655j -0.0141118-0.0172046j -0.0113673+0.00897847j 0.0068568-0.0105057j -0.0251525+0.0111408j 0.00630333-0.00191992j 0.0140054-0.00214608j 0.0291071+0.00658943j -0.00568167-0.000434499j 0.00523286+0.00338689j 0.0153505+0.00415003j 0.000614524+0.0109924j 0.00196465-0.00264955j 0.00823578+0.0130226j 0.00934382+0.000634763j -0.020626+0.00270847j -0.00620712-0.000103189j -0.0018833-0.00714741j -0.0065828-0.00859845j -0.0140935+0.0299303j 0.00528826-0.0107524j 0.0136497-0.00873725j -0.012521+0.00137357j -6.49978e-05+0.000695078j 0.0254009+0.0199088j -0.00214015+0.00691091j -0.00219489-0.00115185j 0.0120389+0.0115632j 0.00721197+0.00126077j -0.00605611+0.00488542j -0.0038894-0.0055459j 0.0120589-0.00219892j 0.00757216-0.0136657j -0.0111355-0.00615068j -0.00296966+0.00733027j -0.0174399+0.00639693j 0.0122983+0.0126469j 0.0117758-0.00333129j -0.0181945+0.0117877j -0.00997472-0.0111898j 0.00593719-0.0194519j 0.00593817+0.00170084j -0.0164495-0.0111977j -0.00950954-0.00122774j 0.0142069-0.00294145j 0.00560937-0.00595219j -0.00886619+0.00477263j -0.0131971+0.0236381j -0.00978067-0.00449825j -0.00774226-0.010559j -0.0121734+0.00973984j -0.0150262+0.012428j 0.0142596+0.0108953j 0.000350232-0.013516j 0.00220961+0.000538725j -0.00782735-0.000512276j -0.0069762-0.00307368j -0.00928859-0.02499j 0.0199797-0.00872804j 0.00755119+0.0111326j 0.00253148-0.00130556j -0.00352605-0.000423122j 0.00254538+0.00103893j -0.00332196+0.00258652j -0.044982-0.00448459j 0.00410667+0.00108451j 
-0.00463393-3.90253e-05j -0.00228355-0.00521725j -0.000516438-0.00811103j 0.0135415-0.00646391j -0.0263738+0.0159194j -0.00490363-0.048619j -0.00709078+0.00780438j -0.0204889-0.00807088j -0.0153672-0.0118255j -0.0213224+0.116915j -0.0301788-0.0735772j -0.00461448-0.0322058j -0.000806472-0.0219881j 0.00937966+0.0222549j -0.0141011-0.0324265j 0.00130404+0.0040449j -0.014224+0.00151042j 0.000489272-0.00499698j -0.0105883-0.00731238j -0.00826776-0.00631574j 0.00629925+0.00467828j 0.00256234-0.0126886j 0.00425466+0.000785153j 0.00131412+0.00572666j 0.0157328+0.0114807j 0.00905317-0.00522746j 0.000785049+0.0104107j -0.00399177-0.000897085j -0.00627868-0.000822321j -0.0168241-0.0124322j 0.00487356-0.00187352j -0.0043095-0.00420011j -0.0085127+0.0130422j 0.00325248-0.00285067j 0.0126225-0.00331765j 0.0184079+0.000265462j -6.744e-05+0.00529525j -0.0132295-0.00640538j 0.0148195-0.00279086j 0.0070371+0.00288567j 0.00811435-0.00669957j -0.00846752-0.00891428j 0.0176937+0.0032773j 0.00025781+0.00386878j 0.0113431-0.0161015j -0.00708253-0.00495145j 0.0127211-0.0216886j 0.00231069-0.00712265j -0.00458332-0.0128149j 0.00918944-0.00212506j -0.00287029+0.00398331j 0.0189661+0.00755568j -0.00286757-0.0182253j 0.00956932-0.00449286j -0.00540165-0.00784161j 0.00634971-0.000844995j -0.00287623-0.000254973j 0.00883099-0.000591686j -0.00817669-0.00283428j 0.00913071-0.00520194j 0.00434766-0.0163696j 0.00168006-0.00557909j 0.0250967-0.00176328j -0.00159024-0.0114734j -0.00217798-0.0158059j 0.0162922+0.0188397j -0.0272361-0.00516062j 0.00626722+0.0029576j 0.00970117+0.000694544j -0.00810915+0.0143543j -6.871e-05+0.000720403j 0.00594104-0.00956859j 0.00806688-0.00421111j 0.00412126-0.00408488j -0.0243965+0.0105684j -0.00299463+0.00539628j -0.00517694+0.00257619j -0.0161074+0.00892745j 0.00221987-0.00634669j 7.07813e-05-0.0192263j -0.00254821-0.0213276j -0.0029743+0.00895864j 0.0198151+0.00722878j 0.0111432+0.0151475j -0.013999+0.00280506j 0.00420933+0.00622838j -0.00193145+0.00440954j 0.00223958+0.0034754j -0.00241998+0.012151j -0.0146894+0.000828108j -0.00345801-0.00454408j 0.00314738+0.00100294j -0.000116668-0.000264136j 0.00257696+0.00215648j -0.00218713+0.00140708j 0.00210422-0.00159413j -0.0321391-0.00354217j 
