-0.00368367-0.00618984j -0.00352886+0.000524822j 0.00783313+0.00355895j 0.0137239+0.00349562j 0.0112031+0.00320241j -0.0122638-0.00282529j 0.000651028+0.00923447j 0.0106636-0.0160176j 0.011612-0.00834171j 0.0132521-0.00376388j -0.00119222-0.0167131j -0.0224365+0.00644314j 0.0229149-0.00890519j 0.00948487-0.0130648j 0.0165308-0.0127606j -0.0419163+0.000517723j 0.000133814-0.00564467j 0.0284057-0.0259373j 0.0118885+0.0102689j -0.0107071-0.022399j -0.0031127-0.000454932j -0.0154256+0.00299453j -0.0246798+0.0336519j -0.0190767-0.0447666j 0.0358079+0.00442515j -0.0476778+0.0188465j 0.011053+0.00744333j -0.0826523-0.000268215j 0.0299333-0.0355599j -0.0822909-0.00706297j 0.0813712-0.183627j 0.18474+0.0354957j 0.151327+0.0397368j 0.057951-0.110421j 0.0270469-0.0288275j 0.0219404-0.0174785j -0.0671247+0.0292915j 0.0640932+0.0340454j -0.00252772-0.00469901j -0.00322099+0.0106458j 0.0207703+0.0314024j 0.0199379-0.015357j 0.00413202+0.0188212j -0.0229012+0.00189672j 0.0214736-0.017072j -0.00986151-0.0114801j 0.018632+0.00602357j 0.0366803-0.00980902j 0.00567636+0.00163098j -0.0027467+0.0181683j 0.0241537-0.0063535j 0.0309914-0.00491262j -0.00768967+0.00567598j -0.00974156-0.0206869j 0.00249358+0.00741119j -0.0252618+0.0032603j -0.00457789-0.00617051j 0.00668552+0.0044432j 0.00628996-0.00331684j 0.000711971-0.00885446j 0.0132825-0.00434981j -0.0151768+0.00574282j 0.0151511+0.00546134j 0.0120836+0.000395507j 0.00449031-0.000252465j 0.0155447-0.00906278j 0.0026625+0.00267605j -0.00919718+0.010712j 0.00773656-0.0232287j -0.0603789-0.0170679j 0.14851+0.0405846j 0.178202-0.0609718j 
0.00324176-0.00155132j -0.00460733-0.00740198j 0.0100611+0.00152243j -0.00699156-0.00224036j 0.00651293-0.00336595j -0.0229954+0.0143393j 0.00579207-0.00324304j -0.0285539-0.000861041j -0.0122513-0.00994573j -0.00744405-0.00834363j -0.0213293+0.0110588j 0.00576272+0.0153448j -0.00103044-0.0168015j -0.00782194-0.0041665j -0.00985539-0.012274j -0.022542+0.0290509j -0.00817099-0.00410212j -0.0146051-0.019486j 0.0244283-0.00658944j -0.0283837+0.0099018j 0.0041935+0.00119296j 0.00215407+0.0110162j 0.0483483+0.00889182j -0.0600253+0.0352552j -0.00347224-0.0314133j -0.00828539+0.0544443j 0.0587691+0.0191902j -0.0173631+0.0375528j -0.00499446+0.00870994j -0.0231481+0.036614j -0.222791-0.0372882j 0.0582449-0.166492j 0.081767-0.115834j -0.146613-0.0290086j -0.0266709-0.0116814j -0.00713998-0.0134104j 0.0350616+0.0495448j 0.0618123-0.0411271j 0.00121667+0.0132247j 0.00841552-0.00012634j 0.0373624-0.0232232j -0.0280934-0.0166162j 0.0273346-0.00611017j -0.00150663+0.0124213j -0.022596-0.00323563j -0.0168281+0.00779135j 0.00939833-0.00661835j -0.00869942-0.0200633j -0.00588813-0.00164231j 0.0340042+0.00379981j -0.0106847-0.0174054j -0.0104537-0.0163176j 0.0169535+0.00386617j -0.0243841+0.00378014j 0.00495367+0.00218784j 0.00432232+0.0220502j -0.00496117+0.00404242j 0.0159537-0.00686699j -0.00641897+0.000995549j -0.014205+0.00356319j -0.00574827-0.00133461j -0.0262518+0.00175847j 0.00195709+0.00219118j -0.00827319+0.00545097j 0.014259-0.00135101j -0.000551054-0.00145607j 0.0222845-0.0151306j 0.0015466-0.00384481j 0.048018+0.0219865j 0.0090285-0.0340554j 0.17636-0.0597827j -0.151465-0.0387764j 
-0.00219327-0.00428472j 0.00369398+0.00758526j -0.00710476+0.00407109j 0.00420673+0.00156695j 0.00283178+0.00664657j 4.32536e-05-0.0231991j -0.00248172-0.00152981j 0.0056473-0.0130802j -0.000498037+0.00373513j 0.00422783-0.00370905j -0.00831795-0.0159376j 0.00749388-0.00631543j -0.0199567+0.0087479j -0.00273616-0.00376058j 0.00638048+0.00533815j 0.0165343-0.00733209j -0.000544582+0.00848534j 0.00772194+0.00176276j -0.00808128-0.00290758j -0.0190315-0.00342695j 0.0178313-0.0067736j -0.010122+0.0028707j -0.0186833-0.00482139j 0.0641292-0.0195348j 0.046365+0.0109901j -0.0352113+0.0123968j -0.0281532-0.0199452j -0.0157416-0.0286777j -0.101464-0.00720996j -0.0131777-0.0935987j -0.0366194-0.00113304j 0.00775558-0.0417497j -0.0110561+0.00678441j 0.0017203+0.0090302j -0.00784092-0.00443569j -0.00513719-0.0128063j -0.00334752-0.0129988j -0.0137153+0.000287812j -0.00689573+0.00171906j 0.00761123-0.00343748j 0.00840243+0.00947463j 0.0147904+0.0154608j -0.000440201+0.0132696j 0.00182965-0.00348391j -0.0199155-0.0147416j -0.0029327-0.0093048j -0.00684086+0.00503383j -0.00139313+0.00513384j -0.00559367-0.0132071j -0.000348764+0.0268938j 0.00291929+0.00750248j -0.00373876-0.0137367j -0.00981476-0.00742978j -0.0078992-0.0171208j 0.00919357+0.0225936j 0.00536976+0.000867605j 0.00257705+0.0129541j 0.00268313+0.0170972j 0.00236182-0.00622321j 0.00559977-0.0245245j 0.00741196-0.0101317j -0.00363194+0.0385955j 0.00761314+0.000471406j -0.00265853+0.0215369j -0.011234-0.00549765j 0.0191004-0.00990109j -0.00172602-0.0240155j 0.0228047-0.0136925j -0.00191744-0.0246687j 0.046864+0.000153138j -0.0138522-0.00166535j -0.0437173+0.0125623j 
-0.00430086-0.00593943j 0.00142433+0.00242924j -0.00149898+0.00776281j 0.00458197-0.0145702j -0.00286523-0.00480017j 0.00433398-0.0139288j 0.00236866+0.00721216j 0.002767-0.0141939j 0.0224231+0.00229218j -0.0285428+0.00510052j 0.00657458-0.017864j -0.0295343-0.00468875j 0.00866603-0.00253301j -0.021186-0.0040906j -0.0166292-0.00870743j -0.00554921-0.00108589j 0.0183861-0.00185388j 0.0105923-0.0211056j 0.0075719+0.00311912j -0.00216709-0.0148447j -0.0720747-0.00819903j 0.0329163-0.0118817j -0.018486-0.00301024j -0.00936651-0.0174059j 0.027178+0.0125712j -4.95798e-06+0.0391354j -0.0173401+0.00315579j 0.0219774-0.0142593j -0.0479236+0.0446448j -0.053885-0.0536847j 0.00835432+0.0067174j -0.0309392-0.0225155j -0.0130935+0.0119022j 0.0233972-8.49386e-05j -0.0129168-0.0102361j -0.0175943-0.0306197j -0.00685064+0.00811569j -0.0187628-0.00189932j 0.000780544+0.00907143j -0.000176934-0.0153921j 0.00783593+0.00242559j 0.0128269-0.0183113j -0.00322174-0.0123078j 0.000667993+0.00352565j -0.00444968-0.00306627j 0.00385739-0.0101938j 0.00283766+0.00185658j -0.000848757-0.00140033j 0.00379838+0.0316118j 0.00419463-0.00902139j 7.59655e-05-0.00552045j -0.00632599+0.00215219j -0.00236853+0.0101693j 0.00485801-0.0261711j 0.00981188-0.0149669j 0.00775417+0.0381406j 0.00529756-0.00544289j -0.00285267-0.000429235j 0.0117765+0.00575801j 0.0030436+0.0122074j 0.00759008+0.0040528j -0.00202151-0.00404655j -0.00636016+0.0180991j 0.000595174+0.013631j -0.000931695-0.0247439j 0.0164777+0.0110431j -0.00011754-0.0038637j 0.0159857+0.00388358j -0.0209391-0.0252784j 0.0216467-0.00861321j -0.0444956+0.0115744j 0.0275541+0.000556155j 
-0.00145811+0.00154208j 0.00187017+0.00608511j -0.00434209-0.00159467j 0.00160939-0.00882684j 0.0019857-0.000989653j 0.00153244-0.000126417j -0.00361946-0.00368874j 0.0093409+0.000344373j -0.000439494+0.00724146j 0.00472445+0.00189579j -0.00597416-0.00678309j -0.0278042+0.00668708j 0.0119849-0.00370327j -0.0171041+0.0039341j 0.0166541-0.00590142j -0.0158658-0.012289j 0.00163174+0.00676674j -0.0221724-0.00517945j -0.011218+0.00619486j 0.00861098-0.012843j 0.0192912-0.00596161j 0.000201393+0.0115166j 0.0521978-0.00861142j 0.00762186+0.00886586j 0.0112086-0.00599115j -0.00688307+0.0306748j -0.0751364-0.0120506j -0.0153248-0.036326j -0.0233392+0.00852028j -0.0169358-0.0443747j 0.0264114+0.00388096j 0.0322565-0.0125598j 0.0110936-0.00437384j 0.0165162+0.00989995j -0.00325128+0.00115813j -0.00700347-0.0147437j -0.0107476+0.000835927j -0.00277344-0.0136058j -0.00574776+0.00852169j 0.00320017+0.00337657j 0.00631847-0.0135449j 0.0202479+0.0214579j -0.00681557-0.0196838j -0.0163588-0.0230931j -0.00415639+0.0157037j -0.00451361-0.0121867j -0.00786678-0.00864819j 3.5657e-05+0.00638603j 0.00135222+0.00818666j -0.00256636-0.00484696j 0.00316488-0.0062855j -0.0117178+0.00256385j -0.00118461-0.0279401j 0.0131542+0.0182892j -0.00479753+0.0139573j -0.00203475+0.00274233j 0.00363094+0.0112592j -0.00479449+0.0339433j -0.00178209+0.0183107j 0.00552497-0.0232138j -0.0032368-0.00903515j 0.00599517-0.0243137j 0.00959532-0.0230294j 0.00617336-0.0155409j -0.00178314+0.0118868j 0.0152874-0.0171137j -0.000338286-0.000150099j 0.00843863+0.0233147j 0.00487559-0.0180161j 0.0108795+0.000603782j 0.060531-0.0120567j 0.0370405-0.0101306j 
-0.00212829-0.00426605j 0.000807791+0.00755247j 0.00184994-0.00287064j 0.000501851+0.00682522j -0.00270492+0.00405894j -0.00743663-0.00936938j 0.00940323-0.00632599j -0.00909159+0.00918738j 0.0200915+0.0103834j -0.0127125+0.00208648j -0.00683487+0.00478302j 0.000173682+0.000672213j 0.00309826+0.0105956j -0.00621959+0.0154585j -0.0238642+0.00418964j 0.011758+0.000256067j -0.01604-0.00348098j 0.050573-0.00525403j 0.01333+0.0070009j -0.00687383-0.0149971j 0.0134289-0.0119501j 0.00858903-0.00178516j 0.024294+0.00854687j -0.0111737+0.00215392j 0.0337369+0.0236352j 0.0515144+0.0236254j -0.0416303-0.00464554j -0.0145546+0.0032019j -0.0235855-0.00460233j 0.0228865-0.00114514j -0.0324423+0.00194697j 0.0554113+0.012808j 0.0210736+0.00875013j -0.0203899+0.0112351j -0.0124738-0.00545594j -0.00694132-0.00720922j -0.0074982-0.0175019j 0.0134301+0.0159008j -0.00419073+0.0128706j 0.00768932-0.0088137j 0.0111902+0.00912749j 0.0125906+0.0206975j 0.00344794-0.000112335j 0.000456062-0.0110453j -0.00191688-0.0120141j -0.0053708-0.00280938j 0.00863636+0.0262633j -0.00584944+0.0133868j 0.00749818+0.0180291j -0.0099132-0.0273878j 0.0113756+0.0193488j -0.00142785-0.000936123j -0.00232898+0.00604912j 0.00102188-0.00360031j 0.00382862-0.0399532j -0.00184926-0.00589068j 0.00127018-0.00200514j -0.00290298+0.00833273j -0.00342031-0.0142675j -0.0114003+0.00609778j 0.00285499-0.0103712j 0.00325371-0.000141493j 0.00792678-0.00318356j 0.00303788-0.0378586j 0.00893699-0.000925554j -0.000198444-0.0124149j -0.00377583-0.00335624j -0.0131841+0.0176406j 0.00563856+0.000779543j 0.0146677+0.0045168j 0.0608026-0.0145965j -0.077645+0.0141563j 
0.000834221-0.00147721j -0.00061492+0.000307798j 0.00651705+0.000406454j -0.0031331+0.0154281j -0.00247232+0.00626035j -0.000900442-0.00406315j -0.00515192-0.005844j -0.0113386+0.000735244j 0.021737+0.00492563j -0.0160559-0.00602228j 0.00859368-0.0055114j -0.00862933-0.00288757j -0.000951872+0.000478301j -0.0140937+0.00699523j 0.0115624-0.00232274j 0.0148052+0.00428983j 0.0280601-0.0039426j -0.00355907+0.00034883j 0.0762693-0.0036438j 0.0146722+0.00388338j -0.0322357-0.00195396j -0.0300512+0.0142129j 0.0126431-0.00117346j 0.0135719-0.0100586j -0.0448965-0.0280342j -0.0106617-0.0145803j 0.00782456-0.0186018j -0.00771435+0.00718488j -0.00856882-0.025351j 0.0315555+0.0117218j -0.0239795+0.00296431j 0.00619414+0.00930029j 0.00937819+0.0114932j -0.0196137-0.00925235j -0.00168563-0.0147892j 0.0154149+0.0121012j 0.00614558-0.00544825j 0.00629525+9.93736e-05j -0.00488905-0.0123355j 0.00067238-0.0276565j 0.00202168+0.0149084j -0.00668108-0.0115678j 0.0017375-0.0116278j -0.00542112-0.0165434j -0.00221802-0.0100675j -0.00116578-0.0220466j -0.00763957-0.0429594j -0.00767469-0.00113263j -0.00385072+0.0190159j -0.00474509+0.00574656j -0.00129555+0.00485161j 0.00912442+0.0332652j 0.0111483-0.00929282j -0.0034801+0.0150295j 0.00229068+0.0327178j -0.00275318+0.00395795j -0.00416266-0.0088857j -0.00271691+0.0191581j -0.00141447-0.0172883j 0.00752024-0.0228785j -0.00668018+0.0202582j -0.00377473+0.0118366j 0.0162174-0.030776j -0.009728+0.00218568j 0.00394809+0.0016981j -0.00176082-0.00578129j -0.003865+0.006031j -0.00774585-0.0149969j 0.00592857+0.00890071j 0.00405705+0.00574092j -0.00338731+0.000190365j -0.0499425+0.00988019j 
0.00272747+0.00360862j -0.000153857-0.00201133j 0.00749435-0.000615226j -0.00463648+0.017514j -0.00347333+0.00603371j 0.00320493-0.00143946j -0.00361989-0.00486865j -0.00971876-0.000977508j 0.0356455-0.000831948j -0.0374284-0.00459815j 0.0267853-0.00776757j -0.0227937-0.00294585j 0.0164144-0.00783991j -0.0129759-0.000518627j -0.0263232+0.0070103j -0.0266669+0.0102945j -0.0131277+0.000198882j -0.0220424+0.00534095j -0.0656188-0.00330324j -0.0505252+0.000572546j 0.069031-0.00523491j 0.0120503+0.0196764j 0.0218228+0.0129545j 0.0524403+0.0200472j -0.000506668+0.00191825j -0.0250136-0.0316271j 0.0303179+0.00203658j -0.0118001+0.00783847j 0.00523905-0.0314383j 0.028452+0.0146504j -0.00486416+0.00415449j -0.0149154+0.00149375j 0.00204422+0.00704774j -0.0103575-0.0142184j 0.00307213-0.0163603j 0.0177195+0.0121311j 0.00236366-0.000197498j 0.00626594+4.9133e-05j -0.00758446-0.0107936j 0.0148594+0.00335748j -0.0141904-0.00694319j -0.0111444-0.00951694j -0.00977428-0.0366514j -0.000551843-0.00741581j -0.00216146-0.0259696j 0.000459695+0.000168388j 0.00816548-0.00370208j -0.0098516+0.0194422j 0.000163609+0.00528282j 0.00145373-0.00799039j -0.00402322-0.0158971j -0.00654435-0.0177003j -0.000331419-0.027008j -0.00398111-0.0268441j -0.0030425-0.000740191j -0.00160055-0.0129764j -0.00127788+0.02565j 0.0119063-0.00635639j -0.0111409+0.00972918j 0.000129572-0.00262397j 0.00998113-0.0141486j -0.000398118-0.0104671j 0.00543495-0.00379909j 0.00653656-0.00544139j -0.00549718+0.0114974j -0.00715863-0.00401591j 0.00141766-0.00155037j -0.0018527-0.0195458j 0.00818418+0.00946097j -0.00503211+0.00618402j -0.018641+0.00362312j -0.00928705+0.000982469j 
0.00188572-0.00663022j -0.00416526-0.0113802j 0.00146923+0.00712773j -0.00527795-0.000928495j -0.000558435-0.00254103j 0.0027003-0.0109989j 0.00860313+0.000291453j -0.0150962+0.00903305j -0.00569414-0.000990123j -0.0114299+0.00973951j -0.0156386+0.0111147j -0.00477616+0.00529942j -0.00602266-0.00859704j 0.00105367-0.00719497j 0.0241823-0.0187392j -0.0279531+0.0051299j -0.0327058-0.00561866j -0.0241868-0.00853326j -0.0422062+0.00866565j 0.0132258-0.00368458j -0.000628279+0.0136896j -0.00131226-0.00830002j 0.0221816-0.00777644j 0.018088+0.0124865j -0.00796722-0.00474779j 0.0554073+0.0364787j -0.0137003-0.00252659j -0.00862563-0.00529498j -0.00331281+0.0102713j -0.00236903+0.0257656j -0.0377379-0.0161839j -0.026367+0.022822j -0.018378+0.00598742j -0.0275226-0.0126605j -0.0103491+0.00284825j -0.0218889-0.022633j 0.0132571+0.018608j 0.0129995+0.0251235j -0.00758743-0.00931996j 0.00452477+0.0225868j 0.00656525+0.0072101j -0.00339466-0.0117563j 0.00313794+0.00817794j -0.00518413-0.00562901j 0.0109658+0.0203297j -0.0051343-0.0116341j -0.00037292-0.00347731j 0.0052671+0.00811584j 0.00210062-0.0077151j -0.00120478-0.00472899j -0.00579448-0.00514955j -0.00990314+0.00104724j -0.00862316-0.00043868j -0.000595571-0.0229613j 0.00580947+0.0132383j 0.00343813-0.000596432j -0.00682142-0.020193j -0.00428646+0.00511153j -0.0121968+0.0299526j -0.00227499-0.0101436j -0.00108341+0.00537105j 0.00294447+0.0183539j 0.0037753+0.0167409j -0.0141431+0.00389741j 0.012229-0.00856932j 0.0104538-0.020209j 0.0102888+0.00299935j -0.00937244-0.000356708j -0.0182003+0.00940711j -0.0014546-0.00493848j -0.0735221+0.0174761j -0.0581742+0.0116809j 
0.00252451-0.000564021j -0.00195995-0.00869987j 0.0012848+0.00403302j -0.00408098+0.00229766j 0.000757716-0.00219899j -0.000596516+0.00284837j -0.00691547+0.00737951j -0.00301928+0.00252033j -0.0181829+0.00686044j 0.0122121-0.00938736j -0.00748344+0.00829715j -0.0291616+0.015688j -0.00502191-0.0051438j 0.0106105-0.00429197j -0.0117297+0.00364708j 0.0144063-0.00443582j 0.0401312-0.00104207j -0.0126131-0.0116012j 0.056433+0.00363496j 0.0202688+0.0252772j 0.018664-0.00717387j 0.0522675+0.00901264j 0.00977405+0.0115821j 0.0262394+0.0126915j 0.0363863+0.0191791j 0.0193698+0.00165788j 0.014699+0.0110062j -0.0011172+0.00428693j 0.00874707+0.0036488j -0.00235467+0.0181748j -0.0076696-0.00731121j -0.0246153+0.00924629j -0.0100191+5.41658e-05j -0.0111543-0.0133138j 0.00198765+0.00140797j 0.00101577+0.00820105j 0.0159355+0.0196218j 0.00812293+0.00122658j 0.010728-0.00170922j -0.00555323-0.0151685j 0.00732982+0.0208378j 0.00880398+0.012418j -0.0152515-0.0267722j 0.00742378+0.00543779j -0.000789498+0.0118639j 0.00575625-0.00861907j 0.00276261+0.01717j -0.00620489-0.0194463j -0.00480792-0.0127514j 0.00444724+0.0195416j -0.00305007-0.00252947j 0.000840408+0.024849j 0.00332278-0.0230046j -0.00617018+0.0109562j -0.00414082+0.0105493j 0.00168586+0.0130348j -0.00187497+0.0116287j -0.0123109+0.0311945j -0.00240072-0.0135473j -0.0134518+0.0133375j 0.00784897-0.020617j -0.004961+0.0046512j -0.00298674+0.015302j 0.0062965-0.0157973j 0.000929734+0.000102204j -0.00167621-0.000764881j 0.00646907-0.00315209j -0.00369238-0.00467668j -0.00620779+0.00633807j -0.00793266-0.000998228j -0.0438007+0.0096667j -0.00931428+0.0011661j 
0.00874395+0.0165933j 5.7462e-05-0.0185941j 0.00211527+0.00304687j -0.00480766+0.00337564j -0.00389444-0.000396028j -0.00827526+0.0164604j 0.00790534-0.017424j 0.00629428+0.0147187j -0.00519441+0.00818271j 0.0250233-0.0131544j 0.00239948+0.011358j 0.0303858+0.00577609j 0.0129238-0.00943786j -0.00712157+0.0157715j -0.0153581+0.0103784j 0.0348316+0.0182082j 0.00320462-0.00795951j 0.0304783+0.00355326j 0.0115245-0.00196892j -0.00713552+0.0009276j -0.0199722-0.00727773j 0.0221616+0.0166135j 0.0461114+0.00266783j 0.0347036+0.0228133j -0.0200757-0.0209098j -0.00764698+0.00728233j 0.00146146+0.00134512j -0.0253425-0.0162449j 0.0392688-0.0152498j 0.000590287+0.0401231j 0.0269181-0.0128884j -0.0548429+0.00951217j -0.0262167-0.02688j -0.0155202-0.0218029j 0.000179631-0.00571892j 0.012115+0.00859128j 0.00325394+0.00110864j -0.00838276+0.00115011j 0.0154213+0.0353425j -0.00985076-0.000944522j -0.0199197-0.0208036j 0.000100054+0.0146108j 0.00635441+0.0167296j -0.00551406-0.0164327j 0.000245019-0.00493376j 0.00740341+0.0022403j -0.00277975+0.0164575j -0.00566144+0.00304326j -0.00139805+0.0196085j 0.00582016+0.00192877j -0.00172084+0.00466758j -0.00555908-0.0220659j 0.00846458+0.00551691j -0.0149047+0.0151553j 0.0103299-0.0148033j 0.0133862+0.0252686j 0.00541045+0.0163729j 0.00599247+0.00281924j -0.00166345-0.00698797j -0.00159687-0.00449963j -0.0047758+0.00884568j 0.00390375-0.00753516j 0.00792988-0.00669802j -0.00190515-0.0033161j 0.00195304+0.00519894j 0.0010411-0.0229026j 0.0134365+0.00702469j -0.0030816-0.0135818j 0.000198436+0.0123257j -0.0307361+0.0025534j -0.0686944+0.0136321j 0.0548416-0.01407j 
