-0.00837262-0j 0.142405-0j -0.00012334-0j -0.00728015-0j -0.00121336-0j 0.143722-0j 0.0145928-0j -8.93723e-06-0j -0.00457553-0j -0.00462295-0j -0.000738374-0j -0.000746025-0j 0.0580054-0j -8.70182e-05-0j 0.0586066-0j 0.0145767-0j -8.79199e-05-0j 0.000854501-0j 0.0147278-0j -4.05372e-07-0j 0.000863356-0j -4.09573e-07-0j -0.00338904-0j -0.00419372-0j -0.00244634-0j -0.000535854-0j -0.000663086-0j 0.0407591-0j -0.0003868-0j -0.00028242-0j -6.11457e-05-0j 0.0504369-0j 0.00679319-0j -0.000349477-0j -7.5664e-05-0j 0.0294215-0j 0.00725519-0j -0.000203862-0j -5.88375e-06-0j -4.41373e-05-0j 0.00120712-0j 0.00840614-0j 0.00897784-0j 5.00366e-05-0j 0.00490358-0j -7.28077e-06-0j 0.00149373-0j 0.00523707-0j -1.93813e-08-0j -4.24712e-06-0j 0.000871344-0j 6.19171e-05-0j 3.61183e-05-0j -2.39831e-08-0j -1.39902e-08-0j 
0.00120848-0j -0.0204243-0j 0.244074-0j 0.0010508-0j -0.0167436-0j 0.000107247-0j 0.0979446-0j 0.0356192-0j 0.000660421-0j 0.000667265-0j -0.0101891-0j -0.0102947-0j 8.70182e-05-0j 0.0561942-0j 8.79199e-05-0j -0.00103992-0j 0.0567765-0j 0.0175748-0j -0.0010507-0j 0.00270205-0j 0.017757-0j 0.00273005-0j 0.000489166-0j 0.000605312-0j 0.000353099-0j -0.00739447-0j -0.00915019-0j 6.11457e-05-0j -0.00533761-0j 4.07638e-05-0j 0.0394864-0j 7.5664e-05-0j -0.000974307-0j 5.04427e-05-0j 0.0488619-0j 4.41373e-05-0j 3.60305e-06-0j 2.94249e-05-0j 0.0116432-0j 0.0285028-0j 0.00403006-0j -0.00120564-0j 4.45854e-06-0j 0.00207267-0j -0.000703292-0j 0.0144077-0j 0.00498695-0j 2.60082e-06-0j 0.000194186-0j 0.00840448-0j 0.00290905-0j 0.0025648-0j 0.00149613-0j 0.000240293-0j 0.000140171-0j 
-1.00033-0j 0.00121336-0j 0.000101113-0j 8.49504e-05-0j -0.00206345-0j 8.67021e-06-0j 1.7698e-06-0j 1.04286e-07-0j 0.00375098-0j -0.00368196-0j 0.000605312-0j -0.000594174-0j -0.0720299-0j -0.0103966-0j 0.0707045-0j 6.17794e-05-0j 0.0102053-0j 7.28077e-06-0j -6.06427e-05-0j 3.3232e-07-0j -7.14681e-06-0j -3.26206e-07-0j 0.0027783-0j 4.89356e-05-0j -0.00392534-0j 0.000439289-0j 7.73739e-06-0j 0.000347288-0j -0.00062065-0j -0.0677166-0j 5.01267e-05-0j 6.11695e-06-0j -0.00843563-0j -0.00119272-0j 8.82905e-07-0j -0.000490667-0j 2.04641e-05-0j 0.0956736-0j -0.000702969-0j -7.08217e-05-0j 5.11604e-06-0j -0.000148581-0j 3.60445e-07-0j 4.26336e-07-0j 0.0119183-0j -1.23817e-05-0j 9.01111e-08-0j -2.89128e-05-0j 1.58886e-08-0j 0.000993192-0j -7.22821e-06-0j 7.50926e-09-0j -6.02351e-07-0j 2.79854e-10-0j -2.24483e-08-0j 
-0.00121336-0j -0.976196-0j 0.00257227-0j -1.50172e-05-0j 0.000118392-0j 0.000296465-0j -0.00287785-0j 3.54347e-06-0j -0.000663086-0j 0.000650885-0j 0.00506161-0j -0.00496848-0j 0.00840614-0j 0.00120564-0j -0.00825147-0j -0.0999246-0j -0.00118346-0j -0.0178207-0j 0.098086-0j 1.41293e-05-0j 0.0174928-0j -1.38693e-05-0j -0.000491139-0j -8.65067e-06-0j 0.000693908-0j 0.00367332-0j 6.47e-05-0j 0.00590681-0j -0.00518987-0j -4.09283e-05-0j 0.000847179-0j 0.000104039-0j -0.0465679-0j -7.20889e-07-0j 1.49218e-05-0j -0.00834545-0j 0.00105142-0j 5.78256e-05-0j 0.000122706-0j -0.00119694-0j -0.0167247-0j -0.000820221-0j 1.85192e-05-0j -0.00139377-0j 0.0657935-0j 2.16128e-06-0j -0.00029458-0j -0.0014855-0j 8.11206e-07-0j -0.000173366-0j 0.0236296-0j -2.45492e-05-0j 0.0019692-0j 1.42882e-08-0j -1.14611e-06-0j 
0.000101113-0j -0.00257227-0j -0.945285-0j 1.25144e-06-0j -3.00152e-05-0j 1.27724e-07-0j 0.000357442-0j -0.00402706-0j 5.52572e-05-0j -5.42405e-05-0j -0.00128324-0j 0.00125963-0j 7.28077e-06-0j 0.0144077-0j -7.14681e-06-0j -0.00013097-0j -0.0141426-0j -0.0680663-0j 0.00012856-0j -0.0324208-0j 0.0668139-0j 0.0318243-0j 4.09283e-05-0j 7.20889e-07-0j -5.78256e-05-0j -0.000931274-0j -1.6403e-05-0j 5.11604e-06-0j 0.00131575-0j 3.41069e-06-0j 0.010124-0j 9.01111e-08-0j -0.000122706-0j 6.00741e-08-0j 0.000178318-0j -7.22821e-06-0j 3.01465e-07-0j -4.8188e-06-0j -0.0450933-0j -0.0143037-0j 0.00103327-0j -2.16128e-06-0j 5.30985e-09-0j -0.0164631-0j 0.000173366-0j -0.000794249-0j 1.81995e-05-0j -4.25926e-07-0j -0.0031164-0j 0.0637102-0j -0.00145986-0j -0.000289973-0j 0.02326-0j -5.48906e-05-0j 0.00440301-0j 
0.00417687-0j 0.000738374-0j 6.15311e-05-0j -0.711435-0j 0.000605312-0j 0.000370676-0j 7.5664e-05-0j 4.45854e-06-0j -0.00224599-0j 0.00230626-0j 0.0709983-0j -0.0729035-0j -0.000295936-0j -4.27146e-05-0j 0.000303877-0j -3.6992e-05-0j 4.38609e-05-0j -4.35955e-06-0j 3.79846e-05-0j -1.98985e-07-0j 4.47653e-06-0j 2.04325e-07-0j 0.0016907-0j -0.00205858-0j 0.00122041-0j 0.000267323-0j -0.000325489-0j -0.0413982-0j 0.000192964-0j 0.000140892-0j -0.00597532-0j 0.0504059-0j 3.52229e-05-0j -0.000171548-0j 0.00727547-0j -0.0298828-0j 1.24532e-05-0j 0.000101701-0j 2.93524e-06-0j -0.00431321-0j 3.1133e-06-0j -4.2887e-05-0j -1.51628e-05-0j 2.59441e-07-0j 2.54253e-05-0j -3.57391e-06-0j -3.79071e-06-0j 8.98919e-06-0j 9.66881e-09-0j 2.11877e-06-0j 2.2473e-06-0j -3.15892e-07-0j 1.87275e-07-0j -1.17726e-08-0j 6.97932e-09-0j 
-0.00422016-0j -0.000746025-0j -6.21688e-05-0j -0.698345-0j 0.000594174-0j 0.000363856-0j 7.42718e-05-0j 4.37651e-06-0j -0.00230626-0j 0.00232922-0j 0.0729035-0j -0.0736291-0j -0.000303877-0j -4.38609e-05-0j 0.000306902-0j -3.79846e-05-0j 4.42974e-05-0j -4.47653e-06-0j 3.83627e-05-0j -2.04325e-07-0j 4.52109e-06-0j 2.06359e-07-0j -0.00170822-0j 0.00205364-0j -0.00112925-0j -0.000270094-0j 0.000324709-0j 0.0418272-0j -0.00017855-0j -0.000142352-0j 0.00603724-0j -0.0502851-0j -3.55879e-05-0j 0.000171137-0j -0.00725803-0j 0.0276507-0j -1.25822e-05-0j -9.41043e-05-0j -2.96566e-06-0j 0.00399103-0j -3.14556e-06-0j 4.27842e-05-0j 1.51265e-05-0j -2.6213e-07-0j -2.35261e-05-0j 3.56535e-06-0j 3.78162e-06-0j -8.31772e-06-0j -9.76901e-09-0j -1.96051e-06-0j -2.07943e-06-0j 3.15135e-07-0j -1.73286e-07-0j 1.17444e-08-0j -6.45798e-09-0j 
0.101456-0j 0.00582116-0j 0.0014758-0j -0.000605312-0j -0.695491-0j -6.17794e-05-0j 0.00120564-0j 0.00014283-0j 0.000374332-0j -0.000384377-0j -0.00285743-0j 0.00293411-0j -0.00718828-0j 0.099194-0j 0.00738118-0j -0.000291636-0j -0.101856-0j -0.000104562-0j 0.000299462-0j -7.97641e-06-0j 0.000107368-0j 8.19045e-06-0j -0.000281783-0j 0.000343096-0j -0.000203402-0j 0.00210751-0j -0.00256608-0j -3.52229e-05-0j 0.00152128-0j 0.00686801-0j 0.000486055-0j 4.2887e-05-0j -0.0404704-0j -0.00836239-0j -0.000591815-0j -2.54253e-05-0j -2.07553e-06-0j 0.00495759-0j -0.0102602-0j 0.000350853-0j 4.96078e-05-0j 0.0492763-0j 2.52714e-06-0j 8.31121e-06-0j -0.0292131-0j 0.0124927-0j -6.04018e-05-0j -1.4982e-06-0j 4.65417e-07-0j -0.0074062-0j 3.58088e-05-0j -1.01196e-05-0j 5.99935e-06-0j -5.66685e-07-0j 3.35955e-07-0j 
-0.0004263-0j 0.0145767-0j -6.28e-06-0j -0.000370676-0j -6.17794e-05-0j -0.700394-0j 0.00149373-0j -4.55048e-07-0j 0.000229231-0j -0.000235382-0j 3.6992e-05-0j -3.79846e-05-0j -0.00584226-0j 4.35955e-06-0j 0.00599904-0j 0.0698964-0j -4.47653e-06-0j -8.60647e-05-0j -0.071772-0j 2.03088e-08-0j 8.83742e-05-0j -2.08538e-08-0j -0.000172556-0j 0.000210102-0j -0.000124558-0j -2.72836e-05-0j 3.32201e-05-0j 0.00417215-0j -1.96943e-05-0j -1.43797e-05-0j -3.1133e-06-0j -0.00507996-0j 0.000695359-0j 1.75085e-05-0j 3.79071e-06-0j 0.00301162-0j -0.0713298-0j -1.03798e-05-0j -2.99577e-07-0j -2.2473e-06-0j -0.00588258-0j -0.00084666-0j 0.0868502-0j 5.1218e-06-0j 0.000501937-0j 3.64761e-07-0j 0.00716255-0j -0.0514885-0j -9.86819e-10-0j -2.16246e-07-0j -0.00424627-0j -6.23624e-06-0j 3.69711e-06-0j 1.20154e-09-0j -7.12323e-10-0j 
-0.102508-0j -0.00588148-0j -0.00149109-0j -0.000594174-0j -0.682694-0j -6.06427e-05-0j 0.00118346-0j 0.000140202-0j 0.000384377-0j -0.000388203-0j -0.00293411-0j 0.00296332-0j -0.00738118-0j 0.101856-0j 0.00745465-0j -0.000299462-0j -0.10287-0j -0.000107368-0j 0.000302442-0j -8.19045e-06-0j 0.000108437-0j 8.27198e-06-0j 0.000284704-0j -0.000342273-0j 0.000188209-0j -0.00212935-0j 0.00255993-0j 3.55879e-05-0j -0.00140765-0j -0.00693918-0j -0.000491092-0j -4.27842e-05-0j 0.0408898-0j 0.00834235-0j 0.000590396-0j 2.35261e-05-0j 2.09704e-06-0j -0.00458727-0j 0.0103665-0j -0.000324646-0j -5.01219e-05-0j -0.0491581-0j -2.52108e-06-0j -8.39734e-06-0j 0.027031-0j -0.0124627-0j 6.02571e-05-0j 1.38629e-06-0j -4.7024e-07-0j 0.00685298-0j -3.3134e-05-0j 1.00954e-05-0j -5.55122e-06-0j 5.65327e-07-0j -3.10861e-07-0j 
8.70182e-05-0j 0.141499-0j 0.0175748-0j 7.5664e-05-0j -0.00120564-0j -0.00149373-0j -0.67856-0j 0.0025648-0j -4.67915e-05-0j 4.80472e-05-0j 0.00072191-0j -0.000741282-0j 0.000593191-0j -0.00398142-0j -0.000609109-0j -0.0142517-0j 0.00408825-0j 0.119805-0j 0.0146341-0j -0.000191443-0j -0.12302-0j 0.00019658-0j 3.52229e-05-0j -4.2887e-05-0j 2.54253e-05-0j -0.000532447-0j 0.000648301-0j -0.000423617-0j -0.000384341-0j 2.93524e-06-0j 0.00284326-0j 0.000515791-0j 0.00674999-0j -3.57391e-06-0j -0.00346192-0j -0.000305783-0j -7.54045e-05-0j 2.11877e-06-0j 0.000838379-0j 0.00205237-0j -0.0561307-0j -0.00821871-0j 9.18116e-05-0j -0.0143594-0j 0.0048724-0j -0.0010208-0j 0.068344-0j -5.44299e-05-0j 1.39826e-05-0j 0.000605174-0j -0.0405173-0j 0.0174839-0j -0.0103652-0j -1.7025e-05-0j 1.00932e-05-0j 
