-0.00464532-0j -0.00077422-0j -0.000474111-0j -9.67775e-05-0j -5.70267e-06-0j 1.00585-0j -0.000677017-0j -0.000552782-0j -7.97873e-05-0j -6.90978e-05-0j -8.14325e-06-0j -3.71687e-07-0j -0.00270637-0j -0.00273441-0j 0.102595-0j 0.103658-0j -0.000338296-0j -0.000225531-0j -4.88288e-05-0j -0.000341802-0j -0.000227868-0j -4.93348e-05-0j -5.63827e-05-0j -1.99343e-05-0j -4.69856e-06-0j -5.6967e-05-0j -4.98357e-06-0j -2.01409e-05-0j -4.74725e-06-0j -5.03522e-06-0j -4.15298e-07-0j -1.54772e-08-0j -4.19601e-07-0j -1.56376e-08-0j 
-0.143543-0j -0.00587591-0j 7.65094e-05-0j -0.0014846-0j -0.000175882-0j 0.000677017-0j 0.983878-0j 8.92049e-05-0j -0.00122396-0j -0.000524415-0j -0.000188037-0j -1.43444e-05-0j 0.000436738-0j 0.000441264-0j -0.00324764-0j -0.00328129-0j -0.0104535-0j 3.63949e-05-0j 0.14343-0j -0.0105618-0j 3.6772e-05-0j 0.144917-0j -0.000427914-0j 3.21688e-06-0j -0.000108495-0j -0.000432349-0j -7.64495e-05-0j 3.25022e-06-0j -0.000109619-0j -7.72417e-05-0j -1.28086e-05-0j -7.17271e-07-0j -1.29413e-05-0j -7.24704e-07-0j 
0.000612075-0j -0.0146155-0j -0.0119468-0j -0.00121294-0j 7.51393e-07-0j 0.000552782-0j 8.92049e-05-0j 0.992609-0j -0.0015062-0j -0.00174114-0j -0.000102061-0j 4.89741e-08-0j 0.000356595-0j 0.000360291-0j 5.63827e-05-0j 5.6967e-05-0j -0.00423995-0j -0.00854472-0j 6.43376e-06-0j -0.00428389-0j -0.00863327-0j 6.50044e-06-0j 0.101244-0j -0.000754777-0j -8.86979e-05-0j 0.102293-0j -0.000125577-0j -0.000762599-0j -8.96171e-05-0j -0.000126879-0j -5.20503e-06-0j 2.0393e-09-0j -5.25897e-06-0j 2.06044e-09-0j 
-8.83454e-05-0j -0.200536-0j -9.01672e-06-0j -0.00814006-0j -0.00296075-0j -7.97873e-05-0j 0.00122396-0j 0.0015062-0j 0.961495-0j 0.00012492-0j -0.00209913-0j -0.000322752-0j -5.14701e-05-0j -5.20035e-05-0j 0.000773614-0j 0.000781631-0j -6.43376e-06-0j 0.00123332-0j -0.00410704-0j -6.50044e-06-0j 0.0012461-0j -0.0041496-0j -0.0146041-0j -3.79113e-07-0j 0.173527-0j -0.0147554-0j -0.000419173-0j -3.83042e-07-0j 0.175325-0j -0.000423517-0j -0.000215617-0j -2.02016e-05-0j -0.000217851-0j -2.04109e-05-0j 
-7.65094e-05-0j 0.000599708-0j -0.141298-0j -0.0289771-0j 1.79508e-05-0j -6.90978e-05-0j 0.000524415-0j 0.00174114-0j 0.00012492-0j 0.968491-0j -0.0036702-0j 1.46402e-06-0j -4.45744e-05-0j -4.50363e-05-0j 0.000331461-0j 0.000334896-0j 0.00106556-0j -3.71453e-06-0j 7.64495e-05-0j 0.0010766-0j -3.75303e-06-0j 7.72417e-05-0j -0.00835224-0j -0.0180115-0j 1.10732e-05-0j -0.00843879-0j 0.141187-0j -0.0181982-0j 1.1188e-05-0j 0.14265-0j -0.000250004-0j 7.32062e-08-0j -0.000252595-0j 7.39648e-08-0j 
9.01672e-06-0j -0.000215034-0j -0.000175993-0j -0.24219-0j -0.0285221-0j 8.14325e-06-0j -0.000188037-0j -0.000102061-0j 0.00209913-0j 0.0036702-0j 0.937754-0j -0.00469693-0j 5.25315e-06-0j 5.30758e-06-0j -0.00011885-0j -0.000120082-0j -6.24604e-05-0j 4.37762e-07-0j 0.00128464-0j -6.31076e-05-0j 4.42299e-07-0j 0.00129796-0j 0.00148958-0j -1.11189e-05-0j -0.00568827-0j 0.00150502-0j -0.0250743-0j -1.12341e-05-0j -0.00574722-0j -0.0253342-0j 0.197578-0j -0.000393227-0j 0.199625-0j -0.000397302-0j 
-4.11555e-07-0j 1.64039e-05-0j -4.20041e-08-0j -0.00039148-0j -0.309351-0j -3.71687e-07-0j 1.43444e-05-0j -4.89741e-08-0j -0.000322752-0j 1.46402e-06-0j 0.00469693-0j 0.907073-0j -2.39772e-07-0j -2.42257e-07-0j 9.06652e-06-0j 9.16048e-06-0j -2.99715e-08-0j -1.9981e-08-0j -0.00019752-0j -3.02821e-08-0j -2.01881e-08-0j -0.000199567-0j 1.19462e-06-0j -1.76609e-09-0j 0.00271007-0j 1.207e-06-0j -2.01593e-05-0j -1.78439e-09-0j 0.00273815-0j -2.03682e-05-0j -0.0225285-0j 0.239399-0j -0.022762-0j 0.24188-0j 
0.00428183-0j 0.000713639-0j 0.000437013-0j 8.92049e-05-0j 5.25645e-06-0j 7.65384e-05-0j 1.23513e-05-0j 1.00848e-05-0j 1.45562e-06-0j 1.2606e-06-0j 1.48563e-07-0j 6.78096e-09-0j -0.718664-0j 0.697368-0j 0.000394431-0j -0.000382743-0j 0.000311825-0j 0.000207883-0j 4.5008e-05-0j -0.000302585-0j -0.000201723-0j -4.36744e-05-0j 5.19708e-05-0j 1.83745e-05-0j 4.3309e-06-0j -5.04308e-05-0j 4.59361e-06-0j -1.783e-05-0j -4.20257e-06-0j -4.4575e-06-0j 3.82801e-07-0j 1.42662e-08-0j -3.71458e-07-0j -1.38434e-08-0j 
-0.000677017-0j 0.00530671-0j -6.90978e-05-0j 0.00134078-0j 0.000158844-0j 0.00290147-0j 9.1846e-05-0j -1.59455e-06-0j 2.18785e-05-0j 9.37399e-06-0j 3.36119e-06-0j 2.56409e-07-0j -0.000394431-0j 0.000382743-0j -0.70321-0j 0.682373-0j -4.93038e-05-0j -3.28692e-05-0j 0.000676487-0j 4.78429e-05-0j 3.18952e-05-0j -0.000656441-0j 0.000386461-0j -2.90526e-06-0j 9.79849e-05-0j -0.00037501-0j 6.90437e-05-0j 2.81917e-06-0j -9.50814e-05-0j -6.69978e-05-0j 1.15678e-05-0j 6.47788e-07-0j -1.1225e-05-0j -6.28592e-07-0j 
0.102487-0j -8.92049e-05-0j 0.0104469-0j 0.00106065-0j -6.57056e-07-0j -9.5673e-06-0j 0.000295634-0j 0.000119909-0j -1.81952e-07-0j 3.01349e-05-0j 1.76643e-06-0j -8.4762e-10-0j -0.000311825-0j 0.000302585-0j -4.93038e-05-0j 4.78429e-05-0j -0.709948-0j -2.59854e-05-0j 0.00107729-0j 0.688911-0j 2.52154e-05-0j -0.00104536-0j 0.000617938-0j 0.000660015-0j -5.41363e-07-0j -0.000599627-0j 0.000109811-0j -0.000640458-0j 5.25321e-07-0j -0.000106557-0j 4.55154e-06-0j -1.78327e-09-0j -4.41667e-06-0j 1.73043e-09-0j 
-0.000356819-0j 0.0171002-0j -3.64177e-05-0j -7.43374e-06-0j -4.38037e-07-0j -6.3782e-06-0j -1.02928e-06-0j 0.000241652-0j 3.48795e-05-0j -1.0505e-07-0j -1.23803e-08-0j -5.6508e-10-0j -0.000207883-0j 0.000201723-0j -3.28692e-05-0j 3.18952e-05-0j -2.59854e-05-0j -0.711178-0j -3.75067e-06-0j 2.52154e-05-0j 0.690105-0j 3.63953e-06-0j 0.00124532-0j -1.5312e-06-0j 0.000103777-0j -0.00120842-0j -3.82801e-07-0j 1.48583e-06-0j -0.000100702-0j 3.71458e-07-0j -3.19001e-08-0j -1.18885e-09-0j 3.09548e-08-0j 1.15362e-09-0j 
