-0.000463795-0j 0.182716-0j 0.0960891-0j 0.0671724-0j -0.379626-0j 0.000762599-0j 0.000540667-0j -0.0022517-0j 0.000308727-0j -0.00111197-0j 0.000530334-0j -0.0015659-0j -0.00136855-0j 0.0949003-0j 0.0663413-0j 0.0374931-0j 0.0659965-0j -0.119056-0j 0.0836547-0j 0.0466166-0j -0.137643-0j -0.263455-0j -0.217355-0j 0.0382596-0j -0.151155-0j -0.0790746-0j -0.0308918-0j -0.112015-0j -0.0778989-0j -0.103014-0j -0.055685-0j 0.200567-0j 0.0348885-0j -0.0626106-0j 0.0822428-0j -0.000170334-0j 0.0570752-0j -0.0446009-0j 0.000177388-0j -0.0802397-0j 0.289008-0j -0.0287107-0j 0.0847733-0j 0.0878414-0j 0.0515241-0j -0.0160448-0j 0.0889418-0j 0.0252316-0j 0.0175468-0j 0.00796873-0j 0.0018529-0j -0.000304555-0j 
0.273763-0j -0.0520315-0j -0.115253-0j -0.0600808-0j -0.109468-0j -0.0348885-0j 0.0767238-0j 0.103014-0j 0.0438102-0j 0.0219051-0j 0.0752575-0j -0.22221-0j 0.0626106-0j 0.11241-0j 0.0585988-0j 0.0331174-0j -0.242479-0j -0.105161-0j -0.154158-0j 0.0206523-0j -0.0609794-0j 0.0376287-0j 0.0207178-0j -0.047052-0j -0.0446901-0j 0.00565587-0j -0.0054846-0j -0.0323004-0j 0.0696749-0j -0.383257-0j -0.0246699-0j -0.0123349-0j 0.1298-0j -0.232939-0j -0.0735602-0j 0.225257-0j 0.0252858-0j -0.0131866-0j 0.0251724-0j 0.0717685-0j 0.0358843-0j -0.00636973-0j 0.0188077-0j 0.0775896-0j 0.0114311-0j 0.0118491-0j -0.079552-0j -0.00120377-0j 0.00259663-0j 0.00101092-0j 0.000205702-0j -2.70526e-05-0j 
-0.001002-0j -0.0949003-0j -0.427038-0j -0.0348885-0j 0.0662692-0j -0.000835385-0j 0.000287918-0j -0.00048231-0j 0.000329851-0j -0.00118806-0j 0.00019044-0j 0.00010995-0j -0.000295353-0j 0.432421-0j 0.0353283-0j 0.0400585-0j -0.0985774-0j 0.0124904-0j -0.185301-0j 0.0498062-0j 0.0287556-0j -0.0946049-0j -0.115746-0j -0.170033-0j 0.0263862-0j -0.0844851-0j 0.0160448-0j 0.122707-0j -0.027973-0j 0.0917827-0j 0.0609999-0j -0.21971-0j 0.158972-0j 0.0562052-0j -0.00616747-0j -0.00173888-0j 0.00880458-0j 0.0488578-0j 2.12918e-05-0j -0.0427295-0j 0.153903-0j 0.031451-0j 0.0181583-0j 0.0117761-0j 0.0111196-0j -0.0731094-0j -0.0116295-0j -0.0276398-0j 0.00630095-0j 0.00424353-0j 0.00197968-0j 0.000333623-0j 
-0.000522334-0j -0.0663413-0j -0.0348885-0j -0.395692-0j 0.0463264-0j -0.00148489-0j -0.000624309-0j -0.000838235-0j 0.000347694-0j 0.000173847-0j -0.00104998-0j -0.000592722-0j 0.000100371-0j 0.0353283-0j 0.40068-0j 0.0422254-0j 0.0249809-0j -0.0270837-0j -0.0965961-0j -0.274604-0j -0.155016-0j 0.0321498-0j -0.080914-0j 0.0430886-0j -0.0572148-0j 0.0287107-0j -0.0347908-0j -0.0416997-0j -0.0294861-0j 0.11895-0j 0.0642996-0j 0.0321498-0j 0.210715-0j -0.0142432-0j 0.0133733-0j 0.000196685-0j 0.00928084-0j 0.0515007-0j 2.24435e-05-0j 0.0926528-0j 0.0463264-0j -0.173404-0j -0.0978878-0j -0.101431-0j 0.0117211-0j 0.0185269-0j 0.100168-0j 0.0093929-0j 0.00664178-0j -0.0092015-0j 0.00208677-0j 0.000351669-0j 
-0.0002952-0j -0.0374931-0j 0.0405603-0j 0.0427543-0j 0.0778989-0j 0.000321902-0j -0.00217308-0j 0.00018585-0j -0.000404219-0j -0.000202109-0j -0.00069437-0j -0.000400895-0j -0.000577683-0j 0.0400585-0j 0.0422254-0j 0.309991-0j -0.0864097-0j -0.0757773-0j 0.0532451-0j -0.0610354-0j -0.0352388-0j -0.111207-0j 0.0446009-0j -0.0500935-0j -0.0962081-0j -0.0333783-0j -0.0196622-0j 0.29858-0j -0.644064-0j -0.0263732-0j 0.0729088-0j 0.0364544-0j -0.0456797-0j 0.0819765-0j 0.0523465-0j 0.00022302-0j -0.074729-0j -0.368758-0j -0.000232255-0j -0.0510715-0j -0.0255357-0j 0.0375912-0j 0.0217033-0j 0.0140751-0j -0.0674609-0j 0.0210075-0j 0.0142514-0j 0.0106505-0j -0.0229742-0j 0.00507199-0j -0.00242601-0j 0.000398756-0j 
-0.00216139-0j 0.0659965-0j 0.296975-0j -0.0752575-0j 0.0166548-0j -0.00019044-0j -0.000203589-0j -0.00010995-0j 0.000711518-0j 0.000355759-0j -0.000148456-0j -8.57114e-05-0j -0.000906208-0j 0.0985774-0j -0.0249809-0j 0.0864097-0j 0.0768456-0j -0.118872-0j 0.131027-0j 0.107436-0j 0.0620284-0j -0.0237761-0j -0.0263862-0j -0.366775-0j -0.0205693-0j 0.0587535-0j 0.03461-0j 0.027973-0j 0.0218062-0j -0.0649001-0j -0.0431335-0j -0.0215667-0j -0.11241-0j -0.534905-0j 0.14836-0j 0.00122957-0j -0.211797-0j -0.0345477-0j -0.000945237-0j 0.0302143-0j 0.0151071-0j -0.0222392-0j -0.0128398-0j -0.00832695-0j -0.105826-0j 0.0516961-0j -0.0250858-0j -0.00630095-0j -0.00491188-0j -0.00300063-0j 0.00427035-0j -0.000235907-0j 
0.000937377-0j 0.119056-0j 0.0626106-0j -0.135762-0j 0.220444-0j 0.000100371-0j -0.000220726-0j -0.000296361-0j -0.000623968-0j -0.000311984-0j 0.000955227-0j -0.00282047-0j 0.000239915-0j 0.0124904-0j -0.0270837-0j -0.0757773-0j 0.118872-0j -0.064738-0j -0.0341519-0j -0.0942168-0j 0.278191-0j 0.152985-0j -0.0286074-0j -0.0773264-0j -0.272257-0j -0.0515241-0j 0.0624353-0j -0.0147431-0j -0.14031-0j 0.0420553-0j 0.0227333-0j 0.0113667-0j -0.0142432-0j -0.0340453-0j -0.354683-0j 6.95387e-05-0j -0.246144-0j 0.0182082-0j -0.00223538-0j 0.0327577-0j 0.0163789-0j 0.0117211-0j -0.0346085-0j -0.0358611-0j 0.0280169-0j 0.00655025-0j -0.17976-0j 0.00332089-0j 0.031605-0j -0.00325322-0j -0.0037449-0j 0.000124334-0j 
-0.270376-0j 0.050744-0j -0.11241-0j -0.0585988-0j -0.0358843-0j -0.0353283-0j 0.077691-0j 0.104313-0j -0.0432681-0j -0.0216341-0j -0.0249809-0j 0.0737602-0j -0.0124904-0j 0.112401-0j 0.0585941-0j -0.0322979-0j 0.0794798-0j 0.0207161-0j 0.160025-0j 0.0209094-0j -0.0617386-0j 0.0128044-0j -0.105688-0j -0.234107-0j -0.0747328-0j 0.0617273-0j -0.103262-0j 0.0323004-0j 0.0228399-0j 0.383257-0j 0.0256087-0j 0.0128044-0j -0.1298-0j -0.0458913-0j -0.0103589-0j 0.228097-0j 0.0036963-0j 0.0672691-0j -0.00279294-0j -0.0717685-0j -0.0358843-0j 0.0712766-0j -0.210456-0j 0.0775835-0j 0.0252001-0j -0.228732-0j -0.0775896-0j 0.0354423-0j 0.0250615-0j -0.0420619-0j 0.0111944-0j 0.00244156-0j 
0.0362218-0j 0.0282771-0j -0.0309785-0j 0.170798-0j -0.0594963-0j 0.206596-0j -0.0422254-0j -0.0228043-0j 0.0495987-0j 0.0247993-0j -0.445645-0j 0.0491909-0j 0.0708832-0j -0.0302119-0j 0.166572-0j 0.0370234-0j 0.0651697-0j 0.0571508-0j 0.0209094-0j 0.125369-0j -0.0138383-0j -0.0436712-0j 0.0574419-0j -0.0645159-0j -0.123907-0j -0.0707587-0j -0.0575426-0j 0.036113-0j -0.0778989-0j 0.0201429-0j 0.0286314-0j 0.0143157-0j -0.182485-0j -0.0626106-0j -0.0399803-0j -0.0273652-0j -0.0293462-0j 0.0752092-0j 0.0284983-0j 0.0390065-0j 0.0195032-0j -0.416818-0j 0.0460088-0j -0.0106154-0j -0.14301-0j 0.0614798-0j -0.0108847-0j 0.0396257-0j -0.0854762-0j 0.0228608-0j -0.0128323-0j 0.00272975-0j 
0.106951-0j 0.0834928-0j 0.0178854-0j -0.0964169-0j -0.175673-0j 0.0228043-0j -0.124677-0j 0.098261-0j -0.0286358-0j -0.0143179-0j -0.0491909-0j -0.211957-0j -0.0409244-0j 0.0174428-0j -0.094031-0j -0.0213755-0j -0.0376257-0j 0.168747-0j 0.0617386-0j 0.0138383-0j 0.0596277-0j 0.0252136-0j 0.169607-0j 0.0372483-0j -0.365857-0j 0.0408525-0j -0.169904-0j -0.0208498-0j 0.0449749-0j -0.0867932-0j -0.0165304-0j -0.00826518-0j -0.0201429-0j 0.0361482-0j -0.118048-0j 0.0157993-0j 0.016943-0j -0.043422-0j -0.0164535-0j 0.115173-0j 0.0575866-0j -0.0460088-0j -0.198246-0j 0.237381-0j 0.0825671-0j -0.0354954-0j 0.243404-0j -0.0228779-0j 0.0493497-0j 0.0675003-0j 0.00740873-0j -0.00157602-0j 
-0.0659965-0j 0.159809-0j -0.175076-0j 0.0594963-0j 0.0408408-0j -0.0750252-0j 0.0258576-0j -0.0433158-0j -0.0903694-0j 0.325493-0j 0.0188554-0j 0.0108861-0j -0.357008-0j -0.0573863-0j 0.0195017-0j -0.0674571-0j 0.0144223-0j 0.0927989-0j -0.0128044-0j 0.0436712-0j 0.0252136-0j 0.0299778-0j 0.109109-0j 0.117549-0j -0.0274212-0j -0.399894-0j 0.104843-0j 0.0685952-0j -0.0172393-0j -0.0123349-0j -0.0175331-0j 0.0631508-0j -0.0213647-0j -0.101664-0j -0.117289-0j 0.0167577-0j -0.0860921-0j -0.046056-0j 0.120054-0j -0.0238865-0j 0.0860345-0j -0.0487997-0j -0.0281745-0j 0.00650056-0j -0.232214-0j -0.0376485-0j 0.0198321-0j 0.0752675-0j -0.0189162-0j -0.0139993-0j 0.0233806-0j -0.00167162-0j 
