-0.00320155-0j -0.00050621-0j -0.000400194-0j -0.000266796-0j -5.7763e-05-0j -6.6699e-05-0j -2.35817e-05-0j -5.55825e-06-0j -5.89541e-06-0j -4.91284e-07-0j -1.83091e-08-0j 1.00705-0j -0.0004666-0j -0.000361426-0j -5.21674e-05-0j -0.000329936-0j -5.83249e-05-0j -3.88833e-05-0j -4.86041e-06-0j -3.36739e-05-0j -6.87366e-06-0j -3.43683e-06-0j -4.05034e-07-0j -4.96064e-07-0j -3.20208e-08-0j -1.00856e-09-0j 
-0.143793-0j -0.00371159-0j 6.23912e-05-0j 4.15941e-05-0j -0.000856056-0j -0.000489045-0j 3.67644e-06-0j -0.000123994-0j -8.73708e-05-0j -1.46384e-05-0j -8.19738e-07-0j 0.0004666-0j 0.985595-0j 5.63473e-05-0j -0.000773128-0j 5.14378e-05-0j -0.000427645-0j -0.000285097-0j -0.000108427-0j 5.24985e-06-0j -0.000101869-0j -2.51992e-05-0j -1.20685e-05-0j -1.10663e-05-0j -1.19387e-06-0j -5.27076e-08-0j 
0.000386624-0j -0.0146564-0j -0.00459699-0j 3.22187e-05-0j 6.97555e-06-0j -0.000766166-0j -0.000818337-0j 6.71222e-07-0j -0.000136152-0j -5.64334e-06-0j 2.21103e-09-0j 0.000361426-0j 5.63473e-05-0j 0.995386-0j -0.00151041-0j 3.98435e-05-0j -0.000669974-0j 4.6956e-06-0j 5.86951e-07-0j -0.000777686-0j -7.89572e-05-0j -0.000119266-0j 4.89125e-08-0j -1.14564e-05-0j -3.6782e-07-0j 1.21795e-10-0j 
-5.58044e-05-0j -0.201097-0j -6.97555e-06-0j -4.65036e-06-0j -0.0044529-0j 0.000110516-0j -4.11038e-07-0j -0.00131317-0j -0.000454472-0j -0.000233774-0j -2.19027e-05-0j -5.21674e-05-0j 0.000773128-0j 0.00151041-0j 0.964184-0j -5.75092e-06-0j 9.6641e-05-0j 6.44273e-05-0j -0.0011483-0j -5.86951e-07-0j -0.000529884-0j 5.69463e-06-0j -0.000192732-0j -0.000117198-0j -2.54837e-05-0j -1.69148e-06-0j 
0.000352938-0j 5.58044e-05-0j -0.00844771-0j -0.00845708-0j -0.00121932-0j -0.00105346-0j 2.59963e-06-0j -8.77882e-05-0j 6.49908e-07-0j 5.4159e-08-0j 2.01839e-09-0j 0.000329936-0j 5.14378e-05-0j 3.98435e-05-0j 5.75092e-06-0j 0.997834-0j -0.00123118-0j -0.00123255-0j -0.000102599-0j -0.000531853-0j -0.000108564-0j 3.78875e-07-0j -6.3972e-06-0j 5.46859e-08-0j 3.52996e-09-0j 1.11183e-10-0j 
-6.23912e-05-0j 0.000463948-0j -0.142049-0j -5.19927e-06-0j -0.02049-0j -0.00581478-0j 0.000132059-0j 1.54993e-05-0j -0.00208861-0j -0.000174052-0j 1.02467e-07-0j -5.83249e-05-0j 0.000427645-0j 0.000669974-0j 9.6641e-05-0j 0.00123118-0j 0.973642-0j 3.56371e-05-0j -0.00259524-0j 0.000125498-0j -0.00121123-0j -0.000905163-0j 1.50856e-06-0j -0.000264541-0j -1.41952e-05-0j 6.58844e-09-0j 
-4.15941e-05-0j 0.000309299-0j -5.19927e-06-0j -0.142295-0j 7.1338e-05-0j -0.0117185-0j -3.0637e-07-0j -0.00297114-0j 7.2809e-06-0j 1.21987e-06-0j 6.83115e-08-0j -3.88833e-05-0j 0.000285097-0j -4.6956e-06-0j 6.44273e-05-0j 0.00123255-0j 3.56371e-05-0j 0.975329-0j 9.03557e-06-0j 0.000125797-0j -0.00244097-0j 2.09994e-06-0j -0.000289184-0j 9.22189e-07-0j 9.94891e-08-0j 4.3923e-09-0j 
5.19927e-06-0j -0.000117631-0j -0.000124446-0j 4.33272e-07-0j -0.243465-0j -1.54993e-05-0j 3.82962e-08-0j -0.00562993-0j 0.000129769-0j -0.00205582-0j -0.000389193-0j 4.86041e-06-0j -0.000108427-0j 5.86951e-07-0j 0.0011483-0j -0.000102599-0j 0.00259524-0j -9.03557e-06-0j 0.94269-0j 5.46859e-08-0j 0.000151302-0j -7.98639e-07-0j -0.0016949-0j -0.000502461-0j -0.000338546-0j -3.76361e-05-0j 
-3.60216e-05-0j -5.69551e-06-0j 0.000861102-0j 0.000863147-0j -6.49908e-07-0j -0.0205619-0j -0.0145555-0j 8.95984e-06-0j -0.00120025-0j 1.0571e-06-0j -2.06001e-10-0j -3.36739e-05-0j -5.24985e-06-0j 0.000777686-0j -5.86951e-07-0j 0.000531853-0j 0.000125498-0j 0.000125797-0j -5.46859e-08-0j 0.982228-0j -0.00211901-0j -0.00212135-0j 6.52912e-07-0j -0.000100994-0j 6.88995e-08-0j -1.13476e-11-0j 
7.35287e-06-0j -0.000110516-0j -8.74263e-05-0j -0.000176189-0j 0.00058672-0j -0.19845-0j -1.55632e-05-0j -0.0247896-0j -0.0114519-0j -0.00292995-0j 2.88594e-06-0j 6.87366e-06-0j -0.000101869-0j -7.89572e-05-0j 0.000529884-0j -0.000108564-0j 0.00121123-0j 0.00244097-0j 0.000151302-0j 0.00211901-0j 0.951492-0j 0.000215617-0j -0.00363834-0j -0.00295318-0j -0.000319394-0j 2.22872e-07-0j 
3.67644e-06-0j -2.73384e-05-0j -0.000132059-0j 3.0637e-07-0j -6.30544e-06-0j 0.00103512-0j -0.139812-0j -9.13304e-07-0j -0.0353046-0j 3.09839e-05-0j -6.03794e-09-0j 3.43683e-06-0j -2.51992e-05-0j -0.000119266-0j -5.69463e-06-0j 3.78875e-07-0j 0.000905163-0j -2.09994e-06-0j -7.98639e-07-0j 0.00212135-0j 0.000215617-0j 0.958309-0j -8.88927e-08-0j -0.00447163-0j 2.52697e-06-0j -3.88228e-10-0j 
