0.00799271-0.00669724j -0.00522217-0.00209415j -0.0111512+0.0190567j -0.00232132-0.00702269j 0.00843282-0.0106966j -0.00466925+0.0257492j -0.0036139+0.0193525j -0.00600978-0.00963506j 0.00220436-0.0247495j -0.000994071+0.0123865j -0.00136655+0.0130728j -0.00436428-0.00420844j -0.00182771-0.00690991j -0.00172401+0.00125093j 0.00481982+0.00669219j 0.00532028-0.00126201j -0.00323579-0.00865345j 0.00901657+0.0162262j -0.00229472-0.00241908j 0.000147909-0.00516648j -0.000767752-0.0046657j -0.00112743-0.00114604j 0.00913121+0.00967578j -0.000613696+0.00567903j 0.00759775+0.00198141j 0.0108028+0.00571357j 0.00393112+0.00241068j -0.00159571-0.000921156j -0.00276123+0.00095354j 0.0127219+0.00309278j -0.0106494+0.0107015j -0.0168251-0.0123818j 0.00141306+0.00512692j 0.00663445-0.00230927j -0.00617568-0.0103601j 0.00101022+0.0026972j -0.0166025-0.00207188j -0.00869937+0.0027518j 0.0118075+0.00687521j -0.00432446+0.000291802j -0.0229313-0.00194607j -0.00100787-0.0017047j 0.00698644+0.00128911j -0.00773031-0.000966179j -0.0024461+0.00469691j -0.0011452+0.00202723j -0.00274889-0.000273737j -0.000392063-0.000322412j 0.00319342-0.000496148j -0.0104817-1.68874e-05j 0.0161891-0.00246784j -0.00474532-3.72703e-05j 0.00352704-0.00110392j 0.00180719-0.00194816j 0.00643483-0.0024141j 0.00434654-0.00406326j -0.0028604-0.000492046j -0.00233462-0.000339457j -0.00820095+0.00184635j -0.00115573+0.00139307j -0.00332662+0.000631966j -0.00591539+0.00170766j 0.0073582-0.00433494j -0.00282828+0.00173776j -0.00553472+0.00196747j -0.00635764+6.03628e-05j 0.0080072-0.00301039j -0.00266906+0.00208563j 0.00911385-0.000940494j -0.0058229+0.00318052j 0.00788714+0.000780983j -0.00636575+0.00389313j 
0.00528228-0.00437048j 0.016047+0.00813956j 0.00478499-0.00100645j 0.0122279+0.00248328j 0.00648798+0.00424588j -0.0135924-0.0106151j -0.0151378-0.00336722j -0.0287414-0.00877333j -0.00148875+0.00518912j 0.000390944-0.00902842j 0.00131677-0.00187648j -0.0219257-0.00228839j -0.00224598+0.00813943j -0.0142743+0.00151244j 0.00523654+0.000587785j 0.0193826-0.00323511j -0.00397377+0.00460983j 0.00359197-0.00361876j -0.00769513+0.00502333j 0.00153849+0.00034716j -0.00172276+0.00382575j -0.0118565+0.00591603j 0.00220679-0.000311891j -0.00689733+0.00198592j 0.00571358-0.00227785j 0.00568358-0.0078452j -0.00478575+0.00351235j -0.00208873+0.00122636j 0.00220391-0.00915891j 0.00369001-0.00350772j -0.00203216+0.00997078j -0.0146392+0.00414412j -0.00847461+0.00718096j -0.00514802-0.00468379j -0.00175134+0.000601109j 0.00231449+6.44071e-05j 0.00605207-0.000857928j 0.0020031-0.00498203j -0.00145094-0.000797501j -7.40687e-05+0.000283344j 0.00200372-0.00306691j -0.00203288-0.00167697j -0.000379524+0.000511058j -0.00206109-0.00126197j -0.000404269-0.00144713j 0.000180949-0.00208002j 0.00079768+0.000581653j 0.00341919-0.00100851j -0.000571433+0.000271893j -0.000109221-0.000128126j 0.000873852-4.58007e-05j -0.0024155+0.000611696j -0.00047362-0.000300566j -0.00153522+0.0024337j 0.000404468+0.000259507j 0.00209633-0.000226215j 0.000530283-0.00137549j 0.00142244-0.00111065j -0.000728457+0.000465408j -0.000130908-5.54491e-05j -0.000365432+0.00161685j 0.000595956-0.000834674j -0.0002781-0.0023084j -0.00101511+0.00119184j -0.000522872+0.000298749j 0.00180949-0.00149618j 9.27111e-06-2.13464e-05j -0.000862784+0.00384218j 0.000512367+0.00204452j -0.000793337+0.0025134j -0.00314062+0.00794772j -0.00500629+0.00046012j 
-0.00643494-0.00113091j -0.00359354-0.00397251j 0.0164966+0.00808688j 0.00190535-0.00368975j -0.00653724-0.00571145j 0.00412179-0.000934673j -0.0334536-0.00727093j 0.0110526-0.000166329j 0.0112737-0.00723049j -0.00821555+0.0024871j 0.0351899+0.00181177j -0.000696545+0.000175476j 0.00605033+9.63609e-05j -0.00870988+0.00422215j -0.0111003+0.000156374j 0.00184005-0.000394281j 0.0100322-0.00524055j -0.000712301+0.000618352j -0.00147489-0.0021215j -0.0154483+0.00613104j -0.00377845+0.000108916j -0.00917881+0.00139449j -0.00434129+0.00400141j 0.00933089-0.00391798j -0.00347662+0.00405481j 0.0119351-0.0070691j 0.000850634-0.00749612j 0.00202462+0.00429977j -6.66251e-05-0.00301974j -0.00672101+0.00152111j 0.00448664-0.0027955j 0.0011674+0.00112392j 0.00622913-0.000646174j 0.000386911+0.0050871j -0.00210476+0.000569099j -9.34396e-05-0.00227892j 0.000710993-0.000448876j -0.00139132-0.000404203j -0.00070414-0.0014793j -0.000280731-0.000317584j -0.00125105+0.000227316j 0.00178893+0.00116901j 0.000378186-0.000819174j 0.000655495-5.25889e-05j -0.000391581-0.000497037j -0.000746796+0.000285011j -0.000737292-3.12845e-05j -0.0012027+0.000333524j 0.000416281+0.000124449j -0.00123223+0.000446418j -0.000270606-0.000159686j 0.000156851+0.000248699j -5.30656e-05-4.69034e-05j 0.000843019-0.00130064j 0.000907066+0.000257234j -8.51029e-05+6.66537e-05j -0.000259796+0.00024692j 0.000434265-0.000491j 0.000597118-0.000337939j 0.000595415-6.19323e-05j 0.000297483-0.000384069j 1.6287e-05+0.000906201j -0.000291357+0.00101651j -0.000537598+0.000220143j -0.00144639+0.00185068j -0.00118466+0.00212736j -0.000839419-0.000383245j -0.000839564+0.000734987j 0.00170188-0.000920801j -0.00103573+0.00189279j 0.00215412-0.00225269j 0.000637631+0.00185734j 
0.0115655-0.00979313j 0.00635821+0.0124526j 0.00488981+0.00543487j 0.00199734-0.00792324j -0.00167585+0.000999429j 0.00628863-0.00202048j 0.000139552+0.00451387j 0.0148687-0.00997652j 0.00262478-0.00105086j 0.00522714-0.00478835j -0.00390278+0.000289904j 0.0118587-0.00568879j -0.00795996+0.00994509j 0.00657966-0.00476662j -0.00543804+0.00360844j -0.00575831-0.00700626j 0.00684533+0.00241099j -0.00377779-0.00361249j 0.00406917+0.0082451j -0.000942803-0.00145193j -0.00242289+0.00652673j 0.00389803-0.00146552j -0.00656041+0.00370233j 0.00418459-0.0019361j -0.00709339+0.000642143j -0.01002-0.00455176j 0.000526515-0.00198095j 0.00243492-0.0023871j 0.00117583-0.000656265j -0.00604427+0.00187046j 0.0123778+0.0125305j -0.00035011+0.00371371j 0.00051306+0.0129497j -0.0173978-0.00731186j -0.00703617-0.000475165j -0.00149535-0.0040348j 0.0026121-0.00286839j 0.00824641-0.00451988j -0.00167815+0.00230322j -0.00654131-0.00197219j -0.00340015-0.00609438j -0.00065712-0.00546323j -0.00455058+4.54244e-05j -0.0128239-0.00473484j -0.00385732-0.000542054j -0.00525036-0.00440846j 0.00557703+0.00329446j 0.00621758-0.00381911j -0.000281154+0.00151994j 0.00177182+0.000478278j 0.00456771-0.00488997j -0.00949888+0.00225032j 0.00239743-0.00305946j -0.00534842+0.00591683j 0.00394318-0.00245742j 0.00671626-0.00378811j -0.0023449-0.00293346j 0.00522359-0.0062016j -0.0042848+0.00366319j -0.00220365+0.00211726j 0.0033754+0.00306822j 0.00136814-0.00233402j -0.00327589-0.00866905j -0.00390248+0.0031609j -0.00116409+0.00253783j 0.00350861-0.00181157j 0.00028702+0.00170348j 0.000547436+0.00987688j 0.00881134-0.00204649j 0.00331866+0.00841528j -0.00356444+0.022794j -0.0180325+0.000107854j 
0.00873055+0.00586711j -0.00614588+0.003904j -0.00505465-0.00551777j -0.0052182+0.0132006j -0.003279-0.0070137j -0.00429224-0.000636055j -0.00579042+0.00739048j 0.0095712+0.00261963j -0.00730304+0.0195163j 0.0032901+0.00370796j 0.00883769+0.000965796j 0.00478868+0.0146106j -0.00343299-0.00940957j -0.00249936+0.00123346j -0.00697945+0.0112476j -0.00232278+0.000477746j -0.00100583+0.0074053j -7.91235e-05+0.00580779j -0.00446334+0.00709452j -0.00444957-0.00297148j -0.0080159-0.00968186j -0.00282249+0.00269827j -0.00304829-0.000476902j 0.00632362+0.00111166j 0.000927876+0.00163014j 0.00547236+0.00397286j -0.000338607+0.00846957j -0.0010604-0.00518295j 0.00869013+0.0026718j 0.00624949-0.000345832j -0.000483801+0.0121154j -0.0112243-0.00969094j -0.00663644-0.00164196j 0.00871089-0.00424852j 0.00705175-0.001287j -0.00975431+0.0061516j 0.00489802+0.011183j 0.00821473+0.00157778j 0.00786725+0.00530031j 0.00167749+0.00131384j -0.00430142+0.000953239j -0.0077041-0.00276325j 0.00545784+0.00332498j -0.00310097+0.00673835j 0.00838494+0.00298288j 0.00998843+5.80004e-05j 0.0130165-0.00156526j 0.00267471-0.00414541j -4.02949e-06+0.000588406j 0.00845285-0.00253311j 0.00038409+0.00319366j 1.98427e-05+0.00519774j 0.0068416-0.00095953j -0.00217546+0.0096845j -0.0101268+0.00173266j -0.00424719+0.000412761j 0.00490632-0.00147849j -0.00621525+0.000430262j -0.0014713+0.00520915j -0.0019573+0.000940717j -0.000895529+0.0018219j -0.0041613-0.00826913j -0.00421842+0.00303723j 0.000232796+0.00264687j 0.00316944-0.00569463j 0.000534367-0.0119193j 0.00771897+0.0022252j 0.00329347-0.000533971j -0.00856284+0.000639234j 0.00457098-0.011615j -0.00918095+0.00997121j -0.00292302-0.0122515j 
0.000679958+0.00637731j -0.00218977-0.00912801j -0.00298206-0.0047266j 0.00912946+0.00465671j -0.00626652-0.00147026j 0.00123924+0.00298428j 0.0020926-0.000147922j 0.00589725+0.00754003j 0.0206383-0.00168091j 0.0125904+0.000909246j -0.00503205-0.00226313j 0.0143368-0.00182721j -0.0105084-0.00784052j 0.00217107+0.00528337j 0.00971676-0.00449778j 0.0097659+0.00692445j -9.96204e-06+0.00286337j 0.00846243+0.0011777j -0.00275565-0.00360541j 0.000991557+0.00036692j -0.0160967+0.00767061j 0.000349221+0.000553539j -0.00487516+0.00136836j -0.00468036-0.00185711j 0.000488736-0.00502685j 0.0119616-0.00297261j 0.0025964-0.00424717j -0.000888068+0.00340543j 0.00612463-0.0161662j -0.00390768-0.00563338j -0.0115114+0.0107216j -0.0101678-0.00475935j -0.00157907-0.00350969j -0.000176312+0.00603222j -0.00557511+0.00741743j 0.00356105-0.00489226j -0.00309216+0.00347653j 0.0033006-0.00323511j -0.000828649+0.00133325j -0.00661633+0.00983558j 0.00953049-0.00589748j 0.00190628-0.007745j -0.00829457+0.0145232j -0.00183216+0.00726836j -0.00283799+0.00638753j -0.00155215+0.00662342j -0.00374684+0.00344808j -0.00334761+0.00495672j 0.00144933-0.00401575j -0.000605394+0.00436477j -0.00323347+0.00553145j 0.00286162+0.00406944j -0.00330967+0.00864462j -0.00208933+0.00366888j -0.00109385-0.00956132j -0.00283997-0.00944372j -0.00138411+0.00774311j -0.00186366-0.00593557j 0.00254638-0.00433977j 0.00110225-0.000125402j -0.00102598-0.00363798j -0.000250964-0.00707525j -0.00247435-0.00382406j 0.000906124+0.00577259j 0.00463582+0.0101634j 0.00041617+0.00117396j -0.00252382+0.00396012j 0.00444376+0.00504006j 0.00126742-0.00314533j 0.0040575+0.00605948j 0.00544114+0.00564588j 0.00233363+0.00491939j 
-0.00238222-0.000697534j 0.00418371+0.0118941j 0.00159539+0.00338114j 0.00483755+0.00598249j -0.00220407-0.00499096j -0.00719894-0.00385996j 0.00771326+0.00656331j -0.00876919-0.0103623j 0.0142502+0.0157314j 0.00230679+0.00874008j 2.22867e-05-0.00228428j 0.00976167+0.00615682j 0.00886402+0.00473024j -0.00847313-0.00410551j 0.0143212+0.0095809j -0.00989233+0.000130698j 0.00270079-0.0060013j 0.000488439+0.00352461j 0.0143469+0.000415838j -0.00474726-0.00279237j -0.00961931-0.0089593j -0.00210519-0.00130416j 0.00667559-0.00177835j 0.0085467-0.00159031j 0.00590188-0.00498768j 0.00544463+0.00194881j 0.012774-0.00170154j -0.00673102+0.0120622j 0.00239802+0.00450719j -0.000913394-0.00226285j 0.0107361-0.00354374j 0.00221047+0.00550024j 0.001726+0.0036298j -0.00607274+0.00294399j 0.0016146+0.00485959j -0.000159835-0.00910596j -0.000109254-0.00382148j -0.00630067+0.00458076j -0.00266397+0.00482525j 0.00930071+0.0086944j -0.00479588-0.0133207j -0.00738117-0.00460367j 0.00771855+0.00591485j -0.000875611-0.00754534j 0.00266942+0.00241148j 0.000940319-0.00393628j 0.0016274+0.013092j 0.0055808+0.00325529j -0.00600815-0.00251496j -0.000243861+0.00796873j 0.0067793+0.00438463j -0.003659-0.00798011j 0.00538094+0.00752373j 6.79698e-05-0.0013453j -0.0054949-0.00578768j -0.00186634+0.00212907j 0.00333957+0.00279749j -0.000230755+0.0021498j -0.00925581-0.00352774j -0.0011275-0.00369403j -0.00683138+0.00120197j 0.000510647+0.00582929j -0.00177571-0.00286354j 0.00358244+7.84109e-05j 0.00353266-0.00260579j 0.00545816+0.00614725j 0.00169292+0.000365555j -0.00241664+0.000464659j -0.00324784-0.00133544j -8.24983e-05+0.00340409j -0.00357325-0.0109974j 0.00277331+0.0020636j 
0.00182979-0.00233636j -0.0024351+0.00496562j 0.00965781-0.00148054j -0.0093067-0.000812747j -0.00853205+0.00196559j -0.00624984+0.00340461j -0.00269773-4.76561e-05j -0.00743343+0.00111163j 0.00489545-0.00485796j 0.0187242-0.0146241j -0.0062136+0.011811j 0.000709328-0.00552161j 0.0143278-0.00650006j -0.00619045+0.00385849j -0.00222769-0.000676205j -0.00692682-0.00173634j -0.00481525+0.00684278j -0.00557853+0.0046344j 0.00252459+0.000280612j -0.000725584-0.00780134j -0.00487105+0.0100722j -0.00789535+0.00982581j 0.00163687-0.00334088j 0.00766716-0.0124973j -0.00152893-0.00100709j -0.00721886-0.00233529j -8.61079e-05+0.00406221j 0.00258791-0.000295752j -0.0069956+0.0092982j 0.00544769+0.00629207j 0.00297428+0.00221836j -0.00399356+0.00180925j 0.010998-0.0069573j 0.00752303-0.00179492j -0.00539375-0.000346604j 0.000849233-0.00145772j 0.00683048-0.00530111j -0.00333824+0.00377207j -0.00170662-0.00287517j -0.0178237+0.0106021j 0.00508613-0.00454946j -5.66506e-05+0.000910876j -0.00244856+0.00226781j 0.00449963-0.00593171j -0.00306312+0.00720389j 0.010079-0.0163033j 0.00338874-0.00273286j -0.0015963+0.000382676j 0.00587815-0.00862252j -0.00132303-0.00343216j -0.00151195+0.00358433j 0.000935802-0.00910243j 7.74052e-05+1.37542e-05j 0.000222052+0.00231891j 0.00238455+0.000853818j 0.00619659-0.00683392j 0.00176283-0.00629304j 0.000750214+0.00760281j 0.00348822-0.0078319j -0.00108309+0.00671982j 0.00154003-0.00952246j -0.00163896-0.000727453j 0.00293878-0.00515313j -0.00568266+0.0059892j -0.00191703+0.0054806j -0.00130752+0.00100654j -0.000431407-0.00582412j 0.00307505-0.00693435j -0.0015615-0.00420177j 0.00197695-0.00735522j -0.00520036-0.000118828j -0.00149399-0.00700116j 
-0.00160848-0.00555665j -0.00142052-0.010953j 0.00382815+0.0146552j 0.000832581-0.00356143j 0.00128329-0.00554924j -0.00118435-0.00502832j -0.00664346-0.00808799j 0.00175087+0.000773037j -0.00314205+0.0056661j 0.0162895+0.0231589j -0.0129304-0.00852201j 0.00375299+0.00555845j 0.00519293+0.0074415j -0.00555731-0.00773624j -0.00587939-0.00270495j 0.00234356-0.00301685j -0.0115624-0.00204975j -0.0102592-0.00803713j -0.00500791+0.00306795j 0.00942878+0.000478704j -0.0104138-0.00543614j -0.0121861-0.00687598j -0.00132069+0.000258723j 0.00556648-0.000834367j -0.00194946+0.00245597j -0.00515229-0.00603142j -0.00967164+0.00162619j 0.0023562-0.00905099j -0.00488082-0.00335072j -0.00425092-0.00168646j -0.00623262+0.00105052j 0.00253247+0.00145145j -0.00194693-0.0121746j 0.00593622-0.000950878j -0.000684908+0.00161911j -0.00235864+0.000406854j -0.00627318-0.00554135j 0.00540365-0.000523384j -0.000908697-0.00386386j 0.0109974+0.0148193j -0.00625197-0.00105022j 0.00248369+0.00244793j 0.00381024-0.00186487j -0.00222452+0.000753035j 0.00828531+0.00121603j -0.0158855-0.0096571j -0.00182755-0.00811309j -0.000696487+0.000298969j -0.00821866-0.00712482j 0.000665437-0.00228981j 0.00234558+0.000321034j -0.00543846+0.00126172j 0.00122956-0.0034132j 0.00441254+0.00118542j 0.000357817+0.00128535j -0.00790729-0.00516323j -0.00464136-0.00384854j 0.00606174-0.000747682j -0.00415981-0.00218327j 0.00555177+0.00279543j -0.00356313-0.00178285j -0.00358218-0.000871854j -0.00497831-0.000369434j 0.00483806+0.00463174j 0.0034064+0.00144909j -0.00137811-0.00209202j -0.00416551+0.00106066j -0.00456285-0.00490669j -0.000112447+0.00194151j -0.00432633-0.00452907j 0.0041184+0.00579786j -0.00249825-0.000798097j 
-0.00757857+0.00544399j -0.00414853+0.000917238j -0.00479567+2.02922e-05j -0.00467183+0.00107281j -0.000297463-0.00136462j -0.00710173-0.00786658j 0.00107188-0.000470025j 0.00567549-0.00576768j 0.00299326-0.00928078j -0.00429587+0.00197357j 0.000658321+0.00203526j 0.00183366-0.00470063j 0.00758321+0.0067867j -0.00355737-0.00665343j 0.00485157-0.00743285j -0.0114629-0.0110196j -0.00378182-0.00690029j 0.00207978-0.00677327j 0.00539605-0.000351028j -0.000748213+0.00107994j 0.00555709+0.00472732j 0.000593601-0.00332715j 0.00200097-0.000501616j 0.00449372+0.00667523j 0.00534682-0.00397339j -0.00067137-0.0158405j 0.00251312-0.00237035j -0.00552341+0.00401214j 0.00169128-0.00586957j 0.0001475-0.00385475j -0.00293147+0.0158958j -0.00473656-0.0020568j -0.00474961-0.00711129j -0.000958518-0.00687973j 0.000831719-0.00156124j -0.00445611+0.00651634j -0.00897239+0.00878292j 0.00374411+0.0108141j -0.00296034+0.00772602j 0.000170009-0.000232444j 0.0089055+0.00333163j 0.00485773-0.00202137j -0.0103664-0.00124661j -0.00619264+0.00306893j 0.00114647+0.00104107j -0.00518852-0.00122797j -0.00198462+0.000561662j -0.00237763-0.00131331j -0.00190087+0.00140124j -0.00320317+0.000402824j -0.00597972+0.0134867j -0.00391191+0.00277091j -0.00570416+0.00416811j -0.00283227+0.00358438j 0.00269202-0.00163179j 0.00355893+0.00348646j -0.00330204+0.00468421j 0.000106636+0.00335801j -0.00346065+0.00237778j 0.0028623-0.00574227j -0.00838006-0.000331483j 0.000183784-0.00380018j 0.00741169+0.00431693j -0.00551741+0.00425853j -0.00922813-0.00187631j 0.00103207-0.00305462j 0.00479179-0.000560294j -0.00994359+0.00494002j -0.00815426+0.00691688j -0.0129392-0.00628336j -0.0213013-0.00536244j -0.00177637-0.0162789j 
-0.00244464-0.00660882j 0.0105673-0.00588994j 0.00258427-0.00722509j -0.00476698-0.00142371j 0.000395667-0.00189357j 0.00709933-0.00444194j -0.0018587+0.0058263j 0.00215478-0.00551012j 0.00211517+0.00648764j 0.00155387-0.00882539j 0.000574471+0.00625113j 0.00158451-0.000743705j -0.0037386+0.0137177j 0.00366885-0.00241858j 0.00228939+0.0123222j 0.00747362-0.0126603j 0.00338947-0.00175167j -0.00159277+0.00290978j -0.00130497+0.010823j 0.000871499-0.00714296j -0.00248716+0.00505261j 0.00314978+0.00463659j -0.0042969+0.00809367j -0.00597972+0.0108664j -0.000893001+0.00419768j 0.00223522+0.00117604j -0.00285261+0.00846709j 0.00163688-0.00315049j 0.00844006-3.23322e-05j 0.000863023+0.00352701j -0.00244458+0.00499696j 0.00685565-0.00547302j 0.0155594-0.00746031j 0.00232619+0.00716521j 0.00262257-0.00184333j -0.00650542+0.000247456j -0.00627005-0.00498195j -0.00025343+0.00301401j 0.00498885-0.00315278j -0.00501822+0.001528j -0.0104443+0.00192926j -0.00064308+0.00790947j 0.000388533-0.000633036j -0.00560093+0.00449582j -0.00290099+0.00393458j -0.00861145+0.00806153j 0.00840817-0.00700461j -0.00181397+0.00276265j 0.00343684-0.00358691j 0.00233224+0.000881505j 7.28342e-05-0.00182266j -0.00662546+0.00227081j 0.000637178+0.00207339j -0.00492066-0.00910973j -0.00231126+0.00239406j 0.00573628-0.00520449j 0.00364785+0.00222425j 0.00556856+0.00309433j -0.000166309-0.00271542j -0.00345221-4.47001e-05j -0.00113032+0.00168091j 0.015178-0.00154545j 0.00249157+0.00216272j 0.000999942+3.3496e-05j -0.00180895+0.00715902j 0.0100809-0.00337164j -0.00851473-0.00013678j 0.00239916-0.00524123j -0.00579935+0.00485178j 0.000260724-0.000453056j -0.00451013-0.0137721j 0.0212757+0.00775887j 
