-0.0282646-0j -0.00456118-0j -0.00372419-0j -0.00053754-0j -0.000465524-0j -5.48625e-05-0j -2.50412e-06-0j -0.025906-0j -0.00409611-0j -0.00323826-0j -0.00215884-0j -0.000467402-0j -0.000539709-0j -0.000190816-0j -4.49758e-05-0j -4.7704e-05-0j -3.97533e-06-0j -1.48152e-07-0j -0.0168533-0j -0.0170279-0j -0.00262746-0j -0.00265469-0j -0.00203522-0j -0.00205632-0j -0.000293759-0j -0.0018579-0j -0.000296804-0j -0.00187715-0j -0.000328433-0j -0.000218955-0j -0.000331836-0j -2.73694e-05-0j -0.000189621-0j -0.000221224-0j -2.7653e-05-0j -0.000191586-0j -3.87062e-05-0j -1.93531e-05-0j -3.91073e-05-0j -2.28078e-06-0j -2.79338e-06-0j -1.95537e-05-0j -2.30442e-06-0j -2.82233e-06-0j -1.80312e-07-0j -1.8218e-07-0j -5.67929e-09-0j -5.73814e-09-0j 
0.0319283-0j 0.0051524-0j 0.00420692-0j 0.000607217-0j 0.000525865-0j 6.19738e-05-0j 2.8287e-06-0j 0.000416539-0j 6.58605e-05-0j 5.20673e-05-0j 3.47116e-05-0j 7.51527e-06-0j 8.67789e-06-0j 3.0681e-06-0j 7.23157e-07-0j 7.67024e-07-0j 6.39187e-08-0j 2.38211e-09-0j 0.0190378-0j -0.0186875-0j 0.00296804-0j -0.00291342-0j 0.00229903-0j -0.00225673-0j 0.000331836-0j 0.00209872-0j -0.000325731-0j -0.0020601-0j 0.000371004-0j 0.000247336-0j -0.000364178-0j 3.0917e-05-0j 0.0002142-0j -0.000242785-0j -3.03482e-05-0j -0.000210258-0j 4.37233e-05-0j 2.18616e-05-0j -4.29188e-05-0j 2.57642e-06-0j 3.15546e-06-0j -2.14594e-05-0j -2.52901e-06-0j -3.0974e-06-0j 2.03684e-07-0j -1.99936e-07-0j 6.41544e-09-0j -6.2974e-09-0j 
0.0260693-0j 0.00420692-0j 0.00343494-0j 0.00049579-0j 0.000429367-0j 5.06014e-05-0j 2.30963e-06-0j 0.0238939-0j 0.00377796-0j 0.00298674-0j 0.00199116-0j 0.000431099-0j 0.000497791-0j 0.000175996-0j 4.14825e-05-0j 4.39989e-05-0j 3.66657e-06-0j 1.36645e-07-0j -0.0152949-0j 0.0157054-0j -0.00238452-0j 0.0024485-0j -0.00184704-0j 0.0018966-0j -0.000266597-0j -0.00168611-0j 0.000273751-0j 0.00173135-0j -0.000298065-0j -0.00019871-0j 0.000306063-0j -2.48387e-05-0j -0.000172088-0j 0.000204042-0j 2.55053e-05-0j 0.000176706-0j -3.51273e-05-0j -1.75636e-05-0j 3.60699e-05-0j -2.06989e-06-0j -2.53509e-06-0j 1.80349e-05-0j 2.12544e-06-0j 2.60312e-06-0j -1.63639e-07-0j 1.68031e-07-0j -5.15416e-09-0j 5.29247e-09-0j 
-0.0263395-0j -0.00425052-0j -0.00347053-0j -0.000500928-0j -0.000433816-0j -5.11258e-05-0j -2.33356e-06-0j 0.0234543-0j 0.00370845-0j 0.00293179-0j 0.00195453-0j 0.000423167-0j 0.000488631-0j 0.000172757-0j 4.07193e-05-0j 4.31893e-05-0j 3.59911e-06-0j 1.34131e-07-0j -0.0157054-0j 0.0158617-0j -0.0024485-0j 0.00247288-0j -0.0018966-0j 0.00191548-0j -0.000273751-0j -0.00173135-0j 0.000276476-0j 0.00174859-0j -0.000306063-0j -0.000204042-0j 0.000309109-0j -2.55053e-05-0j -0.000176706-0j 0.000206073-0j 2.57591e-05-0j 0.000178464-0j -3.60699e-05-0j -1.80349e-05-0j 3.64289e-05-0j -2.12544e-06-0j -2.60312e-06-0j 1.82145e-05-0j 2.14659e-06-0j 2.62903e-06-0j -1.68031e-07-0j 1.69703e-07-0j -5.29247e-09-0j 5.34515e-09-0j 
-0.0228107-0j -0.00368105-0j -0.00300557-0j -0.000433816-0j -0.000375696-0j -4.42762e-05-0j -2.02092e-06-0j -0.00029759-0j -4.7053e-05-0j -3.71987e-05-0j -2.47991e-05-0j -5.36917e-06-0j -6.19978e-06-0j -2.19195e-06-0j -5.16649e-07-0j -5.47989e-07-0j -4.56657e-08-0j -1.70186e-09-0j 0.0403674-0j 0.013351-0j 0.00629337-0j 0.00208145-0j 0.00487483-0j 0.00161229-0j 0.00070362-0j 0.00445009-0j 0.000232713-0j 0.00147181-0j 0.000786672-0j 0.000524448-0j 0.000260181-0j 6.5556e-05-0j 0.000454185-0j 0.000173454-0j 2.16818e-05-0j 0.000150216-0j 9.27101e-05-0j 4.63551e-05-0j 3.06627e-05-0j 5.463e-06-0j 6.69078e-06-0j 1.53313e-05-0j 1.80682e-06-0j 2.21289e-06-0j 4.31888e-07-0j 1.42841e-07-0j 1.36032e-08-0j 4.49908e-09-0j 
0.0188178-0j 0.00303672-0j 0.00247947-0j 0.00035788-0j 0.000309933-0j 3.6526e-05-0j 1.66718e-06-0j -0.0337586-0j -0.00533771-0j -0.00421983-0j -0.00281322-0j -0.00060908-0j -0.000703305-0j -0.000248656-0j -5.86087e-05-0j -6.21639e-05-0j -5.18033e-06-0j -1.93059e-07-0j -0.0110405-0j 0.0103823-0j -0.00172124-0j 0.00161863-0j -0.00133326-0j 0.00125378-0j -0.00019244-0j -0.0012171-0j 0.000180968-0j 0.00114454-0j -0.000215154-0j -0.000143436-0j 0.000202329-0j -1.79295e-05-0j -0.000124219-0j 0.000134886-0j 1.68607e-05-0j 0.000116815-0j -2.53562e-05-0j -1.26781e-05-0j 2.38447e-05-0j -1.49413e-06-0j -1.82993e-06-0j 1.19223e-05-0j 1.40506e-06-0j 1.72084e-06-0j -1.18121e-07-0j 1.1108e-07-0j -3.72047e-09-0j 3.49868e-09-0j 
-0.00601239-0j -0.000970245-0j -0.000792202-0j -0.000114344-0j -9.90252e-05-0j -1.16702e-05-0j -5.32671e-07-0j 0.0216505-0j 0.00342325-0j 0.00270632-0j 0.00180421-0j 0.000390623-0j 0.000451053-0j 0.000159471-0j 3.75877e-05-0j 3.98678e-05-0j 3.32232e-06-0j 1.23815e-07-0j -0.00358499-0j -0.0383115-0j -0.000558909-0j -0.00597286-0j -0.000432929-0j -0.00462656-0j -6.24879e-05-0j -0.000395208-0j -0.000667786-0j -0.00422345-0j -6.98636e-05-0j -4.65757e-05-0j -0.000746607-0j -5.82196e-06-0j -4.03358e-05-0j -0.000497738-0j -6.22173e-05-0j -0.000431054-0j -8.2335e-06-0j -4.11675e-06-0j -8.79885e-05-0j -4.85164e-07-0j -5.94202e-07-0j -4.39943e-05-0j -5.18477e-06-0j -6.35002e-06-0j -3.83556e-08-0j -4.09892e-07-0j -1.20809e-09-0j -1.29104e-08-0j 
0.00370086-0j -0.0282502-0j 0.000487632-0j -0.00672903-0j -0.00288328-0j -0.00103376-0j -7.88593e-05-0j 0.00339204-0j -0.0253697-0j 0.000424005-0j 0.00028267-0j -0.00585102-0j -0.00334275-0j 2.49847e-05-0j -0.000847466-0j -0.000597167-0j -0.000100048-0j -5.60257e-06-0j 0.0022067-0j 0.00222957-0j -0.0162735-0j -0.0164422-0j 0.000266485-0j 0.000269246-0j -0.00367733-0j 0.000243266-0j -0.00371544-0j 0.000245787-0j -0.00203419-0j -0.00135613-0j -0.00205527-0j -0.000515714-0j 2.48282e-05-0j -0.00137018-0j -0.000521059-0j 2.50855e-05-0j -0.000484531-0j -0.000119866-0j -0.000489552-0j -5.74012e-05-0j -5.26349e-05-0j -0.000121108-0j -5.7996e-05-0j -5.31803e-05-0j -5.67835e-06-0j -5.7372e-06-0j -2.50689e-07-0j -2.53287e-07-0j 
-0.00409611-0j 0.0312673-0j -0.000539709-0j 0.00744767-0j 0.0031912-0j 0.00114416-0j 8.72813e-05-0j -5.34381e-05-0j 0.000399674-0j -6.67976e-06-0j -4.45317e-06-0j 9.21767e-05-0j 5.26616e-05-0j -3.93609e-07-0j 1.3351e-05-0j 9.40775e-06-0j 1.57616e-06-0j 8.82627e-08-0j -0.00244237-0j 0.00239743-0j 0.0180115-0j -0.0176801-0j -0.000294945-0j 0.000289518-0j 0.00407006-0j -0.000269246-0j -0.00399517-0j 0.000264292-0j 0.00225143-0j 0.00150096-0j -0.00221001-0j 0.000570791-0j -2.74798e-05-0j -0.00147334-0j -0.000560289-0j 2.69742e-05-0j 0.000536277-0j 0.000132667-0j -0.00052641-0j 6.35314e-05-0j 5.82561e-05-0j -0.000130226-0j -6.23625e-05-0j -5.71842e-05-0j 6.28478e-06-0j -6.16915e-06-0j 2.77462e-07-0j -2.72357e-07-0j 
-0.00323826-0j 0.0247189-0j -0.000426678-0j 0.0058879-0j 0.00252287-0j 0.000904539-0j 6.90019e-05-0j -0.00296804-0j 0.0221985-0j -0.000371004-0j -0.000247336-0j 0.00511964-0j 0.00292491-0j -2.18616e-05-0j 0.000741533-0j 0.000522521-0j 8.75423e-05-0j 4.90225e-06-0j 0.00189989-0j -0.00195087-0j -0.0140109-0j 0.0143869-0j 0.000229434-0j -0.000235591-0j -0.00316605-0j 0.000209443-0j 0.00325101-0j -0.000215064-0j -0.00175136-0j -0.00116758-0j 0.00179836-0j -0.000444012-0j 2.13762e-05-0j 0.00119891-0j 0.000455926-0j -2.19499e-05-0j -0.000417164-0j -0.0001032-0j 0.000428358-0j -4.94203e-05-0j -4.53167e-05-0j 0.000105969-0j 5.07465e-05-0j 4.65328e-05-0j -4.88886e-06-0j 5.02005e-06-0j -2.15834e-07-0j 2.21626e-07-0j 
-0.00215884-0j 0.0164793-0j -0.000284452-0j 0.00392526-0j 0.00168191-0j 0.000603026-0j 4.60013e-05-0j -0.00197869-0j 0.014799-0j -0.000247336-0j -0.000164891-0j 0.00341309-0j 0.00194994-0j -1.45744e-05-0j 0.000494355-0j 0.000348347-0j 5.83615e-05-0j 3.26817e-06-0j -0.00128724-0j -0.00130058-0j 0.00949288-0j 0.00959125-0j -0.000155449-0j -0.00015706-0j 0.00214511-0j -0.000141905-0j 0.00216734-0j -0.000143376-0j 0.00118661-0j 0.000791073-0j 0.00119891-0j 0.000300833-0j -1.44831e-05-0j 0.000799271-0j 0.000303951-0j -1.46332e-05-0j 0.000282643-0j 6.99217e-05-0j 0.000285572-0j 3.3484e-05-0j 3.07037e-05-0j 7.06463e-05-0j 3.3831e-05-0j 3.10219e-05-0j 3.31237e-06-0j 3.3467e-06-0j 1.46235e-07-0j 1.47751e-07-0j 
