-0.000547173-0j 0.00118647-0j 0.000726559-0j 0.147648-0j 0.190019-0j 0.0792481-0j -0.174276-0j -0.233993-0j -0.103103-0j -0.00063182-0j -0.000653996-0j 0.00145312-0j 0.000726559-0j 0.00186556-0j 0.00157098-0j -0.000462445-0j -0.000223382-0j 0.00020974-0j -0.0802471-0j 0.176473-0j 0.236943-0j -0.0982822-0j -0.0491411-0j -0.0567432-0j 0.167544-0j -0.0283716-0j -0.10119-0j 0.219415-0j -0.120945-0j -0.14581-0j -0.0715518-0j 0.0775749-0j 0.18008-0j -0.0978744-0j 0.28899-0j -0.0599356-0j 0.119991-0j -0.063898-0j 0.0848464-0j -0.0364452-0j 0.0392558-0j -0.0955273-0j 0.0970587-0j 0.290524-0j 0.0140092-0j -0.0555968-0j -0.119871-0j -0.0599356-0j 0.0549047-0j 0.0686308-0j 0.0343154-0j -0.270192-0j -0.0173019-0j -0.0763727-0j 0.0928058-0j -0.0420833-0j 0.124258-0j 0.0323529-0j -0.0148787-0j -0.0209046-0j -0.00634409-0j -0.00963905-0j -0.00681584-0j 0.00872124-0j -0.00184708-0j 0.0647058-0j 0.00255772-0j -0.139822-0j 0.0280184-0j -0.000277849-0j 
-0.0780545-0j -0.0822766-0j -0.149909-0j -0.0629328-0j 0.0421723-0j 0.0703666-0j 0.0752251-0j 0.0406262-0j 0.132413-0j 0.0879063-0j 0.0909916-0j 0.0982822-0j 0.0491411-0j 0.0507527-0j -0.0274255-0j -0.196277-0j -0.157756-0j -0.100736-0j 0.0686254-0j 0.0733636-0j 0.0396209-0j -0.0861743-0j -0.0430872-0j -0.148031-0j -0.0854657-0j -0.123155-0j -0.0450578-0j -0.0474951-0j 0.0552164-0j -0.0613853-0j 0.0971937-0j 0.0852344-0j -0.127841-0j 0.146546-0j 0.0846084-0j 0.267009-0j -0.140212-0j 0.157479-0j 0.302449-0j 0.123999-0j 0.0825423-0j 0.0821096-0j -0.0840553-0j -0.0158317-0j 0.0861537-0j 0.0475451-0j -0.175054-0j -0.0875271-0j 0.0487514-0j 0.181315-0j 0.0906573-0j -0.0457539-0j 0.179424-0j -0.18358-0j -0.0803722-0j -0.13965-0j -0.0806267-0j 0.142218-0j 0.250614-0j -0.0881901-0j -0.0495139-0j -0.0492628-0j 0.106264-0j -0.0254278-0j 0.0130315-0j -0.0560369-0j 0.0247017-0j -0.0107843-0j -0.0242647-0j -0.00240107-0j 
0.233198-0j -0.0792481-0j 0.150529-0j -0.0613853-0j 0.122906-0j 0.21288-0j -0.0733695-0j 0.122906-0j -0.043406-0j -0.0868119-0j 0.278725-0j -0.0970587-0j 0.349586-0j -0.0501209-0j -0.026416-0j -0.0635398-0j -0.0306926-0j -0.0140092-0j 0.21288-0j -0.0733695-0j 0.122906-0j -0.0840553-0j 0.302751-0j -0.0485293-0j -0.0280184-0j 0.0752643-0j 0.134637-0j -0.0457539-0j -0.05188-0j 0.190405-0j -0.0306926-0j -0.0161764-0j -0.0250604-0j -0.0280184-0j -0.0161764-0j 0.0532199-0j 0.0388663-0j -0.0137262-0j -0.0088602-0j 0.0194332-0j -0.00273432-0j -0.0161764-0j 0.260723-0j -0.0152513-0j 0.0376321-0j -0.0475488-0j -0.0343154-0j 0.123597-0j -0.0475488-0j -0.0594361-0j 0.214077-0j -0.0457539-0j -0.004953-0j -0.0164059-0j -0.0803722-0j -0.00723433-0j -0.00417674-0j -0.0280184-0j -0.00255772-0j -0.0029953-0j -0.00542574-0j 0.00367252-0j -0.000837211-0j -0.00045572-0j -0.000176499-0j -0.0560369-0j -0.00221505-0j -0.0107843-0j 0.274322-0j -2.17256e-05-0j 
-0.162173-0j -0.170945-0j 0.0378309-0j -0.132413-0j -0.0854725-0j -0.148043-0j -0.158264-0j -0.0854725-0j 0.0338369-0j 0.0613853-0j 0.0635398-0j 0.0686308-0j 0.0343154-0j 0.0354408-0j -0.0569817-0j 0.0495322-0j 0.292102-0j 0.336996-0j 0.0485293-0j 0.05188-0j 0.0280184-0j -0.181315-0j -0.0906573-0j 0.0378309-0j 0.0218417-0j 0.230927-0j 0.0306926-0j 0.0323529-0j -0.11191-0j 0.043406-0j 0.0239263-0j 0.153951-0j 0.0177204-0j -0.0604382-0j -0.034894-0j 0.0133752-0j 0.0088602-0j -0.0296086-0j 0.00690694-0j -0.0135144-0j -0.00589816-0j 0.153951-0j 0.0594361-0j 0.0107843-0j 0.291847-0j 0.0336221-0j 0.0242647-0j 0.0121323-0j -0.102567-0j 0.0463331-0j 0.0231666-0j 0.0323529-0j 0.119146-0j 0.0116007-0j 0.0568317-0j 0.00511544-0j 0.0029534-0j 0.266652-0j 0.0243418-0j 0.00211799-0j 0.240873-0j 0.000837211-0j 0.000652644-0j 0.000322243-0j -0.000380725-0j 0.039624-0j 0.156237-0j 0.00762565-0j 0.0171577-0j 1.53623e-05-0j 
-0.0928518-0j -0.0978744-0j -0.0599356-0j 0.127841-0j 0.0149297-0j 0.0280184-0j 0.029953-0j 0.0161764-0j 0.0177204-0j -0.107216-0j -0.110979-0j -0.119871-0j -0.0599356-0j -0.0619012-0j -0.0326248-0j -0.0784741-0j -0.0379066-0j -0.0173019-0j 0.142931-0j 0.1528-0j 0.0825213-0j 0.175054-0j 0.0875271-0j 0.101068-0j 0.0583514-0j 0.0505338-0j 0.0163547-0j 0.0172393-0j 0.0195476-0j 0.0250604-0j 0.0115645-0j 0.00609502-0j -0.15762-0j -0.176224-0j -0.101743-0j -0.107915-0j -0.0978135-0j -0.107149-0j -0.0691646-0j 0.100144-0j 0.260546-0j 0.00660401-0j 0.0343154-0j 0.00574644-0j 0.004953-0j 0.0990256-0j -0.215829-0j -0.107915-0j 0.0194117-0j 0.0242647-0j 0.0121323-0j 0.018679-0j -0.0311523-0j -0.128068-0j 0.0328118-0j 0.115637-0j 0.066763-0j 0.0114385-0j 0.0408838-0j 0.285414-0j 0.0112997-0j 0.320099-0j 0.226344-0j 0.269552-0j 0.197508-0j 0.0228769-0j 0.000904291-0j 0.00440267-0j 0.00990601-0j 0.0669405-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
