-0.0505971-0j -0.0590299-0j -0.0361483-0j -0.0516512-0j -0.021305-0j -0.00649114-0j -0.00733253-0j -0.00598698-0j -0.00604903-0j -0.00523861-0j -0.00432163-0j -0.00138078-0j 0.400613-0j -0.000600989-0j 0.443397-0j -0.000665172-0j 0.350536-0j 0.233691-0j -0.000525865-0j 0.354169-0j -0.000350577-0j -0.000531314-0j 0.408959-0j 0.144589-0j -0.000613509-0j 0.238559-0j -0.000216908-0j 0.253031-0j -0.00035788-0j -0.000379589-0j 0.147601-0j -0.000221427-0j 0.0385054-0j -5.77647e-05-0j -0.0031278-0j 0.0531988-0j -4.60769e-05-0j -0.00341342-0j 0.0580568-0j -5.02844e-05-0j -0.00264402-0j -0.00267142-0j -0.00241365-0j 0.0449706-0j -3.89502e-05-0j 0.0454366-0j 0.0410524-0j -0.00298674-0j -3.93538e-05-0j -0.00199116-0j -3.55565e-05-0j -0.00174227-0j -0.0017244-0j 0.0507997-0j 0.0338665-0j -0.00246394-0j -4.39989e-05-0j 0.0296332-0j 0.0293292-0j -0.00123197-0j -2.93326e-05-0j -0.00101632-0j -2.5666e-05-0j -2.54028e-05-0j 0.0419076-0j -0.00124474-0j 0.0209538-0j -3.62972e-05-0j 0.017286-0j -0.000562431-0j -1.81486e-05-0j 0.0211709-0j -1.49718e-05-0j -0.000124004-0j 0.00956605-0j -1.83367e-05-0j -8.2854e-06-0j 0.00210912-0j -1.82676e-06-0j 
0.00730306-0j 0.00852024-0j 0.00521756-0j 0.00745521-0j 0.00307512-0j -0.0895739-0j -0.101184-0j -0.0826168-0j -0.083473-0j -0.0722897-0j -0.059636-0j -0.019054-0j 0.000600989-0j 0.388103-0j 0.000665172-0j 0.429552-0j 0.000525865-0j 0.000350577-0j 0.33959-0j 0.000531314-0j 0.226394-0j 0.34311-0j 0.000613509-0j 0.000216908-0j 0.396189-0j 0.00035788-0j 0.140074-0j 0.000379589-0j 0.23111-0j 0.245129-0j 0.000221427-0j 0.142992-0j 5.77647e-05-0j 0.037303-0j 0.000451459-0j -0.00763-0j 0.09118-0j 0.000492685-0j -0.00832674-0j 0.0995063-0j 0.000381632-0j 0.000385587-0j 0.000348381-0j -0.00644987-0j 0.0770772-0j -0.00651671-0j -0.0058879-0j 0.000431099-0j 0.077876-0j 0.0002874-0j 0.0703615-0j 0.000251475-0j 0.000248895-0j -0.0072859-0j -0.00485727-0j 0.000355639-0j 0.087068-0j -0.00425011-0j -0.00420652-0j 0.000177819-0j 0.0580453-0j 0.000146693-0j 0.0507897-0j 0.0502687-0j -0.00601056-0j 0.000179662-0j -0.00300528-0j 0.0718274-0j -0.00247923-0j 8.118e-05-0j 0.0359137-0j -0.00303642-0j 0.0296273-0j 1.78985e-05-0j -0.001372-0j 0.0362859-0j 0.0163957-0j -0.000302498-0j 0.00361491-0j 
0.041479-0j 0.000688806-0j 0.0296341-0j -0.0411378-0j -0.0514026-0j 0.00532138-0j 8.55615e-05-0j 0.00490807-0j -0.00481777-0j 6.11281e-05-0j -0.00693438-0j -0.00444725-0j 0.00341342-0j 0.000492685-0j 5.37749e-05-0j 7.76174e-06-0j 0.00298674-0j 0.00199116-0j 0.000431099-0j -0.00293179-0j 0.0002874-0j -0.000423167-0j 4.95983e-05-0j 0.00123197-0j 7.15889e-06-0j -0.00397849-0j 0.000177819-0j -0.00209457-0j -0.000574246-0j -0.000302325-0j -0.0037013-0j -0.000534237-0j -0.00161241-0j -0.000232731-0j -0.373698-0j 0.000453281-0j 3.77734e-05-0j -0.00580489-0j 7.04109e-06-0j 5.86757e-07-0j -0.315898-0j 0.310086-0j -0.288375-0j 0.000383172-0j 3.1931e-05-0j -0.000376122-0j 0.000349786-0j -0.00507927-0j -3.13435e-05-0j -0.00338618-0j 2.91489e-05-0j 0.407431-0j -0.206025-0j 6.16095e-06-0j 4.1073e-06-0j 0.286002-0j 5.13413e-07-0j -0.000494197-0j 0.000249899-0j -0.00209509-0j 3.42275e-07-0j 0.357366-0j -4.11831e-05-0j 2.0825e-05-0j -0.000346909-0j 0.291083-0j 2.54126e-06-0j -2.8909e-05-0j -0.00043347-0j 0.264007-0j 2.11772e-07-0j -0.000353071-0j -3.61225e-05-0j 0.0874174-0j -0.000320229-0j -2.94226e-05-0j -2.66858e-05-0j -0.000106034-0j -8.83615e-06-0j 
-0.00733253-0j -0.000121765-0j -0.00523861-0j 0.0072722-0j 0.00908678-0j 0.0444973-0j 0.000715464-0j 0.0410412-0j -0.0402861-0j 0.000511152-0j -0.0579852-0j -0.0371879-0j 0.0580568-0j 0.00832674-0j 0.000914625-0j 0.000131179-0j 0.0507997-0j 0.0338665-0j 0.0072859-0j -0.049865-0j 0.00485727-0j -0.00715184-0j 0.000843587-0j 0.0209538-0j 0.000120991-0j -0.0676678-0j 0.00300528-0j -0.0356253-0j -0.00970519-0j -0.00510952-0j -0.0629532-0j -0.009029-0j -0.0274244-0j -0.00393332-0j -0.000453281-0j -0.364682-0j 0.000960936-0j -7.04109e-06-0j -0.00566484-0j 1.49268e-05-0j -0.000383172-0j 0.000376122-0j -0.000349786-0j -0.308277-0j 0.000812309-0j 0.302605-0j -0.281417-0j -6.16095e-06-0j -0.000797362-0j -4.1073e-06-0j 0.000741533-0j 0.000494197-0j -0.000249899-0j -0.00495673-0j -0.00330449-0j 0.000346909-0j 1.3061e-05-0j 0.397601-0j -0.201054-0j -2.54126e-06-0j 8.70731e-06-0j 0.00043347-0j -0.00104768-0j 0.000529777-0j 0.279102-0j 0.000353071-0j -0.00204455-0j -0.000735432-0j 0.348744-0j 0.000320229-0j 5.38737e-06-0j 0.28406-0j -0.000918939-0j 0.000106034-0j 0.257637-0j -0.000748497-0j -0.000678873-0j 0.0853084-0j -0.000224787-0j 
0.000611044-0j 1.01471e-05-0j 0.000436551-0j -0.000606017-0j -0.000757232-0j -0.0112811-0j -0.000181387-0j -0.0104049-0j 0.0102135-0j -0.000129589-0j 0.0147006-0j 0.00942799-0j 5.02844e-05-0j 0.0995063-0j 7.92179e-07-0j 0.00156762-0j 4.39989e-05-0j 2.93326e-05-0j 0.087068-0j -4.31893e-05-0j 0.0580453-0j -0.0854659-0j 7.30651e-07-0j 1.81486e-05-0j 0.00144586-0j -5.86087e-05-0j 0.0359137-0j -3.08559e-05-0j -0.115979-0j -0.0610598-0j -5.45253e-05-0j -0.107898-0j -2.3753e-05-0j -0.047004-0j 3.77734e-05-0j -0.000960936-0j -0.353135-0j 5.86757e-07-0j -1.49268e-05-0j -0.00548546-0j 3.1931e-05-0j -3.13435e-05-0j 2.91489e-05-0j -0.000812309-0j -0.298515-0j 0.000797362-0j -0.000741533-0j 5.13413e-07-0j 0.293023-0j 3.42275e-07-0j -0.272506-0j -4.11831e-05-0j 2.0825e-05-0j -1.3061e-05-0j -8.70731e-06-0j -2.8909e-05-0j -0.00479978-0j 0.00104768-0j -0.000529777-0j 2.11772e-07-0j -0.00319985-0j -3.61225e-05-0j 0.385011-0j -0.194688-0j 0.000735432-0j -2.94226e-05-0j -5.38737e-06-0j 0.270264-0j 0.000918939-0j -2.66858e-05-0j -0.00197981-0j 0.000748497-0j 0.337701-0j -8.83615e-06-0j 0.000678873-0j 0.275065-0j 0.249479-0j 0.000224787-0j 0.0826071-0j 
0.0252415-0j 0.0294484-0j -0.0535217-0j -0.025354-0j 0.0106285-0j 0.00323826-0j 0.003658-0j -0.00293883-0j 0.00301769-0j -0.00775636-0j -0.00212136-0j 0.000688835-0j 0.00207719-0j 0.000299817-0j 0.00229903-0j 0.000331836-0j -0.00178839-0j 0.0012117-0j -0.000258132-0j 0.00183638-0j 0.000174893-0j 0.000265058-0j -0.00208645-0j -0.00371241-0j -0.000301153-0j 0.00123694-0j -0.000535841-0j -0.00389383-0j 0.000178537-0j -0.000562025-0j -0.000753041-0j -0.000108692-0j 0.000199652-0j 2.88173e-05-0j 0.00156037-0j 0.000275838-0j 2.29865e-05-0j 0.00170286-0j 0.000301027-0j 2.50855e-05-0j -0.00129787-0j 0.0013327-0j 0.00120411-0j -0.000229434-0j -1.91195e-05-0j 0.000235591-0j 0.000212858-0j -0.0014661-0j 1.96325e-05-0j 0.000993337-0j 1.77382e-05-0j 0.00086917-0j -0.00255317-0j -0.000259173-0j 0.000175599-0j -0.00120947-0j -2.15977e-05-0j 0.000153649-0j -0.00045134-0j -0.0030434-0j 1.46332e-05-0j 0.000507016-0j 1.28041e-05-0j -3.76117e-05-0j -0.000213807-0j -0.00184297-0j -0.000538003-0j -1.78172e-05-0j 8.96286e-05-0j -0.000276081-0j -4.48336e-05-0j -0.000325795-0j 7.46905e-06-0j 6.18625e-05-0j -4.88047e-05-0j -2.71496e-05-0j -4.06706e-06-0j 1.09358e-05-0j 9.1132e-07-0j 
-0.0255031-0j 0.0289066-0j -0.0182203-0j 0.0260239-0j -0.0512737-0j -0.00327181-0j 0.00359069-0j -0.00301769-0j 0.00304773-0j 0.00256531-0j -0.0019949-0j -0.00736134-0j -0.00209872-0j -0.000302924-0j 0.00225673-0j 0.000325731-0j -0.00183638-0j -0.00122425-0j -0.000265058-0j 0.00185466-0j -0.000176706-0j 0.000267697-0j 0.00208145-0j -0.000757467-0j 0.000300432-0j -0.00114454-0j -0.000109331-0j 0.00132503-0j -0.000165201-0j 0.000191252-0j -0.00369202-0j -0.000532897-0j -0.0036961-0j -0.000533486-0j -0.00157654-0j -0.000278696-0j -2.32247e-05-0j 0.00167153-0j 0.000295488-0j 2.4624e-05-0j -0.0013327-0j 0.00134597-0j -0.00121658-0j -0.000235591-0j -1.96325e-05-0j 0.000237935-0j -0.000215064-0j 0.00146259-0j 1.9828e-05-0j 0.00097506-0j -1.7922e-05-0j -0.000804246-0j -0.00086917-0j 0.000258552-0j 0.000172368-0j 0.00124143-0j 2.1546e-05-0j -0.000142172-0j -0.000153649-0j 0.000603287-0j 1.4364e-05-0j -0.00244593-0j -1.18477e-05-0j -1.28041e-05-0j 0.000219455-0j -0.000574581-0j 0.000106647-0j 1.82879e-05-0j -0.000432383-0j -0.00299848-0j 8.88726e-06-0j -0.000101572-0j -3.60319e-05-0j -0.00175086-0j -0.000530061-0j -8.46437e-06-0j -4.41718e-05-0j -0.000309511-0j -2.57926e-05-0j 
-0.00420692-0j -0.00490807-0j 0.00892028-0j 0.00422567-0j -0.00177142-0j 0.0255296-0j 0.0288388-0j -0.023169-0j 0.0237908-0j -0.0611492-0j -0.0167243-0j 0.00543061-0j -0.000346199-0j 0.00477734-0j -0.000383172-0j 0.00528754-0j 0.000298065-0j -0.000201949-0j -0.00411311-0j -0.000306063-0j 0.00278678-0j 0.00422349-0j 0.000347742-0j 0.000618736-0j -0.00479863-0j -0.000206157-0j -0.00853818-0j 0.000648971-0j 0.00284484-0j -0.00895541-0j 0.000125507-0j -0.00173192-0j -3.32753e-05-0j 0.000459179-0j 0.0379015-0j 0.00217464-0j 0.000551322-0j 0.0413626-0j 0.00237322-0j 0.000601667-0j -0.0315254-0j 0.0323713-0j 0.0292478-0j -0.0018088-0j -0.000458573-0j 0.00185734-0j 0.00167812-0j -0.0356117-0j 0.000470879-0j 0.0241282-0j 0.000425443-0j 0.0211121-0j -0.0620164-0j -0.00204326-0j 0.00138438-0j -0.0293781-0j -0.000518013-0j 0.00121133-0j -0.00355826-0j -0.0739243-0j 0.000350972-0j 0.0123154-0j 0.000307101-0j -0.000902101-0j -0.0016856-0j -0.0447658-0j -0.00424148-0j -0.000427339-0j 0.00070661-0j -0.00670601-0j -0.00107532-0j -0.00256849-0j 0.000179142-0j 0.00150264-0j -0.000384764-0j -0.000651171-0j -9.75467e-05-0j 8.62155e-05-0j 2.18577e-05-0j 
-0.0025762-0j -0.00300557-0j 0.00546253-0j 0.00258769-0j -0.00108477-0j -0.000330503-0j -0.000373343-0j 0.000299943-0j -0.000307992-0j 0.00079163-0j 0.000216511-0j -7.03039e-05-0j 0.0410072-0j -3.05999e-05-0j 0.0453867-0j -3.38679e-05-0j -0.0353057-0j 0.0239209-0j 2.63454e-05-0j 0.0362532-0j -1.785e-05-0j -2.70524e-05-0j -0.04119-0j -0.0732892-0j 3.07363e-05-0j 0.0244192-0j 5.4689e-05-0j -0.0768706-0j -1.82218e-05-0j 5.73615e-05-0j -0.0148663-0j 1.10933e-05-0j 0.00394146-0j -2.94115e-06-0j -0.000159255-0j 0.0054455-0j -2.34605e-06-0j -0.000173798-0j 0.00594276-0j -2.56028e-06-0j 0.000132464-0j -0.000136018-0j -0.000122894-0j -0.0045294-0j 1.95137e-06-0j 0.00465095-0j 0.00420217-0j 0.000149634-0j -2.00374e-06-0j -0.000101382-0j -1.81039e-06-0j -8.87093e-05-0j 0.000260581-0j -0.00511651-0j 0.00346661-0j 0.000123441-0j 2.20431e-06-0j 0.00303329-0j -0.00891021-0j 0.000310616-0j -1.4935e-06-0j -5.17471e-05-0j -1.30681e-06-0j 3.83873e-06-0j -0.0042209-0j 0.000188098-0j -0.0106211-0j 1.81846e-06-0j 0.00176942-0j 2.81774e-05-0j 4.57581e-06-0j -0.00643173-0j -7.62306e-07-0j -6.31381e-06-0j -0.000963485-0j 2.77094e-06-0j 4.15092e-07-0j 0.000215892-0j -9.30112e-08-0j 
0.00425052-0j -0.00481777-0j 0.00303672-0j -0.00433731-0j 0.00854562-0j -0.0257942-0j 0.0283081-0j -0.0237908-0j 0.0240276-0j 0.0202243-0j -0.0157273-0j -0.058035-0j 0.000349786-0j -0.00482684-0j -0.000376122-0j 0.00519025-0j 0.000306063-0j 0.000204042-0j -0.00422349-0j -0.000309109-0j -0.00281566-0j 0.00426553-0j -0.000346909-0j 0.000126245-0j 0.00478713-0j 0.000190757-0j -0.0017421-0j -0.000220838-0j -0.00263234-0j 0.00304744-0j 0.000615337-0j -0.00849128-0j 0.000616017-0j -0.00850066-0j -0.0382943-0j -0.00219717-0j -0.000557035-0j 0.0406015-0j 0.00232955-0j 0.000590596-0j -0.0323713-0j 0.0326935-0j -0.0295508-0j -0.00185734-0j -0.000470879-0j 0.00187583-0j -0.00169551-0j 0.0355263-0j 0.000475566-0j 0.0236842-0j -0.000429852-0j -0.0195351-0j -0.0211121-0j 0.00203836-0j 0.00135891-0j 0.0301543-0j 0.000516772-0j -0.00112085-0j -0.00121133-0j 0.0146539-0j 0.000344515-0j -0.0594117-0j -0.000284161-0j -0.000307101-0j 0.00173013-0j -0.0139566-0j 0.00084078-0j 0.000438629-0j -0.00340881-0j -0.0728331-0j 0.000213158-0j -0.000800773-0j -0.000864212-0j -0.0425284-0j -0.00417887-0j -0.000203015-0j -0.00105944-0j -0.00244011-0j -0.000618625-0j 
0.000525865-0j 0.000613509-0j -0.00111504-0j -0.000528209-0j 0.000221427-0j -0.00644987-0j -0.0072859-0j 0.00585349-0j -0.00601056-0j 0.0154489-0j 0.00422527-0j -0.001372-0j -0.00416364-0j 0.0279458-0j -0.00460831-0j 0.0309303-0j 0.00358475-0j -0.00242879-0j -0.0240603-0j -0.00368094-0j 0.0163017-0j 0.024706-0j 0.00418221-0j 0.00744138-0j -0.0280704-0j -0.00247939-0j -0.0499455-0j 0.00780501-0j 0.0166413-0j -0.0523862-0j 0.00150944-0j -0.0101311-0j -0.000400194-0j 0.00268604-0j 3.25078e-05-0j 0.0528606-0j 0.00656552-0j 3.54763e-05-0j 0.0576876-0j 0.00716506-0j -2.7039e-05-0j 2.77646e-05-0j 2.50855e-05-0j -0.0439679-0j -0.005461-0j 0.0451477-0j 0.0407913-0j -3.05438e-05-0j 0.00560754-0j 2.06945e-05-0j 0.00506646-0j 1.81077e-05-0j -5.3191e-05-0j -0.049667-0j 0.0336511-0j -2.51974e-05-0j -0.00616886-0j 0.0294447-0j -0.0864932-0j -6.34042e-05-0j 0.00417962-0j 1.05628e-05-0j 0.00365716-0j -0.0107428-0j -0.0409732-0j -3.83953e-05-0j -0.103101-0j -0.00508905-0j 0.0171761-0j -5.75169e-06-0j -0.0128056-0j -0.0624341-0j 0.00213335-0j 1.2888e-06-0j -0.00935275-0j -0.00775459-0j -0.00116165-0j 0.00209571-0j 0.000260296-0j 
