-0.00386104-0j -0.000682542-0j -5.68785e-05-0j -0.00335725-0j -0.000559542-0j -0.000342648-0j -6.99427e-05-0j -4.12141e-06-0j -0.00211001-0j -0.00213188-0j -0.000340502-0j -0.00034403-0j -0.000278018-0j -4.01285e-05-0j -0.0002809-0j -3.47523e-05-0j -4.05444e-05-0j -4.0956e-06-0j -3.51124e-05-0j -1.86938e-07-0j -4.13804e-06-0j -1.88875e-07-0j -0.00156286-0j -0.00193394-0j -0.00112813-0j -0.00024711-0j -0.000305783-0j -0.000195357-0j -0.000178373-0j -0.000130238-0j -2.81974e-05-0j -0.000241742-0j -3.25596e-05-0j -0.000161162-0j -3.48925e-05-0j -0.000141016-0j -1.15115e-05-0j -9.4011e-05-0j -2.7133e-06-0j -2.0354e-05-0j -2.87789e-06-0j -4.02904e-05-0j -1.42448e-05-0j -2.39824e-07-0j -2.35027e-05-0j -3.35753e-06-0j -3.5612e-06-0j -8.30947e-06-0j -8.93771e-09-0j -1.95856e-06-0j -2.07737e-06-0j -2.96767e-07-0j -1.73114e-07-0j -1.10598e-08-0j -6.45158e-09-0j 
0.000591099-0j -0.00494276-0j -0.00125311-0j 0.000513972-0j -0.00405203-0j 5.2457e-05-0j -0.00102371-0j -0.000121277-0j 0.000323028-0j 0.000326376-0j -0.00246581-0j -0.00249136-0j 4.25627e-05-0j -0.00058734-0j 4.30038e-05-0j -0.000251666-0j -0.000593427-0j -9.02312e-05-0j -0.000254274-0j -6.8832e-06-0j -9.11663e-05-0j -6.95453e-06-0j 0.000239263-0j 0.000296073-0j 0.000172709-0j -0.00178949-0j -0.00221438-0j 2.99079e-05-0j -0.00129172-0j 1.99386e-05-0j -0.000412711-0j 3.70091e-05-0j -0.000235786-0j 2.46727e-05-0j -0.000510704-0j 2.15886e-05-0j 1.76234e-06-0j 1.43924e-05-0j -5.97774e-05-0j -0.00029791-0j -4.21221e-05-0j -0.000291771-0j 2.18078e-06-0j -7.05707e-06-0j -0.0001702-0j -7.39707e-05-0j -5.21235e-05-0j 1.27212e-06-0j -3.95186e-07-0j -4.31496e-05-0j -3.04054e-05-0j -8.73268e-06-0j -5.09406e-06-0j -4.89018e-07-0j -2.85261e-07-0j 
0.000446829-0j -0.00759984-0j 6.58241e-06-0j 0.000388526-0j 6.47544e-05-0j -0.00767015-0j -0.000778784-0j 4.76961e-07-0j 0.000244186-0j 0.000246717-0j 3.94054e-05-0j 3.98138e-05-0j -0.00309563-0j 4.64397e-06-0j -0.00312771-0j -0.000777928-0j 4.6921e-06-0j -4.56029e-05-0j -0.00078599-0j 2.16338e-08-0j -4.60755e-05-0j 2.1858e-08-0j 0.000180866-0j 0.00022381-0j 0.000130556-0j 2.85974e-05-0j 3.53875e-05-0j -0.00217523-0j 2.06427e-05-0j 1.50722e-05-0j 3.26322e-06-0j -0.00269171-0j -0.000362538-0j 1.86508e-05-0j 4.03802e-06-0j -0.00157016-0j -0.000387194-0j 1.08797e-05-0j 3.14003e-07-0j 2.35551e-06-0j -6.44213e-05-0j -0.000448618-0j -0.000479128-0j -2.67034e-06-0j -0.000261694-0j 3.88559e-07-0j -7.97173e-05-0j -0.000279491-0j 1.03434e-09-0j 2.26659e-07-0j -4.65018e-05-0j -3.30438e-06-0j -1.92756e-06-0j 1.27993e-09-0j 7.46625e-10-0j 
-6.44942e-05-0j 0.00109-0j -0.0130257-0j -5.60789e-05-0j 0.000893572-0j -5.72353e-06-0j -0.00522709-0j -0.00190092-0j -3.52453e-05-0j -3.56105e-05-0j 0.000543771-0j 0.000549406-0j -4.64397e-06-0j -0.00299896-0j -4.6921e-06-0j 5.54984e-05-0j -0.00303004-0j -0.000937931-0j 5.60736e-05-0j -0.000144203-0j -0.000947651-0j -0.000145697-0j -2.61057e-05-0j -3.23042e-05-0j -1.88441e-05-0j 0.000394627-0j 0.000488326-0j -3.26322e-06-0j 0.000284857-0j -2.17548e-06-0j -0.0021073-0j -4.03802e-06-0j 5.19967e-05-0j -2.69202e-06-0j -0.00260766-0j -2.35551e-06-0j -1.92287e-07-0j -1.57034e-06-0j -0.000621371-0j -0.00152113-0j -0.000215076-0j 6.43426e-05-0j -2.37943e-07-0j -0.000110614-0j 3.75332e-05-0j -0.000768907-0j -0.000266143-0j -1.388e-07-0j -1.03633e-05-0j -0.000448529-0j -0.00015525-0j -0.000136878-0j -7.98453e-05-0j -1.28239e-05-0j -7.48063e-06-0j 
-0.0574312-0j 6.96617e-05-0j 5.80514e-06-0j 0.000342648-0j -0.00832292-0j 3.49714e-05-0j 7.1385e-06-0j 4.2064e-07-0j 0.000215352-0j 0.000217584-0j 3.47523e-05-0j 3.51124e-05-0j -0.0041354-0j -0.000596893-0j -0.00417825-0j 3.54689e-06-0j -0.000603079-0j 4.18005e-07-0j 3.58365e-06-0j 1.90792e-08-0j 4.22337e-07-0j 1.9277e-08-0j -0.0475439-0j -0.0588326-0j -0.034319-0j 2.52205e-05-0j 3.12088e-05-0j 1.99386e-05-0j 1.82051e-05-0j -0.00388776-0j 2.87789e-06-0j 2.46727e-05-0j -0.000484308-0j -0.00481086-0j 3.5612e-06-0j 1.43924e-05-0j 1.17489e-06-0j -0.00280633-0j -4.0359e-05-0j 2.07737e-06-0j 2.93723e-07-0j -0.000599301-0j 1.45386e-06-0j 2.44769e-08-0j -0.000349592-0j -4.99418e-05-0j 3.63464e-07-0j 8.48082e-07-0j 9.12201e-10-0j -2.91327e-05-0j 2.12021e-07-0j 3.02886e-08-0j 1.76684e-08-0j 1.12879e-09-0j 6.58462e-10-0j 
0.000373844-0j 6.60868e-05-0j 5.50724e-06-0j -0.0636758-0j 5.41774e-05-0j 3.31767e-05-0j 6.77217e-06-0j 3.99054e-07-0j -0.0503928-0j -0.050915-0j -0.00645817-0j -0.0065251-0j 2.6919e-05-0j 3.88543e-06-0j 2.7198e-05-0j 3.36488e-06-0j 3.92569e-06-0j 3.96555e-07-0j 3.39975e-06-0j 1.81002e-08-0j 4.00664e-07-0j 1.82877e-08-0j 0.000151323-0j 0.000187253-0j 0.000109231-0j -0.00590165-0j -0.00730292-0j -0.00370527-0j -0.00426004-0j 1.26103e-05-0j -0.00053481-0j -0.00458504-0j 3.15257e-06-0j 1.56044e-05-0j -0.000661794-0j -0.00267461-0j 1.1146e-06-0j 9.10257e-06-0j 2.62714e-07-0j -0.000386046-0j 2.7865e-07-0j 3.9011e-06-0j 1.37925e-06-0j 2.32208e-08-0j 2.27564e-06-0j 3.25092e-07-0j 3.44812e-07-0j 8.04561e-07-0j 8.6539e-10-0j 1.89637e-07-0j 2.0114e-07-0j 2.87343e-08-0j 1.67617e-08-0j 1.07087e-09-0j 6.24671e-10-0j 
-6.96617e-05-0j -0.0560456-0j 0.00014768-0j -6.05722e-05-0j 0.000477536-0j 0.00119579-0j -0.0116078-0j 1.42926e-05-0j -3.80692e-05-0j -3.84638e-05-0j 0.000290598-0j 0.00029361-0j 0.000482615-0j 6.92187e-05-0j 0.000487617-0j -0.00573689-0j 6.9936e-05-0j -0.00102313-0j -0.00579635-0j 8.11193e-07-0j -0.00103373-0j 8.19599e-07-0j 0.00840465-0j 0.0104002-0j 0.0060668-0j 0.000210894-0j 0.000260968-0j 0.000339123-0j 0.000152231-0j -2.34978e-06-0j 4.86384e-05-0j 0.000419644-0j -0.00267356-0j -2.90771e-06-0j 6.0187e-05-0j 0.000244792-0j 6.03645e-05-0j -1.69616e-06-0j 7.04483e-06-0j 3.51091e-05-0j -0.000960204-0j -0.00330837-0j 7.46972e-05-0j -8.00196e-05-0j -0.00192988-0j 8.71753e-06-0j -0.00118819-0j 4.35734e-05-0j 4.65732e-08-0j 5.08523e-06-0j -0.000693112-0j -9.90192e-05-0j -5.77612e-05-0j 5.76313e-08-0j 3.36183e-08-0j 
5.80514e-06-0j -0.00014768-0j -0.0542709-0j 5.04768e-06-0j -0.000121067-0j 5.15177e-07-0j 0.00144174-0j -0.0162432-0j 3.17244e-06-0j 3.20531e-06-0j -7.36735e-05-0j -7.4437e-05-0j 4.18005e-07-0j 0.000827177-0j 4.22337e-07-0j -7.51927e-06-0j 0.000835749-0j -0.00390784-0j -7.59719e-06-0j -0.00186135-0j -0.00394833-0j -0.00188064-0j -0.000700388-0j -0.000866685-0j -0.000505567-0j -5.34665e-05-0j -6.61614e-05-0j 2.93723e-07-0j -3.85942e-05-0j 1.95815e-07-0j 0.000581239-0j 3.63464e-07-0j -7.04483e-06-0j 2.42309e-07-0j 0.000719247-0j 2.12021e-07-0j 1.73078e-08-0j 1.41347e-07-0j -0.00258891-0j 0.000419561-0j 5.93225e-05-0j -8.71753e-06-0j 2.14173e-08-0j -0.000945186-0j -5.08523e-06-0j -0.00320361-0j 7.34078e-05-0j 1.24934e-08-0j -0.000178919-0j -0.00186877-0j 4.28212e-05-0j -0.00116961-0j -0.000682271-0j -0.000221402-0j -0.000129151-0j 
0.00908067-0j 0.000521013-0j 0.000132089-0j -5.41774e-05-0j -0.0622487-0j -5.52946e-06-0j 0.000107909-0j 1.27837e-05-0j 0.0083988-0j 0.00848583-0j 0.000259919-0j 0.000262613-0j 0.000653863-0j -0.00902293-0j 0.000660639-0j 2.65279e-05-0j -0.00911643-0j 9.51121e-06-0j 2.68028e-05-0j 7.25553e-07-0j 9.60977e-06-0j 7.33072e-07-0j -2.52205e-05-0j -3.12088e-05-0j -1.82051e-05-0j -0.0465272-0j -0.0575744-0j -3.15257e-06-0j -0.0335851-0j 0.000614709-0j 4.35035e-05-0j -3.9011e-06-0j -0.00362223-0j 0.000760663-0j 5.38329e-05-0j -2.27564e-06-0j -1.85767e-07-0j 0.00044372-0j -0.000918321-0j 3.14025e-05-0j 4.44006e-06-0j -0.00448229-0j -2.29875e-07-0j 7.43881e-07-0j -0.00261467-0j -0.00113636-0j 5.4943e-06-0j -1.34094e-07-0j 4.16563e-08-0j -0.000662879-0j 3.20501e-06-0j 9.20505e-07-0j 5.36961e-07-0j 5.1547e-08-0j 3.00691e-08-0j 
-4.26589e-05-0j 0.000356713-0j 9.04351e-05-0j 0.014569-0j 0.00029243-0j -3.78576e-06-0j 7.38803e-05-0j 8.75241e-06-0j -2.33126e-05-0j -2.35541e-05-0j -0.0698957-0j -0.0706201-0j -3.0717e-06-0j 4.23876e-05-0j -3.10353e-06-0j 1.81624e-05-0j 4.28269e-05-0j 6.51188e-06-0j 1.83506e-05-0j 4.96752e-07-0j 6.57936e-06-0j 5.019e-07-0j -1.72673e-05-0j -2.13672e-05-0j -1.24642e-05-0j 0.000129146-0j 0.000159809-0j 0.000847768-0j 9.32222e-05-0j -1.43894e-06-0j -0.0116987-0j 0.00104906-0j 1.70164e-05-0j -1.7806e-06-0j -0.0144764-0j 0.000611951-0j -1.27186e-07-0j -1.03868e-06-0j 4.31406e-06-0j -0.00844456-0j 3.0399e-06-0j 2.10567e-05-0j -1.57384e-07-0j 5.093e-07-0j 1.22831e-05-0j 5.33838e-06-0j 3.76169e-06-0j -9.18076e-08-0j 2.85201e-08-0j 3.11405e-06-0j 2.19432e-06-0j 6.30227e-07-0j 3.67632e-07-0j 3.52918e-08-0j 2.05869e-08-0j 
-3.81553e-05-0j 0.00130466-0j -5.6208e-07-0j -3.31767e-05-0j -5.52946e-06-0j -0.0626875-0j 0.000133694-0j -4.07283e-08-0j 0.00514319-0j 0.00519649-0j -3.36488e-06-0j -3.39975e-06-0j 0.000531426-0j -3.96555e-07-0j 0.000536933-0j -0.00635794-0j -4.00664e-07-0j 7.82865e-06-0j -0.00642383-0j -1.84734e-09-0j 7.90978e-06-0j -1.86648e-09-0j -1.54444e-05-0j -1.91114e-05-0j -1.11483e-05-0j 0.000602335-0j 0.000745351-0j 0.000373421-0j 0.000434788-0j -1.28703e-06-0j -2.7865e-07-0j 0.000462085-0j 6.22369e-05-0j -1.59262e-06-0j -3.44812e-07-0j 0.00026955-0j -0.00638425-0j -9.29027e-07-0j -2.68131e-08-0j -2.0114e-07-0j -0.00052651-0j 7.70142e-05-0j -0.0079001-0j 4.58418e-07-0j 4.4925e-05-0j -3.31795e-08-0j -0.000651523-0j -0.00460839-0j -8.83235e-11-0j -1.93547e-08-0j -0.000380055-0j 5.67263e-07-0j 3.30904e-07-0j -1.09295e-10-0j -6.37553e-11-0j 
