0.124547-0.222499j -0.126123+0.0325508j 0.0834258-0.146718j 0.0737588-0.0510804j 0.0132344+0.00655817j -0.0182005+0.0347834j -0.00490021+0.0089897j -0.0312647-0.0104028j -0.0202812+0.027998j -0.013521+0.015139j 0.0250179-0.0187022j 0.00384285-0.015322j -0.00458473+0.0101276j 0.00264442+0.0087969j -0.0243142-0.0019724j -0.00162911+0.0163696j -0.0150926-0.0104885j 0.0423607-0.0250959j 0.00350071-0.00200797j -0.00844888+0.00522498j -0.00149494+0.00984151j 0.00429919-0.00738786j -0.0377615+0.00420234j 0.00307276-0.00263686j 
-0.292393-0.178933j 0.049888+0.130322j -0.146379-0.075763j -0.0623039-0.073836j 0.0106876-0.00762028j 0.0347528+0.0245497j -0.00477359+0.0108341j -0.0204727+0.0278277j 0.0280582-0.00573613j 0.00419021-0.000211983j 0.00196416-0.00714115j -0.0199157+0.006536j 0.00865351+0.0151366j -0.00685466+0.0014337j 0.00186933+0.0150529j -0.00301168+0.0118408j 0.00229825-0.00117181j -0.00489612-0.0304877j 0.0136889+0.0132735j -0.00507513-0.00541847j 0.0080416+0.015678j -0.0132729-0.0109287j 0.00390535+0.00388385j -0.00327146-0.0263229j 
0.045289-0.0532761j -0.0496024+0.103222j 0.0410295-0.0331497j 0.0241888-0.0557859j -0.000730869-0.00241522j -0.00117292+0.0265502j 0.00170362+0.0134385j -0.0219171-0.00146514j 0.00414147-0.0129007j 0.0249753-0.0149785j 0.0068342-0.00821389j 0.00519236-0.0215339j -0.00833714+0.00369639j 0.00459205-0.00756062j -0.0118262+0.0018294j 0.0179842+0.00405182j -0.0129848+0.00641432j 0.0318161-0.0166012j -0.00715775+0.00912598j 0.0242106-0.0092663j -0.0247173+0.00488753j 0.023117-0.00543461j -0.0127082-0.00189417j 0.0279996-0.0110122j 
-0.049301-0.026973j 0.0904019-0.0131609j -0.0683324-0.0192133j -0.0498518+0.0094874j -0.000997992-0.00379507j 0.0109591-0.0050373j 0.00844074+0.0124272j 0.00415079+0.00905937j -0.0154755-0.0272245j 0.0145187+0.0173289j 0.0062009+0.00741442j -0.0105646+0.0050466j 0.0176061+0.00416362j 0.0077457-0.00148055j 0.00366582+0.00544567j 0.00328628+0.00102922j -0.0107656-0.00782729j -0.0245099-0.00241721j -0.00551403-0.00039535j 0.0165756+0.0107913j -0.00859451-0.00883174j 0.00284571+0.00786776j 0.0206393+0.00548917j 0.00795722+0.00231424j 
0.183048-0.0471261j 0.0846192+0.00491161j -0.0914757+0.0379136j -0.046648-0.0434365j 0.00457584+0.0186006j -0.000513988-0.0517557j -0.0252544+0.0100539j 0.0127091-0.00970378j 0.00118165+0.008975j -0.0141012-0.0126682j -0.0118801+0.0360856j 0.00877143-0.0125174j 0.0115855-0.00887209j -0.00179127+0.0238078j 0.015612-0.00206426j -0.0178522-0.0171494j -0.00334178+0.00866154j -0.00267836+0.00056614j 0.0152124+0.00310342j 0.0103011-0.00173722j 0.00193391-0.0148921j 0.00977721-0.0106131j 0.00918274+0.00503312j -0.00185657+0.00439321j 
0.00832174-0.0392879j 0.0530426+0.0501539j 0.0201072+0.0110171j -0.0165523-0.026116j 0.00144673+0.00783812j 0.01976+0.00904207j -0.00830443-0.00741224j -0.0139444+0.0126712j 0.0229191+0.0271347j -0.0389177-0.00483979j -0.000212953-0.0258578j -0.00599359+0.0168674j 0.00104358-0.0150033j -0.00886611-0.0125374j 0.000914138+0.0144031j -0.00749189+0.0227428j -0.0126199+0.0331492j 0.0027256+0.00925135j 0.00014332+0.00145796j -0.00905462+0.00561209j 0.00990404-0.00962039j -0.0146306+0.0161558j -0.0074277-0.000964131j -0.00610608-0.00186794j 
-0.192768+0.0633029j 0.0363047+0.036969j 0.0109968-0.0679082j -0.0279763-0.0170808j 0.00725173+0.048887j 0.0192627-0.00642125j 0.00425166-0.0209986j 0.00272628+0.00596662j -0.013679+0.0254529j 0.0248701+0.00479917j -0.00793012-0.00105904j -0.00211361+0.00203396j -0.00174434-0.0110516j -0.00364432+0.0244109j 0.00246248-0.013379j -0.00267874+0.0112857j 0.00179831+0.0190547j 5.39095e-05-0.00679637j -0.00131823-0.00632387j -0.00505351-0.00478126j -0.000707563-0.000132209j 0.000270307-0.00328485j -0.00930808+0.00564833j -0.0142582+0.0023751j 
0.0799463-0.0192199j 0.0237763-0.0328965j -0.0261678-0.0251671j -0.0042741+0.0158864j 0.011215-0.0162278j 0.000592757+0.000668694j 0.00888159-0.00813783j -0.0173936+0.00672605j -0.0105615+0.0120444j -0.0280372+0.031276j 0.00121575-0.0101078j -0.0108602+0.00732414j -0.00129423-0.00555333j -0.015557-0.00929773j 0.00936824+0.00511464j -0.0101188+0.00265826j 0.0117271+0.0173438j 0.0148991+0.00844599j 0.00405787+0.00839359j 0.00176522-0.00517635j -0.00364892+0.0083961j -0.00208191-0.000798278j -0.00717248-0.00663029j -0.00414944-0.00908363j 
0.0407973-0.108507j 0.0376204-0.0968119j 0.0370321+0.00105571j -0.0263346+0.0282774j 0.020847-0.0308109j -0.0162885-0.0169947j 0.0119267-0.01914j -0.0129092+0.0177746j 0.00164648+0.00831948j 0.028888-0.00206427j -0.000145043+0.00335184j 0.00978851+0.00243826j 0.0190367+0.0109328j -0.00806821-0.00392845j 0.0170112+0.00703207j -0.00972597-0.00959422j -0.00974794-0.0185156j 0.00892942+0.000472213j 0.000394431+0.00555935j 0.00363767+0.00409131j -0.00810116-0.00255031j 0.00197532+0.00296348j -0.00487889-0.000378943j -0.00204192+0.00532213j 
-0.441945+0.0837593j -0.17499-0.0939015j 0.0187998+0.0717617j 0.0442145+0.0320954j 0.0318296-0.0278957j -0.0110681-0.017757j 0.0126671-0.00349907j 0.0167672-0.0157083j -0.0130116-0.0113867j -0.00716086-0.00404346j -0.00814395+0.00443837j 0.0229337-0.0191364j 0.0143303-0.0120625j -0.00808152+0.00279062j 0.00983612-0.0141704j 0.00554973-0.00849358j -0.00138638-0.004028j 0.00195365+0.016406j 0.00524768-0.00606356j -0.00343627+0.00460917j 0.00732058-0.00537044j 0.00517666+0.00237354j -0.00860899-0.00760221j -0.013277+0.0124117j 
0.0584954+0.317247j -0.0368772+0.197375j 0.0455612-0.0555334j 0.0119817-0.0480973j 0.00608634+0.0232757j 0.0225403+0.0258503j -0.00200556-0.0284428j -0.0491461+0.0066949j 0.00775935-0.0303622j 0.00116632-0.00363362j -0.00116955-0.0112408j -0.0370738-0.0175076j 0.00179581+0.00709127j -0.0117982-0.0129067j -0.0225591-0.00154858j 7.99923e-07+0.00834988j -0.0233053-0.000161457j 0.0445105-0.0135657j -0.00566347-0.00406298j 0.00535585+0.00699963j -0.0086643+0.00126218j -0.00180319+0.0114176j -0.0325988-0.00717121j 0.019781+0.000284363j 
