0.118276-0.0453617j -0.0873815+0.0180669j 0.0697423+0.0700623j 0.0669549-0.00382016j 0.119024+0.0859489j 0.021017+0.00914989j 0.00461496+0.0333603j 0.00787418+0.00662249j 0.0168483-0.0120464j 0.00886797+0.029816j -0.00817705+0.00541393j -0.0202794+0.00435958j 0.0145856-0.00561784j 0.00205825-0.0229473j 0.00148557+0.0223522j 0.00340892+0.0129407j 0.0170678-0.000292781j -0.0190048-0.0113238j -0.00944758-0.00315202j -0.00250776+0.00710413j 0.0273532+0.0269604j 0.00282079-0.0136862j 
-0.0351454-0.096337j 0.0161198+0.0725784j 0.0983419-0.0596226j -0.0334383-0.0405828j 0.0596343-0.0901696j 0.0183672-0.0361611j 0.00870065-0.0160022j 0.00292075+0.00572687j -0.00236907+0.0235498j 0.0141802+0.00643472j 0.0106506+0.00269327j -0.0134047+0.0173886j -0.00481294+0.0026445j 0.00249651-0.00950226j -0.00440869-0.0122537j 0.00136585-0.0143457j 0.0151649-0.00823602j -0.0158807+0.0104205j -0.00981437-0.0222431j -0.016336+0.0162445j -0.00247446-0.00298342j -0.0249067+0.0107474j 
0.0101574+0.00779382j -0.00888679-0.00975989j 0.0100217+0.00510688j 0.00675382+0.0657228j 0.0168775+0.00251492j 0.00896244-0.00717849j 0.0175919-0.0068697j -0.0149475+0.00822515j -0.0434246+0.0071146j 0.00634535+0.00208208j -0.00830779-0.00322856j 0.00713684-0.00345199j 0.0054992+0.0044582j 0.00468041-0.00194573j 0.00721734+0.00158076j -0.00404792+0.00723462j -0.00704944-0.005115j -0.00979301-0.00933479j 0.0213908-0.00301849j -0.0113009-0.0187616j 0.00982593-0.00291426j 0.000998098-0.0199335j 
0.0442874+0.0687804j -0.0361627-0.0531739j -0.0221065+0.108434j -0.0275914+0.0471645j 0.0123205+0.127401j 0.00494002+0.023646j -0.00836669+0.0131123j 0.0115598+0.0267755j 0.00600942+0.0321364j -0.00442392+0.00545614j -0.0162123+0.0182062j -0.00461481-0.0244828j 0.0150799-0.0196954j -0.00277912-0.00153805j 0.00113886+0.021525j 0.00713955+0.0221587j -0.0102888+0.021613j -0.00402371-0.00876275j -0.00617367-0.0200593j -0.0122206+0.00165871j -0.000355233+0.0118391j -0.00357262-0.0262896j 
0.00747728+0.0561628j 0.0169145-0.0479526j -0.122915+0.0346186j -0.0372841+0.0279391j -0.149417+0.0530594j -0.0296309+0.0493651j -0.0298602-0.025306j -0.0223135+0.00813115j 0.00409306+0.0058623j -0.0243533+0.00270151j -0.0110791-0.0145352j 0.020036-0.00282171j 0.020637+0.0160925j 0.00970535+0.00215628j -0.0328523-0.00304061j -0.00145051+0.00594504j -0.0329024-0.00936095j 0.0162343+0.0120734j 0.0037011+0.00385213j 0.00443751+0.0097399j -0.00341883-0.0300427j 0.0291897+0.0150011j 
-0.0364174-0.01405j 0.0101167+0.0139996j -0.103584+0.00349389j -0.0278452-0.000588505j -0.0453998+0.00573113j -0.0475206+0.00349115j -0.0174823-0.00544195j -0.0155323-0.00219884j 0.00362672+0.00619045j -0.0230646+0.000977894j -0.00781402-0.00478976j 0.00465431-0.00123557j 0.00166875+0.0150116j 0.0201081+0.0144959j -0.0146967-0.00915684j -0.000926775+0.00265618j -0.00149356-0.00878393j 0.00562435-0.00284496j 0.00986329-0.000299055j -0.00449764-0.002024j 0.000193238+0.00332278j 0.0134456+0.016236j 
-0.146555-0.0201368j 0.0497307+0.00386098j 0.04533-0.0409753j -0.0400808-0.0325454j 0.0492834-0.0669544j -0.0152729-0.0092084j -0.015651-0.00474584j 0.0131843-0.00633906j -0.0218891-0.00540996j 0.031903-0.000910719j 0.0243853+0.0110224j 0.0142651+0.00824894j -0.00343817-0.00382701j -0.00290417-0.00122913j 0.0131804-0.00128698j -0.028295-0.0322444j -0.00660825-0.00956767j 0.00284368+0.00973608j -0.00978989+0.00420008j 0.0141303+0.00106313j -0.0104765-0.0232487j -0.00594499-0.00244308j 
-0.115487+0.100407j 0.0508859-0.076678j 0.0421004+0.134731j -0.0184437+0.0574993j -0.00331791+0.137249j 0.0460412+0.0276979j -0.0280988+0.025829j 0.0193851+0.00326839j -0.0229788-0.00107926j 0.0113976+0.0124805j 0.00419344+0.012843j 0.00388355-0.0106761j -0.000292449-0.015758j 0.00876321+0.00492299j -0.00834281+0.0213834j -0.0220081-0.00659125j 0.00123227+0.0076087j 0.00353297-0.0168794j -0.00409305-0.0124415j 0.000362255-0.00495615j -0.0106676+0.0146512j 0.00735803-0.0270284j 
-0.0157145+0.278563j -0.0154121-0.102275j 0.0246782-0.142247j -0.0151755+0.0561005j -0.0128939-0.091502j 0.00625617-0.0605984j 0.011547+0.0173901j -0.0195201-0.0152192j 0.00687753+0.0310881j -0.00537583-0.0351968j -0.00866128-0.0154865j -0.00574149+0.000552839j -0.00477605+0.00491694j -0.019874+0.018543j 0.00881604+0.0113955j -0.0054302+0.0134673j 0.00342577-0.00300105j -0.00133404-0.00527518j 0.0010247+0.00355062j 0.00622196-0.0135239j -0.00252055+0.0240298j -0.000134679+0.00433878j 
0.0757973-0.10216j -0.0312212+0.0406563j 0.018288-0.00923324j 0.0181977-0.0354957j 0.0509725-0.0223334j -0.00468036+0.00382226j 0.0288986-0.0198108j -0.0180798+0.00518552j 0.0220829-0.00986106j 0.00680167-0.0019521j 0.0177655-0.0209799j 0.0005803+0.0186317j 0.000234427-0.01214j -0.000360579+0.00372529j -0.0158552-0.00925621j 0.0157254-0.0145472j 0.0227089-0.00777521j -0.0130035+0.00959279j 0.0109721+0.00231001j -0.0059574+0.00728174j -0.00544663-0.0207599j -0.017813+0.0104147j 
0.178131-0.126401j -0.0497714+0.125948j -0.0606135-0.0684411j 0.0245044-0.0379693j -0.038835-0.0401203j -0.0325931-0.0370249j 0.00887546+0.0365223j 0.0195933+0.00752298j -0.00244799+0.00587778j -0.0113413+0.00149589j 0.00338815+0.0181165j 0.0221995+0.0227948j -0.00973424-0.00920848j 0.00816943+0.0193573j -0.0300543+0.0103547j 0.017562+0.0284634j 0.0122188-0.0208175j -0.0149637-0.000979753j 0.00323542-0.00800259j -0.0157334+3.02751e-05j 0.00198321+0.0169074j -0.00273365-0.000286396j 
