-0.0313275-0j -0.0387658-0j -0.0226134-0j -0.00390365-0j -0.00455426-0j -0.0027889-0j -0.00398498-0j -0.00164372-0j -0.00246114-0j -0.000355235-0j -0.00278015-0j -0.000401281-0j -0.00226999-0j -0.000327644-0j -0.00229351-0j -0.00198624-0j -0.00033104-0j -0.000286689-0j -0.00163856-0j -0.000236506-0j -0.000523529-0j -7.55649e-05-0j -0.00182867-0j -0.000323267-0j -2.69389e-05-0j -0.00202397-0j -0.000357791-0j -0.00160009-0j -2.98159e-05-0j -0.00106673-0j -0.00161667-0j -0.000282858-0j -0.000188572-0j -0.00186677-0j -2.35715e-05-0j -0.00028579-0j -0.000660003-0j -1.57144e-05-0j -0.00108895-0j -2.38158e-05-0j -0.001155-0j -0.000330001-0j -0.000116673-0j -2.75001e-05-0j -0.000192501-0j -0.000673753-0j -9.72276e-06-0j -0.000204178-0j -1.60417e-05-0j -0.000175765-0j -0.000119104-0j -1.70148e-05-0j -3.10712e-05-0j -9.92532e-06-0j -2.58926e-06-0j 
0.00488403-0j 0.00604367-0j 0.00352548-0j -0.0286956-0j -0.0334782-0j -0.0205011-0j -0.0292934-0j -0.0120829-0j 0.000383698-0j -0.00527802-0j 0.000433433-0j -0.00596216-0j 0.000353896-0j -0.00486808-0j 0.000357564-0j 0.000309659-0j -0.00491853-0j -0.00425957-0j 0.000255456-0j -0.00351397-0j 8.16194e-05-0j -0.00112273-0j 0.000285094-0j -0.00237632-0j -0.00060248-0j 0.000315542-0j -0.0026301-0j 0.000249458-0j -0.000666823-0j 0.000166305-0j 0.000252043-0j -0.00207928-0j -0.00138619-0j 0.000291034-0j -0.00052717-0j -0.00210083-0j 0.000102896-0j -0.000351446-0j 0.00016977-0j -0.000532633-0j 0.000180068-0j -0.00242583-0j -0.000857659-0j -0.000615031-0j -0.00141507-0j 0.00010504-0j -0.000217446-0j -0.0015009-0j -0.000358768-0j 2.74022e-05-0j -0.000875527-0j -0.000380531-0j -0.000228403-0j -0.000221977-0j -5.7908e-05-0j 
0.00378315-0j 0.00468141-0j 0.00273082-0j 0.000471411-0j 0.000549979-0j 0.000336792-0j 0.000481232-0j 0.000198498-0j -0.0284149-0j 4.28987e-05-0j -0.032098-0j 4.84593e-05-0j -0.0262079-0j 3.95668e-05-0j -0.0264795-0j -0.0229319-0j 3.99768e-05-0j 3.4621e-05-0j -0.0189179-0j 2.85608e-05-0j -0.00604436-0j 9.12533e-06-0j 0.000220833-0j -0.00373225-0j 3.25318e-06-0j 0.000244418-0j -0.00413084-0j 0.000193229-0j 3.60061e-06-0j 0.000128819-0j 0.000195231-0j -0.00326572-0j -0.00217714-0j 0.000225434-0j 2.84653e-06-0j -0.00329956-0j 7.97029e-05-0j 1.89769e-06-0j 0.000131503-0j 2.87603e-06-0j 0.00013948-0j -0.00381-0j -0.00134704-0j 3.32095e-06-0j -0.0022225-0j 8.13634e-05-0j 1.17413e-06-0j -0.00235732-0j 1.93722e-06-0j 2.12256e-05-0j -0.0013751-0j 2.05474e-06-0j -0.000358729-0j 1.1986e-06-0j 3.12683e-07-0j 
-0.000546051-0j -0.000675703-0j -0.00039416-0j 0.00648457-0j 0.00756533-0j 0.0046328-0j 0.00661966-0j 0.00273047-0j -4.28987e-05-0j -0.0275257-0j -4.84593e-05-0j -0.0310936-0j -3.95668e-05-0j -0.0253878-0j -3.99768e-05-0j -3.4621e-05-0j -0.0256509-0j -0.0222143-0j -2.85608e-05-0j -0.0183259-0j -9.12533e-06-0j -0.00585521-0j -3.18745e-05-0j 0.000536996-0j -0.00639687-0j -3.52786e-05-0j 0.000594346-0j -2.78902e-05-0j -0.00708004-0j -1.85935e-05-0j -2.81792e-05-0j 0.000469871-0j 0.000313248-0j -3.25386e-05-0j -0.00559726-0j 0.000474741-0j -1.15041e-05-0j -0.00373151-0j -1.89808e-05-0j -0.00565526-0j -2.01322e-05-0j 0.000548183-0j 0.000193812-0j -0.00653014-0j 0.000319774-0j -1.17438e-05-0j -0.00230875-0j 0.000339171-0j -0.00380925-0j -3.06366e-06-0j 0.00019785-0j -0.00404032-0j 5.1614e-05-0j -0.00235685-0j -0.000614843-0j 
0.00345353-0j 0.00427352-0j 0.00249289-0j 0.000430337-0j 0.00050206-0j 0.000307448-0j 0.000439302-0j 0.000181203-0j 0.000271315-0j 3.9161e-05-0j 0.000306483-0j 4.4237e-05-0j 0.000250243-0j 3.61194e-05-0j 0.000252836-0j 0.000218962-0j 3.64937e-05-0j 3.16045e-05-0j 0.000180635-0j 2.60724e-05-0j 5.77136e-05-0j 8.33024e-06-0j -0.0291026-0j 3.56368e-05-0j 2.96973e-06-0j -0.0322106-0j 3.94427e-05-0j -0.0254647-0j 3.28689e-06-0j -0.0169765-0j -0.0257286-0j 3.11822e-05-0j 2.07881e-05-0j -0.0297089-0j 2.59852e-06-0j 3.15053e-05-0j -0.0105037-0j 1.73234e-06-0j -0.0173302-0j 2.62544e-06-0j -0.0183814-0j 3.63792e-05-0j 1.2862e-05-0j 3.0316e-06-0j 2.12212e-05-0j -0.0107225-0j 1.07183e-06-0j 2.25085e-05-0j 1.76843e-06-0j -0.00279723-0j 1.313e-05-0j 1.87571e-06-0j 3.42527e-06-0j 1.09416e-06-0j 2.85439e-07-0j 
-0.000610503-0j -0.000755459-0j -0.000440685-0j 0.00358695-0j 0.00418477-0j 0.00256264-0j 0.00366167-0j 0.00151036-0j 0.00458543-0j 0.000659752-0j 0.0051798-0j 0.00074527-0j 0.00422929-0j 0.00060851-0j 0.00427311-0j 0.00370063-0j 0.000614816-0j 0.000532446-0j 0.00305286-0j 0.000439246-0j 0.000975404-0j 0.000140341-0j -3.56368e-05-0j -0.0283985-0j 7.531e-05-0j -3.94427e-05-0j -0.0314314-0j -3.11822e-05-0j 8.33528e-05-0j -2.07881e-05-0j -3.15053e-05-0j -0.0248487-0j -0.0165658-0j -3.63792e-05-0j 6.58962e-05-0j -0.0251062-0j -1.2862e-05-0j 4.39308e-05-0j -2.12212e-05-0j 6.65791e-05-0j -2.25085e-05-0j -0.0289902-0j -0.0102496-0j 7.68789e-05-0j -0.0169109-0j -1.313e-05-0j 2.71808e-05-0j -0.0179368-0j 4.4846e-05-0j -3.42527e-06-0j -0.0104631-0j 4.75664e-05-0j -0.00272956-0j 2.77471e-05-0j 7.2385e-06-0j 
-0.000407002-0j -0.00050364-0j -0.00029379-0j 0.0023913-0j 0.00278985-0j 0.00170843-0j 0.00244112-0j 0.00100691-0j -3.19748e-05-0j 0.000439835-0j -3.61194e-05-0j 0.000496846-0j -2.94914e-05-0j 0.000405673-0j -2.9797e-05-0j -2.58049e-05-0j 0.000409877-0j 0.000354964-0j -2.1288e-05-0j 0.000292831-0j -6.80162e-06-0j 9.35608e-05-0j 0.0068833-0j 0.000198027-0j 5.02066e-05-0j 0.00761842-0j 0.000219175-0j 0.00602289-0j 5.55686e-05-0j 0.00401526-0j 0.0060853-0j 0.000173273-0j 0.000115516-0j 0.0070267-0j 4.39308e-05-0j 0.000175069-0j 0.00248431-0j 2.92872e-05-0j 0.00409891-0j 4.43861e-05-0j 0.00434755-0j 0.000202152-0j 7.14716e-05-0j 5.12526e-05-0j 0.000117922-0j 0.00253607-0j 1.81205e-05-0j 0.000125075-0j 2.98974e-05-0j 0.000661596-0j 7.29606e-05-0j 3.17109e-05-0j 1.90336e-05-0j 1.8498e-05-0j 4.82567e-06-0j 
5.08753e-05-0j 6.29549e-05-0j 3.67237e-05-0j -0.000909416-0j -0.00106098-0j -0.000649718-0j -0.000928362-0j -0.00038293-0j 3.99685e-06-0j 0.00785918-0j 4.51492e-06-0j 0.00887789-0j 3.68642e-06-0j 0.00724877-0j 3.72462e-06-0j 3.22562e-06-0j 0.00732389-0j 0.00634267-0j 2.661e-06-0j 0.00523244-0j 8.50202e-07-0j 0.00167179-0j 2.96973e-06-0j -7.531e-05-0j -0.0274973-0j 3.28689e-06-0j -8.33528e-05-0j 2.59852e-06-0j -0.0304339-0j 1.73234e-06-0j 2.62544e-06-0j -6.58962e-05-0j -4.39308e-05-0j 3.0316e-06-0j -0.0240601-0j -6.65791e-05-0j 1.07183e-06-0j -0.0160401-0j 1.76843e-06-0j -0.0243095-0j 1.87571e-06-0j -7.68789e-05-0j -2.71808e-05-0j -0.0280702-0j -4.4846e-05-0j 1.09416e-06-0j -0.0099243-0j -4.75664e-05-0j -0.0163743-0j 2.85439e-07-0j -2.77471e-05-0j -0.0173675-0j -7.2385e-06-0j -0.0101311-0j -0.00264294-0j 
-0.000352474-0j -0.000436165-0j -0.000254429-0j -4.39211e-05-0j -5.12413e-05-0j -3.13787e-05-0j -4.48361e-05-0j -1.8494e-05-0j 0.00532249-0j -3.99685e-06-0j 0.00601239-0j -4.51492e-06-0j 0.0049091-0j -3.68642e-06-0j 0.00495997-0j 0.00429546-0j -3.72462e-06-0j -3.22562e-06-0j 0.00354358-0j -2.661e-06-0j 0.00113219-0j -8.50202e-07-0j 0.00297027-0j 0.0006991-0j -3.03097e-07-0j 0.00328748-0j 0.000773762-0j 0.00259898-0j -3.35467e-07-0j 0.00173266-0j 0.00262592-0j 0.000611713-0j 0.000407808-0j 0.00303215-0j -2.6521e-07-0j 0.000618052-0j 0.00107203-0j -1.76807e-07-0j 0.00176875-0j -2.67958e-07-0j 0.00187605-0j 0.000713665-0j 0.000252319-0j -3.09412e-07-0j 0.000416304-0j 0.00109436-0j -1.09394e-07-0j 0.000441558-0j -1.8049e-07-0j 0.000285491-0j 0.000257575-0j -1.91439e-07-0j 6.71948e-05-0j -1.11673e-07-0j -2.91325e-08-0j 
7.19485e-05-0j 8.90317e-05-0j 5.19352e-05-0j -0.000854417-0j -0.00099682-0j -0.000610425-0j -0.000872217-0j -0.000359771-0j -0.000540398-0j 0.00362683-0j -0.000610445-0j 0.00409694-0j -0.000498426-0j 0.00334514-0j -0.000503591-0j -0.000436123-0j 0.0033798-0j 0.002927-0j -0.000359783-0j 0.00241465-0j -0.000114952-0j 0.000771492-0j -0.000606304-0j 0.00676458-0j 0.000842861-0j -0.000671055-0j 0.00748702-0j -0.000530516-0j 0.000932877-0j -0.000353677-0j -0.000536013-0j 0.00591901-0j 0.003946-0j -0.000618935-0j 0.000737504-0j 0.00598034-0j -0.000218827-0j 0.000491669-0j -0.000361045-0j 0.000745146-0j -0.000382946-0j 0.00690551-0j 0.00244147-0j 0.000860421-0j 0.00402821-0j -0.000223385-0j 0.000304205-0j 0.00427256-0j 0.000501912-0j -5.82756e-05-0j 0.00249233-0j 0.000532358-0j 0.000650185-0j 0.000310542-0j 8.10126e-05-0j 
3.59743e-05-0j 4.45159e-05-0j 2.59676e-05-0j -0.000211363-0j -0.00024659-0j -0.000151005-0j -0.000215766-0j -8.8999e-05-0j -0.00081625-0j -3.88763e-05-0j -0.000922052-0j -4.39154e-05-0j -0.000752853-0j -3.58568e-05-0j -0.000760654-0j -0.000658746-0j -3.62284e-05-0j -3.13747e-05-0j -0.000543438-0j -2.58828e-05-0j -0.000173631-0j -8.26968e-06-0j 2.09992e-06-0j 0.00505521-0j -4.43768e-06-0j 2.32418e-06-0j 0.00559509-0j 1.83743e-06-0j -4.91161e-06-0j 1.22495e-06-0j 1.85647e-06-0j 0.0044233-0j 0.00294887-0j 2.14367e-06-0j -3.88297e-06-0j 0.00446914-0j 7.57901e-07-0j -2.58865e-06-0j 1.25047e-06-0j -3.92321e-06-0j 1.32633e-06-0j 0.00516052-0j 0.00182452-0j -4.53013e-06-0j 0.0030103-0j 7.7369e-07-0j -1.60164e-06-0j 0.00319291-0j -2.64258e-06-0j 2.01836e-07-0j 0.00186253-0j -2.80288e-06-0j 0.000485887-0j -1.63501e-06-0j -4.26533e-07-0j 
