-0.0293042-0j -0.0341882-0j -0.0209359-0j -0.0299147-0j -0.0123392-0j -0.00377128-0j -0.00426012-0j -0.00347837-0j -0.00351442-0j -0.00304358-0j -0.00251082-0j -0.00080222-0j -0.00242672-0j -0.000350267-0j -0.00268588-0j -0.000387674-0j -0.00212338-0j -0.00141559-0j -0.000306483-0j -0.00214538-0j -0.000204322-0j -0.000309659-0j -0.00247727-0j -0.000875849-0j -0.000357564-0j -0.00144508-0j -0.000126418-0j -0.00153274-0j -0.000208579-0j -0.000221231-0j -0.000894096-0j -0.000129052-0j -0.000233247-0j -3.36663e-05-0j -0.00182867-0j -0.000323267-0j -2.69389e-05-0j -0.00199566-0j -0.000352786-0j -2.93989e-05-0j -0.00154583-0j -0.00156185-0j -0.00141115-0j -0.000273267-0j -2.27723e-05-0j -0.000276099-0j -0.0017462-0j -0.000249458-0j -2.30082e-05-0j -0.00116414-0j -2.07881e-05-0j -0.00101862-0j -0.00100817-0j -0.000308688-0j -0.000205792-0j -0.00144054-0j -0.000180068-0j -2.5724e-05-0j -0.000178221-0j -0.000720272-0j -1.71493e-05-0j -0.000594194-0j -1.50057e-05-0j -1.48518e-05-0j -0.000254655-0j -0.000727736-0j -0.000127327-0j -2.12212e-05-0j -0.00010504-0j -0.000328826-0j -1.06106e-05-0j -0.000128647-0j -8.75331e-06-0j -7.24994e-05-0j -5.81288e-05-0j -1.07206e-05-0j -1.28162e-05-0j -4.84407e-06-0j -1.06802e-06-0j 
0.00463339-0j 0.00540563-0j 0.00331026-0j 0.00472992-0j 0.00195099-0j -0.0281158-0j -0.0317602-0j -0.0259321-0j -0.0262008-0j -0.0226906-0j -0.0187188-0j -0.00598074-0j 0.000383698-0j -0.00527802-0j 0.000424676-0j -0.0058417-0j 0.000335736-0j 0.000223824-0j -0.00461827-0j 0.000339215-0j -0.00307884-0j -0.00466613-0j 0.000391692-0j 0.000138484-0j -0.00538798-0j 0.000228487-0j -0.00190494-0j 0.000242347-0j -0.00314299-0j -0.00333364-0j 0.000141369-0j -0.00194462-0j 3.68796e-05-0j -0.000507303-0j 0.000289138-0j -0.00241003-0j -0.000611026-0j 0.000315542-0j -0.0026301-0j -0.000666823-0j 0.000244418-0j 0.00024695-0j 0.000223122-0j -0.00203727-0j -0.000516519-0j -0.00205838-0j 0.000276099-0j -0.00185976-0j -0.000521871-0j 0.000184066-0j -0.000471515-0j 0.000161058-0j 0.000159406-0j -0.00230134-0j -0.00153423-0j 0.00022777-0j -0.00134245-0j -0.00058347-0j -0.00132868-0j 0.000113885-0j -0.00038898-0j 9.39503e-05-0j -0.000340357-0j -0.000336867-0j -0.00189851-0j 0.000115065-0j -0.000949255-0j -0.000481338-0j -0.000783095-0j 5.1992e-05-0j -0.000240669-0j -0.000959092-0j -0.000198542-0j 1.14632e-05-0j -0.000433364-0j -0.000243163-0j -9.55477e-05-0j -0.000109873-0j -2.42247e-05-0j 
0.00366302-0j 0.00427352-0j 0.00261699-0j 0.00373933-0j 0.0015424-0j 0.000471411-0j 0.000532515-0j 0.000434797-0j 0.000439302-0j 0.000380447-0j 0.000313853-0j 0.000100277-0j -0.0290008-0j 4.37833e-05-0j -0.032098-0j 4.84593e-05-0j -0.0253757-0j -0.0169171-0j 3.83104e-05-0j -0.0256387-0j 2.55403e-05-0j 3.87074e-05-0j -0.029605-0j -0.010467-0j 4.46955e-05-0j -0.0172696-0j 1.58022e-05-0j -0.0183172-0j 2.60724e-05-0j 2.76539e-05-0j -0.010685-0j 1.61314e-05-0j -0.00278745-0j 4.20829e-06-0j 0.000228584-0j -0.00386324-0j 3.36736e-06-0j 0.000249458-0j -0.00421602-0j 3.67486e-06-0j 0.000193229-0j 0.000195231-0j 0.000176393-0j -0.00326572-0j 2.84653e-06-0j -0.00329956-0j 0.000218275-0j -0.00298118-0j 2.87603e-06-0j 0.000145517-0j 2.59852e-06-0j 0.000127327-0j 0.000126021-0j -0.00368902-0j -0.00245935-0j 0.000180068-0j -0.00215193-0j 3.2155e-06-0j -0.00212986-0j 9.0034e-05-0j 2.14367e-06-0j 7.42743e-05-0j 1.87571e-06-0j 1.85647e-06-0j -0.00304328-0j 9.0967e-05-0j -0.00152164-0j 2.65265e-06-0j -0.00125529-0j 4.11033e-05-0j 1.32633e-06-0j -0.00153741-0j 1.09416e-06-0j 9.06242e-06-0j -0.000694676-0j 1.34007e-06-0j -0.000153162-0j 6.05508e-07-0j 1.33502e-07-0j 
0.00244201-0j 0.00284902-0j 0.00174466-0j 0.00249289-0j 0.00102826-0j 0.000314274-0j 0.00035501-0j 0.000289864-0j 0.000292868-0j 0.000253631-0j 0.000209235-0j 6.68516e-05-0j 0.000202226-0j 2.91889e-05-0j 0.000223824-0j 3.23062e-05-0j 0.000176948-0j 0.000117965-0j 2.55403e-05-0j 0.000178782-0j 1.70268e-05-0j 2.58049e-05-0j 0.00020644-0j 7.29874e-05-0j 2.9797e-05-0j 0.000120423-0j 1.05348e-05-0j 0.000127728-0j 1.73816e-05-0j 1.84359e-05-0j 7.4508e-05-0j 1.07543e-05-0j 1.94372e-05-0j 2.80552e-06-0j -0.0441513-0j 2.69389e-05-0j 2.24491e-06-0j -0.0481831-0j 2.93989e-05-0j 2.4499e-06-0j -0.0373225-0j -0.0377092-0j -0.0340706-0j 2.27723e-05-0j 1.89769e-06-0j 2.30082e-05-0j -0.0421602-0j 2.07881e-05-0j 1.91735e-06-0j -0.0281068-0j 1.73234e-06-0j -0.0245935-0j -0.0243412-0j 2.5724e-05-0j 1.71493e-05-0j -0.0347804-0j 1.50057e-05-0j 2.14367e-06-0j 1.48518e-05-0j -0.0173902-0j 1.42911e-06-0j -0.0143462-0j 1.25047e-06-0j 1.23765e-06-0j 2.12212e-05-0j -0.0175704-0j 1.06106e-05-0j 1.76843e-06-0j 8.75331e-06-0j -0.00793916-0j 8.84217e-07-0j 1.07206e-05-0j 7.29442e-07-0j -0.00175042-0j 4.84407e-06-0j 8.93381e-07-0j 1.06802e-06-0j 4.03672e-07-0j 8.90014e-08-0j 
-0.000528711-0j -0.00061683-0j -0.00037773-0j -0.000539726-0j -0.000222626-0j 0.00648457-0j 0.0073251-0j 0.00598092-0j 0.0060429-0j 0.0052333-0j 0.00431725-0j 0.00137938-0j -4.37833e-05-0j -0.0280933-0j -4.84593e-05-0j -0.0310936-0j -3.83104e-05-0j -2.55403e-05-0j -0.0245816-0j -3.87074e-05-0j -0.0163878-0j -0.0248364-0j -4.46955e-05-0j -1.58022e-05-0j -0.0286786-0j -2.60724e-05-0j -0.0101394-0j -2.76539e-05-0j -0.0167292-0j -0.017744-0j -1.61314e-05-0j -0.0103506-0j -4.20829e-06-0j -0.00270022-0j -3.29933e-05-0j 0.000555844-0j -0.00662139-0j -3.60061e-05-0j 0.000606601-0j -0.00722603-0j -2.78902e-05-0j -2.81792e-05-0j -2.54602e-05-0j 0.000469871-0j -0.00559726-0j 0.000474741-0j -3.15053e-05-0j 0.000428932-0j -0.00565526-0j -2.10036e-05-0j -0.00510958-0j -1.83781e-05-0j -1.81896e-05-0j 0.000530776-0j 0.000353851-0j -2.59906e-05-0j 0.000309619-0j -0.00632278-0j 0.000306444-0j -1.29953e-05-0j -0.00421518-0j -1.07206e-05-0j -0.00368829-0j -0.00365046-0j 0.000437868-0j -1.313e-05-0j 0.000218934-0j -0.00521603-0j 0.000180611-0j -5.93275e-06-0j -0.00260801-0j 0.000221203-0j -0.0021515-0j -1.30805e-06-0j 9.99501e-05-0j -0.00263504-0j 2.20369e-05-0j -0.00119064-0j -0.000262511-0j 
-0.000610503-0j -0.000712254-0j -0.000436165-0j -0.000623222-0j -0.000257066-0j 0.00370458-0j 0.00418477-0j 0.00341685-0j 0.00345226-0j 0.00298974-0j 0.00246641-0j 0.000788031-0j 0.00483347-0j 0.00069544-0j 0.00534967-0j 0.000769711-0j 0.00422929-0j 0.00281952-0j 0.00060851-0j 0.00427311-0j 0.000405673-0j 0.000614816-0j 0.00493417-0j 0.00174449-0j 0.000709928-0j 0.00287826-0j 0.000250998-0j 0.00305286-0j 0.000414125-0j 0.000439246-0j 0.00178084-0j 0.000256227-0j 0.000464575-0j 6.6843e-05-0j 0.00549987-0j -0.0303593-0j 8.05097e-05-0j 0.0060021-0j -0.0331316-0j 8.78616e-05-0j 0.00464921-0j 0.00469739-0j 0.00424412-0j -0.0256636-0j 6.80573e-05-0j -0.0259296-0j 0.00525184-0j -0.0234276-0j 6.87626e-05-0j 0.00350122-0j 6.21275e-05-0j 0.00306357-0j 0.00303215-0j -0.0289902-0j -0.0193268-0j 0.00433254-0j -0.0169109-0j 7.68789e-05-0j -0.0167375-0j 0.00216627-0j 5.12526e-05-0j 0.00178708-0j 4.4846e-05-0j 4.43861e-05-0j -0.0239157-0j 0.00218872-0j -0.0119578-0j 6.34219e-05-0j -0.00986471-0j 0.000988969-0j 3.17109e-05-0j -0.0120818-0j 2.61602e-05-0j 0.000218047-0j -0.00545912-0j 3.20396e-05-0j -0.00120362-0j 1.4477e-05-0j 3.19188e-06-0j 
-0.000215846-0j -0.00025182-0j -0.000154207-0j -0.000220342-0j -9.08866e-05-0j -2.77781e-05-0j -3.13787e-05-0j -2.56206e-05-0j -2.58861e-05-0j -2.24181e-05-0j -1.8494e-05-0j -5.90891e-06-0j 0.00516242-0j -2.57996e-06-0j 0.00571375-0j -2.85549e-06-0j 0.00451712-0j 0.00301141-0j -2.25746e-06-0j 0.00456393-0j -1.50497e-06-0j -2.28086e-06-0j 0.00526997-0j 0.00186322-0j -2.63371e-06-0j 0.00307415-0j -9.31156e-07-0j 0.00326063-0j -1.53633e-06-0j -1.62952e-06-0j 0.00190203-0j -9.50555e-07-0j 0.000496192-0j -2.47976e-07-0j -1.34694e-05-0j 0.000687693-0j -1.98424e-07-0j -1.46994e-05-0j 0.000750491-0j -2.16543e-07-0j -1.13861e-05-0j -1.15041e-05-0j -1.03941e-05-0j 0.000581328-0j -1.67734e-07-0j 0.000587352-0j -1.2862e-05-0j 0.000530677-0j -1.69472e-07-0j -8.57467e-06-0j -1.53119e-07-0j -7.50283e-06-0j -7.42588e-06-0j 0.00065668-0j 0.000437787-0j -1.06106e-05-0j 0.000383063-0j -1.89475e-07-0j 0.000379134-0j -5.3053e-06-0j -1.26317e-07-0j -4.37665e-06-0j -1.10527e-07-0j -1.09394e-07-0j 0.000541733-0j -5.36028e-06-0j 0.000270867-0j -1.56309e-07-0j 0.000223454-0j -2.42203e-06-0j -7.81545e-08-0j 0.000273674-0j -6.44742e-08-0j -5.34008e-07-0j 0.000123659-0j -7.89644e-08-0j 2.72642e-05-0j -3.56799e-08-0j -7.86668e-09-0j 
5.08753e-05-0j 5.93545e-05-0j 3.63471e-05-0j 5.19352e-05-0j 2.14222e-05-0j -0.00093924-0j -0.00106098-0j -0.000866291-0j -0.000875268-0j -0.000758004-0j -0.000625322-0j -0.000199793-0j 4.21305e-06-0j 0.00828431-0j 4.66299e-06-0j 0.00916905-0j 3.68642e-06-0j 2.45761e-06-0j 0.00724877-0j 3.72462e-06-0j 0.00483251-0j 0.00732389-0j 4.30082e-06-0j 1.52057e-06-0j 0.0084569-0j 2.50881e-06-0j 0.00298996-0j 2.661e-06-0j 0.00493319-0j 0.00523244-0j 1.55225e-06-0j 0.00305226-0j 4.04942e-07-0j 0.000796256-0j -0.000458322-0j -8.05097e-05-0j -0.0293959-0j -0.000500175-0j -8.78616e-05-0j -0.0320802-0j -0.000387434-0j -0.000391449-0j -0.000353677-0j -6.80573e-05-0j -0.0248492-0j -6.87626e-05-0j -0.000437653-0j -6.21275e-05-0j -0.0251067-0j -0.000291769-0j -0.0226841-0j -0.000255298-0j -0.000252679-0j -7.68789e-05-0j -5.12526e-05-0j -0.000361045-0j -4.4846e-05-0j -0.0280702-0j -4.43861e-05-0j -0.000180523-0j -0.0187134-0j -0.000148924-0j -0.0163743-0j -0.0162063-0j -6.34219e-05-0j -0.000182393-0j -3.17109e-05-0j -0.0231567-0j -2.61602e-05-0j -8.24141e-05-0j -0.0115784-0j -3.20396e-05-0j -0.00955166-0j -1.81706e-05-0j -1.4477e-05-0j -0.0116983-0j -3.19188e-06-0j -0.00528587-0j -0.00116543-0j 
5.39614e-05-0j 6.29549e-05-0j 3.85519e-05-0j 5.50856e-05-0j 2.27216e-05-0j -0.000661828-0j -0.000747615-0j -0.000610425-0j -0.000616751-0j -0.000534122-0j -0.000440628-0j -0.000140783-0j -0.000858914-0j 0.00286726-0j -0.000950643-0j 0.00317348-0j -0.000751549-0j -0.000501033-0j 0.00250885-0j -0.000759338-0j 0.00167257-0j 0.00253485-0j -0.000876808-0j -0.000309998-0j 0.002927-0j -0.000511471-0j 0.00103485-0j -0.000542497-0j 0.00170741-0j 0.00181099-0j -0.000316457-0j 0.00105641-0j -8.25555e-05-0j 0.00027559-0j 3.36736e-06-0j 0.0109042-0j 0.000675793-0j 3.67486e-06-0j 0.0118999-0j 0.000737504-0j 2.84653e-06-0j 2.87603e-06-0j 2.59852e-06-0j 0.00921764-0j 0.000571268-0j 0.00931316-0j 3.2155e-06-0j 0.00841452-0j 0.000577188-0j 2.14367e-06-0j 0.000521494-0j 1.87571e-06-0j 1.85647e-06-0j 0.0104124-0j 0.00694162-0j 2.65265e-06-0j 0.00607392-0j 0.000645316-0j 0.00601162-0j 1.32633e-06-0j 0.000430211-0j 1.09416e-06-0j 0.000376434-0j 0.000372573-0j 0.00858982-0j 1.34007e-06-0j 0.00429491-0j 0.000532358-0j 0.00354312-0j 6.05508e-07-0j 0.000266179-0j 0.00433942-0j 0.000219587-0j 1.33502e-07-0j 0.00196076-0j 0.000268938-0j 0.000432306-0j 0.000121519-0j 2.67924e-05-0j 
-4.49678e-06-0j -5.24625e-06-0j -3.21266e-06-0j -4.59046e-06-0j -1.89347e-06-0j 0.000110883-0j 0.000125256-0j 0.000102271-0j 0.000103331-0j 8.94873e-05-0j 7.38233e-05-0j 2.35869e-05-0j 3.56019e-05-0j -0.00147477-0j 3.94041e-05-0j -0.00163227-0j 3.11516e-05-0j 2.07678e-05-0j -0.00129042-0j 3.14745e-05-0j -0.000860283-0j -0.0013038-0j 3.63436e-05-0j 1.28494e-05-0j -0.0015055-0j 2.12004e-05-0j -0.000532273-0j 2.24864e-05-0j -0.000878206-0j -0.000931478-0j 1.31171e-05-0j -0.000543362-0j 3.42192e-06-0j -0.000141749-0j -2.80613e-07-0j -0.000908697-0j 0.0107333-0j -3.06238e-07-0j -0.000991677-0j 0.0117134-0j -2.37211e-07-0j -2.39669e-07-0j -2.16543e-07-0j -0.000768149-0j 0.00907317-0j -0.00077611-0j -2.67958e-07-0j -0.000701221-0j 0.00916719-0j -1.78639e-07-0j 0.00828263-0j -1.56309e-07-0j -1.54706e-07-0j -0.000867717-0j -0.000578478-0j -2.21054e-07-0j -0.000506168-0j 0.0102492-0j -0.000500977-0j -1.10527e-07-0j 0.00683282-0j -9.11803e-08-0j 0.00597872-0j 0.0059174-0j -0.00071583-0j -1.11673e-07-0j -0.000357915-0j 0.00845518-0j -0.000295265-0j -5.0459e-08-0j 0.00422759-0j -0.000361624-0j 0.00348759-0j -1.11252e-08-0j -0.000163399-0j 0.0042714-0j -3.60261e-05-0j 0.00193002-0j 0.000425531-0j 
1.67585e-07-0j 1.95516e-07-0j 1.19729e-07-0j 1.71077e-07-0j 7.05655e-08-0j -6.20936e-06-0j -7.01421e-06-0j -5.72708e-06-0j -5.78643e-06-0j -5.0112e-06-0j -4.13403e-06-0j -1.32084e-06-0j 1.3878e-08-0j 0.000138172-0j 1.53601e-08-0j 0.000152929-0j 1.21432e-08-0j 8.09548e-09-0j 0.000120901-0j 1.22691e-08-0j 8.06005e-05-0j 0.000122154-0j 1.41671e-08-0j 5.00882e-09-0j 0.000141051-0j 8.26413e-09-0j 4.9869e-05-0j 8.76544e-09-0j 8.22797e-05-0j 8.72708e-05-0j 5.11317e-09-0j 5.09079e-05-0j 1.3339e-09-0j 1.32806e-05-0j 1.04578e-08-0j -5.32253e-07-0j -0.00203186-0j 1.14128e-08-0j -5.80857e-07-0j -0.00221741-0j 8.84033e-09-0j 8.93195e-09-0j 8.07008e-09-0j -4.4993e-07-0j -0.0017176-0j -4.54592e-07-0j 9.98622e-09-0j -4.10728e-07-0j -0.0017354-0j 6.65748e-09-0j -0.00156794-0j 5.82529e-09-0j 5.76555e-09-0j -5.0825e-07-0j -3.38833e-07-0j 8.23821e-09-0j -2.96479e-07-0j -0.00194023-0j -2.93438e-07-0j 4.1191e-09-0j -0.00129349-0j 3.39809e-09-0j -0.0011318-0j -0.00112019-0j -4.19285e-07-0j 4.16179e-09-0j -2.09642e-07-0j -0.00160061-0j -1.72946e-07-0j 1.8805e-09-0j -0.000800305-0j -2.11815e-07-0j -0.000660218-0j 4.14611e-10-0j -9.57081e-08-0j -0.000808598-0j -2.11017e-08-0j -0.000365364-0j -8.05551e-05-0j 
