0.118263+0.127011j 0.0966825-0.00422224j 0.0598629-0.00144325j 0.117189+0.102516j 0.00998887+0.10044j 0.0214296-0.0186145j 0.0529171+0.105209j -0.00775342-0.0229661j 0.01512+0.0813765j 0.0585814+0.140214j 0.0254098-0.0276426j -0.0129493+0.0069603j 0.00287299+0.0141585j -0.00674098-0.0271626j 0.00706024+0.0279131j -0.00824045-0.021301j 0.0009017+0.00289999j -0.0245422-0.0362687j 0.0318509+0.011439j -0.00825531+0.010583j 0.0214651-0.0183328j -0.00169318+0.00651028j -0.00424932+0.0257195j -0.0261819-0.0820069j 0.00443109+0.012296j -0.00450034-0.00585042j -0.00263492-0.00254258j -0.000823549-0.0121077j -0.00120983-0.00206874j -0.0147498-0.0177645j 0.00569126-0.00302131j -0.0136565+0.0103425j -0.0100554-0.012154j -0.0200697+0.00386803j 0.00486385+0.0115274j 0.030049-0.000128516j -0.0196985+0.00323275j 0.0112929+0.00937975j -0.0202993-0.0221809j -0.0413212-0.0685463j 
-0.124898+0.138567j 0.000671389+0.114516j 0.0226064+0.0540353j -0.10494+0.134011j -0.0941591-0.0238701j 0.021884+0.0294664j -0.104724+0.0655508j 0.0490295+0.0130099j -0.0929478-0.00830121j -0.15601+0.093076j 0.0235756+0.00636473j 0.00464538+0.00858375j -0.00930481+0.0109931j 0.00382052+0.0148223j -0.0139154-0.000970542j 0.0126949-0.0266439j -0.00871704-0.00675212j 0.0435694-0.0153084j -0.000463051+0.0392296j -0.0134906-0.00782207j 0.0241016+0.0128512j -0.00205062-0.00412909j -0.0190282-0.00913795j 0.0620385-0.0143907j 0.00319564+0.00393027j 0.00360212+0.00623079j 0.00733275+0.00726788j 0.0124805-0.00379578j 0.0104702+0.00712484j 0.000658359+0.0125135j 0.000102254-0.00276955j 0.0071526+0.0299296j -0.0117651+0.0102156j -0.0061752-0.00308128j 0.00430144-0.00119359j 0.0153482+0.00259256j 0.0425836-0.00500288j -0.0492353+0.0374577j -0.032696-0.0119111j 0.0538494+0.00621455j 
-0.0114879-0.116259j 0.240131-0.00560658j 0.0386079-0.076909j -0.10272-0.00843636j -0.109658-0.041949j -0.0333964-0.00404194j 0.211171+0.0242903j -0.0276988-0.137699j -0.145932+0.00738399j -0.102208-0.0681532j -0.0285046-0.0265841j -0.0184111-0.0181157j 0.0380086+0.0236542j 0.0224485+0.0189625j 0.0432309+0.0308238j 0.0131609+0.0211117j -0.0218023-0.00496641j 0.0509203+0.0351318j 0.0303974-0.0354609j -0.0512633-0.0130508j -0.00425552-0.0257623j 0.00521959+0.0161187j -0.0128879-0.0361488j 0.0243301+0.0575706j 0.00253614-0.0345949j -0.0190055+0.000455044j -0.00182754+0.0051538j 0.0126346+0.00109601j -0.0113577-0.0183461j 0.0233588+0.0199364j 0.0108677+0.00829738j 0.00387178+0.000573553j 0.00756803+0.0026404j 0.0107869-0.00714537j 0.00488371+0.0239432j 0.0220469-0.0422964j 0.0308438-0.00623057j 0.00599352-0.0304049j -0.0173408+0.0292815j 0.042717+0.0670732j 
-0.062361-0.131227j 0.0335188-0.407537j 0.0194256+0.0264571j 0.0367831+0.0377858j -0.053521-0.0167755j 0.000679955+0.00474996j -0.0366933+0.0616379j -0.141297+0.048831j -0.0331425+0.0114256j -0.0661932-0.0134662j 0.0119483+0.00671227j -0.0232228-0.0132589j -0.00704414+0.0123628j 0.0165361-0.00390147j -0.00933439+0.0166809j 0.0297148-0.0202053j 0.0232852-0.0144266j 0.020327+0.00139975j 0.00262446+0.0195548j -0.0198307+0.0171705j 0.0161379+0.0117881j -0.00533888+0.008844j -0.0141377+0.00594786j 0.0141636+0.0261269j -0.0180432-0.00532779j 0.0265484-0.0195618j 0.00333943-0.0244855j -0.013385+0.00399807j 0.00947739-0.00719435j 0.0198986+0.0203512j 0.00259402-0.00806262j -0.00249004-0.00500492j -0.0127527-0.00567157j 0.00511215-0.00756311j 0.0108743-0.00155673j 0.0155053+0.0255786j 0.0072331-0.0132684j -0.0179641-0.00200292j -0.0117335-0.0235345j 0.0293582+0.0239876j 
-0.133942-0.0391664j -0.441183-0.211975j 0.011841-0.0217617j 0.0162045+0.0135486j -0.0526473+0.0666287j -0.0518117+0.0381144j 0.0630646-0.00320741j 0.0569062+0.0404822j -0.0635465+0.068427j -0.016337+0.0228116j -0.036562-0.016183j 0.0141535+0.0045376j 0.00845133+0.00231926j 0.0362612+0.00773139j 0.0125232+0.00112424j 0.000175196+0.00850592j 0.0038276+0.00461332j 0.0012698-0.0114112j 0.0114152-0.0113296j -0.0205813+0.0339097j -0.00205391-0.00889585j -0.0132884-0.00170763j 0.000370501+0.0308931j 0.00643338-0.0178058j 0.0190797+0.0193471j 0.0109918+0.0019722j -0.00374903+0.00956991j 0.0099812-0.0115186j -0.00062637+0.00450051j -0.00507768-0.00381464j -0.00519677-0.0078482j -0.00811302+0.00432382j 0.0171261-0.00314122j 0.00843453+0.0117682j -0.0216513-0.0064271j -0.00290216-0.00789351j 0.0295981+0.0234089j 0.00908334+0.0166073j 0.00748663+0.0134527j 1.83928e-05-0.0229013j 
-0.0356615-0.0166356j -0.138325-0.0366727j 0.0179255-0.00499751j -0.00612121-0.047875j 0.020636-0.00561158j -0.0344738-0.0721945j 0.0226232+0.0429856j -0.00507648-0.0271623j 0.0361737-0.0272109j 0.0296876+0.0440514j 0.0283667-0.0352867j 0.0219038-0.0233001j -0.00361067+0.0209076j -0.0126831-0.0334346j 0.00754262-0.00300507j -0.0132476+0.00560168j -0.0134094+0.0066939j 0.0016659+0.0107708j 0.0119979+0.00565341j 0.00554071+0.00488164j -0.0136105+0.00759648j 0.00847945-0.00152681j -0.00635317+0.0178802j -0.00427582-0.00223729j 0.00415092-0.012794j 0.00325461+0.00634561j -0.00367365+0.0012319j -0.0100817-0.000523735j 0.0129055+0.00134616j -0.0113768-0.00750821j -0.00941045+0.0155812j -0.00353478-0.0082474j 0.00980394-0.0171457j -0.0102277+0.000630245j -0.000256777+0.00398435j 0.00773982-0.0102899j 0.00711169+0.00645669j 0.00903346-0.00325636j 0.00462345+0.00332747j -0.00633628-0.00804001j 
0.0748733-0.0438623j 0.28251-0.392802j -0.0280898+0.00111264j -0.0556973+0.0891694j -0.00906791-0.00113609j -0.00416685-0.0166793j -0.0237532-0.0371944j 0.00594031+0.0658353j -0.00335188-0.00781269j 0.00637186+0.0419544j -0.00452736+0.0215055j -0.0204508+0.0110594j -0.00862658+0.0110008j -0.00394613-0.0229939j -0.000894967-0.00205701j 0.00666683-0.021383j 0.0243284-0.0163151j -0.00419236-0.00409644j -0.0115317+0.00394757j 0.00979955+0.0256683j 0.00530388+0.00838616j -0.0119029+0.00319215j 0.0156149+0.0325606j 0.0132472-0.00616729j -0.00129542+0.0159593j -0.0246684-0.0123301j 0.00464097+0.0217868j 0.00762898+0.00241817j 0.010932+0.00541191j -0.0119692-0.00516144j 0.0042526-0.00357997j 0.0192997-0.012683j -0.000535957-0.00263521j 0.0114648-0.000130196j 0.0123182-0.0209573j 0.00391949+0.00814999j -0.00834719+0.0160257j 0.00888112+0.0144525j 0.00818581-0.00908634j -0.00925364-0.02054j 
-0.11218-0.136576j -0.234977-0.0699222j 0.0232556-0.0496005j -0.0214581+0.00557788j -0.0166252-0.0324265j 0.0293444+0.0596345j 0.119805+0.00690384j 0.031505-0.11254j -0.0340488+0.0338513j -0.0921942-0.10218j -0.00926773-0.0193656j 0.0111211-0.0305719j 0.011927+0.00144047j 0.0352327-0.000225215j 0.0249146+0.0195921j -4.94752e-05+0.0303238j -0.0232067+0.0199704j 0.0326622+0.035969j 0.0144356-0.00523393j 0.0115034+0.0220498j 0.00516652-0.00399059j 0.0142453-0.0156856j 0.00157044-0.0131556j 0.0252022+0.029267j 0.0100759-0.0134831j -0.00773412-0.0169868j 0.0104689+0.0101022j 0.00712065-0.00552243j -0.0129722-0.00773791j 0.00334908+0.0291321j -0.00319896-0.0170342j -0.0105148-0.01133j 0.00777699+0.00735232j -0.0100257+0.0165573j -0.0100553-0.000307554j -0.00631095-0.00418561j 0.0269128-0.00426426j -0.0181058-0.03256j -0.00965962+0.00965696j 0.0348134+0.0388526j 
-0.106675+0.0954058j -0.0244493+0.18138j -0.0764901+0.0269246j 0.0373885+0.060876j -0.041727+0.0251056j 0.0315961+0.0999245j -0.0666372-0.114524j -0.144865+0.0346327j -0.00505264+0.0506258j -0.121268+0.0209792j -0.0164434+0.0161243j -0.0131839-0.00882591j -0.0189607+0.0038597j 0.00757479+0.0123839j 0.000639144-0.00202678j 0.0170654-0.0104226j -0.00757159+0.000159858j 0.0114643-0.00794021j -0.0500542+0.00312472j -0.00720788+0.00961562j -0.0243322+0.0388217j 0.0111712+0.00811655j -0.0127619-0.0217229j 0.0325566+0.00479849j -0.0204985+0.00991734j 0.00493338+0.00271411j -0.00215575+0.00230904j 0.00882334-0.000765358j 0.0115552-0.0116584j 0.000586789+0.00548229j 0.00995444-0.00862586j -0.00636287-0.00248963j -0.00468059+0.0215871j 0.0283249-0.00829778j 0.00177871-0.00603269j -0.0130361+0.0201351j 0.00163457-0.00182286j -0.0348442+0.0289603j 0.00798539-0.0133404j 0.027883+0.0109978j 
-0.0219826+0.0499282j 0.026376-0.189507j -0.0911386+0.0158175j -0.212743+0.262357j 0.0822517-0.00506742j -0.0300646+0.0713932j -0.113899-0.148772j 0.146216-0.108278j 0.0506171+0.00744737j 0.0320441+0.0475121j -0.027897+0.0617272j 0.0289441-0.0055648j -0.0113694-0.0164199j -0.0237796-0.027321j -0.0353839-0.0414218j -0.0262747+0.0184296j -0.00615934+0.00356331j -0.0028888+0.0191446j -0.0428392-0.00470256j 0.0245567+0.0114383j -0.0129788+0.0189259j -0.00801401-0.00622535j 0.00852372-0.0121858j -0.00436543-0.041538j 0.0182684+0.00415567j 0.00381252-0.00723274j -0.00723123-0.000452516j 0.00803976+0.00044567j 0.00766205+0.0158452j -0.0156882-0.0144453j -0.0253192+0.00603864j -0.0206025+0.0215784j -0.0132407+0.0123166j 0.0118361+0.00596581j -0.0323164-0.00592703j -0.0253514+0.00819531j 0.0116574-0.00268447j -0.0112824+0.0159446j 0.0225071-0.00471553j -0.0138894-0.0376521j 
-0.095088-0.0474904j 0.0726967+0.0581479j -0.00892229+0.027945j -0.244022-0.0718646j 0.067536+0.0658059j -0.0318223+0.00564723j -0.00450918-0.0192176j 0.0551335-0.118275j 0.0244665+0.0600869j -0.0427796-0.0151581j 0.00904578+0.0161764j 0.00426184-0.00205223j 0.00802603-0.00192295j 0.000915286-0.00233537j 0.0539588+0.0160014j -0.00460308+0.0405592j 0.0207479+0.0247208j 0.0332817+0.000812945j -0.00694555+0.025746j 0.01393+0.0230126j -0.0113899-0.0123213j 0.00751992-0.0032764j -0.00360192+0.0173318j 0.0135453-0.0349442j 0.000297644-0.0152386j -0.00659457-0.0117456j -0.012458-0.0155142j 0.00589445-0.015366j 0.0139253-0.00140349j -0.00279794+0.0078829j -0.0163159+0.00757094j -0.0159112-0.023933j 0.012718-0.00248882j -0.0248397+0.00757178j 0.00605917+0.00454975j 0.0139549-0.00630937j 0.0240308+0.00091472j -0.0208258-0.0321958j 0.00032697-0.0190855j 0.0286204-0.00765718j 
