0.00955059+0.0055211j 0.0044738-0.00783654j -0.0038673+0.0081374j 0.00716792+0.00496169j -0.000692508-0.00533856j 0.00309413-0.00440128j 0.00906663+0.0049721j 0.00556838-0.00786886j -0.00628847+0.00759531j -0.00425639-0.0016725j 0.0102113-0.00101078j -0.00475598+0.000859304j 0.00205833+0.00338913j 0.011172-0.00443881j -0.00284781+0.00597844j 0.00219592-0.000240218j 0.00335246+0.00126937j 0.00652606+0.00306624j 0.000572864+0.00193886j 0.00116744-0.00364417j 0.0017311+0.000825958j -0.00701966+0.00553627j -0.00505063+0.00465803j 0.00812282-0.00768105j -0.00124503+0.00592457j -0.00529598-0.000513121j 0.00528608-0.00482723j -0.00171223+0.00226338j -0.00205098+0.0035785j 0.00705238-0.00160004j 0.00111925+0.0038084j 0.00322212-0.00472156j -0.00362204+0.000523196j -0.00343009+0.00219188j 0.00144171+0.000148623j -0.000328977-0.00308097j -0.00680333+0.00457609j -0.00574023-0.00203944j 0.000326246-0.00236719j 0.00054779-0.00145588j 0.00090319-0.00806469j -0.00251026+0.00504947j 0.0011508-0.000947246j -0.000269736-0.00712048j -0.000624327+0.00183003j -0.00309877+0.0040109j 0.00265246+0.00268979j -0.00250325+0.000997963j -0.00509863+0.00607784j -0.00286447+0.00195171j 0.00111091-0.00312241j 0.00648624-0.00151867j -0.00250198+0.00282709j 0.00124202-0.00535711j 0.000911777-5.7633e-06j -0.00543229+0.0044691j -0.00626066+0.00521087j -0.0150546-0.000250993j 0.00149535+0.00697095j 0.00140968-0.00174387j 0.0184253+0.00858011j 0.00506403+0.000677231j -0.00546314-0.00435958j 0.0054273-0.00482751j -0.00188203+0.00193995j 0.00266554+0.000181803j -0.0146431-0.0028366j -0.00287671-0.00984284j 0.0130789+0.002494j 0.00624548+0.00469752j -0.00663975-0.00161006j -0.00790384+0.00861491j -0.00390964-0.0125047j 0.0189578-0.00412287j 0.0091012+0.0146307j -0.00543977+0.01062j 0.0304-0.00796131j -0.0133872-0.0516599j 0.0627037-0.00665614j 0.0326586-0.0341216j 0.0190403-6.33944e-08j 0.00212476-0.0118444j 0.00995149+0.00953325j 0.00727697+0.00418176j 0.00261082-0.014031j 0.000273164-0.0152111j -0.0149691+0.000282633j -0.0120051+0.0280035j -0.00298497-0.0462322j -0.0161544+0.0140491j 0.0119561+0.0807099j -0.076471+0.0201818j 
0.00511082-0.00579456j -0.0113257-0.00493176j 0.00882327+0.00507568j 0.0044348-0.00675037j -0.0033069-0.00223838j -0.00884251-0.00393738j 0.00340094-0.00759845j -0.00291607-0.00725801j 0.00748131+0.00110111j -0.00607575+0.00368861j -0.0011406-0.00749415j -0.00123294+0.00434046j 0.00538704-0.0015121j -0.00647-0.00990652j 0.00347396+0.00200553j 0.00320923-0.00170373j -0.000874208-0.00471948j 0.00144506-0.00434606j 0.00516068-0.00140087j -0.000179523-0.0014458j 0.00118292-0.000872667j 0.00460083+0.0056391j 0.00230191+0.0049962j -0.00895668-0.00590021j 0.00754513+0.000340726j 0.00170694+0.00442933j -0.0033523-0.00347023j -0.001987+0.00167794j 0.00357262+0.000735504j -0.00294423-0.00264044j 0.00510052-0.000234714j -0.00454272-0.00226321j 0.00279216+0.00269168j 0.000339521+0.00212194j -0.00214692-0.0020123j -0.00259386+0.00181568j 0.00689101+0.00524941j -0.00461962+0.0047227j -0.00625639-0.0026354j 0.00166686+0.00133873j -0.0109341-0.00311056j 0.00695666+0.00377524j 0.00046883-0.00232196j -0.00866585+0.00359684j 0.00406728+0.00279019j 0.00577383+0.00164563j 0.00235835-0.000576896j 0.0023756+0.00357372j 0.00544873+0.00380035j -0.000126381+0.00474604j -0.00582725+0.00248042j 0.00223888-0.00444317j 0.000254488+0.0007807j -0.00651986-0.000556957j -0.000773995-0.00231856j 0.00071603+0.00374633j -0.000535368+0.00187736j 0.000430332+0.0120748j 0.00331152-0.000780884j 0.000442659-0.00220023j 0.0090087-0.0140403j -0.00103943-0.0020962j -0.00619082+0.0046909j -0.00844024-0.00399428j 0.00288403-4.44138e-05j -0.000833862-0.000343329j -0.00271842+0.0132142j -0.0113591+0.00434171j 0.00788912-0.0103357j 0.0116017-0.00574692j -0.00133243+0.00406505j 0.0110628+0.00312938j -0.0104301+0.00170126j -0.00613694-0.0133772j 0.0235412-0.00638087j 0.015058+0.000874267j -0.00600043-0.0250674j -0.068436+0.0199202j 0.00335581-0.0535751j -0.0309764-0.0203984j 0.00413351-0.0111506j -0.0250327-0.00199912j 0.0140753-0.00893664j -0.00257224-0.011522j 0.000766375-0.00625953j 0.0168229-0.0071538j 0.00838298-0.040713j -0.0133409-0.00828151j 0.00946448-0.00750165j -0.00726864-0.0425116j 0.0772752-0.0195115j 0.011957+0.0790831j 
-0.00171153+0.00287317j 0.00586919+0.00401496j 0.00354742-0.00274572j -0.00196463-0.00215494j -0.00757951-0.000434758j 0.00688141+0.00530458j -0.00213848-4.69347e-05j -0.0155045+0.00915114j -0.0105368-0.00234253j -0.00378155-0.00786297j -0.00263438+0.0003219j 0.00256353-0.00332587j -0.00148965+0.00207705j 0.00274201+0.00686042j 0.0110073-0.010651j -0.00901916+0.0110501j -0.00374212+0.00404755j -0.00181123+0.00150147j -0.005293-8.56272e-05j -0.00551971+0.00450279j -0.000841885-0.00198671j -0.00406858-0.0045451j 0.00455683-0.00780398j -0.00298628+0.00669176j -0.000815982-0.00325799j -0.0122366+0.00287762j -0.00239282+0.00300237j -0.000558273-0.00335023j -0.0063664+0.00345588j 0.0127893-0.00778281j 0.000381491-0.00110302j 0.00800146+0.00576639j -0.00506096-0.00778701j -0.000273349-0.0111709j -0.00180215+0.00201784j -0.00592338+0.000581067j -0.0024144+0.00657657j 0.00324206-0.00365071j 0.00198114+0.00213283j -0.0045042+0.00458414j 0.000721256+0.00814406j -0.000117228-0.0084816j -0.00900224+0.00908429j 0.00286423+0.00595481j -0.00682314-0.0105576j -0.00259692+0.000500409j 0.00636674+0.0114642j -0.00661995-0.00390177j 0.00451482+0.00288398j 0.0140539+0.000592593j 0.00607502-0.00473685j -0.00313053-0.00590465j 0.00837651-0.00625276j 0.00889755+0.00148625j 0.000235539-0.00453975j 0.0142839-0.0234522j 0.0192732-0.0130527j 0.00559006-0.0082098j -0.00115587-0.00405842j -0.00565659-0.0103551j -0.0108862-0.00811509j 0.00268029+0.00278943j 0.000428494+0.0216252j -0.00394338-0.0056892j -0.00499349-0.0068879j -0.00336602-0.0306576j -0.00276322-0.00296357j 0.00827833+0.0404681j -0.0139668+0.0132632j -0.0307065+0.0135001j -0.0344212+0.0137604j 0.0140918+0.0136006j -0.0213684+0.0346025j 0.0213896-0.00848213j 0.00679882-0.00347961j -0.0123268+0.00768962j -0.00904833+0.0287353j -0.0041665+0.00191051j -0.00442113+0.0280414j 0.00450542+0.0313402j -0.00265301-0.00276121j 0.00721811-0.020868j -0.00630909+0.019049j -0.0183245+0.0119575j 0.000595911+0.0199701j 0.00347626-0.0250634j -0.0174654-0.00768164j 0.00833945-0.0237777j -0.0180819-0.0681185j 0.0711045-0.0547323j 0.00210602-0.0188464j 0.00545047-0.0171216j 
-0.00307699-0.00444815j -0.00257246+0.00424812j -0.00344666+0.000112429j 0.00910512-0.00149794j 0.00718561+0.00204137j -0.00278148+0.0077225j 0.00267028-0.00822665j 0.0031124-0.0111475j 0.00682024-0.0068422j 0.00948437-0.00383344j 0.000317357+0.00155986j -0.00373002+0.00395124j 0.000227219-0.00511332j -0.00581936-0.00470234j 0.00537798+0.00266218j 0.000729866-0.0072795j -0.00284499-0.00591791j -0.00654708-0.00394383j 0.00323479+0.00109925j 0.00246859-0.00168166j 0.00566619+0.00201709j 0.00440251-0.00936221j 0.00215522-0.00043695j -0.00473754-0.00656282j 0.00497424-0.00393069j -0.00264629-0.00113298j -0.00171261-0.000492435j -0.00215176-0.00240716j 0.00455-0.0107261j -0.00244707+0.00802905j -0.00207071-0.000219819j -0.00541238+0.00945495j 0.0104926+0.00246303j 0.0159073-0.00128085j -0.00416123-0.00457366j -0.00171857-0.00195582j -0.000674942-0.0047701j 0.00303857+0.000816494j 0.00546605-0.000352044j 0.00588877-0.000294589j 0.000398735-0.0014935j 0.00310617-0.00111176j -0.00172269-0.00102308j -0.00506321-0.00217273j 0.0110526-0.00359008j -0.00405255+0.00347946j -0.0231843+0.00414042j 0.000278447+0.00122662j -0.000183251-0.00483497j -0.0065274+0.011796j 0.00557639+0.00456224j 0.00830773-0.00204571j -0.00553537-0.00346346j -0.00788194+0.00825446j 0.00803952+0.00151425j 0.0177909+0.0108995j 0.0118253+0.0016689j 0.00820118+0.00569651j 0.0114524-0.0181739j 0.00806093+0.00751604j 0.0107493-0.0158775j -0.00786735-0.000467972j -0.0243487+0.00219974j 0.00508903-0.00234308j 0.0115763-0.00891021j 0.0300773-0.000846382j 0.00673183-0.00194164j -0.0495749+0.0168392j -0.00637024-0.0149394j 0.00701709-0.0348235j -0.0036286-0.0324557j -0.0155322+0.00133336j -0.0083251-0.0210022j 0.00144735+0.0220926j -0.00344195+0.00874985j -0.0123224-0.0120626j 0.00460201-0.00822775j -0.000878534+0.03146j 0.0109821+0.00780281j -0.00507998+0.0422809j 0.000115523+0.0316108j -0.00492553+0.0175948j 0.0139093-0.00419928j 0.00190316+0.0231992j 0.00384274-0.00316397j -0.0236088-0.0370037j -0.0061074+0.0111852j 0.00617907-0.0431949j 0.0596054-0.0292968j 0.00967947+0.0342925j 0.0174813-0.0221701j -0.00941257+0.0100768j 
-0.00184136-0.00349339j 0.00730799-0.00116821j -0.0055013-0.000237827j -0.00393354-0.00451112j 0.00368507+0.00100448j 0.00353254-0.00081511j -0.00356051-0.00705315j 0.00789574+0.00100609j -0.00636415-0.00792675j -0.000231646-0.000281365j 0.00115866+0.00109524j 0.00470162+0.00620955j 0.00144272+0.00507533j 0.000400069-0.0040144j -0.00712759-0.00441496j 0.00522746+0.00269271j 0.0038042-0.000898885j 0.00132192-0.00202815j 8.48566e-05-0.00127678j -0.000686893-0.00300926j 0.000573035+0.00072923j 0.000373449-0.000447098j -0.00117416-0.00167389j 0.00443002+0.00563477j -0.00326198+0.000318929j 0.0034995+0.00375347j 0.00109032+0.00252835j 0.00131817-0.0018193j 3.74375e-06+0.00361257j -0.00659654-0.00299463j 0.00143316-0.001423j 0.00189109+0.00213657j 0.00359099+0.00388115j -0.00879777-0.00240278j -0.000797961-0.00493438j 0.00662203+0.0067474j 0.0029435-0.00208702j -0.000772779+0.00417132j -0.00321097-0.00143692j -0.00148718+0.00426616j 0.00667907+0.00698268j -0.00281557-0.000993972j -0.000772588-0.00301808j 0.00278161+0.00855585j -0.00414058+0.0039486j 0.00231456-0.000264568j 0.00407414-0.00311456j 0.000443794+0.00498242j 0.00101832-0.00257033j 0.00276527+0.00102964j -0.00194174+0.00449287j -0.00728307-0.00214325j 0.00110727-0.00567812j 0.000586059-0.00230806j -0.00164833-0.0043646j -0.00559598-0.000817277j -0.00593606-0.00791826j 0.00586993+0.00959909j -0.00471567-0.000973338j 0.00123955-0.00177039j -0.00577011-0.010286j 0.00190019-0.00221632j 0.00890383+0.0027405j -0.00163534+0.00667837j -0.00482567-0.00300801j -0.00385764+0.00706184j 0.00367605+0.0195217j 0.0231507+0.0108173j -0.00238637-0.00914625j 0.00087268-0.000853431j 0.00566229+0.0100495j 0.00863543-0.0096028j 0.0101738+0.0263272j -0.00092909-0.0109793j -0.0112199-0.030824j 0.00164318-0.0197221j -0.00305553-0.0046977j 0.0347972+0.105196j -0.00895193-0.031902j 0.012976+0.0258907j -0.00902303-0.0393763j 0.0139342+0.0338071j -0.0200173-0.0600577j -0.00590076+0.00368712j 0.000430598+0.00909451j 0.000192164-0.0329076j 0.0102671-0.00496676j 0.0195685+0.00734828j -0.0141105-0.042252j -0.0113519-0.00523177j -0.0298729-0.0197332j -0.0240522+0.0190493j 
0.00932321-0.000107251j 0.00252504+0.00229498j -0.00521072-0.00484113j 0.000544513-0.000783259j -0.000242775+0.00300096j 0.00011415-0.000266041j 0.00532743+0.00395389j 0.0088762+0.0113054j -0.000680956+0.00253512j -0.00506325-0.00296365j 0.00954367+0.0114677j -0.00493361-0.00762347j -0.00112251-0.00239094j 0.0054135+0.00408519j -0.00114843-0.00280263j 0.00426675+0.00682724j 0.0044993-0.00119471j 0.00410006+0.00244822j -0.000511036+0.00377498j 0.00461377+0.00543662j 0.000552388+0.00417828j 0.00080177-0.00238834j 0.00316621-0.00202614j 0.00830351+0.00872282j -0.0059403-0.00237887j -0.000444323-0.000693017j 0.00403677+0.00923511j -0.00170872-0.00196353j -0.00263265-0.00136458j -0.00421962+0.00251002j -0.00206279-0.00376667j 0.00393277+0.00281118j -0.00511276+0.0022153j -0.00768876+0.00115284j 0.00237642+0.000352105j -0.00221842-0.00199882j -0.000371587-0.0068533j 0.00389385+0.00126466j 0.0058155+0.005663j -0.00246899+0.00217483j 0.00524104-0.00279887j -0.00560064-0.00203701j 0.00762514+0.00554483j 0.00267494+0.00337129j -0.00378892+0.00325596j -0.00208628-0.00588138j 0.00446815-0.00606703j 0.00117358+0.000411815j -0.00514428-0.0132842j 0.00125582-0.00568943j -0.00176381+0.00175595j -0.00696326+0.00928557j -0.00169965-0.00420879j -0.00442735-0.00130468j 0.00218556+0.00209599j -0.0146563-0.0077196j -0.00743472-0.00772489j -0.00569107-0.0166369j 0.00436074+0.00185947j -0.00351838+0.00280126j 0.0052211+0.0159811j 0.00433084+0.00191913j 0.00193107-0.0157594j -0.00160436+0.00750023j -0.00546988-0.00308783j -0.0111876+0.00594433j -0.00674715-0.00535984j 0.0155634-0.0142745j 0.0132639+0.0118045j 0.00412353+0.0105855j 0.0123862+0.00441085j -0.00112607-0.0205348j 0.0175385+0.00426364j -0.00168317+0.0198583j -0.00242918-0.0079065j 0.00501675-0.0144658j 0.0159425+0.0443223j 0.00761406+0.01202j 0.0299917+0.0943378j 0.0229398+0.0482976j 0.00975193+0.0229861j 0.0155101+0.0501242j -0.00425852+0.0200267j 0.0170625+0.0327611j -0.0020961+0.0109238j 0.0010919+0.027798j -0.00661946-0.0460337j 0.00960574+0.0144827j -0.00642658+0.0161818j -0.02053-0.0478709j 0.0222247-0.010864j -0.0270103-0.0249142j 
-0.00168459+0.000354606j 0.00407525+0.00429584j -0.00513902-0.00111907j 0.00453264+0.00122636j 0.0032848+0.00285044j -5.51144e-06+0.0103593j -0.00849691-0.00427061j 0.00046417-0.00284229j -0.00314128-0.000817049j 0.00414056-0.00441522j -0.00390023+0.00636534j 0.00148767+0.00590368j 0.00323322-0.0102773j -0.0102541+0.00356045j -0.0101233-0.0032189j -0.000833979-0.00493729j -0.0117598+0.00943156j -0.00799932+0.00238899j 0.00640315+0.00882375j 0.00365174-0.00314233j 0.00416737+0.00551152j -0.0075422-0.00751543j -0.0153278+0.00036006j -0.0107562+0.00159502j 0.00786368-0.00165142j 0.00664009-0.00324691j -0.0017776+0.00408635j -0.00274232+0.00236984j 0.00443081-0.0112512j -0.00217841+0.00156956j -0.00515541-0.00207883j -0.00614049-0.00245762j 0.00557444+0.00351105j 0.00898598-0.00641333j -0.00515876+0.00689571j -0.00695049+0.00940423j -0.000644897-0.00253318j -0.00310691-0.0071294j 0.0023385+0.00508093j 0.0156023-0.00579992j 0.00583977+0.00853352j -0.000663921-0.0172551j -0.000166022+0.00684418j 0.00498609-0.00332882j 0.00156593-0.00780774j -0.00227786-0.0027136j -0.00937947+0.00708824j -0.00322683+0.00186603j -0.00979962-0.0166992j -0.00307742-0.000438758j 0.00504368-0.00221992j 0.0111983+0.00539714j -0.0264437+0.0157921j 0.00523734+0.0201931j -0.00156657+0.0110578j -0.0146776+0.00680736j -0.0263914+0.00372082j 0.00763226-0.0062178j -0.0220221-0.0203618j -0.000945791+0.0120035j -0.0225446-0.0217514j 0.00797553-0.00199702j -0.00279872-1.23413e-05j -0.0140928-0.00847942j -0.00676954-0.00261898j 0.0072427-0.0203891j 0.0381409-0.0306943j 0.030097+0.0038704j 0.0234564-0.00245137j -0.00847632-0.0209242j -0.0048991-0.00292224j 0.0108834-0.0109596j -0.00646194-0.0182864j 0.00361442+0.018165j 0.00662817-0.0253978j -0.00865222+0.0344873j 0.00829071-0.00917738j 0.00961524+0.0249983j -0.00684803+0.00100978j -0.00672678+0.0131075j 0.000247718-0.00750035j -0.00308506+0.0272941j -0.0113848+0.00124132j -0.00142262-0.00294471j 0.0132036+0.0387217j 0.00952584+0.0290226j -0.00689125+0.0451804j -0.063368+0.0208492j -0.00576727+0.00257626j -0.00745692+0.0149307j -0.00723049-0.0175276j -0.00252996-0.00909469j 
0.0001428+0.00312242j 0.00238536+0.000898457j -0.000317328-0.00385795j -0.00709015+0.00260401j -0.00188156+0.00398292j -0.00765512-0.000346686j -2.4582e-05+0.00281162j -0.00148557+0.00887942j -0.000112803+0.00670108j -0.00233006+0.00234835j -0.00232685+0.00620359j 0.00355582+0.00160491j -0.00363536-0.00216852j -0.00132309+0.00860351j 0.000652004-0.00873114j -0.00702048+0.00505998j -0.00666758+0.00442245j 0.0147785-0.00129845j -0.004939+0.00613087j -0.0029949+0.00129197j -0.00746638-0.000898121j -0.0010463+0.00339483j 0.00340847-0.0105158j 0.00122514+0.00891685j -0.00616031+0.0054351j -0.00892045+0.00786282j 0.000140036+0.010082j -0.00472875+0.00177794j -0.00757494+0.00605065j 0.00692786-0.0169774j 0.000777704-0.00660005j 0.0013007-0.0145175j -0.00505579+0.00589509j 0.00857373-0.00487451j 0.00339645+0.00465733j -0.00734044+0.00382237j -0.0148782+0.00175765j 0.00131101-0.00199137j 0.00541977+0.00715942j -0.000637718+0.0093654j -0.00345568+0.0133665j -0.000903782-0.0151787j -0.00359655+0.0176816j 0.00942285+0.0086846j 0.00293659-0.00124235j -0.00726985-0.0130547j -0.00200457-0.00902112j 0.00972801-0.0128075j -0.0132689-0.00245057j -0.00426912-0.0176449j -0.00112816-0.00440839j 0.00223947+0.00950256j 0.00551855-0.00407221j -0.00697361+0.00521572j 0.0048191+0.0103725j -0.0182941-0.013568j -0.0135746-0.00189704j 0.00293255+0.0125408j 0.00540774-0.0109889j 0.00128017-0.00371747j 0.0267238-0.0411319j 0.00555232-0.000249217j -0.023435+0.00375529j -0.00179809-0.0192045j -0.0126588+0.00404522j 0.00816099-0.0254536j -0.0180368+0.0158238j -0.00547532-0.00924998j 0.0186411+0.020562j 0.00685717+0.0159003j -0.000154129+0.0392194j 0.000724422-0.035821j 0.000436104+0.0366781j 0.0043237-0.0209387j 0.00315558+0.000164258j -0.00133507+0.0273667j 0.00224402+0.0221714j -0.000406055-0.00707654j -0.000511762+0.00222808j -0.00155531+0.0216903j 0.00230776+0.013003j -0.0151389+0.0157567j -0.010657-0.0210618j 0.0167551-0.00483606j 0.0167252-0.0507376j 0.0287791+0.0181157j -0.0384559+0.0354641j 0.0120187-0.0446981j 0.0117786-0.000751466j 0.00376373-0.0321553j 0.00348334-0.0109886j -0.00548842-0.0121484j 
0.0057911+0.00549603j 2.13061e-06-0.000807751j -0.000218724+0.00205547j 0.00230659+0.00307742j 0.00503157-0.00548454j 0.00106408+0.00496059j -0.00289983+0.00852474j -0.00187768+0.00194709j 0.000875673+0.00900077j -0.0057533-0.00283931j 0.00493791+0.00697849j -0.00211686-0.0048389j 0.00146927+0.0039658j 0.00531565+0.0118926j 0.0017096+0.00731696j 0.00294201+0.0077248j 0.008237+0.0131272j 0.000610706+0.0051795j 0.00900904+0.00231205j -0.00790528+0.00821136j 0.00354501+0.0103753j 0.00293362+0.00293786j -0.00660038-0.00205518j 0.000784617+0.0111015j -0.00118042+0.00135014j -0.0114701-0.00396707j 0.00591351+0.00721439j 0.00490177+0.00152625j -0.00540396+0.00834192j 0.00143718-0.00230497j -0.00159824+0.0126571j -0.00327729-0.000872083j 0.00391598-0.00234199j 0.00157132-0.00695968j 0.0133385+0.00481056j 0.0080583+0.017934j -0.0020226+0.000736608j -0.00719862-0.00883813j 0.0049174-0.00300599j 0.00328601+0.00104987j 0.00587426+0.000554211j -0.0145459-0.000413811j 0.0165567+0.0102303j -0.0011636-0.0166376j -0.00741847-0.00305956j -0.00881391+0.00473541j -0.0165602-0.00719391j -0.00225749+0.00437752j -0.0287059+0.015229j -0.00518581-0.0104051j -0.0167955-0.0120274j 0.012049-0.00817885j -0.00462583+0.0197519j 0.00606223+0.00522938j 0.00826077+0.00382134j -0.00519639+0.0132041j 0.00711881+0.0124513j -0.0124611-0.0194475j -0.0197733+0.00190062j 0.0151432+0.00897435j -0.0174813+0.0122098j -0.00973154-0.00165054j -0.0268699+0.019602j -0.0105338+0.00754561j 0.00751987+0.0160291j -0.0261908-0.006756j -0.00463154-0.0226312j -0.0083786-0.0115336j 0.00487288+0.0199878j 0.00873659+0.0335647j 0.0169167+0.0288697j -0.00567676+0.01064j 0.00194557+0.0044232j -0.00991417-0.00690565j 0.0176442-0.0303652j 0.000664034-0.0114371j 0.00823671+0.0123851j 0.00220388+0.00564676j 0.00694644+0.0358726j 0.00665818+0.0013713j 0.0061836+0.0326418j -0.0149921-0.0359405j 0.000357215-0.00527158j 0.0153125+0.0459533j 0.00946682-0.00773673j 0.0329405-0.0490021j 0.0379793+0.0317438j -0.0017466+0.0133569j 0.010468-0.0141076j -0.00575565-0.0127988j 0.0080037+0.0122337j -0.00641495-0.0208785j 
0.00823647-0.00225811j -0.00177676+0.00606603j -0.00888111-0.000369183j 0.00142187-0.0058334j -0.00139675-0.00187247j 0.000230095+0.00754105j -0.000390505-0.00158181j 0.0125191+0.00183583j 0.00185388-0.000189454j -0.00284469-0.00447101j 0.00389168-0.00355849j -0.0112277-0.00249829j 0.00210824-0.0102454j 0.00646753+0.000939163j -0.0122978-0.00760618j 0.00593933+0.00386802j 0.00191136-0.00166025j -0.00654874+0.00266672j 0.00192007+0.00200277j 0.0136609-0.00169866j 0.00607864+0.00243356j -0.00841+0.00478402j -0.0104062-0.000958165j 0.00779101-0.00232952j 0.0071717-0.000265987j 0.00970913+0.00312333j 0.00454672-0.00568846j -0.00411021+0.0018643j 0.00282458-0.00714036j 0.000936348-0.00195481j -0.000467689-0.00271245j -0.000845358-0.00299637j -0.0039787+0.00206852j -0.0115167-0.00718629j -0.000884361+0.00164293j 0.0100563+0.00731351j 0.01024+0.0123713j 0.00393144+0.000319652j -0.00107424+0.00568152j 0.0023055+0.00606166j 0.00071609-0.0064386j -0.00199036-0.00530921j 0.00894425+0.00477747j -0.00308298+0.0112665j 0.00125605-0.00532619j 0.0051303+0.00439843j 0.0105518+0.0263848j -0.00411732+0.00398881j 0.00614028-0.00848078j 0.00866764+0.00927848j 0.00395414-0.00106099j -0.00243291-0.00447097j -0.00773874-0.0104068j 0.000164702+0.00394379j -0.00336719-0.00655499j -0.00632425-0.0300538j -0.0101602-0.0273641j -0.0178002-0.0126599j -0.00944614-0.00491819j -0.00135037-0.00387868j -0.00688559+0.0162677j 0.00709317+0.0256911j 0.0263393+0.0116598j 0.00254582-0.00400867j -0.00443014-0.0288027j -0.0163457-0.0242869j 0.0127705-0.00380392j 0.0373163+0.0674749j 0.0080442+0.0133981j 0.0135034+0.00156595j 0.0180425+0.0417153j 0.00390914+0.0267651j 0.0145024+0.0113147j 0.00780146-0.0041801j -0.00453238-0.00456004j 0.0208665+0.0358591j 0.0293035+0.0351407j 0.0092834+0.0243385j 0.024557-0.00607028j 0.0221162+0.020709j 0.00914689+0.0111054j 0.00885794-0.00612773j -0.006702-0.0213998j 0.00455357+0.0131988j 0.0155762-0.0317539j -0.0262151-0.00097655j 0.00766292+0.00252842j -0.00745899-0.0308616j 0.00578448-0.00876891j -0.0350058-0.00357701j -0.00294072-0.0191787j -0.0171291+0.0022304j 
-0.00296792+0.000316403j -0.0050224+0.00469491j 0.00167865+0.00103066j 0.00262395-0.00557516j -0.00290378+0.000112324j -0.000999179+0.00530839j -6.99923e-05-0.00149329j -0.00319389+0.000190944j 0.000861205-0.00210584j 0.000394973+0.00101733j -0.00333371-0.00693566j -0.00629371+0.00107673j 0.00394832-0.0131391j 0.000400036+0.00348505j 0.000527309+0.00589809j -0.00539011-0.00479851j -0.0021467-0.00311941j 0.000961081+0.00725704j 0.00916376-0.00417637j 0.00338419-0.00406579j 0.00745334-0.000349201j -0.00878207+0.00841182j 0.0023621+0.0109548j -0.00739883+0.00211302j 0.00557027-0.0110713j -0.0094993-0.0114179j -0.00789991+0.00342111j -0.002863+0.00772373j -0.00626213-0.00737517j 0.00937831+0.00541396j 0.00263348-0.00149513j 0.0049091-0.00307945j -0.00366348-0.00211133j 0.0031309+0.00580971j -0.00173892+0.00426792j -0.0012495+0.00220565j -0.00573443-0.00449407j 0.00129406+0.0060002j -0.00617466+0.0088694j -0.0128052-0.00159744j -0.00618158+0.000851624j 0.000855658-0.00453741j -0.00465811+0.00704976j -0.0116252+0.00766549j 0.00207186+0.00377369j 0.00990668-0.00861222j -0.0105222+0.00227418j 0.00552328+0.0195946j -0.00159028-0.012641j 0.00863+0.000225639j 0.000338364-0.00296512j -0.00146589-0.00743161j 0.0134884+0.0317038j -0.00999504+0.00105513j -0.00648415+0.00347538j 0.0214952-0.00167032j 0.00357547-0.00102252j -0.000129837-0.00199629j -0.000306034+0.0200506j 0.0118599+0.00366401j 0.035167+0.0302223j -0.00493515+0.00662572j -0.0109405-0.0351889j 0.0244072-0.0039844j 0.00727832-0.00267695j 0.0194718-0.0057577j -0.0330154-0.0552072j -0.0190532-0.0290182j -0.0103312-0.00715181j 0.0111826-0.00547738j -0.00422694+0.020409j -0.0219539-0.0217639j -0.011817-0.00920062j -0.00768622-0.0256626j 0.000857662-0.0041628j -0.0131437-0.0279955j -0.0150332-0.00652124j -0.0300411+0.0078981j 0.0110829+0.00128713j 0.000696572+0.00056826j 0.00621455-0.0124567j 0.00439419-0.000949509j 0.00830885+0.0197266j 0.00354305+0.00356616j 0.0369405+0.0242693j -0.0154857+0.00136281j -0.00861326+0.00365491j 0.0135511+0.0142577j 0.0236425-0.00231452j 0.0204765+0.00914256j 0.012164-0.0137989j -0.00465732+0.0005342j 
