0.00180769+0.0236024j -0.0201381+0.000219034j 0.0380509-0.00391003j 0.0106337+0.0162305j -0.019722-0.0320154j -0.0386884-0.0252013j 0.0183396-0.102543j -0.0515093-0.037212j -0.0108156+0.0157087j 0.0044194+0.0106675j -0.00104301+0.0153685j -0.0223828-0.0222757j -0.000720925+0.0141533j 0.000327874-0.00478139j 0.0117999-0.000191272j 0.00556422+0.000989166j -0.0161858-0.00374141j 0.00114181+0.00342329j -0.00146393+0.00200161j -0.00701386-0.0040288j -0.00423638-0.00918723j -0.00651198+0.00799311j 0.0194935+0.0125831j 0.00779991+0.00767194j -0.0164147-0.00130311j 0.00137545+0.00356805j -0.00839343-0.00106424j 0.0057074+0.00826072j -0.0132733-0.000117379j 0.00178963+0.0403641j -0.0265997-0.0138204j 0.0120702-0.00722653j 0.00352979+0.00484801j -0.0152624+0.0077909j 
0.015708-0.0567247j 0.0258208+0.0674904j -0.00441211+0.0456586j -0.0765625-0.313097j -0.0336853-0.0891426j 0.125839-0.0574249j -0.044983+0.433343j -0.0298212+0.131707j 0.0232985+0.0113865j -0.0372654-0.12468j 0.0194793-0.0279531j -0.0305966+0.0324595j 0.0326316+0.03553j -0.0541981+0.0189052j -0.0156424-0.0235408j 0.0192161+0.00690752j 0.0233718+0.016754j -0.0129268+0.021242j -0.0205957+0.000443796j 0.027985-0.0177677j 0.0104033-0.00296028j -0.00669074-0.0236848j -0.00708012-0.010142j -0.0018395+8.34698e-05j 0.0233132+0.0290966j -0.019994+0.00300502j -0.0116199+0.0280079j -0.00946072-0.0143859j -0.018969+0.0186811j -0.0106359+0.00114668j 0.0126212-0.0236036j -0.00780965-0.00466016j -0.00646242+0.014067j 0.00542256+0.0221424j 
0.0903246+0.0346149j 0.0220868+0.0394104j 0.057847-0.178774j -0.0357414+0.111564j -0.217198+0.0458583j 0.0530963+0.0617217j -0.235302-0.26391j -0.168792+0.212286j 0.069374+0.0653226j 0.0304268+0.0219663j 0.0530935-0.0385786j -0.107428+0.0149063j 0.047706+0.0647665j -0.0111265-0.0207276j 0.0285847+0.0157805j -0.00519527-0.0302892j -0.0186371+0.0316983j -0.0316361-0.0155597j -0.0125671+0.0326446j -0.00402644+0.00516918j -0.0402502-0.0287068j -0.0151646+0.0230604j 0.0173271-0.00073797j -0.00333447+0.0366001j 0.00754844+0.011178j 0.00777524+0.0089268j 0.00343539+0.00572281j -0.0153592+0.01888j -0.00263564+0.0179272j 0.0184666+0.0350224j 0.0399263-0.0239542j -0.0332942-0.0150477j -0.0334528-0.0129975j -0.0167096+0.0348272j 
0.118232-0.0171181j -0.0543152+0.0123289j -0.0627143-0.071845j 0.293922-0.0586117j -0.17252+0.0328143j 0.0446934-0.150966j 0.120363-0.0733443j 0.147185+0.0362519j -0.063866+0.0287314j 0.0674126-0.0484233j -0.0214155+0.0478726j -0.068114-0.0202231j -0.00708933+0.0255064j 0.0201009+0.0139772j 0.057074+0.0481588j 0.0102885-0.00601722j 0.0263673+0.00610935j -0.0322965-0.0167342j 0.00220531-0.00149783j -0.0120133-0.00832751j -0.0218961+0.00468977j 0.00561363-0.0105752j -0.000356299+0.00247596j 0.0111605+0.00731494j 0.0397957+0.00655801j -0.0458697+0.00895184j 0.0144606+0.00462576j -0.0170262+0.0148612j 0.0188481-0.00177069j -0.00492148+0.00665254j -0.0171283+0.0195613j -0.0231003-0.00752717j -0.00521424-0.0142995j 0.0110478-0.00142064j 
-0.0264028-0.0128218j 0.0101686+0.0779353j 0.14464+0.0759526j -0.205984-0.33869j -0.142591-0.0967555j 0.0455208-0.0556431j 0.146434-0.0383845j -0.165721-0.144664j 0.029274+0.0848689j -0.0502987-0.0843096j -0.0107311+0.0795606j -0.0347515-0.00541615j -0.0215777+0.0337452j 0.0441899-0.00952066j -0.0363968-0.00737704j -0.0199375-0.0117003j -0.0330785-0.0177787j 0.00828661+0.000787313j -0.0275764-0.0337858j -0.0213381+0.00645408j -0.00404762+0.0235657j -0.0688333-0.02013j 0.00320523+0.00569535j -0.000517436+0.0107385j -0.00261608-0.00453788j 0.000925825+0.013885j -0.00119257-0.00422248j -0.000249809+0.0140369j -0.0201338-0.0258722j -0.0106492+0.013617j 0.0224928+0.00349865j 0.0153266-0.00183223j 0.0061226-0.00398144j -0.0273557-0.000677017j 
-0.0329041-0.0203738j -0.0303091-0.0373045j -0.00511642-0.00853137j 0.0628846+0.0622527j 0.112758+0.0982649j -0.388426-0.192704j 0.0199685-0.0509843j 0.00676889-0.073073j -0.0866632-0.0117359j 0.0113914+0.0093712j 0.0434889+0.0375377j 0.0287054+0.0230832j 0.0043697-0.0143596j -0.0166312+0.0137356j 0.00544539+0.00117052j -0.011699+0.00870338j -0.045328+0.0198866j 0.00748735-0.015115j 0.00665896+0.0193105j -0.0328921-0.0122881j -0.00900558-0.032311j -0.0401685-0.00318185j 0.00374244-0.000288393j 0.0128224+0.0174711j -4.71988e-05+0.0111349j 0.0023726-0.0124809j 0.0154228-0.00200022j 0.00818125+0.0167751j -0.00259343-0.0134326j -0.010674-0.00488005j 0.00528355-0.00247412j 0.0137917+0.00799649j 0.00994896+0.00757441j -0.0175938-0.00154724j 
0.0139957-0.0123114j -0.0115159+0.102477j -0.156371-0.110979j 0.129971-0.14851j 0.0666932-0.0212523j 0.0283088+0.172715j -0.114611-0.203107j 0.171817+0.151307j -0.0114236+0.0833891j -0.00962802-0.0710164j 0.00364377-0.0228886j -0.0232485+0.0217589j 0.0154339+0.0854107j -0.0264933+0.0151296j 0.0181198-0.0297078j 0.0108158-0.013834j 0.0293823+0.00792964j 0.000282347+0.0172293j 0.018806+0.0183093j 0.0151311+0.027487j -0.00311434-0.00544308j 0.0399917+0.00426741j -0.00999223-0.0183594j -0.00206976-0.00401976j -0.00222177+0.0184048j 0.00490047+0.0138725j -0.0103763-0.00702274j 0.0115549+0.00957114j 0.0135486-0.0070793j 0.0159324+0.0342005j -0.0184396-0.0171097j -0.00518037-0.0115381j -0.00504339-0.0108592j 0.0301139+0.0341396j 
0.0665161+0.0609402j 0.0879126-0.0341463j -0.0530134+0.125488j -0.131781+0.0629011j -0.233753-0.138541j -0.247395+0.326675j 0.0180774+0.120123j 0.0510022-0.0130069j -0.0149217-0.016859j -0.065569+0.0376776j 0.0187734-0.0270906j -0.0803851-0.0175366j 0.0861464+0.0113402j -0.00507659-0.0251959j -0.00321831+0.0101551j 0.0123892-0.00722213j -0.00169689-0.0523744j -0.0213307+0.0184236j -0.0142056-0.0342607j 0.00573938+0.00827699j -0.0215595+0.0355837j -0.0318177-0.00890147j 0.00430367-0.00200011j 0.007182-0.0207298j 0.00226555+0.00649376j 0.0138125-0.0221442j 0.0141413-0.0082795j -0.00891139-0.0274255j 0.00812739-0.00456902j 0.0194168+1.9443e-05j 0.00658447+0.00956188j -0.0348178+0.00241772j -0.0274913+0.00108334j 0.00973065-0.0121249j 
0.0153701+0.0306635j 0.0875558-0.014407j -0.139435+0.0553651j -0.0536783-0.0426538j 0.0240447-0.0360671j -0.118934+0.0577904j -0.0803016-0.0036116j 0.179567-0.0530908j 0.0141996+0.0214808j -0.0411058+0.000899441j -0.0255474+0.0166115j 0.0343051-0.00481872j 0.0607778-0.0174598j -0.00411709-0.0291574j 0.00244665+0.0146112j 0.0136326-0.00870199j 0.0239917-0.0250815j -0.00851511+0.00577468j 0.0207357-0.0130595j 0.00599361-0.00894549j -0.0228053+0.0123401j 0.00406693-0.00084803j -0.00433475+0.00124747j 0.00862371-0.00737768j 0.0161283-0.00789175j 0.000862418-0.00798795j 0.00801981-0.00536499j -0.000100644-0.0100476j 0.00856722-0.00426489j 0.0108717-0.0195727j -0.0113281+0.0175005j -0.0219475+0.00610072j -0.0141762+0.000265579j 0.0233346-0.0254839j 
-0.166499-0.0368208j -0.0446691+0.0978293j 0.086936-0.019179j -0.0320953-0.241089j 0.311281+0.0183477j 0.0681125+0.042776j 0.0693545+0.00580872j -0.106661+0.0294436j -0.0331774+0.0650429j 0.00783526-0.070102j -0.00796021-0.0215417j 0.123641+0.0398449j -0.074314+0.0376398j 0.0383484-0.0093623j -0.0370843-0.0240764j -0.0196563+0.00493688j -0.0142115-0.00828224j 0.0298069-0.004493j 0.00481562-0.00464166j -0.00917803+0.0181688j 0.026005-0.00625866j -0.0325742-0.00390669j -0.0084264+0.00329501j -0.0192831+0.00409131j -0.018748+0.00694258j 0.0239785+0.0075715j -0.0132327-0.00232005j 0.0168398+0.0036939j -0.0147685-0.00945066j -0.00666412+0.0257986j -0.00365575+0.000235609j 0.0410673-0.0108774j 0.0289152-0.0158217j -0.00875922+0.0184676j 
0.0120442+0.0268626j -0.0364345+0.00304737j 0.00212837-0.00801731j 0.0872539+0.0326352j 0.0147349-0.108975j 0.04038+0.0109025j -0.0253228-0.0162439j -0.0102416+0.0205577j -0.0272849+0.00524837j 0.0359113-0.0175286j 0.00911507-0.0150531j 0.0107294-0.0394809j -0.0512445+0.0581644j 0.0112436+0.00507838j 0.0122172-0.000337978j -0.00437381-0.000972514j 0.00141055+0.00584257j 0.00232557-0.0059287j 0.00286969+0.00287229j -0.0039814+0.0130349j 0.00950752-0.00476079j -0.00256147+0.0036383j -0.00503877+0.000190087j -0.00619903+0.00402115j 0.000442036+0.00650313j -0.00415232-0.00419957j 0.00641545+0.00152249j -0.0129744-0.00245807j 0.00792399-0.00106308j -0.00869296+0.00788554j 0.0126086+0.00499923j -0.00375293-0.0116184j -0.00141151-0.012112j -0.00903328+0.00700594j 
0.0358674+0.00223651j 0.00647411+0.0165686j -0.000882896-0.0205616j 0.00376001-0.0934547j -0.0575544-0.030927j 0.0141454-0.0311015j 0.0110009+0.0129565j -0.00627475+0.036186j 0.00552845+0.0186761j 0.0268554-0.0517052j 0.0104685+0.00246758j -0.0462632+0.0316962j -0.00265617-0.00158261j -0.024404+0.0148163j 0.0121933-0.0149303j 0.00593226-0.0110208j -0.0118202+0.0085053j -0.0157226+0.00523343j -0.0195815+0.0103132j -0.00108149+0.00155886j -0.00330181+4.75192e-06j -0.00436374-0.000337647j 0.00985603-0.0118188j 0.00350976-0.00215662j 0.00835575-0.00457432j -0.00417679+0.00339194j 0.00495945-0.00183161j -0.00495413+0.0038484j 0.000818792+0.00525466j 0.0133359+0.00769308j 0.00489902-0.00569535j -0.0109097-0.000203157j -0.00975557+0.00172695j 0.00270999+0.0105902j 
