0.0292744-0.00791915j 0.0223568-0.0439307j 0.0110709-0.125623j 0.0247518-0.0160913j -0.0288945+0.032176j 0.00703455+0.0605377j -0.120192-0.0200783j 0.0745833+0.214804j 0.0187435-0.0478444j -0.0194838-0.0104142j -0.0313536+0.00649946j 0.0152376-0.00332626j -0.0275833+0.0361648j -0.00595619-0.0102238j -0.0168654+0.0330822j -0.00642836-0.00397635j 0.0255836-0.0432282j 0.0244435+0.0170174j 0.00662168+0.00815083j 0.0283993-0.00945392j -0.00662812-0.00661054j -0.000911787-0.0173627j -0.0101576+0.0366134j 0.0102467+0.0130285j -0.00530912+0.0306551j -0.00712671+0.0151825j 0.00447253+0.000213622j -0.0254946+0.0162079j 0.00427189+0.0267947j 0.00604487-0.00882755j 0.0112081+0.0419434j 0.0327748-0.0263648j 0.00385076-0.0489916j 0.0320913-0.058902j 
0.00499054-0.00282337j -0.00107036+0.027313j -0.0204783+0.0442225j -0.00972506-0.0118398j 0.00230899-0.0454955j 0.000671835-0.00829966j -0.0091926+0.0733041j -0.0176182-0.0734771j 0.010571-0.00791131j -0.0193664+0.0163807j 0.00479351+0.00145448j -0.0309761+0.00448147j 0.00533432-0.0181161j -0.0213951+0.00358485j 0.00167105+0.00144539j -0.0352393-0.00218658j -0.00260348+0.00831208j 0.00119629+0.00603689j -0.0212103+0.00171677j 0.00155022-0.00209641j -0.00228052-9.46191e-05j 0.0246595+0.00761189j 0.00189588-0.00837224j -0.000133916-0.0037377j 0.0202696-0.0180121j -0.0020143+0.00638576j 0.0129022-0.00303894j -0.0129063-0.0112224j -0.0041771-0.0310704j 0.0239664+0.00327405j -0.00167264-0.00685015j -0.0140575-0.00343848j -0.00716831+0.0249979j -0.00924788+0.033506j 
0.00887402-0.0361848j -0.0324768-0.0421585j -0.119962-0.0766999j 0.0141162-0.0252492j 0.0254575+0.0626591j 0.0729248+0.0433072j -0.0713032+0.14841j 0.26118+0.00636873j -0.0284543-0.0143939j -0.0349122+0.00708364j -0.0386346+0.0339137j 0.00153449-0.0481081j 0.024412+0.040882j -0.00548993+0.0238446j 0.0187927+0.0291387j 0.0160027-0.0126361j -0.0272349-0.017852j 0.0326907-0.0231865j 0.0260825-0.0156419j 0.0102985-0.0376543j 0.00660394+0.0101804j -0.0366624-0.0217094j 0.0194266+0.0120941j 0.000377666+0.00408838j 0.0331786+0.0112178j -0.0236314+0.0145739j 0.0151062-0.00441381j 0.0196874-0.0309393j 0.016303-0.00818711j -0.0124405-0.0377053j 0.0479523-0.00542961j -0.000478932-0.000277137j -0.0141655+0.040896j -0.0259059-0.0505847j 
0.038747+0.00180272j 0.0183925+0.0178686j 0.0129002+0.0562603j -0.0197124+0.0223147j -0.0240306-0.00423915j 0.0430371-0.0144661j -0.14059+0.018563j 0.0127499-0.0678493j 0.0127605+0.00524857j 0.0235645-0.000265271j 0.0172406-0.00375003j 0.0375785-0.0098078j -0.0162311-0.0284904j 0.00764783-0.000141806j 0.0274073-0.01249j -0.0128996+0.0160462j -0.0276021+0.026398j 0.00213159+0.0151787j -0.00617085+0.00534354j 0.00608495+0.00965665j -0.0169407-0.0115299j -0.00517739+0.00315178j 0.00892374+0.000906591j 0.00540846+0.00590011j 0.00162977-0.0233777j -0.0199098-0.0075827j -0.0101558-0.0160506j -0.0123429-0.0194816j 0.00983064-0.0201269j 0.0115252+0.0237764j 0.00187039+6.53966e-05j -0.00933333+0.0308519j -0.0307562+0.00362717j -0.0116613+0.0401891j 
0.0369335-0.0156317j 0.0548878-0.0278211j 0.124451-0.044952j 0.0335325+0.00110851j -0.058103+0.0532468j -0.00528841+0.0480271j -0.0866173+0.0890159j -0.15777+0.060345j 0.00996118-0.0146522j 0.0060609-0.0233807j 0.00235522-0.0290476j 0.0174179-0.01901j -0.0617779+0.0291961j 0.0244553-0.0102227j 0.0417097+0.00337446j -0.000111154+0.00857444j -0.0024251+0.00766847j 0.0365218-0.000985363j -0.0153135+0.0335199j 0.0304655-0.040757j -0.0208406+0.00387236j 0.0280836+0.00851438j 0.00475914-0.0187168j 0.0114564-0.0109255j -0.0122746-0.00339604j -0.0126995+0.0134895j 0.0131705-0.0227885j 0.000519689-0.021338j -0.00802268-0.0116818j 0.0212479-0.0146494j -0.0285799-0.0268884j 0.0157922+0.0260066j -0.0536522+0.0154408j 0.0214469-0.00897076j 
-0.0351567-0.017049j -0.0156821-0.0199847j -0.000945083-0.0426942j 0.00365703-0.00764777j 0.0938149+0.0206407j 0.0640921-0.0189644j 0.180209+0.0297128j -0.0696005+0.00963095j -0.029408+0.00711587j 0.0104892+0.00416714j -0.021584-0.00137059j -0.0513643-0.0112822j 0.020687-0.0154032j -0.0119587+0.00183431j -0.0168985+0.0115864j 0.0171165-0.00357334j 0.0212135-0.0109367j -0.0165278-0.0401904j -0.00339273+0.00302659j -0.0159694-0.0431878j 0.0093425+0.0209638j 0.00848011+0.00952086j -0.0166031+0.00698773j -0.00782178-0.0110922j -0.00817413+0.00371689j -0.00504298-0.0104591j 0.00459331+0.00663485j 0.0180093+0.00653164j -0.0133721-0.00316743j -0.0278652-0.00310243j -0.0177553-0.00354567j -0.0229776-0.0245055j 0.0220743+0.0102238j 0.0462459-0.0198199j 
-0.0076416+0.0336701j -0.0322049+0.028612j -0.0453496+0.057007j 0.0145101+0.0318541j 0.00204614-0.0650031j -0.0626752+0.0459536j -0.0457638+0.0112036j 0.0326506-0.106051j 0.0159544+0.00084723j -0.00719245-0.00678952j -0.00980396-0.0216842j 0.0333249+0.0172928j 0.00770658-0.0518403j -0.00757269-0.00267768j -0.00838762-0.0010674j -0.0178946+0.0170956j -0.0185197+0.0204347j -0.0335292-0.0267872j -0.010784+0.00124939j -0.00159893-0.0162743j 0.0138601+0.00722516j 0.000866112+0.0109774j -0.00149478-0.0177313j -0.0106433-0.0120551j -0.000357817-0.0347346j -0.00572473+0.0127114j 0.0129338-0.00285248j -0.00386568+0.000642937j -0.0165409-0.0044367j -0.00273679+0.0182458j 0.0135568+0.00130639j -0.0143119+0.00213413j 0.0147457+0.020506j -0.0150495+0.0118735j 
0.0253995+0.011293j -0.00156342+0.0235288j -0.0123892+0.0192138j 0.0193196-0.0225481j -0.0448946-0.0225375j 0.0569277-0.0548973j -0.0320979-0.0412403j 0.0221195-0.0128453j -0.0155845+0.0282975j -0.0067315-0.00360119j 0.0182139-0.00584218j 0.0260594-0.0195569j 0.000634324-0.0292025j 0.0211108+0.0161434j 0.0128454+0.0131284j -0.00853186+0.0203297j -0.0157818-0.0035742j 0.0243043+0.0283551j -0.0167277+0.0247732j 0.0154294+0.0151675j -0.00878495+0.0120703j -0.0166256-7.65886e-05j 0.0217204-0.00251029j 0.0305907-5.62461e-05j 0.00832572-0.0104473j -0.0129428-0.00251444j -0.00629856+0.0198187j 0.0128744-0.00402684j 0.000914783+0.000390188j 0.00564688+0.00809008j 0.00422507-0.00583609j -0.0168028+0.0213517j -0.00576943-0.00750382j -0.0307446+0.028029j 
-0.00153278+0.0298j -0.0465975+0.0260885j -0.0953602+0.0415677j 0.00645173+0.0110522j 0.000584062-0.0763934j 0.0751636+0.0448299j -0.0264286-0.0957461j 0.109577-0.024748j -0.0288285-0.00646377j -0.029156+0.00107322j -0.00316699-0.0147815j 0.000340184+0.0355176j 0.0139936-0.0232347j 0.00760958-0.0160076j 0.0184459+0.0136476j 0.00603374+0.0116531j -0.0345147-0.00947589j -0.00473036+0.000863384j 0.0155125-0.00706583j -0.0295377+0.0293751j 0.00948767-0.00621435j -0.0315441-0.00411428j 0.0136922+0.00147912j 0.00211189-0.0030687j 0.0134203+0.00452754j 0.000312584+0.00729048j 0.00912849-0.00550296j -0.00222619+0.00248093j 0.00674157+0.0090953j -0.00405217+0.0107371j 0.0140925+0.0341207j -0.00112695+0.0108988j 0.0157648-0.033715j -0.0361268+0.0102063j 
-0.0525107-0.0207234j -0.0346667-0.00790779j -0.0331405+0.0100415j 0.00724278+0.0160889j 0.100837-0.00494445j -0.0471879+0.00680567j 0.162103+0.0498269j -0.0344969-0.0491387j -0.0212817-0.0109938j -0.00116569+0.00330578j 0.0366137+0.00417752j -0.0737085+0.00989431j 0.033982+0.0057653j 0.0249752-0.00259032j 0.0037881-0.0255324j -0.00859344-0.010383j 0.0111182+0.015745j -0.00932462-0.0124874j 0.00288158-0.00349159j -0.0212065-0.00666926j 0.0093019-0.00265451j -0.00424686+0.00995363j 0.00794834+0.00262521j -0.0184823+0.00109477j 0.014863-0.0109853j 0.0053329-0.0222646j 0.000162993+0.00326244j 0.00867311-0.0023382j 0.0142525-0.0220845j -0.0147975-0.0178384j -0.0262251-0.028833j -0.0370152+0.000290345j 0.0206207+0.0105894j 0.00586307+0.0193691j 
-0.0435841+0.0393956j -0.00447207-0.00861633j 0.0129589-0.013529j -0.0227583+0.0485914j 0.0978837-0.099074j 0.0316424+0.0223854j -0.115299-0.146364j 0.0508707+0.0699264j 0.0278595+0.0316378j 0.0164434-0.0286003j -0.0129313-0.019078j -0.0216999+0.0691944j -0.00902156-0.0334824j 0.0154179+0.0322596j 0.00392122-0.00563715j -0.0155477-0.01385j -0.0084264+0.000199795j 0.00871131+0.00763948j -0.00317838+0.0128317j -0.00197603+0.0112566j -0.0162851-0.0133716j -0.0118083+0.000310543j -0.00832386+0.0252044j 0.00322929-0.0108063j 0.0372711+0.00821861j 0.00211932-0.00153201j -0.00180372-0.00933764j -0.027717-0.0127673j 0.0137294-0.0127784j 0.0153294+0.00281613j 0.00952528+0.0106761j -0.00967629+0.0103774j -0.0109257+0.00537659j -0.00288067-0.00839285j 
