0.00132321+0.0117301j -0.0060784-0.00744772j 0.00235457-1.1538e-05j -0.000978552-0.0111005j -0.00130824-0.00348655j 0.00378485+0.00413088j -0.00221697-0.00476761j -0.00101708-0.00954065j -0.00199024-0.00892235j 0.00288604+0.00502733j -0.000723655-0.00125786j -0.00028924-0.00445352j -0.0030077+0.0051421j 0.00395518+0.0102712j -0.000916877-0.0037476j 0.00192842+0.000206484j 0.00477266+0.00980087j -0.00165364-0.00666291j 0.00199155+0.00300079j -0.00368452-0.00851297j -0.0026593-0.00294208j 0.00342321+0.01084j -4.48953e-05-0.00205712j -0.00151286+0.000430023j 0.000910229+0.000694062j -0.00176427-0.00507493j 0.00118263-0.00794642j 0.000284763+0.00228223j -0.000266483-0.00803116j -0.00226-0.000134279j -0.000952458+0.00375587j 0.00394331+0.0048082j 0.000213978+0.0101917j -0.00291325-0.00769275j -0.00109957+0.00701828j 0.000519439-0.0123097j 0.00276894-0.00685632j -0.000378932-0.00053513j -8.79183e-05-0.00235542j -0.000412053+0.00477177j -0.00505302+0.00708172j -0.000463369+0.00093108j -0.00387523+0.00807922j -0.0027096+0.000640337j -0.00220331-0.00190954j 0.00025667+0.00635251j 0.00130661-0.00223104j 0.00574563-0.00674685j 0.00475152-0.00404045j -0.00034474+0.010288j 0.00236508-0.00577499j 0.000456937-0.000177016j -0.00621196+0.00653952j -0.00361668-0.000464312j -0.00420511-0.00230754j -0.00626149+0.0134691j 
0.00409583+0.0115516j -0.00356584+0.000335559j -0.00302038-0.00453334j 0.0016332+0.00435839j 0.00299838+0.00609063j 0.00114635+0.0102427j -0.00266543-0.00649109j 0.000990598+0.00186237j 3.32374e-05+0.00539461j -0.000593915+0.00264019j -0.0013978-0.00413556j 0.0029298+0.00144805j -0.0016244-0.00305542j 0.0017078-0.00452406j 0.00484267+0.00618896j 0.00550463+0.0129498j -0.000362388+0.00456193j -0.000244079+0.000360827j -0.000738601-0.00278857j -0.000721285+0.00410189j 0.00126936+0.013404j 0.00172382+0.0135878j -0.00175098+0.00246339j -0.000206076+0.00663313j 0.00267556+0.00663519j 2.56291e-07+0.00999169j 0.0021507+0.00968139j 0.00204227-0.00182971j 0.000957414+0.00563131j -0.00123823+0.00484377j 0.0012971+0.00264413j 0.00100593-0.00968665j 0.00178166-0.00381629j -0.000512027+0.00470607j -0.00274783+0.0145028j -7.58949e-06-0.00362744j 0.00261209+0.00145705j 0.000128735-0.00511627j 0.00147787-0.00306831j 0.00456198-0.0156067j -0.00209313+0.00056025j -0.00258791+0.00619697j 0.000270465-0.00304635j -0.00252693-0.00158002j -0.00395273+0.000633156j -0.0030374-0.000987728j 0.000397023-0.00170794j -0.00203889+0.00426899j -0.00379956+0.00792268j -0.00189087+0.000277861j 0.00385959-0.00702721j 0.00220135-0.00055485j 0.0021696-0.00842491j 0.000291898+0.00295953j -0.00556314+0.0048737j -0.0014755+0.00950755j 
0.00315714+0.00604343j -0.000560998+0.00321448j -0.00234147+0.00140476j 0.00463746+0.00935151j -0.000937579-0.00112168j 5.58774e-05+0.000444997j -0.000126219-0.00761018j 0.00487811+0.00800631j -0.00501871-0.011252j 0.00265411+0.00272337j 0.00148637-0.00550858j -0.000722526-0.00488834j -0.000697459-0.00118675j 0.0034603+0.0115328j 0.00157435+0.00164505j -0.000597752-0.00445466j -0.00303673-0.0145952j -0.000239426-0.000802532j -0.000112027-0.00164569j -0.00167742-0.0102343j 0.00078126+0.00590765j -0.000953341-0.00339735j -0.00235632+0.0114688j 0.000640718+0.0103644j 0.00268696-0.0101839j 0.00109184+0.00144434j 0.00122278-0.00414109j -0.000469568-0.00499292j -0.000575053+0.00778156j -0.000420538-0.0123372j 0.00128898-0.0093163j 6.31545e-05+0.00280112j 0.00177672-0.0030018j 0.00145416+0.000802736j -0.00131472+0.000846856j -0.00294046+0.00896747j 0.00304108-0.0103003j -0.00060547+0.0012477j 0.00233516-0.005384j 0.00213552+0.00082433j 0.00328063-0.00552657j 0.00135978-0.00598398j -0.00328646+0.0126242j -0.000403931-0.00634121j 0.00178909-0.00326931j -0.000648777+0.00121012j 0.00307068-0.000730846j 0.0025587-0.0109464j -0.00122841+0.00645705j 1.37143e-05+0.000188535j 0.00241149+0.00272948j -0.00225534+0.00607964j 0.000920285-0.00839603j 0.00245891-0.00250401j -0.0027573+0.00466958j 0.000619878+0.00337847j 
-0.00253597+0.00613536j -0.0159968+0.0054751j 0.0134656-0.00283668j -0.000869545-0.00501267j -0.00307077-0.000716278j 0.00178503-0.00261123j -0.00662606+0.00146122j 0.00655805+0.000465137j 0.00184682+0.000905026j 0.000246794-0.000334348j 0.00213411-0.000239519j -0.00817082-0.00051429j -0.0100482+0.00523998j 0.003735-0.00253976j -0.00211638+0.00242151j 0.00727755-0.00615873j 0.00687888-0.00401984j -0.000791856+0.00396848j 0.00195749-0.00400784j -0.000396946+0.00512732j 0.000219484+0.00247317j 0.0101256-0.00469721j -0.000684402+0.00109852j 0.00457928-0.000771537j 0.00193563-0.00168938j -0.0109566+0.00618603j -3.48671e-06+0.00204951j 0.00110271+0.000813373j 0.00625587-0.000192513j 6.40284e-05-0.00237969j -0.00493772+5.87262e-05j 0.00915758-0.000153838j -0.000872605-0.00219146j -0.00766967+0.00257782j -0.00345568-0.00298815j -0.0075789+0.00482078j 0.00762627+0.00638917j 0.000243651-0.000781201j -0.00106602+0.000475736j -0.00512982+0.000353163j -0.00537503-0.00557672j -0.00680664-0.00274044j -0.00221664-0.00294357j -0.0101044+0.000296139j 0.000133048-0.00512048j 0.00141646-0.0027671j 0.0026378+0.00686741j 0.00258301+0.00709452j 0.00209816+0.0016534j -0.00187506-0.00193257j -0.00367257+0.0040985j 0.00418415+0.00368155j -0.0106706-0.00282301j -0.00112516-0.0106831j -0.0122734-0.0143591j -0.0126885-0.00197696j 
0.00891681-0.00106761j -0.00772623+0.00694461j -0.00729826+0.00202619j -0.00268258+0.00188014j 0.0100383+0.000114071j -0.0071772+0.00517528j -0.00786005+0.00296751j -0.00597972-0.000973116j 0.000797956+0.00400023j -0.00397499+0.00178448j 0.00531101-0.000943253j 0.000795231-0.00384568j -0.00355821+0.00207568j 0.00846942-0.000318891j 0.0087301-0.00200977j 0.00584498-0.00549195j -0.0106715+0.00235556j -0.00526383+0.00103169j 0.000617937+0.00226986j -0.00112901+0.00361361j -0.00409307-0.00379825j -0.000454902-0.00522652j 0.00187875-0.00122006j -0.00783167+0.00117409j 0.00536959-0.00143363j 0.00612206-0.00435709j 0.00898746-0.00187824j 0.0117328-0.00306401j 0.015158-0.00243383j 0.00150365-0.00171138j 0.00921914-0.000799992j -0.0008222+0.00477366j -0.00142018-0.000853988j -0.000250907+0.000432503j -0.00870459-0.00478612j 0.00540832-0.00246097j -0.00142398+0.00268595j -0.0118327+0.00050296j 0.0105861+0.00477907j 0.00283847+0.00236526j 0.000203744-0.000595707j -0.00245287-0.00139689j 0.00259533+0.000926934j -0.00519217-0.00204757j 4.7699e-05+0.00234332j -0.00883488-0.00488178j -0.00799947+0.00403811j -0.0050969-0.00302313j -0.00396096-0.0090722j -0.00288386-0.0068191j 0.00750671-0.00192657j 0.00497532+0.00512219j 0.00704312+0.00423755j 0.00698575+0.00555254j -0.0129003-0.0044441j 0.00372123+0.00917201j 
-0.0061941+0.000974216j 0.0055519-0.0042437j 0.00367395-0.00402155j -0.00716217+0.00211279j -0.00593523+0.00205239j -0.0013084-0.00128944j 0.00565681-0.00203858j -0.0074515+0.00350905j -0.00154006+0.000560931j -0.0106472+0.00380083j 0.00732963-0.000765426j -0.00256308-2.55026e-05j -0.00357801+0.00236124j 0.00886932+0.000798528j 0.00177032+0.00310346j -0.00512008+0.00149384j 0.00649087+0.00047489j -0.00851253+0.00322758j 0.00150073+0.000121799j 0.0110704-0.00501907j 0.00766863+0.000922492j -0.000255801+0.00105499j 0.0222522-0.0020072j -0.00252441+0.00246467j -0.00111666+0.00116316j -0.000606185+0.000236668j 0.00872278+0.00130693j 0.00983085-0.00203967j 0.00123787+0.000169147j 0.0101775-0.00132869j -0.0166574-0.00290358j -0.00246403-0.00148906j -0.00213946+8.61579e-06j -0.00487669-0.000588189j 0.00495413+0.00420079j 0.00275243+0.00251037j 0.00102345+0.000735362j -0.0152094-0.00183051j 0.00381763-0.00219012j -0.00904019-0.00401266j 0.00472426+0.00133308j -0.000791693+0.00200141j 0.00420058+0.00559912j -0.00918591-0.00357584j -0.00535845-0.00371656j -0.0048212-0.00174931j 0.000778323+0.00246331j -0.00174159-0.00267886j -0.00932343-0.00431006j 0.00670275+0.00299394j -0.00288576-0.00113243j 0.00495927-0.000249769j 0.00513679+0.00440634j -0.00954151-0.000923307j 0.00707044+0.00180417j -0.00278326-0.0041114j 
-0.00349108+0.000725629j 0.00246071-0.00198968j 0.00396204-0.00191636j -0.00136497-0.000305643j 0.00183241-0.0017031j 0.00157882+0.00226528j -0.0111403+0.00218949j 0.0046393-0.00267358j 0.0029451-0.00180224j -0.0127388+0.00537497j 0.000489939+0.00367403j 0.00191675+0.00167717j 0.0227371-0.00578218j -0.0064554+0.00157412j 0.00643597-1.17265e-05j 0.00251199-0.00127587j 0.00393466-0.00206002j -0.00476783+0.00139367j -0.00439555+0.000916578j -0.000509395-0.00154332j -0.00129073+0.000774654j 0.00328241-0.00023377j 0.00146074+0.00208439j -0.00740578+0.000430175j -0.00697286-0.00158016j -0.0174598+0.00184102j 0.0128812-0.0008086j -0.00427747-7.63142e-05j 0.00434657-0.000554287j -0.00337017-0.00252131j 0.009165-0.00084307j -0.00278153+0.00258232j 0.00557307-0.00143293j -0.0121455-0.00353906j 0.000329393+0.00151855j -0.00295376+0.00131824j 0.00366607+0.000194648j -0.00189456-7.20313e-05j -0.000623647-0.000527023j -0.00489622+0.000345043j -0.00635302-0.0022083j -0.00223748-0.000727324j 0.0134314+0.0043169j 0.0182131+0.00650462j -0.00791542-0.00147984j -0.00154678-0.00490316j -0.00688591-0.00331042j -0.00381372-0.00225345j 0.00308729+0.00347241j -0.0106573-0.00181618j 0.000118389-0.00393154j 0.00695319+0.00233379j -2.76152e-05+0.000250246j -0.00321462-0.000926961j 0.00309797+0.000736342j -0.00165605-0.00194045j 
-0.0044417+0.00219126j -0.000304072-0.00113302j 0.00257045-0.00358908j -0.009956+0.00324857j 0.00556792-0.00211313j 0.00278177+0.00149663j -9.87939e-05+0.00090673j -0.00988758+0.00555293j 0.00761201-0.00304958j -0.00813783+0.000433672j -0.0114935+0.00423302j -5.12379e-05+0.000721737j -0.00211207+0.00148504j -0.00783078+0.00405935j -0.00135395-0.000226021j -0.00147952+0.00130537j -0.00604807+0.000663918j 0.00572976-0.000111435j 0.0218786-0.00272726j -0.00435048-0.000915753j 0.00967104+0.00101276j 0.00477605-0.000862403j -0.00255221+0.000612448j 0.00161345+0.00142682j -0.00572135-0.00162152j -0.00117777-0.000205204j -0.00516197-0.000858596j 0.00971264+0.00124485j 0.0117448+0.00161286j -0.0174126-0.0037878j -0.00483569-0.00291012j -0.000256739+0.000296473j 0.00876417+0.00194552j 0.0129609+0.00277319j 0.00572789-2.76572e-07j -0.000452202+0.000918514j -0.00513951-0.00182894j 0.00389816+0.00283491j 0.00503158+0.000684934j -0.00346955-0.00289947j -0.0108635-0.00213324j 0.00542903-0.000690243j -0.00754734+0.000605586j 0.00111271-0.000398711j -0.000127954-0.0032887j 0.00899499+0.000598664j -0.010382-0.00389688j -0.00120765+0.00116407j -0.00730747-0.00129798j -0.00319509+0.000539741j -0.0066758-0.00303236j 0.0040977-0.000521248j 0.00546527+0.00293364j -0.00527625-0.000236263j 0.00156676-0.000677724j -0.00315586-0.00174137j 
-0.00375871-0.0064642j 0.00268359+0.00320012j 0.00157746+0.000494565j 0.00400013+0.00901099j 0.00293864+0.00205962j 0.00638444+0.00432319j -0.00140844+0.00604583j -0.0028472+5.88889e-05j 0.00206789+0.00335226j 0.00189313-0.000845535j -1.40103e-05-0.00207578j -0.00593702+0.00206065j -0.000605493-0.00230342j 0.0025228+1.50027e-05j -0.00236376+0.00150466j 0.00125328+0.00157472j 0.00494568-0.00221258j -0.00202905-0.00303254j 0.00394066+0.00371147j 0.00182775-0.000302817j -0.000994432-0.00366458j 0.00394582-0.00473405j 0.00267432-0.00217376j 0.00456825+0.000485093j -0.000756366+0.00218136j -0.00936814-0.00671537j -0.000957679+6.48856e-05j -0.00695293-0.00191428j 0.000632383+0.00568445j 0.00056693+0.00192209j -0.00830178-0.00307247j 0.00411282+0.00382262j -0.00192317-0.00368104j -0.00386894-0.00281813j 0.00250005-0.00097322j -0.00482938-0.00403238j 0.00312601-0.00114926j 0.00394176+0.00159648j -0.0010706+0.00233525j -0.00526034-0.00144266j -0.00573199-0.00177708j -0.000933403+0.00237379j -0.00614004-0.00047571j -0.00275842-0.00343599j -0.003286+0.00606077j -0.00319754-0.00158965j 0.010989-7.48024e-05j 0.00291393-0.00135588j 0.00491462+0.000227209j -0.00330209-0.00341202j 0.00182908-0.00150177j 0.00504075+0.00346689j 0.00234391+0.00292969j -0.0111409+0.00658536j -0.0138979+0.00815509j 0.00249329+0.00666025j 
-0.00676722-0.00416959j -0.00742733-0.00584399j 0.00130116+0.00489174j 0.00623191-3.60384e-05j 0.00148874-0.0037712j -0.000462747-0.00620304j -0.000277289+0.000747745j 0.000386103+0.00183697j -0.00128089-0.00407145j 0.000206557-0.00411999j -0.00195318+0.00356569j 0.00374699+0.00253875j -0.00613132-0.00357583j 0.000291614-0.00507367j 0.000109275-0.00427328j 0.00786709+0.00346218j -0.00269265-0.000130339j -0.00413944-0.00148282j 0.00424666-0.00125071j -0.00555138-0.00649221j -0.00487555+0.00115617j 0.00488956+0.000131406j 0.000334071-0.00232372j -0.00141079-0.00207624j 0.00508636+0.000404526j -0.00288665+0.00226533j 0.00383842-0.00223721j 0.00470999+0.00196823j 0.00870311+0.00150032j -0.000129178+0.00299305j -0.000877254+0.00252355j 0.00370595-0.00369276j 0.000771202+0.00698326j -0.00360041-0.00329584j -0.00954097-0.000578798j 0.00107418+0.00442082j 0.00382169-0.00669385j -0.00332737-0.00265935j 0.00306062+5.45471e-05j -4.00164e-05+0.00211435j -0.00362119+0.00136237j -0.00626096+0.00194704j -0.00391939-0.00452274j -0.00550643+0.000184437j 0.00552843-0.00145479j 0.000259905+0.00315179j 0.00444664-0.00546657j -0.00646241-0.00316759j -0.00250837+0.00536432j -0.00980918+0.00138615j -0.00545568+0.00140728j 0.000156524-0.00621588j 0.00329224-0.00167718j 0.00630911+0.00119863j -0.00096711+0.00830672j 0.0108127-0.00984264j 
-0.00632891-0.000186031j -0.00585698-0.00497512j -0.0033515-0.00324395j 0.00496598+0.00215362j 0.00195539+0.00433574j -0.00407834-0.00443908j 0.000429919-0.000214844j -0.00080874-0.000788884j -0.00093403+0.00709871j -0.000840835+0.000672119j 0.00332074+0.00400012j 0.00258333-0.000867598j -0.00233918+0.00063294j 0.00239258+0.00496546j 0.00193831+0.00672642j 0.00508746-0.000931174j 0.000210933-0.00067289j 0.00227437+0.00886745j 0.000626543-0.00174361j -0.00555484+0.00050013j -0.00311466-0.00505305j 0.00289141+0.00514845j -0.00449009+0.00327511j 0.0037442+0.00452392j 0.00197264+0.00244971j -0.00356365-0.00291719j -0.00295277+0.00612988j -0.000117002-0.000166605j 0.000879742-0.0081602j 0.00162965-0.00645305j 0.00508311-0.0032237j -0.00229723-0.00647618j -0.00210588-0.00844242j -4.37438e-05+0.00400681j -0.00181002+0.0101733j -0.00086172-0.000904254j -0.0022938+0.00437156j 0.00157014+0.011587j 0.000830483-0.0032822j 0.00253947+0.00104895j -0.00141479+0.00246471j -0.000576699+0.00117717j -0.00147642+0.00856985j -0.00207915-0.00198675j 0.0041265-0.00333354j 0.00183132-0.00455067j -0.00373099+0.00104576j 0.004353-0.00236943j 0.011278-0.00620525j 0.000491784+0.00196287j 0.00299961+0.00238373j -0.00114994+0.00104515j -0.00080585+0.010426j -0.00455703+0.0045435j 0.00493988+0.00227129j -0.000390616-0.00972848j 
