-0.00558544-0.00737409j -0.00629868+0.0047986j 0.0051903+0.00397964j -0.00215269+0.0057107j -0.00123268-0.00190779j 0.00308333-0.000513908j 0.00314761+0.00491647j 0.0048398-0.00192837j 0.00215978-0.00534557j -0.00291746+5.96611e-05j -0.00537308+9.23676e-05j 0.0021709+0.00394554j -0.00293452+0.00265922j -0.00294546+0.00300879j 0.00270907+0.000974953j -0.00458993+0.00175485j 0.00345331+0.0023091j 0.00262897-0.000131146j -0.00265251-2.86557e-05j -0.00201032+0.00130465j -0.00222518+0.00362295j 9.85197e-05-0.00127866j -0.00569325+0.00080953j 0.0044176-0.0010108j 0.00074595-0.000905267j -0.00207797+0.000630689j 0.00187895-0.00155338j -0.00282318+0.0030893j 0.00244198-0.00380078j 0.000791829-0.000322542j -0.0033003+0.00250625j -0.00304303+0.000286677j 0.00163004-0.000913466j 0.000683519-0.00407554j -0.000410985-0.00178173j 0.00172211-0.000181053j 0.00178075-0.000959026j -0.000674225+0.00347312j 0.00159505-0.00082879j -0.00192552-0.00222766j 0.00270777-0.00029461j -0.00207746+0.000558568j 0.000976215+0.00196555j -0.00177107+0.000150518j -0.00151347-0.0028172j 0.00227055-0.000235736j -0.00601363-0.00292903j 0.000285197+0.00324789j -0.000126342+7.2157e-05j 0.00013879+0.00129742j 0.000423922-0.00101464j 0.00429288+0.00102277j 0.0044183+0.000380287j 0.000457499+0.00284892j 0.00394203-0.00103651j 0.00390705+0.00596404j -0.00362671+0.000157j 0.00375293+8.8389e-05j -0.0124956+0.00775012j -0.0124558-0.00392288j 0.00134183-0.00098063j 0.0148006-0.00727532j 0.00325484+0.00456573j -0.0078042-0.0224772j -0.0044899+0.00330874j 0.00451388-0.0237382j -0.00743982-0.024893j -0.00385766-0.0429713j 0.0127456+0.0634762j -0.0541277+0.013747j 
-0.00678089+0.00348808j 0.00691629+0.00693091j 0.00210539-0.00407021j 0.00640711+0.0043906j -0.00306754-0.001172j -0.00491803-0.00279726j 0.00492159+0.000117492j -0.00187449-0.0047149j -0.000671282-0.0001189j 0.0037206-0.00105127j -0.00114437+0.00539851j 0.00402868-0.000607518j 0.0016528+0.00149791j 0.00429251+0.00206611j 0.00141405-0.00187878j 0.00170529+0.00128469j -0.00134681-0.00268306j 0.000362292-0.00112339j -0.00191652+0.00287945j 0.000739611+0.00231828j 0.00542672+0.00120899j 7.80567e-05+0.00121277j 0.000810561+0.00574184j -0.00117921-0.00429132j 0.00249021-0.00114223j 0.00184181+0.00192054j -0.00293313-0.00278375j 0.00208867+0.000764261j -0.00508583-0.00272412j -0.00101372-0.000790104j 0.00102092+0.00360769j 0.00202189+0.00302136j -0.00351356-0.00131063j -0.00399978-0.00137092j 0.00176249+0.000307372j -0.00123862-0.000929073j 0.000582905-0.000909885j 0.00421793+0.00128486j -0.00265211-0.00286731j -0.000264535+0.000919241j 0.00314487-0.00275109j 0.00101451+0.00223767j 0.00244175+0.0007033j -0.000261878+0.00268734j -0.00230542+0.00183853j -0.00362182-0.00220642j -0.0038576+0.00255945j -0.000129679+0.00347904j -0.00212172-0.00152204j -0.000364262-0.00143076j -0.00377107-0.0012222j 0.00423218-0.00106714j -0.00275126-0.00547934j -0.000236067-0.00127131j -0.00288561-0.000722859j 0.00264532-0.00260497j 0.00543646+0.0039583j 0.00598656-0.00278299j 0.00247975+0.000514921j -0.0147834+0.0102492j -0.00432335-0.0032633j -0.00528919+8.491e-05j -0.00455315-0.00146994j 0.00511422-0.00302623j -0.00100742-0.0436034j 0.0132989-0.00236192j 0.00616+0.038753j -0.010254-0.020984j 0.0567599-0.0138629j 0.0130311+0.0613598j 
0.00551555-0.000903006j -0.00389909-0.00505249j -0.00129572-0.00384818j 0.00345757-0.00256057j -0.00079681-0.00374951j 0.00868519+0.00337789j -0.000237721-0.00478703j -0.00679146-0.00432852j -0.000726654+0.00552509j -0.00669576+0.00539673j -0.00277841-0.00247357j -0.00192939-0.00302263j 0.002932-0.000701992j 0.00683715+0.00236942j -0.00657107+0.00228666j -0.00404114-0.00429911j -0.00260341-0.00608093j -0.0026656+0.00323331j 0.00103491-0.00673565j -0.00460136-0.00188327j -0.000587848+0.000234314j 4.28689e-05+0.00488818j 0.00603537-0.00441053j 0.00558094+0.00212632j 0.000353851+0.00755702j 0.00295075-0.000484051j -0.00290057-0.00151001j -0.00145016-0.00131873j -0.00229533+0.00717125j -0.00171923-0.00417879j -0.0006349+0.000378169j 0.00272018+0.00284731j -0.00135904-0.00396708j -0.00436389-0.000922178j -0.00471623+0.00548529j 0.00187457-0.00229545j -0.00392+0.00262794j -0.00323614+0.00126686j -0.00320837-0.00128781j 0.00365943+0.00787168j -0.00312263+0.00399926j 0.00739221-0.000653535j -0.00479954+0.00216655j 0.00354136+0.00334076j 0.00391037+0.00293176j 0.00058169-0.00473447j 0.0101178-0.00308473j 0.00279757-0.00196692j 0.00450637-0.00291619j -0.00112792-0.00749569j -0.000808348+0.00293133j -0.00468696+0.00958606j -0.00479557-0.0114739j -0.000621344-0.00474396j -0.00191393+0.000413988j -0.000868843-0.013938j -0.000815033-0.00333933j 0.00211917+0.013626j -0.00632643-0.020583j -0.00421167+0.0105166j 0.000237346+0.0196855j 0.0114524-0.00290185j 0.00251222-0.036942j -0.0101498-0.0171966j -0.00956732+0.00346386j 0.0136642+0.0181309j -0.0493477+0.0108704j -0.00331864-0.0609702j -0.00930166-0.0126722j 0.00575364-0.00715477j 
-0.00351355-0.00389006j -0.00494281+0.00139181j -0.0052044-0.00215851j -0.000162385-0.00562138j -0.00681596-0.00381433j 0.00538138-0.00227054j -0.00125182-0.00215225j -0.00431789+0.00364661j 0.00368638+0.00258422j 4.48469e-05+0.00414225j -0.00609905+0.00232887j -0.00179003+0.00274086j 0.00166199-0.00546149j -0.00116172-0.00132357j 0.00387639+0.00574172j -0.00531657+0.00246949j 0.00508311-0.000788048j -0.000879338+0.000287748j -0.000434874+0.00139129j 0.000853803+0.00295571j -0.000874836-0.00337615j 0.00281586+0.00272758j -0.00699663-0.00497813j -0.0014364+0.00103435j 0.00271042-0.000634965j 0.00150369-0.00269156j 0.00249393+0.000533831j 0.00163429+0.00192639j 0.00928106+0.00104969j 0.000187646-0.00250324j 0.000573173+0.00056567j 0.00108946-0.0035706j 0.00112475+0.000911121j -0.00465199+0.00709141j -0.0048032+0.000900406j 0.000860153+0.00100634j 0.00171421-0.00199245j -8.27339e-05-0.00188187j -0.00078228+0.00465622j 0.00551922+0.00325229j -0.00406424+0.00689357j -0.00222016-0.00535207j -0.00019171+0.00189088j 0.0054237-0.0074944j -0.00248713-0.00516009j 0.0128265-0.0105732j -0.00675577+0.000411135j 0.00346093-0.00789669j 0.000913316-0.00211659j -0.00842939+0.000515109j 0.0141501+0.00687886j 0.000960535+0.000688149j -0.0135741+0.000210769j -0.00366554+0.00677932j -0.000151612-0.000776553j -0.00650348-0.005673j 0.00936983-0.00287282j 0.0100669+0.0131267j 0.00988532+0.0152387j -0.00347283-0.018052j -0.00398189+0.0255441j 0.00366043+0.0101807j -0.0104601-0.0071348j 0.0173898+0.0355696j 0.00255118-0.0176042j -0.011014-0.05109j -0.00857957+0.0417664j -0.051587+0.00642827j -0.00289047+0.00597542j -0.00499196-0.00944699j 
0.00409464+0.00172032j -0.000310742-0.00132259j -0.00649278-0.00271752j -0.00269453-0.00425442j -0.000439184-0.00257842j 0.00153921-0.000265759j -0.00353601+0.000666578j -0.000173618+0.000295322j 0.00213087-0.000543422j 0.000786254+0.00361881j -0.00101004-0.000500325j -0.00316981+0.00407713j -0.00148159-0.00131835j -0.00235917+0.0015352j 0.000585684-0.00270623j -0.000304551+0.00278006j 0.00152934-0.00431954j 4.74786e-05+0.00133042j 0.00288889+0.00256757j -7.40291e-05-0.00426502j -0.00318947-0.000213815j 0.000972983+0.000468718j -0.00131732+0.000615355j -0.000888091+0.00153623j 0.00139615+0.00120445j 0.00115878+0.00100395j 0.00235752-0.00118313j -0.0013862+0.00425518j 0.00407742-0.000490363j 0.00223181-0.00286373j -0.00222833+0.00115484j 0.00121586+0.000189318j -0.000855289-0.00168274j 0.00203694+0.00613324j -0.0025797+0.00204743j 0.00172414+0.00265251j -0.00114589-0.000740214j -0.00186611-0.00172349j -0.00121962+0.00499907j 0.00391602+0.00785134j -3.80123e-05+0.00434787j -0.000709829-0.00182007j -0.00323535+0.00541056j -0.0041696-0.00482074j 0.00299087-0.00190649j 0.00354463+0.00210837j -0.00171711-0.00191741j -0.00639468-0.00967203j -0.000356688+0.00634503j -0.00196567-0.0132137j 0.00213944+0.00154492j -0.0023459+0.000983194j 0.00301668+0.000945122j 0.000158277+0.00257927j 0.000502343+0.00321605j -0.00436341+0.000651173j 0.0039055+0.000707578j -0.00191157-0.00473814j 0.00228466+0.0168505j 0.00716309-0.00214459j 0.00318309+0.00451337j 0.00214736-0.0125943j 0.00433314+0.00736368j 0.00316942+0.00510636j -0.0119572-0.0233011j -0.0199996-0.00174875j 0.0291211+0.0325933j 0.0413726-0.0189069j -0.0352278+0.00127132j -0.0099644-0.00865017j 
-0.00196285+0.00262366j 0.00490923+0.00228469j -0.00207106-0.00200472j 0.00516572+0.000258728j -0.000860477-0.000829552j 0.000123933+0.00206851j 0.00119243+0.00129918j -0.00467715+0.000225359j -0.00134818+0.00312128j -0.000100033+0.00129042j 0.000915497-0.00432177j -0.000142754+0.00439937j 0.000343545-0.0053211j 0.00431393+0.00564547j 0.00146373-0.000829943j 0.00147896+9.92353e-05j -0.000483832-0.00540212j 0.000294175+0.002063j 0.00258325+0.00168562j 0.00385837-0.00197068j 0.000735233-6.30029e-05j 0.00327665+0.000625445j 0.00207724-0.000991142j -0.000284824+0.00698391j 0.00329797+0.00521035j 0.00188304+0.00195702j -0.00234499-0.00395025j 0.00142895-0.00052496j -0.000291601-0.00258756j -0.000717578+9.31353e-05j 0.00284728+6.43355e-05j 0.00337283+0.00231534j -0.0013629-0.00374467j -0.00457786+0.00106566j -0.000276742+0.000125919j -0.00302863+0.00361801j -0.00233756-0.00141878j 0.00133299-0.0012978j -0.00873411-0.00151285j 0.0063853+0.00940545j 0.000952619+0.010362j 0.00300353+0.000728127j -0.00142338-0.00236585j -0.002182-0.00526621j 0.00818147-0.000335827j -0.0050175-0.0128063j 0.00208469-0.00216741j -0.00291891-0.00739301j -0.00256881+0.00587653j -0.00378523-0.00934659j -0.00350613+0.00343274j 0.00114475+0.000871467j -0.0046289-0.0146951j -0.00093164-0.0109505j -0.000985491+0.007385j -0.00517248-0.000973372j 0.00576701-0.00142325j 0.00103286+0.0103876j 0.00346046-0.00671622j 0.00544207-0.0192835j 0.000212688-0.00149633j -0.00798351-0.0111525j 0.00259111+0.00886784j -0.00554575-0.0220645j -0.00485597-0.00966323j -0.0265601+0.0119653j 0.0340635-0.0165863j -0.0373725-0.0271991j -0.00468593-0.00610745j 0.0333202+0.00173057j 
-0.00338585-0.00106962j -0.000794418+0.00152126j -0.0033705-0.00229383j -0.000175437-0.00369028j -0.00167969-0.00204952j 0.00390518+0.000427855j 0.000690016+0.0011087j -0.00170017+0.00142569j -0.00291664+0.000975385j -0.00215939-0.00199519j -0.00786823-0.00144873j 0.000390061+0.0053639j -0.000827413-0.00528411j 0.00154733+0.000412737j 0.00514396-0.000909999j -0.00207708+0.000170852j 0.00743949-0.00761213j 0.000988361+0.00406713j 0.002716+0.00370662j 0.00176453-0.00385753j -0.00293969-0.00304794j 0.000843662+0.0025355j -0.00424381+0.000925566j 0.00429898+0.00628157j 0.00456181+0.00422005j -0.000547089+0.000641739j 0.00253976-0.00471544j -0.00122252-0.0015704j 0.00635785-0.00513024j 0.00284945-0.0051475j -0.00161596+0.00194032j 0.00179682-2.41999e-05j -0.00181165-0.00212504j -0.00419631+0.00395052j -0.00372034+0.00491732j 0.00041427+0.00437575j -0.00225733+0.00154264j 0.00114231-0.00322179j -0.00856411+0.00233987j 0.00674234+0.00712314j 0.00393527+0.0108403j 0.000437623+6.60752e-05j -0.00430728+0.00455106j -0.0108777-0.00822922j 0.0125318-0.00505464j -0.00124988-0.00816875j -0.00906477-0.00151693j -0.00941997-0.00665604j -0.00295969+0.0079532j -0.00446414-0.0210667j -0.0071162+0.000823982j 0.00653234+0.00198969j 0.0107149-0.00747447j 0.000292679-0.0124301j 0.00526526+0.0178348j 0.000822552+0.00272853j 0.00392926-0.00990602j 0.00016355-0.0101817j -0.0108203-0.0160437j -0.00678016-0.00556161j 0.00630974-5.37963e-05j -0.0115835-0.00379561j 0.0162566+0.0408356j -0.0184266-0.024424j 0.0112498-0.0364755j -0.0311326+0.0179852j -0.0319274+0.00714437j -0.00510098+0.00834104j 0.0162294+0.00781747j -0.016603+0.00614355j 
-0.00325428+0.000776914j 0.00140059+0.00210494j 0.00511772-0.000410085j 0.00352492+0.00403477j 0.00636256+0.000454575j -0.000615832+0.00603865j -0.00304466+7.48045e-05j -0.00169948+0.00154895j 0.00102295-0.000498155j 0.00224797-0.00250275j -0.000718169+0.000377256j 0.000842512+0.00651518j -0.00503382-0.00659054j 0.00152134+0.00023005j -0.000176659-0.00144402j 0.00115618-0.00192508j -0.00143744+0.00505155j -0.00233976+0.00209734j -0.00269173+0.00421764j 0.00989118+0.00184162j -0.00100108-0.00388839j 0.00218891-0.00528775j -0.0100697-0.0030859j 0.00574281+0.000860989j -0.000335254-0.00422238j -0.00473721-0.000743895j -0.0027192-0.00305335j 0.00380082-0.0059114j 0.000494705+0.000112205j -0.00276343+0.00624537j 0.00195465+0.0051126j -0.00461827+0.00289022j 0.00827962-0.00171285j -0.003321-0.00404718j 0.0049428-0.0129878j -0.00353468+0.00886875j 0.00170343-0.0078295j -0.00769732+0.00510039j -0.00524601+0.00729313j -0.000745496-0.00211713j 0.000567322+0.000931191j 0.00387077-0.00278573j 0.000112838-0.0122028j 0.00156493-0.00738627j 0.00398836-0.00632903j -0.000138905-0.0220475j 0.00888144-0.0110761j 0.000962496+0.00680337j 0.0088326+0.00854773j 0.000324622+0.0207111j -0.00614809+0.00847944j -0.000741652-0.003582j -0.0114291-0.0170665j -0.00536334-0.00929781j 0.00203478+0.00909705j 0.000298528+0.0143815j -0.00387212-0.0244699j -0.00121533+0.0281211j -0.00253247-0.00774629j 0.00644863+0.0171668j -0.010471+0.00321593j -0.00163216-0.0218422j -0.000768889-0.0386781j -0.0159034-0.0350265j 0.0523629-0.00728947j 0.00224705-0.0311838j -0.00338515-0.00104009j 0.014997+0.00177504j -0.000321991+0.0110877j -0.00999868+0.000260401j 
0.00252449+0.00443009j 0.00646476-0.00019457j 0.00369503-0.00135327j 0.00272727+0.00180286j 0.0048216-0.00270537j 0.00296497+0.000332319j 0.00094181+0.00561179j 0.00542704+0.00384669j -0.00227161+0.00225795j 0.00388666-0.0023189j 0.00461872+0.000896503j 0.002869+0.00547127j -0.00503118-0.000697427j -0.00281544-0.00339421j -0.0026643-0.0026251j 0.00233673-0.00628651j 0.000618763-0.000729366j 0.00434146-0.00321378j -0.00228658+0.00122342j -5.2942e-05-0.00619714j 0.00257364-0.000511247j 0.00368865-0.00043319j -0.00206532+0.00525554j -0.00414421-0.000926742j 0.00180899-0.00766717j 0.00707605+0.00563871j -0.00269449-0.00060325j 0.0044674+0.00756433j -0.00854389-0.000324826j 0.00220443-0.00497797j -0.00113449+0.00232496j 0.00536773+0.000899811j -0.003667+0.00266511j -0.00978374+0.00230303j -0.00611592-0.00536319j 0.00292542+0.00866303j -0.00254233-0.00315065j 0.00420317-0.000389039j -0.000865691+0.0102081j 0.00122807+0.00542828j 0.000648887-0.00710289j 0.00767261+0.00103598j -0.000554644+0.0119234j -0.00219263+0.00437173j -0.0095004+0.00432713j 0.0143225+0.0104229j -0.00351485-0.0129016j -0.00833698-0.000759048j 0.00689302+0.0202663j -0.00170174-0.0117188j -0.0047308-0.0154195j -0.00272067+0.0129048j -0.00359804-0.00546265j 0.00693518+0.0154097j -0.0133422+0.00160663j 0.00155367+0.0139364j 0.0072542+0.00879888j 0.0056892+0.0138435j 0.0166436+0.0188644j 0.00368563+0.00212774j 0.0151603+0.0295714j 0.0159948+0.0152206j -0.00664436-0.0292871j -0.0501334+0.0310019j -0.016502-0.035227j -0.00823764+0.00138484j -0.00379746-0.012064j -0.00100672+0.0118095j 0.0125281-0.00165067j 0.00503245+0.00989405j 
-0.00360329+0.000981125j 0.00135416+0.00143913j -0.0017335+0.00368538j -0.00430264-0.000600018j -0.000728155-0.000518289j -0.000832106-0.000634685j 0.00480139+0.00523738j 0.0019218-0.000483354j -0.00855906+0.000498788j -0.00543754+0.0013745j 0.000476029-0.00300769j -0.00185927+0.00232592j -0.00236751-0.00848731j -0.000618091+0.000416354j 0.00885976-0.0081427j 0.00219845-0.003182j 0.000498843-0.00822047j 0.00555811+0.00670426j 0.00484338-0.00691657j 0.000462181-0.00175883j -0.00482921+6.10196e-05j 0.00526242+0.00080377j -0.00011592-0.00251403j 0.00176378+0.0121453j 0.00762571-0.00164551j -0.00218715-0.00129924j 0.00134221-0.00772309j -0.00608714+0.0122301j 0.00536046-0.00182756j -4.9567e-06-0.00489334j 0.00729857+0.000393924j -0.000515255-0.00726141j -0.003849+0.00450334j 0.00335547+0.00477633j 0.00612553+0.00204672j -0.0001734+0.00262469j -0.00471425-0.00353892j 0.00792333-0.00446808j -0.00103424-0.00234635j 0.0107882+0.00338229j 0.0086647+0.0181427j 0.00582276-0.00104121j 0.00296017+0.00945646j -0.00430304+0.00162052j 0.00439017+0.0105198j -0.0136729-0.00315803j 0.0163493+0.00251453j -0.00188302-0.000970596j -0.00332072-0.00289989j -0.00505805-0.00467382j -0.00334246+0.00978661j -0.0108894+0.000402j 0.00945252+0.00821451j 0.00160826+0.022269j -0.00384758-0.00529119j 0.00322339-0.00222684j -0.0186976+0.0110845j -0.00942675+0.0138431j -0.00426672+0.00653624j 0.00162454+0.00441445j -0.00145988-0.0435985j 0.00533898+0.0391679j 0.0573958-0.0147605j -0.00540856-0.0020294j -0.00855633-0.00439881j 0.00585698-0.00381746j 0.00326301+0.00562921j -0.0006185+0.00867767j 0.000466187+0.00426173j 0.000909477-0.00414858j 
-0.00189841+0.000754843j 0.00086943+0.00181777j -0.00268132+0.00217519j -0.000508222-0.00338122j -0.000216348+0.00707434j -0.000361748-0.000196788j -0.00106845-0.00080008j -0.00120658+0.00528769j 0.00110355+0.0032357j 0.00716168+0.00248127j -0.00229527-0.000170834j 0.00482392+0.000468128j -0.000209862-0.0021152j 5.44596e-05-0.00362183j 0.000168372-0.00332051j 0.00721495+0.00490265j 0.00351369+0.00520551j -0.00397243+0.000771133j 0.000409772-0.00464762j 0.00454499+0.000490314j 0.00178557+0.00207853j -0.00655774-0.00360044j -0.00552378+0.00103076j -0.00454852-0.00904714j -0.00408928-0.00130582j -0.00176784-0.00190274j 0.0066192+0.00161733j 0.00329348-0.0037745j -0.00239895+0.00168507j 0.00445992+0.00797297j -0.00544763+0.000694805j -0.000929002+0.00610368j -0.00228823+0.00112672j 0.00527194+0.0014815j 0.00781242+0.00465218j 0.000872061-0.00101291j 0.00763148+0.00150689j -0.00143966+0.00884241j 0.00350465+0.00535461j -0.0074388+0.0019093j 0.00367318-0.000811029j -0.00651731-0.00888226j 0.004287+0.000149014j -0.00857345-0.000622454j -0.0069532+0.00218902j -0.00189579+0.00366827j -0.00823017-0.0156821j -0.00400334-0.0078939j 0.000106141+0.0062899j 0.00106451-0.0140054j 0.00261894+0.0117132j 0.00327201+0.00617874j 0.00745013-0.00273285j 0.0045469+0.00193165j 0.00188187+0.0118675j 0.00555361-0.00467661j -0.0020926-0.0048471j 0.00363002+0.0163541j 0.0102054+0.0130318j -0.00614466+0.0171636j 0.00212349+0.0169309j -0.0330486-0.00333658j 0.0211041-0.0280589j 0.0315208-0.000791006j -0.0156048-0.00948967j -0.0389509-0.0107577j 0.00253587-0.0129632j 0.0165564-0.00270493j 0.0133673-0.00244449j 0.000991054+0.00297932j 
