-0.020388-0.0296084j 0.0187166-0.00169034j -0.0145831-0.0324829j -6.06158e-05+0.00107596j -0.000638639+0.0514886j 0.0171103+0.0219838j -0.0453949+0.0544854j 0.0199249-0.00198403j -0.0176231+0.02446j -0.00857457+0.014188j 0.00141828-0.0520318j 0.045585-0.0203014j -0.00421614-0.00423571j -0.00923806-0.0559954j -0.0186863-0.0363112j -0.0175719-0.00941528j 0.0162026+0.0176858j -0.012864+0.0476979j -0.0491427+0.0284979j -0.0302629+0.01403j -0.00103733+0.0150199j 0.00637069-0.00841035j 0.0203688-0.0165147j -0.0188445-0.000755419j 0.040533-0.00712257j -0.00885078+0.00155364j -0.030877+0.0144176j -0.0618442+0.0180629j 0.059051-0.0369765j 0.0143986-0.00746426j -0.00782983+0.0163875j 0.00263432-0.000411271j -0.0245587+0.000722969j 3.55276e-05+0.00189432j -0.0100312-0.0201121j -0.00298918+0.0112576j -0.0226929+0.0195663j 0.00155034-0.0216135j 0.00385852-0.00328851j 0.0112042+0.00109088j 0.0121631-0.00148305j 0.0037003+0.00595742j 0.00129846-0.00102385j 0.00738984-0.00325966j -0.00125582+0.0107892j -0.00443676-0.00696927j -0.00066664-0.00249913j -0.00241197-0.00939023j 0.00756048+0.00399904j 0.00181221+0.00231552j 0.0116025-0.00256973j 0.00470452-0.000272771j -0.00901681-0.00139038j -0.0109149-0.00310828j -0.0123052-0.000132115j -0.00175945-0.00441464j -0.00450476+0.00443599j -0.00698574+0.0177899j 0.00230286-0.00763056j -0.0054621-0.000994075j -0.0105302+0.00337255j -0.00398875+0.000620449j -0.00236384+0.00762128j -0.00657898+0.00420214j -0.000623528-0.0033437j 0.00420569-0.00645186j 0.00478154-0.00423931j -0.00877963+0.00254747j 0.00450849-0.00351735j -0.00325762+0.0044084j 0.00117042-0.00244964j 0.00123565-0.00120612j 0.00225988+0.000784819j 0.0038028-0.00355833j -0.00379555+0.0036649j 0.00249474+0.00186403j 0.00427796+0.00798561j 0.00167788+0.00394952j 0.00268217-0.00953762j 0.00418004+0.00173326j -7.54481e-05+0.00797243j -0.00727915+0.0206705j 0.00811491-0.0125359j -0.00871091+0.00924566j 0.0115636-0.00503333j -0.024146+0.010921j -0.00401537-0.00914627j -0.00261653+0.00244316j 0.00275836-0.00631787j 0.0143661-0.0172697j 0.0323451-0.0255184j 0.00670133+0.0191085j 0.00991368-0.0109646j 0.0127747+0.00441319j 0.0183172-0.00991246j 
0.0127996-0.0152894j 0.0296346+0.0259476j 0.0156547-0.0382702j 0.0217412-0.0132331j -0.00680011-0.00310987j 0.016966-0.00592573j -0.0665665-0.0259211j 0.0319806+0.0561014j -0.0212598+0.00852373j 0.00221737-0.0104547j 0.00963738+0.0267872j 0.00207459-0.0307021j 0.0135513-0.00575924j -0.00308798+0.0164192j 0.0500895-0.00449248j 0.0375303-0.0348621j -0.010436-0.019435j 0.0324768+0.0331717j -0.0715694+0.0622754j 0.0277062-0.0343394j -0.0232551-0.0117924j 0.00549328-0.0134855j -0.0079716+0.00461677j -0.00304582+0.00518202j -0.00836978-0.0351322j 0.0056533+0.0166713j -0.00128948-0.0192968j -0.0286581-0.0762352j 0.00320976+0.0093206j -0.0063053-0.0104789j -0.00240516+0.0070177j -0.00632746-0.0286479j -0.00989109+0.0176194j -0.0225621-0.0308761j 0.0141207+0.00763159j 0.012163+0.0228243j -0.0103837+0.000187816j -0.000713817-0.0073369j 0.00692814+0.00791333j -0.02076-0.00104758j -0.0052848+1.28943e-05j 0.00833108-0.0111049j -0.00123058-0.0024267j 0.000791044-0.00220128j -0.00211158+0.006142j 0.0065413-0.00686524j -0.00349256-0.00918544j -0.00404597-0.00118575j -0.00359596-0.0022294j 0.00559871+0.000250884j -0.00583126-0.00377281j -0.00407952+0.00114351j -0.00225334+0.0106988j 0.00650829-0.0228513j 0.00220232-0.00621024j 0.000385378+0.00152426j 0.00372352+0.00336307j 0.0111099-0.00227531j -0.00630333+0.0152357j 0.000613932-0.00670269j 0.00571101-0.00585568j 0.00431281+0.000928683j -0.00604735+0.000297582j 0.000397547-0.00110143j 0.00153561+0.0011883j -0.0010587+0.00331393j 0.00339985+0.00526261j -0.00116527-0.00908201j -0.00193274+0.00847382j -0.00259355+0.00266021j 0.00045011+0.00149473j 0.000574532-0.00266264j 0.00458694-0.00509916j 0.00327792-0.000613382j 0.000677156+0.00229717j -0.00339096-0.00374847j -0.00472788-0.000392309j 0.0053964-0.00636709j -0.000199475+0.0038907j -0.0118862+0.00281271j 0.0158826-0.0150553j -0.00176468-0.00101137j -0.00243036+0.0039778j 0.000169382+0.00188974j 0.00281925+0.000110949j -0.0126587+0.0295751j -0.0105644+0.0235797j 0.00189233-0.00256639j 0.00161987-0.00242505j -0.0351769+0.0103931j 0.0127778-0.0366472j 0.0154325-0.000674352j 6.76259e-05+0.0128623j -0.0167767+0.0129856j 0.0123656-0.001127j 
-0.00103388-0.00256056j -0.0785721+0.0207611j 0.00257693-0.00975856j -0.0708726+0.0291797j 0.00725551+0.0609029j 0.00618879-0.00647239j 0.0394497+0.0164301j -0.197629+0.00386162j 0.00307723-0.0598338j 0.0298198+0.0306887j 0.0148326-0.136481j 0.0870227+0.046989j -0.0514309-0.00677183j -0.0613848-0.100245j -0.0413828-0.00933162j 0.140091-0.00310443j -0.0320465+0.0780505j 0.0183701+0.0372904j -0.0970644+0.0283834j 0.12105+0.0288533j -0.0165543+0.0188734j 0.0696299-0.0176143j -0.0161917-0.0104233j -0.0166389+0.011892j -0.0268609+0.0224696j -0.00839441-0.00943541j 0.00990669+0.0232972j 0.00889789+0.0598396j -0.0177636-0.022613j 0.0224052+0.0136315j -0.0140016+0.00578812j 2.81605e-05+0.0144927j -0.00214797-0.00183534j 0.0219568-0.00393283j 0.0220437-0.0153054j 0.0198115-0.0044489j -0.028905+0.0134293j 0.0203027+0.0211613j -0.000481878-0.00613603j -0.0334696-0.0102055j -0.00108319-0.010388j 0.0200416+0.00740743j -0.00293491+0.00416999j -0.00227342-0.00377164j -0.0159484+0.00530637j -0.00145042+0.00620598j -0.00281949+0.000719255j 0.00512769-0.000690623j -0.00326321-0.000905673j 0.0114035-0.00719372j -0.0044891+0.00339412j 0.0117373-0.00516033j -0.00809606-0.00488606j 0.00241531+0.0223404j -0.00157183+0.0113659j -0.00394693-0.00737197j -0.00605864-0.00909269j -0.0051437+0.0058931j -0.00159389-0.000735541j 0.00173777-0.000240534j 0.0140397+0.0036629j 0.00452329-0.00203593j -0.00117669-0.000336854j 0.00335471+0.00388218j -0.00762236-0.0143197j -0.00343995-0.0118308j -0.0037158-0.00837588j 0.0109717+0.00268705j -0.00927587-0.000985383j -0.0118497+0.00217563j -0.00568328-0.00120153j 0.00737589+0.000598959j 0.00572438-0.00190815j 0.000393976-0.00826028j -0.0209266-0.00180699j 0.00742355+0.00266852j -0.0019383+0.0049238j -0.000698213+0.00635049j 0.00759772-0.00724976j -0.0105349+0.00433808j 0.0140157-0.00706867j 0.00807462-0.00196088j -0.00507689+0.00168012j 0.00766171-0.00249806j -0.00585221-0.00139562j 0.00329936-0.00298408j -0.00581903-0.00431591j 0.00416514+0.00685242j 0.00294635-0.0015686j -0.0315905+0.0105321j -0.000486551+0.0128361j 0.00464853-0.0062612j -0.0102883-0.0065835j -0.034106-0.011796j -0.00078399-0.000752459j 
0.0619446+0.0388158j -0.000227591-0.00253382j -0.02604+0.104663j 0.0793857+0.0144467j -0.0248165-0.0522913j -0.075604-0.00746841j 0.066157-0.0317254j -0.0442231-0.0222165j -0.107243+0.00168932j 0.0560023+0.0020866j -0.0377582+0.0224627j -0.00490796+0.119747j 0.0787225+0.0255995j 0.161914+0.000908562j 0.000733809+0.0723721j 0.133537-0.09466j -0.0203515-0.0163879j -0.0944156-0.0642999j -0.00647628-0.153862j 0.0281396-0.0351384j 0.0193145-0.0205841j 0.0258237+0.0114421j -0.0322771-0.00388449j -0.0200687-0.0205562j -0.0417793-0.0259183j 0.00806144+0.0233481j 0.0611234+0.011359j 0.0622976-0.0205807j -0.00879262+0.00891555j 0.0108922+0.0121141j 0.00517405+0.00629603j -0.0294324-0.00156112j 0.0125601-0.00549235j 0.00374564-0.0168989j -0.00615042+0.0179982j -0.0214374-0.00326613j -0.0221962-0.0255968j -0.0244522-0.000224126j 0.00617521+0.00664088j 0.00887452-0.0123631j 0.001021-0.000393327j -0.0186286+0.00725249j 0.00550169-0.000514096j 0.0075196-0.00452494j -0.000859722-0.00727862j -0.00336071+0.0197028j -0.00786099-0.00924298j -0.000730659+0.00926107j 0.00836083-0.00375563j 0.00392657+0.00958921j -0.00406582+0.0121061j -0.00046538+0.00620002j 0.0100481-0.00421531j -0.00518125-0.00822779j -0.0179151-0.00241367j 0.010108+0.00299973j 0.0178738-0.00207528j 0.0017669-0.0155844j -0.00763709-0.00491698j 0.00316666+0.00166533j 0.00196902+0.00367578j -0.00214974-0.00052681j 0.00307992+0.000200953j -0.00345069+0.00421692j -0.00310395+0.000299352j -0.011391-0.00604864j 0.00456678-0.00570187j 0.00093579-0.000415282j -0.00566976+0.00901641j 0.00249168-0.00416469j -0.0116637-0.000750063j -0.00225639+0.00727237j -0.0117829-0.000852346j -0.00839049-0.00134987j 0.00129773-0.0112226j 0.0115563-0.00406798j -0.00739262+0.0019132j -0.00626532+0.0146336j 0.00548126-0.00503175j -0.00666813-0.00463502j -0.00439322-0.00136584j 0.00584022-0.00988434j 0.00572538+0.0102503j 0.00109759-0.00335959j 0.0066811+0.00713694j -0.00682311-0.00486866j -0.0129052+0.00584599j 0.0127641+0.00499382j -0.00347677-0.000512524j -0.00820329+0.00347929j 0.0152028+0.0146208j 0.006392+0.000716661j 0.00614762+0.0104371j 0.00542137-0.00641604j 0.0185465+0.0176211j 
-0.0157912+0.0152316j 0.0290879+0.035113j -0.08017-0.0303908j 0.0269831+0.16239j 0.038539+0.0708903j -0.00373062-0.00838653j -0.0371647-0.0446446j -0.042742-0.0196195j -0.00904935-0.00564727j 0.026296+0.0418648j 0.0165274+0.00375985j 0.0605804-0.107341j -0.0763911-0.159368j -0.105363-0.10377j 0.0685042-0.0258699j -0.181281+0.0426623j -0.0263237+0.00795912j 0.116119-0.0667462j 0.0580546+0.0142228j -0.14088-0.0600664j 0.00689823-0.0189326j -0.0203593+0.0197657j 0.0207756+0.0209739j 0.00532214-0.00168866j 0.00671353+0.00450529j 0.0111409-0.00719474j 0.0304409-0.00163892j 0.0616735-0.0580715j -0.0582189+0.0382342j -0.00908231+0.00472598j 0.0165349-0.0113733j 0.0362515-0.0423135j 0.0365346-0.026409j 0.00465392-0.0133886j -0.0537406-0.00279727j 0.003368-0.00927474j 0.0220932-0.0377861j -0.039001+0.0179647j -0.00559751+0.00965011j 0.0259015-0.0193048j 0.0102601-0.0039753j -0.0107142-9.32127e-05j -0.000726247-0.00445296j 0.00736291+0.00682019j 0.00412456+0.00433044j -0.00810229-0.0137148j -0.000361114-0.0107619j -0.0124415-0.00967718j 0.000963953+0.00162425j -0.00324093+0.00210422j 0.0141012-0.00761711j -0.00678301+0.00703118j -0.00417616-0.0100002j -0.0148905+0.00163532j -0.00310809-0.0130924j -0.00309144+0.00228232j -0.000356713+0.00535693j 0.000711739+0.00457848j 0.00187883+0.00683569j -0.00795183-0.00410245j -0.0157125+0.00253885j -0.00528202+0.0105794j 0.00321255-0.00722371j -0.00876076-0.00844044j -0.00449616-0.00924908j 0.00567416+0.00262251j -0.00575975+0.0127162j -0.00242738-0.00942392j 0.00442692-0.00500771j 0.000234139+0.00218812j 0.0047131+0.0116554j 0.0011442-0.0116999j -0.000592823-0.00579489j 0.00597038-0.00346993j -0.00486691-3.06515e-05j 0.00130401-0.00537456j -0.00468135+0.00992448j 0.0098573-0.0162563j -0.00267033-0.00831258j -0.00316207+0.00175667j -0.00135868-0.00926577j 0.00834843-0.023524j -0.00228423+0.00634185j 0.00686246-0.0126098j 0.00294662+0.00354565j 0.01471+0.00793258j 0.00433294+0.0223251j -0.0139082-0.00138798j -0.00258969+0.00345079j 0.0280821+0.00944615j -0.0175836+0.0165701j 0.00682475+0.00316264j 0.000303165+0.0186021j 0.0281788+0.00323702j 0.00201994+0.0235648j 
-0.0497343+0.0145347j -0.0303478+0.0337006j -0.0572565-0.0131682j -0.122357+0.133996j 0.0584333+0.0264767j 0.0402945-0.0941736j 0.0424936-0.00424075j -0.111957+0.00996303j -0.0737375+0.0276051j 0.0263486+0.0466414j -0.0529781-0.0355084j 0.0107313+0.048512j -0.0121988-0.0727622j -0.0298678-0.0727488j -0.0413626+0.102259j 0.0551927-0.16329j -0.0272796-0.0371085j 0.0931873-0.0205264j -0.0429551+0.0642123j 0.0897443-0.14549j 0.0172834+0.0307515j 0.0246489-0.0240103j -0.0340685+0.0362696j 0.00484837-0.000221773j -0.0313921-0.0115068j -0.00389543+0.0194669j 0.0486758+0.0100317j 0.104027-0.0252337j -0.0719406-0.0138661j 0.0201803+0.00233315j 0.00881795+0.0192392j 0.0129364-0.0202972j 0.0276045+0.0151069j 0.0181149-0.00402546j -0.00577006-0.0144022j 0.00173806-0.0224866j 0.0428828+0.014928j -0.0258267-0.0426685j -0.00991066-0.00385729j 0.0112688+0.0258019j -0.0123042+0.00174724j 0.0152137-0.00253004j 0.00217559-0.0102856j -0.0150594+5.41907e-05j -0.0167519+0.0140634j 0.00501791-0.00615008j 0.00295797-0.00347728j 0.010564-0.01451j -0.0134505+0.00499516j -0.00458108-0.00117139j -0.00869003+0.0107851j -0.0139942+0.00261065j 0.00311851+0.00449844j 0.0301934-0.0208908j 0.0177062-0.00841607j -0.00238188+0.00612916j -0.0020896+0.00904886j 0.019676-0.000678152j -0.00518328+0.00556756j 0.0058753-0.00942995j 0.000387649-0.0101672j -0.00320201-0.000372566j 0.0024632+0.00903518j 0.00974071-0.00371622j -0.0110574-0.00708147j -0.00844212-0.00814903j -0.00306092-0.000357477j 0.00258928-0.0123653j 0.000204196+0.00549483j 8.92435e-05+0.00411472j -0.00498463-0.00251479j 0.00357019-0.0039744j 0.00724113+0.000593015j 5.91975e-05+0.00237638j -0.00871635+0.000395984j 0.00431985-0.0114309j -0.00127481+0.00794432j 0.00594888+0.00517036j -0.00921618-0.00823161j -0.00450311+0.0071463j 0.00403375-0.0093751j 0.00849086-0.0104961j -0.00636845+0.00432874j 0.00234504-0.00924007j -0.00903077+0.00671055j 0.000942448+0.000748267j -0.0130231+0.00986935j -0.00175007+0.00506355j 0.00107183-0.0047829j -0.0103812+0.0164702j -0.0213234-0.013551j -0.0081577+0.00888766j -0.0153973+0.0140565j -0.00119821+0.029971j -0.0334602-0.00024253j 
-0.0418744+0.00463842j 0.0331514+0.00308766j -0.0866593+0.0153808j 0.0982481-0.0184751j 0.0783422-0.0180091j -0.0752197-0.00220824j 0.0422668-0.0291647j 0.0131343+0.0312749j 0.0528237-0.0382433j -0.016632-0.0212184j -0.0673892+0.0278406j -0.122197+0.051903j 0.00696988-0.0561227j 0.0615224-0.0708431j -0.0610591-0.00974905j -0.0737179-0.00106727j -0.147423+0.106666j -0.0459138-0.0712973j 0.0478203-0.0754765j -0.0575149-0.00677054j 0.0392709-0.0276168j 0.00205908+0.00250088j -0.00959086+0.0124316j 0.0105491-0.00477851j -0.0498456-0.0126652j 0.0261085+0.00769659j 0.000357455-0.0716014j -0.0693177-0.167981j -0.0327561+0.0911473j -0.0119665+0.0162289j 0.00915532-0.0088346j -0.0490074-0.035627j 0.00540787-0.0115481j -0.0161374-0.00977146j 0.00726552+0.0611087j 0.0295559+0.00697253j 0.0283633+0.000843807j -0.016619+0.000285144j -0.0010091+0.00281336j 0.00263658+0.00299469j 0.000833606-0.00322379j 0.00801245+0.00247583j -0.00127726+0.0089062j -0.0116646-0.0107508j 0.00532404-0.00164991j -0.0149025+0.0027402j -0.00559538-0.00192348j -0.00713777+0.0111464j 0.0107512+0.00332239j 0.00951198+0.00257207j -0.0040601-0.00666672j 0.0114461+0.0119474j -0.0205662+0.00725175j -0.0258528-0.0219216j -0.00185645-0.00410865j 0.00627776+0.00274529j 0.0252698+0.00963047j 0.00928512-0.00109777j 0.00103034+0.00413672j -0.00244931+0.00622602j 0.000507541+0.00233284j 0.00158268-0.00175554j 0.00910727+0.00758189j 0.00240814+0.00735795j 0.000894342-0.0034559j 0.0030669-0.00170146j 0.00250349-9.1401e-05j -0.0108633-0.0030575j 0.00720947+0.00717463j 0.00357357-0.00319926j 0.00656947+0.0109464j -0.00371819+0.0013077j -0.00873222-0.00585923j -0.000681221-0.00284379j -0.000573062+0.00336094j -0.0106151+0.0132834j 0.00410087-0.0074362j -0.00968092+0.0108929j -0.00811517+0.00102193j 0.00189897+0.00512817j -0.0195991-0.0070135j 0.00113011+0.00209364j 0.00697864+0.00841835j -0.00502085-0.00713956j 0.00808384+0.00810596j 0.00126091-0.0138293j 0.0130555-0.00268593j -0.00567673+0.0142414j 0.00382024-0.000589118j 0.00513328-0.00949008j -0.0140737+0.0118357j 0.013419+0.00124361j 0.0144919+0.00368023j 0.00620557-0.00655067j -0.00628344-0.00531373j 
-0.0171898-0.0396505j -0.0326936+0.0126513j -0.0297238-0.0867377j -0.163528-0.0481941j 0.0101713+0.0224535j 0.0359575+0.0571993j 0.0206722-0.0102702j -0.0617701-0.0214476j -0.0746207-0.0124808j -0.0135639-0.00941724j -0.00712772+0.0503438j -0.00419499-0.0670953j 0.0176391-0.0172796j -0.049415+0.0452122j 0.124821-0.0971594j 0.0197148-0.041915j -0.00902576-0.0773176j 0.0683872+0.0849107j -0.0722751+0.0373874j 0.0535849-0.00983153j 0.0110099-0.0149575j 0.00515991-0.00479088j -0.0263803-0.0184087j 0.00379001+0.00425643j -0.0272613-0.0309685j 0.0225583+0.00478054j 0.0516433+0.000272099j 0.125336+0.00554807j -0.085447-0.0441154j -0.0301049-0.019527j 0.00472458+0.00205731j 0.00681887-0.0229635j 0.0106917+0.000412737j 0.0181797-0.0055818j 0.0300884+0.0144952j -0.00881607+0.0183954j 0.0251749+0.024891j 0.00440394-0.0374322j -0.00107789+0.00426058j -0.00571382+0.00442989j -0.0170788-0.00213512j 0.00147827+0.00955526j 0.00138303-0.00135409j -0.0135719+0.00141988j -0.00475392+0.00273946j 0.019086+0.000885719j 0.00655542+0.00521766j -0.000111949+0.00475734j 0.0113683-0.0132429j 0.013308+0.00224916j -0.00569574-0.00978373j 0.000206937-0.00269274j 0.00174616+0.00396714j 0.0017808-0.0074053j 0.0133829-0.00367338j 0.00147478+0.00398693j 0.00761161+0.00801658j 0.00305028+0.000107166j 0.00131099+0.0085036j 0.00469176-0.00994143j 0.00397588-0.00898974j 0.0047203+0.00356427j -0.00259007+0.00767694j 0.00215876+0.00719062j -0.00192039+0.00538705j 0.00483057+0.0140871j -0.00595781-0.0022965j 0.00197744-0.00628178j -0.00183141-0.00175406j -0.00420146+0.00804467j 0.0126816+0.00394148j 0.000239997-0.00744891j -0.0115991-0.00600478j -0.0046789+0.00660765j -0.000389994+0.00412105j 0.00413254-0.00195141j -0.00752715+0.000775901j 0.00146994-0.0059134j 0.000743833+0.00125974j -0.00372612+0.0038665j -0.00354649-0.000569261j -0.000687836-0.00829112j -0.00555071-0.00358763j 0.00522977-0.00229247j -0.00731877-0.00396071j -0.00853832+0.01511j -0.00135917+0.010381j 0.00607356-0.0033796j -0.000672881-0.00286307j -0.00877588-0.00905203j -0.0120677-0.0384235j -0.014094+0.00362392j -0.000591973+0.00255732j -0.0052519+0.0133411j -0.0161763-0.0196696j 
-0.0257054+0.0118509j -0.0223578-0.0277451j -0.0935786+0.0383373j 0.0125203-0.0708041j 0.0211494-0.0113874j 0.00209573+0.0236114j 0.0930357+0.079288j 0.02009-0.0640133j 0.0179807-0.00630231j -0.0400638-0.0220893j -0.026688+0.0676121j -0.0680857-0.0791647j 0.056561-0.0376797j -0.0394227-0.0256912j 0.180666+0.0110503j -0.015416-0.131873j 0.0545079-0.0365906j 0.0282923+0.0324815j -0.0223035-0.0128615j -0.00927995-0.0589022j 0.0361445-0.013331j -0.00183489+0.00966046j -0.00993063-0.00581362j -0.00389158-0.00757295j 0.0181839-0.0530712j -0.00318344+0.0237694j 0.00241187+0.0301173j 0.000580563+0.0671512j 0.00355456-0.0905664j 0.00627529-0.0167012j -0.00376499+0.0145195j 0.0357017+0.00738239j 0.0215884+0.0372106j 0.0106746+0.00203002j -0.0274905+0.0313898j 0.000469635+0.011889j 0.000692461+0.0320809j 0.019057-0.0185822j 0.000147719-0.00481904j -0.00661038+0.00817143j 0.00962715-0.00309063j 0.00209731+0.00831458j 0.0151529-0.0123967j 0.000972594-0.0149605j 0.000780517-0.00993028j -0.0056725+0.011047j 0.0104535-9.40612e-05j -0.00361638+0.00310814j 0.0106425+0.00319736j 0.00365473+0.00829884j -0.00702841-0.0088217j -0.00956325+0.0105861j -0.00221563-0.00379549j 0.00419365-0.00598315j 0.0118995+0.0127359j -0.000835904+0.00889062j -0.00249882+0.0193505j 0.00209441-0.00680616j -0.0159571+0.001219j 0.00361435+0.00808353j 0.0044471-0.00183649j -0.00295104-0.0021133j -0.00460847+0.00583423j -3.55623e-05+0.010399j 0.00556221+0.00926233j -0.00417871+0.01724j -0.00932199-0.00447259j 0.00252535-0.000562704j 0.00128183-0.000903053j 0.00770273-0.00416184j -0.00277037+0.0123344j -0.00121954+0.00194508j 0.0176825-0.0120259j 0.00998694-0.000642541j -0.00684441-0.00916331j -0.00690814-0.00505557j -0.00837207+0.0132414j 0.00998738-0.00550773j 0.00497211-0.00862194j -0.00880771+0.00397576j 0.00722385-0.0023043j -0.00236656-0.00130274j 0.00196448-0.00348506j 0.00554618+0.00164629j 0.000944317-0.000686926j 0.000599917-0.0143241j -0.00730075+0.000867737j -0.00411725+0.0079105j 0.00138342-0.00214534j -0.00382779-0.00947137j -0.00630575-0.00433601j -0.000688519+0.0083142j -0.00729916+0.0013776j -0.00833457-0.00933476j -0.00292551-0.014668j 
-0.000204144+0.0297248j 0.0173572-0.00537346j 0.123466-0.0250094j -0.174981-0.109731j -0.0422889-0.0849915j -0.0246228-0.035758j -0.159625+0.0362772j 0.100631+0.0664026j -0.00822829-0.0048801j -0.0580603-0.00141507j 0.0534259+0.0413168j -0.0429397-0.0398643j -0.0193686+0.045399j -0.0185454+0.0618462j 0.172742+0.0300406j 0.11103+0.0656825j -0.0495382+0.0856945j 0.0307489+0.0822052j -0.121689+0.264944j 0.0742518-0.00170837j -0.0311836+0.015679j 0.0208995-0.0509593j 0.032741-0.000814856j 0.0259018+0.0222766j -0.055215-0.0295559j 0.0318779+0.0172986j -0.012131+0.0311826j -0.0856472+0.0578941j 0.0119469-0.0254678j -0.0171074+0.0178981j 0.0149949+0.0123917j -0.0199776-0.0261152j 0.0161353+0.0172205j -0.0122482-0.00421104j 0.045132-0.0238213j 0.023688-0.0126736j 0.0222352+0.0183762j -0.00814012-0.0347714j 0.00329971-0.00263093j 0.00696436+0.0281451j -0.00589462+0.00150411j -0.00189193-0.0266938j -0.0213733-0.0018046j -0.0140805+0.000136894j -0.0106674-0.0077287j -0.0224725-0.018482j -0.00542062+0.00449904j -0.0047226-0.0111203j -0.00784998-0.00296941j 0.00482453-0.0178552j -0.0191478-0.00784594j 0.00599465-0.0177638j -0.00781547+0.0190225j -0.0123242+0.000430956j -0.00334165+0.00073457j 0.000468918-0.000382823j 0.0120449+0.00307533j 0.0290455+0.00295519j 0.0102845-0.00504023j 0.00556784+0.0013794j -0.00219331-0.00458037j 0.00439293-0.00713911j -0.00373917+0.0129456j 0.00264301-0.00280921j 0.00374586+0.00169368j 0.0111831-0.00557212j 0.0109025+0.00263451j -0.00471742+0.00464802j 0.00179618+0.00281937j -0.00201849-0.000888129j 0.00752732-0.00644019j -0.0122205+0.0061407j -0.00980532-0.0117396j -0.00235526-0.0111619j 0.00738036+0.00694825j -0.00473057+0.0131113j -0.0104696+0.0115988j -0.0140021-0.00854106j -0.00679766+0.0106525j -0.0162209+0.0205743j 0.0186977+0.000529969j -0.0134946-0.012166j 0.0015929-0.00192747j -0.00977029-0.00451296j -0.00421747-0.00610885j -0.00726041+0.0125718j 0.00697254+0.00431502j 0.00109531-0.00126795j 0.00508789-0.00109743j -0.0184692+0.0164093j -0.0017651-0.0129122j -0.00649273-0.0139415j 0.00376931+0.00367506j -0.00314265+0.0333313j -0.0197484-0.0063852j 
0.0175997+0.069082j -0.0375513+0.0337434j 0.00844184+0.0644039j 0.0321703+0.185301j -0.0213249-0.0175817j 0.0386828-0.0072301j 0.00789171-0.0489312j -0.060628+0.00339387j -0.0653574-0.0642489j -0.0191656+0.049539j 0.0423567+0.050242j -0.0319512+0.105581j -0.0274362-0.0593822j -0.0312107-0.000906845j 0.176868+0.0259216j 0.0433997+0.0101949j 0.0565795-0.0111911j -0.0151+0.0670138j -0.162314-0.0284376j 0.0245476-0.014811j -0.00791579-0.0185691j 0.0420139+0.00486399j 0.0343859+0.0137885j -0.0353285-0.0110633j 0.0606088+0.0318208j -0.0144978-0.00290331j -0.029885-0.0754542j 0.00280302-0.148333j 0.0477378+0.0745818j 0.0286984-0.0102443j -0.0232192-0.0392271j 0.0261785-0.0406489j -0.0190432-0.0102309j 0.00943372-0.0300141j 0.0109502+0.0166995j -0.0210151-0.00668733j -0.045803-0.0309374j 0.0620728+0.00838598j 0.0141868+0.0136804j -0.0142717-0.00848706j 0.00493094-0.00398703j -0.00126598-0.0100483j 0.0122743-0.00085175j 0.00447697+0.00999025j -0.0120934+0.0142669j 0.0109707-0.00526913j -0.00966275-0.0151689j 0.0147109-0.00541164j 0.00400215-0.00270126j 0.0130558-0.000615177j 0.00867739+0.00720371j 0.0122202-0.00368372j -0.0186365-0.00325083j -0.00643539-0.00979251j -0.0113879-0.0163873j -0.00324101-0.00350272j -0.008293-0.00193769j -0.0134616-0.00567537j -0.000508109+0.00744453j 0.00295708-0.0123227j 0.00767192-0.00070241j 0.0014635+0.00430254j -0.0185318+0.00272299j -0.00516676-0.00143082j 0.000995464-0.00948531j -0.000665226+4.95972e-05j 0.0101261-0.00523509j -0.0117988-0.00991984j 0.00303643+0.00476967j 0.000548814+0.0034632j -0.00047403+0.00767352j -0.00729516-0.00435034j -0.0025654-0.00577682j -0.00703274+0.00794367j -0.00713563+0.00613227j 0.0025387-0.00657707j 0.00237534+0.000485131j 0.00773633-0.00938886j 0.00417381-0.00484685j 0.00224007-0.0135693j 0.000806642-0.00928557j 0.00336163-0.0112658j -0.00333336+0.000339854j 0.00901075-0.000350753j -0.000881044+0.0104916j -0.00572803-0.00627205j 0.00706236+0.00400743j -0.00651562+0.0174101j 0.00836835-0.00562948j 0.00328321-0.00984701j 0.0132232-0.00781898j -0.0102287+0.00929856j 0.004712+0.00974889j -0.013736+0.00016265j 0.0146215+0.0046979j 
