0.010484+0.00892571j 0.00775641-0.00478946j 0.0080689-0.00641603j -0.00382378-0.00776217j -0.00192013-0.00341039j -0.00678814+0.00022619j -0.000908873+0.0012522j 0.000811922+0.0123755j -0.0038394-0.00300949j -0.00469209+0.00174019j 0.00311401+0.0079059j 0.0141945-0.00357823j 0.00228577-0.0024843j 0.00896513+0.00892385j 0.0145726+9.30522e-05j 0.00122208+0.000840406j -0.0019957-0.00113932j -0.00712462+0.00470994j -0.00998545+0.00234866j -0.0294335+0.0076889j 0.00311401+0.0140003j 0.01337-0.0132005j 0.0173682+0.00553338j 0.0133392-0.00187582j 0.0038185-0.0249464j 0.0017655+0.00274732j 0.000680883-0.00609163j 0.000466644+0.00496713j -0.00974126+0.00145059j 0.00279354-0.00758267j -0.0104353+0.00374062j -0.00437739-0.00142235j -0.00855558-0.00962561j -0.000656705-0.00514767j 0.0132379+0.00791847j 0.00624688+0.00708634j -0.00489643-0.00280786j 0.00215589+0.000916868j 0.0110711-0.00218734j 0.000826744-0.0055727j -1.66256e-05+0.00579504j 0.00291072-0.000540672j -0.00088032+0.00543527j -0.00492278-0.00855436j 0.00168261+0.00120785j 0.000427611+0.00147076j 0.000709824-0.00151536j -0.00697874+0.0133132j 0.00345812+0.00395177j 0.00351689-0.0120137j -0.00364699+0.00744127j 0.000997128-0.0098939j 0.00343305-0.000888974j -0.0126992+0.00340838j 0.00726173+0.00543983j 0.00139599-0.00154578j 0.00360462+0.00882715j 0.0187045-0.00892981j -0.00286704+0.0258848j 0.00925335-0.0211074j 0.0146503-0.0203887j 0.0145282-0.00026713j 0.057798+0.0309312j -0.0100939+0.00875331j -0.00996655+0.0259208j -0.00484844+0.00763504j -0.0172021+0.0135199j 0.00478769-0.00266406j -0.00929467+0.0124189j 0.0219381-0.0392082j -0.000642526-0.00924376j -0.00639311-0.00986024j 0.00717823+0.00196163j -0.00361521-0.00355428j -0.00763312-0.00323913j 0.0113253+0.00710157j 0.00709436-0.00499613j 0.00857782+0.00707184j 0.00226142+0.00351264j 0.00569447-0.00468149j 0.00447111+0.010531j 0.0127422-0.00548292j -0.00938823+0.00540835j -0.00542798-0.00968895j -0.000839983+0.00805351j -0.00181413-0.0150931j -0.010564+0.0206743j -0.0153593+0.0112314j 0.00360986+0.0483096j -0.00221405-0.0221541j -0.000396478-0.0641596j 0.0622785-0.00590083j 
0.00715253-0.00344336j -0.00871675-0.00943649j -0.00867908-0.0101826j -0.00541842+0.00383586j -0.000589297+0.000279449j -0.00713266-5.94091e-05j -0.00211059+0.00288986j 0.007349+0.00318648j -0.00750219+0.00656151j -0.00178968+0.00358998j 0.00537617-0.00553158j 0.00178808-0.00442574j 0.00341333+0.000855885j 0.00472644-0.0105849j 0.000499522-0.00776126j 0.00363383-0.00279379j -0.00171117+0.00540677j -0.0039939+0.00668825j -0.0058991+0.00225253j 0.00446231+0.0161368j 0.00594556-0.00413001j -0.0102735-0.0208362j 0.00746254-0.0109946j -0.0109008-0.0159399j -0.0269706-0.00189563j 0.00414256+8.77799e-05j -0.00370523-0.00685421j 0.00171292-0.00326384j 0.00555115+0.00470622j -0.00606077-0.00343062j 0.00476361+0.0106364j -0.00343121+0.00433343j -0.00210155-0.00114219j -0.00123532-0.00194132j 0.0038227-0.00960098j 0.00479122-0.00220126j -0.00361241+0.00109449j -0.00210487-0.00287168j -0.00176921-0.00916767j -0.00423763-0.00228263j 0.00461475-0.00130687j -0.00225987-0.00182238j 0.00376043-0.00170539j -0.00568918+0.00113588j 0.00151837+0.000184655j 0.00319538-0.00487526j -0.000939409+0.000960679j 0.00401786+0.00215358j -0.000719411-0.000592256j -0.00348901-0.00580066j 0.00845997+0.00416635j 0.00570935-0.00165728j -0.00745054+0.00461268j 0.0104306+0.0149816j 0.00755265-0.00867418j -0.00875611-0.00658425j -0.000800285-0.0106334j -0.00722636-0.00357553j 0.022944+0.0022313j -0.0297292+0.00164151j -0.00956924-0.0182642j -0.0125261-0.018424j 0.041367-0.0611033j 0.0113982+0.0147061j 0.0353698+0.015008j 0.0139696+0.00906531j 0.0124003+0.0175969j 0.00118842-0.0050252j 0.00939992+0.00424353j -0.0316304-0.00952734j -0.0112527-0.0059087j -0.012332+0.00857876j 0.00244428-0.00892627j -0.00184876+0.0010794j -0.00665378+0.00259894j 0.00962634-0.00885522j -0.0034726-0.00734947j 0.00266279-0.0175814j 0.00225772-0.0145888j 4.48256e-05+0.00104231j 0.00101019-0.00485476j -0.00343041-0.0090939j -0.00433455+0.000712281j -0.000795775+0.00842806j -0.00529849+0.0173515j 0.0187867-0.00945332j -0.0150489+0.0014261j 0.000593562-0.0370568j 0.0102933+0.0200046j 0.00342858+0.0403466j -0.0621118+0.0051532j -0.000810644-0.0642425j 
-0.000137454+0.00177354j -0.00390729+0.00349427j -0.0132866-0.0197805j 0.00698271-0.00894329j -0.0038519+0.0518535j -0.00949612+0.0230571j -0.00569163+0.00742547j -0.0268091+0.0148838j -0.00136767-0.00544791j 0.00590268-0.0107856j 0.00202019+0.00116072j 0.0189633+0.00736536j -0.00413324+0.00637342j 0.00421336+0.00546621j 0.017259-8.43259e-05j -0.0047438+0.000120916j 0.0334242+0.00519652j 0.00564812-9.30526e-05j -0.00229392-0.0011039j -0.00380577+0.000514324j -0.00782515+0.00666971j -0.017031-0.00308186j 0.0134345-0.00298754j 0.0092181-0.00862557j -0.0203569-0.00413328j -0.00557715-0.00461205j 0.00287933-0.00647685j -0.0127786+0.00107138j -0.00669103-0.000222373j 0.00273052+0.00517174j -0.000686531-0.00144837j -0.00233414+0.000782221j -0.000979591-0.00457823j -0.00591297-0.000838919j 0.00943363+0.00508959j 0.00380891-0.000149558j 0.0059063+0.00296162j -0.00146156-0.000454366j 0.00537344-5.19549e-05j -0.00379061+0.000828703j 0.00950392+0.000917388j 0.00292063-0.00563704j 0.000550108+0.00164796j -0.00492141-0.0016454j 0.00729716+0.00131193j -0.00166918-0.00220667j 0.00060825+0.000712958j -0.00134989+0.00238137j 0.00379666-0.00122285j -0.0021561-0.00270261j -0.0118939-0.0083475j -0.00321414-0.00205047j -0.00590981-0.0013588j -0.000910824-0.00925404j -0.0117153+0.00359503j 0.00310972-0.0122373j 0.00138159-0.0132641j -0.000157393+0.00687616j 0.00463614+0.00762661j -0.000816612+0.00379135j -0.00777555+0.00406588j -0.00464961+0.00361805j -0.0126126-0.00457775j -0.00313922+0.00181169j -0.00313117-0.00403518j 0.00150188-0.00334203j -0.00200257-0.00577366j -0.00340425+0.00194732j 0.00221955-0.00459105j -5.31287e-05+0.00676853j -0.00212824+0.000916434j -0.00041824-0.000789445j 0.00528389+0.000569394j -0.00205304-0.000656448j -0.00338619+0.0036216j -0.0055339+7.84114e-05j -3.84636e-06+0.00557684j -0.000703031+8.65826e-05j -0.0112646+0.00202605j 0.00195492+0.0023257j 0.00498271+0.00251997j -0.000344787+0.00951736j 0.000345007-0.000605037j -0.00316516-0.0028224j 0.00687258-0.00486349j -0.0082778+0.000575707j -0.00298049-0.00697753j 0.00622273+0.00084309j -0.0041524-0.00124235j -0.0121203+0.00371978j 0.00750547+0.0127845j -0.0113174+0.00847706j 
-0.00493804-0.00234327j 0.00620738+0.00301596j 0.0124792+0.00813438j -0.00851611+0.00746791j -0.0214781-0.022442j -0.0188684-0.00615448j 0.00472797+0.00738597j 0.0051571-0.0133389j 0.0159669-0.00200537j 0.00342857+0.00359977j -0.00949378+0.0122179j 0.0201314+0.00152564j 0.00188774+0.00974645j -0.0241605-0.002358j 0.00184187-0.00255119j -0.0113059-0.00264712j 0.00463386+0.00418364j -0.00703855-0.00392645j -0.0056815-0.00705234j -0.0101647+0.00182233j -0.00422308+0.00262335j -0.00721572+0.000697839j 0.0088305+0.00726677j -0.00163981-0.00566274j -0.0277478-0.0382243j 0.011202-0.0126534j 0.00416515-0.00777432j -0.00290993+0.00649846j -0.0138984+0.00440312j 0.00250125+0.00343083j -0.00431674-0.00129701j -0.00368311-0.00435035j -0.00507413-0.0100873j 0.00117186+0.000797173j 0.000551677+0.00245688j 0.00063805-0.00134723j -0.00200822-0.00319829j 0.000106142+7.30889e-05j 0.000876522-0.00336509j -0.00474763-0.00203078j 0.0124903-0.00424289j 0.00464164-0.00120233j -0.00118209+0.00140316j -0.00560503-0.00740148j 0.00639335+0.000584574j -0.00590029+0.00243818j 0.000760553+0.00413997j -0.00269256+0.013071j 0.00425848-6.37165e-05j 0.00245725-0.00652103j -0.0197234-0.016665j -0.00947418+0.0120813j 0.00486876+0.00592859j 0.00296303-0.0090316j -0.0204318-0.0178048j 0.0180641-0.0213233j 0.0119607-0.0254839j -0.00876383+0.00960377j 0.000657087+0.00959737j 0.00356822+0.0121627j -0.00572566+0.015461j -0.000880743+0.0170239j -0.0143524-0.00843901j 0.00173711-0.00172785j -0.00148721-0.013149j 0.00250133-0.00236311j 0.00409991-0.0110721j -0.00253459+0.00573909j -0.00216357-0.0141424j -6.96981e-05+0.0224498j 0.000693018+0.00107686j -0.00130539+0.00483975j 0.00153037-0.00321163j -0.00137061-0.00310967j -0.00319021+0.00436358j 0.00184071+0.00862269j 0.00023858+0.0131326j -0.00906285+0.00337653j -0.0141377+0.00433778j 0.00895873+0.00909162j 0.00298506-0.000722862j -0.00596525+0.0135422j -0.00235551-0.00101264j 0.00423552-0.00302005j 0.0142363-0.0169116j -0.0164085-0.0131472j -0.00303603-0.0218558j 0.0106731-0.00717699j -0.00045987+0.0319344j -0.0302134+0.0156224j 0.00153926+0.022019j -0.0179551+0.00571734j 
-0.00246924+0.00417535j 0.00459658-0.00130999j -0.00679362+0.000842j 0.00348541+0.011107j 0.0300455-0.00502071j 0.00225525-0.00400235j 0.00280975-0.00272552j 0.0119739+0.00588395j 0.00339658-0.0108893j -0.00690417+0.00571345j 0.00153271-0.0246107j 0.00871906+0.00587109j 0.00143935+0.0137713j -0.00862111-0.00101421j 0.00495363+0.00294521j 0.0051287+0.00831796j 0.00642601-0.00160687j -0.0104213+0.0132474j -0.0161026-0.0191518j 0.00120026-0.00740406j 0.0120105+0.00817369j 0.001792-0.0106452j 0.00174338+0.00153831j -0.0161038-0.0207362j -0.0266749+0.0306391j -0.0169216+0.0118808j -0.00843541-0.00708388j 0.00853496-0.00172749j 3.72151e-05-0.0034574j -0.00974285-0.00439117j -0.00697983+0.0116317j -0.0107551+0.0105101j -0.0203853-0.00738595j -0.00581173-0.00717533j 0.00256504-0.00682592j 0.00697392+0.00236407j 0.000762264-0.00456519j 0.00503598-0.00164497j -0.0035516-0.00429269j -0.00206607-0.00529095j -0.0163689-0.00487554j -0.0027943+0.00428925j 0.00511506-0.00492172j -0.0172556-0.00482446j -0.00482863-0.00493289j -0.00780458-0.00437615j -0.00135469-0.00798466j 0.0133827-0.0072808j 0.00256119+0.0171392j -0.00793233-0.0117884j -0.0136099+0.0128453j 0.0145932+0.00335701j -0.0130299+0.00885507j -0.00479911-0.0131224j -0.0130164+0.0274039j -0.0195504-0.0137894j 0.00692617-0.0111452j -0.00673579+0.00908243j 0.00134467-0.00591201j 0.0127924-0.000259291j 0.00870747+0.0037085j 0.0101219+0.00927752j -0.0239176+0.0026592j -0.00222106+0.0125197j -0.00674483+0.00872122j -0.00607167+0.00460529j -0.0015385-0.00521071j 0.00640096+0.00331406j -0.00471881-0.00440986j 0.0130806+0.00760998j -0.00210381-0.00199431j 0.000696269+0.00354873j -0.0013429-0.00638466j 0.00122692-0.00361842j -0.00401884+0.00452991j 0.00776911+0.00401069j 0.00308968+0.00202206j -0.00673191+0.0130479j 0.00525702+0.00524463j 0.00816386+0.000913408j -0.00951322+0.0118722j -0.011773+0.00235997j 0.000624401-0.00818642j 0.00794393+0.0029944j 0.000942006-0.00298173j -0.00667527+0.009709j 0.00311594+0.0126989j 0.0107424+0.000679401j 0.023357+0.00352373j -0.014759-0.00098305j 0.0222618-0.00751785j 0.00300099+0.0223524j 
0.0089822+0.0061483j -0.0133084+0.00588525j -0.00637698+0.00106369j -0.00400871+0.00337281j 0.00937045-0.00359369j -0.00942566-0.00654138j 0.00466473+0.00481048j 0.0145856+0.0150532j 0.00366724-0.00367558j -0.00742357+0.00167597j 0.0108336-0.00715293j 0.00381914-0.011542j -0.00440093-0.0108345j 0.0061033+0.0153895j 0.00262996+0.013788j 0.00204612+0.00282515j -0.0112276-0.000240854j -0.000478889+0.0237753j -0.000137343+0.0313362j -0.00395412-7.31684e-05j 0.0124675-0.0104206j -0.00294305-0.00560502j 0.00401806+0.0128055j 0.0130938-0.0194915j -0.000126621-0.00502187j 0.00759656-0.00605262j -0.00931744-0.00481338j 0.00804693+0.00757873j -0.00825248+0.013215j -0.00232518-2.51053e-05j -0.00464997+0.00146978j -0.00780881+0.00664377j -0.0148998-0.0184774j 6.45129e-05+0.00118046j 0.00801943+0.00724343j 0.00373328+0.00279168j 0.00369105-0.0040198j 0.00279441-0.00121506j 0.000254002-0.00615986j 0.000802305-0.000941306j -0.00426553-0.00410496j -0.00173701+0.00104056j 0.00210389-0.000831519j -0.000520443-0.00552872j 0.000207478-0.00446946j -0.00794113-0.00445783j 0.001258-0.0024208j 0.00197071+0.00628145j 0.000588708+0.00561949j -0.00473024-0.00706598j 0.00545313-0.0124617j -0.012426-0.00314388j 0.0146163+0.000900053j -0.00363416-0.00377788j -0.0090947+0.0105546j 0.0113464-0.00993731j 0.0126206-0.00388461j -0.00441128+0.0014942j -0.00152347+0.00521717j -0.00446594-0.00886605j 0.00811582-0.00400429j 0.00532775-0.00387252j 0.00931593+0.021941j -0.00977873-0.000181412j -0.00560241+0.00678979j -0.0019545+0.00696544j 0.00333433-0.00435272j 0.000564713+0.00269036j 0.00228224+0.000747866j -0.0117877-0.0104706j -0.0101357-0.00448995j -0.000346376-0.000206398j 0.000742577-0.00883017j -0.00880633-0.00279955j -0.00448652+0.00961749j 4.74536e-05+0.00138683j 0.00472764-0.000348447j 0.0126691+0.0101299j -0.0152845+0.00192646j 0.00284315-0.00960549j 0.00353645-0.00303415j -0.000453966+0.00741604j 0.0049422-0.00351457j 0.000510714+0.0108481j -0.0111623-0.000737259j -0.00326363+0.0171329j -0.00704854+0.00489956j 0.00092119-0.0161481j -0.00545841-0.0153551j -0.00186681+0.0212566j 0.000566502+0.0150514j -0.0155195-0.000330932j 
0.00601387-0.00324189j 0.00864951-0.00060302j -0.00344147-0.00285957j -0.00116286+0.00118124j 0.0108734+0.00604873j 0.000316378-0.0064322j -0.00878737+0.00685576j 0.00490736-0.00154479j -0.00892755-0.00963037j 0.00152597-0.00366364j -0.00693102-0.000833107j 0.013111+0.00286949j 0.0114396+0.00285669j -0.00142574+0.00911769j 0.00930124-0.0125294j 0.0017569+0.0033321j 0.00881631-0.0070193j -0.00440362-0.00923076j -0.00511377-0.0155277j -0.00278342-0.0129161j 0.0172019-0.0137146j -0.000306076+0.00317032j -0.00995996+0.0143194j 0.012983-0.0108394j 0.00481046+0.00731599j -0.00615673-0.00132413j 0.00360854-0.00993397j 0.00916362+0.00376753j 0.000629709+0.0105458j -0.00814859-0.00365623j -0.00648279-0.0164287j 0.00872626+0.00128243j 0.000813465-0.00513542j -0.00450518-0.00163763j -0.00543732-0.00272057j -0.00295971-0.0045196j 0.009627+0.00802071j 0.0017729-0.000989271j -0.0062311-0.0150855j -0.0018892-0.00515584j 0.00208503+0.0214541j -0.00279217-0.00960732j 0.00242076+0.00143909j -0.00390023+0.0190152j 0.0014059+0.00572011j 0.00195963-0.00249493j 0.00141748-0.00528117j -0.00949488+0.00972498j 0.0159517-0.00703789j -0.0082408-0.000420197j 0.00778764+0.0204253j -0.0168756+0.00315333j 0.0185746-0.0128516j -0.00722658+0.0309024j 0.000542166-0.0267976j 0.00639381-0.0043982j 0.00785495-0.00162707j 0.00483412+0.0107301j -0.00119822-0.00135696j 0.00263408+3.14581e-05j 0.00505364+0.00467545j 0.00900207+0.00873574j -0.00396326+0.0171488j -0.00300179-0.00676661j -0.0146048-0.00929261j -0.0078224-0.000120269j -0.0069454-0.00375495j 0.0019031-0.000152363j -0.00303091-0.0121232j -0.00309994+0.0184301j 0.0177211-0.000722564j 0.00627531+0.00302259j -0.0087996+0.0023895j 0.00916944-0.00204809j 0.0113459-0.000557818j 0.00702548-0.000525608j 0.00165509+0.00661204j -0.00665867+0.00411556j 0.0251427+0.00169302j -0.00437896-0.00313773j -0.00926537-0.00397371j 0.00522233-0.00160918j -0.0043735+0.00197235j 0.00470795+0.00422726j 0.00463568+0.000481472j 0.00197905-0.00410649j 0.0145593+0.00492275j 0.00753911-0.0144336j 0.00467+0.0197064j -0.00112941+0.00902308j -0.00954157-0.00505267j 0.00491398-0.00828989j 
-0.00161828+0.000189072j -0.00126066-0.00209878j 0.00947816+0.00115937j 0.00538662+0.00348353j -0.0121877-0.00362544j -0.00659742-0.00827371j -0.00462709+0.00191829j -0.000267399+0.0036384j -0.00282957-0.000529437j 0.0113807+0.00158215j 0.010151-0.0121968j -0.0112745-0.00118285j 0.00491722+0.000457097j 0.00608729+0.00828026j -0.00767491-0.00800852j 0.00575352+0.00251511j -0.0112627-0.00175681j -0.00159214+0.00648933j -0.000923389-0.00532702j 0.0109315-0.000725289j 0.00336572-0.0130067j 0.000656061-0.00346795j -0.00829587+0.00891211j 0.00870124-0.00144048j -0.00317336+0.00867631j -0.00888391+0.00756364j 0.00619621+0.00425199j -0.00386779-0.0065461j 0.0108009+0.00731935j 0.0127904+0.0036644j 0.00566262+0.000616824j -0.00444587-0.00133871j -0.0159239-0.0101607j -0.0149669+0.00838623j -0.00565328-0.0197851j 0.00791548+0.0273388j 0.00810456+0.000434662j -0.000253242+0.0083819j -0.0126525+0.00267268j 0.0110991+0.0390135j -0.00690051+0.0103142j 0.0276042-0.0105086j 0.000835325+0.00563565j 0.00467325-0.00714726j 0.00438979-0.00421279j -0.00331775+0.0172219j 0.00105665+0.0414668j -0.00829739+7.84586e-06j 0.00377413-0.00513931j 0.000376475+0.00757885j 0.0115513-0.00647361j 0.00414495-0.0330427j -0.0156484+0.000837851j -0.00562174+0.000774193j -0.00945329+0.00419018j 0.0139434-0.0177147j -0.00280592+0.00337024j 0.0060952-0.0032553j 0.0130284+0.00413123j -0.00127742+0.0023625j 0.00183987+0.000662094j 0.00779662-0.00862807j 0.00262142-0.00550819j 0.0127921-0.0015258j -0.00344438+0.00478011j -0.00179083+0.00147008j 0.00188501+0.000403309j 0.000366924-0.00474017j 0.00707812+0.00583432j -0.00432796-0.00467237j 0.0123958-9.11592e-06j -0.00070846-0.00226361j -0.000789071+0.00323269j 0.00374913+0.00100175j 0.00717251+0.000808582j 0.00163874-0.00607796j -0.00152973-0.00155355j 0.000787698-0.00130339j 0.00781199-0.00038745j 0.000420113+0.000976107j 0.00050642-0.00141388j 0.00166763-0.00158065j 0.00290165+0.00240992j -0.00884233-0.00427749j -0.00304714+0.0025068j 0.00238071-0.002769j 0.00160459+0.00182764j 0.00743092+0.00286838j -0.00311516-0.00448817j 0.00249312-0.00388694j -0.00136401-0.00288365j 0.00266944-0.00285701j 
-0.00529852+0.00456541j -0.0119989-0.000833627j 0.0165142-0.00411553j 0.0131421+0.00155773j -0.0298227+0.00153666j -0.0156147-0.00195133j -0.00409043-0.00103162j -0.00698241+0.00924053j 0.00180372+0.0122402j 0.0140882+0.00937848j 0.0102638-0.020053j -0.00327661-0.0146748j -0.0019475-0.0182382j 0.0105363+0.00702115j -0.00318145-0.0153715j 0.00034491+0.000927806j -0.00524259+0.00401534j 0.001274+0.00877721j -0.00246957-0.00981412j 0.00473662-0.00236409j -0.000546809-0.00519453j 0.00726038-0.00283658j -0.00391992+0.00490635j 0.0073306+0.00628277j 0.00655534+0.000903037j -0.00666259+0.00204632j -0.0043328+0.00798899j 0.00623589+0.00505985j -0.00646803+0.0102948j -0.00985772-0.0103632j 0.00388423+0.00188759j -0.0072105+0.00405567j 0.00792983+0.000979032j -0.00186899-0.00740743j 0.00805871+0.0106239j 0.00416572-0.0110814j 0.0075221+0.000392712j 0.000553561-0.00436549j 0.00815585-0.000437165j -0.00547683-0.0256696j -0.0100951-0.004393j -0.0106137+0.00443567j -0.000585581-0.00308097j -0.00813157+0.00148206j -0.00346791+0.00147717j -0.00303064-0.0089454j 0.00660088-0.0271431j 0.00732235+0.00589369j 7.015e-05+0.00508727j -0.000804559-0.00824687j 0.0098256+0.00889451j 0.00165162+0.0129303j -0.00310065+0.00389867j 0.00897823+0.000443454j 0.00906872-0.00535483j -0.00517089+0.0143804j -0.000460225+0.00334452j -0.006367+0.002713j 0.0107187+0.00218881j 0.00577486-0.00496682j 0.00640986-0.0048932j -0.00228929-0.00591461j 0.00318358-0.00752513j 0.00630155+0.00539775j 0.00386038+0.00532902j 0.00408516+0.00519354j 0.00594572+0.00141869j -0.00766195-0.00021956j 0.00407437+0.0027028j -0.0139224-0.00936898j 0.0137428+0.000992093j 0.00509335+0.000679607j -0.00161065+0.0044402j 0.0091923+0.00174997j 0.00818551-0.00296909j -0.00144528-0.00719056j 0.00351447-0.000505425j -0.0102438-0.00166406j 0.0285957-0.00114839j -0.00648014-0.00254907j -0.00840301-0.00233711j 0.000411305+0.00103725j -0.00201507-0.00149849j 0.00354187-0.00379667j -0.00639325-0.000597959j -0.0020767-0.00230424j -0.00708312-0.00179747j 0.00683848+0.00615455j -0.003168-0.00866012j -0.000821058-0.0021082j 0.000109402+0.00314787j -0.00230641-0.00251076j 
-0.000947571+0.00585944j -0.00812584+0.00290647j -0.0077104-0.00207033j -0.00530993-0.00138287j 0.00423872-0.00147819j 0.00246516+0.00931314j 0.012407-0.0087041j 0.00125682+0.00482942j 0.00970706+0.0159721j -0.00574869+0.0143887j 0.00258544-0.00752193j 0.0183026-0.0112514j -0.00681429-0.0214657j -0.00663677-0.00740889j 0.00951241-0.00824399j -0.00955269-0.000869871j 0.0150569+0.0086119j -0.00989761-0.00140679j -0.0035108-0.0200117j -0.00754166-0.00415141j 0.00426088+0.0249935j 0.00465812-0.00628534j 0.020092-0.00320021j -0.00655613+0.01133j 0.00727252-0.00782963j 0.0120292-0.00782833j 0.00401659+0.0111986j -0.0043832+0.0162747j -0.000244963+0.0114339j -0.00255961-0.00467219j -0.000311639-0.00153068j -0.00600453+0.0072936j -0.00531416-0.00123225j -0.00447412+0.005056j 0.0112947-0.00705693j 0.0113594+0.00772781j 0.000371634+0.0140192j -0.000595851+0.00625796j 0.00265689-0.00751564j 0.00480244+0.0175181j 0.00566316+0.015375j 0.00911611-0.00430052j 0.000471706+0.00498932j 0.00653247+0.00331185j 0.000193361-0.000215098j 0.00311673+0.00190417j -0.0074358+0.0124045j 0.00206937+0.0149603j -0.0127099-0.00927489j 0.00632841+0.00624665j -0.00852812-0.000801397j 0.00530734-0.00350056j 0.000198225-0.006245j -0.014993+0.000139903j 3.95563e-05+0.0036512j 0.0034366-0.0103212j -0.0110101+0.0015657j 0.00128674-0.000911903j -0.00567808+0.00280212j -0.00119993+0.00140854j -0.00129055-0.00411574j -0.0103995+0.00335566j 0.00182462+0.00893166j 0.0156162+0.000554331j 0.01222+0.00274288j 0.00427104+0.00105269j 0.00865826-0.00261328j -0.0013049+0.00469621j -0.000696213-0.00306343j 0.00228136-0.00123402j 0.0177477-0.00805988j 0.00457303+0.0046224j -0.0062869-0.00539642j 0.0105773-0.00329975j 0.0113387+0.00243827j 0.00529033+0.00485741j 0.00379436+0.00360191j -0.0167705+0.00376682j 0.0209846+0.00348317j 0.00296943-0.00065697j -0.0216985+0.000272435j -0.00184719+0.00765786j -0.00337073-0.00784806j 0.0142871+0.00496571j 0.00734331-0.00356639j -0.000477912+0.00821015j -0.00769809+0.00146946j -0.00638706+0.000333249j 0.00459452-0.00287397j -0.00628077+0.00565431j 0.0075353+0.00567868j -0.00658429+0.00763441j 
-0.0103136+0.00315007j -0.00477477-0.00388723j 0.0112316-0.00022374j 0.00508967+0.00643439j -0.00863575-0.00897047j 0.00828832+0.00581497j 0.000708481-0.0103898j 0.00471847+0.00313063j -0.00448165+0.00880407j -0.00124084-0.00211402j 0.00645961-0.0131464j 0.00703069+0.0148078j 0.00900935+0.0178592j -0.0109909-0.0141645j 0.0103681+0.0301518j 0.00129074+0.00256482j -0.00618959+0.000877461j 0.00220956+0.0193239j -0.00858595+0.0138363j -2.62843e-05+0.0133163j 0.00536781+0.0137839j 0.00293778-0.000922726j 0.00398394-0.00776845j -0.000797717+0.000241865j -0.00449295+0.0161903j 0.00308032-0.00303712j 0.0147796+0.00242992j 0.00347922+0.0032058j 0.0170947-0.00057814j -0.0223026-0.00437105j 0.00155864-0.00654835j 0.00554881+0.00291377j 0.0147858-0.00141826j -0.0119336+0.0012147j 0.00210332-0.00323706j 0.0108304-0.00370026j 0.00340176+0.0210676j 0.000810478+0.00137242j -0.0018664-0.00893739j 0.000420506+0.000779202j -0.00200722+0.0207894j 0.00166166-0.00105271j 0.00294705+0.00289794j -0.00594349+0.0179849j -0.0015313+0.00179105j 0.0166952-0.00621164j -0.00232043-0.00119132j -0.00666825+0.0202549j 0.00195853-0.0155645j 0.00422985+0.00577823j 0.00726861+0.0165071j 0.00551868-0.000807323j 0.00407106-0.0182771j -0.00789505+0.0283427j 0.000762535-0.0162551j 0.00136602-0.00030809j -0.00415813+0.0103073j 0.00566475+0.000223918j 0.00599337+0.000602044j -0.00627944+0.00200151j -0.00703859-0.00653681j -0.0119441-0.00687728j -0.0100755+0.00114803j -0.0123634+0.00111364j -0.00225233+0.00409308j 0.000614287+0.00123363j -0.00223204+0.00361112j 0.00280092-0.00358796j 0.000101735-0.00331455j -0.0052062-0.000834185j -0.0180082+0.00587811j -0.00747005+0.0014295j 0.00638425+0.00411121j -0.0102909+0.00155938j -0.00954407-0.00624529j 0.00141687-0.00271884j 0.00807419+0.00405243j 0.0111302-0.0040963j -0.0205959-0.00516904j 0.00631546-0.00108904j 0.00345368-0.000501503j 0.00868119+0.00210034j 0.00059257-0.00285896j -0.00441918-0.00328514j -0.00576613+0.00270216j 0.00196799-0.00110253j -0.00430801+0.00106695j 0.00371361+0.00902447j -0.00307287-0.0084778j 0.00253999-0.00751657j 0.00284136-0.00142277j 0.00115861-0.000551901j 
