-0.0483338-0j -0.0247637-0j -0.0191819-0j -0.00909877-0j 0.218175-0j -0.0101727-0j 0.175779-0j -0.00278592-0j 0.073178-0j 0.0490893-0j -0.00196994-0j 0.0095061-0j -0.000934425-0j -0.000198221-0j -2.05179e-05-0j 
0.0280794-0j -0.0497544-0j -0.0885355-0j -0.0418478-0j 0.0101727-0j 0.162384-0j -0.0136258-0j -0.020029-0j -0.0576287-0j 0.143967-0j 0.102252-0j -0.00746132-0j 0.113465-0j 0.0194803-0j -0.000360085-0j 
-0.00768986-0j 0.0487572-0j -0.00305182-0j -0.135373-0j -0.00278592-0j 0.020029-0j 0.0133527-0j 0.0944387-0j -0.000934425-0j -0.0586181-0j 0.00387861-0j 0.177691-0j 0.0316757-0j 0.132158-0j 0.0528791-0j 
0.0461833-0j 0.0236619-0j 0.0183284-0j 0.00869394-0j -0.284479-0j -0.165267-0j 0.00648008-0j -0.0452603-0j 0.00561192-0j 0.00376459-0j 0.00188229-0j 0.000729009-0j 0.00089285-0j 0.000189402-0j 1.9605e-05-0j 
-0.0252957-0j 0.0448218-0j -0.0100389-0j 0.037699-0j 0.114182-0j 0.0184124-0j -0.318157-0j 0.0180434-0j 0.038298-0j -0.203392-0j 0.00356555-0j -0.0837486-0j 0.00605194-0j 0.00220884-0j 0.000324387-0j 
-0.0154904-0j -0.00793645-0j 0.103831-0j -0.00291604-0j -0.00561192-0j 0.0550647-0j -0.00217349-0j -0.00089285-0j -0.235745-0j 0.0213265-0j -0.269835-0j -0.000244517-0j -0.0375068-0j 0.00107297-0j -6.57571e-06-0j 
0.0103913-0j -0.0421488-0j -0.032764-0j 0.0448375-0j 0.00376459-0j 0.137561-0j -0.0115429-0j 0.0560101-0j -0.0213265-0j -0.154252-0j 0.0866218-0j 0.0334392-0j -0.317298-0j -0.119845-0j 0.00341174-0j 
-0.00201226-0j 0.0173551-0j -0.00079859-0j -0.0772244-0j -0.000729009-0j 0.00712935-0j 0.0047529-0j 0.169785-0j -0.000244517-0j -0.0334392-0j 0.00138059-0j -0.0741971-0j 0.0569476-0j -0.234715-0j -0.224095-0j 
0.0291173-0j 0.0149182-0j -0.2493-0j -0.118254-0j 0.0105487-0j 0.00612826-0j 0.00408551-0j 0.00167829-0j 0.00353815-0j 0.00237347-0j 0.00118673-0j 0.00045962-0j 0.000562917-0j 0.000119413-0j 1.23604e-05-0j 
-0.0322269-0j -0.0165114-0j 0.275925-0j 0.130883-0j -0.0116753-0j -0.00678275-0j -0.00452183-0j -0.00185753-0j -0.00391602-0j -0.00262695-0j -0.00131347-0j -0.000508706-0j -0.000623035-0j -0.000132166-0j -1.36804e-05-0j 
-0.0154418-0j 0.0273615-0j -0.00612826-0j 0.0230134-0j 0.0951178-0j -0.191107-0j 0.00749327-0j -0.187277-0j -0.00187639-0j 0.00996511-0j 0.0021766-0j 0.00410322-0j 0.00369442-0j 0.00134839-0j 0.000198023-0j 
