-0.0666061-0.00613045j 0.0318439+0.00532289j -0.0538192+0.0130868j 0.00873569-0.00243554j 0.0201379-0.00147348j -0.0187535+0.010553j 0.0021611-0.00999403j -0.0241754+0.014154j -0.0106867+0.00557878j 
0.0200663-0.0974453j -0.0040158+0.0162618j -0.0066717-0.0392926j 0.00646169-0.00599963j 0.00981258-0.000242498j 0.00271106-0.0119343j -0.00370494+0.0185514j -0.012324+0.00183534j -0.00245292+0.00508197j 
0.0384165+0.0125437j 0.0188299+0.0171821j -0.0325183-0.0165098j 0.00315968+0.00194252j 0.00724834+0.0301273j 0.0118118+0.0340304j -0.0302397-0.0393703j -0.0132928-0.0172628j -0.017117-0.0123082j 
0.0767924+0.00288652j 0.0221847-0.0219909j -0.00402256+0.0433497j 0.0122933+0.015352j 0.0195162+0.00285401j -0.0100716-0.0205359j -0.00246927+0.0103541j -0.0264134-0.00181416j -0.00902421+0.00366035j 
0.0388883-0.0100173j -0.00237441-0.00206222j 0.0166449-0.0111305j 0.0282841-0.0142946j 0.00567588-0.0104773j -0.0391089+0.0464621j 0.00807237-0.0351473j -0.0154559+0.0285675j -0.00363987+0.00643411j 
-0.0189782-0.0843008j 0.00178736-0.0388136j 0.00810384+0.0445925j -0.00893126-0.000441356j -0.00837424+0.0133228j 0.00577383+0.0142827j -0.00468435-0.0237387j 0.0120444-0.00491374j -0.00101372-0.0168757j 
0.0531916-0.00721618j 0.0301222+0.00593477j -0.0436161+0.00195718j -0.019658-0.0129367j -0.0317741-0.01389j 0.00821318-0.00688814j 0.0276046+0.0116542j 0.0327557+0.00668227j 0.0307619-0.00294165j 
