-0.0518893+0.000269674j -0.147506+0.00548641j -0.183401+0.00279416j 0.164952+0.00118331j 0.0488234+0.00336811j -0.0661875+0.00233782j -0.0579993-0.00291275j -0.02866+0.00169054j 0.0628198+0.00117008j 0.0577244+0.00399461j 0.053414+0.00662198j -0.535774+0.00151177j 0.124989-0.00605493j -0.29332+0.00813898j 0.560494+0.002916j 
-0.109051+0.00442422j -0.0179563-0.00129173j 0.0179307+0.00480385j 0.041607-0.00274238j -0.0738968+0.000698439j -0.00404393+0.00237831j -0.056767+0.00285044j -0.0381526-0.00212492j 0.0300572-0.00592122j 0.0526252-0.00855821j 0.0478064+0.00348497j -0.0742976+0.00760327j -0.388871+0.000534207j 0.711954+4.86512e-06j 0.330269-0.0076788j 
0.0167519-0.00532752j -0.0356399+0.000530993j -0.0402255-0.000799437j 0.130465+0.00144587j 0.0361636+0.00657421j -0.00463902-0.00634279j -0.0659127+0.00445733j 0.0586139+0.00122611j -0.131112+0.00407592j 0.139795-0.0044149j -0.190873+0.0138589j -0.0571957+0.00906907j 0.107067+0.0039485j 0.138542-0.00142067j -0.365563-3.45264e-05j 
0.00609592-0.000988346j -0.116756-0.00549129j -0.210038-0.00540962j 0.258413-0.000658852j 0.167638-0.00529492j -0.0533361-0.00208449j -0.0697557+0.0012104j 0.136986-0.00107918j -0.152297-0.00157655j 0.17406-0.0020286j -0.32793-0.00655418j -0.495018-0.00700152j -0.109325+0.00413419j 0.0785194-0.00555991j -0.246042+0.000829361j 
-0.160202+0.0030764j -0.0531884+0.000130776j 0.00427696-0.00805028j 0.190633+0.0026737j -0.122979+0.00524325j 0.0111495+0.00530567j -0.164355-0.00711386j -0.0412357-0.0099846j 0.150917-0.00403996j 0.450996-0.00297031j 0.200307+0.00376144j 0.0929941-0.000629478j 0.340464-0.00286835j 0.0929301-0.00305209j 0.00791362+0.000978946j 
-0.0305197-0.000357212j 0.015428-0.00560954j -0.0182836-0.00188568j -0.0367601+0.00749367j -0.0100055+0.00847043j -0.00993114-0.00807447j -0.00902805+0.000248249j -0.0896187+0.008091j -0.0620719+0.00422568j -0.0820462+0.00166527j 0.0120862-0.00474799j 0.00515478-0.0105951j -0.207096-0.000799316j 0.00245338+0.00116881j 0.232372+0.0035389j 
0.132255+0.00585197j -0.0678336-0.000786115j -0.220179+0.00508357j -0.0979999-0.00396318j 0.0921748+0.00469193j -0.114771+0.000314398j 0.125081+0.000450906j 0.0250996-0.00233107j 0.136563-0.00616864j 0.0253026-0.0124547j -0.257812-0.000165583j 0.116557+0.00933852j 0.0377263+0.00134363j -0.239079-0.00800448j 0.0507889-0.00684209j 
-0.0289317+0.00148578j 0.0469403-0.000832936j 0.0911546-0.00379058j -0.0613262+0.00139813j -0.0238951-0.00108833j 0.0240535+0.00588665j 0.0284052-0.00964021j -0.0435066-0.000270133j 0.139478-0.0021223j 0.10071-0.00112727j -0.0371468+0.00623311j 0.0703028+0.000868344j -0.0225045-0.00134898j 0.0408865+0.00439818j 0.0478361+0.00186161j 
-0.29427+0.00186582j 0.0458514-0.00211474j 0.185652+0.00153897j 0.162575-0.00272269j -0.18465-0.00539458j 0.0496549-0.00626429j -0.281413+0.00756991j -0.293731+0.00506716j -0.210016+2.89987e-05j 0.0862252-0.00464637j 0.297089-0.00400292j -0.0445046+0.00436542j 0.15312+0.00634885j -0.156392-0.00704891j -0.0476014-0.00217982j 
-0.0428571-0.00478969j 0.12894-0.0162399j 0.131702+0.00126222j -0.209424+0.00434343j -0.00920715-0.00170294j 0.15273+0.00302074j 0.0844857+0.00381779j -0.099552-0.00444523j -0.228466-0.0103257j 0.065377-0.0105971j 0.0143651+0.00361908j -0.0989516+0.00602108j -0.284723+0.00417673j -0.302748-0.0058297j 0.0658103-0.00365287j 
0.0258872-0.0126911j 0.0290795+0.00612471j 0.0703651+0.00576901j -0.020555-2.13836e-05j 0.0406916+0.00186263j 0.0527605-0.000951573j 0.022581-0.00595036j -0.117021-0.0019359j -0.362503+0.00158953j 0.0165977-0.00085455j 0.196231-0.00207411j -0.155701-0.00272007j -0.0872377-0.00270331j 0.0236651+0.00279474j -0.109508-2.4191e-05j 
